暗黑的傀儡师,an'hei'de'kui'lei'shi
钟会,zhong'hui
中级杀手,zhong'ji'sha'shou
仲家帝,zhong'jia'di
中坚,zhong'jian
忠孝的侠士,zhong'xiao'de'xia'shi
忠心耿耿,zhong'xin'geng'geng
忠装反,zhong'zhuang'fan
周苛之节,zhou'ke'zhi'jie
周泰,zhou'tai
周亚夫之风,zhou'ya'fu'zhi'feng
周瑜,zhou'yu
诸葛连弩,zhu'ge'lian'nu
诸葛亮,zhu'ge'liang
主公,zhu'gong
主公技,zhu'gong'ji
主公快走,zhu'gong'kuai'zou
主公要臣死臣不得不死,zhu'gong'yao'chen'si'chen'bu'de'bu'si
朱雀星君,zhu'que'xing'jun
朱雀羽扇,zhu'que'yu'shan
祝融,zhu'rong
主帅,zhu'shuai
装备牌,zhuang'bei'pai
装备区,zhuang'bei'qu
装忠,zhuang'zhong
桌游志,zhuo'you'zhi
紫骍,zi'xing
最强神话,zui'qiang'shen'hua
醉乡,zui'xiang
左慈,zuo'ci
