阿布石,a'bu'shi
古地球物理学,gu'di'qiu'wu'li'xue
古地形,gu'di'xing
古地质构造学,gu'di'zhi'gou'zao'xue
古地质学,gu'di'zhi'xue
固定,gu'ding
固定边界,gu'ding'bian'jie
固定点,gu'ding'dian
固定灰分,gu'ding'hui'fen
固定式钻探平台,gu'ding'shi'zuan'tan'ping'tai
固定碳,gu'ding'tan
古动物地理区,gu'dong'wu'di'li'qu
古动物学,gu'dong'wu'xue
钴毒砂,gu'du'sha
古断槽,gu'duan'cao
古伐,gu'fa
钴方解石,gu'fang'jie'shi
谷风,gu'feng
古构造,gu'gou'zao
古构造的,gu'gou'zao'de
古海洋学,gu'hai'yang'xue
古河道,gu'he'dao
钴华,gu'hua
骨化,gu'hua
古花粉,gu'hua'fen
古环境,gu'huan'jing
古火山的,gu'huo'shan'de
古迹,gu'ji
古极,gu'ji
估价井,gu'jia'jing
估价图,gu'jia'tu
固结,gu'jie
固结率,gu'jie'lv
固结系数,gu'jie'xi'shu
固结岩,gu'jie'yan
固井测井,gu'jing'ce'jing
孤立成分,gu'li'cheng'fen
钴菱锌矿,gu'ling'xin'kuang
钴硫砷铁矿,gu'liu'shen'tie'kuang
钴镍黄铁矿,gu'nie'huang'tie'kuang
古气候,gu'qi'hou
古气候学,gu'qi'hou'xue
鼓丘,gu'qiu
古热带区,gu're'dai'qu
古人类学,gu'ren'lei'xue
固溶体,gu'rong'ti
固溶体分解结构,gu'rong'ti'fen'jie'jie'gou
固溶体分解曲线,gu'rong'ti'fen'jie'qu'xian
古三角洲,gu'san'jiao'zhou
孤山,gu'shan
钴砷铁矿,gu'shen'tie'kuang
古生代,gu'sheng'dai
古生态学,gu'sheng'tai'xue
古生物地理区,gu'sheng'wu'di'li'qu
古生物地理学,gu'sheng'wu'di'li'xue
古生物化学,gu'sheng'wu'hua'xue
古生物群落,gu'sheng'wu'qun'luo
古生物相,gu'sheng'wu'xiang
古生物学,gu'sheng'wu'xue
古水道,gu'shui'dao
固态位移,gu'tai'wei'yi
骨炭,gu'tan
固体降水,gu'ti'jiang'shui
固体胶体,gu'ti'jiao'ti
固体可燃矿产,gu'ti'ke'ran'kuang'chan
钴锑硫镍矿,gu'ti'liu'nie'kuang
固体膨胀,gu'ti'peng'zhang
古铜安山岩,gu'tong'an'shan'yan
古铜辉石,gu'tong'hui'shi
古铜鳞英铁镍陨石,gu'tong'lin'ying'tie'nie'yun'shi
古铜岩,gu'tong'yan
钴土矿,gu'tu'kuang
古温度,gu'wen'du
古相的,gu'xiang'de
古新世,gu'xin'shi
古盐度,gu'yan'du
固液相曲线,gu'ye'xiang'qu'xian
古遗传学,gu'yi'chuan'xue
古遗迹学,gu'yi'ji'xue
固有灰分,gu'you'hui'fen
固有频率,gu'you'pin'lv
古鱼类学,gu'yu'lei'xue
古原地岩,gu'yuan'di'yan
古陨挥,gu'yun'hui
古云英斑岩,gu'yun'ying'ban'yan
固着动物,gu'zhe'dong'wu
骨针,gu'zhen
古植物代,gu'zhi'wu'dai
古植物地理区,gu'zhi'wu'di'li'qu
古植物学,gu'zhi'wu'xue
谷中谷,gu'zhong'gu
古准平原,gu'zhun'ping'yuan
刮刀钻头,gua'dao'zuan'tou
寡养的,gua'yang'de
寡养湖,gua'yang'hu
观测,guan'ce
观测场,guan'ce'chang
观测孔,guan'ce'kong
观测网,guan'ce'wang
观察误差,guan'cha'wu'cha
贯穿性,guan'chuan'xing
灌溉,guan'gai
灌溉需要量,guan'gai'xu'yao'liang
灌溉栽培,guan'gai'zai'pei
关节,guan'jie
关节腔,guan'jie'qiang
管理,guan'li
罐笼提升,guan'long'ti'sheng
灌木丛,guan'mu'cong
灌木冻原,guan'mu'dong'yuan
管泉,guan'quan
贯入,guan'ru
贯入变质,guan'ru'bian'zhi
贯入杂岩,guan'ru'za'yan
管式暗沟,guan'shi'an'gou
管套,guan'tao
关系,guan'xi
灌注片麻岩,guan'zhu'pian'ma'yan
管状矿体,guan'zhuang'kuang'ti
管状中柱,guan'zhuang'zhong'zhu
管状组织,guan'zhuang'zu'zhi
管子扳手,guan'zi'ban'shou
管足,guan'zu
光彩石,guang'cai'shi
光点,guang'dian
光电倍增管,guang'dian'bei'zeng'guan
光电池,guang'dian'chi
光电管,guang'dian'guan
光电僚大器,guang'dian'liao'da'qi
光电流,guang'dian'liu
光电吸收,guang'dian'xi'shou
光电效应,guang'dian'xiao'ying
光电效应阈值,guang'dian'xiao'ying'yu'zhi
光电阴极,guang'dian'yin'ji
光电子,guang'dian'zi
光电子放射,guang'dian'zi'fang'she
光反射,guang'fan'she
光合酌带的,guang'he'zhuo'dai'de
光化测定,guang'hua'ce'ding
光化反应,guang'hua'fan'ying
光激中子,guang'ji'zhong'zi
光亮带,guang'liang'dai
光量计,guang'liang'ji
光亮型煤,guang'liang'xing'mei
光卤石,guang'lu'shi
光率体,guang'lv'ti
光谱,guang'pu
光谱测定,guang'pu'ce'ding
光谱分析,guang'pu'fen'xi
光谱化学分析,guang'pu'hua'xue'fen'xi
光谱图,guang'pu'tu
光谱系,guang'pu'xi
光谱线,guang'pu'xian
光谱线宽度,guang'pu'xian'kuan'du
光切面,guang'qie'mian
光栅光谱仪,guang'shan'guang'pu'yi
光栅摄谱仪,guang'shan'she'pu'yi
广深性的,guang'shen'xing'de
广生性,guang'sheng'xing
光弹性,guang'tan'xing
光弹性模型,guang'tan'xing'mo'xing
光弹性实验,guang'tan'xing'shi'yan
光条,guang'tiao
广温性,guang'wen'xing
光线矿,guang'xian'kuang
光性,guang'xing
光性变形,guang'xing'bian'xing
光性常数,guang'xing'chang'shu
光性方位,guang'xing'fang'wei
光性均质的,guang'xing'jun'zhi'de
光性异常,guang'xing'yi'chang
光学蛤同性,guang'xue'ge'tong'xing
光学蛤异性,guang'xue'ge'yi'xing
光学弹性轴,guang'xue'tan'xing'zhou
光学系统,guang'xue'xi'tong
光学现象,guang'xue'xian'xiang
光学异向性的,guang'xue'yi'xiang'xing'de
光泽,guang'ze
光泽的,guang'ze'de
光轴,guang'zhou
光轴分散,guang'zhou'fen'san
光轴副法线,guang'zhou'fu'fa'xian
光轴角,guang'zhou'jiao
硅钡铍矿,gui'bei'pi'kuang
硅钡石,gui'bei'shi
硅钡铁矿,gui'bei'tie'kuang
硅铋石,gui'bi'shi
硅长岩质的,gui'chang'yan'zhi'de
贵蛋白石,gui'dan'bai'shi
轨道电子,gui'dao'dian'zi
规定浓度,gui'ding'nong'du
规定溶液,gui'ding'rong'ye
规定液度,gui'ding'ye'du
硅氟铁钇矿,gui'fu'tie'yi'kuang
硅钙铅矿,gui'gai'qian'kuang
硅钙铅铀矿,gui'gai'qian'you'kuang
硅钙锡石,gui'gai'xi'shi
硅钙铀矿,gui'gai'you'kuang
贵橄榄石,gui'gan'lan'shi
硅锆钠石,gui'gao'na'shi
桂硅钙石,gui'gui'gai'shi
硅化,gui'hua
硅华,gui'hua
硅化木,gui'hua'mu
硅灰石,gui'hui'shi
硅灰石膏,gui'hui'shi'gao
龟甲石,gui'jia'shi
贵金属,gui'jin'shu
硅孔雀石,gui'kong'que'shi
瑰硫方铅矿,gui'liu'fang'qian'kuang
硅硫磷灰石,gui'liu'lin'hui'shi
硅铝比,gui'lv'bi
硅铝带,gui'lv'dai
硅铝镁带,gui'lv'mei'dai
硅铝质矿物,gui'lv'zhi'kuang'wu
硅镁带,gui'mei'dai
硅镁铅矿,gui'mei'qian'kuang
硅镁石,gui'mei'shi
硅镁铀矿,gui'mei'you'kuang
硅锰矿,gui'meng'kuang
硅钠钡钛石,gui'na'bei'tai'shi
硅钠铌石,gui'na'ni'shi
硅钠锶镧石,gui'na'si'lan'shi
硅钠钛矿,gui'na'tai'kuang
硅镍矿,gui'nie'kuang
硅硼钙石,gui'peng'gai'shi
硅硼钙铁矿,gui'peng'gai'tie'kuang
硅硼钙钇矿,gui'peng'gai'yi'kuang
硅硼钠石,gui'peng'na'shi
硅铍石,gui'pi'shi
硅铍钇矿,gui'pi'yi'kuang
硅铅矿,gui'qian'kuang
硅铅锰矿,gui'qian'meng'kuang
硅铅铁矿,gui'qian'tie'kuang
硅铅钍铀矿,gui'qian'tu'you'kuang
硅铅锌矿,gui'qian'xin'kuang
硅铅铀矿,gui'qian'you'kuang
硅三氧二某化合物比,gui'san'yang'er'mou'hua'he'wu'bi
硅砂,gui'sha
硅石矿床,gui'shi'kuang'chuang
硅铈石,gui'shi'shi
硅石岩,gui'shi'yan
硅酸,gui'suan
硅酸盐,gui'suan'yan
硅酸盐矿物,gui'suan'yan'kuang'wu
硅酸盐熔体,gui'suan'yan'rong'ti
硅酸盐岩石,gui'suan'yan'yan'shi
硅钛钠石,gui'tai'na'shi
硅钛铈钇矿,gui'tai'shi'yi'kuang
硅锑锰矿,gui'ti'meng'kuang
硅铁钡矿,gui'tie'bei'kuang
硅铁土,gui'tie'tu
硅铁岩,gui'tie'yan
硅铜铀矿,gui'tong'you'kuang
硅土,gui'tu
硅钍石,gui'tu'shi
硅钍钇矿,gui'tu'yi'kuang
硅锡矿,gui'xi'kuang
硅稀土石,gui'xi'tu'shi
硅线石,gui'xian'shi
硅锌矿,gui'xin'kuang
硅铀矿,gui'you'kuang
硅铀铅钍矿,gui'you'qian'tu'kuang
硅藻类,gui'zao'lei
硅藻泥,gui'zao'ni
硅藻石,gui'zao'shi
硅藻土,gui'zao'tu
规则反射,gui'ze'fan'she
硅质沉积,gui'zhi'chen'ji
硅质的,gui'zhi'de
硅质土壤,gui'zhi'tu'rang
硅砖,gui'zhuan
辊式破碎机,gun'shi'po'sui'ji
过饱和,guo'bao'he
过饱和固溶体,guo'bao'he'gu'rong'ti
过饱和溶液,guo'bao'he'rong'ye
过饱和岩,guo'bao'he'yan
过玻璃质的,guo'bo'li'zhi'de
过程,guo'cheng
过渡层,guo'du'ceng
过渡带,guo'du'dai
过渡的结构,guo'du'de'jie'gou
过度型矿床,guo'du'xing'kuang'chuang
过渡元素,guo'du'yuan'su
过负荷,guo'fu'he
过共晶体,guo'gong'jing'ti
过共析体,guo'gong'xi'ti
国际地理学联合会,guo'ji'di'li'xue'lian'he'hui
国际地球物理年,guo'ji'di'qiu'wu'li'nian
国际地质大会,guo'ji'di'zhi'da'hui
国际地质科学联合会,guo'ji'di'zhi'ke'xue'lian'he'hui
过碱性岩,guo'jian'xing'yan
过晶质,guo'jing'zhi
过冷,guo'leng
过硫锑铅矿,guo'liu'ti'qian'kuang
锅炉煤,guo'lu'mei
过滤,guo'lv
过滤机,guo'lv'ji
过滤速度,guo'lv'su'du
过敏性粘土,guo'min'xing'nian'tu
过热,guo're
过热蒸汽,guo're'zheng'qi
过剩成分,guo'sheng'cheng'fen
锅穴,guo'xue
过压,guo'ya
过氧化氢,guo'yang'hua'qing
锅状火山口,guo'zhuang'huo'shan'kou
锅状陷落地,guo'zhuang'xian'luo'di
铪锆石,ha'gao'shi
哈通数,ha'tong'shu
海岸,hai'an
海岸地形,hai'an'di'xing
海岸洞穴,hai'an'dong'xue
海岸尖头,hai'an'jian'tou
海岸阶地,hai'an'jie'di
海岸砾石,hai'an'li'shi
海岸沙丘,hai'an'sha'qiu
海岸线,hai'an'xian
海百合灰岩,hai'bai'he'hui'yan
海百合类,hai'bai'he'lei
海滨阶地,hai'bin'jie'di
海滨平原,hai'bin'ping'yuan
海滨砂矿,hai'bin'sha'kuang
海滨植被,hai'bin'zhi'bei
海冰,hai'bing
海槽,hai'cao
海胆类,hai'dan'lei
海底,hai'di
海底沉积物,hai'di'chen'ji'wu
海底地质学,hai'di'di'zhi'xue
海底分解,hai'di'fen'jie
海底风化,hai'di'feng'hua
海底腐殖质,hai'di'fu'zhi'zhi
海底滑动,hai'di'hua'dong
海底火山,hai'di'huo'shan
海底阶地,hai'di'jie'di
海底矿床,hai'di'kuang'chuang
海底扩张,hai'di'kuo'zhang
海底扩张说,hai'di'kuo'zhang'shuo
海底煤田,hai'di'mei'tian
海底锰块,hai'di'meng'kuai
海底强流,hai'di'qiang'liu
海底侵蚀,hai'di'qin'shi
海底取岩芯钻机,hai'di'qu'yan'xin'zuan'ji
海底扇形地,hai'di'shan'xing'di
海底崖,hai'di'ya
海底油田,hai'di'you'tian
海尔微阶,hai'er'wei'jie
海峰,hai'feng
海釜,hai'fu
海积物,hai'ji'wu
海阶,hai'jie
海进,hai'jin
骸晶,hai'jing
骸晶构造,hai'jing'gou'zao
海蓝宝石,hai'lan'bao'shi
海蕾类,hai'lei'lei
海林檎类,hai'lin'qin'lei
海岭,hai'ling
海流,hai'liu
海隆,hai'long
海绿砂岩,hai'lv'sha'yan
海绿石,hai'lv'shi
海绿石砂,hai'lv'shi'sha
海绵动物,hai'mian'dong'wu
海绵构造,hai'mian'gou'zao
海绵骨针,hai'mian'gu'zhen
海面升降,hai'mian'sheng'jiang
海面升降运动,hai'mian'sheng'jiang'yun'dong
海绵体,hai'mian'ti
海绵硬朊,hai'mian'ying'ruan
海绵陨铁结构,hai'mian'yun'tie'jie'gou
海绵组织,hai'mian'zu'zhi
海泡石,hai'pao'shi
海平面,hai'ping'mian
海侵,hai'qin
海侵不整合,hai'qin'bu'zheng'he
海侵超覆,hai'qin'chao'fu
海山,hai'shan
海上石油钻探,hai'shang'shi'you'zuan'tan
海上钻探装置,hai'shang'zuan'tan'zhuang'zhi
海蚀,hai'shi
海湿地,hai'shi'di
海蚀洞,hai'shi'dong
海蚀后退,hai'shi'hou'tui
海蚀轮回,hai'shi'lun'hui
海蚀平台,hai'shi'ping'tai
海蚀平原,hai'shi'ping'yuan
海水,hai'shui
海水浸入,hai'shui'jin'ru
海水温度,hai'shui'wen'du
海塔,hai'ta
海滩侵蚀,hai'tan'qin'shi
海滩移动,hai'tan'yi'dong
海退,hai'tui
海退层序,hai'tui'ceng'xu
海退线,hai'tui'xian
海湾沉积,hai'wan'chen'ji
海戊山运动,hai'wu'shan'yun'dong
海峡,hai'xia
海啸,hai'xiao
海星类,hai'xing'lei
海雪,hai'xue
海崖,hai'ya
海洋测量,hai'yang'ce'liang
海洋沉积,hai'yang'chen'ji
海洋岛,hai'yang'dao
海洋地壳,hai'yang'di'qiao
海洋地质学,hai'yang'di'zhi'xue
海洋浮游生物,hai'yang'fu'you'sheng'wu
海洋化酌,hai'yang'hua'zhuo
海洋克拉通,hai'yang'ke'la'tong
海洋性拉斑玄武岩,hai'yang'xing'la'ban'xuan'wu'yan
海洋学,hai'yang'xue
海洋遥感,hai'yang'yao'gan
海洋藻类,hai'yang'zao'lei
海渊,hai'yuan
海源咸水湖,hai'yuan'xian'shui'hu
海藻,hai'zao
海藻饼,hai'zao'bing
海震,hai'zhen
海重力仪,hai'zhong'li'yi
寒带,han'dai
寒冻风化,han'dong'feng'hua
含化石的,han'hua'shi'de
焊接,han'jie
含金的,han'jin'de
含金砾岩,han'jin'li'yan
含金砾岩层,han'jin'li'yan'ceng
含金属的,han'jin'shu'de
含金属喷气,han'jin'shu'pen'qi
含晶体的,han'jing'ti'de
含矿层,han'kuang'ceng
含矿的,han'kuang'de
含矿地带,han'kuang'di'dai
含矿岩,han'kuang'yan
含硫氨基酸,han'liu'an'ji'suan
含煤的,han'mei'de
含煤地层,han'mei'di'ceng
含镁石灰岩,han'mei'shi'hui'yan
含煤系数,han'mei'xi'shu
含煤性,han'mei'xing
含气的,han'qi'de
含气石油,han'qi'shi'you
旱生形态,han'sheng'xing'tai
旱生形态的,han'sheng'xing'tai'de
旱生植被,han'sheng'zhi'bei
旱生植物,han'sheng'zhi'wu
函数组构,han'shu'zu'gou
含水层,han'shui'ceng
含水层试验,han'shui'ceng'shi'yan
含水层损失,han'shui'ceng'sun'shi
含水层未着锥穴,han'shui'ceng'wei'zhe'zhui'xue
含水的,han'shui'de
含水量,han'shui'liang
含水磷铁矿,han'shui'lin'tie'kuang
含水针铁矿,han'shui'zhen'tie'kuang
含碳的,han'tan'de
含铁的,han'tie'de
含铜镍的,han'tong'nie'de
寒武系,han'wu'xi
含锡的,han'xi'de
含盐性,han'yan'xing
含盐岩淋滤,han'yan'yan'lin'lv
含银的,han'yin'de
含银黄铁矿,han'yin'huang'tie'kuang
含油层,han'you'ceng
含油的,han'you'de
含油建造,han'you'jian'zao
含铀量,han'you'liang
含油盆地,han'you'pen'di
巷道,hang'dao
巷道支架,hang'dao'zhi'jia
航空测量,hang'kong'ce'liang
航空测图仪,hang'kong'ce'tu'yi
航空磁测,hang'kong'ci'ce
航空磁法勘探,hang'kong'ci'fa'kan'tan
航空地磁仪,hang'kong'di'ci'yi
航空地理学,hang'kong'di'li'xue
航空地质甸方法,hang'kong'di'zhi'dian'fang'fa
航空地质学,hang'kong'di'zhi'xue
航空甸,hang'kong'dian
航空电磁法,hang'kong'dian'ci'fa
航空放射性测量,hang'kong'fang'she'xing'ce'liang
航空三角测量,hang'kong'san'jiao'ce'liang
航空摄影测量学,hang'kong'she'ying'ce'liang'xue
航空摄影地质图,hang'kong'she'ying'di'zhi'tu
航空摄影机,hang'kong'she'ying'ji
航空摄影学,hang'kong'she'ying'xue
航空遥感,hang'kong'yao'gan
航摄地貌学,hang'she'di'mao'xue
航线,hang'xian
皓矾,hao'fan
毫秒爆破,hao'miao'bao'po
河岸,he'an
河岸斜坡,he'an'xie'po
合瓣花类,he'ban'hua'lei
合成变质,he'cheng'bian'zhi
合成变质带,he'cheng'bian'zhi'dai
河成沉积,he'cheng'chen'ji
合成代谢,he'cheng'dai'xie
河成地貌,he'cheng'di'mao
合成地震记录,he'cheng'di'zhen'ji'lu
河成阶地,he'cheng'jie'di
合成矿物,he'cheng'kuang'wu
河成沙波,he'cheng'sha'bo
河成砂纹,he'cheng'sha'wen
河床,he'chuang
河床砂矿,he'chuang'sha'kuang
河床型式,he'chuang'xing'shi
核磁测井,he'ci'ce'jing
核磁共振,he'ci'gong'zhen
核磁矩,he'ci'ju
河道,he'dao
河道沉淀,he'dao'chen'dian
河道特性,he'dao'te'xing
河的安全给水量,he'de'an'quan'gei'shui'liang
河底,he'di
核地层学,he'di'ceng'xue
核地质学,he'di'zhi'xue
核电荷,he'dian'he
核分离,he'fen'li
核分裂产物,he'fen'lie'chan'wu
河幅,he'fu
褐符山石,he'fu'shan'shi
褐氟碳铈矿,he'fu'tan'shi'kuang
河谷砂矿,he'gu'sha'kuang
河谷水,he'gu'shui
河谷填积,he'gu'tian'ji
河谷沼泽,he'gu'zhao'ze
褐硅钠钛矿,he'gui'na'tai'kuang
褐硅铈矿,he'gui'shi'kuang
河湖的,he'hu'de
核化学,he'hua'xue
和缓期,he'huan'qi
核结合能,he'jie'he'neng
合金,he'jin
褐堇青石,he'jin'qing'shi
河口,he'kou
河口湖,he'kou'hu
河口湾,he'kou'wan
河口湾沉积,he'kou'wan'chen'ji
河璃,he'li
河砾石,he'li'shi
河立展度,he'li'zhan'du
褐帘石,he'lian'shi
合量,he'liang
河两衡剖面,he'liang'heng'pou'mian
河寥级,he'liao'ji
核裂反应,he'lie'fan'ying
河霖夺,he'lin'duo
核磷铝石,he'lin'lv'shi
河霖貌学,he'lin'mao'xue
河凛剖面,he'lin'pou'mian
河林蚀,he'lin'shi
河拎型,he'lin'xing
河霖质酌,he'lin'zhi'zhuo
河玲断面,he'ling'duan'mian
河灵况,he'ling'kuang
褐硫钙石陨硫钙石,he'liu'gai'shi'yun'liu'gai'shi
河流缓流,he'liu'huan'liu
褐硫锰矿,he'liu'meng'kuang
赫洛宾矿,he'luo'bin'kuang
河漫滩沼泽,he'man'tan'zhao'ze
褐煤,he'mei
褐煤化,he'mei'hua
褐煤化的,he'mei'hua'de
褐煤蜡,he'mei'la
褐锰矿,he'meng'kuang
核模型,he'mo'xing
核能级,he'neng'ji
褐泥,he'ni
河曲,he'qu
核燃料,he'ran'liao
核散裂碎片,he'san'lie'sui'pian
褐色荒漠草原土,he'se'huang'mo'cao'yuan'tu
褐闪岩,he'shan'yan
河蚀,he'shi
河蚀轮回,he'shi'lun'hui
核衰变,he'shuai'bian
合水层储水,he'shui'ceng'chu'shui
褐水砷锰矿,he'shui'shen'meng'kuang
河水酌,he'shui'zhuo
核素,he'su
核酸,he'suan
褐铊矿,he'ta'kuang
核糖核酸,he'tang'he'suan
褐铁矾,he'tie'fan
褐铁矿,he'tie'kuang
褐铜矾,he'tong'fan
核稳定性,he'wen'ding'xing
合纹石,he'wen'shi
河系,he'xi
褐稀土矿,he'xi'tu'kuang
河相,he'xiang
褐斜闪石,he'xie'shan'shi
褐锌锰矿,he'xin'meng'kuang
褐钇铌矿,he'yi'ni'kuang
褐云母,he'yun'mu
褐藻类,he'zao'lei
河沼泽,he'zhao'ze
颌肢,he'zhi
褐侏罗,he'zhu'luo
核状结构,he'zhuang'jie'gou
合子,he'zi
核子,he'zi
鹤嘴镐,he'zui'gao
黑铋金矿,hei'bi'jin'kuang
黑辰砂矿,hei'chen'sha'kuang
黑碲铜矿,hei'di'tong'kuang
黑电气石,hei'dian'qi'shi
黑金刚石,hei'jin'gang'shi
黑金红石,hei'jin'hong'shi
黑晶,hei'jing
黑晶脂石,hei'jing'zhi'shi
黑矿型矿床,hei'kuang'xing'kuang'chuang
黑沥青,hei'li'qing
黑帘石,hei'lian'shi
黑磷云母,hei'lin'yun'mu
黑硫铜镍矿,hei'liu'tong'nie'kuang
黑硫银锡矿,hei'liu'yin'xi'kuang
黑氯铜矿,hei'lv'tong'kuang
黑镁锰铁矿,hei'mei'meng'tie'kuang
黑锰矿,hei'meng'kuang
黑棉土,hei'mian'tu
黑钼钴矿,hei'mu'gu'kuang
黑泥碳酸铁矿,hei'ni'tan'suan'tie'kuang
黑泥土,hei'ni'tu
黑硼锡铁矿,hei'peng'xi'tie'kuang
黑色金属,hei'se'jin'shu
黑色泥,hei'se'ni
黑色石灰土,hei'se'shi'hui'tu
黑砂,hei'sha
黑砷铁矿,hei'shen'tie'kuang
黑铜矿,hei'tong'kuang
黑土,hei'tu
黑钨矿,hei'wu'kuang
黑稀金矿,hei'xi'jin'kuang
黑锌锰矿,hei'xin'meng'kuang
黑曜岩,hei'yao'yan
黑曜岩水化年代测定法,hei'yao'yan'shui'hua'nian'dai'ce'ding'fa
黑硬绿泥石,hei'ying'lv'ni'shi
黑铀钍矿,hei'you'tu'kuang
黑云安山岩,hei'yun'an'shan'yan
黑云粗面岩,hei'yun'cu'mian'yan
黑云沸煌岩,hei'yun'fei'huang'yan
黑云钙长岩,hei'yun'gai'chang'yan
黑云花岗岩,hei'yun'hua'gang'yan
黑云碱煌岩,hei'yun'jian'huang'yan
黑云母,hei'yun'mu
黑云母化,hei'yun'mu'hua
黑侏罗世,hei'zhu'luo'shi
黑柱石,hei'zhu'shi
痕量成分,hen'liang'cheng'fen
痕量元素,hen'liang'yuan'su
横波,heng'bo
横冲断层,heng'chong'duan'ceng
横断,heng'duan
横断层,heng'duan'ceng
横分裂,heng'fen'lie
横隔膜,heng'ge'mo
横谷,heng'gu
横节理,heng'jie'li
横截面,heng'jie'mian
衡均滤波器,heng'jun'lv'bo'qi
横梁,heng'liang
横切面,heng'qie'mian
横推断层,heng'tui'duan'ceng
恒温层,heng'wen'ceng
横卧背斜中心岩,heng'wo'bei'xie'zhong'xin'yan
横巷,heng'xiang
横向测井,heng'xiang'ce'jing
横向谷,heng'xiang'gu
横向渗透性,heng'xiang'shen'tou'xing
恒载,heng'zai
横张力,heng'zhang'li
横褶皱,heng'zhe'zhou
横阻力,heng'zu'li
红宝石,hong'bao'shi
红电气石,hong'dian'qi'shi
红钙长石,hong'gai'chang'shi
红锆石,hong'gao'shi
红铬铅矿,hong'ge'qian'kuang
宏观沉积学,hong'guan'chen'ji'xue
宏观的,hong'guan'de
宏观地层学,hong'guan'di'ceng'xue
宏观蛤异性,hong'guan'ge'yi'xing
宏观结构,hong'guan'jie'gou
宏观相,hong'guan'xiang
宏观岩性学,hong'guan'yan'xing'xue
红硅钙锰矿,hong'gui'gai'meng'kuang
红硅镁石,hong'gui'mei'shi
红硅硼铝钙石,hong'gui'peng'lv'gai'shi
红辉沸石,hong'hui'fei'shi
洪积的,hong'ji'de
洪积砂矿,hong'ji'sha'kuang
洪积扇,hong'ji'shan
洪积世,hong'ji'shi
洪积时期,hong'ji'shi'qi
洪积说,hong'ji'shuo
红钾铁盐,hong'jia'tie'yan
红坚岭石,hong'jian'ling'shi
红粒浊沸石,hong'li'zhuo'fei'shi
红帘石,hong'lian'shi
红帘石片岩,hong'lian'shi'pian'yan
红磷,hong'lin
红磷氯铅矿,hong'lin'lv'qian'kuang
红磷锰矿,hong'lin'meng'kuang
红磷钠矿,hong'lin'na'kuang
红菱沸石,hong'ling'fei'shi
红绿柱石,hong'lv'zhu'shi
红锰铁矿,hong'meng'tie'kuang
红钠闪石,hong'na'shan'shi
红钠闪正长斑岩,hong'na'shan'zheng'zhang'ban'yan
红泥,hong'ni
红壤,hong'rang
红色黄铜,hong'se'huang'tong
红色砂岩,hong'se'sha'yan
红色石灰土,hong'se'shi'hui'tu
红砷锰矿,hong'shen'meng'kuang
红砷铁矿,hong'shen'tie'kuang
红砷锌矿,hong'shen'xin'kuang
红砷锌锰矿,hong'shen'xin'meng'kuang
洪水,hong'shui
洪水法,hong'shui'fa
洪水量,hong'shui'liang
洪水推测,hong'shui'tui'ce
洪水最高顶,hong'shui'zui'gao'ding
红铊矿,hong'ta'kuang
红钛锰矿,hong'tai'meng'kuang
红钛铁矿,hong'tai'tie'kuang
红锑矿,hong'ti'kuang
红锑镍矿,hong'ti'nie'kuang
红铁矾,hong'tie'fan
红土,hong'tu
红土化,hong'tu'hua
红外光谱分析,hong'wai'guang'pu'fen'xi
红外摄影,hong'wai'she'ying
红外探测器,hong'wai'tan'ce'qi
红外吸收谱,hong'wai'xi'shou'pu
红外线甸,hong'wai'xian'dian
红外线辐射,hong'wai'xian'fu'she
红外线光谱学,hong'wai'xian'guang'pu'xue
红外遥感,hong'wai'yao'gan
红硒铜矿,hong'xi'tong'kuang
红榍石,hong'xie'shi
红锌矿,hong'xin'kuang
红玄武土,hong'xuan'wu'tu
红钇矿,hong'yi'kuang
红铀矿,hong'you'kuang
红藻类,hong'zao'lei
红柱角页岩,hong'zhu'jiao'ye'yan
红柱石,hong'zhu'shi
红紫素,hong'zi'su
厚壁孢子,hou'bi'bao'zi
厚壁组织,hou'bi'zu'zhi
后滨,hou'bin
后滨阶地,hou'bin'jie'di
厚层,hou'ceng
后成,hou'cheng
后成的,hou'cheng'de
后成地形,hou'cheng'di'xing
后成谷,hou'cheng'gu
后成河,hou'cheng'he
后成合晶,hou'cheng'he'jing
后成合晶构造,hou'cheng'he'jing'gou'zao
后成结核,hou'cheng'jie'he
后成矿床,hou'cheng'kuang'chuang
后成再生矿床,hou'cheng'zai'sheng'kuang'chuang
后翅,hou'chi
厚度,hou'du
后加演化,hou'jia'yan'hua
后期旋回,hou'qi'xuan'hui
后期岩浆残液,hou'qi'yan'jiang'can'ye
后生冲刷,hou'sheng'chong'shua
后生混合酌,hou'sheng'hun'he'zhuo
后生韧皮部,hou'sheng'ren'pi'bu
后生异常,hou'sheng'yi'chang
后退,hou'tui
后退冰碛,hou'tui'bing'qi
后效,hou'xiao
后胸,hou'xiong
后岩浆活动,hou'yan'jiang'huo'dong
后渊,hou'yuan
后肢,hou'zhi
后置地,hou'zhi'di
湖岸,hu'an
互变性,hu'bian'xing
互变异构现象,hu'bian'yi'gou'xian'xiang
互层,hu'ceng
湖沉积,hu'chen'ji
湖成阶地,hu'cheng'jie'di
互换性,hu'huan'xing
互惠共生现象,hu'hui'gong'sheng'xian'xiang
湖积建造,hu'ji'jian'zao
互交层矿物,hu'jiao'ceng'kuang'wu
互连,hu'lian
湖面波动,hu'mian'bo'dong
胡敏素,hu'min'su
胡敏酸,hu'min'suan
湖盆,hu'pen
