阿魏,a'wei
土木香,tu'mu'xiang
土牛膝,tu'niu'xi
土人参,tu'ren'shen
土三七,tu'san'qi
菟丝子,tu'si'zi
托盘根,tuo'pan'gen
瓦楞子,wa'leng'zi
瓦垄子,wa'long'zi
瓦松,wa'song
瓦挖草,wa'wa'cao
瓦韦,wa'wei
万年青,wan'nian'qing
王不留行,wang'bu'liu'xing
忘忧,wang'you
威灵仙,wei'ling'xian
卫茅,wei'mao
桅子,wei'zi
文旦皮,wen'dan'pi
文蛤,wen'ge
文冠木,wen'guan'mu
文元,wen'yuan
五倍子,wu'bei'zi
蜈蚣,wu'gong
无患子,wu'huan'zi
五加皮,wu'jia'pi
乌桕,wu'jiu
乌韭,wu'jiu
乌蔹莓,wu'lian'mei
五敛子,wu'lian'zi
五灵脂,wu'ling'zhi
无漏子,wu'lou'zi
乌梅,wu'mei
无名异,wu'ming'yi
无名子,wu'ming'zi
乌茜,wu'qian
乌梢蛇,wu'shao'she
乌头,wu'tou
乌头碱,wu'tou'jian
五味子,wu'wei'zi
五眼果,wu'yan'guo
乌药,wu'yao
芜荑,wu'yi
乌贼骨,wu'zei'gu
五指柑,wu'zhi'gan
五指毛桃,wu'zhi'mao'tao
吴茱萸,wu'zhu'yu
西瓜,xi'gua
西瓜皮,xi'gua'pi
西河柳,xi'he'liu
犀角,xi'jiao
西羌,xi'qiang
喜树,xi'shu
细辛,xi'xin
西洋参,xi'yang'shen
夏枯草,xia'ku'cao
夏天无,xia'tian'wu
仙半夏,xian'ban'xia
仙鹤草,xian'he'cao
仙灵脾,xian'ling'pi
仙茅,xian'mao
仙人掌,xian'ren'zhang
仙桃草,xian'tao'cao
仙遗粮,xian'yi'liang
象贝,xiang'bei
香附,xiang'fu
向前,xiang'qian
香茹,xiang'ru
香薷,xiang'ru
香嵩,xiang'song
香橼,xiang'yuan
小百科,xiao'bai'ke
小驳骨,xiao'bo'gu
小飞扬,xiao'fei'yang
小红莲,xiao'hong'lian
小红参,xiao'hong'shen
小胡麻,xiao'hu'ma
小黄药,xiao'huang'yao
小茴香,xiao'hui'xiang
小蓟,xiao'ji
小蓟炭,xiao'ji'tan
小兰花,xiao'lan'hua
小麦,xiao'mai
小蘖,xiao'nie
小青皮,xiao'qing'pi
小石韦,xiao'shi'wei
小通草,xiao'tong'cao
小叶朴,xiao'ye'pu
薤白,xie'bai
信石,xin'shi
辛夷,xin'yi
辛夷花,xin'yi'hua
杏仁,xing'ren
熊胆,xiong'dan
雄黄,xiong'huang
徐长卿,xu'chang'qing
续断,xu'duan
旋复花,xuan'fu'hua
玄胡索,xuan'hu'suo
玄明粉,xuan'ming'fen
玄参,xuan'shen
雪胆,xue'dan
血蝎,xue'xie
血余,xue'yu
血余炭,xue'yu'tan
鸦胆子,ya'dan'zi
亚乎奴,ya'hu'nu
