阿搭爾,a'da'er
舊險,jiu'xian
酒盅,jiu'zhong
救轉起,jiu'zhuan'qi
酒罇,jiu'zun
聚伴,ju'ban
車肚裏,ju'du'li
車肚裡,ju'du'li
聚隊,ju'dui
車加車,ju'jia'ju
車裏,ju'li
車裡,ju'li
腳布,jue'bu
腳肚,jue'du
腳肚墩,jue'du'dun
腳肚子,jue'du'zi
腳梗,jue'geng
腳骨,jue'gu
覺覺,jue'jue
腳髁頭,jue'ke'tou
腳裏,jue'li
腳裡,jue'li
腳末節頭,jue'mo'jie'tou
腳緶,jue'pian
腳手,jue'shou
腳踏車,jue'ta'ju
腳頭,jue'tou
開大口,kai'da'kou
開散子,kai'san'zi
開玩笑,kai'wan'xiao
開銷,kai'xiao
揩著,kai'zhu
坎漏斗,kan'lou'dou
囥床,kang'chuang
扛得動,kang'de'dong
扛弗動,kang'fu'dong
慷慨,kang'kai
扛勒動,kang'le'dong
靠嗰,kao'ge
考究,kao'jiu
課加課,ke'jia'ke
揢牢,ke'lao
揢牢定,ke'lao'ding
揢牢牢,ke'lao'lao
客面光,ke'mian'guang
顆星,ke'xing
顆星頭,ke'xing'tou
空雙手,kong'shuang'shou
空爻,kong'yao
空帳,kong'zhang
空帳空爻,kong'zhang'kong'yao
扣昶,kou'chang
扣昶朞,kou'chang'ji
扣昶稘,kou'chang'ji
扣搭,kou'da
扣得,kou'de
扣對起,kou'dui'qi
扣好,kou'hao
口加口,kou'jia'kou
口加口碗,kou'jia'kou'wan
扣扣,kou'kou
扣扣好,kou'kou'hao
扣勒,kou'le
扣勒搭嗰,kou'le'da'ge
扣起頭,kou'qi'tou
扣上先,kou'shang'xian
口舌,kou'she
扣趒來,kou'tiao'lai
扣頭起,kou'tou'qi
口燥,kou'zao
口嘴,kou'zui
褲腳緶,ku'jue'pian
褲裏,ku'li
苦澀頭,ku'se'tou
褲頭,ku'tou
褲頭卵,ku'tou'luan
苦險,ku'xian
枯星,ku'xing
枯星飯,ku'xing'fan
枯星頭,ku'xing'tou
快定,kuai'ding
快活,kuai'huo
塊加塊,kuai'jia'kuai
快無用,kuai'mo'yong
快險,kuai'xian
睏草,kun'cao
睏到,kun'dao
睏得,kun'de
睏法,kun'fa
睏覺,kun'jue
睏起,kun'qi
睏前,kun'qian
睏去,kun'qu
睏爽,kun'shuang
睏爻,kun'yao
括括叫,kuo'kuo'jiao
闊頭,kuo'tou
闊險,kuo'xian
鑞鈑,la'ban
辣花花,la'hua'hua
拉鏡,la'jing
辣茄,la'qie
辣手,la'shou
邋遢,la'ta
辣險,la'xian
辣扎,la'zha
徠塝,lai'bang
來不逮,lai'bu'dai
來不洎,lai'bu'ji
賴柴,lai'chai
賴柴哽,lai'chai'geng
賴湊,lai'cou
來湊,lai'cou
徠底,lai'di
攋屙,lai'e
徠橫,lai'heng
來健,lai'jian
攋尿,lai'niao
徠確伊,lai'que'yi
賴堂,lai'tang
賴堂賴牢,lai'tang'lai'lao
徠咸伊,lai'xian'yi
徠嚡橫,lai'xie'heng
來爻,lai'yao
徠伊,lai'yi
徠伊橫,lai'yi'heng
濫溚溚,lan'da'da
濫答答,lan'da'da
懶惰鬼,lan'duo'gui
懶惰筋,lan'duo'jin
懶惰人,lan'duo'ren
爛疙疤,lan'ge'ba
濫賤,lan'jian
攬來,lan'lai
攬牢,lan'lao
懶士,lan'shi
漤柿,lan'shi
濫田,lan'tian
爛頭,lan'tou
爛吞,lan'tun
濫險,lan'xian
爛心臭,lan'xin'chou
懶椅,lan'yi
藍衣衣,lan'yi'yi
狼戾,lang'li
莨萁山草,lang'qi'shan'cao
廊簷,lang'yan
廊柱,lang'zhu
老班輩,lao'ban'bei
老策,lao'ce
牢定,lao'ding
老橫,lao'heng
老虎洞珠,lao'hu'dong'zhu
老健,lao'jian
牢監,lao'jian
牢監門,lao'jian'men
勞碌,lao'lu
老世,lao'shi
老實,lao'shi
老是,lao'shi
老鼠兒,lao'shu'er
老司頭,lao'si'tou
老屋,lao'wu
老險,lao'xian
老讚,lao'zan
老早,lao'zao
勒塝,le'bang
勒出,le'chu
勒逮,le'dai
勒到,le'dao
勒得,le'de
勒動,le'dong
勒過,le'guo
勒洎,le'ji
勒來,le'lai
勒落,le'luo
勒起,le'qi
勒著,le'zhu
擂倒,lei'dao
雷佛,lei'fo
冷菜蔬,leng'cai'shu
冷茶,leng'cha
冷飯,leng'fan
冷靜,leng'jing
冷天,leng'tian
冷天價,leng'tian'jie
冷險,leng'xian
冷葷,leng'xun
冷衣衣,leng'yi'yi
冷陰陰,leng'yin'yin
裏邊,li'bian
裡邊,li'bian
李闖,li'chuang
力道,li'dao
力花,li'hua
蠣灰,li'hui
粒加粒,li'jia'li
裏間,li'jian
裡間,li'jian
利淨,li'jing
裏橛,li'jue
裡橛,li'jue
裏橛儿,li'jue'er
粒牢,li'lao
裏門,li'men
裡門,li'men
裏面,li'mian
裡面,li'mian
理日頭,li'ri'tou
裏頭,li'tou
裡頭,li'tou
力頭,li'tou
裏向,li'xiang
裡向,li'xiang
荔枝瓜,li'zhi'gua
倆步,lia'bu
倆步路,lia'bu'lu
倆塊,lia'kuai
倆人,lia'ren
聯對,lian'dui
連家,lian'jia
連緊,lian'jin
連身睏,lian'shen'kun
連世,lian'shi
聯繫,lian'xi
涼茶,liang'cha
亮蕩,liang'dang
亮蕩裏,liang'dang'li
兩嗰,liang'ge
兩嘅,liang'ge
兩嗰人,liang'ge'ren
兩嘅頭,liang'ge'tou
兩股開,liang'gu'kai
兩橫邊,liang'heng'bian
兩件頭,liang'jian'tou
兩角,liang'jiao
兩人,liang'ren
涼傘,liang'san
亮爍爍,liang'shuo'shuo
亮險,liang'xian
涼險,liang'xian
了得,liao'de
撩手癢,liao'shou'yang
鄰舍,lin'she
撛轉,lin'zhuan
領脰,ling'dou
另肚,ling'du
靈光,ling'guang
另淨,ling'jing
鈴鋃,ling'lang
零頭,ling'tou
領頭,ling'tou
嶺頭,ling'tou
流蕩,liu'dang
六嗰,liu'ge
六嘅,liu'ge
留學,liu'xue
六月天,liu'yue'tian
六月天價,liu'yue'tian'jie
六月旺天,liu'yue'wang'tian
聾耳朵,long'er'duo
攏共,long'gong
礱糠,long'kang
龍閃,long'shan
弄堂,long'tang
攏總,long'zong
樓板,lou'ban
樓板頭,lou'ban'tou
嘍嘍聲,lou'lou'sheng
路底,lu'di
嚕啦,lu'la
路數,lu'shuo
卵出,luan'chu
卵段,luan'duan
亂胡,luan'hu
亂胡講,luan'hu'jiang
臠加臠,luan'jia'luan
卵脬,luan'pao
亂三講,luan'san'jiang
欒樹,luan'shu
亂妝,luan'zhuang
亂妝果,luan'zhuang'guo
落班,luo'ban
落雹,luo'bao
蘿蔔,luo'bo
蘿蔔菜頭,luo'bo'cai'tou
落船,luo'chuan
鑼鼓,luo'gu
落海,luo'hai
落車,luo'ju
落腳,luo'jue
落來,luo'lai
落嶺,luo'ling
落起,luo'qi
落去,luo'qu
落身,luo'shen
落市,luo'shi
落時,luo'shi
螺絲開,luo'si'kai
囉唆,luo'suo
囉唆散嘴,luo'suo'san'zui
囉唆事幹,luo'suo'shi'gan
囉唆嘴,luo'suo'zui
落臺,luo'tai
落坍,luo'tan
落坍嗰,luo'tan'ge
落坍嘅,luo'tan'ge
落腕,luo'wan
落雪,luo'xue
落雪天價,luo'xue'tian'jie
落爻,luo'yao
落雨,luo'yu
落雨天價,luo'yu'tian'jie
落圓,luo'yuan
綠衣衣,lv'yi'yi
麻粢,ma'ci
麻袋,ma'dai
碼道,ma'dao
碼道頭,ma'dao'tou
馬褂,ma'gua
賣白糖,mai'bai'tang
麥笪,mai'da
埋坑,mai'keng
埋坑板,mai'keng'ban
埋坑頭,mai'keng'tou
麥面,mai'mian
麥麵,mai'mian
麥頭,mai'tou
買爻,mai'yao
賣爻,mai'yao
漫八,man'ba
慢火,man'huo
慢腳,man'jue
慢慢趒,man'man'tiao
慢險,man'xian
忙牢,mang'lao
忙牢定,mang'lao'ding
貓兒,mao'er
貓孃,mao'niang
帽碗,mao'wan
毛線衫,mao'xian'shan
門檻,men'kan
門口頭,men'kou'tou
悶牢定,men'lao'ding
門扇後,men'shan'hou
門手,men'shou
門閂,men'shuan
門堂,men'tang
門頭,men'tou
懵講,meng'jiang
懵教,meng'jiao
米缸,mi'gang
米麵,mi'mian
米糰,mi'tuan
密險,mi'xian
眠床,mian'chuang
眠床間,mian'chuang'jian
棉花絮,mian'hua'xu
面火,mian'huo
面火著起,mian'huo'zhu'qi
面頰鼓,mian'jia'gu
面巾,mian'jin
面臉,mian'lian
棉毛褲,mian'mao'ku
棉毛衫,mian'mao'shan
棉毛衫料,mian'mao'shan'liao
眠夢,mian'meng
麵燙起,mian'tang'qi
面桶,mian'tong
棉線卷,mian'xian'juan
面嘴,mian'zui
面嘴相,mian'zui'xiang
明波,ming'bo
命送爻,ming'song'yao
名堂,ming'tang
墨墊,mo'dian
驀定頭,mo'ding'tou
驀嗰臨頭,mo'ge'lin'tou
墨黑,mo'hei
無解,mo'jie
末腳,mo'jue
末腳嗰,mo'jue'ge
末腳嘅,mo'jue'ge
沒牢牢,mo'lao'lao
茉莉花,mo'li'hua
無其數,mo'qi'shuo
驀時臨頭,mo'shi'lin'tou
無數,mo'shuo
末坍,mo'tan
無用,mo'yong
木電,mu'dian
木電木牢,mu'dian'mu'lao
姆媽,mu'ma
木勺,mu'shao
木頭,mu'tou
木頭人,mu'tou'ren
木藥針,mu'yao'zhen
哪耷儿,na'da'er
哪方,na'fang
哪個,na'ge
哪嗰,na'ge
哪嘅,na'ge
捺滿,na'man
哪門,na'men
哪面,na'mian
捺鈕,na'niu
捺起,na'qi
哪頭,na'tou
哪許,na'xu
呐噪喊,na'zao'han
捺轉,na'zhuan
嬭嬭,nai'nai
耐心堂,nai'xin'tang
囡兒孫,nan'er'sun
囡兒頭,nan'er'tou
囡兒婿,nan'er'xu
男客人,nan'ke'ren
南灣,nan'wan
孬撐,nao'cheng
孬吃,nao'chi
孬打,nao'da
腦頂,nao'ding
腦頂頭,nao'ding'tou
孬哽,nao'geng
孬過,nao'guo
孬講話,nao'jiang'hua
孬看,nao'kan
鬧起,nao'qi
鬧起爻,nao'qi'yao
鬧熱,nao're
孬聽,nao'ting
腦頭,nao'tou
孬望,nao'wang
孬寫,nao'xie
孬妝,nao'zhuang
內照,nei'zhao
嫩頭,nen'tou
嫩險,nen'xian
抳上,ni'shang
泥水,ni'shui
泥塗,ni'tu
膩牙,ni'ya
廿把,nian'ba
廿把嗰,nian'ba'ge
年初,nian'chu
年底,nian'di
廿嗰,nian'ge
廿嘅,nian'ge
年加年,nian'jia'nian
年數,nian'shuo
念天書,nian'tian'shu
孃兒,niang'er
孃兒兩嘅,niang'er'liang'ge
孃妗,niang'jin
孃舅,niang'jiu
孃囡,niang'nan
孃囡兩嘅,niang'nan'liang'ge
孃娘,niang'niang
孃孃,niang'niang
孃姨,niang'yi
娘姨範,niang'yi'fan
孃姨範,niang'yi'fan
鳥彈,niao'dan
鳥彈架,niao'dan'jia
鳥兒,niao'er
鳥窠,niao'ke
鳥子斑,niao'zi'ban
捏牢,nie'lao
捏牢定,nie'lao'ding
捏牢牢,nie'lao'lao
囁囁聲,nie'nie'sheng
牛肚,niu'du
牛皮糖,niu'pi'tang
牛仔筆,niu'zai'bi
牛仔彈,niu'zai'dan
牛仔褲,niu'zai'ku
紐珠,niu'zhu
農場,nong'chang
農民伯爺,nong'min'bo'ye
濃濃渧,nong'nong'ti
弄送,nong'song
暖烘烘,nuan'hong'hong
暖暖過,nuan'nuan'guo
暖天,nuan'tian
暖天價,nuan'tian'jie
暖險,nuan'xian
難熬,nuo'ao
懦孱,nuo'chan
難得,nuo'de
難過,nuo'guo
難過險,nuo'guo'xian
女客人,nv'ke'ren
謳謳,ou'ou
謳謳向,ou'ou'xiang
謳硬,ou'ying
爬得動,pa'de'dong
爬弗動,pa'fu'dong
爬勒動,pa'le'dong
爬爬,pa'pa
爬起,pa'qi
爬起爻,pa'qi'yao
牌頭,pai'tou
盤菜頭,pan'cai'tou
爿地,pan'di
盆加盆,pen'jia'pen
噴筒,pen'tong
噴香,pen'xiang
屁時長,pi'shi'chang
瓢羹,piao'geng
憑爾,ping'er
瓶蓋,ping'ge
瓶加瓶,ping'jia'ping
乒乓球,ping'pang'qiu
憑渠,ping'qu
憑我,ping'wo
迫堆,po'dui
破賴,po'lai
破賴垽,po'lai'yin
迫牢定,po'lao'ding
破爿,po'pan
破碎,po'sui
氣道,qi'dao
七嗰,qi'ge
七嘅,qi'ge
奇古,qi'gu
氣講,qi'jiang
起來,qi'lai
氣力,qi'li
起頭,qi'tou
齊頭,qi'tou
起頭朞,qi'tou'ji
起頭稘,qi'tou'ji
起爻,qi'yao
齊斬斬,qi'zhan'zhan
千把,qian'ba
千把嗰,qian'ba'ge
千嗰,qian'ge
千嘅,qian'ge
前間,qian'jian
乾淨,qian'jing
千句一,qian'ju'yi
前橛儿,qian'jue'er
牽連,qian'lian
前門,qian'men
前門牙,qian'men'ya
前年,qian'nian
前日,qian'ri
前日黃昏,qian'ri'huang'hun
前世,qian'shi
千萬人,qian'wan'ren
前夜,qian'ye
千早,qian'zao
脥遮下,qian'zhe'xia
牆角,qiang'jiao
牆角落頭,qiang'jiao'luo'tou
牆腳,qiang'jue
槍篱,qiang'li
槍籬,qiang'li
墻圍,qiang'wei
繰邊,qiao'bian
墝埆,qiao'que
磽確,qiao'que
巧手,qiao'shou
挈牢定,qie'lao'ding
挈牢牢,qie'lao'lao
挈木頭,qie'mu'tou
親眷,qin'juan
勤會,qin'kuai
親生,qin'sheng
親生兒,qin'sheng'er
親生囡,qin'sheng'nan
清靈,qing'ling
輕飄飄,qing'piao'piao
清確,qing'que
清爽,qing'shuang
清爽氣,qing'shuang'qi
清水,qing'shui
清味,qing'wei
輕險,qing'xian
晴爻,qing'yao
青衣衣,qing'yi'yi
穹蒼,qiong'cang
球菜,qiu'cai
秋老虎,qiu'lao'hu
秋雷,qiu'lei
渠班人,qu'ban'ren
渠搭爾,qu'da'er
渠搭我,qu'da'wo
渠弗搭爾,qu'fu'da'er
渠弗搭我,qu'fu'da'wo
渠講,qu'jiang
渠兩個,qu'liang'ge
去年,qu'nian
蛐蟮,qu'shan
曲蟮,qu'shan
渠許,qu'xu
去爻,qu'yao
渠侇,qu'yi
渠侇嗰,qu'yi'ge
全弗識,quan'fu'shi
全嘅,quan'ge
全靠,quan'kao
全無用,quan'mo'yong
拳頭,quan'tou
圈圓,quan'yuan
皵垽膏,que'yin'gao
繞頸,rao'jing
饒舌,rao'she
熱飯,re'fan
惹惶碌,re'huang'lu
熱霍霍,re'huo'huo
熱鬧,re'nao
熱燙燙,re'tang'tang
熱險,re'xian
人邊,ren'bian
人範,ren'fan
認弗得,ren'fu'de
人家頭,ren'jia'tou
人客,ren'ke
人裏,ren'li
人裡,ren'li
人貌,ren'mao
人情,ren'qing
人山,ren'shan
人條,ren'tiao
人頭,ren'tou
忍爻,ren'yao
人中,ren'zhong
日底,ri'di
日加日,ri'jia'ri
日加日儿,ri'jia'ri'er
日夾夜,ri'jia'ye
日腳,ri'jue
日裏,ri'li
日數,ri'shuo
日頭,ri'tou
日頭晃,ri'tou'huang
日頭氣,ri'tou'qi
日頭下,ri'tou'xia
日晝,ri'zhou
日晝飯,ri'zhou'fan
日晝頭,ri'zhou'tou
日子,ri'zi
日子頭,ri'zi'tou
肉皮膏,rou'pi'gao
肉散,rou'san
如果,ru'guo
入心,ru'xin
軟弱,ruan'ruo
軟梯,ruan'ti
三八天,san'ba'tian
三嗰,san'ge
三嘅,san'ge
三嘅頭,san'ge'tou
散工,san'gong
三股開,san'gu'kai
散塊,san'kuai
三兩手,san'liang'shou
三盤兩勝,san'pan'liang'sheng
散票,san'piao
散銅鈿,san'tong'tian
散嘴,san'zui
桑吖,sang'a
搡搪話,sang'tang'hua
磉砧板,sang'zhen'ban
掃掃過,sao'sao'guo
裟袈,sha'jia
煞甲,sha'jia
沙烏,sha'wu
扇加扇,shan'jia'shan
山澗,shan'jian
單件布衫,shan'jian'bu'shan
單件頭,shan'jian'tou
山墈,shan'kan
單條褲,shan'tiao'ku
山陷,shan'xian
衫袖,shan'xiu
衫袖頭,shan'xiu'tou
衫袖頭套,shan'xiu'tou'tao
山腰,shan'yao
上大陳,shang'da'chen
上高下墈,shang'gao'xia'kan
上嗰月日,shang'ge'yue'ri
上個月頭,shang'ge'yue'tou
上嗰月頭,shang'ge'yue'tou
上個月月,shang'ge'yue'yue
上頷,shang'han
上橫頭,shang'heng'tou
上環,shang'huan
上間,shang'jian
上橛儿,shang'jue'er
上兩日,shang'liang'ri
上嶺,shang'ling
上落,shang'luo
上門,shang'men
上面,shang'mian
上面頭,shang'mian'tou
上去,shang'qu
上頭,shang'tou
上先,shang'xian
上先朞,shang'xian'ji
上先稘,shang'xian'ji
上向,shang'xiang
傷心,shang'xin
上月儿,shang'yue'er
上月份,shang'yue'fen
燒茶,shao'cha
燒火,shao'huo
筲箕髖,shao'ji'kuan
燒湯,shao'tang
稍為,shao'wei
少險,shao'xian
捎腰部頭,shao'yao'bu'tou
捎腰部頭走,shao'yao'bu'tou'zou
燒夜火,shao'ye'huo
燒夜火前,shao'ye'huo'qian
蛇膽,she'dan
奢望,she'wang
身骨,shen'gu
生成,sheng'cheng
生風,sheng'feng
生賤,sheng'jian
生勁,sheng'jing
生輕,sheng'qing
省省力力,sheng'sheng'li'li
生水,sheng'shui
生藥店,sheng'yao'dian
生油,sheng'you
生重,sheng'zhong
十把,shi'ba
拭餅,shi'bing
識得,shi'de
實底,shi'di
實肚,shi'du
事幹,shi'gan
十嗰,shi'ge
十嘅,shi'ge
時光,shi'guang
時節,shi'jie
十塊頭,shi'kuai'tou
識勒,shi'le
市日,shi'ri
十三點,shi'san'dian
時興,shi'xing
事爻,shi'yao
是爻,shi'yao
實在,shi'zai
手臂筒,shou'bi'tong
壽材,shou'cai
手骨,shou'gu
手巾,shou'jin
手勁,shou'jing
手裏,shou'li
手鑨,shou'long
手末節頭,shou'mo'jie'tou
手末腦頭,shou'mo'nao'tou
手脥下,shou'qian'xia
壽山,shou'shan
手勢做做,shou'shi'zuo'zuo
壽頭,shou'tou
鼠標,shu'biao
熟菜蔬,shu'cai'shu
屬隊,shu'dui
書房間,shu'fang'jian
暑假,shu'jia
樹頭,shu'tou
熟頭,shu'tou
樹頭果子,shu'tou'guo'zi
豎轉,shu'zhuan
書桌,shu'zhuo
刷瀟,shua'xiao
閂來,shuan'lai
霜冰,shuang'bing
霜冰柱,shuang'bing'zhu
雙簧,shuang'huang
雙加雙,shuang'jia'shuang
爽腳,shuang'jue
雙身,shuang'shen
爽爽聲,shuang'shuang'sheng
雙箸,shuang'zhu
水彩筆,shui'cai'bi
水潺,shui'chan
水缸,shui'gang
水缸裏,shui'gang'li
水井,shui'jing
水色,shui'se
稅屋,shui'wu
順邊,shun'bian
順當,shun'dang
順手,shun'shou
順手邊,shun'shou'bian
順手面,shun'shou'mian
說謊,shuo'huang
爍亮,shuo'liang
爍爍亮,shuo'shuo'liang
死柴,si'chai
死臭,si'chou
四方,si'fang
四方八面,si'fang'ba'mian
四嗰,si'ge
四嘅,si'ge
死來,si'lai
死人,si'ren
死人臭,si'ren'chou
死人骨頭,si'ren'gu'tou
司頭,si'tou
司頭嶺,si'tou'ling
死相,si'xiang
死爻,si'yao
私章,si'zhang
死轉來,si'zhuan'lai
送燈,song'deng
送端午,song'duan'wu
送命,song'ming
送人情,song'ren'qing
送上山,song'shang'shan
送條命,song'tiao'ming
鬆燥,song'zao
送晝飯,song'zhou'fan
素菜蔬,su'cai'shu
素性,su'xing
算講,suan'jiang
算數,suan'shuo
算爻,suan'yao
碎米,sui'mi
隨手,sui'shou
歲數,sui'shuo
歲頭,sui'tou
筍梗,sun'geng
筍乾,sun'qian
鎖匙頭,suo'chi'tou
蓑衣,suo'yi
踏步道,ta'bu'dao
踏步道格,ta'bu'dao'ge
踏道,ta'dao
踏腳車,ta'jue'ju
塌爛,ta'lan
踏落空,ta'luo'kong
闒門,ta'men
闒門帳,ta'men'zhang
涾涾翻,ta'ta'fan
獺豬,ta'zhu
臺門頭,tai'men'tou
太陽佛,tai'yang'fo
太陽佛花,tai'yang'fo'hua
太陽晃,tai'yang'huang
太醫,tai'yi
貪管閒事,tan'guan'xian'shi
攤拭餅,tan'shi'bing
貪險,tan'xian
燙茶,tang'cha
燙糕,tang'gao
糖梗,tang'geng
堂加堂,tang'jia'tang
堂加堂課,tang'jia'tang'ke
燙麵,tang'mian
趟平,tang'ping
湯氣,tang'qi
糖霜,tang'shuang
湯湯渧,tang'tang'ti
塘頭,tang'tou
燙險,tang'xian
討飯,tao'fan
討飯袋,tao'fan'dai
討海,tao'hai
討口寸,tao'kou'cun
討老安,tao'lao'an
淘氣,tao'qi
討信,tao'xin
騰日,teng'ri
梯凳,ti'deng
體格,ti'ge
體面,ti'mian
題目頭,ti'mu'tou
剃頭,ti'tou
剃頭店,ti'tou'dian
田地,tian'di
天價,tian'jie
天亮,tian'liang
天亮黃昏,tian'liang'huang'hun
天亮晚頭,tian'liang'wan'tou
天羅,tian'luo
天羅絮,tian'luo'xu
天羅絮殼,tian'luo'xu'qiao
靦腆,tian'tian
田垟,tian'yang
趒邊,tiao'bian
跳柴繩,tiao'chai'sheng
趒出,tiao'chu
趒到,tiao'dao
趒得,tiao'de
趒得動,tiao'de'dong
趒得進,tiao'de'jin
趒得來,tiao'de'lai
趒得著,tiao'de'zhu
趒弗逮,tiao'fu'dai
趒弗動,tiao'fu'dong
趒弗洎,tiao'fu'ji
趒弗進,tiao'fu'jin
趒弗來,tiao'fu'lai
趒弗著,tiao'fu'zhu
趒功,tiao'gong
趒及到,tiao'ji'dao
條加條,tiao'jia'tiao
趒來,tiao'lai
趒來健,tiao'lai'jian
趒來趒去,tiao'lai'tiao'qu
趒來爻,tiao'lai'yao
趒勒,tiao'le
趒勒動,tiao'le'dong
趒勒進,tiao'le'jin
趒勒來,tiao'le'lai
趒勒著,tiao'le'zhu
趒路,tiao'lu
趒落去,tiao'luo'qu
調皮,tiao'pi
趒去,tiao'qu
趒上來,tiao'shang'lai
跳繩,tiao'sheng
挑手邊,tiao'shou'bian
調泰,tiao'tai
趒趒,tiao'tiao
趒爻,tiao'yao
調勻,tiao'yun
條直,tiao'zhi
趒轉,tiao'zhuan
鐵耙,tie'ba
鐵鑊,tie'huo
鐵碎,tie'sui
鐵銷,tie'xiao
貼心,tie'xin
停當,ting'dang
聽得進,ting'de'jin
聽得來,ting'de'lai
聽弗進,ting'fu'jin
聽弗來,ting'fu'lai
聽功,ting'gong
聽講,ting'jiang
聽勒進,ting'le'jin
聽勒來,ting'le'lai
聽聽,ting'ting
聽著,ting'zhu
聽賺,ting'zuan
統家人,tong'jia'ren
銅鈿,tong'tian
膧頭,tong'tou
朣頭,tong'tou
統姓辦,tong'xing'ban
偷伴,tou'ban
頭遍,tou'bian
頭昶,tou'chang
頭二千,tou'er'qian
頭頸,tou'jing
頭頸兒,tou'jing'er
頭路,tou'lu
頭慢先,tou'man'xian
頭門,tou'men
頭門頭,tou'men'tou
頭腦頂心,tou'nao'ding'xin
頭爿,tou'pan
頭起,tou'qi
頭起朞,tou'qi'ji
頭起稘,tou'qi'ji
頭前,tou'qian
頭圈,tou'quan
頭圈四旋,tou'quan'si'xuan
頭日,tou'ri
投生,tou'sheng
頭梳,tou'shu
頭頭,tou'tou
頭先,tou'xian
頭夜,tou'ye
兔兒,tu'er
土狗,tu'gou
推板,tui'ban
退課,tui'ke
吞嗰,tun'ge
吞險,tun'xian
馱邊,tuo'bian
馱撥,tuo'bo
馱出,tuo'chu
馱出來,tuo'chu'lai
馱到,tuo'dao
馱得,tuo'de
馱來,tuo'lai
馱粒,tuo'li
馱落來,tuo'luo'lai
馱落去,tuo'luo'qu
脫落水,tuo'luo'shui
馱去,tuo'qu
馱上來,tuo'shang'lai
馱上去,tuo'shang'qu
拖鞋拖,tuo'xie'tuo
馱爻,tuo'yao
馱著,tuo'zhu
馱轉,tuo'zhuan
瓦棟,wa'dong
瓦迒,wa'hang
瓦檐,wa'yan
外邊,wai'bian
外關衫,wai'guan'shan
外間,wai'jian
歪筋,wai'jin
外橛儿,wai'jue'er
歪賴,wai'lai
外門,wai'men
外面,wai'mian
外頭,wai'tou
外向,wai'xiang
萬把,wan'ba
萬把嗰,wan'ba'ge
碗加碗,wan'jia'wan
晚接,wan'jie
晚接力,wan'jie'li
碗腳,wan'jue
绾牢牢,wan'lao'lao
彎龍彎,wan'long'wan
晚娘,wan'niang
頑皮眼,wan'pi'yan
彎頭,wan'tou
晚頭,wan'tou
碗頭,wan'tou
彎頭打轉,wan'tou'da'zhuan
彎頭彎轉,wan'tou'wan'zhuan
晚爺,wan'ye
彎轉,wan'zhuan
望昶,wang'chang
望潮,wang'chao
望潮水,wang'chao'shui
望得進,wang'de'jin
望得來,wang'de'lai
望得著,wang'de'zhu
望電視,wang'dian'shi
望電影,wang'dian'ying
望東洋鏡,wang'dong'yang'jing
望端午,wang'duan'wu
望弗得,wang'fu'de
望弗過,wang'fu'guo
望弗進,wang'fu'jin
望弗來,wang'fu'lai
望弗勒,wang'fu'le
望弗著,wang'fu'zhu
望箇天,wang'ge'tian
望哽,wang'geng
望功,wang'gong
望戲,wang'hu
望及過,wang'ji'guo
望來,wang'lai
望來健,wang'lai'jian
望牢,wang'lao
望牢定,wang'lao'ding
望牢牢,wang'lao'lao
望勒過,wang'le'guo
望勒進,wang'le'jin
望勒來,wang'le'lai
望勒著,wang'le'zhu
望毛病,wang'mao'bing
望上望,wang'shang'wang
望書,wang'shu
望頭,wang'tou
望望,wang'wang
望望過,wang'wang'guo
望西洋鏡,wang'xi'yang'jing
望小書,wang'xiao'shu
望嚡某,wang'xie'mou
望爻,wang'yao
望仔細,wang'zai'xi
望著,wang'zhu
望賺,wang'zuan
味道,wei'dao
未險,wei'xian
蚊蟲,wen'chong
蚊蟲藥水,wen'chong'yao'shui
文蛋,wen'dan
文蛋欒,wen'dan'luan
問加問,wen'jia'wen
問聲爾,wen'sheng'er
問聲爾向,wen'sheng'er'xiang
問聲渠,wen'sheng'qu
問聲渠向,wen'sheng'qu'xiang
問聲我,wen'sheng'wo
問聲我向,wen'sheng'wo'xiang
穩心,wen'xin
我班人,wo'ban'ren
我不搭爾,wo'bu'da'er
我不搭渠,wo'bu'da'qu
我忖,wo'cun
我搭,wo'da
我搭爾,wo'da'er
我搭渠,wo'da'qu
我講,wo'jiang
我俚,wo'li
我兩個,wo'liang'ge
我儂,wo'nong
我許,wo'xu
我侇,wo'yi
我侇嗰,wo'yi'ge
屋背上,wu'bei'shang
霧蕩蕩,wu'dang'dang
物東,wu'dong
烏縞縞,wu'gao'gao
五嗰,wu'ge
五嘅,wu'ge
烏嗰,wu'ge
五更,wu'geng
五角頭,wu'jiao'tou
烏狼,wu'lang
屋裏,wu'li
屋裡,wu'li
烏籠,wu'long
霧露,wu'lu
烏顱頭,wu'lu'tou
烏黴,wu'mei
烏黴爛攪,wu'mei'lan'jiao
烏木耳,wu'mu'er
勿是,wu'shi
物事,wu'shi
屋稅,wu'shui
霧逃逃,wu'tao'tao
烏娃,wu'wa
屋簷,wu'yan
烏顏色,wu'yan'se
屋簷頭,wu'yan'tou
屋簷頭水,wu'yan'tou'shui
屋簷頭下,wu'yan'tou'xia
勿用,wu'yong
烏油油,wu'you'you
霧罩罩,wu'zhao'zhao
嬉昶,xi'chang
洗飯碗,xi'fan'wan
嬉功,xi'gong
嬉戲,xi'hu
洗腳,xi'jue
洗褲,xi'ku
繫褲,xi'ku
洗來健,xi'lai'jian
細佬,xi'lao
細佬頭,xi'lao'tou
