爱德华,ai'de'hua
视觉的,shi'jue'de
失控灯,shi'kong'deng
石墨床,shi'mo'chuang
实心电弧焊,shi'xin'dian'hu'han
试验,shi'yan
试验程序,shi'yan'cheng'xu
试样,shi'yang
十字接头,shi'zi'jie'tou
首舱,shou'cang
手操舵装置,shou'cao'duo'zhuang'zhi
手电筒,shou'dian'tong
手动手册,shou'dong'shou'ce
首段,shou'duan
收发机,shou'fa'ji
手工电弧焊,shou'gong'dian'hu'han
手工电弧切割,shou'gong'dian'hu'qie'ge
首尖舱,shou'jian'cang
首肋骨,shou'lei'gu
首楼甲板,shou'lou'jia'ban
首楼结构,shou'lou'jie'gou
艏锚灯,shou'mao'deng
首锚主锚,shou'mao'zhu'mao
收音机,shou'yin'ji
首柱板,shou'zhu'ban
鼠标,shu'biao
书柜,shu'gui
书架,shu'jia
输入输出,shu'ru'shu'chu
书桌,shu'zhuo
数字选择呼叫收信机,shu'zi'xuan'ze'hu'jiao'shou'xin'ji
甩干机,shuai'gan'ji
双层底顶纵骨,shuang'ceng'di'ding'zong'gu
双冲程,shuang'chong'cheng
双极单刀开关,shuang'ji'dan'dao'kai'guan
双极双刀开关,shuang'ji'shuang'dao'kai'guan
双面焊,shuang'mian'han
双面坡口,shuang'mian'po'kou
双头螺丝,shuang'tou'luo'si
水密舱口盖,shui'mi'cang'kou'gai
水密甲板,shui'mi'jia'ban
水平桁,shui'ping'heng
水位表,shui'wei'biao
水位控制器,shui'wei'kong'zhi'qi
水下工作,shui'xia'gong'zuo
水下切割,shui'xia'qie'ge
水压试验,shui'ya'shi'yan
顺时针旋转,shun'shi'zhen'xuan'zhuan
送风机,song'feng'ji
送丝机构,song'si'ji'gou
送丝速度,song'si'su'du
搜索灯,sou'suo'deng
塑壳断路器,su'ke'duan'lu'qi
塑性断裂,su'xing'duan'lie
苏伊士运河灯吊,su'yi'shi'yun'he'deng'diao
苏伊士运河探照灯,su'yi'shi'yun'he'tan'zhao'deng
苏伊士运河投光灯,su'yi'shi'yun'he'tou'guang'deng
苏伊士运河尾灯,su'yi'shi'yun'he'wei'deng
酸性焊条,suan'xing'han'tiao
随机存取存储器,sui'ji'cun'qu'cun'chu'qi
台灯,tai'deng
台虎钳,tai'hu'qian
台州五洲,tai'zhou'wu'zhou
台州中远,tai'zhou'zhong'yuan
碳当量,tan'dang'liang
碳弧气刨,tan'hu'qi'bao
陶瓷棉,tao'ci'mian
套管接头,tao'guan'jie'tou
套环,tao'huan
套筒扳手,tao'tong'ban'shou
陶质衬垫焊,tao'zhi'chen'dian'han
梯子,ti'zi
填充金属,tian'chong'jin'shu
天花板,tian'hua'ban
填料,tian'liao
填料箱,tian'liao'xiang
天线,tian'xian
天线共用器,tian'xian'gong'yong'qi
天线馈线连接器,tian'xian'kui'xian'lian'jie'qi
天线收发转换开关,tian'xian'shou'fa'zhuan'huan'kai'guan
天线调谐器,tian'xian'tiao'xie'qi
天线引入绝缘端子,tian'xian'yin'ru'jue'yuan'duan'zi
条虫状气孔,tiao'chong'zhuang'qi'kong
跳焊,tiao'han
调节阀,tiao'jie'fa
调整,tiao'zheng
铁法兰,tie'fa'lan
铁粉性焊条,tie'fen'xing'han'tiao
停泊海水泵,ting'bo'hai'shui'beng
停车,ting'che
艇甲板,ting'jia'ban
听筒,ting'tong
停止,ting'zhi
同步表,tong'bu'biao
同步屏,tong'bu'ping
通道,tong'dao
铜法兰,tong'fa'lan
通风管,tong'feng'guan
通风设备,tong'feng'she'bei
铜钢复合板,tong'gang'fu'he'ban
铜滑块,tong'hua'kuai
通孔尺寸,tong'kong'chi'cun
铜冷却板,tong'leng'que'ban
同体交流电动机,tong'ti'jiao'liu'dian'dong'ji
通讯,tong'xun
通用报警,tong'yong'bao'jing
同轴电缆,tong'zhou'dian'lan
透光尺寸,tou'guang'chi'cun
土司机,tu'si'ji
图纸,tu'zhi
推力块,tui'li'kuai
脱扣,tuo'kou
瓦特,wa'te
外高桥,wai'gao'qiao
外观检查,wai'guan'jian'cha
弯曲,wan'qu
弯头,wan'tou
万用表,wan'yong'biao
网络,wang'luo
围板,wei'ban
尾部水舱,wei'bu'shui'cang
尾灯,wei'deng
尾段,wei'duan
桅杆,wei'gan
尾管滑油重力柜,wei'guan'hua'you'zhong'li'gui
微观试样,wei'guan'shi'yang
威海船厂,wei'hai'chuan'chang
未焊满,wei'han'man
未焊透,wei'han'tou
尾尖舱,wei'jian'cang
未满焊,wei'man'han
艉锚灯,wei'mao'deng
未熔合,wei'rong'he
危险气体报警箱,wei'xian'qi'ti'bao'jing'xiang
尾轴,wei'zhou
尾轴管,wei'zhou'guan
温度传感器,wen'du'chuan'gan'qi
温度计,wen'du'ji
温度开关,wen'du'kai'guan
武船,wu'chuan
雾笛,wu'di
无缝钢管,wu'feng'gang'guan
无功电流,wu'gong'dian'liu
钨极惰性气体保护电弧焊,wu'ji'duo'xing'qi'ti'bao'hu'dian'hu'han
物料吊,wu'liao'diao
污水舱,wu'shui'cang
污水井,wu'shui'jing
无损探伤,wu'sun'tan'shang
无线电测向仪,wu'xian'dian'ce'xiang'yi
洗池,xi'chi
系航索,xi'hang'suo
吸入阀,xi'ru'fa
牺牲阳极,xi'sheng'yang'ji
系索令环,xi'suo'ling'huan
洗碗机,xi'wan'ji
西霞口船厂,xi'xia'kou'chuan'chang
洗衣机,xi'yi'ji
下甲板,xia'jia'ban
下开式压紧器,xia'kai'shi'ya'jin'qi
厦门重工,xia'men'zhong'gong
舷侧外板,xian'ce'wai'ban
舷侧纵桁,xian'ce'zong'heng
舷窗,xian'chuang
舷窗风暴盖,xian'chuang'feng'bao'gai
舷灯,xian'deng
线能量,xian'neng'liang
舷墙板,xian'qiang'ban
线圈,xian'quan
显示,xian'shi
限位开关,xian'wei'kai'guan
相,xiang
橡皮床,xiang'pi'chuang
象山船厂,xiang'shan'chuan'chang
小舱口盖,xiao'cang'kou'gai
消除应力,xiao'chu'ying'li
小吊,xiao'diao
消防阀,xiao'fang'fa
消防水龙带箱,xiao'fang'shui'long'dai'xiang
消防员装备,xiao'fang'yuan'zhuang'bei
消防总管,xiao'fang'zong'guan
消耗,xiao'hao
消音,xiao'yin
斜板,xie'ban
斜边舱,xie'bian'cang
斜舱壁纵骨,xie'cang'bi'zong'gu
卸扣,xie'kou
卸载,xie'zai
信号灯,xin'hao'deng
信号集合箱,xin'hao'ji'he'xiang
芯片,xin'pian
新时代船厂,xin'shi'dai'chuan'chang
新世纪船厂,xin'shi'ji'chuan'chang
芯线,xin'xian
新扬子船厂,xin'yang'zi'chuan'chang
型材桁,xing'cai'heng
形接头,xing'jie'tou
型坡口,xing'po'kou
形坡口,xing'po'kou
行走机构,xing'zou'ji'gou
悬轮轴,xuan'lun'zhou
旋转灯,xuan'zhuan'deng
循环滑油舱,xun'huan'hua'you'cang
循环水槽,xun'huan'shui'cao
氩弧焊,ya'hu'han
压紧器撬棒,ya'jin'qi'qiao'bang
压力表,ya'li'biao
压力传感器,ya'li'chuan'gan'qi
压力开关,ya'li'kai'guan
压载泵,ya'zai'beng
压载控制台,ya'zai'kong'zhi'tai
延迟裂纹,yan'chi'lie'wen
验电笔,yan'dian'bi
岩棉,yan'mian
研磨,yan'mo
烟气探测报警箱,yan'qi'tan'ce'bao'jing'xiang
延伸报警板,yan'shen'bao'jing'ban
烟台莱佛士船,yan'tai'lai'fo'shi'chuan
仰焊,yang'han
阳极,yang'ji
氧乙炔焊,yang'yi'que'han
扬州大洋船厂,yang'zhou'da'yang'chuan'chang
扬州科进,yang'zhou'ke'jin
扬子江船厂,yang'zi'jiang'chuan'chang
咬边,yao'bian
遥测表,yao'ce'biao
遥控,yao'kong
药芯电弧焊,yao'xin'dian'hu'han
药芯焊剂,yao'xin'han'ji
液舱,ye'cang
液全器,ye'quan'qi
液位传感器,ye'wei'chuan'gan'qi
液位开关,ye'wei'kai'guan
液压试验,ye'ya'shi'yan
仪表,yi'biao
仪表类,yi'biao'lei
宜昌,yi'chang
异常,yi'chang
一次系统,yi'ci'xi'tong
移动,yi'dong
一度油漆,yi'du'you'qi
衣柜,yi'gui
溢流阀,yi'liu'fa
溢流阀安全阀,yi'liu'fa'an'quan'fa
移门,yi'men
仪征华为,yi'zheng'hua'wei
仪征五洋船厂,yi'zheng'wu'yang'chuan'chang
仪征新东海,yi'zheng'xin'dong'hai
阴板,yin'ban
引出板,yin'chu'ban
引弧,yin'hu
引弧板,yin'hu'ban
阴极,yin'ji
饮水舱,yin'shui'cang
饮水日用泵,yin'shui'ri'yong'beng
饮水消毒装置,yin'shui'xiao'du'zhuang'zhi
饮水压力柜,yin'shui'ya'li'gui
饮用水舱,yin'yong'shui'cang
应答,ying'da
荧光灯,ying'guang'deng
应急,ying'ji
应急淡水柜,ying'ji'dan'shui'gui
应急发电机,ying'ji'fa'dian'ji
应急空气瓶,ying'ji'kong'qi'ping
应急空压机,ying'ji'kong'ya'ji
应急配电板,ying'ji'pei'dian'ban
应急示位标,ying'ji'shi'wei'biao
应急停,ying'ji'ting
应急消防泵,ying'ji'xiao'fang'beng
应急照明分电箱,ying'ji'zhao'ming'fen'dian'xiang
硬件,ying'jian
油泵侧,you'beng'ce
油缸,you'gang
油缸铰链,you'gang'jiao'lian
油缸铰链链轴,you'gang'jiao'lian'lian'zhou
有功功率,you'gong'gong'lv
右焊法,you'han'fa
油漆,you'qi
油漆滚筒,you'qi'gun'tong
油漆刷子,you'qi'shua'zi
油水分离器,you'shui'fen'li'qi
右舷,you'xian
右舷舱,you'xian'cang
右舷灯,you'xian'deng
优先卸载,you'xian'xie'zai
油渣泵,you'zha'beng
御扣,yu'kou
预热,yu're
预热温度,yu're'wen'du
遇险信息控制器,yu'xian'xin'xi'kong'zhi'qi
雨雪清除器,yu'xue'qing'chu'qi
元宝螺丝,yuan'bao'luo'si
原地校正,yuan'di'jiao'zheng
运转灯,yun'zhuan'deng
载货甲板,zai'huo'jia'ban
再热裂纹,zai're'lie'wen
凿子,zao'zi
增强群呼叫收讯机,zeng'qiang'qun'hu'jiao'shou'xun'ji
渣,zha
窄频直接打印机,zhai'pin'zhi'jie'da'yin'ji
照明,zhao'ming
照明分电箱,zhao'ming'fen'dian'xiang
兆欧表,zhao'ou'biao
折叠桌,zhe'die'zhuo
遮光窗帘,zhe'guang'chuang'lian
浙江船厂,zhe'jiang'chuan'chang
浙江振宇,zhe'jiang'zhen'yu
针尖状气孔,zhen'jian'zhuang'qi'kong
真空表,zhen'kong'biao
镇流器,zhen'liu'qi
正车,zheng'che
正极,zheng'ji
正极性,zheng'ji'xing
正接,zheng'jie
整流器,zheng'liu'qi
蒸馏水水舱,zheng'liu'shui'shui'cang
蒸汽系统,zheng'qi'xi'tong
郑志敏,zheng'zhi'min
值班水手呼叫,zhi'ban'shui'shou'hu'jiao
纸箔床,zhi'bo'chuang
支撑结构,zhi'cheng'jie'gou
支撑物,zhi'cheng'wu
制淡海水泵,zhi'dan'hai'shui'beng
制淡装置,zhi'dan'zhuang'zhi
支架,zhi'jia
直角软弱管阀,zhi'jiao'ruan'ruo'guan'fa
直接起动,zhi'jie'qi'dong
直流电,zhi'liu'dian
直流电弧焊,zhi'liu'dian'hu'han
志敏,zhi'min
指示器,zhi'shi'qi
直梯,zhi'ti
执行器,zhi'xing'qi
支柱,zhi'zhu
中部结构,zhong'bu'jie'gou
舯部肋骨,zhong'bu'lei'gu
中底桁,zhong'di'heng
中断,zhong'duan
中段,zhong'duan
中断装置,zhong'duan'zhuang'zhi
中间铰链,zhong'jian'jiao'lian
中间轴,zhong'jian'zhou
中间轴承,zhong'jian'zhou'cheng
重力焊条,zhong'li'han'tiao
中内龙骨,zhong'nei'long'gu
中央处理器,zhong'yang'chu'li'qi
中央盘梯,zhong'yang'pan'ti
肘板,zhou'ban
肘板框架肋骨,zhou'ban'kuang'jia'lei'gu
轴承,zhou'cheng
轴颈和轴瓦,zhou'jing'he'zhou'wa
舟山船厂,zhou'shan'chuan'chang
住舱甲板,zhu'cang'jia'ban
主阀,zhu'fa
主机,zhu'ji
主机安全系统,zhu'ji'an'quan'xi'tong
主机淡水膨胀水箱,zhu'ji'dan'shui'peng'zhang'shui'xiang
主机电子调速器,zhu'ji'dian'zi'tiao'su'qi
主机飞轮,zhu'ji'fei'lun
主机缸套水泵,zhu'ji'gang'tao'shui'beng
主机缸套水预热泵,zhu'ji'gang'tao'shui'yu're'beng
主机功率纽力仪,zhu'ji'gong'lv'niu'li'yi
主机海水泵,zhu'ji'hai'shui'beng
主机滑油泵,zhu'ji'hua'you'beng
主机燃油单元,zhu'ji'ran'you'dan'yuan
主机燃油供给泵,zhu'ji'ran'you'gong'ji'beng
主机燃油增压泵,zhu'ji'ran'you'zeng'ya'beng
主机十字头泵,zhu'ji'shi'zi'tou'beng
主机遥控系统,zhu'ji'yao'kong'xi'tong
主机油底壳,zhu'ji'you'di'ke
主机增压器转速表,zhu'ji'zeng'ya'qi'zhuan'su'biao
主机转速表,zhu'ji'zhuan'su'biao
主甲板,zhu'jia'ban
主空气瓶,zhu'kong'qi'ping
主空压机,zhu'kong'ya'ji
主肋骨,zhu'lei'gu
主配电板,zhu'pei'dian'ban
铸铁截止阀,zhu'tie'jie'zhi'fa
铸铁截止止回阀,zhu'tie'jie'zhi'zhi'hui'fa
主桅,zhu'wei
转车机,zhuan'che'ji
转速表,zhuan'su'biao
装复,zhuang'fu
自闭,zi'bi
自动的,zi'dong'de
自动电话,zi'dong'dian'hua
自动舵,zi'dong'duo
自动海图标绘仪,zi'dong'hai'tu'biao'hui'yi
自动焊,zi'dong'han
自动化系统,zi'dong'hua'xi'tong
自动雷达标绘仪,zi'dong'lei'da'biao'hui'yi
紫铜床,zi'tong'chuang
紫铜管,zi'tong'guan
字头型,zi'tou'xing
自由端,zi'you'duan
纵骨,zong'gu
总管,zong'guan
纵桁,zong'heng
纵桁结构,zong'heng'jie'gou
纵裂纹,zong'lie'wen
纵向构件,zong'xiang'gou'jian
纵向焊缝,zong'xiang'han'feng
组合灯板,zu'he'deng'ban
组合锅炉,zu'he'guo'lu
组合起动屏,zu'he'qi'dong'ping
组装,zu'zhuang
钻头,zuan'tou
左焊法,zuo'han'fa
左舷,zuo'xian
左舷灯,zuo'xian'deng
