阿爷无大儿,a'ye'wu'da'er
飞来峰上千寻塔,fei'lai'feng'shang'qian'xun'ta
非醴泉不饮,fei'li'quan'bu'yin
非练实不食,fei'lian'shi'bu'shi
飞鸟相与还,fei'niao'xiang'yu'huan
非人哉,fei'ren'zai
非若是也,fei'ruo'shi'ye
非士之怒也,fei'shi'zhi'nu'ye
飞漱其间,fei'shu'qi'jian
非丝非竹,fei'si'fei'zhu
非惟天时,fei'wei'tian'shi
非梧桐不止,fei'wu'tong'bu'zhi
纷纷暮雪下辕门,fen'fen'mu'xue'xia'yuan'men
忿恚尉,fen'hui'wei
分列两岸,fen'lie'liang'an
奋袖出臂,fen'xiu'chu'bi
风掣红旗冻不翻,feng'che'hong'qi'dong'bu'fan
风多杂鼓声,feng'duo'za'gu'sheng
峰回路转,feng'hui'lu'zhuan
烽火连三月,feng'huo'lian'san'yue
烽火照西京,feng'huo'zhao'xi'jing
风力虽尚劲,feng'li'sui'shang'jin
峰峦如聚,feng'luan'ru'ju
奉命于危难之间,feng'ming'yu'wei'nan'zhi'jian
逢入京使,feng'ru'jing'shi
风声一何盛,feng'sheng'yi'he'sheng
风霜高洁,feng'shuang'gao'jie
奉送封大夫出师西征,feng'song'feng'dai'fu'chu'shi'xi'zheng
风头如刀面如割,feng'tou'ru'dao'mian'ru'ge
风烟俱净,feng'yan'ju'jing
风烟望五津,feng'yan'wang'wu'jin
风雨不动安如山,feng'yu'bu'dong'an'ru'shan
风正一帆悬,feng'zheng'yi'fan'xuan
风住尘香花已尽,feng'zhu'chen'xiang'hua'yi'jin
佛印居右,fo'yin'ju'you
佛印绝类弥勒,fo'yin'jue'lei'mi'le
夫叱大儿声,fu'chi'da'er'sheng
抚尺一下,fu'chi'yi'xia
夫大国,fu'da'guo
复到舅家问焉,fu'dao'jiu'jia'wen'yan
弗得则死,fu'de'ze'si
妇抚儿乳,fu'fu'er'ru
弗敢加也,fu'gan'jia'ye
弗敢易秦,fu'gan'yi'qin
弗敢专也,fu'gan'zhuan'ye
妇姑荷箪食,fu'gu'he'dan'si
浮光跃金,fu'guang'yue'jin
夫韩魏灭亡,fu'han'wei'mie'wang
夫环而攻之,fu'huan'er'gong'zhi
父老四五人,fu'lao'si'wu'ren
复立楚国之社稷,fu'li'chu'guo'zhi'she'ji
父利其然也,fu'li'qi'ran'ye
妇梦中咳嗽,fu'meng'zhong'ke'sou
妇拍而呜之,fu'pai'er'wu'zhi
妇拍儿亦渐拍渐止,fu'pai'er'yi'jian'pai'jian'zhi
夫起大呼,fu'qi'da'hu
复前行,fu'qian'xing
负箧曳屣,fu'qie'ye'xi
俯身倾耳以请,fu'shen'qing'er'yi'qing
弗胜,fu'sheng
夫声起,fu'sheng'qi
弗食,fu'shi
伏尸百万,fu'shi'bai'wan
伏尸二人,fu'shi'er'ren
负势竞上,fu'shi'jing'shang
妇手拍儿声,fu'shou'pai'er'sheng
傅说举于版筑之间,fu'shuo'ju'yu'ban'zhu'zhi'jian
扶苏以数谏故,fu'su'yi'shu'jian'gu
妇啼一何苦,fu'ti'yi'he'ku
复投之,fu'tou'zhi
复行数十步,fu'xing'shu'shi'bu
弗学,fu'xue
凫雁满回塘,fu'yan'man'hui'tang
妇亦起大呼,fu'yi'qi'da'hu
夫亦醒,fu'yi'xing
父异焉,fu'yi'yan
复有贫妇人,fu'you'pin'fu'ren
夫鵷鶵发于南海,fu'yuan'chu'fa'yu'nan'hai
浮云游子意,fu'yun'you'zi'yi
弗之怠,fu'zhi'dai
夫专诸之刺王僚也,fu'zhuan'zhu'zhi'ci'wang'liao'ye
父子相保,fu'zi'xiang'bao
盖大苏泛赤壁云,gai'da'su'fan'chi'bi'yun
盖简桃核修狭者为之,gai'jian'tao'he'xiu'xia'zhe'wei'zhi
盖石性坚重,gai'shi'xing'jian'zhong
盖以诱敌,gai'yi'you'di
盖余之勤且艰若此,gai'yu'zhi'qin'qie'jian'ruo'ci
盖竹柏影也,gai'zhu'bai'ying'ye
盖追先帝之殊遇,gai'zhui'xian'di'zhi'shu'yu
干戈寥落四周星,gan'ge'liao'luo'si'zhou'xing
感极而悲者矣,gan'ji'er'bei'zhe'yi
感时花溅泪,gan'shi'hua'jian'lei
高处不胜寒,gao'chu'bu'sheng'han
高峰入云,gao'feng'ru'yun
高可二黍许,gao'ke'er'shu'xu
高柳夹堤,gao'liu'jia'di
高尚士也,gao'shang'shi'ye
高万仞,gao'wan'ren
高者挂罥长林梢,gao'zhe'gua'juan'chang'lin'shao
告之于帝,gao'zhi'yu'di
高祖因之以成帝业,gao'zu'yin'zhi'yi'cheng'di'ye
歌罢仰天叹,ge'ba'yang'tian'tan
隔篁竹,ge'huang'zhu
隔江犹唱后庭花,ge'jiang'you'chang'hou'ting'hua
各具情态,ge'ju'qing'tai
各领风骚数百年,ge'ling'feng'sao'shu'bai'nian
葛天氏之民欤,ge'tian'shi'zhi'min'yu
各微侧,ge'wei'ce
歌以咏志,ge'yi'yong'zhi
各隐卷底衣褶中,ge'yin'juan'di'yi'zhe'zhong
各在一处,ge'zai'yi'chu
更深月色半人家,geng'shen'yue'se'ban'ren'jia
更有痴似相公者,geng'you'chi'si'xiang'gong'zhe
更在斜阳外,geng'zai'xie'yang'wai
耕之垄上,geng'zhi'long'shang
更著风和雨,geng'zhu'feng'he'yu
共八扇,gong'ba'shan
攻陈陈守令皆不在,gong'chen'chen'shou'ling'jie'bu'zai
觥筹交错,gong'chou'jiao'cuo
攻大泽乡,gong'da'ze'xiang
公等遇雨,gong'deng'yu'yu
宫妇左右莫不私王,gong'fu'zuo'you'mo'bu'si'wang
躬耕于南阳,gong'geng'yu'nan'yang
共工怒触不周山,gong'gong'nu'chu'bu'zhou'shan
共工与颛顼争为帝,gong'gong'yu'zhuan'xu'zheng'wei'di
龚古,gong'gu
公将驰之,gong'jiang'chi'zhi
公将鼓之,gong'jiang'gu'zhi
公将战,gong'jiang'zhan
共看明月应垂泪,gong'kan'ming'yue'ying'chui'lei
攻亲戚之所畔,gong'qin'qi'zhi'suo'pan
宫阙万间都做了土,gong'que'wan'jian'dou'zuo'le'tu
公然抱茅入竹去,gong'ran'bao'mao'ru'zhu'qu
弓如霹雳弦惊,gong'ru'pi'li'xian'jing
公输,gong'shu
公输盘不说,gong'shu'pan'bu'shuo
公输盘服,gong'shu'pan'fu
公输盘九设攻城之机变,gong'shu'pan'jiu'she'gong'cheng'zhi'ji'bian
公输盘诎,gong'shu'pan'qu
公输盘为楚造云梯之械,gong'shu'pan'wei'chu'zao'yun'ti'zhi'xie
公输盘为我为云梯,gong'shu'pan'wei'wo'wei'yun'ti
公输盘曰,gong'shu'pan'yue
公输盘曰夫子何命焉为,gong'shu'pan'yue'fu'zi'he'ming'yan'wei
公输盘曰诺,gong'shu'pan'yue'nuo
公输盘曰吾义固不杀人,gong'shu'pan'yue'wu'yi'gu'bu'sha'ren
公输盘之攻械尽,gong'shu'pan'zhi'gong'xie'jin
公输子之意不过欲杀臣,gong'shu'zi'zhi'yi'bu'guo'yu'sha'chen
公问其故,gong'wen'qi'gu
公欣然曰,gong'xin'ran'yue
公亦尝闻天子之怒乎,gong'yi'chang'wen'tian'zi'zhi'nu'hu
功宜为王,gong'yi'wei'wang
公与之乘,gong'yu'zhi'cheng
公曰,gong'yue
公曰衣食所安,gong'yue'yi'shi'suo'an
攻铚酇苦柘谯,gong'zhi'zan'ku'zhe'qiao
宫中府中,gong'zhong'fu'zhong
龚自珍,gong'zi'zhen
苟全性命于乱世,gou'quan'xing'ming'yu'luan'shi
故不错意也,gu'bu'cuo'yi'ye
孤不度德量力,gu'bu'duo'de'liang'li
固不可彻,gu'bu'ke'che
故不为苟得也,gu'bu'wei'gou'de'ye
固不知子矣,gu'bu'zhi'zi'yi
孤常读书,gu'chang'du'shu
古代诗歌四首,gu'dai'shi'ge'si'shou
古道西风瘦马,gu'dao'xi'feng'shou'ma
固颠求之地中,gu'dian'qiu'zhi'di'zhong
孤帆天际看,gu'fan'tian'ji'kan
固国不以山溪之险,gu'guo'bu'yi'shan'xi'zhi'xian
故患有所不避也,gu'huan'you'suo'bu'bi'ye
故君子有不战,gu'jun'zi'you'bu'zhan
故克之,gu'ke'zhi
古来共谈,gu'lai'gong'tan
故临崩寄臣以大事也,gu'lin'beng'ji'chen'yi'da'shi'ye
孤蓬万里征,gu'peng'wan'li'zheng
孤岂欲卿治经为博士邪,gu'qi'yu'qing'zhi'jing'wei'bo'shi'xie
故人不独亲其亲,gu'ren'bu'du'qin'qi'qin
故人具鸡黍,gu'ren'ju'ji'shu
故日月星辰移焉,gu'ri'yue'xing'chen'yi'yan
骨肉流离道路中,gu'rou'liu'li'dao'lu'zhong
孤山寺北贾亭西,gu'shan'si'bei'jia'ting'xi
故水潦尘埃归焉,gu'shui'liao'chen'ai'gui'yan
故虽有名马,gu'sui'you'ming'ma
故天将降大任于是人也,gu'tian'jiang'jiang'da'ren'yu'shi'ren'ye
故外户而不闭,gu'wai'hu'er'bu'bi
故五月渡沪,gu'wu'yue'du'hu
顾野有麦场,gu'ye'you'mai'chang
固以怪之矣,gu'yi'guai'zhi'yi
骨已尽矣,gu'yi'jin'yi
故余虽愚,gu'yu'sui'yu
故渔者歌曰,gu'yu'zhe'ge'yue
故园东望路漫漫,gu'yuan'dong'wang'lu'man'man
故曰,gu'yue
故曰域民不以封疆之界,gu'yue'yu'min'bu'yi'feng'jiang'zhi'jie
孤之有孔明,gu'zhi'you'kong'ming
固众人,gu'zhong'ren
故逐之,gu'zhu'zhi
故自号曰醉翁也,gu'zi'hao'yue'zui'weng'ye
寡人,gua'ren
寡人以五百里之地易安陵,gua'ren'yi'wu'bai'li'zhi'di'yi'an'ling
寡人谕矣,gua'ren'yu'yi
寡助之至,gua'zhu'zhi'zhi
观沧海,guan'cang'hai
观潮,guan'chao
官船来往乱如麻,guan'chuan'lai'wang'luan'ru'ma
矜寡孤独废疾者皆有所养,guan'gua'gu'du'fei'ji'zhe'jie'you'suo'yang
关关雎鸠,guan'guan'ju'jiu
关雎,guan'ju
关内阻饥,guan'nei'zu'ji
关山度若飞,guan'shan'du'ruo'fei
观书有感,guan'shu'you'gan
观刈麦白居易,guan'yi'mai'bai'ju'yi
管夷吾举于士,guan'yi'wu'ju'yu'shi
关羽张飞等不悦,guan'yu'zhang'fei'deng'bu'yue
广故数言欲亡,guang'gu'shu'yan'yu'wang
广起,guang'qi
归来见天子,gui'lai'jian'tian'zi
归来倚仗自叹息,gui'lai'yi'zhang'zi'tan'xi
龟虽寿,gui'sui'shou
归雁洛阳边,gui'yan'luo'yang'bian
归雁入胡天,gui'yan'ru'hu'tian
归园田居,gui'yuan'tian'ju
刿曰,gui'yue
刿曰可矣,gui'yue'ke'yi
刿曰未可,gui'yue'wei'ke
果得于数里外,guo'de'yu'shu'li'wai
过故人庄,guo'gu'ren'zhuang
国恒亡,guo'heng'wang
过尽千帆皆不是,guo'jin'qian'fan'jie'bu'shi
过零丁洋,guo'ling'ding'yang
国破山河在,guo'po'shan'he'zai
过松源晨炊漆公店,guo'song'yuan'chen'chui'qi'gong'dian
国险而民附,guo'xian'er'min'fu
郭攸之费祎董允等,guo'you'zhi'fei'yi'dong'yun'deng
过中不至,guo'zhong'bu'zhi
还来就菊花,hai'lai'jiu'ju'hua
海内存知己,hai'nei'cun'zhi'ji
海日生残夜,hai'ri'sheng'can'ye
海涌银为郭,hai'yong'yin'wei'guo
还自扬州,hai'zi'yang'zhou
寒光照铁衣,han'guang'zhao'tie'yi
瀚海阑干百丈冰,han'hai'lan'gan'bai'zhang'bing
汉家大将西出师,han'jia'da'jiang'xi'chu'shi
酣觞赋诗,han'shang'fu'shi
汉室可兴矣,han'shi'ke'xing'yi
寒暑易节,han'shu'yi'jie
涵虚混太清,han'xu'hun'tai'qing
寒雪日,han'xue'ri
韩愈,han'yu
汉乐府,han'yue'fu
汉之阴,han'zhi'yin
浩荡离愁白日斜,hao'dang'li'chou'bai'ri'xie
好读书,hao'du'shu
好峰随处改,hao'feng'sui'chu'gai
浩浩汤汤,hao'hao'shang'shang
豪杰并起,hao'jie'bing'qi
豪杰皆曰,hao'jie'jie'yue
豪杰与皆来会计事,hao'jie'yu'jie'lai'kuai'ji'shi
号令,hao'ling
好梦留人睡,hao'meng'liu'ren'shui
好鸟相鸣,hao'niao'xiang'ming
好收吾骨瘴江边,hao'shou'wu'gu'zhang'jiang'bian
好为梁父吟,hao'wei'liang'fu'yin
号为张楚,hao'wei'zhang'chu
皓月千里,hao'yue'qian'li
好之者不如乐之者,hao'zhi'zhe'bu'ru'le'zhi'zhe
何处望神州,he'chu'wang'shen'zhou
何处无竹柏,he'chu'wu'zhu'bai
何当共剪西窗烛,he'dang'gong'jian'xi'chuang'zhu
何富贵也,he'fu'gui'ye
何苦而不平,he'ku'er'bu'ping
荷笠带斜阳,he'li'dai'xie'yang
河曲智叟亡以应,he'qu'zhi'sou'wang'yi'ying
河曲智叟笑而止之,he'qu'zhi'sou'xiao'er'zhi'zhi
何人不起故园情,he'ren'bu'qi'gu'yuan'qing
何日遣冯唐,he'ri'qian'feng'tang
何事长向别时圆,he'shi'chang'xiang'bie'shi'yuan
何时复西归,he'shi'fu'xi'gui
何时眼前突兀见此屋,he'shi'yan'qian'tu'wu'jian'ci'wu
何似在人间,he'si'zai'ren'jian
河阳之北,he'yang'zhi'bei
何也,he'ye
何夜无月,he'ye'wu'yue
何哉,he'zai
何至于此,he'zhi'yu'ci
河中石兽,he'zhong'shi'shou
核舟记,he'zhou'ji
黑云压城城欲摧,hei'yun'ya'cheng'cheng'yu'cui
恨别鸟惊心,hen'bie'niao'jing'xin
横柯上蔽,heng'ke'shang'bi
横无际涯朝晖夕阴,heng'wu'ji'ya'zhao'hui'xi'yin
衡阳雁去无留意,heng'yang'yan'qu'wu'liu'yi
衡于虑,heng'yu'lv
洪波涌起,hong'bo'yong'qi
红装而蹇者,hong'zhuang'er'jian'zhe
后不见来者,hou'bu'jian'lai'zhe
后狼止而前狼又至,hou'lang'zhi'er'qian'lang'you'zhi
后遂无问津者,hou'sui'wu'wen'jin'zhe
后天下之乐而乐乎,hou'tian'xia'zhi'le'er'le'hu
后者应,hou'zhe'ying
后值倾覆,hou'zhi'qing'fu
胡不见我于王,hu'bu'jian'wo'yu'wang
呼尔而与之,hu'er'er'yu'zhi
忽逢桃花林,hu'feng'tao'hua'lin
忽复乘舟梦日边,hu'fu'cheng'zhou'meng'ri'bian
呼呼风声,hu'hu'feng'sheng
狐鸣呼曰,hu'ming'hu'yue
胡琴琵琶与羌笛,hu'qin'pi'pa'yu'qiang'di
狐裘不暖锦衾薄,hu'qiu'bu'nuan'jin'qin'bo
忽然,hu'ran
胡人大入塞,hu'ren'da'ru'sai
忽如一夜春风来,hu'ru'yi'ye'chun'feng'lai
湖上影子,hu'shang'ying'zi
忽啼求之,hu'ti'qiu'zhi
胡天八月即飞雪,hu'tian'ba'yue'ji'fei'xue
互相轩邈,hu'xiang'xuan'miao
虎啸猿啼,hu'xiao'yuan'ti
湖心亭看雪,hu'xin'ting'kan'xue
湖心亭一点,hu'xin'ting'yi'dian
槲叶落山路,hu'ye'luo'shan'lu
忽一人大呼火起,hu'yi'ren'da'hu'huo'qi
湖中人鸟声俱绝,hu'zhong'ren'niao'sheng'ju'jue
湖中焉得更有此人,hu'zhong'yan'de'geng'you'ci'ren
花间一壶酒,hua'jian'yi'hu'jiu
花近高楼伤客心,hua'jin'gao'lou'shang'ke'xin
化为邓林,hua'wei'deng'lin
花朝节后,hua'zhao'jie'hou
花之富贵者也莲,hua'zhi'fu'gui'zhe'ye'lian
花之君子者也,hua'zhi'jun'zi'zhe'ye
花之隐逸者也牡丹,hua'zhi'yin'yi'zhe'ye'mu'dan
化作春泥更护花,hua'zuo'chun'ni'geng'hu'hua
化作相思泪,hua'zuo'xiang'si'lei
怀旧空吟闻笛赋,huai'jiu'kong'yin'wen'di'fu
怀民亦未寝,huai'min'yi'wei'qin
淮南子,huai'nan'zi
怀怒未发,huai'nu'wei'fa
环滁皆山也,huan'chu'jie'shan'ye
环堵萧然,huan'du'xiao'ran
环而攻之而不胜,huan'er'gong'zhi'er'bu'sheng
浣溪沙,huan'xi'sha
欢饮达旦,huan'yin'da'dan
还于旧都,huan'yu'jiu'du
黄发垂髫,huang'fa'chui'tiao
黄鹤楼,huang'he'lou
黄鹤一去不复返,huang'he'yi'qu'bu'fu'fan
惶恐滩头说惶恐,huang'kong'tan'tou'shuo'huang'kong
黄梅时节家家雨,huang'mei'shi'jie'jia'jia'yu
黄烟四起,huang'yan'si'qi
黄叶地,huang'ye'di
会宾客大宴,hui'bin'ke'da'yan
会当凌绝顶,hui'dang'ling'jue'ding
恢弘志士之气,hui'hong'zhi'shi'zhi'qi
晦明变化者,hui'ming'bian'hua'zhe
回清倒影,hui'qing'dao'ying
挥手自兹去,hui'shou'zi'zi'qu
会天大雨,hui'tian'da'yu
会挽雕弓如满月,hui'wan'diao'gong'ru'man'yue
彗星袭月,hui'xing'xi'yue
回也,hui'ye
回也不改其乐,hui'ye'bu'gai'qi'le
惠子相梁,hui'zi'xiang'liang
惠子曰我非子,hui'zi'yue'wo'fei'zi
惠子曰子非鱼,hui'zi'yue'zi'fei'yu
浑欲不胜簪,hun'yu'bu'sheng'zan
火伴皆惊忙,huo'ban'jie'jing'mang
火爆声,huo'bao'sheng
货恶其弃于地也,huo'e'qi'qi'yu'di'ye
豁然开朗,huo'ran'kai'lang
或王命急宣,huo'wang'ming'ji'xuan
或谓惠子曰庄子来,huo'wei'hui'zi'yue'zhuang'zi'lai
或异二者之为,huo'yi'er'zhe'zhi'wei
或以钱币乞之,huo'yi'qian'bi'qi'zhi
或以为死,huo'yi'wei'si
或以为亡,huo'yi'wei'wang
或遇其叱咄,huo'yu'qi'chi'duo
或置酒而招之,huo'zhi'jiu'er'zhao'zhi
箕畚运于渤海之尾,ji'ben'yun'yu'bo'hai'zhi'wei
忌不自信,ji'bu'zi'xin
记承天寺夜游,ji'cheng'tian'si'ye'you
既出,ji'chu
几处早莺争暖树,ji'chu'zao'ying'zheng'nuan'shu
极登斯楼也,ji'deng'si'lou'ye
藉第令毋斩,ji'di'ling'wu'zhan
既而儿醒,ji'er'er'xing
既而渐近,ji'er'jian'jin
既而尽奔腾分合五阵之势,ji'er'jin'ben'teng'fen'he'wu'zhen'zhi'shi
即更刮目相待,ji'geng'gua'mu'xiang'dai
即公大兄无奕女,ji'gong'da'xiong'wu'yi'nv
己亥杂诗,ji'hai'za'shi
唧唧复唧唧,ji'ji'fu'ji'ji
既加冠,ji'jia'guan
及郡下,ji'jun'xia
既克,ji'ke
寂寥无人,ji'liao'wu'ren
及鲁肃过寻阳,ji'lu'su'guo'xun'yang
寂寞开无主,ji'mo'kai'wu'zhu
寂寞梧桐深院锁清秋,ji'mo'wu'tong'shen'yuan'suo'qing'qiu
鸡犬相闻,ji'quan'xiang'wen
计日以还,ji'ri'yi'huan
寄上浮梁,ji'shang'fu'liang
鸡声茅店月,ji'sheng'mao'dian'yue
即书诗四句,ji'shu'shi'si'ju
急湍甚箭,ji'tuan'shen'jian
及为忠善者,ji'wei'zhong'shan'zhe
及下船,ji'xia'chuan
技亦灵怪矣哉,ji'yi'ling'guai'yi'zai
祭以尉首,ji'yi'wei'shou
既已知吾知之,ji'yi'zhi'wu'zhi'zhi
急应河阳役,ji'ying'he'yang'yi
几欲先走,ji'yu'xian'zou
冀之南,ji'zhi'nan
楫左右舟子各一人,ji'zuo'you'zhou'zi'ge'yi'ren
夹岸高山,jia'an'gao'shan
夹岸数百步,jia'an'shu'bai'bu
家富良马,jia'fu'liang'ma
甲光向日金鳞开,jia'guang'xiang'ri'jin'lin'kai
佳节又重阳,jia'jie'you'chong'yang
佳木秀而繁阴,jia'mu'xiu'er'fan'yin
家贫,jia'pin
家贫不能常得,jia'pin'bu'neng'chang'de
家书抵万金,jia'shu'di'wan'jin
家田输税尽,jia'tian'shu'shui'jin
饯别校书叔云李白,jian'bie'xiao'shu'shu'yun'li'bai
剪不断,jian'bu'duan
渐沉渐深耳,jian'chen'jian'shen'er
奸臣窃命,jian'chen'qie'ming
见公输盘,jian'gong'shu'pan
兼怀子由,jian'huai'zi'you
渐激渐深,jian'ji'jian'shen
蒹葭,jian'jia
蒹葭采采,jian'jia'cai'cai
蒹葭苍苍,jian'jia'cang'cang
蒹葭萋萋,jian'jia'qi'qi
艰难愧深情,jian'nan'kui'shen'qing
兼示符离及下邽弟妹,jian'shi'fu'li'ji'xia'gui'di'mei
见往事耳,jian'wang'shi'er
渐闻水声潺潺,jian'wen'shui'sheng'chan'chan
见余,jian'yu
见渔人,jian'yu'ren
江城子,jiang'cheng'zi
江春入旧年,jiang'chun'ru'jiu'nian
将登太行雪满山,jiang'deng'tai'hang'xue'man'shan
江干上下十余里间,jiang'gan'shang'xia'shi'yu'li'jian
江汉之鱼鳖鼋鼍,jiang'han'zhi'yu'bie'yuan'tuo
江横玉系腰,jiang'heng'yu'xi'yao
将军,jiang'jun
将军白发征夫泪,jiang'jun'bai'fa'zheng'fu'lei
将军百战死,jiang'jun'bai'zhan'si
将军既帝室之胄,jiang'jun'ji'di'shi'zhi'zhou
将军角弓不得控,jiang'jun'jiao'gong'bu'de'kong
将军金甲夜不脱,jiang'jun'jin'jia'ye'bu'tuo
将军岂有意乎,jiang'jun'qi'you'yi'hu
将军身率益州之众,jiang'jun'shen'lv'yi'zhou'zhi'zhong
将军身被坚执锐,jiang'jun'shen'pi'jian'zhi'rui
将军向宠,jiang'jun'xiang'chong
将军宜枉驾顾之,jiang'jun'yi'wang'jia'gu'zhi
江南逢李龟年,jiang'nan'feng'li'gui'nian
江入大荒流,jiang'ru'da'huang'liu
江山待有才人出,jiang'shan'dai'you'cai'ren'chu
将尉醉,jiang'wei'zui
僵卧孤村不自哀,jiang'wo'gu'cun'bu'zi'ai
讲信修睦,jiang'xin'xiu'mu
将以攻宋,jiang'yi'gong'song
娇儿恶卧踏里裂,jiao'er'e'wo'ta'li'lie
胶鬲举于鱼盐之中,jiao'ge'ju'yu'yu'yan'zhi'zhong
教然后知困,jiao'ran'hou'zhi'kun
角声满天秋色里,jiao'sheng'man'tian'qiu'se'li
矫首昂视,jiao'shou'ang'shi
教学相长也,jiao'xue'xiang'zhang'ye
皆布衣之士也,jie'bu'yi'zhi'shi'ye
皆朝于齐,jie'chao'yu'qi
皆出酒食,jie'chu'jiu'shi
嗟夫予尝求古仁人之心,jie'fu'yu'chang'qiu'gu'ren'ren'zhi'xin
嗟乎,jie'hu
结庐在人境,jie'lu'zai'ren'jing
借旁近与之,jie'pang'jin'yu'zhi
皆披发文身,jie'pi'fa'wen'shen
皆若空游无所依,jie'ruo'kong'you'wu'suo'yi
皆生寒树,jie'sheng'han'shu
皆叹惋,jie'tan'wan
皆下之,jie'xia'zhi
皆刑其长吏,jie'xing'qi'zhang'li
皆以美于徐公,jie'yi'mei'yu'xu'gong
皆已失期,jie'yi'shi'qi
解衣欲睡,jie'yi'yu'shui
结友而别,jie'you'er'bie
皆指目,jie'zhi'mu
近岸卷石底以出,jin'an'juan'shi'di'yi'chu
今安在,jin'an'zai
今操已拥百万之众,jin'cao'yi'yong'bai'wan'zhi'zhong
今诚以吾众,jin'cheng'yi'wu'zhong
今当远离,jin'dang'yuan'li
今夫不受之天,jin'fu'bu'shou'zhi'tian
今或闻无罪,jin'huo'wen'wu'zui
锦江春色来天地,jin'jiang'chun'se'lai'tian'di
进尽忠言,jin'jin'zhong'yan
锦鳞游泳岸芷汀兰,jin'lin'you'yong'an'zhi'ting'lan
锦帽貂裘,jin'mao'diao'qiu
今南方已定,jin'nan'fang'yi'ding
今齐地方千里,jin'qi'di'fang'qian'li
尽日不能忘,jin'ri'bu'neng'wang
今日是也,jin'ri'shi'ye
今日听君歌一曲,jin'ri'ting'jun'ge'yi'qu
今日又南冠,jin'ri'you'nan'guan
今日之日多烦忧,jin'ri'zhi'ri'duo'fan'you
仅如银线,jin'ru'yin'xian
近塞上之人有善术者,jin'sai'shang'zhi'ren'you'shan'shu'zhe
近塞之人,jin'sai'zhi'ren
金山西见烟尘飞,jin'shan'xi'jian'yan'chen'fei
晋太元中,jin'tai'yuan'zhong
晋陶渊明独爱菊,jin'tao'yuan'ming'du'ai'ju
今天下三分,jin'tian'xia'san'fen
今为宫室之美为之,jin'wei'gong'shi'zhi'mei'wei'zhi
今为妻妾之奉为之向为,jin'wei'qi'qie'zhi'feng'wei'zhi'xiang'wei
今为所识穷乏者得我,jin'wei'suo'shi'qiong'fa'zhe'de'wo
今我何功德,jin'wo'he'gong'de
今吾以十倍之地,jin'wu'yi'shi'bei'zhi'di
金溪民方仲永,jin'xi'min'fang'zhong'yong
今夕是何年,jin'xi'shi'he'nian
今夜偏知春气暖,jin'ye'pian'zhi'chun'qi'nuan
仅有敌船为火所焚,jin'you'di'chuan'wei'huo'suo'fen
今子,jin'zi
金樽清酒斗十千,jin'zun'qing'jiu'dou'shi'qian
竟不可得,jing'bu'ke'de
荆国有余于地,jing'guo'you'yu'yu'di
晶晶然如镜之新开,jing'jing'ran'ru'jing'zhi'xin'kai
经纶世务者,jing'lun'shi'wu'zhe
惊起一滩鸥鹭,jing'qi'yi'tan'ou'lu
敬受命,jing'shou'ming
京尹,jing'yin
静影沉璧,jing'ying'chen'bi
荆有长松文梓楩楠豫章,jing'you'chang'song'wen'zi'pian'nan'yu'zhang
荆有云梦,jing'you'yun'meng
荆之地方五千里,jing'zhi'di'fang'wu'qian'li
京中有善口技者,jing'zhong'you'shan'kou'ji'zhe
荆州北据汉沔,jing'zhou'bei'ju'han'mian
九百人屯大泽乡,jiu'bai'ren'tun'da'ze'xiang
久而乃和,jiu'er'nai'he
酒酣胸胆尚开张,jiu'han'xiong'dan'shang'kai'zhang
酒困路长惟欲睡,jiu'kun'lu'chang'wei'yu'shui
酒入愁肠,jiu'ru'chou'chang
久之,jiu'zhi
举杯消愁愁更愁,ju'bei'xiao'chou'chou'geng'chou
举杯邀明月,ju'bei'yao'ming'yue
局促一室之内,ju'cu'yi'shi'zhi'nei
具答之,ju'da'zhi
俱怀逸兴壮思飞,ju'huai'yi'xing'zhuang'si'fei
居庙堂之高则忧其民,ju'miao'tang'zhi'gao'ze'you'qi'min
惧其不已也,ju'qi'bu'yi'ye
聚室而谋曰,ju'shi'er'mou'yue
居数月,ju'shu'yue
俱为一体,ju'wei'yi'ti
居一年,ju'yi'nian
惧有伏焉,ju'you'fu'yan
居右者椎髻仰面,ju'you'zhe'zhui'ji'yang'mian
菊之爱,ju'zhi'ai
居左者右手执蒲葵扇,ju'zuo'zhe'you'shou'zhi'pu'kui'shan
卷卷有爷名,juan'juan'you'ye'ming
娟然如拭,juan'ran'ru'shi
卷我屋上三重茅,juan'wo'wu'shang'san'chong'mao
绝胜烟柳满皇都,jue'sheng'yan'liu'man'huang'du
绝巘多生怪柏,jue'yan'duo'sheng'guai'bai
决眦入归鸟,jue'zi'ru'gui'niao
君不见走马川行雪海边,jun'bu'jian'zou'ma'chuan'xing'xue'hai'bian
军书十二卷,jun'shu'shi'er'juan
军听了军愁,jun'ting'le'jun'chou
君谓计将安出,jun'wei'ji'jiang'an'chu
君问归期未有期,jun'wen'gui'qi'wei'you'qi
君与家君期日中,jun'yu'jia'jun'qi'ri'zhong
君子好逑,jun'zi'hao'qiu
开我东阁门,kai'wo'dong'ge'men
开轩面场圃,kai'xuan'mian'chang'pu
看孙郎,kan'sun'lang
可爱者甚蕃,ke'ai'zhe'shen'fan
客此,ke'ci
客从外来,ke'cong'wai'lai
可得永年,ke'de'yong'nian
可汗大点兵,ke'han'da'dian'bing
可汗问所欲,ke'han'wen'suo'yu
可乎,ke'hu
