阿部健夫,a'bu'jian'fu
狂乱家族日记,kuang'luan'jia'zu'ri'ji
傀儡公主,kui'lei'gong'zhu
傀儡师左近,kui'lei'shi'zuo'jin
蜡笔小新,la'bi'xiao'xin
垃圾教师,la'ji'jiao'shi
辣妹掌门人,la'mei'zhang'men'ren
濑户朝香,lai'hu'chao'xiang
濑户康史,lai'hu'kang'shi
濑户之花嫁,lai'hu'zhi'hua'jia
来来猫,lai'lai'mao
蓝花,lan'hua
蓝兰岛漂流,lan'lan'dao'piao'liu
蓝龙,lan'long
篮球少年,lan'qiu'shao'nian
蓝色文学,lan'se'wen'xue
浪客剑心,lang'ke'jian'xin
浪漫追星社,lang'man'zhui'xing'she
狼与香辛料,lang'yu'xiang'xin'liao
狼与辛香料,lang'yu'xin'xiang'liao
老婆是女高中生,lao'po'shi'nv'gao'zhong'sheng
老师的时间,lao'shi'de'shi'jian
老师真伟大,lao'shi'zhen'wei'da
雷兹纳,lei'zi'na
离岛晴空,li'dao'qing'kong
莉莉安女子学院,li'li'an'nv'zi'xue'yuan
黎明前的琉璃色,li'ming'qian'de'liu'li'se
莉娜,li'na
栗山千明,li'shan'qian'ming
礼物永不消失的,li'wu'yong'bu'xiao'shi'de
利子,li'zi
恋爱补给品,lian'ai'bu'ji'pin
恋爱革命,lian'ai'ge'ming
恋爱情结,lian'ai'qing'jie
恋爱世纪,lian'ai'shi'ji
恋爱小魔女,lian'ai'xiao'mo'nv
恋爱诊断,lian'ai'zhen'duan
莲城焰椎真,lian'cheng'yan'zhui'zhen
恋姬无双,lian'ji'wu'shuang
恋空,lian'kong
恋时雨,lian'shi'yu
恋之魔法棒棒糖,lian'zhi'mo'fa'bang'bang'tang
凉风,liang'feng
凉宫春日的忧郁,liang'gong'chun'ri'de'you'yu
凉介,liang'jie
料理仙姬,liao'li'xian'ji
料理新鲜人,liao'li'xin'xian'ren
烈火之炎,lie'huo'zhi'yan
临场,lin'chang
林丹丹,lin'dan'dan
邻居男女的搞笑生活,lin'ju'nan'nv'de'gao'xiao'sheng'huo
林特斯,lin'te'si
铃村健一,ling'cun'jian'yi
铃木艾美,ling'mu'ai'mei
铃木保奈美,ling'mu'bao'nai'mei
铃木京香,ling'mu'jing'xiang
铃木千寻,ling'mu'qian'xun
铃木杏,ling'mu'xing
铃木杏树,ling'mu'xing'shu
铃三太郎,ling'san'tai'lang
菱田春树,ling'tian'chun'shu
灵异猎人,ling'yi'lie'ren
零之使魔,ling'zhi'shi'mo
铃子,ling'zi
柳浩太郎,liu'hao'tai'lang
柳时元,liu'shi'yuan
柳下大,liu'xia'da
流星之绊,liu'xing'zhi'ban
流星之洛克人,liu'xing'zhi'luo'ke'ren
六爷,liu'ye
柳叶敏郎,liu'ye'min'lang
龙虎斗,long'hu'dou
龙加,long'jia
龙鸣,long'ming
龙太郎,long'tai'lang
龙樱,long'ying
泷与翼,long'yu'yi
泷沢沙织,long'ze'sha'zhi
泷泽秀明,long'ze'xiu'ming
龙之书,long'zhi'shu
龙之塔,long'zhi'ta
龙之尾,long'zhi'wei
龙珠,long'zhu
龙珠改,long'zhu'gai
陆军情报部三科,lu'jun'qing'bao'bu'san'ke
鲁卡,lu'ka
鹿男与美丽的奈良,lu'nan'yu'mei'li'de'nai'liang
路斯凯斯,lu'si'kai'si
乱马,luan'ma
洛克人,luo'ke'ren
罗密欧与朱丽叶,luo'mi'ou'yu'zhu'li'ye
落语天女,luo'yu'tian'nv
绿瞳者艾琳,lv'tong'zhe'ai'lin
律政英雄,lv'zheng'ying'xiong
抹布女孩,ma'bu'nv'hai
玛德莱克丝,ma'de'lai'ke'si
玛嘉,ma'jia
麻辣教师,ma'la'jiao'shi
玛利亚狂热,ma'li'ya'kuang're
玛丽与伽利,ma'li'yu'jia'li
猫街,mao'jie
猫先生,mao'xian'sheng
冒险王比特,mao'xian'wang'bi'te
猫眼三姐妹,mao'yan'san'jie'mei
猫愿三角恋,mao'yuan'san'jiao'lian
茅原実里,mao'yuan'shi'li
美波,mei'bo
美肌一族,mei'ji'yi'zu
美酒贵公子,mei'jiu'gui'gong'zi
美丽人生,mei'li'ren'sheng
梅鲁特,mei'lu'te
妹妹公主,mei'mei'gong'zhu
美鸟日记,mei'niao'ri'ji
美女与野兽,mei'nv'yu'ye'shou
美女战奇潭,mei'nv'zhan'qi'tan
美少女战士,mei'shao'nv'zhan'shi
美神,mei'shen
美神极乐大作战,mei'shen'ji'le'da'zuo'zhan
每天妈妈,mei'tian'ma'ma
美味关系,mei'wei'guan'xi
美味米饭,mei'wei'mi'fan
美味学院,mei'wei'xue'yuan
没有玫瑰的花店,mei'you'mei'gui'de'hua'dian
梅之森千世,mei'zhi'sen'qian'shi
门胁舞,men'xie'wu
猛鬼校园,meng'gui'xiao'yuan
梦幻妖子,meng'huan'yao'zi
萌菌物语,meng'jun'wu'yu
萌娘商社,meng'niang'shang'she
梦色蛋糕师,meng'se'dan'gao'shi
梦想夏乡,meng'xiang'xia'xiang
梦之使者,meng'zhi'shi'zhe
米仓凉子,mi'cang'liang'zi
米仓涼子,mi'cang'liang'zi
米村大滋郎,mi'cun'da'zi'lang
密瓜,mi'gua
迷糊餐厅,mi'hu'can'ting
迷糊天使,mi'hu'tian'shi
米花刚史,mi'hua'gang'shi
秘密,mi'mi
秘密花园,mi'mi'hua'yuan
秘密结社鹰之爪,mi'mi'jie'she'ying'zhi'zhao
弥生,mi'sheng
蜜桃女孩,mi'tao'nv'hai
迷途猫,mi'tu'mao
面探型男,mian'tan'xing'nan
咩咩,mie'mie
冥界篇,ming'jie'pian
名取周一,ming'qu'zhou'yi
鸣人之死,ming'ren'zhi'si
明日的与一,ming'ri'de'yu'yi
明石家秋刀鱼,ming'shi'jia'qiu'dao'yu
明天的喜多善男,ming'tian'de'xi'duo'shan'nan
冥王计划,ming'wang'ji'hua
名侦探柯南,ming'zhen'tan'ke'nan
名侦探守则,ming'zhen'tan'shou'ze
鸣子叶绘,ming'zi'ye'hui
魔动王,mo'dong'wang
魔法禁书目录,mo'fa'jin'shu'mu'lu
魔法老师白之翼,mo'fa'lao'shi'bai'zhi'yi
魔法美少女,mo'fa'mei'shao'nv
魔法骑士,mo'fa'qi'shi
魔法少女奈叶,mo'fa'shao'nv'nai'ye
魔法使的条件夏之青空,mo'fa'shi'de'tiao'jian'xia'zhi'qing'kong
魔法使的注意事项,mo'fa'shi'de'zhu'yi'shi'xiang
魔法世界,mo'fa'shi'jie
魔法提琴手,mo'fa'ti'qin'shou
魔法先生,mo'fa'xian'sheng
魔法小歌手,mo'fa'xiao'ge'shou
魔法学园,mo'fa'xue'yuan
魔界战记,mo'jie'zhan'ji
魔力宝贝,mo'li'bao'bei
魔力充电娘,mo'li'chong'dian'niang
茉莉花,mo'li'hua
魔力女管家,mo'li'nv'guan'jia
魔力女佣剧场版,mo'li'nv'yong'ju'chang'ban
魔女裁判,mo'nv'cai'pan
魔女的考验,mo'nv'de'kao'yan
魔女的条件,mo'nv'de'tiao'jian
魔神坛斗士,mo'shen'tan'dou'shi
魔术士奥梵,mo'shu'shi'ao'fan
魔天战神,mo'tian'zhan'shen
魔王,mo'wang
魔侦探洛基,mo'zhen'tan'luo'ji
某科学的超电磁炮,mou'ke'xue'de'chao'dian'ci'pao
墓场鬼太郎,mu'chang'gui'tai'lang
木村多江,mu'cun'duo'jiang
木村佳乃,mu'cun'jia'nai
木村了,mu'cun'le
木村良平,mu'cun'liang'ping
木村拓哉,mu'cun'tuo'zai
木村拓栽,mu'cun'tuo'zai
木村祐一,mu'cun'you'yi
牧岛有希,mu'dao'you'xi
木更津猫眼,mu'geng'jin'mao'yan
幕末机关说,mu'mo'ji'guan'shuo
木乃伊战士,mu'nai'yi'zhan'shi
木崎爱铃,mu'qi'ai'ling
牧野纮二,mu'ye'hong'er
娜娜,na'na
乃木坂春香的秘密,nai'mu'ban'chun'xiang'de'mi'mi
乃木坂春香的秘密第二季,nai'mu'ban'chun'xiang'de'mi'mi'di'er'ji
南春香,nan'chun'xiang
南冬马,nan'dong'ma
南家三姐妹,nan'jia'san'jie'mei
南千秋,nan'qian'qiu
男屋秀彦,nan'wu'xiu'yan
南夏奈,nan'xia'nai
南沢奈央,nan'ze'nai'yang
南泽奈央,nan'ze'nai'yang
内博贵,nei'bo'gui
内村光良,nei'cun'guang'liang
内海光司,nei'hai'guang'si
内山理名,nei'shan'li'ming
内田有紀,nei'tian'you'ji
内田有纪,nei'tian'you'ji
內田由加,nei'tian'you'jia
内野圣阳,nei'ye'sheng'yang
内衣战士,nei'yi'zhan'shi
尼巴,ni'ba
你不是犯人吧,ni'bu'shi'fan'ren'ba
你好安妮,ni'hao'an'ni
尼罗河的女儿,ni'luo'he'de'nv'er
你是主人我是仆,ni'shi'zhu'ren'wo'shi'pu
鲇川太阳,nian'chuan'tai'yang
鲇泽美咲,nian'ze'mei'xiao
鮎真由剧场版,nian'zhen'you'ju'chang'ban
鸟海浩辅,niao'hai'hao'fu
鸟井美津子,niao'jing'mei'jin'zi
柠檬天使计划,ning'meng'tian'shi'ji'hua
努甘,nu'gan
虐杀姬,nue'sha'ji
女棒甲子园,nv'bang'jia'zi'yuan
女帝,nv'di
女警女警,nv'jing'nv'jing
女人四十,nv'ren'si'shi
女神候补生,nv'shen'hou'bu'sheng
女神异闻录,nv'shen'yi'wen'lu
女生爱女生,nv'sheng'ai'nv'sheng
女生万岁,nv'sheng'wan'sui
女王之剑流浪的战士,nv'wang'zhi'jian'liu'lang'de'zhan'shi
女王之刃第二季玉座的继承者,nv'wang'zhi'ren'di'er'ji'yu'zuo'de'ji'cheng'zhe
女装骑士,nv'zhuang'qi'shi
女子高中生,nv'zi'gao'zhong'sheng
偶像宣言,ou'xiang'xuan'yan
欧洲元神灵联合组织,ou'zhou'yuan'shen'ling'lian'he'zu'zhi
派遣员的品格,pai'qian'yuan'de'pin'ge
潘多拉,pan'duo'la
潘朵拉之心,pan'duo'la'zhi'xin
叛逆的鲁鲁修,pan'ni'de'lu'lu'xiu
片冈龍之介,pian'gang'long'zhi'jie
片冈南风,pian'gang'nan'feng
片冈珠代,pian'gang'zhu'dai
片濑那奈,pian'lai'na'nai
漂亮爸爸,piao'liang'ba'ba
漂流教室,piao'liu'jiao'shi
贫乏姐妹物语,pin'fa'jie'mei'wu'yu
贫穷贵公子,pin'qiong'gui'gong'zi
贫穷男子,pin'qiong'nan'zi
平凡奇迹,ping'fan'qi'ji
平冈佑太,ping'gang'you'tai
平冈祐太,ping'gang'you'tai
瓶诘妖精,ping'jie'yao'jing
坪井智浩,ping'jing'zhi'hao
平行世界物语,ping'xing'shi'jie'wu'yu
粕谷雄太,po'gu'xiong'tai
婆娑罗,po'suo'luo
破天荒游戏,po'tian'huang'you'xi
扑杀天使,pu'sha'tian'shi
葡萄子,pu'tao'zi
七彩的素描,qi'cai'de'su'miao
企鹅娘,qi'e'niang
妻夫木聪,qi'fu'mu'cong
七鬼,qi'gui
漆黑的追踪者,qi'hei'de'zhui'zong'zhe
奇幻贵公子,qi'huan'gui'gong'zi
棋魂,qi'hun
奇迹列车,qi'ji'lie'che
奇迹列车欢迎来到大江户线,qi'ji'lie'che'huan'ying'lai'dao'da'jiang'hu'xian
七濑彰,qi'lai'zhang
奇诺之旅,qi'nuo'zhi'lv
七色星露,qi'se'xing'lu
齐藤太太,qi'teng'tai'tai
齐藤祥太,qi'teng'xiang'tai
齐藤翔太,qi'teng'xiang'tai
奇异搜查事件簿,qi'yi'sou'cha'shi'jian'bu
欺诈猎人,qi'zha'lie'ren
千川勉,qian'chuan'mian
千贺健永,qian'he'jian'yong
千金小姐穷光蛋,qian'jin'xiao'jie'qiong'guang'dan
浅利阳介,qian'li'yang'jie
前男友,qian'nan'you
潜脑调查室,qian'nao'diao'cha'shi
前田敦子,qian'tian'dun'zi
前田健,qian'tian'jian
浅香航大,qian'xiang'hang'da
浅野温子,qian'ye'wen'zi
千与千寻,qian'yu'qian'xun
枪神,qiang'shen
蔷薇少女,qiang'wei'shao'nv
蔷薇少女序章,qiang'wei'shao'nv'xu'zhang
强袭魔女,qiang'xi'mo'nv
枪心剑刃,qiang'xin'jian'ren
强殖装甲,qiang'zhi'zhuang'jia
俏皮小花仙,qiao'pi'xiao'hua'xian
亲爱一族,qin'ai'yi'zu
秦时明月,qin'shi'ming'yue
亲吻姐姐,qin'wen'jie'jie
侵袭龙勇士,qin'xi'long'yong'shi
芹泽文乃,qin'ze'wen'nai
青出于蓝,qing'chu'yu'lan
青春草莓蛋,qing'chun'cao'mei'dan
青春无悔,qing'chun'wu'hui
青空下的约定,qing'kong'xia'de'yue'ding
青木崇高,qing'mu'chong'gao
青涩宝贝,qing'se'bao'bei
轻声密语,qing'sheng'mi'yu
庆太,qing'tai
轻音,qing'yin
轻音少女,qing'yin'shao'nv
青之花,qing'zhi'hua
青之六号,qing'zhi'liu'hao
青之时代,qing'zhi'shi'dai
青之炎,qing'zhi'yan
求婚大作战,qiu'hun'da'zuo'zhan
秋山纯,qiu'shan'chun
秋叶,qiu'ye
萩原聖人,qiu'yuan'sheng'ren
秋之回忆,qiu'zhi'hui'yi
去吧稻中兵团,qu'ba'dao'zhong'bing'tuan
驱魔少年,qu'mo'shao'nian
泉户真白,quan'hu'zhen'bai
全金属狂潮,quan'jin'shu'kuang'chao
全力兔子,quan'li'tu'zi
犬神,quan'shen
泉孝介,quan'xiao'jie
犬夜叉,quan'ye'cha
犬夜叉完结篇,quan'ye'cha'wan'jie'pian
全职猎人,quan'zhi'lie'ren
染红的街道,ran'hong'de'jie'dao
热力十七岁,re'li'shi'qi'sui
热血律师,re'xue'lv'shi
忍成修吾,ren'cheng'xiu'wu
人间失格,ren'jian'shi'ge
壬生真比吕,ren'sheng'zhen'bi'lv
人形电脑天使心,ren'xing'dian'nao'tian'shi'xin
人鱼的旋律,ren'yu'de'xuan'lv
人鱼之森,ren'yu'zhi'sen
忍者乱太郎,ren'zhe'luan'tai'lang
日本,ri'ben
日尔曼哈伊卡温希鲁一族,ri'er'man'ha'yi'ka'wen'xi'lu'yi'zu
日剧,ri'ju
日笠阳子,ri'li'yang'zi
日式面包王,ri'shi'mian'bao'wang
荣口勇人,rong'kou'yong'ren
如月美冬,ru'yue'mei'dong
若宫奏多,ruo'gong'zou'duo
萨科巴斯,sa'ke'ba'si
三国演义,san'guo'yan'yi
三角迷踪,san'jiao'mi'zong
三轮宽,san'lun'kuan
三木真一郎,san'mu'zhen'yi'lang
三浦春馬,san'pu'chun'ma
三浦悠,san'pu'you
三浦友和,san'pu'you'he
三桥廉,san'qiao'lian
三上博史,san'shang'bo'shi
三宅健,san'zhai'jian
涩谷昂,se'gu'ang
瑟伊米娅子,se'yi'mi'ya'zi
森本,sen'ben
森本龙太郎,sen'ben'long'tai'lang
森久保祥太郎,sen'jiu'bao'xiang'tai'lang
森林大帝勇气改变未来,sen'lin'da'di'yong'qi'gai'bian'wei'lai
森林好小子,sen'lin'hao'xiao'zi
森林王子,sen'lin'wang'zi
森迫永依,sen'po'yong'yi
森田刚,sen'tian'gang
杀戮都市,sha'lu'du'shi
杀人科,sha'ren'ke
沙耶香的恋爱故事,sha'ye'xiang'de'lian'ai'gu'shi
纱伊阿九斗,sha'yi'a'jiu'dou
鲨鱼黑帮,sha'yu'hei'bang
杉本彩,shan'ben'cai
山本耕史,shan'ben'geng'shi
山本太郎,shan'ben'tai'lang
山本裕典,shan'ben'yu'dian
闪电十一人,shan'dian'shi'yi'ren
闪光的夜袭,shan'guang'de'ye'xi
山口达也,shan'kou'da'ye
山口真美,shan'kou'zhen'mei
山口智子,shan'kou'zhi'zi
闪灵二人组,shan'ling'er'ren'zu
山南敬助,shan'nan'jing'zhu
山崎静代,shan'qi'jing'dai
山神异月,shan'shen'yi'yue
山田,shan'tian
山田凉介,shan'tian'liang'jie
山田孝之,shan'tian'xiao'zhi
山田优,shan'tian'you
杉田智和,shan'tian'zhi'he
山下,shan'xia
山下翔央,shan'xia'xiang'yang
山下智久,shan'xia'zhi'jiu
上班族金太郎,shang'ban'zu'jin'tai'lang
上川隆也,shang'chuan'long'ye
上村翔子,shang'cun'xiang'zi
上地雄辅,shang'di'xiong'fu
上海潮,shang'hai'chao
上户彩,shang'hu'cai
上级元神灵,shang'ji'yuan'shen'ling
上里亮太,shang'li'liang'tai
上衫谦信,shang'shan'qian'xin
上田,shang'tian
上田龙也,shang'tian'long'ye
上野树里,shang'ye'shu'li
少年激霸弹,shao'nian'ji'ba'dan
少年刑警,shao'nian'xing'jing
少年阴阳师,shao'nian'yin'yang'shi
少女爱上姐姐,shao'nv'ai'shang'jie'jie
少女侦探之怪奇事件,shao'nv'zhen'tan'zhi'guai'qi'shi'jian
舍监老师,she'jian'lao'shi
神啊请给我多一点时间,shen'a'qing'gei'wo'duo'yi'dian'shi'jian
神兵小将,shen'bing'xiao'jiang
神风怪盗贞德,shen'feng'guai'dao'zhen'de
神谷浩史,shen'gu'hao'shi
深红的铁马,shen'hong'de'tie'ma
神幻拍档,shen'huan'pai'dang
审计风云,shen'ji'feng'yun
深津绘理,shen'jin'hui'li
深津绘里,shen'jin'hui'li
神灵狩,shen'ling'shou
神龙之谜,shen'long'zhi'mi
神秘的世界,shen'mi'de'shi'jie
神木隆之介,shen'mu'long'zhi'jie
神南署安积班,shen'nan'shu'an'ji'ban
神枪少女,shen'qiang'shao'nv
神曲奏界,shen'qu'zou'jie
神是中学生,shen'shi'zhong'xue'sheng
神探伽利略,shen'tan'jia'li'lue
神薙十,shen'ti'shi
深田恭子,shen'tian'gong'zi
神田朱未,shen'tian'zhu'wei
神无月的巫女,shen'wu'yue'de'wu'nv
神无月巫女,shen'wu'yue'wu'nv
神样家族,shen'yang'jia'zu
深渊传说,shen'yuan'chuan'shuo
神祗官,shen'zhi'guan
神之雫,shen'zhi'na
神之水滴,shen'zhi'shui'di
圣杯之战,sheng'bei'zhi'zhan
圣诞节最讨厌了,sheng'dan'jie'zui'tao'yan'le
胜地涼,sheng'di'liang
圣斗士星矢,sheng'dou'shi'xing'shi
圣光之翼,sheng'guang'zhi'yi
圣剑锻造师,sheng'jian'duan'zao'shi
生濑勝久,sheng'lai'sheng'jiu
生濑胜久,sheng'lai'sheng'jiu
圣魔战记,sheng'mo'zhan'ji
圣魔之血,sheng'mo'zhi'xue
圣母在上,sheng'mu'zai'shang
升起半月的天空,sheng'qi'ban'yue'de'tian'kong
圣枪修女,sheng'qiang'xiu'nv
圣少女,sheng'shao'nv
圣石小子,sheng'shi'xiao'zi
生田斗真,sheng'tian'dou'zhen
生徒诸君,sheng'tu'zhu'jun
升毅,sheng'yi
声优白皮书,sheng'you'bai'pi'shu
圣者之行进,sheng'zhe'zhi'xing'jin
圣子到,sheng'zi'dao
矢部浩之,shi'bu'hao'zhi
市川由衣,shi'chuan'you'yi
十二国记,shi'er'guo'ji
石黑英雄,shi'hei'ying'xiong
噬魂师,shi'hun'shi
噬魂者,shi'hun'zhe
尸姬玄,shi'ji'xuan
世界毁灭,shi'jie'hui'mie
室井滋,shi'jing'zi
食灵零,shi'ling'ling
失落的宇宙,shi'luo'de'yu'zhou
石马隆显,shi'ma'long'xian
史上最强弟子,shi'shang'zui'qiang'di'zi
施泰纳,shi'tai'na
石田百合子,shi'tian'bai'he'zi
石田光,shi'tian'guang
矢田亚希子,shi'tian'ya'xi'zi
石田一成,shi'tian'yi'cheng
石田壹成,shi'tian'yi'cheng
釈由美子,shi'you'mei'zi
柿原彻也,shi'yuan'che'ye
石垣大佑,shi'yuan'da'you
石原里美,shi'yuan'li'mei
市原隼人,shi'yuan'sun'ren
逝者之声,shi'zhe'zhi'sheng
狮子堂妹子,shi'zi'tang'mei'zi
狮子堂秋叶,shi'zi'tang'qiu'ye
狮子堂樱,shi'zi'tang'ying
狮子王,shi'zi'wang
守财奴,shou'cai'nu
兽的演奏者艾琳,shou'de'yan'zou'zhe'ai'lin
守护甜心,shou'hu'tian'xin
守护甜心第三季,shou'hu'tian'xin'di'san'ji
守护甜心心跳,shou'hu'tian'xin'xin'tiao
手机少女,shou'ji'shao'nv
寿里,shou'li
兽神演武,shou'shen'yan'wu
寿司王子,shou'si'wang'zi
手越佑也,shou'yue'you'ye
兽之奏者,shou'zhi'zou'zhe
兽爪,shou'zhua
蔬果村的故事,shu'guo'cun'de'gu'shi
数码宝贝,shu'ma'bao'bei
舒南,shu'nan
庶务二课,shu'wu'er'ke
帅哥医生,shuai'ge'yi'sheng
帅男偶像,shuai'nan'ou'xiang
双恋,shuang'lian
双月骑士,shuang'yue'qi'shi
水川麻美,shui'chuan'ma'mei
水嶋寻,shui'dao'xun
水谷文贵,shui'gu'wen'gui
水果篮子,shui'guo'lan'zi
水晶之焰,shui'jing'zhi'yan
水男孩,shui'nan'hai
水色时代,shui'se'shi'dai
水星领航员,shui'xing'ling'hang'yuan
水曜日的爱情,shui'yao'ri'de'ai'qing
水野美纪,shui'ye'mei'ji
水野真纪,shui'ye'zhen'ji
水沢惠丽奈,shui'ze'hui'li'nai
寺岛进,si'dao'jin
私房猫,si'fang'mao
死后文,si'hou'wen
死化妆师,si'hua'zhuang'shi
四谎记,si'huang'ji
四姐妹侦探团,si'jie'mei'zhen'tan'tuan
四娘物语,si'niang'wu'yu
四驱兄弟,si'qu'xiong'di
死神,si'shen
死神的歌谣,si'shen'de'ge'yao
私市淳,si'shi'chun
死亡代理人,si'wang'dai'li'ren
四叶游戏,si'ye'you'xi
松坂庆子,song'ban'qing'zi
松本光平,song'ben'guang'ping
松本莉绪,song'ben'li'xu
松本润,song'ben'run
松岛菜菜子,song'dao'cai'cai'zi
松冈昌宏,song'gang'chang'hong
松冈充,song'gang'chong
松隆子,song'long'zi
松平瞳子,song'ping'tong'zi
松浦亚弥,song'pu'ya'mi
松山健一,song'shan'jian'yi
松田龙平,song'tian'long'ping
松田悟志,song'tian'wu'zhi
松田翔太,song'tian'xiang'tai
松下奈绪,song'xia'nai'xu
松下由树,song'xia'you'shu
松雪泰子,song'xue'tai'zi
送仪嵩征,song'yi'song'zheng
薮宏太,sou'hong'tai
宿命,su'ming
苏生龙王传说,su'sheng'long'wang'chuan'shuo
速水重道,su'shui'zhong'dao
速写者,su'xie'zhe
岁的母亲,sui'de'mu'qin
岁的圣诞节,sui'de'sheng'dan'jie
岁恋人,sui'lian'ren
穗香,sui'xiang
索斯机械兽,suo'si'ji'xie'shou
索永,suo'yong
他日再相逢,ta'ri'zai'xiang'feng
泰坦尼亚,tai'tan'ni'ya
太阳的季节,tai'yang'de'ji'jie
太阳和海的教室,tai'yang'he'hai'de'jiao'shi
太阳之歌,tai'yang'zhi'ge
谈判专家,tan'pan'zhuan'jia
堂本刚,tang'ben'gang
堂本光一,tang'ben'guang'yi
唐泽寿明,tang'ze'shou'ming
桃井幸,tao'jing'xing
特别高度救助队,te'bie'gao'du'jiu'zhu'dui
特公,te'gong
特优生,te'you'sheng
藤村步,teng'cun'bu
藤冈,teng'gang
藤家和依,teng'jia'he'yi
藤井冬弥,teng'jing'dong'mi
藤木直人,teng'mu'zhi'ren
藤堂平助,teng'tang'ping'zhu
藤堂志摩子,teng'tang'zhi'mo'zi
藤田圭宣,teng'tian'gui'xuan
藤田咲,teng'tian'xiao
藤原纪香,teng'yuan'ji'xiang
藤原龙也,teng'yuan'long'ye
藤原弥凉,teng'yuan'mi'liang
藤原塔子,teng'yuan'ta'zi
藤原滋,teng'yuan'zi
笹田纯,ti'tian'chun
提亚拉之泪,ti'ya'la'zhi'lei
天保异闻妖奇士,tian'bao'yi'wen'yao'qi'shi
田边诚一,tian'bian'cheng'yi
天才风水师小玲,tian'cai'feng'shui'shi'xiao'ling
天才麻将少女,tian'cai'ma'jiang'shao'nv
天才小钓手,tian'cai'xiao'diao'shou
田村正和,tian'cun'zheng'he
田岛悠一郎,tian'dao'you'yi'lang
天妃女学院,tian'fei'nv'xue'yuan
天国少女,tian'guo'shao'nv
天海佑希,tian'hai'you'xi
天海祐希,tian'hai'you'xi
天降之物,tian'jiang'zhi'wu
天空寺奈染弥,tian'kong'si'nai'ran'mi
田口,tian'kou
田口淳之介,tian'kou'chun'zhi'jie
天濑早季,tian'lai'zao'ji
甜蜜的痛苦,tian'mi'de'tong'ku
甜蜜公主,tian'mi'gong'zhu
甜蜜偶像,tian'mi'ou'xiang
甜蜜声优,tian'mi'sheng'you
田神景世,tian'shen'jing'shi
天生妙手,tian'sheng'miao'shou
天生一对,tian'sheng'yi'dui
天使的尾巴,tian'shi'de'wei'ba
天使怪盗,tian'shi'guai'dao
天使禁猎区,tian'shi'jin'lie'qu
天使特警,tian'shi'te'jing
天使小生意气,tian'shi'xiao'sheng'yi'qi
天使之羽,tian'shi'zhi'yu
天堂餐馆,tian'tang'can'guan
天体战士,tian'ti'zhan'shi
天体战士桑雷德第期,tian'ti'zhan'shi'sang'lei'de'di'qi
甜甜,tian'tian
甜甜私房猫,tian'tian'si'fang'mao
天天元气妈妈,tian'tian'yuan'qi'ma'ma
天下霸道之剑,tian'xia'ba'dao'zhi'jian
天元突破,tian'yuan'tu'po
天元突破红莲之眼,tian'yuan'tu'po'hong'lian'zhi'yan
田沼要,tian'zhao'yao
田中,tian'zhong
田中理惠,tian'zhong'li'hui
田中美佐子,tian'zhong'mei'zuo'zi
田中圣,tian'zhong'sheng
田中幸太朗,tian'zhong'xing'tai'lang
调酒师,tiao'jiu'shi
铁板少女小茜,tie'ban'shao'nv'xiao'qian
铁臂神拳,tie'bi'shen'quan
铁马少年,tie'ma'shao'nian
铁腕女刑警,tie'wan'nv'xing'jing
同班同学,tong'ban'tong'xue
筒井道隆,tong'jing'dao'long
通灵王,tong'ling'wang
桐奈奈美,tong'nai'nai'mei
通往北斗之路,tong'wang'bei'dou'zhi'lu
同一屋檐下,tong'yi'wu'yan'xia
偷偷爱上你,tou'tou'ai'shang'ni
头文字,tou'wen'zi
土方岁三,tu'fang'sui'san
图书馆战争,tu'shu'guan'zhan'zheng
推理之绊,tui'li'zhi'ban
陀螺战士,tuo'luo'zhan'shi
拓麻歌子,tuo'ma'ge'zi
洼冢洋介,wa'zhong'yang'jie
湾岸,wan'an
完美小姐进化论,wan'mei'xiao'jie'jin'hua'lun
玩偶游戏,wan'ou'you'xi
丸山隆平,wan'shan'long'ping
丸子,wan'zi
王牌男公关,wang'pai'nan'gong'guan
王牌投手,wang'pai'tou'shou
网球王子,wang'qiu'wang'zi
网球王子全国大赛,wang'qiu'wang'zi'quan'guo'da'sai
网球王子舞台剧,wang'qiu'wang'zi'wu'tai'ju
网球争霸战,wang'qiu'zheng'ba'zhan
忘却的旋律,wang'que'de'xuan'lv
妄想代理人未麻的部屋,wang'xiang'dai'li'ren'wei'ma'de'bu'wu
亡者之声,wang'zhe'zhi'sheng
往直前,wang'zhi'qian
唯爱,wei'ai
未成年,wei'cheng'nian
尾島直哉,wei'dao'zhi'zai
威尔贝鲁物语,wei'er'bei'lu'wu'yu
未来老师,wei'lai'lao'shi
未麻之部屋,wei'ma'zhi'bu'wu
未满都市,wei'man'du'shi
为食龙少爷,wei'shi'long'shao'ye
危险代理人,wei'xian'dai'li'ren
危险放课后,wei'xian'fang'ke'hou
危险关系,wei'xian'guan'xi
微笑的闪士,wei'xiao'de'shan'shi
维新志士的镇,wei'xin'zhi'shi'de'zhen
尾形,wei'xing
尾形琳,wei'xing'lin
尾形遊纪,wei'xing'you'ji
问答魔法学院,wen'da'mo'fa'xue'yuan
我爱上了妹妹,wo'ai'shang'le'mei'mei
我的狐仙女友,wo'de'hu'xian'nv'you
我的花样继子,wo'de'hua'yang'ji'zi
我的妹妹,wo'de'mei'mei
我的女神,wo'de'nv'shen
我的前进之道,wo'de'qian'jin'zhi'dao
我的帅管家,wo'de'shuai'guan'jia
