阿拉伯文字,a'la'bo'wen'zi
倒数第三音节重音词,dao'shu'di'san'yin'jie'zhong'yin'ci
导向词,dao'xiang'ci
道义逻辑,dao'yi'luo'ji
倒置,dao'zhi
倒置词序,dao'zhi'ci'xu
倒置拼写,dao'zhi'pin'xie
倒转,dao'zhuan
德摩根,de'mo'gen
得体准则,de'ti'zhun'ze
等等有,deng'deng'you
等级,deng'ji
等级词,deng'ji'ci
等级结构,deng'ji'jie'gou
等级体系,deng'ji'ti'xi
等价,deng'jia
等价单位,deng'jia'dan'wei
等式动词,deng'shi'dong'ci
等式句,deng'shi'ju
等同,deng'tong
等言线,deng'yan'xian
等音节现象,deng'yin'jie'xian'xiang
等语线,deng'yu'xian
等值,deng'zhi
等值代换原理,deng'zhi'dai'huan'yuan'li
等值式,deng'zhi'shi
低变体,di'bian'ti
低层次变体,di'ceng'ci'bian'ti
底层结构,di'ceng'jie'gou
底层语言,di'ceng'yu'yan
底层语言成分,di'ceng'yu'yan'cheng'fen
底层终端语符列,di'ceng'zhong'duan'yu'fu'lie
地点方言,di'dian'fang'yan
地点指示语,di'dian'zhi'shi'yu
第二不定式,di'er'bu'ding'shi
第二分节,di'er'fen'jie
第二过去完成时,di'er'guo'qu'wan'cheng'shi
第二级语言,di'er'ji'yu'yan
第二将来时,di'er'jiang'lai'shi
第二人称,di'er'ren'cheng
第二所有格,di'er'suo'you'ge
第二完成时,di'er'wan'cheng'shi
第二音变,di'er'yin'bian
第二语言,di'er'yu'yan
第二语言习得,di'er'yu'yan'xi'de
第二语音演变,di'er'yu'yin'yan'bian
递归,di'gui
递归定义法,di'gui'ding'yi'fa
递合模,di'he'mo
递回转移网路,di'hui'zhuan'yi'wang'lu
递进复句,di'jin'fu'ju
笛卡儿语言学,di'ka'er'yu'yan'xue
地理方言,di'li'fang'yan
地理分类法,di'li'fen'lei'fa
地理语言学,di'li'yu'yan'xue
地名,di'ming
地名变体,di'ming'bian'ti
地名的,di'ming'de
地名学,di'ming'xue
地名学的,di'ming'xue'de
狄摩根,di'mo'gen
地区方言,di'qu'fang'yan
第三人称,di'san'ren'cheng
第三人称命令句,di'san'ren'cheng'ming'ling'ju
第三人称祈使句,di'san'ren'cheng'qi'shi'ju
第三重音,di'san'zhong'yin
地图,di'tu
地图式,di'tu'shi
地位,di'wei
地位规划,di'wei'gui'hua
地位特征指数,di'wei'te'zheng'zhi'shu
低向比较,di'xiang'bi'jiao
第一不定式,di'yi'bu'ding'shi
第一等级语言,di'yi'deng'ji'yu'yan
第一分节,di'yi'fen'jie
第一人称,di'yi'ren'cheng
第一所有格形式,di'yi'suo'you'ge'xing'shi
第一完成式,di'yi'wan'cheng'shi
第一音变,di'yi'yin'bian
第一语言,di'yi'yu'yan
第一语言学,di'yi'yu'yan'xue
第一语音演变,di'yi'yu'yin'yan'bian
低语,di'yu
地域,di'yu
地域方言,di'yu'fang'yan
地域型语言,di'yu'xing'yu'yan
低语元音,di'yu'yuan'yin
低语状况,di'yu'zhuang'kuang
地域组语言,di'yu'zu'yu'yan
低元音,di'yuan'yin
电报式言语,dian'bao'shi'yan'yu
典范的,dian'fan'de
典范形式,dian'fan'xing'shi
电脑辅助翻译,dian'nao'fu'zhu'fan'yi
电脑辅助翻译计算机辅助翻译,dian'nao'fu'zhu'fan'yi'ji'suan'ji'fu'zhu'fan'yi
电脑辅助教学,dian'nao'fu'zhu'jiao'xue
电脑辅助语言学习,dian'nao'fu'zhu'yu'yan'xue'xi
电脑辅助语言学习计算机辅助语言学习,dian'nao'fu'zhu'yu'yan'xue'xi'ji'suan'ji'fu'zhu'yu'yan'xue'xi
典型层次词,dian'xing'ceng'ci'ci
典型词,dian'xing'ci
典型特征,dian'xing'te'zheng
典型形式,dian'xing'xing'shi
电子词典,dian'zi'ci'dian
调查表,diao'cha'biao
吊诡,diao'gui
掉音,diao'yin
掉字,diao'zi
定冠词,ding'guan'ci
定界符号定界符,ding'jie'fu'hao'ding'jie'fu
定理,ding'li
定量结构,ding'liang'jie'gou
定名结构,ding'ming'jie'gou
定识,ding'shi
定式动词,ding'shi'dong'ci
定识力度,ding'shi'li'du
定识图式,ding'shi'tu'shi
定式字句,ding'shi'zi'ju
定位,ding'wei
定向结构,ding'xiang'jie'gou
定向小品词,ding'xiang'xiao'pin'ci
定义,ding'yi
顶音,ding'yin
定语,ding'yu
顶真,ding'zhen
定指,ding'zhi
定指度,ding'zhi'du
定指限定词,ding'zhi'xian'ding'ci
动宾结构,dong'bin'jie'gou
动补复合词,dong'bu'fu'he'ci
动词,dong'ci
动词次序,dong'ci'ci'xu
动词词组,dong'ci'ci'zu
动词丛,dong'ci'cong
动词的非谓语形式,dong'ci'de'fei'wei'yu'xing'shi
动词短语,dong'ci'duan'yu
动词非限定式,dong'ci'fei'xian'ding'shi
动词副词词组,dong'ci'fu'ci'ci'zu
动词复合词,dong'ci'fu'he'ci
动词核心,dong'ci'he'xin
动词化,dong'ci'hua
动词居首,dong'ci'ju'shou
动词居尾,dong'ci'ju'wei
动词居中,dong'ci'ju'zhong
动词扩展形式,dong'ci'kuo'zhan'xing'shi
动词体,dong'ci'ti
动词谓语句,dong'ci'wei'yu'ju
动词性词,dong'ci'xing'ci
动词性词组,dong'ci'xing'ci'zu
动词性非主谓句,dong'ci'xing'fei'zhu'wei'ju
动词性名词,dong'ci'xing'ming'ci
动词性形容词,dong'ci'xing'xing'rong'ci
动词支配成分,dong'ci'zhi'pei'cheng'fen
动词组,dong'ci'zu
动词组动词短语,dong'ci'zu'dong'ci'duan'yu
动辅音,dong'fu'yin
动介词,dong'jie'ci
动觉反馈,dong'jue'fan'kui
动力,dong'li
动力重音,dong'li'zhong'yin
动名词,dong'ming'ci
动名词化,dong'ming'ci'hua
动名词形成,dong'ming'ci'xing'cheng
动名词子句,dong'ming'ci'zi'ju
动时,dong'shi
动态规划,dong'tai'gui'hua
动态句法,dong'tai'ju'fa
动态谓词逻辑,dong'tai'wei'ci'luo'ji
动态语义学,dong'tai'yu'yi'xue
动态约束,dong'tai'yue'shu
动体,dong'ti
动物符号学,dong'wu'fu'hao'xue
动物叫声说,dong'wu'jiao'sheng'shuo
动物名词,dong'wu'ming'ci
动形词,dong'xing'ci
动作,dong'zuo
动作动词,dong'zuo'dong'ci
动作谓语,dong'zuo'wei'yu
逗乐原则,dou'le'yuan'ze
独白,du'bai
独词句,du'ci'ju
都铎王朝,du'duo'wang'chao
独立成分,du'li'cheng'fen
独立短语,du'li'duan'yu
独立结构,du'li'jie'gou
独立句,du'li'ju
独立区域,du'li'qu'yu
独立式增力,du'li'shi'zeng'li
独立音变,du'li'yin'bian
独立主格结构,du'li'zhu'ge'jie'gou
杜林测试图灵试验,du'lin'ce'shi'tu'ling'shi'yan
杜林机图灵机,du'lin'ji'tu'ling'ji
独一,du'yi
读音,du'yin
读音法,du'yin'fa
独元集,du'yuan'ji
短程记忆,duan'cheng'ji'yi
段落,duan'luo
短弱音符,duan'ruo'yin'fu
断续发音,duan'xu'fa'yin
断言,duan'yan
断言符号,duan'yan'fu'hao
短音,duan'yin
短语,duan'yu
短语标记,duan'yu'biao'ji
短语动词,duan'yu'dong'ci
短语结构,duan'yu'jie'gou
短语结构规则,duan'yu'jie'gou'gui'ze
短语结构树形图,duan'yu'jie'gou'shu'xing'tu
短语结构语法,duan'yu'jie'gou'yu'fa
短语性复合词,duan'yu'xing'fu'he'ci
对比,dui'bi
对比的,dui'bi'de
对比的对立体,dui'bi'de'dui'li'ti
对比分析,dui'bi'fen'xi
对比分析法,dui'bi'fen'xi'fa
对比焦点,dui'bi'jiao'dian
对比替换,dui'bi'ti'huan
对比重音,dui'bi'zhong'yin
对称,dui'chen
对称连接词同等,dui'chen'lian'jie'ci'tong'deng
对称模式化,dui'chen'mo'shi'hua
对称性,dui'chen'xing
对等词,dui'deng'ci
对话,dui'hua
对话分析,dui'hua'fen'xi
对话原则,dui'hua'yuan'ze
对话者,dui'hua'zhe
对立,dui'li
对立词项,dui'li'ci'xiang
对偶,dui'ou
对上下文敏感的语法,dui'shang'xia'wen'min'gan'de'yu'fa
对象,dui'xiang
对象语言,dui'xiang'yu'yan
对谐,dui'xie
对应,dui'ying
对应词,dui'ying'ci
对应系统,dui'ying'xi'tong
对应音,dui'ying'yin
堆栈,dui'zhan
对照多国语言文章词,dui'zhao'duo'guo'yu'yan'wen'zhang'ci
对跖词,dui'zhi'ci
钝音对锐音,dun'yin'dui'rui'yin
钝音符,dun'yin'fu
多成分组合,duo'cheng'fen'zu'he
多成分组合语,duo'cheng'fen'zu'he'yu
多重继承,duo'chong'ji'cheng
多重量化式,duo'chong'liang'hua'shi
多次态,duo'ci'tai
多次体,duo'ci'ti
多次体动词,duo'ci'ti'dong'ci
多对一函数,duo'dui'yi'han'shu
多分句连结,duo'fen'ju'lian'jie
夺格,duo'ge
夺格的,duo'ge'de
夺格的独立成分,duo'ge'de'du'li'cheng'fen
多媒体,duo'mei'ti
多媒体通讯,duo'mei'ti'tong'xun
多声调语言,duo'sheng'diao'yu'yan
多式综合语,duo'shi'zong'he'yu
多态逻辑,duo'tai'luo'ji
多维,duo'wei
多系统的,duo'xi'tong'de
多系统论,duo'xi'tong'lun
多系统音位学,duo'xi'tong'yin'wei'xue
多系统音系学,duo'xi'tong'yin'xi'xue
多系统语音学,duo'xi'tong'yu'yin'xue
多向,duo'xiang
多小句规则,duo'xiao'ju'gui'ze
多义,duo'yi
多义词,duo'yi'ci
多义现象,duo'yi'xian'xiang
多义性,duo'yi'xing
多音段特征,duo'yin'duan'te'zheng
多音节词,duo'yin'jie'ci
多语,duo'yu
多语的,duo'yu'de
多语翻译,duo'yu'fan'yi
多语现象,duo'yu'xian'xiang
多余信息,duo'yu'xin'xi
多语讯息处理系统,duo'yu'xun'xi'chu'li'xi'tong
多语制,duo'yu'zhi
多语种使用者,duo'yu'zhong'shi'yong'zhe
多源说,duo'yuan'shuo
多元音位学,duo'yuan'yin'wei'xue
多种解释,duo'zhong'jie'shi
腭化符号,e'hua'fu'hao
腭化消失,e'hua'xiao'shi
腭化作用,e'hua'zuo'yong
腭位图,e'wei'tu
腭位学,e'wei'xue
腭音,e'yin
腭龈音,e'yin'yin
二度组合词,er'du'zu'he'ci
二合元音,er'he'yuan'yin
二合元音化,er'he'yuan'yin'hua
二合字母,er'he'zi'mu
二价算子,er'jia'suan'zi
二阶逻辑,er'jie'luo'ji
二阶述词,er'jie'shu'ci
儿童语言,er'tong'yu'yan
儿童语言发展学,er'tong'yu'yan'fa'zhan'xue
二向,er'xiang
二义性,er'yi'xing
耳语,er'yu
儿语,er'yu
耳语元音,er'yu'yuan'yin
耳语状况,er'yu'zhuang'kuang
二元对立的,er'yuan'dui'li'de
二元谓词,er'yuan'wei'ci
发话人,fa'hua'ren
发声,fa'sheng
发生认识论,fa'sheng'ren'shi'lun
发生学分类法,fa'sheng'xue'fen'lei'fa
发声延迟,fa'sheng'yan'chi
发送者,fa'song'zhe
法素,fa'su
法素学分析,fa'su'xue'fen'xi
法位,fa'wei
法位法素变体,fa'wei'fa'su'bian'ti
法位学,fa'wei'xue
法位学分析,fa'wei'xue'fen'xi
发现程序,fa'xian'cheng'xu
发音,fa'yin
发音变项,fa'yin'bian'xiang
发音不清,fa'yin'bu'qing
发音部位,fa'yin'bu'wei
发音参数,fa'yin'can'shu
发音的基本动作,fa'yin'de'ji'ben'dong'zuo
发音点,fa'yin'dian
发音动作,fa'yin'dong'zuo
发音方法,fa'yin'fang'fa
发音方法特征,fa'yin'fang'fa'te'zheng
发音方式,fa'yin'fang'shi
发音合作人,fa'yin'he'zuo'ren
发音阶段,fa'yin'jie'duan
发音结构,fa'yin'jie'gou
发音器官,fa'yin'qi'guan
发音人,fa'yin'ren
发音生理学,fa'yin'sheng'li'xue
发音书写误用,fa'yin'shu'xie'wu'yong
发音位置,fa'yin'wei'zhi
发音系统,fa'yin'xi'tong
发音语音学,fa'yin'yu'yin'xue
发音姿态,fa'yin'zi'tai
发展心理学,fa'zhan'xin'li'xue
发展语言学,fa'zhan'yu'yan'xue
法子,fa'zi
范本瑟姆,fan'ben'se'mu
范畴,fan'chou
范畴部分,fan'chou'bu'fen
范畴符号,fan'chou'fu'hao
范畴合一语法,fan'chou'he'yi'yu'fa
范畴化,fan'chou'hua
范畴连并语法,fan'chou'lian'bing'yu'fa
范畴语法,fan'chou'yu'fa
反动关系,fan'dong'guan'xi
范恩卡区同克氏区,fan'en'ka'qu'tong'ke'shi'qu
范恩图解,fan'en'tu'jie
反讽,fan'feng
反复,fan'fu
反复体,fan'fu'ti
泛函贴合运算,fan'han'tie'he'yun'suan
反馈,fan'kui
反馈形式,fan'kui'xing'shi
反例,fan'li
反身,fan'shen
反身代词,fan'shen'dai'ci
反身动词,fan'shen'dong'ci
范式聚合,fan'shi'ju'he
反事实句,fan'shi'shi'ju
反事实如言,fan'shi'shi'ru'yan
反事实条件句,fan'shi'shi'tiao'jian'ju
范氏图,fan'shi'tu
范围,fan'wei
反问句,fan'wen'ju
反向词,fan'xiang'ci
反向关系,fan'xiang'guan'xi
反心灵主义,fan'xin'ling'zhu'yi
反叙,fan'xu
反义,fan'yi
翻译,fan'yi
反义词,fan'yi'ci
反以词,fan'yi'ci
翻译等值性,fan'yi'deng'zhi'xing
反义关系,fan'yi'guan'xi
翻译记忆,fan'yi'ji'yi
翻译练习,fan'yi'lian'xi
反义现象,fan'yi'xian'xiang
反义字,fan'yi'zi
反应,fan'ying
反应词语,fan'ying'ci'yu
反映形式,fan'ying'xing'shi
反语,fan'yu
范域词,fan'yu'ci
范域作用域,fan'yu'zuo'yong'yu
反证法,fan'zheng'fa
反指,fan'zhi
泛指,fan'zhi
方法,fang'fa
方括弧法,fang'kuo'hu'fa
方面,fang'mian
方式,fang'shi
方式准则,fang'shi'zhun'ze
方位参数,fang'wei'can'shu
方位词,fang'wei'ci
方位格,fang'wei'ge
方位主义,fang'wei'zhu'yi
方言,fang'yan
方言地理学,fang'yan'de'li'xue
方言地图,fang'yan'di'tu
方言化,fang'yan'hua
方言界线,fang'yan'jie'xian
方言借用,fang'yan'jie'yong
方言区,fang'yan'qu
方言特征,fang'yan'te'zheng
方言同义词,fang'yan'tong'yi'ci
方言学,fang'yan'xue
仿造,fang'zao
仿造词语,fang'zao'ci'yu
非鼻音,fei'bi'yin
非标准量词,fei'biao'zhun'liang'ci
非标准语,fei'biao'zhun'yu
非重读央元音,fei'chong'du'yang'yuan'yin
非重读音,fei'chong'du'yin
非唇化,fei'chun'hua
非茨基,fei'ci'ji
非词源化,fei'ci'yuan'hua
非单调逻辑,fei'dan'diao'luo'ji
非单调推理,fei'dan'diao'tui'li
非定,fei'ding
非断言的,fei'duan'yan'de
非对比性变体,fei'dui'bi'xing'bian'ti
非对称的辅音,fei'dui'chen'de'fu'yin
非对称性,fei'dui'chen'xing
非方言化,fei'fang'yan'hua
肺封闭,fei'feng'bi
非辅音性的,fei'fu'yin'xing'de
非功能性变异,fei'gong'neng'xing'bian'yi
非惯用句,fei'guan'yong'ju
非规范的语言现象,fei'gui'fan'de'yu'yan'xian'xiang
非过去时,fei'guo'qu'shi
非喉塞,fei'hou'sai
非降音,fei'jiang'yin
非焦点,fei'jiao'dian
非句法复合词,fei'ju'fa'fu'he'ci
非连续成分,fei'lian'xu'cheng'fen
非连续词素,fei'lian'xu'ci'su
非连续体结构,fei'lian'xu'ti'jie'gou
非连续性,fei'lian'xu'xing
非邻近同化,fei'lin'jin'tong'hua
非论证型推理,fei'lun'zheng'xing'tui'li
非能产性的,fei'neng'chan'xing'de
非平凡蕴涵,fei'ping'fan'yun'han
废弃,fei'qi
肺气流机制,fei'qi'liu'ji'zhi
非前部音,fei'qian'bu'yin
肺腔,fei'qiang
非区别性特征,fei'qu'bie'xing'te'zheng
非屈折的,fei'qu'zhe'de
非舌面前音,fei'she'mian'qian'yin
非生物性,fei'sheng'wu'xing
非升音,fei'sheng'yin
非事实,fei'shi'shi
非事实性,fei'shi'shi'xing
非实质分枝式,fei'shi'zhi'fen'zhi'shi
非特定语者语音识别,fei'te'ding'yu'zhe'yu'yin'shi'bie
非完成态,fei'wan'cheng'tai
非完美形式不协调,fei'wan'mei'xing'shi'bu'xie'tiao
非位的,fei'wei'de
非限定,fei'xian'ding
非限定动词成分,fei'xian'ding'dong'ci'cheng'fen
非限定式子句,fei'xian'ding'shi'zi'ju
非限制性结构,fei'xian'zhi'xing'jie'gou
非限制型语法,fei'xian'zhi'xing'yu'fa
非亚语系,fei'ya'yu'xi
非延续音,fei'yan'xu'yin
非一致性,fei'yi'zhi'xing
非音节音,fei'yin'jie'yin
非有机特征,fei'you'ji'te'zheng
非语言环境,fei'yu'yan'huan'jing
非圆唇化,fei'yuan'chun'hua
非圆唇音,fei'yuan'chun'yin
非圆唇元音,fei'yuan'chun'yuan'yin
非元音性的,fei'yuan'yin'xing'de
非蕴含共性,fei'yun'han'gong'xing
非真,fei'zhen
非真值条件语义学,fei'zhen'zhi'tiao'jian'yu'yi'xue
非正常元音,fei'zheng'chang'yuan'yin
非指称的,fei'zhi'cheng'de
非终端节点,fei'zhong'duan'jie'dian
非洲语言学,fei'zhou'yu'yan'xue
非主动语态,fei'zhu'dong'yu'tai
非主谓句,fei'zhu'wei'ju
分布,fen'bu
分布分析,fen'bu'fen'xi
分布式文本剖析,fen'bu'shi'wen'ben'pou'xi
分布数词,fen'bu'shu'ci
分布协调型推理,fen'bu'xie'tiao'xing'tui'li
分布主义,fen'bu'zhu'yi
分叉点,fen'cha'dian
分词,fen'ci
分词单位切词单位,fen'ci'dan'wei'qie'ci'dan'wei
分词短语,fen'ci'duan'yu
分段,fen'duan
分段标志,fen'duan'biao'zhi
分段音系学,fen'duan'yin'xi'xue
分号,fen'hao
分解,fen'jie
分界法,fen'jie'fa
分界功能,fen'jie'gong'neng
分句,fen'ju
分句连结,fen'ju'lian'jie
芬兰乌戈尔语言学,fen'lan'wu'ge'er'yu'yan'xue
分类,fen'lei
分类词典,fen'lei'ci'dian
分类法,fen'lei'fa
分类阶层分类层次,fen'lei'jie'ceng'fen'lei'ceng'ci
分类结构,fen'lei'jie'gou
分类体,fen'lei'ti
分类型概念,fen'lei'xing'gai'nian
分类学派,fen'lei'xue'pai
分类音位学,fen'lei'yin'wei'xue
分类语言学,fen'lei'yu'yan'xue
分离代词,fen'li'dai'ci
分离单位,fen'li'dan'wei
分离的,fen'li'de
分离功能,fen'li'gong'neng
分离关系,fen'li'guan'xi
分裂,fen'lie
分裂不定式,fen'lie'bu'ding'shi
分裂句,fen'lie'ju
分裂子句,fen'lie'zi'ju
分散,fen'san
分散式的,fen'san'shi'de
分数词,fen'shu'ci
分析,fen'xi
分析式使成式,fen'xi'shi'shi'cheng'shi
分析型,fen'xi'xing
分析性语句,fen'xi'xing'yu'ju
分析型语言,fen'xi'xing'yu'yan
分析性蕴涵,fen'xi'xing'yun'han
分析性真理,fen'xi'xing'zhen'li
分音符,fen'yin'fu
分枝,fen'zhi
分支程序教学法,fen'zhi'cheng'xu'jiao'xue'fa
分支法,fen'zhi'fa
分枝法,fen'zhi'fa
分枝量词,fen'zhi'liang'ci
封闭,feng'bi
封闭二合元音,feng'bi'er'he'yuan'yin
封闭过渡语音,feng'bi'guo'du'yu'yin
封闭集合,feng'bi'ji'he
封闭类词,feng'bi'lei'ci
封闭列,feng'bi'lie
封闭世界假说,feng'bi'shi'jie'jia'shuo
封闭网络,feng'bi'wang'luo
封闭系统,feng'bi'xi'tong
封闭性,feng'bi'xing
封闭性词类,feng'bi'xing'ci'lei
封闭状态,feng'bi'zhuang'tai
讽刺,feng'ci
讽刺原则,feng'ci'yuan'ze
讽刺准则,feng'ci'zhun'ze
风格,feng'ge
风格学,feng'ge'xue
峰属,feng'shu
丰义,feng'yi
封阻封杀,feng'zu'feng'sha
否定,fou'ding
否定词,fou'ding'ci
否定词缀,fou'ding'ci'zhui
否定后件规则结构,fou'ding'hou'jian'gui'ze'jie'gou
否定后件律,fou'ding'hou'jian'lv
否定句,fou'ding'ju
否定连接词,fou'ding'lian'jie'ci
否定式,fou'ding'shi
否定析取支规则,fou'ding'xi'qu'zhi'gui'ze
否定下降,fou'ding'xia'jiang
否定小品词,fou'ding'xiao'pin'ci
否定移前,fou'ding'yi'qian
否定因子,fou'ding'yin'zi
否连言,fou'lian'yan
否选言,fou'xuan'yan
否言,fou'yan
否言词,fou'yan'ci
复变,fu'bian
副词,fu'ci
副词化,fu'ci'hua
副词片语,fu'ci'pian'yu
副词前移,fu'ci'qian'yi
副词下降,fu'ci'xia'jiang
附带成分,fu'dai'cheng'fen
复辅音,fu'fu'yin
符号,fu'hao
符号的引得属性,fu'hao'de'yin'de'shu'xing
符号关系学,fu'hao'guan'xi'xue
符号化,fu'hao'hua
符号化与字句化,fu'hao'hua'yu'zi'ju'hua
符号论,fu'hao'lun
符号逻辑,fu'hao'luo'ji
符号系统,fu'hao'xi'tong
符号学,fu'hao'xue
符号语言学,fu'hao'yu'yan'xue
复合,fu'he
复合词,fu'he'ci
复合的,fu'he'de
复合动词,fu'he'dong'ci
复合法,fu'he'fa
复合构词法,fu'he'gou'ci'fa
符合惯用法的翻译,fu'he'guan'yong'fa'de'fan'yi
符合规范的,fu'he'gui'fan'de
复合函数,fu'he'han'shu
复合句,fu'he'ju
复合名词,fu'he'ming'ci
复合名词性词,fu'he'ming'ci'xing'ci
复合命题,fu'he'ming'ti
复合人称代词,fu'he'ren'cheng'dai'ci
复合塞音,fu'he'se'yin
复合时,fu'he'shi
复合谓语,fu'he'wei'yu
复合音节峰,fu'he'yin'jie'feng
复合音节核心,fu'he'yin'jie'he'xin
复合音素,fu'he'yin'su
复合元音,fu'he'yuan'yin
复合主语,fu'he'zhu'yu
复合转义,fu'he'zhuan'yi
复合字素,fu'he'zi'su
复活形式,fu'huo'xing'shi
附加从句,fu'jia'cong'ju
附加符号,fu'jia'fu'hao
附加疑问句,fu'jia'yi'wen'ju
附加语附加修饰语,fu'jia'yu'fu'jia'xiu'shi'yu
附加语符列,fu'jia'yu'fu'lie
附加语转换,fu'jia'yu'zhuan'huan
复句,fu'ju
弗雷格,fu'lei'ge
赋类函数,fu'lei'han'shu
傅里叶分析,fu'li'ye'fen'xi
弗列格,fu'lie'ge
父名,fu'ming
复切分特征,fu'qie'fen'te'zheng
符示,fu'shi
复数,fu'shu
复数成分,fu'shu'cheng'fen
复数名词组,fu'shu'ming'ci'zu
附属音变,fu'shu'yin'bian
符素,fu'su
富托克字母,fu'tuo'ke'zi'mu
复写,fu'xie
辅音,fu'yin
辅音变化,fu'yin'bian'hua
辅音变音,fu'yin'bian'yin
复音词,fu'yin'ci
辅音丛,fu'yin'cong
辅音的文字,fu'yin'de'wen'zi
辅音间的,fu'yin'jian'de
辅音文字,fu'yin'wen'zi
辅音性的对非辅音性的,fu'yin'xing'de'dui'fei'fu'yin'xing'de
辅音演变,fu'yin'yan'bian
辅音字母,fu'yin'zi'mu
辅音组合,fu'yin'zu'he
腹语,fu'yu
附语言,fu'yu'yan
副语言,fu'yu'yan
副语言特征,fu'yu'yan'te'zheng
副语言学,fu'yu'yan'xue
复杂变移位,fu'za'bian'yi'wei
复杂波形,fu'za'bo'xing
复杂度,fu'za'du
复杂符号,fu'za'fu'hao
复杂句,fu'za'ju
复杂类型,fu'za'lei'xing
复杂谓语,fu'za'wei'yu
复杂性或异质性,fu'za'xing'huo'yi'zhi'xing
复杂状态结构,fu'za'zhuang'tai'jie'gou
复指,fu'zhi
复指代词,fu'zhi'dai'ci
符咒语言,fu'zhou'yu'yan
辅助符号,fu'zhu'fu'hao
辅助语,fu'zhu'yu
附着词,fu'zhuo'ci
附着附着语素,fu'zhuo'fu'zhuo'yu'su
附着形式,fu'zhuo'xing'shi
附着型语言,fu'zhuo'xing'yu'yan
改变,gai'bian
改变说法,gai'bian'shuo'fa
概化词组结构语法广义短语结构语法,gai'hua'ci'zu'jie'gou'yu'fa'guang'yi'duan'yu'jie'gou'yu'fa
概括表象,gai'kuo'biao'xiang
概括过度,gai'kuo'guo'du
概括语音,gai'kuo'yu'yin
概括转换,gai'kuo'zhuan'huan
概率句法剖析程式,gai'lv'ju'fa'pou'xi'cheng'shi
概率式句法剖析,gai'lv'shi'ju'fa'pou'xi
概念,gai'nian
概念表征,gai'nian'biao'zheng
概念表征语义学,gai'nian'biao'zheng'yu'yi'xue
概念词,gai'nian'ci
概念从属语法,gai'nian'cong'shu'yu'fa
概念分类,gai'nian'fen'lei
概念阶层,gai'nian'jie'ceng
概念论,gai'nian'lun
概念性意义,gai'nian'xing'yi'yi
概念依存,gai'nian'yi'cun
概念隐喻,gai'nian'yin'yu
概念语法,gai'nian'yu'fa
盖然性,gai'ran'xing
感官讯息感觉信息,gan'guan'xun'xi'gan'jue'xin'xi
感觉表征,gan'jue'biao'zheng
感觉器感知器,gan'jue'qi'gan'zhi'qi
感觉运动期,gan'jue'yun'dong'qi
感情的,gan'qing'de
感染词义的,gan'ran'ci'yi'de
干扰,gan'rao
感叹,gan'tan
感叹成分,gan'tan'cheng'fen
感叹词,gan'tan'ci
感叹或咒骂,gan'tan'huo'zhou'ma
感叹句,gan'tan'ju
感叹说,gan'tan'shuo
感叹性片断,gan'tan'xing'pian'duan
感叹音调,gan'tan'yin'diao
感知,gan'zhi
感知策略,gan'zhi'ce'lue
高变体,gao'bian'ti
高层次变体,gao'ceng'ci'bian'ti
高次位词,gao'ci'wei'ci
高地德语音变,gao'di'de'yu'yin'bian
高级智力功能,gao'ji'zhi'li'gong'neng
高降低调,gao'jiang'di'tiao
高降调,gao'jiang'diao
高阶逻辑,gao'jie'luo'ji
高一层次的语言,gao'yi'ceng'ci'de'yu'yan
高音,gao'yin
高元音,gao'yuan'yin
哥本哈根学派,ge'ben'ha'gen'xue'pai
格标记,ge'biao'ji
格标志,ge'biao'zhi
戈代尔,ge'dai'er
哥德尔,ge'de'er
格拉哥里字母表,ge'la'ge'li'zi'mu'biao
格拉斯曼定律,ge'la'si'man'ding'lv
格里姆定律,ge'li'mu'ding'lv
格律,ge'lv
格律学,ge'lv'xue
个人间交际,ge'ren'jian'jiao'ji
个人内部的变异,ge'ren'nei'bu'de'bian'yi
个人体语音,ge'ren'ti'yu'yin
个人言语特点,ge'ren'yan'yu'te'dian
个人语言,ge'ren'yu'yan
个人语言特点,ge'ren'yu'yan'te'dian
个人语言研究,ge'ren'yu'yan'yan'jiu
个人之间的变异,ge'ren'zhi'jian'de'bian'yi
个数量词,ge'shu'liang'ci
哥特体字母,ge'te'ti'zi'mu
个体,ge'ti
个体变量,ge'ti'bian'liang
个体变体,ge'ti'bian'ti
个体常量,ge'ti'chang'liang
个体发生,ge'ti'fa'sheng
个体概念,ge'ti'gai'nian
个体化等级,ge'ti'hua'deng'ji
个体谓词,ge'ti'wei'ci
格条件,ge'tiao'jian
格位,ge'wei
格位标志,ge'wei'biao'zhi
格位框架,ge'wei'kuang'jia
格位语法,ge'wei'yu'fa
给定信息,gei'ding'xin'xi
根据记忆的,gen'ju'ji'yi'de
根据权威论证,gen'ju'quan'wei'lun'zheng
共存性,gong'cun'xing
共核,gong'he
工具动词,gong'ju'dong'ci
工具副词,gong'ju'fu'ci
工具格,gong'ju'ge
共聚量,gong'ju'liang
工具性学习动机,gong'ju'xing'xue'xi'dong'ji
公开交际,gong'kai'jiao'ji
公理,gong'li
共鸣,gong'ming
共鸣器,gong'ming'qi
共鸣腔,gong'ming'qiang
共鸣曲线,gong'ming'qu'xian
共鸣音,gong'ming'yin
功能,gong'neng
功能词,gong'neng'ci
功能的句子透视,gong'neng'de'ju'zi'tou'shi
功能分配,gong'neng'fen'pei
功能分析法,gong'neng'fen'xi'fa
功能符,gong'neng'fu
