阿尔泰雪鸡,a'er'tai'xue'ji
竹啄木鸟,zhu'zhuo'mu'niao
啄花鸟,zhuo'hua'niao
啄木鸟,zhuo'mu'niao
啄木鸟科,zhuo'mu'niao'ke
紫背椋鸟,zi'bei'liang'niao
紫背苇鳽,zi'bei'wei'zhan
紫翅椋鸟,zi'chi'liang'niao
紫颊直嘴太阳鸟,zi'jia'zhi'zui'tai'yang'niao
紫金鹃,zi'jin'juan
紫宽嘴鸫,zi'kuan'zui'dong
紫林鸽,zi'lin'ge
紫色花蜜鸟,zi'se'hua'mi'niao
紫寿带,zi'shou'dai
紫寿带鸟,zi'shou'dai'niao
紫水鸡,zi'shui'ji
紫啸鸫,zi'xiao'dong
棕斑鸠,zong'ban'jiu
棕背伯劳,zong'bei'bo'lao
棕背黑头鸫,zong'bei'hei'tou'dong
棕背田鸡,zong'bei'tian'ji
棕背雪雀,zong'bei'xue'que
棕草鹛,zong'cao'mei
棕翅鵟鹰,zong'chi'kuang'ying
棕顶树莺,zong'ding'shu'ying
棕腹大仙鹟,zong'fu'da'xian'weng
棕腹杜鹃,zong'fu'du'juan
棕腹鵙鹛,zong'fu'ju'mei
棕腹蓝仙鹟,zong'fu'lan'xian'weng
棕腹林鸲,zong'fu'lin'qu
棕腹柳莺,zong'fu'liu'ying
棕腹树鹊,zong'fu'shu'que
棕腹隼雕,zong'fu'sun'diao
棕腹仙鹟,zong'fu'xian'weng
棕腹啄木鸟,zong'fu'zhuo'mu'niao
棕肛凤鹛,zong'gang'feng'mei
棕褐短翅莺,zong'he'duan'chi'ying
棕喉雀鹛,zong'hou'que'mei
棕颈钩嘴鹛,zong'jing'gou'zui'mei
棕颈犀鸟,zong'jing'xi'niao
棕颈雪雀,zong'jing'xue'que
棕颈鸭,zong'jing'ya
棕颏噪鹛,zong'ke'zao'mei
棕脸鹟莺,zong'lian'weng'ying
棕眉柳莺,zong'mei'liu'ying
棕眉山岩鹨,zong'mei'shan'yan'liu
棕三趾鹑,zong'san'zhi'chun
棕扇尾莺,zong'shan'wei'ying
棕头歌鸲,zong'tou'ge'qu
棕头钩嘴鹛,zong'tou'gou'zui'mei
棕头鹃鸠,zong'tou'juan'jiu
棕头鸥,zong'tou'ou
棕头雀鹛,zong'tou'que'mei
棕头鸦雀,zong'tou'ya'que
棕头幽鹛,zong'tou'you'mei
棕尾伯劳,zong'wei'bo'lao
棕尾褐鹟,zong'wei'he'weng
棕尾虹雉,zong'wei'hong'zhi
棕尾鵟,zong'wei'kuang
纵纹腹小鸮,zong'wen'fu'xiao'xiao
纵纹角鸮,zong'wen'jiao'xiao
纵纹绿鹎,zong'wen'lv'bei
棕胸佛法僧,zong'xiong'fo'fa'seng
棕胸蓝姬鹟,zong'xiong'lan'ji'weng
棕胸雅鹛,zong'xiong'ya'mei
棕胸岩鹨,zong'xiong'yan'liu
棕胸竹鸡,zong'xiong'zhu'ji
棕雨燕,zong'yu'yan
棕噪鹛,zong'zao'mei
棕枕山雀,zong'zhen'shan'que
棕朱雀,zong'zhu'que
