爱奥尼亚柱式,ai'ao'ni'ya'zhu'shi
二四墙,er'si'qiang
二塘区,er'tang'qu
儿童公园,er'tong'gong'yuan
儿童活动区,er'tong'huo'dong'qu
儿童活动室,er'tong'huo'dong'shi
儿童游戏场,er'tong'you'xi'chang
儿童游戏室,er'tong'you'xi'shi
儿童阅览室,er'tong'yue'lan'shi
二维制图系统,er'wei'zhi'tu'xi'tong
二氧化碳,er'yang'hua'tan
二氧化碳发生器,er'yang'hua'tan'fa'sheng'qi
二氧化碳灭火器,er'yang'hua'tan'mie'huo'qi
二营,er'ying
二营子,er'ying'zi
筏板,fa'ban
发包,fa'bao
发包方,fa'bao'fang
发车,fa'che
发车进路,fa'che'jin'lu
发车时刻表,fa'che'shi'ke'biao
发车位,fa'che'wei
发车信号,fa'che'xin'hao
发电车,fa'dian'che
发电机,fa'dian'ji
发电机房,fa'dian'ji'fang
发电机容量,fa'dian'ji'rong'liang
发电机组,fa'dian'ji'zu
发耳,fa'er
法官室,fa'guan'shi
发光顶棚,fa'guang'ding'peng
发光开关,fa'guang'kai'guan
发光信号系统,fa'guang'xin'hao'xi'tong
筏基,fa'ji
法兰,fa'lan
法兰堵盖,fa'lan'du'gai
法兰接头,fa'lan'jie'tou
法兰连接,fa'lan'lian'jie
法兰盘,fa'lan'pan
法兰西式园林,fa'lan'xi'shi'yuan'lin
阀门安装,fa'men'an'zhuang
阀门井,fa'men'jing
阀门压力试验表,fa'men'ya'li'shi'yan'biao
阀体,fa'ti
法庭,fa'ting
法线,fa'xian
法向入射吸声系数,fa'xiang'ru'she'xi'sheng'xi'shu
筏形,fa'xing
法院,fa'yuan
泛白,fan'bai
翻拌,fan'ban
反差,fan'cha
反铲,fan'chan
反铲挖掘机,fan'chan'wa'jue'ji
繁昌北,fan'chang'bei
反冲洗,fan'chong'xi
翻窗,fan'chuang
翻地犁,fan'di'li
翻斗,fan'dou
翻斗车,fan'dou'che
凡尔赛宫苑,fan'er'sai'gong'yuan
帆拱,fan'gong
反构成主义,fan'gou'cheng'zhu'yi
饭馆,fan'guan
反光,fan'guang
反光背心,fan'guang'bei'xin
反光标志,fan'guang'biao'zhi
反光灯,fan'guang'deng
泛光灯,fan'guang'deng
反光路钮,fan'guang'lu'niu
反光膜,fan'guang'mo
反光漆,fan'guang'qi
反光涂料,fan'guang'tu'liao
泛光照明,fan'guang'zhao'ming
泛黄发花,fan'huang'fa'hua
范家屯,fan'jia'tun
范家窑,fan'jia'yao
泛碱,fan'jian
泛浆,fan'jiang
翻浆,fan'jiang
翻浆冒泥,fan'jiang'mao'ni
反馈系统,fan'kui'xi'tong
反梁,fan'liang
反滤层,fan'lv'ceng
翻模,fan'mo
翻模施工,fan'mo'shi'gong
反坡安全线,fan'po'an'quan'xian
反射,fan'she
反射玻璃,fan'she'bo'li
反射裂缝,fan'she'lie'feng
反射率,fan'she'lv
反射器,fan'she'qi
反声,fan'sheng
泛水,fan'shui
反水弯,fan'shui'wan
翻松,fan'song
翻松碾压,fan'song'nian'ya
反弯点,fan'wan'dian
范围内,fan'wei'nei
反向曲线,fan'xiang'qu'xian
反循环,fan'xun'huan
反压护道,fan'ya'hu'dao
翻译室,fan'yi'shi
反应模量,fan'ying'mo'liang
反应谱,fan'ying'pu
泛油,fan'you
繁殖温室,fan'zhi'wen'shi
方案,fang'an
方案备选,fang'an'bei'xuan
方案比较,fang'an'bi'jiao
方案比选,fang'an'bi'xuan
方案编制,fang'an'bian'zhi
方案对比,fang'an'dui'bi
方案估算,fang'an'gu'suan
方案设计,fang'an'she'ji
方案设计阶段,fang'an'she'ji'jie'duan
方案图,fang'an'tu
方案选择,fang'an'xuan'ze
防爆,fang'bao
防爆灯,fang'bao'deng
防爆设计,fang'bao'she'ji
防爆系统,fang'bao'xi'tong
防爆装甲门,fang'bao'zhuang'jia'men
方差,fang'cha
防潮层,fang'chao'ceng
防潮地下室,fang'chao'di'xia'shi
防潮基础,fang'chao'ji'chu
防尘罩,fang'chen'zhao
方锉,fang'cuo
放大器箱,fang'da'qi'xiang
放大图,fang'da'tu
防盗警报系统,fang'dao'jing'bao'xi'tong
防盗警铃,fang'dao'jing'ling
防盗门,fang'dao'men
防盗设备,fang'dao'she'bei
房地产业,fang'di'chan'ye
防冻液,fang'dong'ye
防翻架,fang'fan'jia
防风支柱,fang'feng'zhi'zhu
防腐,fang'fu
防辐射设计,fang'fu'she'she'ji
防腐蚀,fang'fu'shi
防腐蚀工程,fang'fu'shi'gong'cheng
防腐蚀设计,fang'fu'shi'she'ji
防腐枕木,fang'fu'zhen'mu
方钢,fang'gang
防高电位引入,fang'gao'dian'wei'yin'ru
方格法,fang'ge'fa
方格网,fang'ge'wang
方格网点,fang'ge'wang'dian
方格形道路系统,fang'ge'xing'dao'lu'xi'tong
防核尘地下室,fang'he'chen'di'xia'shi
防洪标准,fang'hong'biao'zhun
防洪法,fang'hong'fa
防洪工程,fang'hong'gong'cheng
防洪设施,fang'hong'she'shi
防洪预抢工程,fang'hong'yu'qiang'gong'cheng
防护工程,fang'hu'gong'cheng
防护绿地,fang'hu'lv'di
防护密闭门,fang'hu'mi'bi'men
防护栅,fang'hu'shan
防护设备,fang'hu'she'bei
防护式开关,fang'hu'shi'kai'guan
防护式照明,fang'hu'shi'zhao'ming
防护套,fang'hu'tao
防滑处理,fang'hua'chu'li
防滑地面,fang'hua'di'mian
防滑堆,fang'hua'dui
防滑条,fang'hua'tiao
防滑砖,fang'hua'zhuan
防回流污染止回阀,fang'hui'liu'wu'ran'zhi'hui'fa
防火,fang'huo
放火标准,fang'huo'biao'zhun
防火材料,fang'huo'cai'liao
防火窗,fang'huo'chuang
防火带,fang'huo'dai
防火等级,fang'huo'deng'ji
防火分区,fang'huo'fen'qu
防火隔断,fang'huo'ge'duan
防火隔离带,fang'huo'ge'li'dai
防火规范,fang'huo'gui'fan
防火间距,fang'huo'jian'ju
防火建筑,fang'huo'jian'zhu
防火卷帘,fang'huo'juan'lian
防火卷帘门,fang'huo'juan'lian'men
防火门,fang'huo'men
防火幕,fang'huo'mu
防火墙,fang'huo'qiang
防火设计,fang'huo'she'ji
防火涂料,fang'huo'tu'liao
防火系统,fang'huo'xi'tong
房间,fang'jian
方尖碑,fang'jian'bei
房间常数,fang'jian'chang'shu
房建大修,fang'jian'da'xiu
房间吊顶,fang'jian'diao'ding
房建段,fang'jian'duan
房建工程,fang'jian'gong'cheng
房建检修,fang'jian'jian'xiu
房建维修,fang'jian'wei'xiu
房间吸声量,fang'jian'xi'sheng'liang
防溅型,fang'jian'xing
防静电地面,fang'jing'dian'di'mian
防静电橡胶,fang'jing'dian'xiang'jiao
方孔筛,fang'kong'shai
方框图,fang'kuang'tu
防浪墙,fang'lang'qiang
防雷,fang'lei
防雷保护,fang'lei'bao'hu
防雷措施,fang'lei'cuo'shi
防雷单元,fang'lei'dan'yuan
防雷电感应,fang'lei'dian'gan'ying
防雷击电磁脉冲,fang'lei'ji'dian'ci'mai'chong
防雷及接地安装,fang'lei'ji'jie'di'an'zhuang
防雷类别,fang'lei'lei'bie
方量,fang'liang
防裂钢筋,fang'lie'gang'jin
防裂网,fang'lie'wang
防溜,fang'liu
防落,fang'luo
防落屏,fang'luo'ping
防落网,fang'luo'wang
防落物司机室,fang'luo'wu'si'ji'shi
方木,fang'mu
房内服务,fang'nei'fu'wu
防爬支撑,fang'pa'zhi'cheng
放坡,fang'po
方锹,fang'qiao
防倾翻司机室,fang'qing'fan'si'ji'shi
方穹顶,fang'qiong'ding
放散温度力,fang'san'wen'du'li
防沙设施,fang'sha'she'shi
防砂设施,fang'sha'she'shi
房山石,fang'shan'shi
芳山镇,fang'shan'zhen
放射部,fang'she'bu
放射科,fang'she'ke
放射路,fang'she'lu
放射式,fang'she'shi
放射形道路系统,fang'she'xing'dao'lu'xi'tong
放射状绿地,fang'she'zhuang'lv'di
防渗墙,fang'shen'qiang
方石,fang'shi
防水薄膜,fang'shui'bo'mo
防水材料,fang'shui'cai'liao
防水层,fang'shui'ceng
防水插座,fang'shui'cha'zuo
防水地下室,fang'shui'di'xia'shi
防水电气设备,fang'shui'dian'qi'she'bei
防水混凝土,fang'shui'hun'ning'tu
防水剂,fang'shui'ji
防水林,fang'shui'lin
防水砂浆,fang'shui'sha'jiang
防水石膏板,fang'shui'shi'gao'ban
防水涂层,fang'shui'tu'ceng
防水做法,fang'shui'zuo'fa
防松螺栓,fang'song'luo'shuan
枋头,fang'tou
方位角,fang'wei'jiao
防卫性空间,fang'wei'xing'kong'jian
防雾车边境,fang'wu'che'bian'jing
房屋高度,fang'wu'gao'du
房屋建筑,fang'wu'jian'zhu
房屋建筑工程,fang'wu'jian'zhu'gong'cheng
放线,fang'xian
芳香花园,fang'xiang'hua'yuan
方向角,fang'xiang'jiao
方向照明,fang'xiang'zhao'ming
芳香植物,fang'xiang'zhi'wu
枋心,fang'xin
方形地漏,fang'xing'di'lou
方形伸缩器,fang'xing'shen'suo'qi
防锈处理,fang'xiu'chu'li
防锈漆,fang'xiu'qi
防眩板,fang'xuan'ban
防炫屏,fang'xuan'ping
防眩设施,fang'xuan'she'shi
防眩网,fang'xuan'wang
防雪栅,fang'xue'shan
防雪设施,fang'xue'she'shi
防雪树篱,fang'xue'shu'li
防雪障,fang'xue'zhang
防烟挡板,fang'yan'dang'ban
防烟分区,fang'yan'fen'qu
防烟楼梯,fang'yan'lou'ti
防烟楼梯间,fang'yan'lou'ti'jian
防烟门,fang'yan'men
放样,fang'yang
防疫站,fang'yi'zhan
防音绿地,fang'yin'lv'di
放映孔,fang'ying'kong
放映设备,fang'ying'she'bei
放映室,fang'ying'shi
防雨开关,fang'yu'kai'guan
仿云石,fang'yun'shi
防灾设计,fang'zai'she'ji
放张,fang'zhang
防振轨道,fang'zhen'gui'dao
防震减灾,fang'zhen'jian'zai
防振设计,fang'zhen'she'ji
纺织厂,fang'zhi'chang
防直击雷,fang'zhi'ji'lei
防撞,fang'zhuang
方桩,fang'zhuang
防撞墩,fang'zhuang'dun
防撞护栏,fang'zhuang'hu'lan
防撞破凌,fang'zhuang'po'ling
防撞墙,fang'zhuang'qiang
防撞桶,fang'zhuang'tong
防阻块,fang'zu'kuai
非标注构件,fei'biao'zhu'gou'jian
非标准轨距,fei'biao'zhun'gui'ju
肥槽,fei'cao
非承重墙,fei'cheng'zhong'qiang
非对称配光型灯具,fei'dui'chen'pei'guang'xing'deng'ju
非规整园林,fei'gui'zheng'yuan'lin
非机动车道,fei'ji'dong'che'dao
飞机跑道,fei'ji'pao'dao
非加密区,fei'jia'mi'qu
非金属材料,fei'jin'shu'cai'liao
非抗震,fei'kang'zhen
非农业人口,fei'nong'ye'ren'kou
非屏蔽多模光纤,fei'ping'bi'duo'mo'guang'xian
废弃物,fei'qi'wu
非燃烧体,fei'ran'shao'ti
废声,fei'sheng
沸石,fei'shi
非数理统计,fei'shu'li'tong'ji
非弹性变形,fei'tan'xing'bian'xing
非稳定传热,fei'wen'ding'chuan're
肥效分析器,fei'xiao'fen'xi'qi
飞檐椽,fei'yan'chuan
费用估算,fei'yong'gu'suan
费用控制,fei'yong'kong'zhi
费用索赔审批表,fei'yong'suo'pei'shen'pi'biao
费用索赔申请表,fei'yong'suo'pei'shen'qing'biao
费用项目,fei'yong'xiang'mu
费用效益,fei'yong'xiao'yi
费用预算,fei'yong'yu'suan
非游览区,fei'you'lan'qu
肥皂架,fei'zao'jia
肥皂盘,fei'zao'pan
沸煮法,fei'zhu'fa
飞子,fei'zi
分包,fen'bao
分包工程,fen'bao'gong'cheng
分包合同,fen'bao'he'tong
分包商,fen'bao'shang
分贝,fen'bei
粪便污水,fen'bian'wu'shui
分部,fen'bu
分布钢筋,fen'bu'gang'jin
分部工程,fen'bu'gong'cheng
分部工程验收记录,fen'bu'gong'cheng'yan'shou'ji'lu
分布筋,fen'bu'jin
分步再生,fen'bu'zai'sheng
分层,fen'ceng
分层夯实,fen'ceng'hang'shi
分层离析,fen'ceng'li'xi
分层瀑布,fen'ceng'pu'bu
分车带绿化,fen'che'dai'lv'hua
分车岛,fen'che'dao
粉尘含量,fen'chen'han'liang
分道转弯式交叉口,fen'dao'zhuan'wan'shi'jiao'cha'kou
分段绝缘器,fen'duan'jue'yuan'qi
分隔带,fen'ge'dai
分隔设施,fen'ge'she'shi
分隔式立体交叉,fen'ge'shi'li'ti'jiao'cha
分格条,fen'ge'tiao
分光蹈影,fen'guang'dao'ying
粉红噪声,fen'hong'zao'sheng
分划板,fen'hua'ban
焚化炉,fen'hua'lu
粉胶比,fen'jiao'bi
分开式扣件,fen'kai'shi'kou'jian
分离,fen'li
分离式立交,fen'li'shi'li'jiao
分离式立体交叉,fen'li'shi'li'ti'jiao'cha
分离式行车道,fen'li'shi'xing'che'dao
分裂混凝土,fen'lie'hun'ning'tu
分流,fen'liu
分流制,fen'liu'zhi
分流制排水系统,fen'liu'zhi'pai'shui'xi'tong
粉煤灰,fen'mei'hui
粉煤灰砖,fen'mei'hui'zhuan
分娩部,fen'mian'bu
分娩室,fen'mian'shi
粉喷桩,fen'pen'zhuang
分劈,fen'pi
分歧人孔,fen'qi'ren'kong
分区规划,fen'qu'gui'hua
分区一般照明,fen'qu'yi'ban'zhao'ming
酚醛树脂,fen'quan'shu'zhi
分散剂,fen'san'ji
分散相材料,fen'san'xiang'cai'liao
粉砂,fen'sha
粉刷,fen'shua
分水尖,fen'shui'jian
分水寺,fen'shui'si
分体式空调器,fen'ti'shi'kong'tiao'qi
粉土,fen'tu
粉土层,fen'tu'ceng
粉细砂,fen'xi'sha
粉线包,fen'xian'bao
分线盒,fen'xian'he
分线箱,fen'xian'xiang
分项,fen'xiang
分项分部,fen'xiang'fen'bu
分项分部工程,fen'xiang'fen'bu'gong'cheng
分项工程,fen'xiang'gong'cheng
分相绝缘器,fen'xiang'jue'yuan'qi
分心槽,fen'xin'cao
粉性土,fen'xing'tu
分样器,fen'yang'qi
分支电路,fen'zhi'dian'lu
分支分配器箱,fen'zhi'fen'pei'qi'xiang
粉质粘土,fen'zhi'nian'tu
粉质粘土层,fen'zhi'nian'tu'ceng
粉质土,fen'zhi'tu
封浜,feng'bang
封闭处理,feng'bi'chu'li
封闭交通,feng'bi'jiao'tong
封闭空间,feng'bi'kong'jian
封闭楼梯,feng'bi'lou'ti
封闭楼梯间,feng'bi'lou'ti'jian
封层,feng'ceng
丰城南,feng'cheng'nan
枫丹白露宫园,feng'dan'bai'lu'gong'yuan
风挡,feng'dang
风挡玻璃,feng'dang'bo'li
峰洞,feng'dong
封端,feng'duan
峰福线,feng'fu'xian
风缸,feng'gang
风镐,feng'gao
峰高铺,feng'gao'pu
风钩,feng'gou
风管,feng'guan
风荷载,feng'he'zai
风化程度,feng'hua'cheng'du
风化岩,feng'hua'yan
风机,feng'ji
风机盘管空调系统,feng'ji'pan'guan'kong'tiao'xi'tong
冯家坝,feng'jia'ba
冯家山,feng'jia'shan
风景,feng'jing
风景地貌,feng'jing'di'mao
风景规划,feng'jing'gui'hua
风景林,feng'jing'lin
风景旅游城市,feng'jing'lv'you'cheng'shi
风景名胜,feng'jing'ming'sheng
风景名胜区管理条例,feng'jing'ming'sheng'qu'guan'li'tiao'li
风景区,feng'jing'qu
风景设计,feng'jing'she'ji
风景线,feng'jing'xian
风景学,feng'jing'xue
风景资源调查,feng'jing'zi'yuan'diao'cha
丰库,feng'ku
缝宽,feng'kuan
风力发电机,feng'li'fa'dian'ji
风量温度测量记录,feng'liang'wen'du'ce'liang'ji'lu
丰林,feng'lin
丰满度,feng'man'du
封锚,feng'mao
风玫瑰图,feng'mei'gui'tu
风炮,feng'pao
缝纫车间,feng'ren'che'jian
丰沙线,feng'sha'xian
封山育林区,feng'shan'yu'lin'qu
凤上线,feng'shang'xian
丰水村,feng'shui'cun
风水沟,feng'shui'gou
风水学,feng'shui'xue
封锁区间,feng'suo'qu'jian
丰田行,feng'tian'xing
冯屯,feng'tun
风味餐厅,feng'wei'can'ting
蜂窝,feng'wo
蜂窝麻面,feng'wo'ma'mian
风险分析,feng'xian'fen'xi
风险管理,feng'xian'guan'li
风险管理规划,feng'xian'guan'li'gui'hua
风险缓解,feng'xian'huan'jie
风险监控,feng'xian'jian'kong
风险评估,feng'xian'ping'gu
风险去除,feng'xian'qu'chu
风险识别,feng'xian'shi'bie
风险效用,feng'xian'xiao'yong
风险应对规划,feng'xian'ying'dui'gui'hua
风险预防,feng'xian'yu'fang
风向频率,feng'xiang'pin'lv
风向针,feng'xiang'zhen
风压,feng'ya
封檐板,feng'yan'ban
枫叶岭,feng'ye'ling
凤仪村,feng'yi'cun
风载,feng'zai
风载体型,feng'zai'ti'xing
风载体型系数,feng'zai'ti'xing'xi'shu
风闸阀,feng'zha'fa
风振,feng'zhen
风振系数,feng'zhen'xi'shu
峰值因数,feng'zhi'yin'shu
凤州,feng'zhou
风钻,feng'zuan
佛峪,fo'yu
佛座,fo'zuo
腹板,fu'ban
复拌沥青混合料摊铺机,fu'ban'li'qing'hun'he'liao'tan'pu'ji
扶壁,fu'bi
附壁石,fu'bi'shi
扶壁式,fu'bi'shi
扶壁式挡土墙,fu'bi'shi'dang'tu'qiang
扶壁式桥台,fu'bi'shi'qiao'tai
复测,fu'ce
妇产医院,fu'chan'yi'yuan
服从合同,fu'cong'he'tong
服从合同条件,fu'cong'he'tong'tiao'jian
服从合同条款,fu'cong'he'tong'tiao'kuan
辅道,fu'dao
腹地,fu'di
府邸,fu'di
浮吊,fu'diao
浮动床,fu'dong'chuang
浮动时差,fu'dong'shi'cha
副风缸,fu'feng'gang
覆盖物分散机,fu'gai'wu'fen'san'ji
覆盖养生,fu'gai'yang'sheng
腹拱,fu'gong
复古主义,fu'gu'zhu'yi
附挂,fu'gua
符号,fu'hao
复合材料,fu'he'cai'liao
复合窗,fu'he'chuang
附合导线,fu'he'dao'xian
负荷分类,fu'he'fen'lei
复合箍,fu'he'gu
复合箍筋,fu'he'gu'jin
负荷联动试车,fu'he'lian'dong'shi'che
复合门,fu'he'men
复合墙,fu'he'qiang
负荷容量,fu'he'rong'liang
复合式路面,fu'he'shi'lu'mian
符合要求,fu'he'yao'qiu
阜淮线,fu'huai'xian
附加车道,fu'jia'che'dao
附加吊筋,fu'jia'diao'jin
附加箍筋,fu'jia'gu'jin
附加荷载,fu'jia'he'zai
附加热阻,fu'jia're'zu
傅家屯,fu'jia'tun
符夹线,fu'jia'xian
附加阳光间,fu'jia'yang'guang'jian
浮浆,fu'jiang
富江镇,fu'jiang'zhen
副阶,fu'jie
副阶周匝,fu'jie'zhou'za
副景,fu'jing
福巨,fu'ju
妇科医院,fu'ke'yi'yuan
付款凭证,fu'kuan'ping'zheng
付款证书,fu'kuan'zheng'shu
福昆,fu'kun
福利屯,fu'li'tun
负离子发生器,fu'li'zi'fa'sheng'qi
福临堡,fu'lin'bao
涪陵西,fu'ling'xi
浮笼,fu'long
辅路,fu'lu
福马线,fu'ma'xian
覆面装饰材料,fu'mian'zhuang'shi'cai'liao
伏牛溪,fu'niu'xi
妇女洁净器,fu'nv'jie'jing'qi
妇女卫生盆,fu'nv'wei'sheng'pen
妇女中心,fu'nv'zhong'xin
福前线,fu'qian'xian
浮桥,fu'qiao
浮球液位器,fu'qiu'ye'wei'qi
复曲线,fu'qu'xian
福泉,fu'quan
副热带气候,fu're'dai'qi'hou
复色谐调,fu'se'xie'tiao
福山口,fu'shan'kou
福山寺,fu'shan'si
辐射,fu'she
敷设,fu'she
辐射采暖系统,fu'she'cai'nuan'xi'tong
辐射对称,fu'she'dui'chen
辐射管道,fu'she'guan'dao
辐射式公路,fu'she'shi'gong'lu
辐射阻抗,fu'she'zu'kang
福生庄,fu'sheng'zhuang
浮石,fu'shi
复式道岔,fu'shi'dao'cha
副食店,fu'shi'dian
服饰店,fu'shi'dian
复式吊杆,fu'shi'diao'gan
副食加工厂,fu'shi'jia'gong'chang
副食加工间,fu'shi'jia'gong'jian
复式交分道岔,fu'shi'jiao'fen'dao'cha
俯视景观,fu'shi'jing'guan
副食库,fu'shi'ku
腐蚀率,fu'shi'lv
腐蚀试片,fu'shi'shi'pian
扶手,fu'shou
扶手栏杆,fu'shou'lan'gan
扶手橡胶带,fu'shou'xiang'jiao'dai
附属工程,fu'shu'gong'cheng
附属绿地,fu'shu'lv'di
附属设施,fu'shu'she'shi
抚顺线,fu'shun'xian
富太哈,fu'tai'ha
覆土,fu'tu
附图,fu'tu
覆土建筑,fu'tu'jian'zhu
浮图峪,fu'tu'yu
负弯矩,fu'wan'ju
复位弹簧,fu'wei'tan'huang
服务半径,fu'wu'ban'jing
服务电梯,fu'wu'dian'ti
服务柜台,fu'wu'gui'tai
服务理念,fu'wu'li'nian
服务楼梯,fu'wu'lou'ti
服务区,fu'wu'qu
服务人口,fu'wu'ren'kou
服务设施,fu'wu'she'shi
服务性,fu'wu'xing
服务中心,fu'wu'zhong'xin
服务走廊,fu'wu'zou'lang
富西线,fu'xi'xian
辅线,fu'xian
敷线,fu'xian
浮箱,fu'xiang
福兴地,fu'xing'di
复压,fu'ya
福银,fu'yin
复印室,fu'yin'shi
浮运架桥,fu'yun'jia'qiao
浮运架桥法,fu'yun'jia'qiao'fa
复振,fu'zhen
腐植土,fu'zhi'tu
副中心,fu'zhong'xin
副轴,fu'zhou
抚州北,fu'zhou'bei
福州东,fu'zhou'dong
辅助标志,fu'zhu'biao'zhi
辅助车道,fu'zhu'che'dao
浮筑地板,fu'zhu'di'ban
辅助光,fu'zhu'guang
辅助光源,fu'zhu'guang'yuan
辅助开关,fu'zhu'kai'guan
辅助面积,fu'zhu'mian'ji
辅助设备,fu'zhu'she'bei
辅助设计,fu'zhu'she'ji
辅助施工,fu'zhu'shi'gong
辅助施工工程,fu'zhu'shi'gong'gong'cheng
辅助施工过程,fu'zhu'shi'gong'guo'cheng
辅助信号,fu'zhu'xin'hao
辅助照明,fu'zhu'zhao'ming
服装厂,fu'zhuang'chang
服装店,fu'zhuang'dian
服装商店,fu'zhuang'shang'dian
富庄子,fu'zhuang'zi
附着,fu'zhuo
附着力,fu'zhuo'li
附着式,fu'zhuo'shi
附着式振捣器,fu'zhuo'shi'zhen'dao'qi
副子,fu'zi
副总工,fu'zong'gong
副总监,fu'zong'jian
嘎拉德斯汰,ga'la'de'si'tai
嘎什甸子,ga'shen'dian'zi
盖板,gai'ban
盖板涵,gai'ban'han
盖板箱涵,gai'ban'xiang'han
盖层,gai'ceng
改道,gai'dao
改建工程,gai'jian'gong'cheng
盖梁,gai'liang
改良层,gai'liang'ceng
改良土,gai'liang'tu
改貌,gai'mao
改渠,gai'qu
改善工程,gai'shan'gong'cheng
概算,gai'suan
概算定额,gai'suan'ding'e
概算分劈,gai'suan'fen'pi
概算书,gai'suan'shu
概算文件,gai'suan'wen'jian
概算造价,gai'suan'zao'jia
盖土机,gai'tu'ji
盖瓦,gai'wa
改线,gai'xian
改性,gai'xing
改性沥青,gai'xing'li'qing
改性沥青混凝土面层,gai'xing'li'qing'hun'ning'tu'mian'ceng
改性乳化沥青,gai'xing'ru'hua'li'qing
概预算,gai'yu'suan
干坝子,gan'ba'zi
甘草店,gan'cao'dian
干捣水泥砂浆,gan'dao'shui'ni'sha'jiang
杆端,gan'duan
杆端弯矩,gan'duan'wan'ju
干粉灭火器,gan'fen'mie'huo'qi
杆高,gan'gao
赶工,gan'gong
赶工期,gan'gong'qi
干挂大理石,gan'gua'da'li'shi
干管,gan'guan
感光火灾探测器,gan'guang'huo'zai'tan'ce'qi
甘河,gan'he
甘河子,gan'he'zi
赶火车,gan'huo'che
甘家坝,gan'jia'ba
干接缝,gan'jie'feng
橄榄车,gan'lan'che
赣龙线,gan'long'xian
干密度,gan'mi'du
干铺油毡,gan'pu'you'zhan
干砌,gan'qi
干砌石,gan'qi'shi
干热气候,gan're'qi'hou
干涉,gan'she
干湿,gan'shi
干式报警阀,gan'shi'bao'jing'fa
干式变压器,gan'shi'bian'ya'qi
干湿类型,gan'shi'lei'xing
干式冷却塔,gan'shi'leng'que'ta
干式墙,gan'shi'qiang
干式通气管,gan'shi'tong'qi'guan
干式消防立管,gan'shi'xiao'fang'li'guan
干湿循环,gan'shi'xun'huan
干式预制装配构造,gan'shi'yu'zhi'zhuang'pei'gou'zao
干式自动喷水系统,gan'shi'zi'dong'pen'shui'xi'tong
干手器,gan'shou'qi
赶水,gan'shui
干缩,gan'suo
干缩裂缝,gan'suo'lie'feng
干缩系数,gan'suo'xi'shu
干缩应变,gan'suo'ying'bian
干弹簧,gan'tan'huang
干塘,gan'tang
甘特图,gan'te'tu
干土质量,gan'tu'zhi'liang
杆位,gan'wei
感温火灾探测器,gan'wen'huo'zai'tan'ce'qi
干武线,gan'wu'xian
干洗店,gan'xi'dian
干溪沟,gan'xi'gou
干线,gan'xian
干线电缆,gan'xian'dian'lan
干线公路,gan'xian'gong'lu
感烟火灾探测器,gan'yan'huo'zai'tan'ce'qi
感应电动机,gan'ying'dian'dong'ji
感应线圈,gan'ying'xian'quan
感应效应,gan'ying'xiao'ying
干硬性,gan'ying'xing
干硬性混凝土,gan'ying'xing'hun'ning'tu
赣粤高速公路,gan'yue'gao'su'gong'lu
干燥机,gan'zao'ji
干燥室,gan'zao'shi
甘蔗板,gan'zhe'ban
赣州东,gan'zhou'dong
钢板,gang'ban
钢板尺,gang'ban'chi
钢板网,gang'ban'wang
钢板网吊顶,gang'ban'wang'diao'ding
钢板网顶棚,gang'ban'wang'ding'peng
钢板网隔断,gang'ban'wang'ge'duan
钢板网抹灰,gang'ban'wang'mo'hui
钢板网抹灰吊顶,gang'ban'wang'mo'hui'diao'ding
钢板围堰,gang'ban'wei'yan
钢板止水带,gang'ban'zhi'shui'dai
钢板桩,gang'ban'zhuang
钢材,gang'cai
钢材表,gang'cai'biao
钢材一览表,gang'cai'yi'lan'biao
钢尺,gang'chi
刚度,gang'du
刚度比,gang'du'bi
杠杆弯沉仪,gang'gan'wan'chen'yi
钢拱架,gang'gong'jia
钢构,gang'gou
刚构,gang'gou
刚构桥,gang'gou'qiao
钢骨钢筋,gang'gu'gang'jin
钢管,gang'guan
钢管四脚支柱,gang'guan'si'jiao'zhi'zhu
钢管桩,gang'guan'zhuang
钢轨,gang'gui
钢轨刨边机,gang'gui'bao'bian'ji
钢轨擦伤,gang'gui'ca'shang
钢轨打标记,gang'gui'da'biao'ji
钢轨打磨,gang'gui'da'mo
钢轨打磨车,gang'gui'da'mo'che
钢轨打磨机,gang'gui'da'mo'ji
钢轨低接头,gang'gui'di'jie'tou
钢轨断裂,gang'gui'duan'lie
钢轨钢,gang'gui'gang
钢轨更换,gang'gui'geng'huan
钢轨更换机,gang'gui'geng'huan'ji
钢轨工作边,gang'gui'gong'zuo'bian
钢轨鼓曲,gang'gui'gu'qu
钢轨焊补,gang'gui'han'bu
钢轨焊缝,gang'gui'han'feng
钢轨焊接,gang'gui'han'jie
钢轨焊接车,gang'gui'han'jie'che
钢轨基础模量,gang'gui'ji'chu'mo'liang
钢轨加热,gang'gui'jia're
钢轨加热器,gang'gui'jia're'qi
钢轨矫直,gang'gui'jiao'zhi
钢轨接头,gang'gui'jie'tou
钢轨拉伸器,gang'gui'la'shen'qi
钢轨连接,gang'gui'lian'jie
钢轨裂纹,gang'gui'lie'wen
钢轨落锤试验,gang'gui'luo'chui'shi'yan
钢轨螺栓孔,gang'gui'luo'shuan'kong
钢轨磨耗,gang'gui'mo'hao
钢轨爬行,gang'gui'pa'xing
钢轨疲劳,gang'gui'pi'lao
钢轨铺设,gang'gui'pu'she
钢轨热处理,gang'gui're'chu'li
钢轨伤损,gang'gui'shang'sun
钢轨锁定,gang'gui'suo'ding
钢轨探伤,gang'gui'tan'shang
钢轨探伤车,gang'gui'tan'shang'che
