阿奴是粒大真珠,a'nu'shi'li'da'zhen'zhu
几度风雨荆钗记选段,ji'du'feng'yu'jing'chai'ji'xuan'duan
几度风雨选自荆钗记,ji'du'feng'yu'xuan'zi'jing'chai'ji
济公,ji'gong
寄人篱下独彷徨苏武牧羊黄盛典,ji'ren'li'xia'du'pang'huang'su'wu'mu'yang'huang'sheng'dian
急水尚有回头浪,ji'shui'shang'you'hui'tou'lang
驾长车踏破贺兰山,jia'chang'che'ta'po'he'lan'shan
驾长车踏破贺兰山缺,jia'chang'che'ta'po'he'lan'shan'que
佳境天仙巧筑成,jia'jing'tian'xian'qiao'zhu'cheng
家住安源杜鹃山,jia'zhu'an'yuan'du'juan'shan
家住安源杜鹃山选曲,jia'zhu'an'yuan'du'juan'shan'xuan'qu
家住安源选自杜鹃山,jia'zhu'an'yuan'xuan'zi'du'juan'shan
枷嘴枷舌十六冬节义夫妻,jia'zui'jia'she'shi'liu'dong'jie'yi'fu'qi
见此阵围进不能,jian'ci'zhen'wei'jin'bu'neng
见凤钗泪涟涟三竿恨选曲,jian'feng'chai'lei'lian'lian'san'gan'hen'xuan'qu
见凤鸣怒火烧,jian'feng'ming'nu'huo'shao
见凤鸣怒火升,jian'feng'ming'nu'huo'sheng
见夫人笑嘻嘻,jian'fu'ren'xiao'xi'xi
见故人,jian'gu'ren
见故人悲喜交并,jian'gu'ren'bei'xi'jiao'bing
见故人悲喜交并梅亭雪,jian'gu'ren'bei'xi'jiao'bing'mei'ting'xue
见故人我喜悲交并梅亭雪曲,jian'gu'ren'wo'xi'bei'jiao'bing'mei'ting'xue'qu
见灵牌心惨伤罗衫记陈楚卿唱,jian'ling'pai'xin'can'shang'luo'shan'ji'chen'chu'qing'chang
见青天,jian'qing'tian
见囚衣泪澜珊,jian'qiu'yi'lei'lan'shan
见死不救心难安,jian'si'bu'jiu'xin'nan'an
见死不救心难安告亲人选曲,jian'si'bu'jiu'xin'nan'an'gao'qin'ren'xuan'qu
见死不救心难安选自告亲夫,jian'si'bu'jiu'xin'nan'an'xuan'zi'gao'qin'fu
肩挑桶儿步踉跄井边会选曲,jian'tiao'tong'er'bu'liang'qiang'jing'bian'hui'xuan'qu
见血书好似乱箭把心穿选自回书,jian'xue'shu'hao'si'luan'jian'ba'xin'chuan'xuan'zi'hui'shu
江波深处魂长埋,jiang'bo'shen'chu'hun'chang'mai
江波深处魂长埋苏六娘,jiang'bo'shen'chu'hun'chang'mai'su'liu'niang
江水默默去悠悠凤冠梦陈树坚,jiang'shui'mo'mo'qu'you'you'feng'guan'meng'chen'shu'jian
教老夫进退两难曹操与杨修,jiao'lao'fu'jin'tui'liang'nan'cao'cao'yu'yang'xiu
教育儿孙护江山关羽斩自,jiao'yu'er'sun'hu'jiang'shan'guan'yu'zhan'zi
教玉梅心焦如焚孝妇杀家姑林洁,jiao'yu'mei'xin'jiao'ru'fen'xiao'fu'sha'jia'gu'lin'jie
教玉梅心焦如孝妇杀家姑林洁,jiao'yu'mei'xin'jiao'ru'xiao'fu'sha'jia'gu'lin'jie
姐弟别唱,jie'di'bie'chang
姐弟别汉文皇后选曲窦姬郑健英,jie'di'bie'han'wen'huang'hou'xuan'qu'dou'ji'zheng'jian'ying
结发情岂能忘,jie'fa'qing'qi'neng'wang
结发之情不能忘,jie'fa'zhi'qing'bu'neng'wang
揭阳电台,jie'yang'dian'tai
揭阳台,jie'yang'tai
进不得来退不能狄青出塞,jin'bu'de'lai'tui'bu'neng'di'qing'chu'sai
晋帝被囚石牢晋宫风云王流书,jin'di'bei'qiu'shi'lao'jin'gong'feng'yun'wang'liu'shu
金花牧羊,jin'hua'mu'yang
金花牧羊金花女,jin'hua'mu'yang'jin'hua'nv
金花牧羊金花女曲,jin'hua'mu'yang'jin'hua'nv'qu
金花劝郎金花女,jin'hua'quan'lang'jin'hua'nv
金花劝郎金花女曲,jin'hua'quan'lang'jin'hua'nv'qu
金花送郎金花女选曲,jin'hua'song'lang'jin'hua'nv'xuan'qu
金黄大字向太阳八一风暴,jin'huang'da'zi'xiang'tai'yang'ba'yi'feng'bao
进退维艰陷愁城选自回书,jin'tui'wei'jian'xian'chou'cheng'xuan'zi'hui'shu
金簪助我把衣成刘明珠选曲,jin'zan'zhu'wo'ba'yi'cheng'liu'ming'zhu'xuan'qu
井边会,jing'bian'hui
井边会井边会选段合唱陈瑜,jing'bian'hui'jing'bian'hui'xuan'duan'he'chang'chen'yu
京城会,jing'cheng'hui
京城会彩楼记俊苞燕华,jing'cheng'hui'cai'lou'ji'jun'bao'yan'hua
京城会降,jing'cheng'hui'jiang
京城会林初发,jing'cheng'hui'lin'chu'fa
井冈山上红梅开,jing'gang'shan'shang'hong'mei'kai
经堂别之二王莽篡位,jing'tang'bie'zhi'er'wang'mang'cuan'wei
经堂别之一,jing'tang'bie'zhi'yi
睛天霹雳琼花选曲,jing'tian'pi'li'qiong'hua'xuan'qu
精忠报过一腔情,jing'zhong'bao'guo'yi'qiang'qing
酒啊酒我的好朋友济公惩干,jiu'a'jiu'wo'de'hao'peng'you'ji'gong'cheng'gan
旧恨难移,jiu'hen'nan'yi
旧恨难移张怡凰,jiu'hen'nan'yi'zhang'yi'huang
救活忠良后代一儿男,jiu'huo'zhong'liang'hou'dai'yi'er'nan
酒呀酒我的好朋友,jiu'ya'jiu'wo'de'hao'peng'you
旧战袍改作小儿装血溅美人图,jiu'zhan'pao'gai'zuo'xiao'er'zhuang'xue'jian'mei'ren'tu
举目无亲孤零零三竿恨选曲,ju'mu'wu'qin'gu'ling'ling'san'gan'hen'xuan'qu
举目云山,ju'mu'yun'shan
举目云山飘渺,ju'mu'yun'shan'piao'miao
举目云山飘渺林初发,ju'mu'yun'shan'piao'miao'lin'chu'fa
君臣相得如鱼水,jun'chen'xiang'de'ru'yu'shui
看长江江姐选曲,kan'chang'jiang'jiang'jie'xuan'qu
拷打桃花苏六娘选段,kao'da'tao'hua'su'liu'niang'xuan'duan
可叹人情薄如纸,ke'tan'ren'qing'bo'ru'zhi
恳求老爷细察明十五贯选曲,ken'qiu'lao'ye'xi'cha'ming'shi'wu'guan'xuan'qu
空喜红烛照洞房,kong'xi'hong'zhu'zhao'dong'fang
空喜红烛照洞房林初发,kong'xi'hong'zhu'zhao'dong'fang'lin'chu'fa
口述,kou'shu
苦果尝尽味回甘,ku'guo'chang'jin'wei'hui'gan
枯木逢春花重开磨房会选曲,ku'mu'feng'chun'hua'chong'kai'mo'fang'hui'xuan'qu
狂风骤雨步踉跄选自打神,kuang'feng'zhou'yu'bu'liang'qiang'xuan'zi'da'shen
诓尤王熙凤选曲,kuang'you'wang'xi'feng'xuan'qu
来日情意更深长,lai'ri'qing'yi'geng'shen'chang
来日为国当将才,lai'ri'wei'guo'dang'jiang'cai
来生再续未了情选自吴汉杀妻,lai'sheng'zai'xu'wei'liao'qing'xuan'zi'wu'han'sha'qi
来世再把好梦圆,lai'shi'zai'ba'hao'meng'yuan
来世再把好梦圆武松杀嫂,lai'shi'zai'ba'hao'meng'yuan'wu'song'sha'sao
来世再把好梦圆武松杀嫂吴奕敏,lai'shi'zai'ba'hao'meng'yuan'wu'song'sha'sao'wu'yi'min
蓝关雪蓝关雪王流书,lan'guan'xue'lan'guan'xue'wang'liu'shu
蓝继子哭街,lan'ji'zi'ku'jie
狼虎虽恶不伤子闹开封续集,lang'hu'sui'e'bu'shang'zi'nao'kai'feng'xu'ji
狼虎虽恶不伤子闹开封续集唱,lang'hu'sui'e'bu'shang'zi'nao'kai'feng'xu'ji'chang
浪迹天涯度半生刺梁骥张树桐唱,lang'ji'tian'ya'du'ban'sheng'ci'liang'ji'zhang'shu'tong'chang
老干经霜发新枝,lao'gan'jing'shuang'fa'xin'zhi
老泪湿重衣,lao'lei'shi'zhong'yi
泪尽痛问碑,lei'jin'tong'wen'bei
泪尽痛问碑选自潮剧德政碑,lei'jin'tong'wen'bei'xuan'zi'chao'ju'de'zheng'bei
泪尽痛问碑张怡凰,lei'jin'tong'wen'bei'zhang'yi'huang
泪洒琴弦声声哀琴剑恨杨秀娟,lei'sa'qin'xian'sheng'sheng'ai'qin'jian'hen'yang'xiu'juan
泪血织成仇和恨告夫人选曲,lei'xue'zhi'cheng'qiu'he'hen'gao'fu'ren'xuan'qu
泪血织成仇和恨告亲夫曲,lei'xue'zhi'cheng'qiu'he'hen'gao'qin'fu'qu
离愁别苦凭谁诉别仙桥选曲,li'chou'bie'ku'ping'shui'su'bie'xian'qiao'xuan'qu
离会在梦中,li'hui'zai'meng'zhong
力挽狂拦护帝乡,li'wan'kuang'lan'hu'di'xiang
力挽狂澜护帝乡谢瑶环选曲,li'wan'kuang'lan'hu'di'xiang'xie'yao'huan'xuan'qu
力挽狂谰护帝乡谢瑶环选曲,li'wan'kuang'lan'hu'di'xiang'xie'yao'huan'xuan'qu
荔枝情陈三五娘,li'zhi'qing'chen'san'wu'niang
立住在窑前之中,li'zhu'zai'yao'qian'zhi'zhong
立住在窑前之中薜仁贵回窑,li'zhu'zai'yao'qian'zhi'zhong'bi'ren'gui'hui'yao
连理枝头花正开选自孟丽君,lian'li'zhi'tou'hua'zheng'kai'xuan'zi'meng'li'jun
梁红玉斥奸金山战鼓曲,liang'hong'yu'chi'jian'jin'shan'zhan'gu'qu
聊作巾帼不平鸣双英护晋蔡丽玲,liao'zuo'jin'guo'bu'ping'ming'shuang'ying'hu'jin'cai'li'ling
临行喝妈一碗酒,lin'xing'he'ma'yi'wan'jiu
凌波情选自凌波情,ling'bo'qing'xuan'zi'ling'bo'qing
另类和尚,ling'lei'he'shang
留得哥你长相依,liu'de'ge'ni'chang'xiang'yi
留得哥你长相依凤冠梦选曲,liu'de'ge'ni'chang'xiang'yi'feng'guan'meng'xuan'qu
流落为丐叹飘零,liu'luo'wei'gai'tan'piao'ling
柳明月陈情柳明月见义救孤儿,liu'ming'yue'chen'qing'liu'ming'yue'jian'yi'jiu'gu'er
刘明珠哭坟黄晓佳,liu'ming'zhu'ku'fen'huang'xiao'jia
刘明珠哭坟李雪梅林思敏,liu'ming'zhu'ku'fen'li'xue'mei'lin'si'min
刘明珠哭坟刘明珠,liu'ming'zhu'ku'fen'liu'ming'zhu
刘明珠夜绣珠衣,liu'ming'zhu'ye'xiu'zhu'yi
留伞荔镜记选曲,liu'san'li'jing'ji'xuan'qu
柳英春思夫薛仁贵回窑选曲,liu'ying'chun'si'fu'xue'ren'gui'hui'yao'xuan'qu
刘永祭江唱,liu'yong'ji'jiang'chang
刘永祭江金花女,liu'yong'ji'jiang'jin'hua'nv
刘永祭江金花女选曲,liu'yong'ji'jiang'jin'hua'nv'xuan'qu
刘永祭江林外贸,liu'yong'ji'jiang'lin'wai'mao
刘智远会妻磨房会选曲,liu'zhi'yuan'hui'qi'mo'fang'hui'xuan'qu
娄阿鼠张树桐,lou'a'shu'zhang'shu'tong
鲁阿鼠求签十五惯,lu'a'shu'qiu'qian'shi'wu'guan
芦荡坚持,lu'dang'jian'chi
陆家有女媚十分,lu'jia'you'nv'mei'shi'fen
芦林会,lu'lin'hui
乱愁万千与谁谈女巡按陈燕华,luan'chou'wan'qian'yu'shui'tan'nv'xun'an'chen'yan'hua
乱云飞杜鹃山,luan'yun'fei'du'juan'shan
乱云飞杜鹃山选曲,luan'yun'fei'du'juan'shan'xuan'qu
论兴亡,lun'xing'wang
雒嫔祈天嫦娥奔月刘小丽,luo'pin'qi'tian'chang'e'ben'yue'liu'xiao'li
洛水仙姬,luo'shui'xian'ji
缕啊鼠求签十五惯,lv'a'shu'qiu'qian'shi'wu'guan
吕蒙正,lv'meng'zheng
吕蒙正吕蒙正,lv'meng'zheng'lv'meng'zheng
马灯引路分外明,ma'deng'yin'lu'fen'wai'ming
马灯引路分外明林初发,ma'deng'yin'lu'fen'wai'ming'lin'chu'fa
马灯引路分外明林外贸,ma'deng'yin'lu'fen'wai'ming'lin'wai'mao
马灯引路分外明七日红,ma'deng'yin'lu'fen'wai'ming'qi'ri'hong
骂狗官辞郎洲刘小丽陈鸿飞,ma'gou'guan'ci'lang'zhou'liu'xiao'li'chen'hong'fei
马老师细语谈古人,ma'lao'shi'xi'yu'tan'gu'ren
马老师细语谈古人唱,ma'lao'shi'xi'yu'tan'gu'ren'chang
马老师细语谈古人澎湃,ma'lao'shi'xi'yu'tan'gu'ren'peng'pai
马老师细语谈古人彭湃选段,ma'lao'shi'xi'yu'tan'gu'ren'peng'pai'xuan'duan
骂书生狠心汉,ma'shu'sheng'hen'xin'han
骂书生无义选自告亲夫,ma'shu'sheng'wu'yi'xuan'zi'gao'qin'fu
骂贼辞郎曲,ma'zei'ci'lang'qu
卖文受辱脸无光金花女选曲,mai'wen'shou'ru'lian'wu'guang'jin'hua'nv'xuan'qu
买药对歌二选自吕洞宾戏白牡丹,mai'yao'dui'ge'er'xuan'zi'lv'dong'bin'xi'bai'mu'dan
买药对歌一选自吕洞宾戏白牡丹,mai'yao'dui'ge'yi'xuan'zi'lv'dong'bin'xi'bai'mu'dan
满腹离愁向谁诉扫窗会选段,man'fu'li'chou'xiang'shui'su'sao'chuang'hui'xuan'duan
满腹蜜语向谁诉吴奕敏,man'fu'mi'yu'xiang'shui'su'wu'yi'min
满腹酸楚有谁知,man'fu'suan'chu'you'shui'zhi
满腹酸楚有谁知林初发,man'fu'suan'chu'you'shui'zhi'lin'chu'fa
满腹酸楚有谁知郑丹薇,man'fu'suan'chu'you'shui'zhi'zheng'dan'wei
满腹心事苦难言急子回国选曲,man'fu'xin'shi'ku'nan'yan'ji'zi'hui'guo'xuan'qu
满腹冤仇深似海告亲夫,man'fu'yuan'chou'shen'si'hai'gao'qin'fu
满怀悲愤恨难平,man'huai'bei'fen'hen'nan'ping
满怀热血唱,man'huai're'xue'chang
满怀热血荡激情,man'huai're'xue'dang'ji'qing
满怀热血荡激情江姐选曲,man'huai're'xue'dang'ji'qing'jiang'jie'xuan'qu
满怀热血江姐选段,man'huai're'xue'jiang'jie'xuan'duan
漫漫长夜愁万种,man'man'chang'ye'chou'wan'zhong
漫漫长夜愁万种急子回国,man'man'chang'ye'chou'wan'zhong'ji'zi'hui'guo
满腔悲愤愤难平,man'qiang'bei'fen'fen'nan'ping
满腔悲愤恨难平,man'qiang'bei'fen'hen'nan'ping
满腔怨恨冲九霄美人泪选曲,man'qiang'yuan'hen'chong'jiu'xiao'mei'ren'lei'xuan'qu
茫茫情天,mang'mang'qing'tian
茫茫情天难补恨选自沈园绝唱,mang'mang'qing'tian'nan'bu'hen'xuan'zi'shen'yuan'jue'chang
冒险闯潼关,mao'xian'chuang'tong'guan
梅良玉思钗二度梅,mei'liang'yu'si'chai'er'du'mei
梅良玉思钗二度梅陈树坚,mei'liang'yu'si'chai'er'du'mei'chen'shu'jian
梅良玉思钗二度梅选段,mei'liang'yu'si'chai'er'du'mei'xuan'duan
梅娘思夫君吴奕敏,mei'niang'si'fu'jun'wu'yi'min
梅亭冻雪唱,mei'ting'dong'xue'chang
梅亭冻雪梅亭雪选段,mei'ting'dong'xue'mei'ting'xue'xuan'duan
梅亭相会唱,mei'ting'xiang'hui'chang
梅亭相会梅亭雪选段,mei'ting'xiang'hui'mei'ting'xue'xuan'duan
梅亭雪,mei'ting'xue
闷雷滚滚气难平,men'lei'gun'gun'qi'nan'ping
孟姜女思夫孟姜女过关,meng'jiang'nv'si'fu'meng'jiang'nv'guo'guan
梦里会郎在月宫,meng'li'hui'lang'zai'yue'gong
梦里会郎在月官剑刺江西王,meng'li'hui'lang'zai'yue'guan'jian'ci'jiang'xi'wang
梦中与你重相见,meng'zhong'yu'ni'chong'xiang'jian
面对曹娥心暗然三竿恨王少瑜,mian'dui'cao'e'xin'an'ran'san'gan'hen'wang'shao'yu
面对晚辈举步难,mian'dui'wan'bei'ju'bu'nan
面对晚辈举步难老兵回乡,mian'dui'wan'bei'ju'bu'nan'lao'bing'hui'xiang
命薄为妾受煎熬秦凤兰选曲,ming'bo'wei'qie'shou'jian'ao'qin'feng'lan'xuan'qu
明春花开君再来,ming'chun'hua'kai'jun'zai'lai
明宫双太子,ming'gong'shuang'tai'zi
命如石下草,ming'ru'shi'xia'cao
命肖徇杀回健康梁宫平乱,ming'xiao'xun'sha'hui'jian'kang'liang'gong'ping'luan
命萧徇杀回健康梁宫平乱,ming'xiao'xun'sha'hui'jian'kang'liang'gong'ping'luan
明月偏向愁人圆,ming'yue'pian'xiang'chou'ren'yuan
磨穿石磨待郎来,mo'chuan'shi'mo'dai'lang'lai
磨穿石磨待郎来磨房会选曲,mo'chuan'shi'mo'dai'lang'lai'mo'fang'hui'xuan'qu
末代皇后情可悲,mo'dai'huang'hou'qing'ke'bei
莫二娘叹身世汤丽娟,mo'er'niang'tan'shen'shi'tang'li'juan
莫非我身在梦里,mo'fei'wo'shen'zai'meng'li
莫非我身在梦里苏六娘选段,mo'fei'wo'shen'zai'meng'li'su'liu'niang'xuan'duan
莫负今宵山海盟,mo'fu'jin'xiao'shan'hai'meng
莫负今宵山海盟女巡按陈燕华,mo'fu'jin'xiao'shan'hai'meng'nv'xun'an'chen'yan'hua
莫忘夫妻结发情义长井边会,mo'wang'fu'qi'jie'fa'qing'yi'chang'jing'bian'hui
莫忘今宵山海盟,mo'wang'jin'xiao'shan'hai'meng
莫学那弱柳随风摇曳藏书选曲,mo'xue'na'ruo'liu'sui'feng'yao'ye'cang'shu'xuan'qu
莫做枭心薄幸人赵少卿选风,mo'zuo'xiao'xin'bo'xing'ren'zhao'shao'qing'xuan'feng
暮春三月,mu'chun'san'yue
暮春三月陈三五娘吴奕敏,mu'chun'san'yue'chen'san'wu'niang'wu'yi'min
牧羊曲,mu'yang'qu
母子情更深,mu'zi'qing'geng'shen
母子相见陪伤情,mu'zi'xiang'jian'pei'shang'qing
难捱更鼓一声声选自痴梦,nan'ai'geng'gu'yi'sheng'sheng'xuan'zi'chi'meng
男扮女装,nan'ban'nv'zhuang
南北心一条,nan'bei'xin'yi'tiao
难低头,nan'di'tou
南海飞出金凤凰,nan'hai'fei'chu'jin'feng'huang
难解难分意彷徨唱,nan'jie'nan'fen'yi'pang'huang'chang
男声卡拉,nan'sheng'ka'la
男声演唱,nan'sheng'yan'chang
难忘夫妻恩爱深假王真后,nan'wang'fu'qi'en'ai'shen'jia'wang'zhen'hou
你错勘贤愚枉为天六月雪选曲,ni'cuo'kan'xian'yu'wang'wei'tian'liu'yue'xue'xuan'qu
你还称什么包青天秦香莲选曲,ni'hai'cheng'shen'me'bao'qing'tian'qin'xiang'lian'xuan'qu
你还称什么包青天选自秦香莲,ni'hai'cheng'shen'me'bao'qing'tian'xuan'zi'qin'xiang'lian
你看那,ni'kan'na
你善恶不分错认了人断桥会曲,ni'shan'e'bu'fen'cuo'ren'le'ren'duan'qiao'hui'qu
你是偏妾我是正房秦香莲选曲,ni'shi'pian'qie'wo'shi'zheng'fang'qin'xiang'lian'xuan'qu
你枉为青天芦林会选曲,ni'wang'wei'qing'tian'lu'lin'hui'xuan'qu
你我即速去会伊,ni'wo'ji'su'qu'hui'yi
你这书生无义,ni'zhe'shu'sheng'wu'yi
你这书生无义扫窗会选曲,ni'zhe'shu'sheng'wu'yi'sao'chuang'hui'xuan'qu
你这书生无义张怡凰,ni'zhe'shu'sheng'wu'yi'zhang'yi'huang
逆子做事令人恨三竿恨选曲,ni'zi'zuo'shi'ling'ren'hen'san'gan'hen'xuan'qu
念娇杏素秉真情性,nian'jiao'xing'su'bing'zhen'qing'xing
念娇杏素秉真情性葫芦庙选段,nian'jiao'xing'su'bing'zhen'qing'xing'hu'lu'miao'xuan'duan
念娇杏素秉真性唱,nian'jiao'xing'su'bing'zhen'xing'chang
牛马有料人无料,niu'ma'you'liao'ren'wu'liao
弄权招来祸,nong'quan'zhao'lai'huo
浓云密布愁满天秦雪梅吊孝,nong'yun'mi'bu'chou'man'tian'qin'xue'mei'diao'xiao
怒沉百宝箱折子戏,nu'chen'bai'bao'xiang'zhe'zi'xi
怒火阵阵燃胸膛,nu'huo'zhen'zhen'ran'xiong'tang
怒满腔积恨如山三羊恨,nu'man'qiang'ji'hen'ru'shan'san'yang'hen
怒斩赵俊强赵少卿选场,nu'zhan'zhao'jun'qiang'zhao'shao'qing'xuan'chang
女声卡拉,nv'sheng'ka'la
女声演唱,nv'sheng'yan'chang
女子不该自卑贱,nv'zi'bu'gai'zi'bei'jian
女子不该自卑贱郑莎,nv'zi'bu'gai'zi'bei'jian'zheng'sha
欧阳庆别女东宫毒娥,ou'yang'qing'bie'nv'dong'gong'du'e
欧阳庆别女东宫毒恶,ou'yang'qing'bie'nv'dong'gong'du'e
盼弟旭日早东升,pan'di'xu'ri'zao'dong'sheng
盼爹归门闾美人泪,pan'die'gui'men'lv'mei'ren'lei
盼爹娘,pan'die'niang
盼东方红太阳升起来,pan'dong'fang'hong'tai'yang'sheng'qi'lai
盼东方红太阳升起来白毛女,pan'dong'fang'hong'tai'yang'sheng'qi'lai'bai'mao'nv
盼夫责夫选自杨四郎,pan'fu'ze'fu'xuan'zi'yang'si'lang
盼娇妻,pan'jiao'qi
盼郎,pan'lang
盼郎张怡凰,pan'lang'zhang'yi'huang
盼亲人,pan'qin'ren
盼亲人江姐选段,pan'qin'ren'jiang'jie'xuan'duan
盼亲人江姐选曲,pan'qin'ren'jiang'jie'xuan'qu
盼无计生子来承宗王熙凤选曲,pan'wu'ji'sheng'zi'lai'cheng'zong'wang'xi'feng'xuan'qu
盼仔儿想仔儿,pan'zai'er'xiang'zai'er
盼中华儿女乐无疆,pan'zhong'hua'er'nv'le'wu'jiang
抛别双亲情难忍选自孟丽君,pao'bie'shuang'qin'qing'nan'ren'xuan'zi'meng'li'jun
鼙鼓惊破女儿梦东吴郡主选曲,pi'gu'jing'po'nv'er'meng'dong'wu'jun'zhu'xuan'qu
霹雳一声当头响,pi'li'yi'sheng'dang'tou'xiang
霹雳一声当头响唱,pi'li'yi'sheng'dang'tou'xiang'chang
片言激怒无耻臣,pian'yan'ji'nu'wu'chi'chen
片言激怒无耻臣选自金山战鼓,pian'yan'ji'nu'wu'chi'chen'xuan'zi'jin'shan'zhan'gu
平此冤,ping'ci'yuan
评雪辩踪,ping'xue'bian'zong
破雾重光知何时选自芦林会,po'wu'chong'guang'zhi'he'shi'xuan'zi'lu'lin'hui
迫写离书龙井渡头片断,po'xie'li'shu'long'jing'du'tou'pian'duan
迫写离书龙井渡头选曲,po'xie'li'shu'long'jing'du'tou'xuan'qu
扑朔迷离,pu'shuo'mi'li
七尺白绫万丈仇粉妆楼,qi'chi'bai'ling'wan'zhang'chou'fen'zhuang'lou
祈祷娘娘速回阳,qi'dao'niang'niang'su'hui'yang
凄风苦雨漫灵台,qi'feng'ku'yu'man'ling'tai
凄风苦雨漫灵台罗通扫北,qi'feng'ku'yu'man'ling'tai'luo'tong'sao'bei
岂可枉法徇私情包公侧侄,qi'ke'wang'fa'xun'si'qing'bao'gong'ce'zhi
乞食今日变老爹,qi'shi'jin'ri'bian'lao'die
泣血倚闾数更漏,qi'xue'yi'lv'shu'geng'lou
泣血倚闾数更漏张怡凰,qi'xue'yi'lv'shu'geng'lou'zhang'yi'huang
恰似双星渡银河,qia'si'shuang'xing'du'yin'he
千百年潮曲唱不尽,qian'bai'nian'chao'qu'chang'bu'jin
千百年潮曲唱不尽电台版,qian'bai'nian'chao'qu'chang'bu'jin'dian'tai'ban
千般愁苦向谁诉,qian'ban'chou'ku'xiang'shui'su
千般愁苦向谁诉版,qian'ban'chou'ku'xiang'shui'su'ban
前尘往事惹愁怀孟丽君,qian'chen'wang'shi're'chou'huai'meng'li'jun
千回百转进退难,qian'hui'bai'zhuan'jin'tui'nan
千回百转进退难古琴案,qian'hui'bai'zhuan'jin'tui'nan'gu'qin'an
千斤重担你担承江姐选曲,qian'jin'zhong'dan'ni'dan'cheng'jiang'jie'xuan'qu
千斤重担愿承担,qian'jin'zhong'dan'yuan'cheng'dan
千里送京娘,qian'li'song'jing'niang
千梁万柱撑大宋,qian'liang'wan'zhu'cheng'da'song
千梁万柱撑大宋选自金山战鼓,qian'liang'wan'zhu'cheng'da'song'xuan'zi'jin'shan'zhan'gu
千秋霸业付水流,qian'qiu'ba'ye'fu'shui'liu
强忍凄楚慰亲心江姐选曲,qiang'ren'qi'chu'wei'qin'xin'jiang'jie'xuan'qu
强忍血泪断恩爱绣襦记选曲,qiang'ren'xue'lei'duan'en'ai'xiu'ru'ji'xuan'qu
翘首盼夫早回还四郎探母方静纯,qiao'shou'pan'fu'zao'hui'huan'si'lang'tan'mu'fang'jing'chun
且待儿郎报根源,qie'dai'er'lang'bao'gen'yuan
且将红纱御春寒,qie'jiang'hong'sha'yu'chun'han
且将前情说你知周不错,qie'jiang'qian'qing'shuo'ni'zhi'zhou'bu'cuo
且借美酒壮胆气,qie'jie'mei'jiu'zhuang'dan'qi
且借美酒壮胆气负心梦,qie'jie'mei'jiu'zhuang'dan'qi'fu'xin'meng
且借美酒壮胆气负心梦林小丹,qie'jie'mei'jiu'zhuang'dan'qi'fu'xin'meng'lin'xiao'dan
且借美酒壮胆气负心梦选段,qie'jie'mei'jiu'zhuang'dan'qi'fu'xin'meng'xuan'duan
妾身何辜受冤辱芦林会曲,qie'shen'he'gu'shou'yuan'ru'lu'lin'hui'qu
妾身何辜应受此冤辱,qie'shen'he'gu'ying'shou'ci'yuan'ru
妾身何辜应受此冤辱张怡凰,qie'shen'he'gu'ying'shou'ci'yuan'ru'zhang'yi'huang
且听为娘说缘由林雄华,qie'ting'wei'niang'shuo'yuan'you'lin'xiong'hua
亲父审亲子,qin'fu'shen'qin'zi
亲父审亲子选自告亲夫,qin'fu'shen'qin'zi'xuan'zi'gao'qin'fu
亲人夜夜如梦境,qin'ren'ye'ye'ru'meng'jing
秦香莲诉冤,qin'xiang'lian'su'yuan
琴心剑胆,qin'xin'jian'dan
清白而来清白离人间,qing'bai'er'lai'qing'bai'li'ren'jian
情不移,qing'bu'yi
青春不再恩义长存,qing'chun'bu'zai'en'yi'chang'cun
青春不再恩义长存唱,qing'chun'bu'zai'en'yi'chang'cun'chang
青春不再恩义长存双玉婵选段,qing'chun'bu'zai'en'yi'chang'cun'shuang'yu'chan'xuan'duan
青春梦,qing'chun'meng
请代死者来申冤,qing'dai'si'zhe'lai'shen'yuan
请代死者来申冤立体声,qing'dai'si'zhe'lai'shen'yuan'li'ti'sheng
情惦小玉湘,qing'dian'xiao'yu'xiang
青娥恨青娥恨刘小丽,qing'e'hen'qing'e'hen'liu'xiao'li
清官难断家内事,qing'guan'nan'duan'jia'nei'shi
清官难断家内事选自告亲夫,qing'guan'nan'duan'jia'nei'shi'xuan'zi'gao'qin'fu
青梅竹马形影随无意神医,qing'mei'zhu'ma'xing'ying'sui'wu'yi'shen'yi
青史垂名万古扬,qing'shi'chui'ming'wan'gu'yang
青史垂名万古扬唱,qing'shi'chui'ming'wan'gu'yang'chang
青史垂名万古扬辞郎洲选段,qing'shi'chui'ming'wan'gu'yang'ci'lang'zhou'xuan'duan
情思万缕诉向谁,qing'si'wan'lv'su'xiang'shui
清香告上苍,qing'xiang'gao'shang'cang
清音妙韵意绵绵,qing'yin'miao'yun'yi'mian'mian
轻音乐,qing'yin'yue
情怨深似海恩怨三代情谢蓉,qing'yuan'shen'si'hai'en'yuan'san'dai'qing'xie'rong
穷苦人,qiong'ku'ren
穷苦人蝶恋花选曲,qiong'ku'ren'die'lian'hua'xuan'qu
秋风秋去寄柔情龙女情,qiu'feng'qiu'qu'ji'rou'qing'long'nv'qing
秋风秋云寄柔情龙女情,qiu'feng'qiu'yun'ji'rou'qing'long'nv'qing
秋风秋云集柔情龙女情,qiu'feng'qiu'yun'ji'rou'qing'long'nv'qing
求欢赵少卿选曲,qiu'huan'zhao'shao'qing'xuan'qu
