爱叫的狗不咬人,ai'jiao'de'gou'bu'yao'ren
便宜无好货,pian'yi'wu'hao'huo
贫不择妻,pin'bu'ze'qi
贫贱不能移,pin'jian'bu'neng'yi
贫贱之交不可忘,pin'jian'zhi'jiao'bu'ke'wang
贫居闹市无人问,pin'ju'nao'shi'wu'ren'wen
破家值万贯,po'jia'zhi'wan'guan
破窑出好瓦,po'yao'chu'hao'wa
菩萨面强盗心,pu'sa'mian'qiang'dao'xin
妻不如妾,qi'bu'ru'qie
气大伤身,qi'da'shang'shen
棋高一着手脚缚,qi'gao'yi'zhao'shou'jiao'fu
凄凉人怕热闹事,qi'liang'ren'pa're'nao'shi
凄凉人偏逢热闹事,qi'liang'ren'pian'feng're'nao'shi
气人有笑人无,qi'ren'you'xiao'ren'wu
气死莫告状,qi'si'mo'gao'zhuang
七岁八岁狗都嫌,qi'sui'ba'sui'gou'dou'xian
七岁八岁狗见嫌,qi'sui'ba'sui'gou'jian'xian
七岁八岁狗也嫌,qi'sui'ba'sui'gou'ye'xian
七岁八岁人见嫌,qi'sui'ba'sui'ren'jian'xian
七岁看老,qi'sui'kan'lao
妻贤夫祸少,qi'xian'fu'huo'shao
前波未灭后波生,qian'bo'wei'mie'hou'bo'sheng
千炖豆腐万炖鱼,qian'dun'dou'fu'wan'dun'yu
钱多事如麻,qian'duo'shi'ru'ma
前脚走后脚来,qian'jiao'zou'hou'jiao'lai
千看不如一练,qian'kan'bu'ru'yi'lian
千里姻缘一线牵,qian'li'yin'yuan'yi'xian'qian
千年王八万年龟,qian'nian'wang'ba'wan'nian'gui
千年修得共枕眠,qian'nian'xiu'de'gong'zhen'mian
千年修来共枕眠,qian'nian'xiu'lai'gong'zhen'mian
前事不忘后事师,qian'shi'bu'wang'hou'shi'shi
千学不如一看,qian'xue'bu'ru'yi'kan
千言万语在一躬,qian'yan'wan'yu'zai'yi'gong
强弓射远箭,qiang'gong'she'yuan'jian
强将帐下无弱兵,qiang'jiang'zhang'xia'wu'ruo'bing
强龙难压地头蛇,qiang'long'nan'ya'di'tou'she
墙内开花墙外香,qiang'nei'kai'hua'qiang'wai'xiang
敲葫芦震瓢,qiao'hu'lu'zhen'piao
俏脸扮给瞎子看,qiao'lian'ban'gei'xia'zi'kan
俏脸做给瞎子看,qiao'lian'zuo'gei'xia'zi'kan
俏眼扮给瞎子看,qiao'yan'ban'gei'xia'zi'kan
俏眼做给瞎子看,qiao'yan'zuo'gei'xia'zi'kan
亲戚远来香,qin'qi'yuan'lai'xiang
情场如戏场,qing'chang'ru'xi'chang
情到深处人孤独,qing'dao'shen'chu'ren'gu'du
请将不如激将,qing'jiang'bu'ru'ji'jiang
轻诺必寡信,qing'nuo'bi'gua'xin
青山常在柴不断,qing'shan'chang'zai'chai'bu'duan
青山常在柴不空,qing'shan'chang'zai'chai'bu'kong
轻伤不下火线,qing'shang'bu'xia'huo'xian
穷人不攀富亲,qiong'ren'bu'pan'fu'qin
穷人不攀高亲,qiong'ren'bu'pan'gao'qin
穷人的孩子早当家,qiong'ren'de'hai'zi'zao'dang'jia
穷人多苦命,qiong'ren'duo'ku'ming
穷山恶水出刁民,qiong'shan'e'shui'chu'diao'min
穷山恶水多刁民,qiong'shan'e'shui'duo'diao'min
穷乡多巨贪,qiong'xiang'duo'ju'tan
穷在闹市无人问,qiong'zai'nao'shi'wu'ren'wen
穷则独善其身,qiong'ze'du'shan'qi'shen
娶妻容易养妻难,qu'qi'rong'yi'yang'qi'nan
人不为己天地诛,ren'bu'wei'ji'tian'di'zhu
人处福中不知福,ren'chu'fu'zhong'bu'zhi'fu
人到难处想亲人,ren'dao'nan'chu'xiang'qin'ren
人到无求品自高,ren'dao'wu'qiu'pin'zi'gao
人多则成势,ren'duo'ze'cheng'shi
人活一张脸,ren'huo'yi'zhang'lian
人家吃肉我喝汤,ren'jia'chi'rou'wo'he'tang
人见人爱十七八,ren'jian'ren'ai'shi'qi'ba
人间正道是沧桑,ren'jian'zheng'dao'shi'cang'sang
人间自有真情在,ren'jian'zi'you'zhen'qing'zai
人敬有的,ren'jing'you'de
人居福中不知福,ren'ju'fu'zhong'bu'zhi'fu
人靠衣裳马靠鞍,ren'kao'yi'shang'ma'kao'an
人靠一身衣,ren'kao'yi'shen'yi
人口快过风,ren'kou'kuai'guo'feng
人老腿先老,ren'lao'tui'xian'lao
人美不在貌,ren'mei'bu'zai'mao
人怕见钱鱼怕饵,ren'pa'jian'qian'yu'pa'er
人怕贪心鱼怕饵,ren'pa'tan'xin'yu'pa'er
人前不讨两面光,ren'qian'bu'tao'liang'mian'guang
人勤地不懒,ren'qin'di'bu'lan
人穷命多苦,ren'qiong'ming'duo'ku
人穷志不短,ren'qiong'zhi'bu'duan
人善被人欺,ren'shan'bei'ren'qi
人生识字忧患始,ren'sheng'shi'zi'you'huan'shi
人生自古谁无死,ren'sheng'zi'gu'shui'wu'si
人死如灯灭,ren'si'ru'deng'mie
人为财死,ren'wei'cai'si
人为一口气,ren'wei'yi'kou'qi
人无外财不富,ren'wu'wai'cai'bu'fu
人无笑脸休开店,ren'wu'xiao'lian'xiu'kai'dian
人无一世穷,ren'wu'yi'shi'qiong
人闲心生魔,ren'xian'xin'sheng'mo
人小志气大,ren'xiao'zhi'qi'da
人心都是肉长的,ren'xin'dou'shi'rou'zhang'de
人心向背定成败,ren'xin'xiang'bei'ding'cheng'bai
忍一时风平浪静,ren'yi'shi'feng'ping'lang'jing
人在福中不知福,ren'zai'fu'zhong'bu'zhi'fu
人在画中游,ren'zai'hua'zhong'you
人正不怕影子歪,ren'zheng'bu'pa'ying'zi'wai
人正不怕影子斜,ren'zheng'bu'pa'ying'zi'xie
人众则成势,ren'zhong'ze'cheng'shi
忍字头上一把刀,ren'zi'tou'shang'yi'ba'dao
日出而作,ri'chu'er'zuo
日落而息,ri'luo'er'xi
乳虎啸谷百兽惧,ru'hu'xiao'gu'bai'shou'ju
软刀子割头不觉死,ruan'dao'zi'ge'tou'bu'jue'si
软刀子杀人不见血,ruan'dao'zi'sha'ren'bu'jian'xie
软来软磨,ruan'lai'ruan'mo
软绳子绑得住硬柴禾,ruan'sheng'zi'bang'de'zhu'ying'chai'he
软绳子捆得住硬柴禾,ruan'sheng'zi'kun'de'zhu'ying'chai'he
软绳子系得住硬柴禾,ruan'sheng'zi'xi'de'zhu'ying'chai'he
三分武艺七分勇,san'fen'wu'yi'qi'fen'yong
三分长相七分妆,san'fen'zhang'xiang'qi'fen'zhuang
三个和尚没水吃,san'ge'he'shang'mei'shui'chi
三个女人一台戏,san'ge'nv'ren'yi'tai'xi
三九补一冬,san'jiu'bu'yi'dong
三十六计走为上,san'shi'liu'ji'zou'wei'shang
三岁看大,san'sui'kan'da
色不迷人人自迷,se'bu'mi'ren'ren'zi'mi
色字头上一把刀,se'zi'tou'shang'yi'ba'dao
杀人不过头点地,sha'ren'bu'guo'tou'dian'di
杀人如草不闻声,sha'ren'ru'cao'bu'wen'sheng
傻人有傻福,sha'ren'you'sha'fu
山不辞石故能高,shan'bu'ci'shi'gu'neng'gao
山不拒石故能高,shan'bu'ju'shi'gu'neng'gao
山不转水转,shan'bu'zhuan'shui'zhuan
善藏者善生存,shan'cang'zhe'shan'sheng'cun
山从尘土起,shan'cong'chen'tu'qi
山水有相逢,shan'shui'you'xiang'feng
上场当念下场时,shang'chang'dang'nian'xia'chang'shi
上天有好生之德,shang'tian'you'hao'sheng'zhi'de
上阵父子兵,shang'zhen'fu'zi'bing
少不读三国,shao'bu'du'san'guo
少不看三国,shao'bu'kan'san'guo
烧火棍一头热,shao'huo'gun'yi'tou're
少年夫妻老来伴,shao'nian'fu'qi'lao'lai'ban
少年情怀尽是诗,shao'nian'qing'huai'jin'shi'shi
少年心事当拿云,shao'nian'xin'shi'dang'na'yun
少年壮志不言愁,shao'nian'zhuang'zhi'bu'yan'chou
少小离家老大回,shao'xiao'li'jia'lao'da'hui
舌头底下压死人,she'tou'di'xia'ya'si'ren
身处福中不知福,shen'chu'fu'zhong'bu'zhi'fu
身居福中不知福,shen'ju'fu'zhong'bu'zhi'fu
伸手不打笑脸人,shen'shou'bu'da'xiao'lian'ren
伸手不打笑面人,shen'shou'bu'da'xiao'mian'ren
身在福中不知福,shen'zai'fu'zhong'bu'zhi'fu
身正不怕影斜,shen'zheng'bu'pa'ying'xie
身正不怕影子歪,shen'zheng'bu'pa'ying'zi'wai
身正不怕影子斜,shen'zheng'bu'pa'ying'zi'xie
胜败乃兵家常事,sheng'bai'nai'bing'jia'chang'shi
生孩容易养孩难,sheng'hai'rong'yi'yang'hai'nan
盛极必衰,sheng'ji'bi'shuai
盛名之下无虚士,sheng'ming'zhi'xia'wu'xu'shi
圣人无常师,sheng'ren'wu'chang'shi
盛时常作衰时想,sheng'shi'chang'zuo'shuai'shi'xiang
盛喜之言多失信,sheng'xi'zhi'yan'duo'shi'xin
生意不成情意在,sheng'yi'bu'cheng'qing'yi'zai
生意不成仁义在,sheng'yi'bu'cheng'ren'yi'zai
生子容易养子难,sheng'zi'rong'yi'yang'zi'nan
十八无丑女,shi'ba'wu'chou'nv
事不关己高挂起,shi'bu'guan'ji'gao'gua'qi
诗成不厌百回改,shi'cheng'bu'yan'bai'hui'gai
诗成不厌千回改,shi'cheng'bu'yan'qian'hui'gai
事到临头懊悔迟,shi'dao'lin'tou'ao'hui'chi
十赌九输,shi'du'jiu'shu
事多必杂,shi'duo'bi'za
是非皆因多开口,shi'fei'jie'yin'duo'kai'kou
是非之地不久处,shi'fei'zhi'di'bu'jiu'chu
是非之地不久留,shi'fei'zhi'di'bu'jiu'liu
是非只因多开口,shi'fei'zhi'yin'duo'kai'kou
十个男人九个花,shi'ge'nan'ren'jiu'ge'hua
是官比民强,shi'guan'bi'min'qiang
世间深渊莫比心,shi'jian'shen'yuan'mo'bi'xin
事能知足心常泰,shi'neng'zhi'zu'xin'chang'tai
十年九不遇,shi'nian'jiu'bu'yu
十女九痔,shi'nv'jiu'zhi
世上没有不透风的墙,shi'shang'mei'you'bu'tou'feng'de'qiang
世事如棋局局新,shi'shi'ru'qi'ju'ju'xin
世事无绝对,shi'shi'wu'jue'dui
十五的月亮十六圆,shi'wu'de'yue'liang'shi'liu'yuan
是药三分毒,shi'yao'san'fen'du
树大风难摧,shu'da'feng'nan'cui
树大风难撼,shu'da'feng'nan'han
树大易招风,shu'da'yi'zhao'feng
书到用时方恨少,shu'dao'yong'shi'fang'hen'shao
树多成林,shu'duo'cheng'lin
书非借不能读也,shu'fei'jie'bu'neng'du'ye
树壮全仗根,shu'zhuang'quan'zhang'gen
帅旗一倒千军溃,shuai'qi'yi'dao'qian'jun'kui
帅旗一倒万兵溃,shuai'qi'yi'dao'wan'bing'kui
帅旗一倒万兵逃,shuai'qi'yi'dao'wan'bing'tao
帅旗一倒阵脚乱,shuai'qi'yi'dao'zhen'jiao'luan
帅旗一倒众兵逃,shuai'qi'yi'dao'zhong'bing'tao
双斧伐孤木,shuang'fu'fa'gu'mu
双斧伐孤树,shuang'fu'fa'gu'shu
双手难遮众人眼,shuang'shou'nan'zhe'zhong'ren'yan
谁的舌头不磨牙,shui'de'she'tou'bu'mo'ya
水火不容情,shui'huo'bu'rong'qing
水深难见底,shui'shen'nan'jian'di
顺风而呼闻着彰,shun'feng'er'hu'wen'zhe'zhang
说不清道不明,shuo'bu'qing'dao'bu'ming
说曹操曹操到,shuo'cao'cao'cao'cao'dao
死人头上无对证,si'ren'tou'shang'wu'dui'zheng
送君千里终须别,song'jun'qian'li'zhong'xu'bie
送君千里终有一别,song'jun'qian'li'zhong'you'yi'bie
岁老根弥壮,sui'lao'gen'mi'zhuang
虽怨不忘亲,sui'yuan'bu'wang'qin
泰山压顶不弯腰,tai'shan'ya'ding'bu'wan'yao
抬头不见低头见,tai'tou'bu'jian'di'tou'jian
谈情不如调情,tan'qing'bu'ru'tiao'qing
贪小利而吃大亏,tan'xiao'li'er'chi'da'kui
贪小便宜吃大亏,tan'xiao'pian'yi'chi'da'kui
烫手的山芋,tang'shou'de'shan'yu
汤汤水水防秋燥,tang'tang'shui'shui'fang'qiu'zao
淘尽黄沙始得金,tao'jin'huang'sha'shi'de'jin
天高任鸟飞,tian'gao'ren'niao'fei
天塌自有高人顶,tian'ta'zi'you'gao'ren'ding
天无三日晴,tian'wu'san'ri'qing
天下风云出我辈,tian'xia'feng'yun'chu'wo'bei
天下没有不散的宴席,tian'xia'mei'you'bu'san'de'yan'xi
天下文章一大抄,tian'xia'wen'zhang'yi'da'chao
天下最毒妇人心,tian'xia'zui'du'fu'ren'xin
天助自助者,tian'zhu'zi'zhu'zhe
条条大道通罗马,tiao'tiao'da'dao'tong'luo'ma
铁打的营盘流水的兵,tie'da'de'ying'pan'liu'shui'de'bing
听风便是雨,ting'feng'bian'shi'yu
听风就是雨,ting'feng'jiu'shi'yu
同行不同道,tong'hang'bu'tong'dao
同行不同路,tong'hang'bu'tong'lu
头三脚难踢,tou'san'jiao'nan'ti
头悬梁锥刺股,tou'xuan'liang'zhui'ci'gu
徒多则成势,tu'duo'ze'cheng'shi
图小利而吃大亏,tu'xiao'li'er'chi'da'kui
徒众则成势,tu'zhong'ze'cheng'shi
兔子钻山追撵难,tu'zi'zuan'shan'zhui'nian'nan
退一步海阔天空,tui'yi'bu'hai'kuo'tian'kong
蛙儿要命蛇要饱,wa'er'yao'ming'she'yao'bao
外行看热闹,wai'hang'kan're'nao
外来的和尚会念经,wai'lai'de'he'shang'hui'nian'jing
外明不知里暗,wai'ming'bu'zhi'li'an
万恶淫为首,wan'e'yin'wei'shou
万箭填弦待令发,wan'jian'tian'xian'dai'ling'fa
万绿丛中一点红,wan'lv'cong'zhong'yi'dian'hong
万丈高楼平地起,wan'zhang'gao'lou'ping'di'qi
望山跑死马,wang'shan'pao'si'ma
未成曲调先有情,wei'cheng'qu'diao'xian'you'qing
微风引弱火,wei'feng'yin'ruo'huo
威武不能屈,wei'wu'bu'neng'qu
温水煮青蛙,wen'shui'zhu'qing'wa
文似看山不喜平,wen'si'kan'shan'bu'xi'ping
闻弦歌而知雅意,wen'xian'ge'er'zhi'ya'yi
无毒不丈夫,wu'du'bu'zhang'fu
物干风燥火易发,wu'gan'feng'zao'huo'yi'fa
物干风燥火易起,wu'gan'feng'zao'huo'yi'qi
物干风燥火易生,wu'gan'feng'zao'huo'yi'sheng
无功不受禄,wu'gong'bu'shou'lu
无酒不成欢,wu'jiu'bu'cheng'huan
无酒不成席,wu'jiu'bu'cheng'xi
无酒不成宴,wu'jiu'bu'cheng'yan
无理辩三分,wu'li'bian'san'fen
无理不可争,wu'li'bu'ke'zheng
无利不起早,wu'li'bu'qi'zao
无理寸步难行,wu'li'cun'bu'nan'xing
屋漏偏逢雨,wu'lou'pian'feng'yu
无心插柳柳成荫,wu'xin'cha'liu'liu'cheng'yin
无盐不解淡,wu'yan'bu'jie'dan
勿以善小而不为,wu'yi'shan'xiao'er'bu'wei
无债一身轻,wu'zhai'yi'shen'qing
无知必无能,wu'zhi'bi'wu'neng
物壮则老,wu'zhuang'ze'lao
洗尽铅华呈素姿,xi'jin'qian'hua'cheng'su'zi
戏靠故事奇,xi'kao'gu'shi'qi
戏靠故事新,xi'kao'gu'shi'xin
戏靠一身衣,xi'kao'yi'shen'yi
戏子无义,xi'zi'wu'yi
夏练三伏,xia'lian'san'fu
狭路相逢勇者胜,xia'lu'xiang'feng'yong'zhe'sheng
下者未必愚,xia'zhe'wei'bi'yu
瞎子点灯白费蜡,xia'zi'dian'deng'bai'fei'la
弦断有余音,xian'duan'you'yu'yin
县官不如现管,xian'guan'bu'ru'xian'guan
咸鱼淡肉,xian'yu'dan'rou
香饵之下死鱼多,xiang'er'zhi'xia'si'yu'duo
相见时难别亦难,xiang'jian'shi'nan'bie'yi'nan
向阳花木易逢春,xiang'yang'hua'mu'yi'feng'chun
向阳花木易为春,xiang'yang'hua'mu'yi'wei'chun
小河有水大河满,xiao'he'you'shui'da'he'man
小姐身子丫鬟命,xiao'jie'shen'zi'ya'huan'ming
小脸一拉三尺二,xiao'lian'yi'la'san'chi'er
小橹渡大洋,xiao'lu'du'da'yang
小人常戚戚,xiao'ren'chang'qi'qi
小人得势君子危,xiao'ren'de'shi'jun'zi'wei
小心驶得万年船,xiao'xin'shi'de'wan'nian'chuan
小隐隐于山,xiao'yin'yin'yu'shan
小隐隐于野,xiao'yin'yin'yu'ye
心病还得心药医,xin'bing'hai'dei'xin'yao'yi
心病还得心药治,xin'bing'hai'dei'xin'yao'zhi
心病还须心药医,xin'bing'hai'xu'xin'yao'yi
心病还需心药治,xin'bing'hai'xu'xin'yao'zhi
心潮逐浪高,xin'chao'zhu'lang'gao
心底无私天地宽,xin'di'wu'si'tian'di'kuan
心动不如行动,xin'dong'bu'ru'xing'dong
心急吃不了热包子,xin'ji'chi'bu'liao're'bao'zi
心急吃不了热豆腐,xin'ji'chi'bu'liao're'dou'fu
心静自然凉,xin'jing'zi'ran'liang
心强命不强,xin'qiang'ming'bu'qiang
行百里者半九十,xing'bai'li'zhe'ban'jiu'shi
行成于思毁于随,xing'cheng'yu'sai'hui'yu'sui
姓名粗记可以休,xing'ming'cu'ji'ke'yi'xiu
形散神不散,xing'san'shen'bu'san
雄鸡一唱天下白,xiong'ji'yi'chang'tian'xia'bai
凶事藏心鬼敲门,xiong'shi'cang'xin'gui'qiao'men
雄鹰不立垂枝,xiong'ying'bu'li'chui'zhi
秀才饿死不卖书,xiu'cai'e'si'bu'mai'shu
绣花虽好不闻香,xiu'hua'sui'hao'bu'wen'xiang
学在苦中求,xue'zai'ku'zhong'qiu
烟不出火不进,yan'bu'chu'huo'bu'jin
烟出文章酒出诗,yan'chu'wen'zhang'jiu'chu'shi
言多必有失,yan'duo'bi'you'shi
言多定有失,yan'duo'ding'you'shi
眼光放远万事悲,yan'guang'fang'yuan'wan'shi'bei
烟酒不分家,yan'jiu'bu'fen'jia
言利不言情,yan'li'bu'yan'qing
眼前形势胸中策,yan'qian'xing'shi'xiong'zhong'ce
言情不言利,yan'qing'bu'yan'li
言轻莫劝人,yan'qing'mo'quan'ren
言善不难行善难,yan'shan'bu'nan'xing'shan'nan
眼中钉肉中刺,yan'zhong'ding'rou'zhong'ci
阳骄叶更阴,yang'jiao'ye'geng'yin
药补不如食补,yao'bu'bu'ru'shi'bu
峣峣者易折,yao'yao'zhe'yi'zhe
业精于勤荒于嬉,ye'jing'yu'qin'huang'yu'xi
一层秋雨一层凉,yi'ceng'qiu'yu'yi'ceng'liang
一滴汗珠万粒粮,yi'di'han'zhu'wan'li'liang
艺多不压身,yi'duo'bu'ya'shen
一分钱难倒英雄汉,yi'fen'qian'nan'dao'ying'xiong'han
一分辛劳一分才,yi'fen'xin'lao'yi'fen'cai
艺高胆自大,yi'gao'dan'zi'da
一个好汉三个帮,yi'ge'hao'han'san'ge'bang
一个篱笆三个桩,yi'ge'li'ba'san'ge'zhuang
一鼓作气势如虎,yi'gu'zuo'qi'shi'ru'hu
一局定胜负,yi'ju'ding'sheng'fu
一俊遮百丑,yi'jun'zhe'bai'chou
一哭二闹三上吊,yi'ku'er'nao'san'shang'diao
一浪高过一浪,yi'lang'gao'guo'yi'lang
一浪更比一浪高,yi'lang'geng'bi'yi'lang'gao
一美遮百丑,yi'mei'zhe'bai'chou
一年之计在于春,yi'nian'zhi'ji'zai'yu'chun
一墙难挡八面风,yi'qiang'nan'dang'ba'mian'feng
一人不敌两人计,yi'ren'bu'di'liang'ren'ji
一人难唱独板腔,yi'ren'nan'chang'du'ban'qiang
一人难顺百人意,yi'ren'nan'shun'bai'ren'yi
一日夫妻百日恩,yi'ri'fu'qi'bai'ri'en
一日之计在于晨,yi'ri'zhi'ji'zai'yu'chen
一山不容二虎,yi'shan'bu'rong'er'hu
一山难容二虎,yi'shan'nan'rong'er'hu
一失足成千古恨,yi'shi'zu'cheng'qian'gu'hen
一条道走到黑,yi'tiao'dao'zou'dao'hei
一心不能二用,yi'xin'bu'neng'er'yong
一心只读圣贤书,yi'xin'zhi'du'sheng'xian'shu
一叶落知天下秋,yi'ye'luo'zhi'tian'xia'qiu
一语惊醒梦中人,yi'yu'jing'xing'meng'zhong'ren
一战定乾坤,yi'zhan'ding'qian'kun
一战定胜负,yi'zhan'ding'sheng'fu
医者父母心,yi'zhe'fu'mu'xin
硬来硬抗,ying'lai'ying'kang
樱桃好吃树难栽,ying'tao'hao'chi'shu'nan'zai
英雄出乱世,ying'xiong'chu'luan'shi
英雄生乱世,ying'xiong'sheng'luan'shi
英雄无奈是多情,ying'xiong'wu'nai'shi'duo'qing
有豆腐不吃渣,you'dou'fu'bu'chi'zha
有利必有害,you'li'bi'you'hai
有理不怕势来压,you'li'bu'pa'shi'lai'ya
有理不在高声,you'li'bu'zai'gao'sheng
有理让三分,you'li'rang'san'fen
有理走遍天下,you'li'zou'bian'tian'xia
有毛不算秃,you'mao'bu'suan'tu
有钱难买老来瘦,you'qian'nan'mai'lao'lai'shou
有钱难买愿意,you'qian'nan'mai'yuan'yi
有权不用枉做官,you'quan'bu'yong'wang'zuo'guan
有山必有路,you'shan'bi'you'lu
有失必有得,you'shi'bi'you'de
有水必有渡,you'shui'bi'you'du
有田不耕仓廪虚,you'tian'bu'geng'cang'lin'xu
有心栽花花不发,you'xin'zai'hua'hua'bu'fa
右眼跳祸,you'yan'tiao'huo
有意栽花花不发,you'yi'zai'hua'hua'bu'fa
有鱼不吃虾,you'yu'bu'chi'xia
有贼心没贼胆,you'zei'xin'mei'zei'dan
有志不在年高,you'zhi'bu'zai'nian'gao
有志者不在年高,you'zhi'zhe'bu'zai'nian'gao
玉不琢不成器,yu'bu'zhuo'bu'cheng'qi
语多言必失,yu'duo'yan'bi'shi
雨过地皮湿,yu'guo'di'pi'shi
雨过天未晴,yu'guo'tian'wei'qing
与其坐而论道,yu'qi'zuo'er'lun'dao
远来的和尚会念经,yuan'lai'de'he'shang'hui'nian'jing
冤有头债有主,yuan'you'tou'zhai'you'zhu
冤冤相报何时了,yuan'yuan'xiang'bao'he'shi'liao
月缺不改光,yue'que'bu'gai'guang
月是故乡明,yue'shi'gu'xiang'ming
月是故乡圆,yue'shi'gu'xiang'yuan
再回首是百年身,zai'hui'shou'shi'bai'nian'shen
再回头是百年身,zai'hui'tou'shi'bai'nian'shen
再苦不吃皱眉饭,zai'ku'bu'chi'zhou'mei'fan
灾年无灾民,zai'nian'wu'zai'min
在商必言利,zai'shang'bi'yan'li
在外靠朋友,zai'wai'kao'peng'you
宰相肚里能撑船,zai'xiang'du'li'neng'cheng'chuan
攒钱不如攒健康,zan'qian'bu'ru'zan'jian'kang
灶灰筑不成墙,zao'hui'zhu'bu'cheng'qiang
糟糠之妻不下堂,zao'kang'zhi'qi'bu'xia'tang
早起的鸟儿捉虫多,zao'qi'de'niao'er'zhuo'chong'duo
债多心不乱,zhai'duo'xin'bu'luan
债多心反安,zhai'duo'xin'fan'an
站着茅坑不拉屎,zhan'zhe'mao'keng'bu'la'shi
站着说话不腰疼,zhan'zhe'shuo'hua'bu'yao'teng
着三不着两,zhao'san'bu'zhao'liang
正邪自古同冰炭,zheng'xie'zi'gu'tong'bing'tan
治大国如烹小鲜,zhi'da'guo'ru'peng'xiao'xian
枝多风难折,zhi'duo'feng'nan'zhe
枝多叶更茂,zhi'duo'ye'geng'mao
知夫莫如妻,zhi'fu'mo'ru'qi
知夫莫若妻,zhi'fu'mo'ruo'qi
知过不难改过难,zhi'guo'bu'nan'gai'guo'nan
芝麻开花节节高,zhi'ma'kai'hua'jie'jie'gao
知其一而不知其二,zhi'qi'yi'er'bu'zhi'qi'er
知人知面不知心,zhi'ren'zhi'mian'bu'zhi'xin
纸上得来终觉浅,zhi'shang'de'lai'zhong'jue'qian
枝少风易折,zhi'shao'feng'yi'zhe
知死而后勇,zhi'si'er'hou'yong
智者见诸未萌,zhi'zhe'jian'zhu'wei'meng
知子莫如父,zhi'zi'mo'ru'fu
知子莫若父,zhi'zi'mo'ruo'fu
知足者常乐,zhi'zu'zhe'chang'le
重病拖家贫,zhong'bing'tuo'jia'pin
中年况味苦于酒,zhong'nian'kuang'wei'ku'yu'jiu
重赏之下死士多,zhong'shang'zhi'xia'si'shi'duo
重赏之下勇士多,zhong'shang'zhi'xia'yong'shi'duo
筑巢引来金凤凰,zhu'chao'yin'lai'jin'feng'huang
壮臂开劲弓,zhuang'bi'kai'jin'gong
壮志未酬身先死,zhuang'zhi'wei'chou'shen'xian'si
子不嫌母丑,zi'bu'xian'mu'chou
自古红颜多薄命,zi'gu'hong'yan'duo'bo'ming
自古红颜多祸水,zi'gu'hong'yan'duo'huo'shui
自古华山一条路,zi'gu'hua'shan'yi'tiao'lu
自古妻贤夫祸少,zi'gu'qi'xian'fu'huo'shao
自古英雄不读书,zi'gu'ying'xiong'bu'du'shu
自古英雄出少年,zi'gu'ying'xiong'chu'shao'nian
子欲养而亲不待,zi'yu'yang'er'qin'bu'dai
自在不成人,zi'zai'bu'cheng'ren
走马临崖收缰晚,zou'ma'lin'ya'shou'jiang'wan
醉发醒时言,zui'fa'xing'shi'yan
尊师如尊父,zun'shi'ru'zun'fu
做个俏脸给瞎子看,zuo'ge'qiao'lian'gei'xia'zi'kan
做个俏眼给瞎子看,zuo'ge'qiao'yan'gei'xia'zi'kan
做了皇帝想登仙,zuo'le'huang'di'xiang'deng'xian
做俏脸给瞎子看,zuo'qiao'lian'gei'xia'zi'kan
做俏眼给瞎子看,zuo'qiao'yan'gei'xia'zi'kan
左眼跳财,zuo'yan'tiao'cai
