昂日鸡,ang'ri'ji
袁角,yuan'jiao
元觉洞,yuan'jue'dong
元始天尊,yuan'shi'tian'zun
袁天君,yuan'tian'jun
元阳洞,yuan'yang'dong
月德星,yue'de'xing
月魁星,yue'kui'xing
月破星,yue'po'xing
月刑星,yue'xing'xing
月厌星,yue'yan'xing
月游星,yue'you'xing
云霞兽,yun'xia'shou
云霄,yun'xiao
云霄洞,yun'xiao'dong
云中子,yun'zhong'zi
增福神,zeng'fu'shen
增长天王,zeng'zhang'tian'wang
宅龙星,zhai'long'xing
斩将飞刀,zhan'jiang'fei'dao
湛金斧,zhan'jin'fu
斩仙剑,zhan'xian'jian
詹秀,zhan'xiu
张凤,zhang'feng
张桂芳,zhang'gui'fang
张焕,zhang'huan
张节,zhang'jie
张奎,zhang'kui
张奇,zhang'qi
张山,zhang'shan
张绍,zhang'shao
张天君,zhang'tian'jun
掌心雷,zhang'xin'lei
张雄,zhang'xiong
张月鹿,zhang'yue'lu
张智雄,zhang'zhi'xiong
赵白高,zhao'bai'gao
招宝天尊,zhao'bao'tian'zun
赵丙,zhao'bing
招财使者,zhao'cai'shi'zhe
赵公明,zhao'gong'ming
赵江,zhao'jiang
赵启,zhao'qi
赵升,zhao'sheng
赵天君,zhao'tian'jun
照天印,zhao'tian'yin
招贤榜,zhao'xian'bang
招摇,zhao'yao
照妖鉴,zhao'yao'jian
轸水蚓,zhen'shui'yin
郑椿,zheng'chun
郑伦,zheng'lun
狰狞,zheng'ning
正一,zheng'yi
郑元,zheng'yuan
郑桩,zheng'zhuang
指地成钢,zhi'di'cheng'gang
执念缠身,zhi'nian'chan'shen
值年神,zhi'nian'shen
值年太岁,zhi'nian'tai'sui
值日神,zhi'ri'shen
值时神,zhi'shi'shen
知天命,zhi'tian'ming
指瘟剑,zhi'wen'jian
值月神,zhi'yue'shen
至尊,zhi'zun
中斗星君,zhong'dou'xing'jun
终南山,zhong'nan'shan
中天北极紫微大帝,zhong'tian'bei'ji'zi'wei'da'di
周宝,zhou'bao
周登,zhou'deng
周度,zhou'du
周纪,zhou'ji
纣王,zhou'wang
周文王,zhou'wen'wang
周信,zhou'xin
助风神,zhu'feng'shen
烛火星,zhu'huo'xing
猪精,zhu'jing
朱雀星,zhu'que'xing
朱升,zhu'sheng
朱天麟,zhu'tian'lin
朱晤,zhu'wu
诛仙阵,zhu'xian'zhen
朱义,zhu'yi
朱子真,zhu'zi'zhen
撞心杵,zhuang'xin'chu
准提道人,zhun'ti'dao'ren
卓公,zhuo'gong
紫金钵盂,zi'jin'bo'yu
紫金龙花虎貂,zi'jin'long'hua'hu'diao
紫绶仙衣,zi'shou'xian'yi
紫阳洞,zi'yang'dong
总兵,zong'bing
纵地金光法,zong'di'jin'guang'fa
奏书星,zou'shu'xing
祖林,zu'lin
钻骨星,zuan'gu'xing
嘴火猴,zui'huo'hou
左辅,zuo'fu
