阿餐,a'can
鸿胪寺署丞,hong'lu'si'shu'cheng
鸿胪寺序班,hong'lu'si'xu'ban
鸿胪寺主簿,hong'lu'si'zhu'bu
弘文馆大学士,hong'wen'guan'da'xue'shi
弘文馆校书郎,hong'wen'guan'xiao'shu'lang
弘文馆学士,hong'wen'guan'xue'shi
弘文馆直学士,hong'wen'guan'zhi'xue'shi
户部,hu'bu
户部观政,hu'bu'guan'zheng
户部郎官,hu'bu'lang'guan
户部郎中,hu'bu'lang'zhong
户部尚书,hu'bu'shang'shu
户部使,hu'bu'shi
户部侍郎,hu'bu'shi'lang
户部司郎中,hu'bu'si'lang'zhong
户部司员外郎,hu'bu'si'yuan'wai'lang
户部右侍郎,hu'bu'you'shi'lang
户部员外郎,hu'bu'yuan'wai'lang
户部主事,hu'bu'zhu'shi
户部左曹郎官,hu'bu'zuo'cao'lang'guan
户部左曹郎中员外郎,hu'bu'zuo'cao'lang'zhong'yuan'wai'lang
户部左侍郎,hu'bu'zuo'shi'lang
户曹参军,hu'cao'can'jun
湖广总领,hu'guang'zong'ling
湖广总领所干办公事,hu'guang'zong'ling'suo'gan'ban'gong'shi
护军,hu'jun
户科都给事中,hu'ke'du'ji'shi'zhong
户科给事中,hu'ke'ji'shi'zhong
华文阁待制,hua'wen'ge'dai'zhi
华文阁学士,hua'wen'ge'xue'shi
华文阁直学士,hua'wen'ge'zhi'xue'shi
怀远将军,huai'yuan'jiang'jun
环卫官,huan'wei'guan
焕章阁待制,huan'zhang'ge'dai'zhi
焕章阁学士,huan'zhang'ge'xue'shi
焕章阁直学士,huan'zhang'ge'zhi'xue'shi
皇城副使,huang'cheng'fu'shi
皇城使,huang'cheng'shi
皇帝,huang'di
皇后,huang'hou
黄门,huang'men
黄门侍郎,huang'men'shi'lang
皇太后,huang'tai'hou
皇太子,huang'tai'zi
皇太子宫小学教授,huang'tai'zi'gong'xiao'xue'jiao'shou
皇侄皇孙教授,huang'zhi'huang'sun'jiao'shou
皇子,huang'zi
徽猷阁待制,hui'you'ge'dai'zhi
徽猷阁学士,hui'you'ge'xue'shi
徽猷阁直学士,hui'you'ge'zhi'xue'shi
纪善,ji'shan
记室参军,ji'shi'can'jun
给事中,ji'shi'zhong
籍田司令,ji'tian'si'ling
集贤大学士,ji'xian'da'xue'shi
集贤殿大学士,ji'xian'dian'da'xue'shi
集贤殿修撰,ji'xian'dian'xiu'zhuan
集贤殿学士,ji'xian'dian'xue'shi
集贤殿直学士,ji'xian'dian'zhi'xue'shi
集贤侍讲,ji'xian'shi'jiang
集贤校理学士,ji'xian'xiao'li'xue'shi
集贤学士,ji'xian'xue'shi
集贤院都事,ji'xian'yuan'dou'shi
集贤院集贤待制,ji'xian'yuan'ji'xian'dai'zhi
集贤院集贤修撰,ji'xian'yuan'ji'xian'xiu'zhuan
集贤院校理,ji'xian'yuan'xiao'li
集贤院学士,ji'xian'yuan'xue'shi
集贤院直学士,ji'xian'yuan'zhi'xue'shi
集贤直学士,ji'xian'zhi'xue'shi
集英殿修撰,ji'ying'dian'xiu'zhuan
驾部郎中,jia'bu'lang'zhong
驾部司郎官,jia'bu'si'lang'guan
驾部司郎中,jia'bu'si'lang'zhong
驾部司员外郎,jia'bu'si'yuan'wai'lang
驾部员外郎,jia'bu'yuan'wai'lang
架阁,jia'ge
家令寺丞,jia'ling'si'cheng
嘉议大夫,jia'yi'dai'fu
监仓,jian'cang
监茶,jian'cha
监察御史,jian'cha'yu'shi
监察御史里行,jian'cha'yu'shi'li'xing
监丞,jian'cheng
监当官,jian'dang'guan
监登闻鼓院,jian'deng'wen'gu'yuan
监都进奏院,jian'dou'jin'zou'yuan
谏官,jian'guan
监国子监书库,jian'guo'zi'jian'shu'ku
检校,jian'jiao
建节尉,jian'jie'wei
监酒,jian'jiu
监酒务,jian'jiu'wu
监军,jian'jun
监军使,jian'jun'shi
监库务,jian'ku'wu
监粮料院,jian'liang'liao'yuan
监门,jian'men
监某州比较务,jian'mou'zhou'bi'jiao'wu
监牧使,jian'mu'shi
监榷货务都茶场,jian'que'huo'wu'dou'cha'chang
监赡军酒库,jian'shan'jun'jiu'ku
监使,jian'shi
监市舶务,jian'shi'bo'wu
鉴书博士,jian'shu'bo'shi
监税,jian'shui
检讨,jian'tao
监修国史,jian'xiu'guo'shi
监盐,jian'yan
监盐酒税务,jian'yan'jiu'shui'wu
谏议大夫,jian'yi'da'fu
监岳庙,jian'yue'miao
监镇,jian'zhen
检正,jian'zheng
监左藏库,jian'zuo'cang'ku
将军,jiang'jun
江南淮南荆湖两浙路发运使,jiang'nan'huai'nan'jing'hu'liang'zhe'lu'fa'yun'shi
