阿餐,a'can
职方郎中,zhi'fang'lang'zhong
职方司郎中,zhi'fang'si'lang'zhong
职方司员外郎,zhi'fang'si'yuan'wai'lang
职方员外郎,zhi'fang'yuan'wai'lang
知府,zhi'fu
直敷文阁,zhi'fu'wen'ge
知贡举,zhi'gong'ju
直翰林医官院,zhi'han'lin'yi'guan'yuan
知合门事,zhi'he'men'shi
直弘文馆,zhi'hong'wen'guan
直华文阁,zhi'hua'wen'ge
直焕章阁,zhi'huan'zhang'ge
指挥,zhi'hui
指挥佥事,zhi'hui'qian'shi
指挥使,zhi'hui'shi
指挥同知,zhi'hui'tong'zhi
直徽猷阁,zhi'hui'you'ge
直集贤院,zhi'ji'xian'yuan
知谏院,zhi'jian'yuan
直讲,zhi'jiang
知军,zhi'jun
知军事,zhi'jun'shi
知礼部贡举,zhi'li'bu'gong'ju
知礼部贡举事,zhi'li'bu'gong'ju'shi
知吏部选事,zhi'li'bu'xuan'shi
知临安军府事,zhi'lin'an'jun'fu'shi
直龙图阁,zhi'long'tu'ge
知录事参军事,zhi'lu'shi'can'jun'shi
直秘阁,zhi'mi'ge
知某府军府事,zhi'mou'fu'jun'fu'shi
知某监事,zhi'mou'jian'shi
知某军事,zhi'mou'jun'shi
知某县事,zhi'mou'xian'shi
知某州军州事,zhi'mou'zhou'jun'zhou'shi
知南京留守司事,zhi'nan'jing'liu'shou'si'shi
知南外宗正事,zhi'nan'wai'zong'zheng'shi
织染局副使,zhi'ran'ju'fu'shi
直舍人院,zhi'she'ren'yuan
知审官院事,zhi'shen'guan'yuan'shi
知审刑院事,zhi'shen'xing'yuan'shi
知事,zhi'shi
直史馆,zhi'shi'guan
知史官事,zhi'shi'guan'shi
知枢密院事,zhi'shu'mi'yuan'shi
治书侍御史,zhi'shu'shi'yu'shi
知太常礼院,zhi'tai'chang'li'yuan
知西京留守司事,zhi'xi'jing'liu'shou'si'shi
知西外宗正事,zhi'xi'wai'zong'zheng'shi
知县,zhi'xian
知县丞事,zhi'xian'cheng'shi
直显谟阁,zhi'xian'mo'ge
知县事兼军使,zhi'xian'shi'jian'jun'shi
直学,zhi'xue
直学士,zhi'xue'shi
直学士院,zhi'xue'shi'yuan
知印,zhi'yin
知院,zhi'yuan
知杂侍御史,zhi'za'shi'yu'shi
知砦,zhi'zhai
直昭文馆,zhi'zhao'wen'guan
制置大使,zhi'zhi'da'shi
制置副使,zhi'zhi'fu'shi
知制诰,zhi'zhi'gao
制置使,zhi'zhi'shi
制置使司参谋官,zhi'zhi'shi'si'can'mou'guan
制置使司参议官,zhi'zhi'shi'si'can'yi'guan
制置使司干办公事,zhi'zhi'shi'si'gan'ban'gong'shi
制置使司主管机宜文字,zhi'zhi'shi'si'zhu'guan'ji'yi'wen'zi
治中,zhi'zhong
知州,zhi'zhou
中大夫,zhong'da'fu
中奉大夫,zhong'feng'dai'fu
中极殿大学士,zhong'ji'dian'da'xue'shi
中郎将,zhong'lang'jiang
中散大夫,zhong'san'da'fu
中书检校,zhong'shu'jian'jiao
中书郎中,zhong'shu'lang'zhong
中书令,zhong'shu'ling
中书门下省检正诸房公事,zhong'shu'men'xia'sheng'jian'zheng'zhu'fang'gong'shi
中书舍人,zhong'shu'she'ren
中书省参政,zhong'shu'sheng'can'zheng
中书省平章政事,zhong'shu'sheng'ping'zhang'zheng'shi
中书省事,zhong'shu'sheng'shi
中书省右丞相,zhong'shu'sheng'you'cheng'xiang
中书省右司都事,zhong'shu'sheng'you'si'dou'shi
中书省右司郎中,zhong'shu'sheng'you'si'lang'zhong
中书省右司员外郎,zhong'shu'sheng'you'si'yuan'wai'lang
中书省掾,zhong'shu'sheng'yuan
中书省左丞相,zhong'shu'sheng'zuo'cheng'xiang
中书省左司都事,zhong'shu'sheng'zuo'si'dou'shi
中书省左司郎中,zhong'shu'sheng'zuo'si'lang'zhong
中书省左司员外郎,zhong'shu'sheng'zuo'si'yuan'wai'lang
中书侍郎,zhong'shu'shi'lang
中顺大夫,zhong'shun'dai'fu
中宪大夫,zhong'xian'dai'fu
忠训郎,zhong'xun'lang
中议大夫,zhong'yi'dai'fu
忠翊郎,zhong'yi'lang
中政院使,zhong'zheng'yuan'shi
州别驾,zhou'bie'jia
州兵曹参军,zhou'bing'cao'can'jun
州兵马都监,zhou'bing'ma'dou'jian
州兵马监押,zhou'bing'ma'jian'ya
州兵马钤辖,zhou'bing'ma'qian'xia
州仓曹参军,zhou'cang'cao'can'jun
州刺史,zhou'ci'shi
州从事,zhou'cong'shi
州大都督,zhou'da'du'du
州达鲁花赤,zhou'da'lu'hua'chi
州都目,zhou'dou'mu
州都督府司马,zhou'du'du'fu'si'ma
州功曹参军,zhou'gong'cao'can'jun
州节度判官,zhou'jie'du'pan'guan
州吏目,zhou'li'mu
州录事参事,zhou'lu'shi'can'shi
州牧,zhou'mu
州判官,zhou'pan'guan
州儒学教授,zhou'ru'xue'jiao'shou
州司兵,zhou'si'bing
州司兵参军,zhou'si'bing'can'jun
州司仓参军,zhou'si'cang'can'jun
州司法参军,zhou'si'fa'can'jun
州司功参军,zhou'si'gong'can'jun
州司户参军事,zhou'si'hu'can'jun'shi
州司马,zhou'si'ma
州司千户,zhou'si'qian'hu
州提控案牍,zhou'ti'kong'an'du
州同知,zhou'tong'zhi
州团练使,zhou'tuan'lian'shi
州万户,zhou'wan'hu
周王,zhou'wang
州文学,zhou'wen'xue
州学博士,zhou'xue'bo'shi
州学官,zhou'xue'guan
州学录,zhou'xue'lu
州学训导,zhou'xue'xun'dao
州学正,zhou'xue'zheng
州尹,zhou'yin
州掾,zhou'yuan
州长官,zhou'zhang'guan
州长史,zhou'zhang'shi
州知事,zhou'zhi'shi
州中正,zhou'zhong'zheng
州诸军事,zhou'zhu'jun'shi
州总管,zhou'zong'guan
驻泊兵马钤辖,zhu'bo'bing'ma'qian'xia
主簿,zhu'bu
主簿御史台诸寺监,zhu'bu'yu'shi'tai'zhu'si'jian
住持寺观宫,zhu'chi'si'guan'gong
诸道盐铁转运使,zhu'dao'yan'tie'zhuan'yun'shi
主管安抚司公事,zhu'guan'an'fu'si'gong'shi
主管成都府玉局观,zhu'guan'cheng'du'fu'yu'ju'guan
主管宫观,zhu'guan'gong'guan
主管官告院,zhu'guan'guan'gao'yuan
主管经略安抚使司公事,zhu'guan'jing'lue'an'fu'shi'si'gong'shi
主管三省枢密院架阁文字,zhu'guan'san'xing'shu'mi'yuan'jia'ge'wen'zi
主管尚书省户部架阁文字,zhu'guan'shang'shu'sheng'hu'bu'jia'ge'wen'zi
主管尚书省礼兵部架阁文字,zhu'guan'shang'shu'sheng'li'bing'bu'jia'ge'wen'zi
主管尚书省吏部架阁文字,zhu'guan'shang'shu'sheng'li'bu'jia'ge'wen'zi
主管台州崇道观,zhu'guan'tai'zhou'chong'dao'guan
柱国,zhu'guo
助教,zhu'jiao
主考官,zhu'kao'guan
主客郎中,zhu'ke'lang'zhong
主客员外郎,zhu'ke'yuan'wai'lang
诸路总管府儒学教授,zhu'lu'zong'guan'fu'ru'xue'jiao'shou
诸路总管府儒学训导,zhu'lu'zong'guan'fu'ru'xue'xun'dao
诸路总管府推官,zhu'lu'zong'guan'fu'tui'guan
诸路总管府学录,zhu'lu'zong'guan'fu'xue'lu
诸路总管府医学教授,zhu'lu'zong'guan'fu'yi'xue'jiao'shou
诸路总管府医学录,zhu'lu'zong'guan'fu'yi'xue'lu
诸路总管府医学正,zhu'lu'zong'guan'fu'yi'xue'zheng
诸路总管府知事,zhu'lu'zong'guan'fu'zhi'shi
诸路总管府治中,zhu'lu'zong'guan'fu'zhi'zhong
诸路总管府总管,zhu'lu'zong'guan'fu'zong'guan
主事,zhu'shi
诸王,zhu'wang
诸王宫大小学教授,zhu'wang'gong'da'xiao'xue'jiao'shou
诸卫上将军,zhu'wei'shang'jiang'jun
著作郎,zhu'zuo'lang
著作佐郎,zhu'zuo'zuo'lang
转运副使,zhuan'yun'fu'shi
转运留后,zhuan'yun'liu'hou
转运使,zhuan'yun'shi
转运使兼按察使,zhuan'yun'shi'jian'an'cha'shi
转运使司,zhuan'yun'shi'si
转运司干办公事,zhuan'yun'si'gan'ban'gong'shi
转运司管勾文字,zhuan'yun'si'guan'gou'wen'zi
转运司判官,zhuan'yun'si'pan'guan
转运司主管文字,zhuan'yun'si'zhu'guan'wen'zi
转运盐使司副使,zhuan'yun'yan'shi'si'fu'shi
庄宅副使,zhuang'zhai'fu'shi
庄宅使,zhuang'zhai'shi
准备差遣,zhun'bei'chai'qian
资德大夫,zi'de'dai'fu
资善大夫,zi'shan'dai'fu
资善堂直讲,zi'shan'tang'zhi'jiang
咨议参军,zi'yi'can'jun
资政大夫,zi'zheng'dai'fu
资政殿大学士,zi'zheng'dian'da'xue'shi
资政殿学士,zi'zheng'dian'xue'shi
资治少尹,zi'zhi'shao'yin
资治尹,zi'zhi'yin
总管,zong'guan
总管府长史,zong'guan'fu'zhang'shi
总领,zong'ling
总领官,zong'ling'guan
总领所干办公事,zong'ling'suo'gan'ban'gong'shi
总旗,zong'qi
宗师,zong'shi
宗正丞,zong'zheng'cheng
宗正卿,zong'zheng'qing
宗正少卿,zong'zheng'shao'qing
宗正寺丞,zong'zheng'si'cheng
宗正寺少卿,zong'zheng'si'shao'qing
宗正寺主簿,zong'zheng'si'zhu'bu
宗子博士,zong'zi'bo'shi
宗子学谕,zong'zi'xue'yu
奏差,zou'cha
走马承受公事,zou'ma'cheng'shou'gong'shi
左班殿直,zuo'ban'dian'zhi
左补阙,zuo'bu'que
左布政使,zuo'bu'zheng'shi
左参议,zuo'can'yi
左参政,zuo'can'zheng
左藏库副使,zuo'cang'ku'fu'shi
左藏库使,zuo'cang'ku'shi
左朝奉大夫,zuo'chao'feng'dai'fu
左朝奉郎,zuo'chao'feng'lang
左朝请大夫,zuo'chao'qing'dai'fu
左朝请郎,zuo'chao'qing'lang
左朝散大夫,zuo'chao'san'dai'fu
左朝散郎,zuo'chao'san'lang
左朝议大夫,zuo'chao'yi'dai'fu
左丞,zuo'cheng
左承事郎,zuo'cheng'shi'lang
左丞相,zuo'cheng'xiang
左承议郎,zuo'cheng'yi'lang
左从事郎,zuo'cong'shi'lang
左迪功郎,zuo'di'gong'lang
左都御史,zuo'du'yu'shi
作坊副使,zuo'fang'fu'shi
作坊使,zuo'fang'shi
左奉议郎,zuo'feng'yi'lang
左奉直大夫,zuo'feng'zhi'dai'fu
左副都御史,zuo'fu'dou'yu'shi
左副都元帅,zuo'fu'dou'yuan'shuai
左光禄大夫,zuo'guang'lu'dai'fu
左果毅都尉,zuo'guo'yi'du'wei
左给事中,zuo'ji'shi'zhong
左监军,zuo'jian'jun
左监门卫大将军,zuo'jian'men'wei'da'jiang'jun
左监门卫将军,zuo'jian'men'wei'jiang'jun
左谏议大夫,zuo'jian'yi'da'fu
左金吾卫大将军,zuo'jin'wu'wei'da'jiang'jun
左领军卫大将军,zuo'ling'jun'wei'da'jiang'jun
左领军卫将军,zuo'ling'jun'wei'jiang'jun
左龙武军大将军,zuo'long'wu'jun'da'jiang'jun
左仆射,zuo'pu'ye
左骐骥使,zuo'qi'ji'shi
左千牛,zuo'qian'niu
左千牛卫大将军,zuo'qian'niu'wei'da'jiang'jun
左千牛卫将军,zuo'qian'niu'wei'jiang'jun
左亲卫,zuo'qin'wei
左散骑常侍,zuo'san'qi'chang'shi
左神武军大将军,zuo'shen'wu'jun'da'jiang'jun
左侍禁,zuo'shi'jin
左侍郎,zuo'shi'lang
左拾遗,zuo'shi'yi
左庶子,zuo'shu'zi
左司谏,zuo'si'jian
左司马,zuo'si'ma
左司员外郎,zuo'si'yuan'wai'lang
左台监察御史,zuo'tai'jian'cha'yu'shi
左太中大夫,zuo'tai'zhong'da'fu
左通议大夫,zuo'tong'yi'dai'fu
左屯卫,zuo'tun'wei
左屯卫大将军,zuo'tun'wei'da'jiang'jun
左卫大将军,zuo'wei'da'jiang'jun
左卫将军,zuo'wei'jiang'jun
左卫率府兵曹参军,zuo'wei'lv'fu'bing'cao'can'jun
左卫上将军,zuo'wei'shang'jiang'jun
左威卫,zuo'wei'wei
左卫长史,zuo'wei'zhang'shi
左武大夫,zuo'wu'dai'fu
左武卫,zuo'wu'wei
左武卫大将军,zuo'wu'wei'da'jiang'jun
左武卫将军,zuo'wu'wei'jiang'jun
左武卫长史,zuo'wu'wei'zhang'shi
左骁卫大将军,zuo'xiao'wei'da'jiang'jun
左骁卫将军,zuo'xiao'wei'jiang'jun
左骁卫上将军,zuo'xiao'wei'shang'jiang'jun
左宣奉大夫,zuo'xuan'feng'dai'fu
左宣教郎,zuo'xuan'jiao'lang
左宣义郎,zuo'xuan'yi'lang
左勋卫,zuo'xun'wei
左翊卫,zuo'yi'wei
左银青光禄大夫,zuo'yin'qing'guang'lu'dai'fu
左右仆射,zuo'you'pu'ye
左谕德,zuo'yu'de
左羽林大将军,zuo'yu'lin'da'jiang'jun
左羽林将军,zuo'yu'lin'jiang'jun
左长史,zuo'zhang'shi
左正言,zuo'zheng'yan
左正议大夫,zuo'zheng'yi'dai'fu
左中大夫,zuo'zhong'da'fu
左中奉大夫,zuo'zhong'feng'dai'fu
左中散大夫,zuo'zhong'san'da'fu
左柱国,zuo'zhu'guo
