阿巴特,a'ba'te
斯哈斯,si'ha'si
思考人生,si'kao'ren'sheng
斯科特帕克,si'ke'te'pa'ke
斯莱万比利奇,si'lai'wan'bi'li'qi
斯穆达,si'mu'da
斯内德,si'nei'de
斯坦福桥,si'tan'fu'qiao
斯特克伦堡,si'te'ke'lun'bao
斯特克伦博格,si'te'ke'lun'bo'ge
斯特里尼奇,si'te'li'ni'qi
斯特鲁曼,si'te'lu'man
斯特罗曼,si'te'luo'man
斯图加特,si'tu'jia'te
斯托克城,si'tuo'ke'cheng
斯旺西,si'wang'xi
斯文森,si'wen'sen
斯文松,si'wen'song
斯泽斯尼,si'ze'si'ni
死忠,si'zhong
苏巴希奇,su'ba'xi'qi
苏巴西奇,su'ba'xi'qi
苏奇,su'qi
苏希,su'xi
索比赫,suo'bi'he
索比耶奇,suo'bi'ye'qi
索别赫,suo'bie'he
锁定胜局,suo'ding'sheng'ju
索肖,suo'xiao
塔夫里亚,ta'fu'li'ya
泰顿,tai'dun
唐宁,tang'ning
特拉布宗,te'la'bu'zong
特拉布宗体育,te'la'bu'zong'ti'yu
特拉帕托尼,te'la'pa'tuo'ni
特里,te'li
特罗西迪斯,te'luo'xi'di'si
特温特,te'wen'te
特佐尔瓦斯,te'zuo'er'wa'si
特佐瓦斯,te'zuo'wa'si
替补席,ti'bu'xi
停球,ting'qiu
头球,tou'qiu
头球破门,tou'qiu'po'men
托雷斯,tuo'lei'si
托罗西迪斯,tuo'luo'xi'di'si
托马斯穆勒,tuo'ma'si'mu'le
托尼,tuo'ni
托尼克罗斯,tuo'ni'ke'luo'si
托妞,tuo'niu
托特纳姆热刺,tuo'te'na'mu're'ci
托伊沃宁,tuo'yi'wo'ning
瓦德,wa'de
瓦尔比埃纳,wa'er'bi'ai'na
瓦夫日尼亚克,wa'fu'ri'ni'ya'ke
瓦雷拉,wa'lei'la
瓦伦西亚,wa'lun'xi'ya
瓦斯,wa'si
瓦西莱夫斯基,wa'xi'lai'fu'si'ji
瓦西勒夫斯基,wa'xi'le'fu'si'ji
维达,wei'da
维恩布鲁姆,wei'en'bu'lu'mu
韦恩布卢姆,wei'en'bu'lu'mu
维尔贝克,wei'er'bei'ke
维尔赫尔姆森,wei'er'he'er'mu'sen
维尔马伦,wei'er'ma'lun
维拉尔,wei'la'er
维兰德,wei'lan'de
威廉姆斯,wei'lian'mu'si
威廉斯,wei'lian'si
威廉松,wei'lian'song
维罗索,wei'luo'suo
维森特德尔博斯克,wei'sen'te'de'er'bo'si'ke
韦斯特伍德,wei'si'te'wu'de
维亚纳,wei'ya'na
维泽,wei'ze
沃德,wo'de
沃尔夫斯堡,wo'er'fu'si'bao
沃尔科特,wo'er'ke'te
沃尔姆,wo'er'mu
沃尔斯基,wo'er'si'ji
沃尔特斯,wo'er'te'si
沃吉科维亚克,wo'ji'ke'wei'ya'ke
沃罗宁,wo'luo'ning
沃姆,wo'mu
沃斯基,wo'si'ji
沃斯卡拉,wo'si'ka'la
沃伊特科维亚克,wo'yi'te'ke'wei'ya'ke
乌迪内,wu'di'nei
乌迪内斯,wu'di'nei'si
乌克兰,wu'ke'lan
武克耶维奇,wu'ke'ye'wei'qi
武科耶维奇,wu'ke'ye'wei'qi
巫师猪,wu'shi'zhu
西班牙,xi'ban'ya
西布朗,xi'bu'lang
西布朗维奇,xi'bu'lang'wei'qi
西尔贝鲍尔,xi'er'bei'bao'er
西尔伯鲍尔,xi'er'bo'bao'er
席尔登费尔德,xi'er'deng'fei'er'de
席尔瓦,xi'er'wa
西法基斯,xi'fa'ji'si
西汉姆联,xi'han'mu'lian
希腊,xi'la
西里古,xi'li'gu
希罗科夫,xi'luo'ke'fu
西蒙鲍尔森,xi'meng'bao'er'sen
西蒙波尔森,xi'meng'bo'er'sen
西姆林,xi'mu'lin
西穆尼奇,xi'mu'ni'qi
锡瓦斯,xi'wa'si
锡瓦斯体育,xi'wa'si'ti'yu
希维斯堡,xi'wei'si'bao
西沃克,xi'wo'ke
香川真司,xiang'chuan'zhen'si
小飞侠,xiao'fei'xia
效力于,xiao'li'yu
谢尔斯特伦,xie'er'si'te'lun
谢列兹尼奥夫,xie'lie'zi'ni'ao'fu
谢林,xie'lin
谢姆绍夫,xie'mu'shao'fu
新利沃夫体育场,xin'li'wo'fu'ti'yu'chang
新赛季,xin'sai'ji
幸运之吻,xing'yun'zhi'wen
许布施曼,xu'bu'shi'man
许尔勒,xu'er'le
许森,xu'sen
亚布洛内茨,ya'bu'luo'nei'ci
雅典,ya'dian
亚尔莫连科,ya'er'mo'lian'ke
雅盖尔卡,ya'gai'er'ka
雅各布波尔森,ya'ge'bu'bo'er'sen
雅各布森,ya'ge'bu'sen
雅克布鲍尔森,ya'ke'bu'bao'er'sen
雅克布森,ya'ke'bu'sen
雅罗斯拉夫德罗布尼,ya'luo'si'la'fu'de'luo'bu'ni
扬拉什图夫卡,yang'la'shi'tu'fu'ka
耶卡斯,ye'ka'si
耶拉维奇,ye'la'wei'qi
伊布拉希莫维奇,yi'bu'la'xi'mo'wei'qi
意大利,yi'da'li
伊戈尔杰尼索夫,yi'ge'er'jie'ni'suo'fu
伊戈尔谢姆绍夫,yi'ge'er'xie'mu'shao'fu
伊格纳舍维奇,yi'ge'na'she'wei'qi
伊拉切克,yi'la'qie'ke
伊利奇维茨,yi'li'qi'wei'ci
伊利切维奇,yi'li'qie'wei'qi
伊涅斯塔,yi'nie'si'ta
伊萨克森,yi'sa'ke'sen
伊萨克松,yi'sa'ke'song
伊斯梅洛夫,yi'si'mei'luo'fu
伊斯坦布尔,yi'si'tan'bu'er
伊维恩,yi'wei'en
伊兹迈洛夫,yi'zi'mai'luo'fu
茵宝,yin'bao
因伤缺阵,yin'shang'que'zhen
因扎吉与维埃里,yin'zha'ji'yu'wei'ai'li
英格兰,ying'ge'lan
尤阿希姆勒夫,you'a'xi'mu'le'fu
右后卫,you'hou'wei
右前卫,you'qian'wei
尤文图斯,you'wen'tu'si
约翰逊,yue'han'xun
约纳斯奥尔松,yue'na'si'ao'er'song
泽尼特,ze'ni'te
扎戈耶夫,zha'ge'ye'fu
扎维拉斯,zha'wei'la'si
詹俊,zhan'jun
张伯伦,zhang'bo'lun
哲科,zhe'ke
真草,zhen'cao
阵型,zhen'xing
中场,zhong'chang
中日德兰,zhong'ri'de'lan
中央陆军,zhong'yang'lu'jun
主裁判,zhu'cai'pan
转会窗口,zhuan'hui'chuang'kou
紫百合,zi'bai'he
兹亚诺夫,zi'ya'nuo'fu
自由转会,zi'you'zhuan'hui
足彩,zu'cai
