啊长春,a'chang'chun
华亿红府,hua'yi'hong'fu
滑子蘑,hua'zi'mo
坏肚子,huai'du'zi
坏肚子了,huai'du'zi'le
缓台,huan'tai
黄泥河,huang'ni'he
晃我一下,huang'wo'yi'xia
黄蚬子,huang'xian'zi
黄鱼圈,huang'yu'quan
惠爱,hui'ai
回白山,hui'bai'shan
回长,hui'chang
回长春,hui'chang'chun
回长春了,hui'chang'chun'le
荟萃楼,hui'cui'lou
回德惠,hui'de'hui
惠工路,hui'gong'lu
回吉林,hui'ji'lin
回吉林了,hui'ji'lin'le
回九台,hui'jiu'tai
回辽源,hui'liao'yuan
回没回来呢,hui'mei'hui'lai'ne
惠民路,hui'min'lu
辉南,hui'nan
辉南街,hui'nan'jie
辉南县,hui'nan'xian
回农安,hui'nong'an
回寝,hui'qin
回寝了,hui'qin'le
回双阳,hui'shuang'yang
惠斯勒,hui'si'le
回四平,hui'si'ping
回松原,hui'song'yuan
回通化,hui'tong'hua
汇通驾校,hui'tong'jia'xiao
汇文路,hui'wen'lu
回延吉,hui'yan'ji
回榆树,hui'yu'shu
会展大街,hui'zhan'da'jie
珲春,hun'chun
珲春街,hun'chun'jie
珲春市,hun'chun'shi
浑江,hun'jiang
火爆大头菜,huo'bao'da'tou'cai
火炬大厦,huo'ju'da'sha
火力旺,huo'li'wang
火烧里,huo'shao'li
伙食饭,huo'shi'fan
集安路,ji'an'lu
基础楼,ji'chu'lou
基础园,ji'chu'yuan
基础园区,ji'chu'yuan'qu
吉大,ji'da
吉大超市,ji'da'chao'shi
吉大的,ji'da'de
吉大二院,ji'da'er'yuan
吉大附中,ji'da'fu'zhong
吉大就业,ji'da'jiu'ye
吉大就业网,ji'da'jiu'ye'wang
吉大南岭,ji'da'nan'ling
吉大南校,ji'da'nan'xiao
吉大三院,ji'da'san'yuan
吉大四院,ji'da'si'yuan
吉大燕子,ji'da'yan'zi
吉大一,ji'da'yi
吉大一院,ji'da'yi'yuan
鸡蛋炒柿子,ji'dan'chao'shi'zi
鸡蛋酱,ji'dan'jiang
鸡蛋柿子,ji'dan'shi'zi
几道街,ji'dao'jie
几点到长春,ji'dian'dao'chang'chun
吉发广场,ji'fa'guang'chang
鸡骨架,ji'gu'jia
吉和网,ji'he'wang
纪家,ji'jia
吉粮康郡,ji'liang'kang'jun
吉林,ji'lin
吉林啊,ji'lin'a
吉林吧,ji'lin'ba
吉林财经,ji'lin'cai'jing
吉林财经大学,ji'lin'cai'jing'da'xue
吉林长春,ji'lin'chang'chun
吉林长春的,ji'lin'chang'chun'de
吉林大街,ji'lin'da'jie
吉林大路,ji'lin'da'lu
吉林大学,ji'lin'da'xue
吉林大药房,ji'lin'da'yao'fang
吉林到,ji'lin'dao
吉林的,ji'lin'de
吉林德惠,ji'lin'de'hui
吉林地区,ji'lin'di'qu
吉林电视台,ji'lin'dian'shi'tai
吉林电信,ji'lin'dian'xin
吉林动画,ji'lin'dong'hua
吉林动画学院,ji'lin'dong'hua'xue'yuan
吉林分公司,ji'lin'fen'gong'si
吉林工程,ji'lin'gong'cheng
吉林工商,ji'lin'gong'shang
吉林工商学院,ji'lin'gong'shang'xue'yuan
吉林广深,ji'lin'guang'shen
吉林化工,ji'lin'hua'gong
吉林化工学院,ji'lin'hua'gong'xue'yuan
吉林建工,ji'lin'jian'gong
吉林建筑,ji'lin'jian'zhu
吉林建筑大学,ji'lin'jian'zhu'da'xue
吉林交通,ji'lin'jiao'tong
吉林教育,ji'lin'jiao'yu
吉林教育网,ji'lin'jiao'yu'wang
吉林教育信息网,ji'lin'jiao'yu'xin'xi'wang
吉林街,ji'lin'jie
吉林警察,ji'lin'jing'cha
吉林警察学院,ji'lin'jing'cha'xue'yuan
吉林剧场,ji'lin'ju'chang
吉林科技,ji'lin'ke'ji
吉林会计,ji'lin'kuai'ji
吉林会计网,ji'lin'kuai'ji'wang
吉林啦,ji'lin'la
吉林了,ji'lin'le
吉林联通,ji'lin'lian'tong
吉林吗,ji'lin'ma
吉林呢,ji'lin'ne
吉林农大,ji'lin'nong'da
吉林农业,ji'lin'nong'ye
吉林农业大学,ji'lin'nong'ye'da'xue
吉林人,ji'lin'ren
吉林日报,ji'lin'ri'bao
吉林省,ji'lin'sheng
吉林省长春市,ji'lin'sheng'chang'chun'shi
吉林省的,ji'lin'sheng'de
吉林省公务员,ji'lin'sheng'gong'wu'yuan
吉林省吉林市,ji'lin'sheng'ji'lin'shi
吉林省九台市,ji'lin'sheng'jiu'tai'shi
吉林省会计网,ji'lin'sheng'kuai'ji'wang
吉林省内,ji'lin'sheng'nei
吉林省实验中学,ji'lin'sheng'shi'yan'zhong'xue
吉林省委,ji'lin'sheng'wei
吉林省榆树市,ji'lin'sheng'yu'shu'shi
吉林市,ji'lin'shi
吉林市的,ji'lin'shi'de
吉林师范,ji'lin'shi'fan
吉林师范大学,ji'lin'shi'fan'da'xue
吉林体育学院,ji'lin'ti'yu'xue'yuan
吉林卫视,ji'lin'wei'shi
吉林一,ji'lin'yi
吉林移动,ji'lin'yi'dong
吉林一区,ji'lin'yi'qu
吉林艺术,ji'lin'yi'shu
吉林艺术学院,ji'lin'yi'shu'xue'yuan
吉林银行,ji'lin'yin'hang
吉林油田,ji'lin'you'tian
吉林榆树,ji'lin'yu'shu
吉林站,ji'lin'zhan
基隆北街,ji'long'bei'jie
基隆街,ji'long'jie
集眠社,ji'mian'she
济南食府,ji'nan'shi'fu
吉盛,ji'sheng
吉盛小区,ji'sheng'xiao'qu
吉视传媒,ji'shi'chuan'mei
吉顺,ji'shun
吉顺街,ji'shun'jie
及婷婷,ji'ting'ting
鸡头白脸,ji'tou'bai'lian
吉祥游戏,ji'xiang'you'xi
吉一,ji'yi
家得乐,jia'de'le
加点小心,jia'dian'xiao'xin
假假咕咕,jia'jia'gu'gu
佳园路,jia'yuan'lu
贾主任,jia'zhu'ren
检车线,jian'che'xian
煎粉,jian'fen
建工学院,jian'gong'xue'yuan
建和街,jian'he'jie
尖椒干豆腐,jian'jiao'gan'dou'fu
健康煮,jian'kang'zhu
建民街,jian'min'jie
剑桥园,jian'qiao'yuan
建设广场,jian'she'guang'chang
建设街,jian'she'jie
贱嗖,jian'sou
捡笑,jian'xiao
减员表,jian'yuan'biao
酱骨头,jiang'gu'tou
酱鸡蛋,jiang'ji'dan
讲究吧,jiang'jiu'ba
江南公园,jiang'nan'gong'yuan
酱茄子,jiang'qie'zi
江源区,jiang'yuan'qu
脚打后脑勺,jiao'da'hou'nao'shao
蛟河,jiao'he
蛟河市,jiao'he'shi
交汇,jiao'hui
浇死我了,jiao'si'wo'le
交通之声,jiao'tong'zhi'sheng
教育学部,jiao'yu'xue'bu
饺子王,jiao'zi'wang
解放大路,jie'fang'da'lu
解放花园,jie'fang'hua'yuan
结婚没呢,jie'hun'mei'ne
街路,jie'lu
金碧阁,jin'bi'ge
锦程大街,jin'cheng'da'jie
金川街,jin'chuan'jie
金达莱,jin'da'lai
金达洲,jin'da'zhou
进化街,jin'hua'jie
锦江广场,jin'jiang'guang'chang
金牌考场,jin'pai'kao'chang
筋皮子,jin'pi'zi
金色橄榄城,jin'se'gan'lan'cheng
金色欧城,jin'se'ou'cheng
金士百,jin'shi'bai
锦水路,jin'shui'lu
今天长春,jin'tian'chang'chun
锦西路,jin'xi'lu
锦绣东方,jin'xiu'dong'fang
锦绣世家,jin'xiu'shi'jia
金针磨,jin'zhen'mo
金专,jin'zhuan
金坐标,jin'zuo'biao
警官公寓,jing'guan'gong'yu
经开,jing'kai
精品课,jing'pin'ke
净事儿,jing'shi'er
经纬路,jing'wei'lu
经纬南路,jing'wei'nan'lu
景阳大路,jing'yang'da'lu
景阳广场,jing'yang'guang'chang
靖宇,jing'yu
靖宇县,jing'yu'xian
净月,jing'yue
净月大街,jing'yue'da'jie
净月的,jing'yue'de
净月公园,jing'yue'gong'yuan
净月开发区,jing'yue'kai'fa'qu
净月了,jing'yue'le
净月呢,jing'yue'ne
净月区,jing'yue'qu
净月山,jing'yue'shan
净月他,jing'yue'ta
净月潭,jing'yue'tan
净月校区,jing'yue'xiao'qu
就不滴,jiu'bu'di
就长春,jiu'chang'chun
就处对象,jiu'chu'dui'xiang
就处了,jiu'chu'le
九道街,jiu'dao'jie
就对付,jiu'dui'fu
就赶趟,jiu'gan'tang
九公寓,jiu'gong'yu
就拉倒吧,jiu'la'dao'ba
就唠嗑,jiu'lao'ke
就没去上,jiu'mei'qu'shang
就那么地,jiu'na'me'di
就那么回事吧,jiu'na'me'hui'shi'ba
就那玩意,jiu'na'wan'yi
就闹心,jiu'nao'xin
就闹心了,jiu'nao'xin'le
就是溜达,jiu'shi'liu'da
就是闹心,jiu'shi'nao'xin
九台,jiu'tai
九台的,jiu'tai'de
九台了,jiu'tai'le
九台路,jiu'tai'lu
九台呢,jiu'tai'ne
九台市,jiu'tai'shi
就完了呗,jiu'wan'le'bei
九项,jiu'xiang
九校,jiu'xiao
就消停,jiu'xiao'ting
就心思,jiu'xin'si
就寻思,jiu'xun'si
就咋的,jiu'za'de
就在长春,jiu'zai'chang'chun
巨恶,ju'e
举架,ju'jia
聚业,ju'ye
聚业大街,ju'ye'da'jie
卷柜,juan'gui
君地,jun'di
咖啡小镇,ka'fei'xiao'zhen
卡伦湖,ka'lun'hu
卡伦镇,ka'lun'zhen
开江鱼,kai'jiang'yu
开栓,kai'shuan
开完支,kai'wan'zhi
凯旋花园,kai'xuan'hua'yuan
凯旋路,kai'xuan'lu
开元名都,kai'yuan'ming'du
开运街,kai'yun'jie
看难受了,kan'nan'shou'le
看闹心,kan'nao'xin
康乐果,kang'le'guo
康乃尔,kang'nai'er
康平街,kang'ping'jie
烤苞米,kao'bao'mi
考车票,kao'che'piao
考单词,kao'dan'ci
考古学,kao'gu'xue
考吉大,kao'ji'da
烤冷面,kao'leng'mian
烤牛肉,kao'niu'rou
考票,kao'piao
可按揭,ke'an'jie
可别的,ke'bie'de
可不咋,ke'bu'za
可不咋的,ke'bu'za'de
客车厂,ke'che'chang
客车票,ke'che'piao
磕碜的,ke'chen'de
磕碜了,ke'chen'le
磕碜死了,ke'chen'si'le
可得了吧,ke'de'le'ba
可多人了,ke'duo'ren'le
课后班,ke'hou'ban
科技城,ke'ji'cheng
科讲,ke'jiang
可卡了,ke'ka'le
可困了,ke'kun'le
可拉到,ke'la'dao
可拉倒吧,ke'la'dao'ba
可埋汰,ke'mai'tai
可埋汰了,ke'mai'tai'le
可没意思了,ke'mei'yi'si'le
可闹心,ke'nao'xin
可闹心了,ke'nao'xin'le
可你来,ke'ni'lai
可咋整,ke'za'zheng
可怎么整,ke'zen'me'zheng
可真是的,ke'zhen'shi'de
可真有意思,ke'zhen'you'yi'si
口前,kou'qian
抠搜的,kou'sou'de
扣眼珠子,kou'yan'zhu'zi
哭吧精,ku'ba'jing
裤兜子,ku'dou'zi
快点的吧,kuai'dian'de'ba
宽超,kuan'chao
宽城,kuan'cheng
宽城区,kuan'cheng'qu
宽府路,kuan'fu'lu
宽平,kuan'ping
宽平大路,kuan'ping'da'lu
宽平大桥,kuan'ping'da'qiao
宽平桥,kuan'ping'qiao
困没困,kun'mei'kun
困蒙了,kun'meng'le
昆山路,kun'shan'lu
拉大剧,la'da'ju
拉到去吧,la'dao'qu'ba
拉法山,la'fa'shan
拉裤兜子,la'ku'dou'zi
拉图摩根,la'tu'mo'gen
辣媳妇,la'xi'fu
来病了,lai'bing'le
来长春,lai'chang'chun
来长春啊,lai'chang'chun'a
来长春吧,lai'chang'chun'ba
来长春了,lai'chang'chun'le
来德惠,lai'de'hui
来电显,lai'dian'xian
来东北,lai'dong'bei
赖叽,lai'ji
来吉大,lai'ji'da
来吉林,lai'ji'lin
来九台,lai'jiu'tai
赖赖唧唧,lai'lai'ji'ji
来溜达,lai'liu'da
来没来呢,lai'mei'lai'ne
莱姆顿,lai'mu'dun
来双阳,lai'shuang'yang
赖我了,lai'wo'le
来一觉,lai'yi'jiao
来榆树,lai'yu'shu
懒被窝,lan'bei'wo
懒蛋子,lan'dan'zi
蓝调倾城,lan'diao'qing'cheng
兰家镇,lan'jia'zhen
烂糟的,lan'zao'de
唠吧,lao'ba
老八件,lao'ba'jian
唠不了,lao'bu'liao
老昌,lao'chang
老长春,lao'chang'chun
老昌春饼,lao'chang'chun'bing
老沉了,lao'chen'le
老次了,lao'ci'le
老大声,lao'da'sheng
唠到,lao'dao
唠的,lao'de
老登,lao'deng
唠点,lao'dian
劳动公园,lao'dong'gong'yuan
老逗乐,lao'dou'le
老犊子,lao'du'zi
老多东西,lao'duo'dong'xi
老多年,lao'duo'nian
老多人,lao'duo'ren
老多人了,lao'duo'ren'le
老多事了,lao'duo'shi'le
老恶心了,lao'e'xin'le
老儿子,lao'er'zi
老费劲了,lao'fei'jin'le
老盖了,lao'gai'le
老闺,lao'gui
唠过,lao'guo
老嗨了,lao'hai'le
老韩头,lao'han'tou
唠嗑吧,lao'ke'ba
唠嗑呗,lao'ke'bei
老磕碜,lao'ke'chen
唠嗑的,lao'ke'de
唠嗑了,lao'ke'le
唠嗑呢,lao'ke'ne
老困了,lao'kun'le
唠唠,lao'lao
老累了,lao'lei'le
老冷,lao'leng
老冷了,lao'leng'le
老妈菜馆,lao'ma'cai'guan
老埋汰,lao'mai'tai
老埋汰了,lao'mai'tai'le
老没意思了,lao'mei'yi'si'le
老难吃,lao'nan'chi
老难吃了,lao'nan'chi'le
老难受了,lao'nan'shou'le
老闹心,lao'nao'xin
老闹心了,lao'nao'xin'le
唠啥,lao'sha
唠啥了,lao'sha'le
唠啥呢,lao'sha'ne
老生气了,lao'sheng'qi'le
老叔家,lao'shu'jia
老疼了,lao'teng'le
唠完了,lao'wan'le
老吓人了,lao'xia'ren'le
老香了,lao'xiang'le
老严了,lao'yan'le
唠一会,lao'yi'hui
老有意思,lao'you'yi'si
老有意思了,lao'you'yi'si'le
老准了,lao'zhun'le
乐比酷,le'bi'ku
乐不得,le'bu'de
了不咋的,le'bu'za'de
乐呵的,le'he'de
乐卡克,le'ka'ke
了困了,le'kun'le
了没意思了,le'mei'yi'si'le
乐群,le'qun
乐群街,le'qun'jie
乐透,le'tou
乐园路,le'yuan'lu
了咋整,le'za'zheng
累不的,lei'bu'de
累蒙了,lei'meng'le
累挺,lei'ting
累挺了,lei'ting'le
累眼睛,lei'yan'jing
累这样,lei'zhe'yang
冷面汤,leng'mian'tang
离长春,li'chang'chun
利尔康,li'er'kang
礼份子,li'fen'zi
理解不上去,li'jie'bu'shang'qu
利金,li'jin
离开长春,li'kai'chang'chun
李丽娜,li'li'na
李默,li'mo
立事牙,li'shi'ya
梨树,li'shu
梨树县,li'shu'xian
李四光,li'si'guang
立信街,li'xin'jie
联合书城,lian'he'shu'cheng
连拉带吐,lian'la'dai'tu
联谊医院,lian'yi'yi'yuan
凉嗖,liang'sou
亮天了,liang'tian'le
聊扯,liao'che
辽宁路,liao'ning'lu
聊欠,liao'qian
辽阳街,liao'yang'jie
辽源,liao'yuan
辽源的,liao'yuan'de
辽源了,liao'yuan'le
辽源市,liao'yuan'shi
临河风景,lin'he'feng'jing
临河街,lin'he'jie
临江市,lin'jiang'shi
淋浴器,lin'yu'qi
林园,lin'yuan
林园路,lin'yuan'lu
零担车,ling'dan'che
岭东,ling'dong
岭东路,ling'dong'lu
零公里,ling'gong'li
领仕扒房,ling'shi'ba'fang
领秀朝阳,ling'xiu'zhao'yang
六饼,liu'bing
刘长春,liu'chang'chun
溜达啊,liu'da'a
溜达被,liu'da'bei
溜达溜达啊,liu'da'liu'da'a
溜达溜达被,liu'da'liu'da'bei
溜达去啊,liu'da'qu'a
溜达去了,liu'da'qu'le
溜达完,liu'da'wan
溜达完了,liu'da'wan'le
溜达呀,liu'da'ya
溜达一会,liu'da'yi'hui
溜达一天,liu'da'yi'tian
六道街,liu'dao'jie
六公寓,liu'gong'yu
溜号了,liu'hao'le
柳河,liu'he
柳河县,liu'he'xian
刘老根,liu'lao'gen
溜溜了,liu'liu'le
溜溜去,liu'liu'qu
流氓子,liu'mang'zi
六人寝,liu'ren'qin
溜肉段,liu'rou'duan
柳影,liu'ying
柳影路,liu'ying'lu
六月末,liu'yue'mo
龙嘉,long'jia
龙家堡,long'jia'bao
龙嘉机场,long'jia'ji'chang
隆礼,long'li
隆礼路,long'li'lu
龙山区,long'shan'qu
龙泰富苑,long'tai'fu'yuan
龙潭区,long'tan'qu
龙潭山,long'tan'shan
龙翔苑,long'xiang'yuan
搂宝,lou'bao
撸串子,lu'chuan'zi
鲁辉,lu'hui
鲁辉国际城,lu'hui'guo'ji'cheng
卢家,lu'jia
鹿乡,lu'xiang
路园区,lu'yuan'qu
乱码七糟,luan'ma'qi'zao
乱遭,luan'zao
乱糟的,luan'zao'de
落籍,luo'ji
绿园,lv'yuan
绿园区,lv'yuan'qu
绿园小学,lv'yuan'xiao'xue
麻辣哈哈,ma'la'ha'ha
麻辣涮串,ma'la'shuan'chuan
麻辣鳕鱼,ma'la'xue'yu
麻辣鸭脖,ma'la'ya'bo
麻辣正常,ma'la'zheng'chang
麻里麻里,ma'li'ma'li
麻溜利索,ma'liu'li'suo
马上完事了,ma'shang'wan'shi'le
马上熄灯了,ma'shang'xi'deng'le
卖场了,mai'chang'le
埋了吧汰,mai'le'ba'tai
埋汰,mai'tai
埋汰的,mai'tai'de
埋汰孩,mai'tai'hai
埋汰了,mai'tai'le
埋汰埋汰,mai'tai'mai'tai
埋汰你,mai'tai'ni
埋汰你了,mai'tai'ni'le
埋汰人,mai'tai'ren
埋汰死,mai'tai'si
埋汰死了,mai'tai'si'le
埋汰他,mai'tai'ta
埋汰我,mai'tai'wo
埋汰我了,mai'tai'wo'le
埋汰我呢,mai'tai'wo'ne
买完票了,mai'wan'piao'le
满客隆,man'ke'long
忙活人,mang'huo'ren
忙了的,mang'le'de
忙蒙了,mang'meng'le
毛葱,mao'cong
猫冬,mao'dong
毛楞,mao'leng
毛岁,mao'sui
没挨浇,mei'ai'jiao
没处对象,mei'chu'dui'xiang
没处过,mei'chu'guo
没嘎哈,mei'ga'ha
玫瑰谷,mei'gui'gu
梅河,mei'he
梅河口,mei'he'kou
梅河口市,mei'he'kou'shi
没接起来,mei'jie'qi'lai
美景天城,mei'jing'tian'cheng
没开支,mei'kai'zhi
没唠,mei'lao
没溜达,mei'liu'da
妹妹妹,mei'mei'mei
妹妹妹妹,mei'mei'mei'mei
没啥干的,mei'sha'gan'de
没啥玩意,mei'sha'wan'yi
没声了呢,mei'sheng'le'ne
没时候,mei'shi'hou
没事闲的,mei'shi'xian'de
没玩上,mei'wan'shang
没寻思,mei'xun'si
没呀的,mei'ya'de
没意思就,mei'yi'si'jiu
没咋的,mei'za'de
没咋的啊,mei'za'de'a
没咋地,mei'za'di
没在长春,mei'zai'chang'chun
没在寝室,mei'zai'qin'shi
没招,mei'zhao
没招啊,mei'zhao'a
没正六,mei'zheng'liu
没整明白,mei'zheng'ming'bai
没正事儿,mei'zheng'shi'er
没整完,mei'zheng'wan
没之声,mei'zhi'sheng
门市房,men'shi'fang
闷挺,men'ting
蒙被,meng'bei
孟家,meng'jia
梦之幻,meng'zhi'huan
孟子义,meng'zi'yi
迷糊的,mi'hu'de
米沙子,mi'sha'zi
米氏孕婴,mi'shi'yun'ying
免雪,mian'xue
民丰大街,min'feng'da'jie
闵家,min'jia
民康路,min'kang'lu
明德路,ming'de'lu
名签,ming'qian
明太鱼,ming'tai'yu
铭医,ming'yi
莫不如,mo'bu'ru
墨迹呢,mo'ji'ne
墨迹你,mo'ji'ni
墨迹我,mo'ji'wo
摸摸搜搜,mo'mo'sou'sou
牡丹街,mu'dan'jie
木房子,mu'fang'zi
沐石河,mu'shi'he
木须,mu'xu
木须柿子,mu'xu'shi'zi
木子铁,mu'zi'tie
那白扯,na'bai'che
那才不是,na'cai'bu'shi
那才不是呢,na'cai'bu'shi'ne
那倒不能,na'dao'bu'neng
那对啊,na'dui'a
那对吧,na'dui'ba
那对呗,na'dui'bei
那对呀,na'dui'ya
那嘎哈,na'ga'ha
那赶趟,na'gan'tang
拿家去,na'jia'qu
那就拉倒吧,na'jiu'la'dao'ba
那可不咋的,na'ke'bu'za'de
那可挺好,na'ke'ting'hao
那可咋整,na'ke'za'zheng
那拉倒吧,na'la'dao'ba
那没招,na'mei'zhao
那没招了,na'mei'zhao'le
那能行吗,na'neng'xing'ma
那能行么,na'neng'xing'me
那能咋的,na'neng'za'de
哪能咋整,na'neng'za'zheng
那你就吃呗,na'ni'jiu'chi'bei
那你看了,na'ni'kan'le
那你想咋的,na'ni'xiang'za'de
娜奇美,na'qi'mei
那是呗,na'shi'bei
那谁到了,na'shui'dao'le
那谁知道了,na'shui'zhi'dao'le
哪天的吧,na'tian'de'ba
那妥了,na'tuo'le
那玩意你,na'wan'yi'ni
那玩应,na'wan'ying
那我咋整,na'wo'za'zheng
那也不得,na'ye'bu'de
那也没招,na'ye'mei'zhao
那有啥招,na'you'sha'zhao
那咋的,na'za'de
那咋的了,na'za'de'le
那咋的呢,na'za'de'ne
那咋整,na'za'zheng
那咋整啊,na'za'zheng'a
那咋整的,na'za'zheng'de
那指定,na'zhi'ding
奶浴,nai'yu
南北通道,nan'bei'tong'dao
南部新城,nan'bu'xin'cheng
南关,nan'guan
南关区,nan'guan'qu
南广场,nan'guang'chang
南湖,nan'hu
南湖宾馆,nan'hu'bin'guan
南湖大路,nan'hu'da'lu
南湖法律,nan'hu'fa'lv
南湖公园,nan'hu'gong'yuan
南湖广场,nan'hu'guang'chang
南湖了,nan'hu'le
南湖校区,nan'hu'xiao'qu
南湖新村,nan'hu'xin'cun
南环城,nan'huan'cheng
南环城路,nan'huan'cheng'lu
南岭,nan'ling
南岭体育场,nan'ling'ti'yu'chang
南岭校区,nan'ling'xiao'qu
男寝,nan'qin
南洋小馆,nan'yang'xiao'guan
闹不闹心,nao'bu'nao'xin
闹啥心,nao'sha'xin
闹什么心,nao'shen'me'xin
闹死心,nao'si'xin
闹死心了,nao'si'xin'le
闹挺,nao'ting
闹挺了,nao'ting'le
闹挺死了,nao'ting'si'le
闹心,nao'xin
闹心啊,nao'xin'a
闹心吧,nao'xin'ba
闹心被,nao'xin'bei
闹心的,nao'xin'de
闹心的事,nao'xin'de'shi
闹心啦,nao'xin'la
闹心了,nao'xin'le
闹心吗,nao'xin'ma
闹心么,nao'xin'me
闹心那,nao'xin'na
闹心闹心,nao'xin'nao'xin
闹心呢,nao'xin'ne
闹心啥,nao'xin'sha
闹心什么,nao'xin'shen'me
闹心事,nao'xin'shi
闹心死了,nao'xin'si'le
闹心呀,nao'xin'ya
闹眼睛,nao'yan'jing
内饰件,nei'shi'jian
能不错,neng'bu'cuo
能不闹心,neng'bu'nao'xin
能不能是,neng'bu'neng'shi
能不能说话了,neng'bu'neng'shuo'hua'le
能能行,neng'neng'xing
能能行了,neng'neng'xing'le
能去上,neng'qu'shang
能啥样,neng'sha'yang
能咋的,neng'za'de
能咋整,neng'za'zheng
能怎么的,neng'zen'me'de
你包宿,ni'bao'xiu
你别闹心,ni'bie'nao'xin
你别闹心了,ni'bie'nao'xin'le
你别整,ni'bie'zheng
你不得劲,ni'bu'de'jin
你不总,ni'bu'zong
你长春,ni'chang'chun
你处过,ni'chu'guo
你大儿子,ni'da'er'zi
你到长春,ni'dao'chang'chun
你等明天的,ni'deng'ming'tian'de
你电话号,ni'dian'hua'hao
你嘎哈,ni'ga'ha
你嘎哈那,ni'ga'ha'na
你嘎哈呢,ni'ga'ha'ne
你嘎哈去了,ni'ga'ha'qu'le
你干啥那,ni'gan'sha'na
你告诉告诉,ni'gao'su'gao'su
你告诉告诉我,ni'gao'su'gao'su'wo
你还得说,ni'hai'dei'shuo
你好宝贝,ni'hao'bao'bei
你好像傻,ni'hao'xiang'sha
你晃我,ni'huang'wo
你回长春,ni'hui'chang'chun
你回寝,ni'hui'qin
你看你了,ni'kan'ni'le
你可别的,ni'ke'bie'de
你可得了吧,ni'ke'de'le'ba
你可咋整,ni'ke'za'zheng
你可真烦人,ni'ke'zhen'fan'ren
你可真是的,ni'ke'zhen'shi'de
你可真有才,ni'ke'zhen'you'cai
你来长春,ni'lai'chang'chun
你唠嗑,ni'lao'ke
你埋汰,ni'mai'tai
你埋汰我,ni'mai'tai'wo
你们寝,ni'men'qin
你闹心,ni'nao'xin
你能能,ni'neng'neng
你怕啥的,ni'pa'sha'de
你起来没呢,ni'qi'lai'mei'ne
你去长春,ni'qu'chang'chun
你是长春,ni'shi'chang'chun
你是长春的,ni'shi'chang'chun'de
你是是,ni'shi'shi
你说啥那,ni'shuo'sha'na
你说咋的,ni'shuo'za'de
你太烦人了,ni'tai'fan'ren'le
你铁子,ni'tie'zi
你网号,ni'wang'hao
你想咋的,ni'xiang'za'de
你要嘎哈,ni'yao'ga'ha
你要干啥啊,ni'yao'gan'sha'a
你要干啥去,ni'yao'gan'sha'qu
你要干啥呀,ni'yao'gan'sha'ya
你又咋的了,ni'you'za'de'le
你有招,ni'you'zhao
你咋不睡觉呢,ni'za'bu'shui'jiao'ne
你咋的啦,ni'za'de'la
你咋的了,ni'za'de'le
你咋还不睡觉呢,ni'za'hai'bu'shui'jiao'ne
你咋没去呢,ni'za'mei'qu'ne
你咋总,ni'za'zong
你在长春,ni'zai'chang'chun
你在长春吗,ni'zai'chang'chun'ma
你在长春呢,ni'zai'chang'chun'ne
你在德惠,ni'zai'de'hui
你在吉林,ni'zai'ji'lin
你在家那,ni'zai'jia'na
你在九台,ni'zai'jiu'tai
你在寝室呢,ni'zai'qin'shi'ne
你在榆树,ni'zai'yu'shu
你这逼,ni'zhe'bi
你总去,ni'zong'qu
蔫吧,nian'ba
宁江区,ning'jiang'qu
拧歪,ning'wai
牛巴店,niu'ba'dian
纽维,niu'wei
农安,nong'an
农安的,nong'an'de
农安了,nong'an'le
农安县,nong'an'xian
农安镇,nong'an'zhen
农博会,nong'bo'hui
农博园,nong'bo'yuan
农春,nong'chun
农壳,nong'ke
暖房子,nuan'fang'zi
女寝,nv'qin
欧城,ou'cheng
欧朗,ou'lang
欧亚,ou'ya
欧亚超市,ou'ya'chao'shi
欧亚车百,ou'ya'che'bai
欧亚春城,ou'ya'chun'cheng
欧亚卡,ou'ya'ka
欧亚了,ou'ya'le
欧亚卖场,ou'ya'mai'chang
欧亚商都,ou'ya'shang'du
欧亚新发,ou'ya'xin'fa
帕帕斯,pa'pa'si
怕啥的,pa'sha'de
排尺,pai'chi
派格,pai'ge
磐石,pan'shi
磐石路,pan'shi'lu
磐石市,pan'shi'shi
跑皮,pao'pi
跑线车,pao'xian'che
陪我唠嗑,pei'wo'lao'ke
飘宝,piao'bao
苹果梨,ping'guo'li
平泉路,ping'quan'lu
平阳街,ping'yang'jie
平治街,ping'zhi'jie
破哥,po'ge
破马张飞,po'ma'zhang'fei
婆婆丁,po'po'ding
破玩意你,po'wan'yi'ni
破玩应,po'wan'ying
浦东路,pu'dong'lu
普庆路,pu'qing'lu
普阳街,pu'yang'jie
汽博会,qi'bo'hui
汽车产业,qi'che'chan'ye
汽车产业开发区,qi'che'chan'ye'kai'fa'qu
汽车厂,qi'che'chang
汽车学院,qi'che'xue'yuan
汽车装饰,qi'che'zhuang'shi
起高调,qi'gao'diao
起来没呢,qi'lai'mei'ne
起来没有呢,qi'lai'mei'you'ne
七马路,qi'ma'lu
汽贸城,qi'mao'cheng
起没起来呢,qi'mei'qi'lai'ne
其塔木,qi'ta'mu
七月末,qi'yue'mo
气这样,qi'zhe'yang
汽专,qi'zhuan
乾安,qian'an
乾安县,qian'an'xian
前岗,qian'gang
前郭,qian'guo
前郭县,qian'guo'xian
前进大街,qian'jin'da'jie
前进广场,qian'jin'guang'chang
前楼,qian'lou
前卫南区,qian'wei'nan'qu
