阿拉伯式柱头,a'la'bo'shi'zhu'tou
角背,jiao'bei
交叉口,jiao'cha'kou
胶合板,jiao'he'ban
胶合板门,jiao'he'ban'men
胶合板墙面,jiao'he'ban'qiang'mian
焦化厂,jiao'hua'chang
交角券,jiao'jiao'quan
胶结剂,jiao'jie'ji
角梁,jiao'liang
郊区城市化,jiao'qu'cheng'shi'hua
郊区景观,jiao'qu'jing'guan
郊区绿地,jiao'qu'lv'di
交通方式划分,jiao'tong'fang'shi'hua'fen
交通建筑,jiao'tong'jian'zhu
交通量,jiao'tong'liang
交通渠化,jiao'tong'qu'hua
交通条件,jiao'tong'tiao'jian
交通阻塞,jiao'tong'zu'se
交响乐厅,jiao'xiang'yue'ting
角隅种植,jiao'yu'zhong'zhi
角柱,jiao'zhu
角柱石,jiao'zhu'shi
接触板控制自动门,jie'chu'ban'kong'zhi'zi'dong'men
接待厅,jie'dai'ting
街道绿化,jie'dao'lv'hua
接地装置,jie'di'zhuang'zhi
节点,jie'dian
结构层,jie'gou'ceng
解构主义,jie'gou'zhu'yi
结构主义,jie'gou'zhu'yi
结晶材料,jie'jing'cai'liao
洁净车间,jie'jing'che'jian
截口,jie'kou
解剖室,jie'pou'shi
接收牢房,jie'shou'lao'fang
阶梯教室,jie'ti'jiao'shi
接线箱,jie'xian'xiang
截止阀,jie'zhi'fa
截止频率,jie'zhi'pin'lv
近场,jin'chang
近代巴洛克式园林,jin'dai'ba'luo'ke'shi'yuan'lin
禁伐禁猎区,jin'fa'jin'lie'qu
近邻性分析,jin'lin'xing'fen'xi
金属材料,jin'shu'cai'liao
金属卤化物灯,jin'shu'lu'hua'wu'deng
金属门,jin'shu'men
金属制品,jin'shu'zhi'pin
金柱,jin'zhu
锦砖面层,jin'zhuan'mian'ceng
警察局,jing'cha'ju
井道,jing'dao
景点,jing'dian
井干式构架,jing'gan'shi'gou'jia
净高,jing'gao
静观,jing'guan
经济热阻,jing'ji're'zu
京剧院,jing'ju'yuan
精神病院,jing'shen'bing'yuan
静态,jing'tai
静态压缩量,jing'tai'ya'suo'liang
经堂,jing'tang
静休息区,jing'xiu'xi'qu
旧城,jiu'cheng
九架梁,jiu'jia'liang
就业人口,jiu'ye'ren'kou
救灾通道,jiu'zai'tong'dao
聚光式太阳能集热器,ju'guang'shi'tai'yang'neng'ji're'qi
俱乐部,ju'le'bu
举析,ju'xi
剧院,ju'yuan
居住区绿地,ju'zhu'qu'lv'di
居住区中心,ju'zhu'qu'zhong'xin
居住小区,ju'zhu'xiao'qu
居住用地,ju'zhu'yong'di
卷杀,juan'sha
决策分析,jue'ce'fen'xi
角斗场,jue'dou'chang
喀斯特景观,ka'si'te'jing'guan
开敞空间,kai'chang'kong'jian
开发区,kai'fa'qu
开放性,kai'fang'xing
开关柜,kai'guan'gui
开间,kai'jian
开口比,kai'kou'bi
槛墙,kan'qiang
看守室,kan'shou'shi
看台,kan'tai
康复中心,kang'fu'zhong'xin
抗污染植物,kang'wu'ran'zhi'wu
可拆式隔断,ke'chai'shi'ge'duan
壳顶,ke'ding
客房,ke'fang
壳管式换热器,ke'guan'shi'huan're'qi
科技馆,ke'ji'guan
可建性,ke'jian'xing
可靠性,ke'kao'xing
科林斯柱式,ke'lin'si'zhu'shi
可燃气体探测器,ke'ran'qi'ti'tan'ce'qi
可行性研究,ke'xing'xing'yan'jiu
科学保护区,ke'xue'bao'hu'qu
科学城,ke'xue'cheng
科学建筑,ke'xue'jian'zhu
科学园区,ke'xue'yuan'qu
空间构图,kong'jian'gou'tu
空间规划,kong'jian'gui'hua
空间吸声体,kong'jian'xi'sheng'ti
空间组成,kong'jian'zu'cheng
空灵,kong'ling
空气处理设施,kong'qi'chu'li'she'shi
空气洁净度,kong'qi'jie'jing'du
空气净化,kong'qi'jing'hua
空心砖,kong'xin'zhuan
跨度,kua'du
快餐馆,kuai'can'guan
块料面层,kuai'liao'mian'ceng
快速道路,kuai'su'dao'lu
旷地,kuang'di
框槛,kuang'kan
矿棉,kuang'mian
矿业城市,kuang'ye'cheng'shi
昆山石,kun'shan'shi
扩散距离,kuo'san'ju'li
扩声系统,kuo'sheng'xi'tong
阔叶植物,kuo'ye'zhi'wu
垃圾处理系统,la'ji'chu'li'xi'tong
垃圾道,la'ji'dao
垃圾斗,la'ji'dou
垃圾清运,la'ji'qing'yun
垃圾压实机,la'ji'ya'shi'ji
栏杆,lan'gan
篮状种植器,lan'zhuang'zhong'zhi'qi
廊,lang
劳动定员,lao'dong'ding'yuan
劳动管理,lao'dong'guan'li
老年公寓,lao'nian'gong'yu
老檐枋,lao'yan'fang
勒克斯,le'ke'si
勒诺特尔式园林,le'nuo'te'er'shi'yuan'lin
雷暴,lei'bao
雷公柱,lei'gong'zhu
肋骨拱,lei'gu'gong
垒球场,lei'qiu'chang
冷藏库,leng'cang'ku
冷冻间,leng'dong'jian
冷凝控制,leng'ning'kong'zhi
冷却塔,leng'que'ta
里,li
立板,li'ban
理发店,li'fa'dian
理疗部,li'liao'bu
历史古迹区,li'shi'gu'ji'qu
历史建筑,li'shi'jian'zhu
立体银幕,li'ti'yin'mu
理想城市,li'xiang'cheng'shi
立转窗,li'zhuan'chuang
莲花式柱,lian'hua'shi'zhu
联排式住宅,lian'pai'shi'zhu'zhai
连续感,lian'xu'gan
连续谱,lian'xu'pu
连檐,lian'yan
亮度对比,liang'du'dui'bi
亮度计,liang'du'ji
两跑楼梯,liang'pao'lou'ti
梁式楼梯,liang'shi'lou'ti
梁下垂,liang'xia'chui
亮子,liang'zi
疗养公园,liao'yang'gong'yuan
疗养院,liao'yang'yuan
烈士纪念公园,lie'shi'ji'nian'gong'yuan
列柱围廊式,lie'zhu'wei'lang'shi
檩,lin
林间隙地,lin'jian'xi'di
林间小道,lin'jian'xiao'dao
邻里单位,lin'li'dan'wei
邻里公园,lin'li'gong'yuan
檩条,lin'tiao
林下种植,lin'xia'zhong'zhi
林荫大道,lin'yin'da'dao
淋浴间,lin'yu'jian
林植,lin'zhi
灵壁石,ling'bi'shi
零件库,ling'jian'ku
灵台,ling'tai
灵囿,ling'you
流动人口,liu'dong'ren'kou
琉璃瓦,liu'li'wa
流明,liu'ming
龙骨,long'gu
楼,lou
漏花墙,lou'hua'qiang
漏景,lou'jing
楼面层,lou'mian'ceng
楼面地价,lou'mian'di'jia
楼梯,lou'ti
路边公园,lu'bian'gong'yuan
路边花坛,lu'bian'hua'tan
露天剧场,lu'tian'ju'chang
露天音乐台,lu'tian'yin'yue'tai
卤钨灯,lu'wu'deng
炉灶,lu'zao
炉渣砖,lu'zha'zhuan
轮渡,lun'du
洛可可式园林,luo'ke'ke'shi'yuan'lin
洛阳宫,luo'yang'gong
绿地面积,lv'di'mian'ji
绿地系统,lv'di'xi'tong
绿地效果,lv'di'xiao'guo
旅馆,lv'guan
绿化,lv'hua
旅客通道,lv'ke'tong'dao
绿廊,lv'lang
绿篱,lv'li
绿色革命,lv'se'ge'ming
旅游地质,lv'you'di'zhi
旅游资源,lv'you'zi'yuan
麻布袋,ma'bu'dai
马厩,ma'jiu
脉冲响应,mai'chong'xiang'ying
盲人花园,mang'ren'hua'yuan
毛石,mao'shi
毛石墙,mao'shi'qiang
茅亭,mao'ting
毛细多孔体,mao'xi'duo'kong'ti
毛细管吸水作用,mao'xi'guan'xi'shui'zuo'yong
煤气发生站,mei'qi'fa'sheng'zhan
美容院,mei'rong'yuan
门跋,men'ba
门柄,men'bing
闷顶,men'ding
门房,men'fang
门槛,men'kan
门框,men'kuang
门铃系统,men'ling'xi'tong
门厅,men'ting
门卫种植,men'wei'zhong'zhi
门枕,men'zhen
门枕石,men'zhen'shi
秘书室,mi'shu'shi
面层,mian'ceng
面层抹灰,mian'ceng'mo'hui
面粉厂,mian'fen'chang
面光,mian'guang
面砖,mian'zhuan
苗圃,miao'pu
灭火器,mie'huo'qi
民居,min'ju
民族风俗风景区,min'zu'feng'su'feng'jing'qu
民族性,min'zu'xing
明视觉,ming'shi'jue
明线,ming'xian
模式语言,mo'shi'yu'yan
抹头,mo'tou
模型室,mo'xing'shi
木板桥,mu'ban'qiao
牧场草坪,mu'chang'cao'ping
木工车间,mu'gong'che'jian
木瓦,mu'wa
母线槽,mu'xian'cao
木屑板,mu'xie'ban
墓园,mu'yuan
木质制品,mu'zhi'zhi'pin
木砖地面,mu'zhuan'di'mian
耐旱植物,nai'han'zhi'wu
耐火等级,nai'huo'deng'ji
耐火砖,nai'huo'zhuan
耐湿植物,nai'shi'zhi'wu
耐酸地面,nai'suan'di'mian
耐盐碱植物,nai'yan'jian'zhi'wu
耐油地面,nai'you'di'mian
内表面换热系数,nei'biao'mian'huan're'xi'shu
内城,nei'cheng
内柱,nei'zhu
能源消耗,neng'yuan'xiao'hao
粘土砖,nian'tu'zhuan
鸟瞰图,niao'kan'tu
鸟笼,niao'long
鸟浴,niao'yu
牛乳处理间,niu'ru'chu'li'jian
牛舍,niu'she
农舍,nong'she
农业生产建筑,nong'ye'sheng'chan'jian'zhu
暖色,nuan'se
暖通设计,nuan'tong'she'ji
排距,pai'ju
排气,pai'qi
排球场,pai'qiu'chang
排水工程,pai'shui'gong'cheng
排水管,pai'shui'guan
排水立管,pai'shui'li'guan
排烟口,pai'yan'kou
排烟竖井,pai'yan'shu'jing
排烟系统,pai'yan'xi'tong
攀缘植物,pan'yuan'zhi'wu
跑道,pao'dao
配水管网,pei'shui'guan'wang
盆景,pen'jing
盆景配件,pen'jing'pei'jian
盆景土,pen'jing'tu
盆景园,pen'jing'yuan
喷射制品,pen'she'zhi'pin
喷水池,pen'shui'chi
喷水管布置,pen'shui'guan'bu'zhi
喷水喷头,pen'shui'pen'tou
喷雾喷灌器,pen'wu'pen'guan'qi
喷雾自控系统,pen'wu'zi'kong'xi'tong
膨胀螺栓,peng'zhang'luo'shuan
膨胀水箱,peng'zhang'shui'xiang
皮,pi
批发商店,pi'fa'shang'dian
啤酒厂,pi'jiu'chang
皮毛加工厂,pi'mao'jia'gong'chang
片锁,pian'suo
片状材料,pian'zhuang'cai'liao
拼板门,pin'ban'men
拼花硬木地板,pin'hua'ying'mu'di'ban
贫民窟,pin'min'ku
频谱,pin'pu
屏蔽门,ping'bi'men
平衡木,ping'heng'mu
平均天空,ping'jun'tian'kong
平开门,ping'kai'men
平口接,ping'kou'jie
平面布置,ping'mian'bu'zhi
平面热源测定法,ping'mian're'yuan'ce'ding'fa
屏石,ping'shi
平台,ping'tai
平台梁,ping'tai'liang
平屋顶,ping'wu'ding
平屋面,ping'wu'mian
平行式自动扶梯,ping'xing'shi'zi'dong'fu'ti
瀑布,pu'bu
铺草皮块草坪,pu'cao'pi'kuai'cao'ping
铺地园,pu'di'yuan
汽车厂,qi'che'chang
汽车地磅,qi'che'di'bang
汽车库,qi'che'ku
汽车洗车台,qi'che'xi'che'tai
汽车影院,qi'che'ying'yuan
气候调节,qi'hou'tiao'jie
启辉器,qi'hui'qi
七架梁,qi'jia'liang
起居室,qi'ju'shi
企口接,qi'kou'jie
砌块,qi'kuai
气流动力系数,qi'liu'dong'li'xi'shu
气流组织,qi'liu'zu'zhi
气密性,qi'mi'xing
起迄点调查,qi'qi'dian'diao'cha
气温日较差,qi'wen'ri'jiao'cha
气象景观,qi'xiang'jing'guan
前轻后重法,qian'qing'hou'zhong'fa
铅球投掷区,qian'qiu'tou'zhi'qu
前厅,qian'ting
羌察,qiang'cha
戗脊,qiang'ji
墙面抹灰,qiang'mian'mo'hui
墙体开裂,qiang'ti'kai'lie
桥头绿化,qiao'tou'lv'hua
切花,qie'hua
切叶机,qie'ye'ji
禽市,qin'shi
青年中心,qing'nian'zhong'xin
清扫口,qing'sao'kou
青石,qing'shi
青瓦,qing'wa
清真食品厂,qing'zhen'shi'pin'chang
青砖,qing'zhuan
穹顶,qiong'ding
球阀,qiu'fa
球根植物,qiu'gen'zhi'wu
球根种植器,qiu'gen'zhong'zhi'qi
球门,qiu'men
秋色,qiu'se
曲尺楼梯,qu'chi'lou'ti
驱动链,qu'dong'lian
区位,qu'wei
全景,quan'jing
全景电影院,quan'jing'dian'ying'yuan
全能量系统,quan'neng'liang'xi'tong
全热换热器,quan're'huan're'qi
全日制托儿所,quan'ri'zhi'tuo'er'suo
券式,quan'shi
全寿命费用,quan'shou'ming'fei'yong
全阴天天空,quan'yin'tian'tian'kong
阙,que
雀替,que'ti
裙板,qun'ban
裙房,qun'fang
群体交互,qun'ti'jiao'hu
群植,qun'zhi
群众绿化,qun'zhong'lv'hua
燃气热水器,ran'qi're'shui'qi
绕行道路,rao'xing'dao'lu
热泵,re'beng
热处理车间,re'chu'li'che'jian
热惰性,re'duo'xing
热反应模拟,re'fan'ying'mo'ni
热反应系数,re'fan'ying'xi'shu
热风幕,re'feng'mu
热工设计,re'gong'she'ji
热固性树脂薄膜,re'gu'xing'shu'zhi'bao'mo
热管,re'guan
热流,re'liu
热流计,re'liu'ji
热媒,re'mei
热容量,re'rong'liang
热舒适通风,re'shu'shi'tong'feng
热舒适指标,re'shu'shi'zhi'biao
热水采暖系统,re'shui'cai'nuan'xi'tong
热水供应系统,re'shui'gong'ying'xi'tong
热水锅炉,re'shui'guo'lu
热源,re'yuan
人工混响,ren'gong'hun'xiang
人居,ren'ju
人均指标,ren'jun'zhi'biao
人口百岁图,ren'kou'bai'sui'tu
人口分析,ren'kou'fen'xi
人口增长率,ren'kou'zeng'zhang'lv
人类生物气象学,ren'lei'sheng'wu'qi'xiang'xue
人流量,ren'liu'liang
人体测量学,ren'ti'ce'liang'xue
人体热感觉,ren'ti're'gan'jue
人体舒适,ren'ti'shu'shi
人行道,ren'xing'dao
人因工效学,ren'yin'gong'xiao'xue
日本式盆景,ri'ben'shi'pen'jing
日常清洁卫生管理,ri'chang'qing'jie'wei'sheng'guan'li
日照,ri'zhao
日照百分率,ri'zhao'bai'fen'lv
日照计算,ri'zhao'ji'suan
日照间距,ri'zhao'jian'ju
日照时数,ri'zhao'shi'shu
容积率,rong'ji'lv
肉类加工厂,rou'lei'jia'gong'chang
乳胶漆,ru'jiao'qi
入口,ru'kou
软性覆面,ruan'xing'fu'mian
赛宾吸声系数,sai'bin'xi'sheng'xi'shu
散步区,san'bu'qu
三才升,san'cai'sheng
散点石,san'dian'shi
三架梁,san'jia'liang
散流器送风,san'liu'qi'song'feng
散射,san'she
散射辐射,san'she'fu'she
散水,san'shui
三维地貌模型,san'wei'di'mao'mo'xing
色彩,se'cai
色彩模拟,se'cai'mo'ni
色感,se'gan
森林公园,sen'lin'gong'yuan
纱窗,sha'chuang
晒场,shai'chang
山地气候,shan'di'qi'hou
闪点,shan'dian
栅顶,shan'ding
山门,shan'men
扇面墙,shan'mian'qiang
山墙,shan'qiang
扇形理论,shan'xing'li'lun
上部驱动装置,shang'bu'qu'dong'zhuang'zhi
上翻门,shang'fan'men
上金枋,shang'jin'fang
上林苑,shang'lin'yuan
上冒头,shang'mao'tou
商务办公区,shang'wu'ban'gong'qu
上行下给式,shang'xing'xia'gei'shi
商业城市,shang'ye'cheng'shi
商业街,shang'ye'jie
商业区,shang'ye'qu
烧成制品,shao'cheng'zhi'pin
烧制车间,shao'zhi'che'jian
设备管理,she'bei'guan'li
设备设计,she'bei'she'ji
社会城市,she'hui'cheng'shi
设计标高,she'ji'biao'gao
设计标准,she'ji'biao'zhun
设计费,she'ji'fei
设计概算,she'ji'gai'suan
设计规范,she'ji'gui'fan
设计任务书,she'ji'ren'wu'shu
设计室,she'ji'shi
设计协议,she'ji'xie'yi
设计义务,she'ji'yi'wu
射箭场,she'jian'chang
社区,she'qu
社区规划,she'qu'gui'hua
社区设施,she'qu'she'shi
社区生活质量,she'qu'sheng'huo'zhi'liang
蛇纹石板,she'wen'shi'ban
伸缩缝,shen'suo'feng
生产废水,sheng'chan'fei'shui
声功率,sheng'gong'lv
生活间,sheng'huo'jian
生活饮用水系统,sheng'huo'yin'yong'shui'xi'tong
升降台,sheng'jiang'tai
声能比,sheng'neng'bi
声能通量,sheng'neng'tong'liang
声耦合,sheng'ou'he
声强级,sheng'qiang'ji
声桥,sheng'qiao
声全息图,sheng'quan'xi'tu
生态平衡,sheng'tai'ping'heng
生态条件,sheng'tai'tiao'jian
生态系统,sheng'tai'xi'tong
生态灾难,sheng'tai'zai'nan
生物圈,sheng'wu'quan
生物圈保护区,sheng'wu'quan'bao'hu'qu
生物试验室,sheng'wu'shi'yan'shi
声线,sheng'xian
生育率,sheng'yu'lv
十八斗,shi'ba'dou
识别性,shi'bie'xing
石材制品,shi'cai'zhi'pin
市场,shi'chang
石凳,shi'deng
视点,shi'dian
施工监督,shi'gong'jian'du
施工组织设计,shi'gong'zu'zhi'she'ji
市际交通,shi'ji'jiao'tong
时间延迟,shi'jian'yan'chi
视角,shi'jiao
石阶,shi'jie
食具洗涤消毒间,shi'ju'xi'di'xiao'du'jian
视觉功效,shi'jue'gong'xiao
视觉作业,shi'jue'zuo'ye
石窟,shi'ku
石棉管,shi'mian'guan
石棉水泥波形瓦,shi'mian'shui'ni'bo'xing'wa
石棉制品,shi'mian'zhi'pin
室内花园,shi'nei'hua'yuan
室内计算温度,shi'nei'ji'suan'wen'du
室内排水系统,shi'nei'pai'shui'xi'tong
室内气候,shi'nei'qi'hou
室内气流,shi'nei'qi'liu
室内弱电系统,shi'nei'ruo'dian'xi'tong
室内设计,shi'nei'she'ji
室内通风系统,shi'nei'tong'feng'xi'tong
市区,shi'qu
市容,shi'rong
实施规划,shi'shi'gui'hua
湿式自动喷水灭火系统,shi'shi'zi'dong'pen'shui'mie'huo'xi'tong
市树,shi'shu
实体,shi'ti
实体规划,shi'ti'gui'hua
实体墙,shi'ti'qiang
石亭,shi'ting
室外工程,shi'wai'gong'cheng
室外楼梯,shi'wai'lou'ti
石象生,shi'xiang'sheng
实验工厂,shi'yan'gong'chang
实验教室,shi'yan'jiao'shi
实验剧场,shi'yan'ju'chang
试验楼,shi'yan'lou
试验台,shi'yan'tai
使用后评估,shi'yong'hou'ping'gu
使用面积,shi'yong'mian'ji
使用期费用,shi'yong'qi'fei'yong
使用限制权,shi'yong'xian'zhi'quan
实用性,shi'yong'xing
使用性能,shi'yong'xing'neng
市域规划,shi'yu'gui'hua
拾振器,shi'zhen'qi
市政厅,shi'zheng'ting
市政中心,shi'zheng'zhong'xin
时钟花坛,shi'zhong'hua'tan
市中心商业区,shi'zhong'xin'shang'ye'qu
示踪气体测定仪,shi'zong'qi'ti'ce'ding'yi
手动火灾报警按钮,shou'dong'huo'zai'bao'jing'an'niu
收发室,shou'fa'shi
手法主义,shou'fa'zhu'yi
售货区,shou'huo'qu
授精配种室,shou'jing'pei'zhong'shi
狩猎场,shou'lie'chang
受迫对流,shou'po'dui'liu
手术部,shou'shu'bu
手术洗涤室,shou'shu'xi'di'shi
手术消毒室,shou'shu'xiao'du'shi
手提式灯具,shou'ti'shi'deng'ju
兽医站,shou'yi'zhan
手纸盒,shou'zhi'he
树池保护格栅,shu'chi'bao'hu'ge'shan
树池坐凳矮墙,shu'chi'zuo'deng'ai'qiang
树冠覆盖面,shu'guan'fu'gai'mian
树冠线,shu'guan'xian
书库,shu'ku
树棚,shu'peng
疏散出口,shu'san'chu'kou
疏散楼梯,shu'san'lou'ti
疏散用地,shu'san'yong'di
熟食店,shu'shi'dian
疏水器,shu'shui'qi
输送小车,shu'song'xiao'che
书写台,shu'xie'tai
树种规划,shu'zhong'gui'hua
刷白,shua'bai
衰变率,shuai'bian'lv
摔跤场地,shuai'jiao'chang'di
双玻璃窗,shuang'bo'li'chuang
双床间,shuang'chuang'jian
双杠,shuang'gang
双扇门,shuang'shan'men
双外廊布局,shuang'wai'lang'bu'ju
双走道布局,shuang'zou'dao'bu'ju
水泵房,shui'beng'fang
水泵接合器,shui'beng'jie'he'qi
水彩渲染,shui'cai'xuan'ran
水廊,shui'lang
水力模拟,shui'li'mo'ni
水帘洞,shui'lian'dong
水龙头,shui'long'tou
水路客运站,shui'lu'ke'yun'zhan
水落斗,shui'luo'dou
水面,shui'mian
水幕,shui'mu
水泥系涂料,shui'ni'xi'tu'liao
水生植物,shui'sheng'zhi'wu
水生植物园,shui'sheng'zhi'wu'yuan
水石盆景,shui'shi'pen'jing
水塘,shui'tang
水土保持塑料网,shui'tu'bao'chi'su'liao'wang
水污染,shui'wu'ran
水箱,shui'xiang
水消毒,shui'xiao'du
水榭,shui'xie
水域,shui'yu
水源地,shui'yuan'di
水源选择,shui'yuan'xuan'ze
水蒸气分压力,shui'zheng'qi'fen'ya'li
水质标准,shui'zhi'biao'zhun
水族馆,shui'zu'guan
顺面,shun'mian
寺,si
四阿,si'a
四架梁,si'jia'liang
私家园林,si'jia'yuan'lin
饲料加工间,si'liao'jia'gong'jian
四扇式转门,si'shan'shi'zhuan'men
四掾袱,si'yuan'fu
松柏园,song'bai'yuan
松柏植物,song'bai'zhi'wu
松土除草机,song'tu'chu'cao'ji
宿根园,su'gen'yuan
塑料厂,su'liao'chang
塑料大棚,su'liao'da'peng
塑料贴面板,su'liao'tie'mian'ban
宿舍,su'she
苏式彩画,su'shi'cai'hua
苏州园林,su'zhou'yuan'lin
随机振动,sui'ji'zhen'dong
碎污机,sui'wu'ji
踏,ta
榻板,ta'ban
踏步,ta'bu
踏道,ta'dao
塔楼,ta'lou
台,tai
台唇,tai'chun
抬梁式构架,tai'liang'shi'gou'jia
太阳辐射吸收系数,tai'yang'fu'she'xi'shou'xi'shu
太阳辐照度,tai'yang'fu'zhao'du
太阳能集热器,tai'yang'neng'ji're'qi
台座,tai'zuo
弹簧地板,tan'huang'di'ban
弹簧铰链,tan'huang'jiao'lian
陶土制品,tao'tu'zhi'pin
特隆布墙,te'long'bu'qiang
特殊用地,te'shu'yong'di
体操台,ti'cao'tai
梯段,ti'duan
踢脚,ti'jiao
体量,ti'liang
体育场,ti'yu'chang
体育馆,ti'yu'guan
体育运动区,ti'yu'yun'dong'qu
天池风景区,tian'chi'feng'jing'qu
天窗,tian'chuang
天花,tian'hua
天花反射板,tian'hua'fan'she'ban
天际线,tian'ji'xian
天空光,tian'kong'guang
天平室,tian'ping'shi
天然博物馆,tian'ran'bo'wu'guan
天然材料,tian'ran'cai'liao
天然气系统,tian'ran'qi'xi'tong
天文台,tian'wen'tai
调和漆,tiao'he'qi
挑尖梁,tiao'jian'liang
调料库,tiao'liao'ku
跳马,tiao'ma
跳伞塔,tiao'san'ta
条石,tiao'shi
挑檐石,tiao'yan'shi
跳远场地,tiao'yuan'chang'di
贴金,tie'jin
厅,ting
停车换乘,ting'che'huan'cheng
停机坪,ting'ji'ping
听觉疲劳,ting'jue'pi'lao
亭桥,ting'qiao
庭荫树,ting'yin'shu
听阈,ting'yu
庭院花园,ting'yuan'hua'yuan
庭院式住宅,ting'yuan'shi'zhu'zhai
筒仓,tong'cang
筒灯,tong'deng
通风道,tong'feng'dao
通风栅门,tong'feng'zha'men
筒拱,tong'gong
筒光,tong'guang
通路,tong'lu
通气孔,tong'qi'kong
同声传译控制室,tong'sheng'chuan'yi'kong'zhi'shi
筒瓦,tong'wa
通信建筑,tong'xin'jian'zhu
通信系统设计,tong'xin'xi'tong'she'ji
桐油,tong'you
透射率,tou'she'lv
透射系数,tou'she'xi'shu
投资额,tou'zi'e
投资决策,tou'zi'jue'ce
图案矮篱,tu'an'ai'li
凸出舞台,tu'chu'wu'tai
凸窗,tu'chuang
图档室,tu'dang'shi
土地出让,tu'di'chu'rang
土地划拨,tu'di'hua'bo
土地利用规划,tu'di'li'yong'gui'hua
土地批租,tu'di'pi'zu
土地区划管理,tu'di'qu'hua'guan'li
土地所有权,tu'di'suo'you'quan
土地细分,tu'di'xi'fen
土方平衡,tu'fang'ping'heng
图框,tu'kuang
土球移植,tu'qiu'yi'zhi
徒手素描,tu'shou'su'miao
图书馆,tu'shu'guan
土质条件,tu'zhi'tiao'jian
土筑房,tu'zhu'fang
凸砖层,tu'zhuan'ceng
推板,tui'ban
推拉门,tui'la'men
退晕,tui'yun
驼峰,tuo'feng
托斯卡柱式,tuo'si'ka'zhu'shi
椭圆抛物面壳顶,tuo'yuan'pao'wu'mian'ke'ding
椭圆形壳顶,tuo'yuan'xing'ke'ding
托座,tuo'zuo
瓦楞屋顶,wa'leng'wu'ding
外城,wai'cheng
外开窗,wai'kai'chuang
外开门,wai'kai'men
外廊式公寓,wai'lang'shi'gong'yu
外墙,wai'qiang
外墙板,wai'qiang'ban
外墙涂料,wai'qiang'tu'liao
外延长度,wai'yan'chang'du
外檐装修,wai'yan'zhuang'xiu
万拱,wan'gong
碗柜,wan'gui
玩具厂,wan'ju'chang
万神庙,wan'shen'miao
望板,wang'ban
望柱头,wang'zhu'tou
网状拱,wang'zhuang'gong
微波屏蔽门,wei'bo'ping'bi'men
微穿孔吸声结构,wei'chuan'kong'xi'sheng'jie'gou
维护费用,wei'hu'fei'yong
围护结构,wei'hu'jie'gou
维护系数,wei'hu'xi'shu
尾景,wei'jing
微气候,wei'qi'hou
围墙,wei'qiang
卫生间,wei'sheng'jian
卫生洁具,wei'sheng'jie'ju
微缩图书阅览室,wei'suo'tu'shu'yue'lan'shi
卫星城镇,wei'xing'cheng'zhen
卫星通信地面站,wei'xing'tong'xin'di'mian'zhan
温带气候,wen'dai'qi'hou
稳定传热,wen'ding'chuan're
温度报警钟,wen'du'bao'jing'zhong
温度梯度,wen'du'ti'du
温度振辐,wen'du'zhen'fu
吻合效应,wen'he'xiao'ying
文化公园,wen'hua'gong'yuan
文化活动区,wen'hua'huo'dong'qu
文化名城,wen'hua'ming'cheng
文具用品店,wen'ju'yong'pin'dian
纹理统一法,wen'li'tong'yi'fa
文脉性,wen'mai'xing
温泉风景区,wen'quan'feng'jing'qu
温室气候控制器,wen'shi'qi'hou'kong'zhi'qi
温室设备,wen'shi'she'bei
文献资料阅览室,wen'xian'zi'liao'yue'lan'shi
舞池,wu'chi
屋顶,wu'ding
屋顶风机,wu'ding'feng'ji
屋顶花园,wu'ding'hua'yuan
屋顶织布,wu'ding'zhi'bu
无轨电车,wu'gui'dian'che
无规噪声,wu'gui'zao'sheng
雾害,wu'hai
屋脊,wu'ji
屋基石,wu'ji'shi
五金,wu'jin
无菌室,wu'jun'shi
物理试验室,wu'li'shi'yan'shi
屋面,wu'mian
屋面上人孔,wu'mian'shang'ren'kong
屋前空地,wu'qian'kong'di
污染系数,wu'ran'xi'shu
武术场地,wu'shu'chang'di
污水池,wu'shui'chi
舞台灯光,wu'tai'deng'guang
舞台吊杆,wu'tai'diao'gan
屋檐,wu'yan
五叶饰,wu'ye'shi
无障碍设计,wu'zhang'ai'she'ji
西班牙式园林,xi'ban'ya'shi'yuan'lin
西餐厅,xi'can'ting
吸尘系统,xi'chen'xi'tong
洗池,xi'chi
西方古典园林,xi'fang'gu'dian'yuan'lin
吸附式净化,xi'fu'shi'jing'hua
洗煤厂,xi'mei'chang
洗面器,xi'mian'qi
洗染店,xi'ran'dian
吸声,xi'sheng
吸声材料,xi'sheng'cai'liao
吸收玻璃,xi'shou'bo'li
洗手间,xi'shou'jian
吸收率,xi'shou'lv
吸水水池,xi'shui'shui'chi
吸引圈,xi'yin'quan
下部结构,xia'bu'jie'gou
下沉式天窗,xia'chen'shi'tian'chuang
下枋,xia'fang
下冒头,xia'mao'tou
下袅,xia'niao
下悬窗,xia'xuan'chuang
现代主义,xian'dai'zhu'yi
线脚,xian'jiao
显热负荷,xian're'fu'he
仙人,xian'ren
显色性,xian'se'xing
纤维材料,xian'wei'cai'liao
纤维育苗器,xian'wei'yu'miao'qi
线型火灾探测器,xian'xing'huo'zai'tan'ce'qi
现值,xian'zhi
闲置地,xian'zhi'di
巷,xiang
乡村生活模式,xiang'cun'sheng'huo'mo'shi
响度,xiang'du
相对湿度,xiang'dui'shi'du
厢拱,xiang'gong
