阿兄中举与你何干,a'xiong'zhong'ju'yu'ni'he'gan
食盐多过你食米屎姑姨棵抢舌根,shi'yan'duo'guo'ni'shi'mi'shi'gu'yi'ke'qiang'she'gen
食伊个水卖干,shi'yi'ge'shui'mai'gan
食在先欠在后,shi'zai'xian'qian'zai'hou
食斋补积恶,shi'zhai'bu'ji'e
拾着条索缀只猪拾着块姜杀只鹅,shi'zhe'tiao'suo'zhui'zhi'zhu'shi'zhe'kuai'jiang'sha'zhi'e
十嘴九脚仓,shi'zui'jiu'jiao'cang
使嘴娶人畏屎虫掷死人,shi'zui'qu'ren'wei'shi'chong'zhi'si'ren
瘦骨落肉,shou'gu'luo'rou
手心内写个火字,shou'xin'nei'xie'ge'huo'zi
书头戏尾,shu'tou'xi'wei
书无溜爬上树双眉皱做一把,shu'wu'liu'pa'shang'shu'shuang'mei'zhou'zuo'yi'ba
戍子弦郭忠棋,shu'zi'xian'guo'zhong'qi
双目藏在裤底,shuang'mu'cang'zai'ku'di
双目嘲嘲摄,shuang'mu'chao'chao'she
双目光到枪,shuang'mu'guang'dao'qiang
双目看到卖合瞇,shuang'mu'kan'dao'mai'he'mi
双目叻叻青,shuang'mu'le'le'qing
双目乞屎糊瞇,shuang'mu'qi'shi'hu'mi
双目生在头壳尾水鬼地卷草席,shuang'mu'sheng'zai'tou'ke'wei'shui'gui'di'juan'cao'xi
水流破布,shui'liu'po'bu
水淹金山寺死后卖臭腥,shui'yan'jin'shan'si'si'hou'mai'chou'xing
水作嫁妆莫稀奇,shui'zuo'jia'zhuang'mo'xi'qi
饲到鸡大老爷蛀,si'dao'ji'da'lao'ye'zhu
死蜂活刺,si'feng'huo'ci
四个扛棺材来掉三,si'ge'kang'guan'cai'lai'diao'san
死鬼无人情头叫头行,si'gui'wu'ren'qing'tou'jiao'tou'xing
死后心凉凉,si'hou'xin'liang'liang
四季好用,si'ji'hao'yong
死落一派好运,si'luo'yi'pai'hao'yun
死糜粥,si'mi'zhou
饲牛家伙浮饲鸟家伙了,si'niu'jia'huo'fu'si'niao'jia'huo'le
死人无计张,si'ren'wu'ji'zhang
死人亚到活,si'ren'ya'dao'huo
四乡六里,si'xiang'liu'li
死猪不怕烫,si'zhu'bu'pa'tang
四字,si'zi
松鱼头掼去熬,song'yu'tou'guan'qu'ao
粟未到三河住在浮桥甲斗,su'wei'dao'san'he'zhu'zai'fu'qiao'jia'dou
踏涂损涂迹,ta'tu'sun'tu'ji
抬赢落茂,tai'ying'luo'mao
唐山老爷贤教使田螺赶人罗跳棕,tang'shan'lao'ye'xian'jiao'shi'tian'luo'gan'ren'luo'tiao'zong
唐山塘塘,tang'shan'tang'tang
讨是价还是钱,tao'shi'jia'hai'shi'qian
田螺屈死一肚仔,tian'luo'qu'si'yi'du'zai
田螺为仔死,tian'luo'wei'zai'si
添汤落汁,tian'tang'luo'zhi
条命无二钱,tiao'ming'wu'er'qian
听到耳塞,ting'dao'er'sai
听到鸡母皮浮唔敢请伊个戏,ting'dao'ji'mu'pi'fu'wu'gan'qing'yi'ge'xi
听香鼻臭,ting'xiang'bi'chou
同船同命,tong'chuan'tong'ming
同鬼鼠母相争雅,tong'gui'shu'mu'xiang'zheng'ya
筒米欠人九碗粥,tong'mi'qian'ren'jiu'wan'zhou
同暹罗沫到猪槽铜锣拍到十三省,tong'xian'luo'mo'dao'zhu'cao'tong'luo'pai'dao'shi'san'sheng
同有撰到无生仔无头毛,tong'you'zhuan'dao'wu'sheng'zai'wu'tou'mao
头烧额热,tou'shao'e're
头双尾错,tou'shuang'wei'cuo
土地爷看做士他爹,tu'di'ye'kan'zuo'shi'ta'die
涂脚戏,tu'jiao'xi
吐浓吐血,tu'nong'tu'xie
兔肉食无存撮兔屎,tu'rou'shi'wu'cun'cuo'tu'shi
吐无句实,tu'wu'ju'shi
吐乌吐白,tu'wu'tu'bai
吐有吐无,tu'you'tu'wu
兔仔唔食窝边草,tu'zai'wu'shi'wo'bian'cao
土直硬性,tu'zhi'ying'xing
退浏小生,tui'liu'xiao'sheng
拖三延四,tuo'san'yan'si
拖生磨旦做透夜,tuo'sheng'mo'dan'zuo'tou'ye
歪嘴裂目,wai'zui'lie'mu
王承恩坠脚畏死勿伴灵,wang'cheng'en'zhui'jiao'wei'si'wu'ban'ling
望断肝肠确苦待,wang'duan'gan'chang'que'ku'dai
望酸项骨,wang'suan'xiang'gu
望星盼月,wang'xing'pan'yue
未放屎先圈狗未死先镇棺材位,wei'fang'shi'xian'quan'gou'wei'si'xian'zhen'guan'cai'wei
尉衰人乡巷,wei'shuai'ren'xiang'xiang
未死先臭,wei'si'xian'chou
魏延碰倒孔明灯,wei'yan'peng'dao'kong'ming'deng
未有赤寮先有余,wei'you'chi'liao'xian'you'yu
汶过人个脚伯下,wen'guo'ren'ge'jiao'bo'xia
无参无详,wu'can'wu'xiang
五仓皱做一把,wu'cang'zhou'zuo'yi'ba
无肠无肚,wu'chang'wu'du
无丑唔成戏,wu'chou'wu'cheng'xi
无出无入,wu'chu'wu'ru
无打哇,wu'da'wa
无大无细,wu'da'wu'xi
无搭无缀,wu'da'wu'zhui
无道无理,wu'dao'wu'li
无灯无火,wu'deng'wu'huo
无鼎无灶,wu'ding'wu'zao
无定无着,wu'ding'wu'zhuo
无定着,wu'ding'zhe
唔对开伯个数路戏仔老服饰旧,wu'dui'kai'bo'ge'shu'lu'xi'zai'lao'fu'shi'jiu
无好猴大头,wu'hao'hou'da'tou
无魂无影,wu'hun'wu'ying
无祸惹鸡怠,wu'huo're'ji'dai
无祸惹鸡殆,wu'huo're'ji'dai
无架无势,wu'jia'wu'shi
无交无代,wu'jiao'wu'dai
五尽六了,wu'jin'liu'le
勿喀离谱,wu'ka'li'pu
无款无套,wu'kuan'wu'tao
物来物去,wu'lai'wu'qu
无凉无热,wu'liang'wu're
无路用,wu'lu'yong
乌面净人人杏无能为靠请雷,wu'mian'jing'ren'ren'xing'wu'neng'wei'kao'qing'lei
无切无要,wu'qie'wu'yao
乌青革血,wu'qing'ge'xue
乌青激血,wu'qing'ji'xue
无沙无稗,wu'sha'wu'bai
无沙无拉唔好唔孬,wu'sha'wu'la'wu'hao'wu'nao
无神无鬼,wu'shen'wu'gui
无师赤着青盲茂,wu'shi'chi'zhe'qing'mang'mao
无势头,wu'shi'tou
无屎无尿,wu'shi'wu'niao
无世无情,wu'shi'wu'qing
无水无汁,wu'shui'wu'zhi
乌天地暗,wu'tian'di'an
无偷梭闲罗罗,wu'tou'suo'xian'luo'luo
无乌无白,wu'wu'wu'bai
无下无落,wu'xia'wu'luo
乌咸汁苦,wu'xian'zhi'ku
无消无息,wu'xiao'wu'xi
无心打和偷干钱,wu'xin'da'he'tou'gan'qian
无心无事,wu'xin'wu'shi
无夜无日,wu'ye'wu'ri
无影无迹,wu'ying'wu'ji
无油无济,wu'you'wu'ji
无遮无栅,wu'zhe'wu'shan
唔知人,wu'zhi'ren
五字,wu'zi
戏布袋,xi'bu'dai
戏雕刀,xi'diao'dao
戏令如军令戏做双棚窗,xi'ling'ru'jun'ling'xi'zuo'shuang'peng'chuang
戏路览,xi'lu'lan
戏棚顶做皇帝,xi'peng'ding'zuo'huang'di
细数怕算盘,xi'shu'pa'suan'pan
嘻嘻筅,xi'xi'xian
戏歇棚拆人走茶凉,xi'xie'peng'chai'ren'zou'cha'liang
戏仔生雅外块人,xi'zai'sheng'ya'wai'kuai'ren
下寨阿兄不用说,xia'zhai'a'xiong'bu'yong'shuo
咸水国语,xian'shui'guo'yu
现死不如跋赊死笑面虎暗食人,xian'si'bu'ru'ba'she'si'xiao'mian'hu'an'shi'ren
先小人后君子,xian'xiao'ren'hou'jun'zi
想富穷到,xiang'fu'qiong'dao
相请无论,xiang'qing'wu'lun
小到仲仲戏,xiao'dao'zhong'zhong'xi
小狗吠东风,xiao'gou'fei'dong'feng
小鬼仲戏,xiao'gui'zhong'xi
枭过陈世美,xiao'guo'chen'shi'mei
枭过和尚,xiao'guo'he'shang
小脚小手,xiao'jiao'xiao'shou
小拉做镜,xiao'la'zuo'jing
小啰搬田涂沫,xiao'luo'ban'tian'tu'mo
枵人目孔大,xiao'ren'mu'kong'da
小神浮,xiao'shen'fu
小神经,xiao'shen'jing
小神小独,xiao'shen'xiao'du
笑死程咬金哭死程铁牛,xiao'si'cheng'yao'jin'ku'si'cheng'tie'niu
笑笑龙银换纸票,xiao'xiao'long'yin'huan'zhi'piao
心肠火热,xin'chang'huo're
心肠孬到鬼唔掠,xin'chang'nao'dao'gui'wu'lue
心肝磅磅钟心肝抱一畔,xin'gan'bang'bang'zhong'xin'gan'bao'yi'pan
心肝乌过墨,xin'gan'wu'guo'mo
心惊脉跳,xin'jing'mai'tiao
心青梦影,xin'qing'meng'ying
心头唔定,xin'tou'wu'ding
心无邪微老爷,xin'wu'xie'wei'lao'ye
心想拉做好,xin'xiang'la'zuo'hao
心胸狭细,xin'xiong'xia'xi
行船走马三分命,xing'chuan'zou'ma'san'fen'ming
杏到死绝,xing'dao'si'jue
凶过莱芜打紫菜凶拳难打笑面人,xiong'guo'lai'wu'da'zi'cai'xiong'quan'nan'da'xiao'mian'ren
胸怀阔达,xiong'huai'kuo'da
选精择白,xuan'jing'ze'bai
血汗钱银,xue'han'qian'yin
血落下格,xue'luo'xia'ge
学嘴学舌,xue'zui'xue'she
鸭龟行滑路,ya'gui'xing'hua'lu
雅过纱灯,ya'guo'sha'deng
鸭仔听雷,ya'zai'ting'lei
言多必失,yan'duo'bi'shi
盐罐生虫,yan'guan'sheng'chong
严气正势卖惊皇帝,yan'qi'zheng'shi'mai'jing'huang'di
阳面正势,yang'mian'zheng'shi
羊屎看做乌豆一顿饱百顿饱,yang'shi'kan'zuo'wu'dou'yi'dun'bao'bai'dun'bao
羊尾短短遮着羊胶仓住好,yang'wei'duan'duan'zhe'zhe'yang'jiao'cang'zhu'hao
咬爆齿,yao'bao'chi
咬到嘴头热,yao'dao'zui'tou're
咬屎糖亚,yao'shi'tang'ya
一槌扣双沫,yi'chui'kou'shuang'mo
一槌扣着鼓镇中,yi'chui'kou'zhe'gu'zhen'zhong
一对京城会一看目就涩,yi'dui'jing'cheng'hui'yi'kan'mu'jiu'se
一赴担对坟块去,yi'fu'dan'dui'fen'kuai'qu
一句秃驴骂通庵,yi'ju'tu'lv'ma'tong'an
一理通百理彻一锣一鼓响烧投,yi'li'tong'bai'li'che'yi'luo'yi'gu'xiang'shao'tou
一落当三生,yi'luo'dang'san'sheng
一农败百商,yi'nong'bai'bai'shang
一片帆去到实叻埠,yi'pian'fan'qu'dao'shi'le'bu
一片做墙二面光,yi'pian'zuo'qiang'er'mian'guang
一人锯柴二人搬,yi'ren'ju'chai'er'ren'ban
一人做工课百人旦浪话,yi'ren'zuo'gong'ke'bai'ren'dan'lang'hua
一日辛苦百日闲,yi'ri'xin'ku'bai'ri'xian
一声喝拍漉过屎一世做官九世绝,yi'sheng'he'pai'lu'guo'shi'yi'shi'zuo'guan'jiu'shi'jue
一省无天,yi'sheng'wu'tian
一世做官三世穷,yi'shi'zuo'guan'san'shi'qiong
一死如做死,yi'si'ru'zuo'si
一死一偿卖死无样张,yi'si'yi'chang'mai'si'wu'yang'zhang
一下担出无收回,yi'xia'dan'chu'wu'shou'hui
一下衰遇着阿凤科,yi'xia'shuai'yu'zhe'a'feng'ke
一笑三败,yi'xiao'san'bai
一样生人百样死,yi'yang'sheng'ren'bai'yang'si
一字入公门九牛拖唔出,yi'zi'ru'gong'men'jiu'niu'tuo'wu'chu
银锭香烛,yin'ding'xiang'zhu
硬了无和,ying'le'wu'he
硬马硬势,ying'ma'ying'shi
有担当做无,you'dan'dang'zuo'wu
有担有无担无,you'dan'you'wu'dan'wu
有好面膊无好肚腹,you'hao'mian'bo'wu'hao'du'fu
油尽灯光,you'jin'deng'guang
又哭又笑猪母漏屎,you'ku'you'xiao'zhu'mu'lou'shi
有来无去,you'lai'wu'qu
有量有福勿罗斋,you'liang'you'fu'wu'luo'zhai
油麻无枝鸟唔歇油嘴滑舌担双头,you'ma'wu'zhi'niao'wu'xie'you'zui'hua'she'dan'shuang'tou
有目哭无目汁,you'mu'ku'wu'mu'zhi
有气无块使,you'qi'wu'kuai'shi
有钱买无柴秤星,you'qian'mai'wu'chai'cheng'xing
有钱者生无钱者死,you'qian'zhe'sheng'wu'qian'zhe'si
有切无要,you'qie'wu'yao
有人救刘永无人救三娘,you'ren'jiu'liu'yong'wu'ren'jiu'san'niang
有天无日头鱼死目唔夹,you'tian'wu'ri'tou'yu'si'mu'wu'jia
有相无干,you'xiang'wu'gan
鱼灵鸟精,yu'ling'niao'jing
愚面植心,yu'mian'zhi'xin
语轻勿进言,yu'qing'wu'jin'yan
欲死无命,yu'si'wu'ming
鱼消肉散,yu'xiao'rou'san
冤家罗债,yuan'jia'luo'zhai
仔儿新妇,zai'er'xin'fu
宰相肚内好撑船正月初一借红缨,zai'xiang'du'nei'hao'cheng'chuan'zheng'yue'chu'yi'jie'hong'ying
闸话脚,zha'hua'jiao
斋过和尚庵,zhai'guo'he'shang'an
张古董拍虻,zhang'gu'dong'pai'meng
张士贵冒功,zhang'shi'gui'mao'gong
张样做相,zhang'yang'zuo'xiang
招哥引弟,zhao'ge'yin'di
照书行事,zhao'shu'xing'shi
着切着热,zhe'qie'zhe're
针无双头利,zhen'wu'shuang'tou'li
正字母生白字仔,zheng'zi'mu'sheng'bai'zi'zai
枝辫驴搭壁枝辫掠直辽,zhi'bian'lv'da'bi'zhi'bian'lue'zhi'liao
指东瓜骂胡瓢猪仔好卖圩圩来,zhi'dong'gua'ma'hu'piao'zhu'zai'hao'mai'xu'xu'lai
直钩钓文王,zhi'gou'diao'wen'wang
只狗斗禾头嘴尖舌仔利,zhi'gou'dou'he'tou'zui'jian'she'zai'li
枝咕鸟踏,zhi'gu'niao'ta
雉鸡姐姐狐狸细妹,zhi'ji'jie'jie'hu'li'xi'mei
稚鸡植鹅,zhi'ji'zhi'e
知死唔知走,zhi'si'wu'zhi'zou
枝尾翘到好晾衫,zhi'wei'qiao'dao'hao'liang'shan
纸影囊旦做抽箱,zhi'ying'nang'dan'zuo'chou'xiang
知走唔知死,zhi'zou'wu'zhi'si
枝嘴好刈纸,zhi'zui'hao'yi'zhi
枝嘴利过刈纸刀,zhi'zui'li'guo'yi'zhi'dao
枝嘴攀倒返,zhi'zui'pan'dao'fan
咒骂咒泼,zhou'ma'zhou'po
咒神雨纸,zhou'shen'yu'zhi
咒仔骂儿钟碗当碟,zhou'zai'ma'er'zhong'wan'dang'die
猪头五牲,zhu'tou'wu'sheng
专点中营潘仁美,zhuan'dian'zhong'ying'pan'ren'mei
装面假底,zhuang'mian'jia'di
自报家门,zi'bao'jia'men
嘴白面青好冤家,zui'bai'mian'qing'hao'yuan'jia
嘴鼻家,zui'bi'jia
嘴看见目看见,zui'kan'jian'mu'kan'jian
嘴灵嘴精,zui'ling'zui'jing
嘴名名,zui'ming'ming
嘴前话,zui'qian'hua
嘴甜舌滑,zui'tian'she'hua
嘴甜心内苦,zui'tian'xin'nei'ku
嘴笑鼻笑,zui'xiao'bi'xiao
嘴一块目一块,zui'yi'kuai'mu'yi'kuai
坐哩担人行哩分人担,zuo'li'dan'ren'xing'li'fen'ren'dan
坐无落份,zuo'wu'luo'fen
做戏做世情六字出门无六月天,zuo'xi'zuo'shi'qing'liu'zi'chu'men'wu'liu'yue'tian
坐在青提被顶七字阿斗舍坐食定,zuo'zai'qing'ti'bei'ding'qi'zi'a'dou'she'zuo'shi'ding
做贼做套,zuo'zei'zuo'tao
