阿部丰,a'bu'feng
蜡做的翅膀,la'zuo'de'chi'bang
来访者留下的秘密,lai'fang'zhe'liu'xia'de'mi'mi
来自阿笠的挑战,lai'zi'a'li'de'tiao'zhan
来自过去的子弹,lai'zi'guo'qu'de'zi'dan
来自黄泉的杀人者,lai'zi'huang'quan'de'sha'ren'zhe
来自甲子园恶魔的挑战,lai'zi'jia'zi'yuan'e'mo'de'tiao'zhan
来自小丑的图片邮件,lai'zi'xiao'chou'de'tu'pian'you'jian
来自芝加哥的男子上集,lai'zi'zhi'jia'ge'de'nan'zi'shang'ji
来自芝加哥的男子下集,lai'zi'zhi'jia'ge'de'nan'zi'xia'ji
兰的推理,lan'de'tui'li
栏杆损坏的瞭望台,lan'gan'sun'huai'de'liao'wang'tai
蓝色古堡搜索事件上集,lan'se'gu'bao'sou'suo'shi'jian'shang'ji
蓝色古堡搜索事件下集,lan'se'gu'bao'sou'suo'shi'jian'xia'ji
浪花连续杀人事件,lang'hua'lian'xu'sha'ren'shi'jian
狼人之影,lang'ren'zhi'ying
浪速之剑士,lang'su'zhi'jian'shi
离别美酒杀人事件,li'bie'mei'jiu'sha'ren'shi'jian
立川千鹤,li'chuan'qian'he
黎明,li'ming
立木文彦,li'mu'wen'yan
栗山小姐,li'shan'xiao'jie
力学和不在场证明,li'xue'he'bu'zai'chang'zheng'ming
恋人是春天的幻觉,lian'ren'shi'chun'tian'de'huan'jue
列车手法杀人事件,lie'che'shou'fa'sha'ren'shi'jian
猎物上钩了,lie'wu'shang'gou'le
林原惠美,lin'yuan'hui'mei
临终的啊,lin'zhong'de'a
领结型变声器,ling'jie'xing'bian'sheng'qi
铃木绫子,ling'mu'ling'zi
铃木朋子,ling'mu'peng'zi
铃木史郎,ling'mu'shi'lang
铃木园子,ling'mu'yuan'zi
令人叹息的赶海,ling'ren'tan'xi'de'gan'hai
令人兴奋的采访,ling'ren'xing'fen'de'cai'fang
另一位名侦探,ling'yi'wei'ming'zhen'tan
流过流水亭的杀机,liu'guo'liu'shui'ting'de'sha'ji
流浪画家杀人事件,liu'lang'hua'jia'sha'ren'shi'jian
六面体的信息,liu'mian'ti'de'xin'xi
六月新娘杀人事件,liu'yue'xin'niang'sha'ren'shi'jian
龙神山坠落事件,long'shen'shan'zhui'luo'shi'jian
露出马脚,lou'chu'ma'jiao
录象带中的证据,lu'xiang'dai'zhong'de'zheng'ju
鹿野修二,lu'ye'xiu'er
鹭沼升,lu'zhao'sheng
落日,luo'ri
律师妃英理的证言后篇,lv'shi'fei'ying'li'de'zheng'yan'hou'pian
律师妃英理的证言前篇,lv'shi'fei'ying'li'de'zheng'yan'qian'pian
旅行戏团杀人事件上集,lv'xing'xi'tuan'sha'ren'shi'jian'shang'ji
旅行戏团杀人事件下集,lv'xing'xi'tuan'sha'ren'shi'jian'xia'ji
妈妈是对手,ma'ma'shi'dui'shou
麻生圭二,ma'sheng'gui'er
埋藏在内心深处,mai'cang'zai'nei'xin'shen'chu
买卖繁盛的秘密,mai'mai'fan'sheng'de'mi'mi
满月之夜与黑色宴席的陷阱,man'yue'zhi'ye'yu'hei'se'yan'xi'de'xian'jing
毛利兰,mao'li'lan
毛利小五郎,mao'li'xiao'wu'lang
毛利小五郎的冒充者,mao'li'xiao'wu'lang'de'mao'chong'zhe
毛利小五郎的冒充者上集,mao'li'xiao'wu'lang'de'mao'chong'zhe'shang'ji
毛利小五郎的冒充者下集,mao'li'xiao'wu'lang'de'mao'chong'zhe'xia'ji
毛利英理,mao'li'ying'li
冒牌货的真相,mao'pai'huo'de'zhen'xiang
冒牌货登场,mao'pai'huo'deng'chang
冒险复活,mao'xian'fu'huo
美术馆杀人事件,mei'shu'guan'sha'ren'shi'jian
没有提示,mei'you'ti'shi
每月一份礼物威胁事件,mei'yue'yi'fen'li'wu'wei'xie'shi'jian
美中不足的烧伤,mei'zhong'bu'zu'de'shao'shang
梦中之星,meng'zhong'zhi'xing
蜜蜂鸡尾酒杀人事件,mi'feng'ji'wei'jiu'sha'ren'shi'jian
迷宫的入口巨大神像的愤怒,mi'gong'de'ru'kou'ju'da'shen'xiang'de'fen'nu
迷宫的十字路口,mi'gong'de'shi'zi'lu'kou
迷宫的阴暗上集,mi'gong'de'yin'an'shang'ji
迷宫的阴暗下集,mi'gong'de'yin'an'xia'ji
米花町阁楼之家,mi'hua'ding'ge'lou'zhi'jia
米花之狼杀人事件,mi'hua'zhi'lang'sha'ren'shi'jian
秘密的妃英理,mi'mi'de'fei'ying'li
秘密的家访,mi'mi'de'jia'fang
秘密的上学之路,mi'mi'de'shang'xue'zhi'lu
秘杀,mi'sha
密室证明,mi'shi'zheng'ming
迷惘森林中的光彦上集,mi'wang'sen'lin'zhong'de'guang'yan'shang'ji
迷惘森林中的光彦下集,mi'wang'sen'lin'zhong'de'guang'yan'xia'ji
迷惘之心,mi'wang'zhi'xin
谜样的身长相差厘米,mi'yang'de'shen'chang'xiang'cha'li'mi
谜样的讯息狙击事件,mi'yang'de'xun'xi'ju'ji'shi'jian
谜一样的缆车,mi'yi'yang'de'lan'che
冥间使者,ming'jian'shi'zhe
明朗的记忆,ming'lang'de'ji'yi
名陶艺家杀人事件上集,ming'tao'yi'jia'sha'ren'shi'jian'shang'ji
名陶艺家杀人事件下集,ming'tao'yi'jia'sha'ren'shi'jian'xia'ji
名嫌疑犯,ming'xian'yi'fan
命样的预言,ming'yang'de'yu'yan
命中注定的试映会,ming'zhong'zhu'ding'de'shi'ying'hui
名字是片假名,ming'zi'shi'pian'jia'ming
魔法的咒文,mo'fa'de'zhou'wen
魔女栖息的糖果之家,mo'nv'qi'xi'de'tang'guo'zhi'jia
魔术爱好者杀人事件解决篇,mo'shu'ai'hao'zhe'sha'ren'shi'jian'jie'jue'pian
魔术爱好者杀人事件事件篇,mo'shu'ai'hao'zhe'sha'ren'shi'jian'shi'jian'pian
魔术爱好者杀人事件疑惑篇,mo'shu'ai'hao'zhe'sha'ren'shi'jian'yi'huo'pian
魔术师之馆,mo'shu'shi'zhi'guan
目标毛利小五郎,mu'biao'mao'li'xiao'wu'lang
牧场的悲剧,mu'chang'de'bei'ju
目黑的秋刀鱼事件,mu'hei'de'qiu'dao'yu'shi'jian
目暮碧,mu'mu'bi
目暮尘封的秘密上集,mu'mu'chen'feng'de'mi'mi'shang'ji
目暮尘封的秘密下集,mu'mu'chen'feng'de'mi'mi'xia'ji
目暮十三,mu'mu'shi'san
母亲的遗物,mu'qin'de'yi'wu
那个地方,na'ge'di'fang
那里有危机,na'li'you'wei'ji
南纪白滨的神秘之旅上集,nan'ji'bai'bin'de'shen'mi'zhi'lv'shang'ji
南纪白滨的神秘之旅下集,nan'ji'bai'bin'de'shen'mi'zhi'lv'xia'ji
难以置信的切点,nan'yi'zhi'xin'de'qie'dian
内田麻美,nei'tian'ma'mei
能回来的受害者,neng'hui'lai'de'shou'hai'zhe
你是何许人,ni'shi'he'xu'ren
逆转的神秘,ni'zhuan'de'shen'mi
年前的恶梦,nian'qian'de'e'meng
年前的男人,nian'qian'de'nan'ren
鸟取县蜘蛛公馆的怪事解决篇,niao'qu'xian'zhi'zhu'gong'guan'de'guai'shi'jie'jue'pian
鸟取县蜘蛛公馆的怪事事件篇,niao'qu'xian'zhi'zhu'gong'guan'de'guai'shi'shi'jian'pian
鸟取县蜘蛛公馆的怪事疑惑篇,niao'qu'xian'zhi'zhu'gong'guan'de'guai'shi'yi'huo'pian
钮扣型扩音器,niu'kou'xing'kuo'yin'qi
女子高中生侦探铃木园子事件簿,nv'zi'gao'zhong'sheng'zhen'tan'ling'mu'yuan'zi'shi'jian'bu
偶像的秘密,ou'xiang'de'mi'mi
偶像们的秘密上集,ou'xiang'men'de'mi'mi'shang'ji
偶像们的秘密下集,ou'xiang'men'de'mi'mi'xia'ji
偶像们的误解,ou'xiang'men'de'wu'jie
偶像密室杀人事件,ou'xiang'mi'shi'sha'ren'shi'jian
螃蟹和鲸鱼绑架事件,pang'xie'he'jing'yu'bang'jia'shi'jian
烹饪教室杀人事件上集,peng'ren'jiao'shi'sha'ren'shi'jian'shang'ji
烹饪教室杀人事件下集,peng'ren'jiao'shi'sha'ren'shi'jian'xia'ji
噼里啪啦,pi'li'pa'la
匹斯可,pi'si'ke
骗局,pian'ju
片桐枫,pian'tong'feng
平次的愤怒,ping'ci'de'fen'nu
平次的回忆,ping'ci'de'hui'yi
平次的叫喊,ping'ci'de'jiao'han
迫近的包围网,po'jin'de'bao'wei'wang
汽车爆炸事件的真相上集,qi'che'bao'zha'shi'jian'de'zhen'xiang'shang'ji
汽车爆炸事件的真相下集,qi'che'bao'zha'shi'jian'de'zhen'xiang'xia'ji
奇怪的寻人事件,qi'guai'de'xun'ren'shi'jian
漆黑的丧葬行列,qi'hei'de'sang'zang'hang'lie
漆黑的追踪者,qi'hei'de'zhui'zong'zhe
奇幻的尸体,qi'huan'de'shi'ti
奇迹,qi'ji
奇妙的通讯录,qi'miao'de'tong'xun'lu
奇妙一家的委托后篇,qi'miao'yi'jia'de'wei'tuo'hou'pian
奇妙一家的委托前篇,qi'miao'yi'jia'de'wei'tuo'qian'pian
企业家千金杀人事件上集,qi'ye'jia'qian'jin'sha'ren'shi'jian'shang'ji
企业家千金杀人事件下集,qi'ye'jia'qian'jin'sha'ren'shi'jian'xia'ji
妻子的纪念品,qi'zi'de'ji'nian'pin
牵绊的友情,qian'ban'de'you'qing
潜藏杀机的陶艺教室上集,qian'cang'sha'ji'de'tao'yi'jiao'shi'shang'ji
潜藏杀机的陶艺教室下集,qian'cang'sha'ji'de'tao'yi'jiao'shi'xia'ji
前田聪,qian'tian'cong
千叶警官,qian'ye'jing'guan
前奏曲,qian'zou'qu
强盗犯人住院事件,qiang'dao'fan'ren'zhu'yuan'shi'jian
枪田郁美,qiang'tian'yu'mei
巧妙的剑士,qiao'miao'de'jian'shi
窃盗集团别墅事件上集,qie'dao'ji'tuan'bie'shu'shi'jian'shang'ji
窃盗集团别墅事件下集,qie'dao'ji'tuan'bie'shu'shi'jian'xia'ji
琴酒,qin'jiu
寝室的酒窖,qin'shi'de'jiu'jiao
清纯的香味,qing'chun'de'xiang'wei
清洁车杀人事件,qing'jie'che'sha'ren'shi'jian
青岚,qing'lan
情人节的真实解决篇,qing'ren'jie'de'zhen'shi'jie'jue'pian
情人节的真实事件篇,qing'ren'jie'de'zhen'shi'shi'jian'pian
情人节的真实推理篇,qing'ren'jie'de'zhen'shi'tui'li'pian
情人节杀人事件,qing'ren'jie'sha'ren'shi'jian
请注意甜美约会,qing'zhu'yi'tian'mei'yue'hui
确信,que'xin
然后谁都无须存在了,ran'hou'shui'dou'wu'xu'cun'zai'le
然后又,ran'hou'you
燃烧,ran'shao
热血侦探,re'xue'zhen'tan
任务,ren'wu
人鱼的诅咒,ren'yu'de'zu'zhou
人鱼又再度哭泣解决篇,ren'yu'you'zai'du'ku'qi'jie'jue'pian
人鱼又再度哭泣事件篇,ren'yu'you'zai'du'ku'qi'shi'jian'pian
人鱼又再度哭泣推理篇,ren'yu'you'zai'du'ku'qi'tui'li'pian
如雷贯耳的嘘声,ru'lei'guan'er'de'xu'sheng
三胞胎别墅杀人事件,san'bao'tai'bie'shu'sha'ren'shi'jian
三船四井五条六田七尾八重子,san'chuan'si'jing'wu'tiao'liu'tian'qi'wei'ba'zhong'zi
三个禁忌,san'ge'jin'ji
三条鱼,san'tiao'yu
三泽,san'ze
丧失记忆的美少女事件,sang'shi'ji'yi'de'mei'shao'nv'shi'jian
森谷帝二,sen'gu'di'er
杀机正浓,sha'ji'zheng'nong
莎朗,sha'lang
杀意的咖啡,sha'yi'de'ka'fei
杀意的真相,sha'yi'de'zhen'xiang
杉本优,shan'ben'you
山村操,shan'cun'cao
山村刑事,shan'cun'xing'shi
山口胜平,shan'kou'sheng'ping
山姥的刀后篇,shan'lao'de'dao'hou'pian
山姥的刀前篇,shan'lao'de'dao'qian'pian
山崎和佳奈,shan'qi'he'jia'nai
山荣根岸正树,shan'rong'gen'an'zheng'shu
山庄绷带怪人杀人事件上集,shan'zhuang'beng'dai'guai'ren'sha'ren'shi'jian'shang'ji
山庄绷带怪人杀人事件下集,shan'zhuang'beng'dai'guai'ren'sha'ren'shi'jian'xia'ji
上户彩和新一前的约定,shang'hu'cai'he'xin'yi'qian'de'yue'ding
上野出发的北斗星号上集,shang'ye'chu'fa'de'bei'dou'xing'hao'shang'ji
上野出发的北斗星号下集,shang'ye'chu'fa'de'bei'dou'xing'hao'xia'ji
少年侦探团,shao'nian'zhen'tan'tuan
少年侦探团消失事件,shao'nian'zhen'tan'tuan'xiao'shi'shi'jian
少侦探队消失事件,shao'zhen'tan'dui'xiao'shi'shi'jian
少侦探团遇难事件,shao'zhen'tan'tuan'yu'nan'shi'jian
神谷明,shen'gu'ming
神秘的狙击者杀人事件上集,shen'mi'de'ju'ji'zhe'sha'ren'shi'jian'shang'ji
神秘的狙击者杀人事件下集,shen'mi'de'ju'ji'zhe'sha'ren'shi'jian'xia'ji
神秘的世界,shen'mi'de'shi'jie
神秘老人失踪事件,shen'mi'lao'ren'shi'zong'shi'jian
神秘凶器杀人事件,shen'mi'xiong'qi'sha'ren'shi'jian
神鸟蝶子,shen'niao'die'zi
神器,shen'qi
神社鸟居之惊悚暗号后篇,shen'she'niao'ju'zhi'jing'song'an'hao'hou'pian
神社鸟居之惊悚暗号前篇,shen'she'niao'ju'zhi'jing'song'an'hao'qian'pian
伸缩吊带,shen'suo'diao'dai
生日葡萄酒之谜,sheng'ri'pu'tao'jiu'zhi'mi
时差的圈套,shi'cha'de'quan'tao
事隔多年的聚会,shi'ge'duo'nian'de'ju'hui
世纪末的魔术师,shi'ji'mo'de'mo'shu'shi
失控的租赁车,shi'kong'de'zu'lin'che
湿毛巾的圈套,shi'mao'jin'de'quan'tao
时效成立,shi'xiao'cheng'li
狮子掉下的东西,shi'zi'diao'xia'de'dong'xi
手表灯,shou'biao'deng
手表型麻醉枪,shou'biao'xing'ma'zui'qiang
手套的罪恶,shou'tao'de'zui'e
暑假的暗号,shu'jia'de'an'hao
谁的推理秀,shui'de'tui'li'xiu
谁的推理秀后篇,shui'de'tui'li'xiu'hou'pian
谁的推理秀前篇,shui'de'tui'li'xiu'qian'pian
水流石庭的玄机上集,shui'liu'shi'ting'de'xuan'ji'shang'ji
水流石庭的玄机下集,shui'liu'shi'ting'de'xuan'ji'xia'ji
睡美人,shui'mei'ren
水平线上的阴谋,shui'ping'xian'shang'de'yin'mou
水无怜奈,shui'wu'lian'nai
水中的钥匙密室事件,shui'zhong'de'yao'shi'mi'shi'shi'jian
瞬间移动,shun'jian'yi'dong
说不出口,shuo'bu'chu'kou
说谎的人,shuo'huang'de'ren
四处辗转的游戏软件,si'chu'zhan'zhuan'de'you'xi'ruan'jian
似乎是绑架的事件,si'hu'shi'bang'jia'de'shi'jian
四辆保时捷后篇,si'liang'bao'shi'jie'hou'pian
四辆保时捷前篇,si'liang'bao'shi'jie'qian'pian
死罗神大人,si'luo'shen'da'ren
死人不会说话,si'ren'bu'hui'shuo'hua
死神阵内杀人事件,si'shen'zhen'nei'sha'ren'shi'jian
死亡岛,si'wang'dao
死亡留言的真正含义,si'wang'liu'yan'de'zhen'zheng'han'yi
松本小百合,song'ben'xiao'bai'he
松井菜樱子,song'jing'cai'ying'zi
松茸熊与侦探队上集,song'rong'xiong'yu'zhen'tan'dui'shang'ji
松茸熊与侦探队下集,song'rong'xiong'yu'zhen'tan'dui'xia'ji
松田阵平,song'tian'zhen'ping
太阳能滑板,tai'yang'neng'hua'ban
叹气拾潮后篇,tan'qi'shi'chao'hou'pian
叹气拾潮前篇,tan'qi'shi'chao'qian'pian
唐红的恋歌,tang'hong'de'lian'ge
汤屋墩子,tang'wu'dun'zi
躺下洗脸,tang'xia'xi'lian
桃太郎解密之旅后篇,tao'tai'lang'jie'mi'zhi'lv'hou'pian
桃太郎解密之旅前篇,tao'tai'lang'jie'mi'zhi'lv'qian'pian
逃脱,tao'tuo
逃亡者,tao'wang'zhe
藤峰有希子,teng'feng'you'xi'zi
藤崎直,teng'qi'zhi
鹈泽恒夫,ti'ze'heng'fu
天空的近道,tian'kong'de'jin'dao
天空的遇难船,tian'kong'de'yu'nan'chuan
天气预报小姐诱拐事件,tian'qi'yu'bao'xiao'jie'you'guai'shi'jian
田山凉成,tian'shan'liang'cheng
天下第一夜祭杀人事件,tian'xia'di'yi'ye'ji'sha'ren'shi'jian
天下人之宝,tian'xia'ren'zhi'bao
天下人之城,tian'xia'ren'zhi'cheng
田中秀幸,tian'zhong'xiu'xing
铁锤男,tie'chui'nan
铁剑十郎,tie'jian'shi'lang
铁刃,tie'ren
听天由命,ting'tian'you'ming
同乘者,tong'cheng'zhe
同黑暗组织的接触交涉篇,tong'hei'an'zu'zhi'de'jie'chu'jiao'she'pian
同黑暗组织的接触决死篇,tong'hei'an'zu'zhi'de'jie'chu'jue'si'pian
同黑暗组织的接触追踪篇,tong'hei'an'zu'zhi'de'jie'chu'zhui'zong'pian
瞳孔中的暗杀者,tong'kong'zhong'de'an'sha'zhe
同时进行的舞台和绑架后篇,tong'shi'jin'xing'de'wu'tai'he'bang'jia'hou'pian
同时进行的舞台和绑架前篇,tong'shi'jin'xing'de'wu'tai'he'bang'jia'qian'pian
通往天国的倒计时,tong'wang'tian'guo'de'dao'ji'shi
透明人现身,tou'ming'ren'xian'shen
突然的入侵者,tu'ran'de'ru'qin'zhe
图书馆杀人事件,tu'shu'guan'sha'ren'shi'jian
推理的答案,tui'li'de'da'an
推理小说家失踪事件上集,tui'li'xiao'shuo'jia'shi'zong'shi'jian'shang'ji
吞口重彦,tun'kou'zhong'yan
歪打正着,wai'da'zheng'zhao
外交官杀人事件上集,wai'jiao'guan'sha'ren'shi'jian'shang'ji
外交官杀人事件下集,wai'jiao'guan'sha'ren'shi'jian'xia'ji
丸传次郎一枝,wan'chuan'ci'lang'yi'zhi
晚饭的菜单,wan'fan'de'cai'dan
完美的名推理,wan'mei'de'ming'tui'li
完美解读,wan'mei'jie'du
完全没事,wan'quan'mei'shi
完全一半犯罪之谜,wan'quan'yi'ban'fan'zui'zhi'mi
网里面的是,wang'li'mian'de'shi
违背常理的房间,wei'bei'chang'li'de'fang'jian
未获回报的心,wei'huo'hui'bao'de'xin
危命的复活第三个选择,wei'ming'de'fu'huo'di'san'ge'xuan'ze
危命的复活洞窟内的侦探团,wei'ming'de'fu'huo'dong'ku'nei'de'zhen'tan'tuan
危命的复活负伤之下的名侦探,wei'ming'de'fu'huo'fu'shang'zhi'xia'de'ming'zhen'tan
危命的复活黑衣骑士,wei'ming'de'fu'huo'hei'yi'qi'shi
危命的复活新一回来了,wei'ming'de'fu'huo'xin'yi'hui'lai'le
危命的复活约定的场所,wei'ming'de'fu'huo'yue'ding'de'chang'suo
维纳斯之吻,wei'na'si'zhi'wen
未说出口的话,wei'shuo'chu'kou'de'hua
危险的处方笺,wei'xian'de'chu'fang'jian
危险的来访者,wei'xian'de'lai'fang'zhe
危险的相逢,wei'xian'de'xiang'feng
危险讯号,wei'xian'xun'hao
伪装,wei'zhuang
稳定的时期,wen'ding'de'shi'qi
温暖的海洋,wen'nuan'de'hai'yang
我的推理,wo'de'tui'li
我喜爱的神秘旅行,wo'xi'ai'de'shen'mi'lv'xing
五彩传说的水底龙宫上集,wu'cai'chuan'shuo'de'shui'di'long'gong'shang'ji
五彩传说的水底龙宫下集,wu'cai'chuan'shuo'de'shui'di'long'gong'xia'ji
无法归来的二人,wu'fa'gui'lai'de'er'ren
无法归来的二人后篇,wu'fa'gui'lai'de'er'ren'hou'pian
无法归来的二人前篇,wu'fa'gui'lai'de'er'ren'qian'pian
无法逃避的目标,wu'fa'tao'bi'de'mu'biao
无法相信的结局,wu'fa'xiang'xin'de'jie'ju
无法消灭的证据上集,wu'fa'xiao'mie'de'zheng'ju'shang'ji
无法消灭的证据下集,wu'fa'xiao'mie'de'zheng'ju'xia'ji
无法消失的证据,wu'fa'xiao'shi'de'zheng'ju
蜈蚣,wu'gong
无聊的比赛,wu'liao'de'bi'sai
无声的证据后篇,wu'sheng'de'zheng'ju'hou'pian
无声的证据前篇,wu'sheng'de'zheng'ju'qian'pian
舞台女演员杀人事件,wu'tai'nv'yan'yuan'sha'ren'shi'jian
雾天狗传说杀人事件,wu'tian'gou'chuan'shuo'sha'ren'shi'jian
屋形船震惊的钓鱼,wu'xing'chuan'zhen'jing'de'diao'yu
乌鸦之歌,wu'ya'zhi'ge
吴越同舟,wu'yue'tong'zhou
西村雅彦,xi'cun'ya'yan
夕阳染红的女儿节人偶后篇,xi'yang'ran'hong'de'nv'er'jie'ren'ou'hou'pian
夕阳染红的女儿节人偶前篇,xi'yang'ran'hong'de'nv'er'jie'ren'ou'qian'pian
夕阳与楼梯,xi'yang'yu'lou'ti
洗衣机,xi'yi'ji
狭小密室留下的秘密,xia'xiao'mi'shi'liu'xia'de'mi'mi
现场取证,xian'chang'qu'zheng
仙人掌花杀人事件,xian'ren'zhang'hua'sha'ren'shi'jian
限时时,xian'shi'shi
线索包围网,xian'suo'bao'wei'wang
显现魔术,xian'xian'mo'shu
嫌疑犯毛利小五郎上集,xian'yi'fan'mao'li'xiao'wu'lang'shang'ji
嫌疑犯毛利小五郎下集,xian'yi'fan'mao'li'xiao'wu'lang'xia'ji
像公主的人后篇,xiang'gong'zhu'de'ren'hou'pian
像公主的人前篇,xiang'gong'zhu'de'ren'qian'pian
向日葵馆的枪声,xiang'ri'kui'guan'de'qiang'sheng
象牙之塔,xiang'ya'zhi'ta
想隐藏的东西,xiang'yin'cang'de'dong'xi
香椎由宇,xiang'zhui'you'yu
消不去的回忆,xiao'bu'qu'de'hui'yi
小岛元太,xiao'dao'yuan'tai
销毁,xiao'hui
小兰,xiao'lan
小兰小姐,xiao'lan'xiao'jie
小栗旬,xiao'li'xun
小泉红子,xiao'quan'hong'zi
小山茉美,xiao'shan'mo'mei
消失的绑架逃逸车后篇,xiao'shi'de'bang'jia'tao'yi'che'hou'pian
消失的绑架逃逸车前篇,xiao'shi'de'bang'jia'tao'yi'che'qian'pian
消失的钝器,xiao'shi'de'dun'qi
消失的光彦,xiao'shi'de'guang'yan
消失的记忆,xiao'shi'de'ji'yi
消失的尸体杀人事件,xiao'shi'de'shi'ti'sha'ren'shi'jian
消失的凶器搜索事件,xiao'shi'de'xiong'qi'sou'suo'shi'jian
消失的巡警,xiao'shi'de'xun'jing
消失的一页,xiao'shi'de'yi'ye
消失的音符,xiao'shi'de'yin'fu
消失在波涛之中,xiao'shi'zai'bo'tao'zhi'zhong
小委托人,xiao'wei'tuo'ren
小五郎大失态,xiao'wu'lang'da'shi'tai
小五郎的选择,xiao'wu'lang'de'xuan'ze
小五郎同学会杀人事件上集,xiao'wu'lang'tong'xue'hui'sha'ren'shi'jian'shang'ji
小五郎同学会杀人事件下集,xiao'wu'lang'tong'xue'hui'sha'ren'shi'jian'xia'ji
小五郎约会杀人事件,xiao'wu'lang'yue'hui'sha'ren'shi'jian
小小的目标,xiao'xiao'de'mu'biao
小小的委托者后篇,xiao'xiao'de'wei'tuo'zhe'hou'pian
小小的委托者前篇,xiao'xiao'de'wei'tuo'zhe'qian'pian
小小的证据,xiao'xiao'de'zheng'ju
些许的不对劲,xie'xu'de'bu'dui'jin
些许的脚印,xie'xu'de'jiao'yin
新兵器,xin'bing'qi
新的老师,xin'de'lao'shi
新的指令,xin'de'zhi'ling
新干线大爆炸事件,xin'gan'xian'da'bao'zha'shi'jian
新干线护送事件上集,xin'gan'xian'hu'song'shi'jian'shang'ji
新黑衣成员,xin'hei'yi'cheng'yuan
辛辣苦口却又甘甜的汤,xin'la'ku'kou'que'you'gan'tian'de'tang
新邻居,xin'lin'ju
新名香保里,xin'ming'xiang'bao'li
新闻照片杀人事件,xin'wen'zhao'pian'sha'ren'shi'jian
新志,xin'zhi
心之所向,xin'zhi'suo'xiang
形迹可疑,xing'ji'ke'yi
星期一晚上七时三十分杀人事件,xing'qi'yi'wan'shang'qi'shi'san'shi'fen'sha'ren'shi'jian
星星的许愿,xing'xing'de'xu'yuan
星星都知道,xing'xing'dou'zhi'dao
星星和香烟的暗号后篇,xing'xing'he'xiang'yan'de'an'hao'hou'pian
星星和香烟的暗号前篇,xing'xing'he'xiang'yan'de'an'hao'qian'pian
幸运的雪茄盒后篇,xing'yun'de'xue'jia'he'hou'pian
幸运的雪茄盒前篇,xing'yun'de'xue'jia'he'qian'pian
秀吉转大运,xiu'ji'zhuan'da'yun
绪方贤一,xu'fang'xian'yi
虚假的爱情,xu'jia'de'ai'qing
虚假的病人,xu'jia'de'bing'ren
虚假的友情,xu'jia'de'you'qing
虚假日期,xu'jia'ri'qi
旋转的凶器,xuan'zhuan'de'xiong'qi
血迹的机关,xue'ji'de'ji'guan
雪女传说杀人事件,xue'nv'chuan'shuo'sha'ren'shi'jian
雪女之计,xue'nv'zhi'ji
血染的情人节,xue'ran'de'qing'ren'jie
血染幽灵船,xue'ran'you'ling'chuan
雪山山庄杀人事件,xue'shan'shan'zhuang'sha'ren'shi'jian
学校奇谈,xue'xiao'qi'tan
血型诉说的真相,xue'xing'su'shuo'de'zhen'xiang
寻找屁股上的印记,xun'zhao'pi'gu'shang'de'yin'ji
岩居由希子,yan'ju'you'xi'zi
鷃鼠星人之谜事件上集,yan'shu'xing'ren'zhi'mi'shi'jian'shang'ji
鷃鼠星人之谜事件下集,yan'shu'xing'ren'zhi'mi'shi'jian'xia'ji
盐泽兼人,yan'ze'jian'ren
岩佐真悠子,yan'zuo'zhen'you'zi
阳光普照的地方,yang'guang'pu'zhao'de'di'fang
摇动的餐馆,yao'dong'de'can'guan
业火的向日葵,ye'huo'de'xiang'ri'kui
夜路杀人事件,ye'lu'sha'ren'shi'jian
异次元的狙击手,yi'ci'yuan'de'ju'ji'shou
疑惑的不在场证明,yi'huo'de'bu'zai'chang'zheng'ming
疑惑的咖喱饭,yi'huo'de'ga'li'fan
疑惑的咖喱饭后篇,yi'huo'de'ga'li'fan'hou'pian
疑惑的咖喱饭前篇,yi'huo'de'ga'li'fan'qian'pian
疑惑的枪声,yi'huo'de'qiang'sheng
疑惑的天体观测,yi'huo'de'tian'ti'guan'ce
疑惑的推理,yi'huo'de'tui'li
疑惑的瑛祐,yi'huo'de'ying'you
疑惑的邮件,yi'huo'de'you'jian
疑惑的真相,yi'huo'de'zhen'xiang
伊卡尔斯的黑色之翼上集,yi'ka'er'si'de'hei'se'zhi'yi'shang'ji
伊卡尔斯的黑色之翼下集,yi'ka'er'si'de'hei'se'zhi'yi'xia'ji
意料之外,yi'liao'zhi'wai
遗漏的东西,yi'lou'de'dong'xi
一去不返的警官,yi'qu'bu'fan'de'jing'guan
一条成优子,yi'tiao'cheng'you'zi
意外的对手,yi'wai'de'dui'shou
意外的目标,yi'wai'de'mu'biao
意外的嫌疑人,yi'wai'de'xian'yi'ren
意外之宝,yi'wai'zhi'bao
伊武雅刀,yi'wu'ya'dao
意想不到的原因,yi'xiang'bu'dao'de'yuan'yin
一直说谎的委托人上集,yi'zhi'shuo'huang'de'wei'tuo'ren'shang'ji
一直说谎的委托人下集,yi'zhi'shuo'huang'de'wei'tuo'ren'xia'ji
引爆摩天楼,yin'bao'mo'tian'lou
银行抢匪杀人事件,yin'hang'qiang'fei'sha'ren'shi'jian
阴和雷,yin'he'lei
饮料瓶之怪,yin'liao'ping'zhi'guai
银杏色的初恋后篇,yin'xing'se'de'chu'lian'hou'pian
银杏色的初恋前篇,yin'xing'se'de'chu'lian'qian'pian
银翼的魔术师,yin'yi'de'mo'shu'shi
银衣雪女传说,yin'yi'xue'nv'chuan'shuo
因缘和友情的试映会,yin'yuan'he'you'qing'de'shi'ying'hui
樱田门之变,ying'tian'men'zhi'bian
