爱景欲挂扶桑,ai'jing'yu'gua'fu'sang
祝千龄,zhu'qian'ling
著意过今春,zhu'yi'guo'jin'chun
朱樱斗帐掩流苏,zhu'ying'dou'zhang'yan'liu'su
篆香烧尽,zhuan'xiang'shao'jin
转转情伤,zhuan'zhuan'qing'shang
自是花中第一流,zi'shi'hua'zhong'di'yi'liu
纵爱惜,zong'ai'xi
纵浮槎来,zong'fu'cha'lai
醉后明皇倚太真,zui'hou'ming'huang'yi'tai'zhen
醉里插花花莫笑,zui'li'cha'hua'hua'mo'xiao
最难将息,zui'nan'jiang'xi
尊前甘橘可为奴,zun'qian'gan'ju'ke'wei'nu
尊前酒满,zun'qian'jiu'man
坐上客来,zuo'shang'ke'lai
昨夜雨疏风骤,zuo'ye'yu'shu'feng'zhou
