哀长吉,ai'chang'ji
可旻,ke'min
可朋,ke'peng
柯原,ke'yuan
可止,ke'zhi
孔德绍,kong'de'shao
孔矩,kong'ju
孔平仲,kong'ping'zhong
孔融,kong'rong
孔绍安,kong'shao'an
孔氏,kong'shi
孔温业,kong'wen'ye
孔夷,kong'yi
孔颙,kong'yong
孔稚圭,kong'zhi'gui
寇泚,kou'ci
寇坦,kou'tan
寇埴,kou'zhi
寇准,kou'zhun
蒯希逸,kuai'xi'yi
来鹄,lai'hu
来济,lai'ji
蓝采和,lan'cai'he
懒堂女子,lan'tang'nv'zi
郎大家宋,lang'da'jia'song
郎句筵茶,lang'ju'yan'cha
郎士元,lang'shi'yuan
郎馀令,lang'yu'ling
乐伸,le'shen
乐婉,le'wan
了元,le'yuan
雷应春,lei'ying'chun
冷朝光,leng'chao'guang
冷朝阳,leng'chao'yang
李昂,li'ang
李翱,li'ao
李白,li'bai
李百药,li'bai'yao
李邦献,li'bang'xian
李壁,li'bi
李昪,li'bian
李宾,li'bin
李邴,li'bing
李搏,li'bo
李播,li'bo
李渤,li'bo
李伯虎,li'bo'hu
李伯鱼,li'bo'yu
吏部选人,li'bu'xuan'ren
李岑,li'cen
李曾伯,li'ceng'bo
李昌符,li'chang'fu
李昌邺,li'chang'ye
李朝卿,li'chao'qing
李訦,li'chen
李忱,li'chen
李憕,li'cheng
李程,li'cheng
李澄之,li'cheng'zhi
李赤,li'chi
李持正,li'chi'zheng
李崇嗣,li'chong'si
李处全,li'chu'quan
李聪,li'cong
李从谦,li'cong'qian
李从善,li'cong'shan
李从远,li'cong'yuan
李从周,li'cong'zhou
李存勖,li'cun'xu
李存朂,li'cun'xu
李旦,li'dan
黎道静,li'dao'jing
李得,li'de
李德润,li'de'run
李德裕,li'de'yu
李德载,li'de'zai
利登,li'deng
李洞,li'dong
李都,li'dou
李端,li'duan
李敦诗,li'dun'shi
李昉,li'fang
黎逢,li'feng
李峰,li'feng
李逢吉,li'feng'ji
李夫人,li'fu'ren
李福业,li'fu'ye
李甘,li'gan
李纲,li'gang
李缟,li'gao
李肱,li'gong
李公佐仆,li'gong'zuo'pu
黎瓘,li'guan
李观,li'guan
李冠,li'guan
李光,li'guang
李归唐,li'gui'tang
李瀚,li'han
李暠,li'hao
李浩,li'hao
李浩弼,li'hao'bi
李好古,li'hao'gu
李好义,li'hao'yi
李贺,li'he
李何,li'he
李和风,li'he'feng
李亨,li'heng
李恒,li'heng
李洪,li'hong
李宏皋,li'hong'gao
李宏模,li'hong'mo
李縠,li'hu
李华,li'hua
李花开,li'hua'kai
李怀远,li'huai'yuan
李澣,li'huan
李焕,li'huan
李回,li'hui
李季萼,li'ji'e
李吉甫,li'ji'fu
李季何,li'ji'he
李季华,li'ji'hua
李季兰,li'ji'lan
李甲,li'jia
李家明,li'jia'ming
李嘉佑,li'jia'you
李嘉祐,li'jia'you
李兼,li'jian
李建,li'jian
李建枢,li'jian'shu
李建勋,li'jian'xun
李绛,li'jiang
李节,li'jie
李结,li'jie
李节度姬,li'jie'du'ji
李谨言,li'jin'yan
李京,li'jing
李景,li'jing
李璟,li'jing
李敬伯,li'jing'bo
李景伯,li'jing'bo
李敬方,li'jing'fang
李景俭,li'jing'jian
李景良,li'jing'liang
李景让,li'jing'rang
李敬玄,li'jing'xuan
李敬则,li'jing'ze
李迥秀,li'jiong'xiu
李玖,li'jiu
李九龄,li'jiu'ling
李久善,li'jiu'shan
李居仁,li'ju'ren
李珏,li'jue
李君房,li'jun'fang
李君何,li'jun'he
李君行,li'jun'xing
李伉,li'kang
李康成,li'kang'cheng
李克恭,li'ke'gong
李夔,li'kui
李适,li'kuo
李廓,li'kuo
李适之,li'kuo'zhi
李莱老,li'lai'lao
李谅,li'liang
李琳,li'lin
李林甫,li'lin'fu
李令,li'ling
醴陵士人,li'ling'shi'ren
李刘,li'liu
李流谦,li'liu'qian
李隆基,li'long'ji
李伦,li'lun
李吕,li'lv
李茂复,li'mao'fu
李昴英,li'mao'ying
李梦符,li'meng'fu
李密,li'mi
李泌,li'mi
李秘,li'mi
李弥逊,li'mi'xun
李溟,li'ming
李明远,li'ming'yuan
李穆,li'mu
李鼐,li'nai
李南金,li'nan'jin
李讷,li'ne
李沛,li'pei
李彭,li'peng
李朋,li'peng
李彭老,li'peng'lao
李频,li'pin
李朴,li'pu
李颀,li'qi
李琪,li'qi
李祁,li'qi
李栖筠,li'qi'jun
李潜,li'qian
李峤,li'qiao
李清,li'qing
李清臣,li'qing'chen
李清照,li'qing'zhao
李璆,li'qiu
李衢,li'qu
李铨,li'quan
李洤,li'quan
李群玉,li'qun'yu
李仁本,li'ren'ben
李日新,li'ri'xin
李荣,li'rong
李嵘,li'rong
李如璧,li'ru'bi
李山甫,li'shan'fu
李善夷,li'shan'yi
骊山游人,li'shan'you'ren
李商隐,li'shang'yin
李商英,li'shang'ying
李韶,li'shao
利涉,li'she
李涉,li'she
李深,li'shen
李绅,li'shen
李升,li'sheng
李生,li'sheng
李氏,li'shi
李石,li'shi
李石才,li'shi'cai
李世民,li'shi'min
李適適,li'shi'shi
李士元,li'shi'yuan
李適之,li'shi'zhi
李师中,li'shi'zhong
李收,li'shou
李舒,li'shu
李纾,li'shu
李叔霁,li'shu'ji
李叔卿,li'shu'qing
李霜涯,li'shuang'ya
李舜弦,li'shun'xian
厉寺正,li'si'zheng
李竦,li'song
李损之,li'sun'zhi
李太古,li'tai'gu
李太玄,li'tai'xuan
李璮,li'tan
李坦然,li'tan'ran
李涛,li'tao
李体仁,li'ti'ren
李天骥,li'tian'ji
李廷璧,li'ting'bi
黎廷瑞,li'ting'rui
李廷忠,li'ting'zhong
李团湖,li'tuan'hu
李微,li'wei
李沇,li'wei
李汶儒,li'wen'ru
李渥,li'wo
李习,li'xi
李希仲,li'xi'zhong
李暇,li'xia
李遐周,li'xia'zhou
李贤,li'xian
李咸,li'xian
李岘,li'xian
李显,li'xian
李咸用,li'xian'yong
李新,li'xin
李行敏,li'xing'min
李行言,li'xing'yan
李夐,li'xiong
李休烈,li'xiu'lie
李序,li'xu
李旭,li'xu
李续,li'xu
厉玄,li'xuan
李宣古,li'xuan'gu
李宣远,li'xuan'yuan
李询,li'xun
李勋,li'xun
李旬,li'xun
李珣,li'xun
李衍,li'yan
李演,li'yan
李延陵,li'yan'ling
李延年,li'yan'nian
李彦暐,li'yan'wei
李彦远,li'yan'yuan
李阳冰,li'yang'bing
李曜,li'yao
李邺,li'ye
李冶,li'ye
李晔,li'ye
李乂,li'yi
李亿,li'yi
李嶷,li'yi
李益,li'yi
李祎,li'yi
李义府,li'yi'fu
李夷简,li'yi'jian
李义山,li'yi'shan
李寅仲,li'yin'zhong
李郢,li'ying
李婴,li'ying
李应,li'ying
理莹,li'ying
李邕,li'yong
李泳,li'yong
李幼卿,li'you'qing
李虞,li'yu
李豫,li'yu
李馀,li'yu
李屿,li'yu
李煜,li'yu
李玉,li'yu
李羽,li'yu
李裕翁,li'yu'weng
李玉箫,li'yu'xiao
李虞仲,li'yu'zhong
李远,li'yuan
李愿,li'yuan
李渊,li'yuan
李元操,li'yuan'cao
厉元范,li'yuan'fan
李元纮,li'yuan'hong
李元嘉,li'yuan'jia
李元膺,li'yuan'ying
李元卓,li'yuan'zhuo
李约,li'yue
李芸子,li'yun'zi
李赞华,li'zan'hua
立斋,li'zhai
李漳,li'zhang
李章,li'zhang
李章武,li'zhang'wu
李昭象,li'zhao'xiang
李淛,li'zhe
李贞,li'zhen
李震,li'zhen
李真,li'zhen
李缜,li'zhen
李贞白,li'zhen'bai
李振祖,li'zhen'zu
李拯,li'zheng
李正辞,li'zheng'ci
李正封,li'zheng'feng
李徵古,li'zheng'gu
李质,li'zhi
李骘,li'zhi
李廌,li'zhi
李治,li'zhi
李之问,li'zhi'wen
李之仪,li'zhi'yi
李中,li'zhong
李仲光,li'zhong'guang
李仲虺,li'zhong'hui
李重元,li'zhong'yuan
李胄,li'zhou
李昼,li'zhou
李主簿姬,li'zhu'bu'ji
李子昂,li'zi'ang
李子卿,li'zi'qing
李子申,li'zi'shen
李子酉,li'zi'you
李子正,li'zi'zheng
李宗闵,li'zong'min
李遵勗,li'zun'xu
莲花妓,lian'hua'ji
连静女,lian'jing'nv
连久道,lian'jiu'dao
连妙淑,lian'miao'shu
廉氏,lian'shi
连仲宣,lian'zhong'xuan
梁安世,liang'an'shi
梁宝,liang'bao
梁补阙,liang'bu'que
梁大年,liang'da'nian
梁德裕,liang'de'yu
梁栋,liang'dong
两汉乐府,liang'han'yue'fu
梁鸿,liang'hong
梁锽,liang'huang
梁锽锽,liang'huang'huang
梁明夫,liang'ming'fu
梁洽,liang'qia
梁琼,liang'qiong
梁升卿,liang'sheng'qing
梁氏琼,liang'shi'qiong
梁献,liang'xian
梁铉,liang'xuan
良乂,liang'yi
梁意娘,liang'yi'niang
梁载言,liang'zai'yan
梁藻,liang'zao
梁震,liang'zhen
梁陟,liang'zhi
梁知微,liang'zhi'wei
廖刚,liao'gang
廖匡图,liao'kuang'tu
廖凝,liao'ning
廖融,liao'rong
廖世美,liao'shi'mei
廖行之,liao'xing'zhi
廖莹中,liao'ying'zhong
廖有方,liao'you'fang
林表民,lin'biao'min
林伯镇,lin'bo'zhen
林逋,lin'bu
林楚翘,lin'chu'qiao
林淳,lin'chun
邻道场人,lin'dao'chang'ren
林璠,lin'fan
林革,lin'ge
林横舟,lin'heng'zhou
林季仲,lin'ji'zhong
林杰,lin'jie
林宽,lin'kuan
林琨,lin'kun
林披,lin'pi
林氏,lin'shi
林实之,lin'shi'zhi
林式之,lin'shi'zhi
林嵩,lin'song
林外,lin'wai
林珝,lin'xu
林仰,lin'yang
林藻,lin'zao
林则徐,lin'ze'xu
林稹,lin'zhen
林正大,lin'zheng'da
林滋,lin'zi
林自然,lin'zi'ran
临淄县主,lin'zi'xian'zhu
灵澈,ling'che
令狐楚,ling'hu'chu
令狐德棻,ling'hu'de'fen
令狐峘,ling'hu'huan
令狐绹,ling'hu'tao
泠然,ling'ran
伶人,ling'ren
灵一,ling'yi
灵准,ling'zhun
刘邦,liu'bang
刘褒,liu'bao
刘斌,liu'bin
刘蕃,liu'bo
刘采春,liu'cai'chun
刘沧,liu'cang
柳藏经,liu'cang'jing
柳曾,liu'ceng
刘叉,liu'cha
刘敞,liu'chang
刘昶,liu'chang
刘长川,liu'chang'chuan
刘长卿,liu'chang'qing
刘彻,liu'che
柳郴,liu'chen
刘辰翁,liu'chen'weng
刘崇龟,liu'chong'gui
刘崇鲁,liu'chong'lu
刘大辨,liu'da'bian
刘焘,liu'dao
刘道昌,liu'dao'chang
柳道伦,liu'dao'lun
刘得仁,liu'de'ren
刘德秀,liu'de'xiu
刘鼎臣妻,liu'ding'chen'qi
刘洞,liu'dong
刘方平,liu'fang'ping
柳逢,liu'feng
刘阜,liu'fu
刘复,liu'fu
柳富,liu'fu
刘溉,liu'gai
刘皋,liu'gao
刘耕,liu'geng
刘珙,liu'gong
柳公绰,liu'gong'chuo
柳公权,liu'gong'quan
刘公兴,liu'gong'xing
刘公子,liu'gong'zi
刘谷,liu'gu
刘光祖,liu'guang'zu
柳珪,liu'gui
刘贵翁,liu'gui'weng
刘过,liu'guo
刘翰,liu'han
刘沆,liu'hang
刘浩,liu'hao
柳华淑,liu'hua'shu
刘怀一,liu'huai'yi
刘郇伯,liu'huan'bo
刘晃,liu'huang
柳浑,liu'hun
刘几,liu'ji
刘洎,liu'ji
刘济,liu'ji
刘季孙,liu'ji'sun
刘驾,liu'jia
刘鉴,liu'jian
刘兼,liu'jian
刘戬,liu'jian
刘涧谷,liu'jian'gu
刘将孙,liu'jiang'sun
刘泾,liu'jing
刘景复,liu'jing'fu
刘景翔,liu'jing'xiang
刘迥,liu'jiong
刘菊房,liu'ju'fang
刘浚,liu'jun
刘均国,liu'jun'guo
柳开,liu'kai
刘轲,liu'ke
刘克逊,liu'ke'xun
刘克庄,liu'ke'zhuang
刘暌,liu'kui
刘琨,liu'kun
刘廓,liu'kuo
刘澜,liu'lan
刘璐,liu'lu
刘鲁风,liu'lu'feng
刘袤,liu'mao
刘猛,liu'meng
柳泌,liu'mi
柳明献,liu'ming'xian
刘南翁,liu'nan'weng
刘辟,liu'pi
刘錡,liu'qi
刘绮庄,liu'qi'zhuang
刘潜,liu'qian
刘清夫,liu'qing'fu
刘清之,liu'qing'zhi
刘仁父,liu'ren'fu
刘三复,liu'san'fu
流沙河,liu'sha'he
刘山甫,liu'shan'fu
刘山老,liu'shan'lao
刘商,liu'shang
刘慎虚,liu'shen'xu
刘昚虚,liu'shen'xu
刘升,liu'sheng
刘省斋,liu'sheng'zhai
刘氏,liu'shi
柳氏,liu'shi
刘侍读,liu'shi'du
刘氏妇,liu'shi'fu
刘使君,liu'shi'jun
刘氏瑶,liu'shi'yao
刘氏媛,liu'shi'yuan
刘氏云,liu'shi'yun
刘述,liu'shu
刘淑柔,liu'shu'rou
刘损,liu'sun
刘太冲,liu'tai'chong
刘太真,liu'tai'zhen
刘坦,liu'tan
柳棠,liu'tang
刘畋,liu'tian
刘天迪,liu'tian'di
刘天游,liu'tian'you
刘庭琦,liu'ting'qi
刘彤,liu'tong
刘湾,liu'wan
刘望,liu'wang
刘王曵,liu'wang'ye
刘望之,liu'wang'zhi
刘威,liu'wei
刘细君,liu'xi'jun
刘羲叟,liu'xi'sou
刘希夷,liu'xi'yi
刘宪,liu'xian
刘仙伦,liu'xian'lun
刘象,liu'xiang
刘孝孙,liu'xiao'sun
刘性初,liu'xing'chu
刘行敏,liu'xing'min
刘虚白,liu'xu'bai
刘铉,liu'xuan
刘学箕,liu'xue'ji
刘学颜,liu'xue'yan
刘埙,liu'xun
刘弇,liu'yan
刘晏,liu'yan
刘炎,liu'yan
刘言史,liu'yan'shi
刘瑶,liu'yao
刘邺,liu'ye
刘义,liu'yi
刘乙,liu'yi
刘夷道,liu'yi'dao
刘义度,liu'yi'du
刘一止,liu'yi'zhi
刘祎之,liu'yi'zhi
刘应几,liu'ying'ji
刘应李,liu'ying'li
刘应雄,liu'ying'xiong
柳永,liu'yong
刘幽求,liu'you'qiu
刘友贤,liu'you'xian
刘裕,liu'yu
刘禹锡,liu'yu'xi
刘媛,liu'yuan
刘源,liu'yuan
留元崇,liu'yuan'chong
留元刚,liu'yuan'gang
刘元济,liu'yuan'ji
刘元叔,liu'yuan'shu
刘元淑,liu'yuan'shu
刘元载妻,liu'yuan'zai'qi
刘云,liu'yun
柳恽,liu'yun
刘云甫,liu'yun'fu
刘允济,liu'yun'ji
刘赞,liu'zan
刘皂,liu'zao
刘章,liu'zhang
刘昭禹,liu'zhao'yu
刘镇,liu'zhen
刘桢,liu'zhen
刘真,liu'zhen
刘震孙,liu'zhen'sun
刘之才,liu'zhi'cai
刘之翰,liu'zhi'han
刘知几,liu'zhi'ji
刘仲讷,liu'zhong'ne
柳中庸,liu'zhong'yong
刘舟,liu'zhou
刘庄物,liu'zhuang'wu
刘子寰,liu'zi'huan
刘子翚,liu'zi'hui
刘子实,liu'zi'shi
刘子玄,liu'zi'xuan
柳宗元,liu'zong'yuan
刘遵古,liu'zun'gu
龙端是,long'duan'shi
龙护老人,long'hu'lao'ren
龙女,long'nv
龙紫蓬,long'zi'peng
楼采,lou'cai
楼锷,lou'e
楼枎,lou'fu
楼槃,lou'pan
楼钥,lou'yao
楼颖,lou'ying
陆翱,lu'ao
卢弼,lu'bi
卢炳,lu'bing
卢藏用,lu'cang'yong
陆瀍,lu'chan
陆畅,lu'chang
陆长源,lu'chang'yuan
卢崇道,lu'chong'dao
卢储,lu'chu
卢从愿,lu'cong'yuan
路德延,lu'de'yan
陆复礼,lu'fu'li
陆肱,lu'gong
卢拱,lu'gong
路贯,lu'guan
陆龟蒙,lu'gui'meng
陆海,lu'hai
陆汉广,lu'han'guang
陆弘休,lu'hong'xiu
卢鸿一,lu'hong'yi
卢怀慎,lu'huai'shen
陆机,lu'ji
陆坚,lu'jian
卢绛,lu'jiang
陆敬,lu'jing
陆景初,lu'jing'chu
卢景亮,lu'jing'liang
卢钧,lu'jun
陆凯,lu'kai
卢纶,lu'lun
陆凝之,lu'ning'zhi
卢鉟,lu'pi
卢骈,lu'pian
卢频,lu'pin
陆凭,lu'ping
鹿虔扆,lu'qian'yi
卢求,lu'qiu
卢群,lu'qun
卢群玉,lu'qun'yu
卢汝弼,lu'ru'bi
陆叡,lu'rui
卢尚卿,lu'shang'qing
卢尚书,lu'shang'shu
卢氏,lu'shi
卢士衡,lu'shi'heng
卢士政,lu'shi'zheng
鲁收,lu'shou
卢顺之,lu'shun'zhi
卢思道,lu'si'dao
卢嗣立,lu'si'li
卢嗣业,lu'si'ye
陆淞,lu'song
卢仝,lu'tong
卢文纪,lu'wen'ji
卢渥,lu'wo
陆希声,lu'xi'sheng
卢献卿,lu'xian'qing
卢象,lu'xiang
卢携,lu'xie
鲁迅,lu'xun
路洵美,lu'xun'mei
卢言,lu'yan
陆岩梦,lu'yan'meng
卢延让,lu'yan'rang
卢邺,lu'ye
陆扆,lu'yi
鲁訔,lu'yin
卢殷,lu'yin
卢溵,lu'yin
路应,lu'ying
陆游,lu'you
卢栯,lu'you
陆游妾某,lu'you'qie'mou
陆羽,lu'yu
陆禹臣,lu'yu'chen
陆蕴,lu'yun
卢肇,lu'zhao
卢照邻,lu'zhao'lin
卢贞,lu'zhen
卢真,lu'zhen
陆贞洞,lu'zhen'dong
卢征,lu'zheng
陆贽,lu'zhi
卢注,lu'zhu
卢僎,lu'zhuan
陆子,lu'zi
卢子发,lu'zi'fa
卢宗回,lu'zong'hui
卢祖皋,lu'zu'gao
栾清,luan'qing
骆宾王,luo'bin'wang
洛川仙女,luo'chuan'xian'nv
罗椿,luo'chun
罗衮,luo'gun
罗炯,luo'jiong
骆浚,luo'jun
罗立言,luo'li'yan
罗虬,luo'qiu
罗让,luo'rang
罗绍威,luo'shao'wei
罗泰,luo'tai
罗惜惜,luo'xi'xi
罗珦,luo'xiang
洛阳女,luo'yang'nv
罗邺,luo'ye
罗椅,luo'yi
罗隐,luo'yin
罗颖,luo'ying
罗愿,luo'yuan
罗志仁,luo'zhi'ren
洛中举子,luo'zhong'ju'zi
罗子衎,luo'zi'kan
吕本中,lv'ben'zhong
吕敞,lv'chang
吕洞宾,lv'dong'bin
吕价,lv'jia
吕炅,lv'jiong
吕牧,lv'mu
吕南公,lv'nan'gong
闾丘次杲,lv'qiu'ci'gao
闾丘均,lv'qiu'jun
闾丘晓,lv'qiu'xiao
吕群,lv'qun
吕让,lv'rang
吕胜己,lv'sheng'ji
吕太一,lv'tai'yi
吕同老,lv'tong'lao
吕渭,lv'wei
吕渭老,lv'wei'lao
吕温,lv'wen
吕希纯,lv'xi'chun
吕岩,lv'yan
吕颐浩,lv'yi'hao
吕直夫,lv'zhi'fu
马伯升,ma'bo'sheng
马成,ma'cheng
马戴,ma'dai
马逢,ma'feng
马光祖,ma'guang'zu
马怀素,ma'huai'su
马令,ma'ling
马冉,ma'ran
马天骥,ma'tian'ji
马廷鸾,ma'ting'luan
麻温其,ma'wen'qi
马咸,ma'xian
马湘,ma'xiang
马乂,ma'yi
马异,ma'yi
马彧,ma'yu
马植,ma'zhi
马致恭,ma'zhi'gong
马致远,ma'zhi'yuan
马周,ma'zhou
马子严,ma'zi'yan
毛并,mao'bing
毛明素,mao'ming'su
毛女正美,mao'nv'zheng'mei
毛滂,mao'pang
毛奇龄,mao'qi'ling
毛文锡,mao'wen'xi
毛熙震,mao'xi'zhen
毛珝,mao'xu
毛泽东,mao'ze'dong
梅窗,mei'chuang
梅娇,mei'jiao
眉娘,mei'niang
美奴,mei'nu
梅坡,mei'po
梅顺淑,mei'shun'shu
梅尧臣,mei'yao'chen
孟翱,meng'ao
孟宾于,meng'bin'yu
孟昶,meng'chang
孟迟,meng'chi
孟贯,meng'guan
孟浩然,meng'hao'ran
孟简,meng'jian
孟郊,meng'jiao
孟匡明,meng'kuang'ming
孟球,meng'qiu
孟氏,meng'shi
孟守,meng'shou
孟翔,meng'xiang
孟彦深,meng'yan'shen
孟云卿,meng'yun'qing
米芾,mi'fu
密陀僧,mi'tuo'seng
米友仁,mi'you'ren
缅伯高,mian'bo'gao
苗发,miao'fa
苗晋卿,miao'jin'qing
妙女,miao'nv
苗仲方,miao'zhong'fang
民歌,min'ge
闽后陈氏,min'hou'chen'shi
冥吏,ming'li
明余庆,ming'yu'qing
缪氏子,miu'shi'zi
莫将,mo'jiang
莫崙,mo'lun
莫蒙,mo'meng
万俟绍之,mo'qi'shao'zhi
莫起炎,mo'qi'yan
万俟咏,mo'qi'yong
万俟造,mo'qi'zao
莫宣卿,mo'xuan'qing
某教授,mou'jiao'shou
某两地,mou'liang'di
牟融,mou'rong
牟巘,mou'yan
某邑妓,mou'yi'ji
牟子才,mou'zi'cai
穆寂,mu'ji
慕容垂,mu'rong'chui
慕容韦,mu'rong'wei
慕容嵓卿,mu'rong'yan'qing
牧童,mu'tong
慕幽,mu'you
纳兰性德,na'lan'xing'de
南北朝,nan'bei'chao
南朝民歌,nan'chao'min'ge
南巨川,nan'ju'chuan
南溟夫人,nan'ming'fu'ren
南山居士,nan'shan'ju'shi
南唐失名,nan'tang'shi'ming
南诏骠信,nan'zhao'biao'xin
南卓,nan'zhuo
倪偁,ni'chen
倪君奭,ni'jun'shi
倪翼周,ni'yi'zhou
聂胜琼,nie'sheng'qiong
聂夷中,nie'yi'zhong
牛丛,niu'cong
牛凤及,niu'feng'ji
牛峤,niu'qiao
牛僧孺,niu'seng'ru
牛殳,niu'shu
牛希济,niu'xi'ji
牛徵,niu'zheng
秾华,nong'hua
欧阳宾,ou'yang'bin
欧阳彬,ou'yang'bin
欧阳朝阳,ou'yang'chao'yang
欧阳澈,ou'yang'che
欧阳光祖,ou'yang'guang'zu
欧阳衮,ou'yang'gun
欧阳瑾,ou'yang'jin
欧阳炯,ou'yang'jiong
欧阳辟,ou'yang'pi
欧阳玭,ou'yang'pin
欧阳澥,ou'yang'xie
欧阳修,ou'yang'xiu
欧阳询,ou'yang'xun
欧阳珣,ou'yang'xun
欧阳詹,ou'yang'zhan
潘存实,pan'cun'shi
潘牥,pan'fang
潘汾,pan'fen
潘阆,pan'lang
潘良贵,pan'liang'gui
潘孟阳,pan'meng'yang
盼盼,pan'pan
潘求仁,pan'qiu'ren
潘唐,pan'tang
潘图,pan'tu
潘纬,pan'wei
潘咸,pan'xian
潘熊飞,pan'xiong'fei
潘炎,pan'yan
潘雍,pan'yong
潘佑,pan'you
潘岳,pan'yue
庞德公,pang'de'gong
庞籍,pang'ji
庞蕴,pang'yun
裴澈,pei'che
裴诚,pei'cheng
裴澄,pei'cheng
裴次元,pei'ci'yuan
裴漼,pei'cui
裴璀,pei'cui
裴达,pei'da
裴大章,pei'da'zhang
裴迪,pei'di
裴度,pei'du
裴翻,pei'fan
裴光庭,pei'guang'ting
裴航,pei'hang
裴皞,pei'hao
裴交泰,pei'jiao'tai
裴逵,pei'kui
裴潾,pei'lin
裴略,pei'lue
裴杞,pei'qi
裴虔馀,pei'qian'yu
裴虔余,pei'qian'yu
裴士淹,pei'shi'yan
裴守真,pei'shou'zhen
裴淑,pei'shu
裴说,pei'shuo
裴思谦,pei'si'qian
裴廷裕,pei'ting'yu
裴諴,pei'xian
裴湘,pei'xiang
裴翛然,pei'xiao'ran
裴谐,pei'xie
裴铏,pei'xing
裴休,pei'xiu
裴谞,pei'xu
裴玄智,pei'xuan'zhi
裴延,pei'yan
裴瑶,pei'yao
裴耀卿,pei'yao'qing
裴夷直,pei'yi'zhi
裴羽仙,pei'yu'xian
裴贽,pei'zhi
彭蟾,peng'chan
彭芳远,peng'fang'yuan
捧剑仆,peng'jian'pu
彭伉,peng'kang
彭履道,peng'lv'dao
彭叔夏,peng'shu'xia
彭耜,peng'si
彭泰翁,peng'tai'weng
彭晓,peng'xiao
彭元逊,peng'yuan'xun
彭正大,peng'zheng'da
彭止,peng'zhi
彭子翔,peng'zi'xiang
郫城令,pi'cheng'ling
皮日休,pi'ri'xiu
平曾,ping'ceng
平康妓,ping'kang'ji
破笛,po'di
鄱阳护戎,po'yang'hu'rong
蒲寿宬,pu'shou'cheng
濮阳瓘,pu'yang'guan
蒲宗孟,pu'zong'meng
栖白,qi'bai
栖蟾,qi'chan
齐浣,qi'huan
齐己,qi'ji
七岁女子,qi'sui'nv'zi
綦毋诚,qi'wu'cheng
綦毋潜,qi'wu'qian
戚逍遥,qi'xiao'yao
齐已,qi'yi
栖一,qi'yi
契盈,qi'ying
钱,qian
钱安安,qian'an'an
钱宀孙,qian'bao'sun
钱俶,qian'chu
钱处仁,qian'chu'ren
谦光,qian'guang
乾康,qian'kang
钱可复,qian'ke'fu
钱镠,qian'liu
钱起,qian'qi
钱谦益,qian'qian'yi
钱惟演,qian'wei'yan
钱信,qian'xin
钱珝,qian'xu
钱众仲,qian'zhong'zhong
强至,qiang'zhi
乔备,qiao'bei
樵夫,qiao'fu
乔吉,qiao'ji
乔侃,qiao'kan
乔琳,qiao'lin
乔氏,qiao'shi
乔舜,qiao'shun
乔知之,qiao'zhi'zhi
窃杯女子,qie'bei'nv'zi
秦觏,qin'gou
秦观,qin'guan
秦嘉,qin'jia
琴精,qin'jing
秦尚运,qin'shang'yun
秦韬玉,qin'tao'yu
秦系,qin'xi
秦湛,qin'zhan
青城丈人,qing'cheng'zhang'ren
清豁,qing'huo
清江,qing'jiang
清尚,qing'shang
青童,qing'tong
清远道士,qing'yuan'dao'shi
清源真君,qing'yuan'zhen'jun
卿云,qing'yun
丘崈,qiu'chong
丘丹,qiu'dan
丘光庭,qiu'guang'ting
秋瑾,qiu'jin
丘均闾,qiu'jun'lv
丘上卿,qiu'shang'qing
丘说,qiu'shuo
邱为,qiu'wei
丘为,qiu'wei
丘悦,qiu'yue
麹崇裕,qu'chong'yu
屈大均,qu'da'jun
去非,qu'fei
曲龙山仙,qu'long'shan'xian
屈同仙,qu'tong'xian
臞翁,qu'weng
麹信陵,qu'xin'ling
瞿佑,qu'you
屈原,qu'yuan
麹瞻,qu'zhan
权彻,quan'che
权德舆,quan'de'yu
权龙褒,quan'long'bao
权审,quan'shen
权无染,quan'wu'ran
任翻,ren'fan
任华,ren'hua
任玠,ren'jie
任生,ren'sheng
任氏,ren'shi
任希古,ren'xi'gu
任翔龙,ren'xiang'long
任彦思家,ren'yan'si'jia
任要,ren'yao
荣樵仲,rong'qiao'zhong
荣諲,rong'yin
戎昱,rong'yu
如愚居士,ru'yu'ju'shi
阮籍,ruan'ji
阮郎中,ruan'lang'zhong
阮槃溪,ruan'pan'xi
阮逸女,ruan'yi'nv
阮瑀,ruan'yu
阮元,ruan'yuan
阮阅,ruan'yue
芮辉,rui'hui
芮挺章,rui'ting'zhang
芮烨,rui'ye
若虚,ruo'xu
若耶溪女,ruo'ye'xi'nv
萨都剌,sa'dou'la
三槐,san'huai
僧儿,seng'er
僧法轨,seng'fa'gui
僧凤,seng'feng
僧贯休,seng'guan'xiu
僧皎然,seng'jiao'ran
僧鸾,seng'luan
僧齐己,seng'qi'ji
僧子兰,seng'zi'lan
沙碛女子,sha'qi'nv'zi
善生,shan'sheng
善珍,shan'zhen
上官仪,shang'guan'yi
上官昭容,shang'guan'zhao'rong
尚能,shang'neng
商山客死,shang'shan'ke'si
商山三丈,shang'shan'san'zhang
上听弹胡,shang'ting'tan'hu
尚颜,shang'yan
上元夫人,shang'yuan'fu'ren
商则,shang'ze
邵博,shao'bo
邵伯温,shao'bo'wen
邵伯雍,shao'bo'yong
邵楚苌,shao'chu'chang
邵大震,shao'da'zhen
邵桂子,shao'gui'zi
邵怀英,shao'huai'ying
邵缉,shao'ji
邵景,shao'jing
邵某,shao'mou
少年,shao'nian
邵升,shao'sheng
