安全带,an'quan'dai
早强混凝土,zao'qiang'hun'ning'tu
早强剂,zao'qiang'ji
凿岩机,zao'yan'ji
展线,zhan'xian
胀缝,zhang'feng
张拉钢筋油泵,zhang'la'gang'jin'you'beng
张拉预应力钢筋千斤顶,zhang'la'yu'ying'li'gang'jin'qian'jin'ding
罩面,zhao'mian
遮光栅,zhe'guang'shan
振捣器,zhen'dao'qi
振动筛,zhen'dong'shai
振动压路机,zhen'dong'ya'lu'ji
真缝,zhen'feng
真空泵,zhen'kong'beng
针入度,zhen'ru'du
蒸发池,zheng'fa'chi
正交叉,zheng'jiao'cha
正交桥,zheng'jiao'qiao
正桥,zheng'qiao
支撑式桥台,zhi'cheng'shi'qiao'tai
支撑桩,zhi'cheng'zhuang
制动墩,zhi'dong'dun
制动仪,zhi'dong'yi
指路标志,zhi'lu'biao'zhi
指示标志,zhi'shi'biao'zhi
支线公路,zhi'xian'gong'lu
支座,zhi'zuo
中承式桥,zhong'cheng'shi'qiao
中级路面,zhong'ji'lu'mian
中间带,zhong'jian'dai
重力式挡土墙,zhong'li'shi'dang'tu'qiang
重力式桥墩,zhong'li'shi'qiao'dun
重力式桥台,zhong'li'shi'qiao'tai
重丘区,zhong'qiu'qu
中线,zhong'xian
中线测量,zhong'xian'ce'liang
中心岛,zhong'xin'dao
中修,zhong'xiu
中央分割带,zhong'yang'fen'ge'dai
中央控制台,zhong'yang'kong'zhi'tai
中桩,zhong'zhuang
中桩填挖高度,zhong'zhuang'tian'wa'gao'du
柱板式挡土墙,zhu'ban'shi'dang'tu'qiang
主槽,zhu'cao
主梁,zhu'liang
主桥,zhu'qiao
柱式桥墩,zhu'shi'qiao'dun
转点,zhuan'dian
转角,zhuan'jiao
转体架桥法,zhuan'ti'jia'qiao'fa
专用公路,zhuan'yong'gong'lu
装拆式桥,zhuang'chai'shi'qiao
桩基础,zhuang'ji'chu
撞击韧度试验机,zhuang'ji'ren'du'shi'yan'ji
装配式桥,zhuang'pei'shi'qiao
装雪机,zhuang'xue'ji
装载机,zhuang'zai'ji
锥坡,zhui'po
自然演变冲刷,zi'ran'yan'bian'chong'shua
自卸汽车,zi'xie'qi'che
自行车道,zi'xing'che'dao
纵缝,zong'feng
综合法测图,zong'he'fa'ce'tu
纵梁,zong'liang
综面线形,zong'mian'xian'xing
纵坡,zong'po
纵向拖拉法,zong'xiang'tuo'la'fa
钻探,zuan'tan
最大纵坡,zui'da'zong'po
最高水位,zui'gao'shui'wei
最佳含水量,zui'jia'han'shui'liang
最佳级配,zui'jia'ji'pei
最小填土高度,zui'xiao'tian'tu'gao'du
最小纵坡,zui'xiao'zong'po
