哀对乐,ai'dui'le
落叶舞风高复下,luo'ye'wu'feng'gao'fu'xia
绿暗对红稀,lv'an'dui'hong'xi
绿草对青萍,lv'cao'dui'qing'ping
绿窗对朱户,lv'chuang'dui'zhu'hu
缕对麻,lv'dui'ma
驴困客方经灞水,lv'kun'ke'fang'jing'ba'shui
缕缕轻烟芳草渡,lv'lv'qing'yan'fang'cao'du
吕虔刀,lv'qian'dao
绿桑盈亩,lv'sang'ying'mu
绿莎原上牧童归,lv'sha'yuan'shang'mu'tong'gui
绿野耕夫春举耜,lv'ye'geng'fu'chun'ju'si
绿野晋公堂,lv'ye'jin'gong'tang
绿竹对苍松,lv'zhu'dui'cang'song
马车蔺为避廉颇,ma'che'lin'wei'bi'lian'po
马迁修史记,ma'qian'xiu'shi'ji
马首不容孤竹扣,ma'shou'bu'rong'gu'zhu'kou
马燧对羊欣,ma'sui'dui'yang'xin
麦穗对禾苗,mai'sui'dui'he'miao
麦穗对桑苞,mai'sui'dui'sang'bao
漫烂黄花都满径,man'lan'huang'hua'dou'man'jing
漫劳耕者守株,man'lao'geng'zhe'shou'zhu
满园花柳各争春,man'yuan'hua'liu'ge'zheng'chun
帽对衫,mao'dui'shan
茅舍无人,mao'she'wu'ren
眉对目,mei'dui'mu
梅可望,mei'ke'wang
美剌殊文,mei'la'shu'wen
媚柳对枯荷,mei'liu'dui'ku'he
梅弄月黄昏,mei'nong'yue'huang'hun
梅酸对李苦,mei'suan'dui'li'ku
闷欹珊枕掩香闺,men'qi'shan'zhen'yan'xiang'gui
门前无客曳长裾,men'qian'wu'ke'ye'chang'ju
门外打头风,men'wai'da'tou'feng
梦惊晓枕,meng'jing'xiao'zhen
梦惊枕上五更鸡,meng'jing'zhen'shang'wu'geng'ji
梦里荣华,meng'li'rong'hua
孟训文公谈性善,meng'xun'wen'gong'tan'xing'shan
密对稀,mi'dui'xi
面友对心朋,mian'you'dui'xin'peng
闵损对曾参,min'sun'dui'zeng'shen
明蟾常彻夜,ming'chan'chang'che'ye
明对暗,ming'dui'an
命驾吕因思叔夜,ming'jia'lv'yin'si'shu'ye
名缰对利锁,ming'jiang'dui'li'suo
命伊将帅,ming'yi'jiang'shuai
墨对绳,mo'dui'sheng
莫怪人讥为饿虎,mo'guai'ren'ji'wei'e'hu
墨呼松处士,mo'hu'song'chu'shi
木笔对苔钱,mu'bi'dui'tai'qian
暮鼓对晨钟,mu'gu'dui'chen'zhong
目送楼头千里雁,mu'song'lou'tou'qian'li'yan
牧子对渔翁,mu'zi'dui'yu'weng
乃士流活计,nai'shi'liu'huo'ji
男儿气壮,nan'er'qi'zhuang
南陌草青香阵阵,nan'mo'cao'qing'xiang'zhen'zhen
南浦客归,nan'pu'ke'gui
难却尘埃生榻上,nan'que'chen'ai'sheng'ta'shang
难逃世号作饥鹰,nan'tao'shi'hao'zuo'ji'ying
难忘橘绿橙黄,nan'wang'ju'lv'cheng'huang
内史对中书,nei'shi'dui'zhong'shu
能对否,neng'dui'fou
泥软燕争衔,ni'ruan'yan'zheng'xian
年年春去伤魂,nian'nian'chun'qu'shang'hun
廿四桥,nian'si'qiao
捻吟须,nian'yin'xu
酿新醅,niang'xin'pei
鸟寒惊夜月,niao'han'jing'ye'yue
鸟喈喈,niao'jie'jie
鸟翼长随,niao'yi'chang'sui
牛对马,niu'dui'ma
牛郎渡渚,niu'lang'du'zhu
浓绿柳敷阴,nong'lv'liu'fu'yin
弄银笙,nong'yin'sheng
侬知孔雀是家禽,nong'zhi'kong'que'shi'jia'qin
暖烟香霭霭,nuan'yan'xiang'ai'ai
女子眉纤,nv'zi'mei'xian
哦成诗句,o'cheng'shi'ju
偶夺骊龙颔下珠,ou'duo'li'long'han'xia'zhu
偶擎桐叶,ou'qing'tong'ye
蟠蟀对螵蛸,pan'shuai'dui'piao'xiao
潘岳不忘秋兴赋,pan'yue'bu'wang'qiu'xing'fu
匏巴能鼓瑟,pao'ba'neng'gu'se
佩剑对弯弓,pei'jian'dui'wan'gong
佩紫对纡青,pei'zi'dui'yu'qing
霹雳对虹霓,pi'li'dui'hong'ni
飘忽枕中之客,piao'hu'zhen'zhong'zhi'ke
飘扬竞把秋千舞,piao'yang'jing'ba'qiu'qian'wu
品笛对吹笳,pin'di'dui'chui'jia
贫对富,pin'dui'fu
贫里每甘藜藿味,pin'li'mei'gan'li'huo'wei
贫笑阮咸,pin'xiao'ruan'xian
平田兔少,ping'tian'tu'shao
平展青茵,ping'zhan'qing'yin
破的而探牛心,po'de'er'tan'niu'xin
破斧对征袍,po'fu'dui'zheng'pao
破屋对空阶,po'wu'dui'kong'jie
璞玉对浑金,pu'yu'dui'hun'jin
栖迟避世人,qi'chi'bi'shi'ren
欹对正,qi'dui'zheng
绮阁对雕镂,qi'ge'dui'diao'lou
奇花对异卉,qi'hua'dui'yi'hui
砌花随月转清阴,qi'hua'sui'yue'zhuan'qing'yin
棋枰对笔架,qi'ping'dui'bi'jia
萋萋芳草怨王孙,qi'qi'fang'cao'yuan'wang'sun
岂无玄豹隐南山,qi'wu'xuan'bao'yin'nan'shan
砌蚓对墙蜗,qi'yin'dui'qiang'wo
杞梓对桑榆,qi'zi'dui'sang'yu
棋子分黑白,qi'zi'fen'hei'bai
千尺水帘,qian'chi'shui'lian
千愁对一醉,qian'chou'dui'yi'zui
千点蔷薇香露,qian'dian'qiang'wei'xiang'lu
千对百,qian'dui'bai
前对后,qian'dui'hou
乾坤何匠用功磨,qian'kun'he'jiang'yong'gong'mo
千里马,qian'li'ma
千取百,qian'qu'bai
千树落花红,qian'shu'luo'hua'hong
千字策,qian'zi'ce
墙畔佳人,qiang'pan'jia'ren
巧慧对痴顽,qiao'hui'dui'chi'wan
挈榼对提壶,qie'ke'dui'ti'hu
琴对瑟,qin'dui'se
秦对赵,qin'dui'zhao
秦岭云横,qin'ling'yun'heng
秦王亲击缶,qin'wang'qin'ji'fou
琴再抚,qin'zai'fu
青布幔,qing'bu'man
青草岸边渔父去,qing'cao'an'bian'yu'fu'qu
轻尘生范甑,qing'chen'sheng'fan'zeng
晴对雨,qing'dui'yu
清对浊,qing'dui'zhuo
清风生酒舍,qing'feng'sheng'jiu'she
情深悲素扇,qing'shen'bei'su'shan
青琐闼,qing'suo'ta
青眼对白眉,qing'yan'dui'bai'mei
青眼对白头,qing'yan'dui'bai'tou
青衣能报赦,qing'yi'neng'bao'she
秋对冬,qiu'dui'dong
秋风那更夜闻蛩,qiu'feng'na'geng'ye'wen'qiong
秋寒妇念寄边衣,qiu'han'fu'nian'ji'bian'yi
秋菊傲霜开,qiu'ju'ao'shuang'kai
秋冷借霜威,qiu'leng'jie'shuang'wei
秋凉梧堕叶,qiu'liang'wu'duo'ye
秋日牧征人之马,qiu'ri'mu'zheng'ren'zhi'ma
秋霜多过雁,qiu'shuang'duo'guo'yan
秋天寒外雁雍雍,qiu'tian'han'wai'yan'yong'yong
秋添潘岳鬓边霜,qiu'tian'pan'yue'bin'bian'shuang
秋望佳人,qiu'wang'jia'ren
秋夕月明,qiu'xi'yue'ming
秋雨潇潇,qiu'yu'xiao'xiao
秋雨一川淇澳竹,qiu'yu'yi'chuan'qi'ao'zhu
秋月十分明,qiu'yue'shi'fen'ming
秋沼芰荷天,qiu'zhao'ji'he'tian
去妇因探邻舍枣,qu'fu'yin'tan'lin'she'zao
渠说子规为帝魄,qu'shuo'zi'gui'wei'di'po
鸲眼一方端石砚,qu'yan'yi'fang'duan'shi'yan
鸲鹆对鹭鸶,qu'yu'dui'lu'si
曲沼长新荷,qu'zhao'chang'xin'he
曲沼鱼多,qu'zhao'yu'duo
曲终还要锦缠头,qu'zhong'hai'yao'jin'chan'tou
屈子沉江,qu'zi'chen'jiang
犬对猫,quan'dui'mao
权衡对尺度,quan'heng'dui'chi'du
畎浍对郊墟,quan'hui'dui'jiao'xu
犬马对鸡豚,quan'ma'dui'ji'tun
犬子对羊羔,quan'zi'dui'yang'gao
雀罗对鱼网,que'luo'dui'yu'wang
却马汉文思罢献,que'ma'han'wen'si'ba'xian
冉冉白云,ran'ran'bai'yun
冉冉一溪冰,ran'ran'yi'xi'bing
让对恭,rang'dui'gong
攘鸡非君子所为,rang'ji'fei'jun'zi'suo'wei
人称连壁,ren'cheng'lian'bi
人处岭南,ren'chu'ling'nan
仁对义,ren'dui'yi
人泛木兰舟,ren'fan'mu'lan'zhou
人间清暑殿,ren'jian'qing'shu'dian
仁无敌,ren'wu'di
人浴兰汤,ren'yu'lan'tang
日暧园林花易赏,ri'ai'yuan'lin'hua'yi'shang
日迟风暖,ri'chi'feng'nuan
日东生,ri'dong'sheng
日东生而月西出,ri'dong'sheng'er'yue'xi'chu
日观对天津,ri'guan'dui'tian'jin
日将晴,ri'jiang'qing
日暮常飞红蓼岸,ri'mu'chang'fei'hong'liao'an
日暖对风和,ri'nuan'dui'feng'he
日融融,ri'rong'rong
荣对辱,rong'dui'ru
蓉裳对蕙帐,rong'shang'dui'hui'zhang
荣引鹓鸿之序,rong'yin'yuan'hong'zhi'xu
儒对士,ru'dui'shi
如对似,ru'dui'si
阮籍旧能为眼白,ruan'ji'jiu'neng'wei'yan'bai
阮途穷,ruan'tu'qiong
阮杖对桓筝,ruan'zhang'dui'huan'zheng
蕊香蜂竞采,rui'xiang'feng'jing'cai
润壑对林泉,run'he'dui'lin'quan
飒飒秋风,sa'sa'qiu'feng
塞城闻奏角,sai'cheng'wen'zou'jiao
塞对通,sai'dui'tong
塞上有鸿行已过,sai'shang'you'hong'xing'yi'guo
三尺剑,san'chi'jian
三姑石大,san'gu'shi'da
三径菊花黄,san'jing'ju'hua'huang
三弄笛,san'nong'di
三献卞和尝泣玉,san'xian'bian'he'chang'qi'yu
三月春浓,san'yue'chun'nong
三月韶光,san'yue'shao'guang
沙对水,sha'dui'shui
纱帽半淹邻舍酒,sha'mao'ban'yan'lin'she'jiu
山不断,shan'bu'duan
山川对草木,shan'chuan'dui'cao'mu
山对水,shan'dui'shui
珊瑚对玳瑁,shan'hu'dui'dai'mao
山岌岌,shan'ji'ji
山垒垒,shan'lei'lei
山明对水秀,shan'ming'dui'shui'xiu
山泼黛,shan'po'dai
山僧久隐,shan'seng'jiu'yin
山市拥晴岚,shan'shi'yong'qing'lan
山寺清幽,shan'si'qing'you
山耸有余高,shan'song'you'yu'gao
善探巨象口中齿,shan'tan'ju'xiang'kou'zhong'chi
山中梁宰相,shan'zhong'liang'zai'xiang
尚留风月在窗间,shang'liu'feng'yue'zai'chuang'jian
赏善对惩奸,shang'shan'dui'cheng'jian
上智对中庸,shang'zhi'dui'zhong'yong
少对多,shao'dui'duo
芍药丛中蝴蝶舞,shao'yao'cong'zhong'hu'die'wu
芍药对芙蓉,shao'yao'dui'fu'rong
设桥偏送笋,she'qiao'pian'song'sun
蜃对蛟,shen'dui'jiao
深对浅,shen'dui'qian
神龟出洛,shen'gui'chu'luo
身披鹤氅自王恭,shen'pi'he'chang'zi'wang'gong
深院落,shen'yuan'luo
声对色,sheng'dui'se
圣对贤,sheng'dui'xian
笙箫鸣细细,sheng'xiao'ming'xi'xi
胜游公子,sheng'you'gong'zi
时辈喜诙谐,shi'bei'xi'hui'xie
诗本仲尼删,shi'ben'zhong'ni'shan
事不忘于端午,shi'bu'wang'yu'duan'wu
诗才俊逸鲍参军,shi'cai'jun'yi'bao'can'jun
史才推永叔,shi'cai'tui'yong'shu
史册对书缄,shi'ce'dui'shu'jian
诗成六义备,shi'cheng'liu'yi'bei
誓殚犬马之劳,shi'dan'quan'ma'zhi'lao
释典对仙经,shi'dian'dui'xian'jing
是对非,shi'dui'fei
湿对干,shi'dui'gan
实对虚,shi'dui'xu
势分高下,shi'fen'gao'xia
事父对忠群,shi'fu'dui'zhong'qun
石家金谷启芳园,shi'jia'jin'gu'qi'fang'yuan
市井对闾阎,shi'jing'dui'lv'yan
石碏对江淹,shi'que'dui'jiang'yan
实为君子神交,shi'wei'jun'zi'shen'jiao
实闲客生涯,shi'xian'ke'sheng'ya
适兴子猷帝泛棹,shi'xing'zi'you'di'fan'zhao
世仰双仙,shi'yang'shuang'xian
使越对征蛮,shi'yue'dui'zheng'man
石帐对郇厨,shi'zhang'dui'xun'chu
施帐解围嘉道韫,shi'zhang'jie'wei'jia'dao'yun
适志竹篱茅舍,shi'zhi'zhu'li'mao'she
侍中卢昶,shi'zhong'lu'chang
食猪处士仅思肝,shi'zhu'chu'shi'jin'si'gan
世祖中兴延马武,shi'zu'zhong'xing'yan'ma'wu
手擘蟹螯从毕卓,shou'bo'xie'ao'cong'bi'zhuo
手剑对腰镰,shou'jian'dui'yao'lian
蜀对巴,shu'dui'ba
书对史,shu'dui'shi
竖竿以挂犊鼻,shu'gan'yi'gua'du'bi
菽麦对桑麻,shu'mai'dui'sang'ma
鼠目对茑肩,shu'mu'dui'niao'jian
书签对笔架,shu'qian'dui'bi'jia
书箧琴囊,shu'qie'qin'nang
鼠且硕,shu'qie'shuo
蜀犬对吴牛,shu'quan'dui'wu'niu
书生惜壮岁韶华,shu'sheng'xi'zhuang'sui'shao'hua
蜀水对秦川,shu'shui'dui'qin'chuan
树下汉将军,shu'xia'han'jiang'jun
书淫对传癖,shu'yin'dui'chuan'pi
数朝雾暗,shu'zhao'wu'an
叔侄去官闻广受,shu'zhi'qu'guan'wen'guang'shou
叔子带,shu'zi'dai
衰柳耐秋寒,shuai'liu'nai'qiu'han
霜对露,shuang'dui'lu
双凤翼,shuang'feng'yi
霜后阵鸿哀,shuang'hou'zhen'hong'ai
霜华满鬓,shuang'hua'man'bin
霜菊瘦,shuang'ju'shou
霜冷雁呼群,shuang'leng'yan'hu'qun
水岸对沙汀,shui'an'dui'sha'ting
水必决于西江,shui'bi'jue'yu'xi'jiang
水潺潺,shui'chan'chan
水淙淙,shui'cong'cong
水对泥,shui'dui'ni
水浮蓝,shui'fu'lan
水阁对山亭,shui'ge'dui'shan'ting
水寒鱼不跃,shui'han'yu'bu'yue
水浒对岩隈,shui'hu'dui'yan'wei
谁家秋夜圆,shui'jia'qiu'ye'yuan
水晶盐,shui'jing'yan
水流无限阔,shui'liu'wu'xian'kuo
水浅对山深,shui'qian'dui'shan'shen
水无涯,shui'wu'ya
水下润而火上炎,shui'xia'run'er'huo'shang'yan
水襄陵,shui'xiang'ling
水雁对山鸡,shui'yan'dui'shan'ji
水漾碧琉璃,shui'yang'bi'liu'li
水远对山遥,shui'yuan'dui'shan'yao
水云乡,shui'yun'xiang
谁知阮裕竟焚车,shui'zhi'ruan'yu'jing'fen'che
吮毫画者,shun'hao'hua'zhe
丝对竹,si'dui'zhu
四辅对三军,si'fu'dui'san'jun
思归王粲强登楼,si'gui'wang'can'qiang'deng'lou
四季对三秋,si'ji'dui'san'qiu
思将孔雀写为屏,si'jiang'kong'que'xie'wei'ping
驷马对安车,si'ma'dui'an'che
四目颉,si'mu'xie
思入圣贤绝域,si'ru'sheng'xian'jue'yu
丝丝微雨杏花村,si'si'wei'yu'xing'hua'cun
四知杨震固辞金,si'zhi'yang'zhen'gu'ci'jin
颂成酒德,song'cheng'jiu'de
松对柏,song'dui'bai
送对迎,song'dui'ying
宋桓魋,song'huan'tui
松杉对杞梓,song'shan'dui'qi'zi
松轩对竹槛,song'xuan'dui'zhu'kan
松郁郁,song'yu'yu
宋宗鸡,song'zong'ji
俗弊对民岩,su'bi'dui'min'yan
速对迟,su'dui'chi
宿火对塞缸,su'huo'dui'sai'gang
宿鸟对鸣虫,su'niao'dui'ming'chong
苏武节,su'wu'jie
苏武牧羊,su'wu'mu'yang
素志对丹心,su'zhi'dui'dan'xin
苏子黄岗游赤壁,su'zi'huang'gang'you'chi'bi
苏子裘,su'zi'qiu
宿醉对余酲,su'zui'dui'yu'cheng
岁旱傅为霖,sui'han'fu'wei'lin
岁冷松筠皆有节,sui'leng'song'jun'jie'you'jie
岁岁秋来泣恨,sui'sui'qiu'lai'qi'hen
孙弘东阁几时开,sun'hong'dong'ge'ji'shi'kai
台高名戏马,tai'gao'ming'xi'ma
太公舍渭水之渔,tai'gong'she'wei'shui'zhi'yu
泰山万仞势岩岩,tai'shan'wan'ren'shi'yan'yan
炭对薪,tan'dui'xin
探珠对献玉,tan'zhu'dui'xian'yu
唐李杜,tang'li'du
唐儒博识,tang'ru'bo'shi
唐诗对汉史,tang'shi'dui'han'shi
桃红对柳绿,tao'hong'dui'liu'lv
桃花流水武陵溪,tao'hua'liu'shui'wu'ling'xi
桃荠女,tao'ji'nv
桃林牛已放,tao'lin'niu'yi'fang
滔滔三峡水,tao'tao'san'xia'shui
桃枝对桂叶,tao'zhi'dui'gui'ye
桃灼灼,tao'zhuo'zhuo
剔藓对剜苔,ti'xian'dui'wan'tai
啼宵蜀鸟,ti'xiao'shu'niao
天北缺,tian'bei'que
天地对山川,tian'di'dui'shan'chuan
天寒邹吹律,tian'han'zou'chui'lv
天浩浩,tian'hao'hao
天禄对石渠,tian'lu'dui'shi'qu
天上广寒宫,tian'shang'guang'han'gong
天台孙绰赋,tian'tai'sun'chuo'fu
天文对地理,tian'wen'dui'di'li
天欲飞霜,tian'yu'fei'shuang
天欲晓,tian'yu'xiao
迢递八千远路,tiao'di'ba'qian'yuan'lu
调羹必要用盐梅,tiao'geng'bi'yao'yong'yan'mei
庭畔有人持短剑,ting'pan'you'ren'chi'duan'jian
庭前多蚁阵先排,ting'qian'duo'yi'zhen'xian'pai
庭前郁郁凉槐,ting'qian'yu'yu'liang'huai
庭叶因霜摧嫩色,ting'ye'yin'shuang'cui'nen'se
听钟宫女正梳妆,ting'zhong'gong'nv'zheng'shu'zhuang
痛饮对高歌,tong'yin'dui'gao'ge
投簪对结绶,tou'zan'dui'jie'shou
途次早行之客,tu'ci'zao'hang'zhi'ke
凸对凹,tu'dui'ao
兔多毚,tu'duo'chan
吞蝗唐太冀移灾,tun'huang'tang'tai'ji'yi'zai
晚笛对秋砧,wan'di'dui'qiu'zhen
蜿对虺,wan'dui'hui
万卷书容闲客览,wan'juan'shu'rong'xian'ke'lan
万里青山佛寺幽,wan'li'qing'shan'fo'si'you
万虑在心包,wan'lv'zai'xin'bao
玩情柳陌花衢,wan'qing'liu'mo'hua'qu
万石对千钧,wan'shi'dui'qian'jun
晚眺对晨妆,wan'tiao'dui'chen'zhuang
弯弯夜月一钩纤,wan'wan'ye'yue'yi'gou'xian
晚霞舒锦绣,wan'xia'shu'jin'xiu
晚照对晴空,wan'zhao'dui'qing'kong
往古对来今,wang'gu'dui'lai'jin
王家能乂有巫咸,wang'jia'neng'yi'you'wu'xian
往来营垒燕双双,wang'lai'ying'lei'yan'shuang'shuang
王郎帽,wang'lang'mao
忘情官爵,wang'qing'guan'jue
王衍善清谈,wang'yan'shan'qing'tan
为歌杨柳依依,wei'ge'yang'liu'yi'yi
卫瓘对浑瑊,wei'guan'dui'hun'jian
惟憾春归,wei'han'chun'gui
魏尚对周堪,wei'shang'dui'zhou'kan
未遇殷宗,wei'yu'yin'zong
魏征能直谏,wei'zheng'neng'zhi'jian
闻鼓塞兵方战斗,wen'gu'sai'bing'fang'zhan'dou
闻化蜀民皆草偃,wen'hua'shu'min'jie'cao'yan
文郎画竹,wen'lang'hua'zhu
文在淹通,wen'zai'yan'tong
握发对掀髯,wo'fa'dui'xian'ran
武城弦,wu'cheng'xian
五帝对三王,wu'di'dui'san'wang
五典对三坟,wu'dian'dui'san'fen
舞蝶对鸣蛩,wu'die'dui'ming'qiong
吴对楚,wu'dui'chu
武对文,wu'dui'wen
无对有,wu'dui'you
武夫攻骑射,wu'fu'gong'qi'she
五更天晓,wu'geng'tian'xiao
舞馆对歌台,wu'guan'dui'ge'tai
雾髻对烟鬟,wu'ji'dui'yan'huan
舞剑对围棋,wu'jian'dui'wei'qi
无客醉如泥,wu'ke'zui'ru'ni
五老峰高,wu'lao'feng'gao
舞女腰肢杨柳软,wu'nv'yao'zhi'yang'liu'ruan
乌纱半坠醉翁眠,wu'sha'ban'zhui'zui'weng'mian
巫山雨洗,wu'shan'yu'xi
梧桐对橘柚,wu'tong'dui'ju'you
巫峡夜深,wu'xia'ye'shen
五行式序,wu'xing'shi'xu
五音惟耳听,wu'yin'wei'er'ting
无鱼冯铗必须弹,wu'yu'feng'jia'bi'xu'dan
伍子欲酬渔父剑,wu'zi'yu'chou'yu'fu'jian
溪边晚钓之翁,xi'bian'wan'diao'zhi'weng
喜对忧,xi'dui'you
羲皇阐微而画卦,xi'huang'chan'wei'er'hua'gua
喜见蛟龙得水,xi'jian'jiao'long'de'shui
犀角带,xi'jiao'dai
西郊千顷稼如云,xi'jiao'qian'qing'jia'ru'yun
习孔对希颜,xi'kong'dui'xi'yan
溪流波皱碧粼粼,xi'liu'bo'zhou'bi'lin'lin
西楼人悄,xi'lou'ren'qiao
蟋蟀对螳螂,xi'shuai'dui'tang'lang
夕阳半落,xi'yang'ban'luo
溪臾新居,xi'yu'xin'ju
溪中春水半篙,xi'zhong'chun'shui'ban'gao
夏对殷,xia'dui'yin
夏候车上并潘安,xia'hou'che'shang'bing'pan'an
夏日池塘,xia'ri'chi'tang
夏日对秋霜,xia'ri'dui'qiu'shuang
夏暑客思欹石枕,xia'shu'ke'si'qi'shi'zhen
霞蔚对云蒸,xia'wei'dui'yun'zheng
夏昼对春宵,xia'zhou'dui'chun'xiao
闲爱登山穿谢屐,xian'ai'deng'shan'chuan'xie'ji
贤对圣,xian'dui'sheng
仙宫对梵宇,xian'gong'dui'fan'yu
献瓜对投李,xian'gua'dui'tou'li
仙管恰从云里降,xian'guan'qia'cong'yun'li'jiang
闲捧竹根,xian'peng'zhu'gen
闲人避暑,xian'ren'bi'shu
岘山碑,xian'shan'bei
献太平十二策,xian'tai'ping'shi'er'ce
闲骤玉骢游绮陌,xian'zhou'yu'cong'you'qi'mo
响传风雨若金镛,xiang'chuan'feng'yu'ruo'jin'yong
香对火,xiang'dui'huo
巷对街,xiang'dui'jie
象对犀,xiang'dui'xi
象对爻,xiang'dui'yao
像流莺而并语,xiang'liu'ying'er'bing'yu
象牙梳,xiang'ya'shu
象箸对犀杯,xiang'zhu'dui'xi'bei
小池塘,xiao'chi'tang
小儿衣着老莱斑,xiao'er'yi'zhuo'lao'lai'ban
小阁对长廊,xiao'ge'dui'chang'lang
晓耕对寒钓,xiao'geng'dui'han'diao
小荷浮水卷还舒,xiao'he'fu'shui'juan'hai'shu
骁将袍披仁贵白,xiao'jiang'pao'pi'ren'gui'bai
小晴蜒,xiao'qing'yan
萧史凤,xiao'shi'feng
笑语争将蹴踘抛,xiao'yu'zheng'jiang'cu'ju'pao
宵征方肃肃,xiao'zheng'fang'su'su
宵中寒映一天星,xiao'zhong'han'ying'yi'tian'xing
谢东山,xie'dong'shan
邪对正,xie'dui'zheng
斜排筝柱,xie'pai'zheng'zhu
獬豸对麒麟,xie'zhi'dui'qi'lin
心褊小人长戚戚,xin'bian'xiao'ren'chang'qi'qi
心侈唐玄,xin'chi'tang'xuan
新缔直投公子纻,xin'di'zhi'tou'gong'zi'zhu
新对旧,xin'dui'jiu
新欢对旧恨,xin'huan'dui'jiu'hen
兴常记于重阳,xing'chang'ji'yu'chong'yang
兴对废,xing'dui'fei
刑对赏,xing'dui'shang
行对止,xing'dui'zhi
星拱北,xing'gong'bei
杏花红映仲尼坛,xing'hua'hong'ying'zhong'ni'tan
行山对万水,xing'shan'dui'wan'shui
行时坐,xing'shi'zuo
行无踪,xing'wu'zong
行舟对御马,xing'zhou'dui'yu'ma
熊对虎,xiong'dui'hu
凶孽誓清闻祖逖,xiong'nie'shi'qing'wen'zu'ti
胸中吐万丈长虹,xiong'zhong'tu'wan'zhang'chang'hong
秀插云霄如玉笔,xiu'cha'yun'xiao'ru'yu'bi
休对咎,xiu'dui'jiu
绣毂对雕鞍,xiu'gu'dui'diao'an
绣虎对雕龙,xiu'hu'dui'diao'long
绣倦佳人,xiu'juan'jia'ren
羞看百炼青铜,xiu'kan'bai'lian'qing'tong
绣幕对朱帘,xiu'mu'dui'zhu'lian
羞攘臂,xiu'rang'bi
羞沾名利纤尘,xiu'zhan'ming'li'xian'chen
虚对实,xu'dui'shi
胥靡困傅岩之筑,xu'mi'kun'fu'yan'zhi'zhu
须凭诗酒养疏慵,xu'ping'shi'jiu'yang'shu'yong
徐稚榻,xu'zhi'ta
雪对风,xue'dui'feng
雪赋对风谣,xue'fu'dui'feng'yao
雪寒村舍酒难沽,xue'han'cun'she'jiu'nan'gu
雪花对云叶,xue'hua'dui'yun'ye
雪冷霜严,xue'leng'shuang'yan
雪岭对云潭,xue'ling'dui'yun'tan
雪屡餐于北海,xue'lv'can'yu'bei'hai
雪寺对云庵,xue'si'dui'yun'an
雪竹对烟萝,xue'zhu'dui'yan'luo
荀对孟,xun'dui'meng
薰风生殿阁,xun'feng'sheng'dian'ge
洵是圣人大道,xun'shi'sheng'ren'da'dao
亚父愤生撞玉斗,ya'fu'fen'sheng'zhuang'yu'dou
鸭头波泛卖鱼船,ya'tou'bo'fan'mai'yu'chuan
鸭头绿腻,ya'tou'lv'ni
燕巢依邃阁,yan'chao'yi'sui'ge
眼底对眉尖,yan'di'dui'mei'jian
沿对革,yan'dui'ge
岩对岫,yan'dui'xiu
雁飞高贴楚天云,yan'fei'gao'tie'chu'tian'yun
燕关对楚水,yan'guan'dui'chu'shui
雁行对鱼阵,yan'hang'dui'yu'zhen
艳红花弄色,yan'hong'hua'nong'se
厌看霓裳之曲,yan'kan'ni'chang'zhi'qu
燕呢喃,yan'ni'nan
筵前酒客日耽酣,yan'qian'jiu'ke'ri'dan'han
筵前舞妓,yan'qian'wu'ji
烟轻笼岸柳,yan'qing'long'an'liu
燕雀对鹏鹍,yan'que'dui'peng'kun
颜师孔子问心斋,yan'shi'kong'zi'wen'xin'zhai
烟蓑对雨笠,yan'suo'dui'yu'li
燕调雏,yan'tiao'chu
沿庭柑,yan'ting'gan
燕我弟兄,yan'wo'di'xiong
偃武对修文,yan'wu'dui'xiu'wen
燕舞对莺飞,yan'wu'dui'ying'fei
颜巷陋,yan'xiang'lou
燕于飞,yan'yu'fei
燕子对莺儿,yan'zi'dui'ying'er
羊车对鹤驾,yang'che'dui'he'jia
仰对瞻,yang'dui'zhan
羊公德大,yang'gong'de'da
杨花对桂叶,yang'hua'dui'gui'ye
羊角风摇沽酒旆,yang'jiao'feng'yao'gu'jiu'pei
养狙是山公之智,yang'ju'shi'shan'gong'zhi'zhi
杨柳岸,yang'liu'an
杨柳和烟彭泽县,yang'liu'he'yan'peng'ze'xian
杨柳绿遮无亮宅,yang'liu'lv'zhe'wu'liang'zhai
杨柳昼眠迟,yang'liu'zhou'mian'chi
扬子口中飞白凤,yang'zi'kou'zhong'fei'bai'feng
轺车对驿骑,yao'che'dui'yi'qi
尧对舜,yao'dui'shun
姚对宋,yao'dui'song
遥临万倾烟波,yao'lin'wan'qing'yan'bo
药炉茶鼎,yao'lu'cha'ding
药圃对花村,yao'pu'dui'hua'cun
尧时阶畔长祥蓂,yao'shi'jie'pan'chang'xiang'mi
尧天对舜日,yao'tian'dui'shun'ri
窈窕倾城女,yao'tiao'qing'cheng'nv
夜半高遮千里月,ye'ban'gao'zhe'qian'li'yue
野杵对村舂,ye'chu'dui'cun'chong
野店几家,ye'dian'ji'jia
野渡燕穿杨柳雨,ye'du'yan'chuan'yang'liu'yu
野妇对宫嫔,ye'fu'dui'gong'pin
野妇务蚕缫,ye'fu'wu'can'sao
叶公龙,ye'gong'long
夜将阑,ye'jiang'lan
夜寝时晨兴,ye'qin'shi'chen'xing
野烧焰腾红烁烁,ye'shao'yan'teng'hong'shuo'shuo
野兽对山禽,ye'shou'dui'shan'qin
野叟对溪童,ye'sou'dui'xi'tong
野外茸茸软草,ye'wai'rong'rong'ruan'cao
夜宴对春游,ye'yan'dui'chun'you
