暗动,an'dong
日奇被刑,ri'qi'bei'xing
日奇伏吟,ri'qi'fu'yin
日奇人墓,ri'qi'ren'mu
日奇入地,ri'qi'ru'di
日散,ri'san
日生,ri'sheng
日元,ri'yuan
日月并行,ri'yue'bing'xing
日月组合,ri'yue'zu'he
日柱,ri'zhu
日柱管岁运程,ri'zhu'guan'sui'yun'cheng
入库忌,ru'ku'ji
入墓,ru'mu
入狱自刑,ru'yu'zi'xing
三八为木,san'ba'wei'mu
三绊,san'ban
三车一览,san'che'yi'lan
三传,san'chuan
三方四正,san'fang'si'zheng
三合,san'he
三会,san'hui
三命通会,san'ming'tong'hui
三奇得使,san'qi'dei'shi
三奇六仪,san'qi'liu'yi
三奇入墓,san'qi'ru'mu
三奇受制,san'qi'shou'zhi
三壬四辛同,san'ren'si'xin'tong
三式,san'shi
三台,san'tai
三刑,san'xing
三爻,san'yao
丧门,sang'men
桑松木,sang'song'mu
桑柘木,sang'zhe'mu
煞曜,sha'yao
沙中金,sha'zhong'jin
沙中土,sha'zhong'tu
山地剥,shan'di'bo
山风蛊,shan'feng'gu
山火贲,shan'huo'ben
山雷颐,shan'lei'yi
山水蒙,shan'shui'meng
山天大畜,shan'tian'da'chu
山头火,shan'tou'huo
山下火,shan'xia'huo
山泽损,shan'ze'sun
上格,shang'ge
伤官,shang'guan
上九,shang'jiu
上克水,shang'ke'shui
上六,shang'liu
伤门,shang'men
邵彦和,shao'yan'he
少阳,shao'yang
少阴,shao'yin
射出忌,she'chu'ji
涉害法,she'hai'fa
涉害课,she'hai'ke
涉害深浅,she'hai'shen'qian
蛇入地罗,she'ru'di'luo
申藏庚壬戊,shen'cang'geng'ren'wu
神峰通考,shen'feng'tong'kao
身宫,shen'gong
申亥,shen'hai
申亥害,shen'hai'hai
申金,shen'jin
申金父母,shen'jin'fu'mu
申金父母持世,shen'jin'fu'mu'chi'shi
申金官鬼,shen'jin'guan'gui
申金官鬼持世,shen'jin'guan'gui'chi'shi
申金妻财,shen'jin'qi'cai
申金妻财持世,shen'jin'qi'cai'chi'shi
申金兄弟,shen'jin'xiong'di
申金兄弟持世,shen'jin'xiong'di'chi'shi
申金子孙,shen'jin'zi'sun
申金子孙持世,shen'jin'zi'sun'chi'shi
申日,shen'ri
身弱,shen'ruo
神煞,shen'sha
申时,shen'shi
身旺,shen'wang
申酉,shen'you
申酉戌,shen'you'xu
申酉戌人见亥为孤见未为寡,shen'you'xu'ren'jian'hai'wei'gu'jian'wei'wei'gua
申月,shen'yue
申子辰,shen'zi'chen
申子辰合化水,shen'zi'chen'he'hua'shui
申子辰见辰为华盖,shen'zi'chen'jian'chen'wei'hua'gai
申子辰见亥为亡神,shen'zi'chen'jian'hai'wei'wang'shen
申子辰见壬为月德,shen'zi'chen'jian'ren'wei'yue'de
申子辰见巳为劫煞,shen'zi'chen'jian'si'wei'jie'sha
申子辰见午为灾煞,shen'zi'chen'jian'wu'wei'zai'sha
申子辰见寅为驿马,shen'zi'chen'jian'yin'wei'yi'ma
申子辰见酉为桃花,shen'zi'chen'jian'you'wei'tao'hua
申子辰见子为将星,shen'zi'chen'jian'zi'wei'jiang'xing
申子辰马在寅,shen'zi'chen'ma'zai'yin
生扶,sheng'fu
生门,sheng'men
生年,sheng'nian
生日,sheng'ri
生时,sheng'shi
生旺墓绝,sheng'wang'mu'jue
生月,sheng'yue
世持,shi'chi
十二长生,shi'er'chang'sheng
是非忌,shi'fei'ji
时干,shi'gan
时干入墓,shi'gan'ru'mu
世空,shi'kong
失令,shi'ling
石榴木,shi'liu'mu
始入,shi'ru
食神,shi'shen
十天干生旺死绝,shi'tian'gan'sheng'wang'si'jue
时序先后,shi'xu'xian'hou
世爻,shi'yao
事爻,shi'yao
世应,shi'ying
世用,shi'yong
时柱,shi'zhu
时柱管岁运程,shi'zhu'guan'sui'yun'cheng
属火,shu'huo
属金,shu'jin
属木,shu'mu
属水,shu'shui
属土,shu'tu
衰病死,shuai'bing'si
衰相,shuai'xiang
水地比,shui'di'bi
水厄,shui'e
水二局,shui'er'ju
水风井,shui'feng'jing
水火既济,shui'huo'ji'ji
水局,shui'ju
水克火,shui'ke'huo
水库,shui'ku
水雷屯,shui'lei'tun
水山蹇,shui'shan'jian
水蛇人火,shui'she'ren'huo
水生木,shui'sheng'mu
水天需,shui'tian'xu
水土生人戌马边,shui'tu'sheng'ren'xu'ma'bian
水爻,shui'yao
水泽节,shui'ze'jie
水主智,shui'zhu'zhi
顺总逆零,shun'zong'ni'ling
巳藏丙戊庚,si'cang'bing'wu'geng
巳亥,si'hai
巳亥冲,si'hai'chong
巳亥四,si'hai'si
巳火,si'huo
巳火父母,si'huo'fu'mu
巳火父母持世,si'huo'fu'mu'chi'shi
巳火官鬼,si'huo'guan'gui
巳火官鬼持世,si'huo'guan'gui'chi'shi
巳火妻财,si'huo'qi'cai
巳火妻财持世,si'huo'qi'cai'chi'shi
巳火兄弟,si'huo'xiong'di
巳火兄弟持世,si'huo'xiong'di'chi'shi
巳火子孙,si'huo'zi'sun
巳火子孙持世,si'huo'zi'sun'chi'shi
四九为金,si'jiu'wei'jin
四课,si'ke
死门,si'men
巳日,si'ri
巳申,si'shen
巳申合,si'shen'he
巳申合化水,si'shen'he'hua'shui
巳时,si'shi
巳午未,si'wu'wei
巳午未人见申为孤见辰为寡,si'wu'wei'ren'jian'shen'wei'gu'jian'chen'wei'gua
四象,si'xiang
四爻,si'yao
巳酉丑,si'you'chou
巳酉丑合化金,si'you'chou'he'hua'jin
巳酉丑见丑为华盖,si'you'chou'jian'chou'wei'hua'gai
巳酉丑见庚为月德,si'you'chou'jian'geng'wei'yue'de
巳酉丑见亥为驿马,si'you'chou'jian'hai'wei'yi'ma
巳酉丑见卯为灾煞,si'you'chou'jian'mao'wei'zai'sha
巳酉丑见申为亡神,si'you'chou'jian'shen'wei'wang'shen
巳酉丑见午为桃花,si'you'chou'jian'wu'wei'tao'hua
巳酉丑见寅为劫煞,si'you'chou'jian'yin'wei'jie'sha
巳酉丑见酉为将星,si'you'chou'jian'you'wei'jiang'xing
巳酉丑马在亥,si'you'chou'ma'zai'hai
巳月,si'yue
四柱,si'zhu
四柱命理,si'zhu'ming'li
松柏木,song'bai'mu
岁运并临,sui'yun'bing'lin
他宫,ta'gong
太白逢星,tai'bai'feng'xing
太白擒蛇,tai'bai'qin'she
太白入网,tai'bai'ru'wang
太白入荧,tai'bai'ru'ying
胎地,tai'di
太极,tai'ji
太岁,tai'sui
太岁入卦,tai'sui'ru'gua
太阳,tai'yang
太阴,tai'yin
贪合忘生,tan'he'wang'sheng
贪狼,tan'lang
弹射,tan'she
贪生忘克,tan'sheng'wang'ke
桃花,tao'hua
腾蛇,teng'she
螣蛇,teng'she
腾蛇相缠,teng'she'xiang'chan
腾蛇夭矫,teng'she'yao'jiao
天比地冲,tian'bi'di'chong
天冲星,tian'chong'xing
天德,tian'de
天德贵人,tian'de'gui'ren
天地否,tian'di'fou
天遁,tian'dun
天风姤,tian'feng'gou
天风后,tian'feng'hou
天府,tian'fu
天福,tian'fu
天辅星,tian'fu'xing
天干,tian'gan
天干合化,tian'gan'he'hua
天干与地支作用关系,tian'gan'yu'di'zhi'zuo'yong'guan'xi
天狗,tian'gou
天官,tian'guan
天贵,tian'gui
天河水,tian'he'shui
天火同人,tian'huo'tong'ren
天机,tian'ji
天克地冲,tian'ke'di'chong
天魁,tian'kui
天牢华盖,tian'lao'hua'gai
天雷无妄,tian'lei'wu'wang
天梁,tian'liang
天罗地网,tian'luo'di'wang
天马,tian'ma
天盘,tian'pan
天篷星,tian'peng'xing
天禽星,tian'qin'xing
天任星,tian'ren'xing
天芮星,tian'rui'xing
天山遁,tian'shan'dun
天伤,tian'shang
天上火,tian'shang'huo
填实,tian'shi
天使,tian'shi
天水讼,tian'shui'song
天同,tian'tong
天网四张,tian'wang'si'zhang
天巫,tian'wu
天喜,tian'xi
天显时格,tian'xian'shi'ge
天相,tian'xiang
天心星,tian'xin'xing
天刑,tian'xing
天姚,tian'yao
天医,tian'yi
天乙伏宫,tian'yi'fu'gong
天乙贵人,tian'yi'gui'ren
天乙合会,tian'yi'he'hui
天英星,tian'ying'xing
天钺,tian'yue
天泽覆,tian'ze'fu
天泽履,tian'ze'lv
田宅,tian'zhai
天柱星,tian'zhu'xing
调候,tiao'hou
亭亭之格,ting'ting'zhi'ge
同步断诀,tong'bu'duan'jue
同功同权,tong'gong'tong'quan
同柱,tong'zhu
土猴常独卧,tu'hou'chang'du'wo
土克水,tu'ke'shui
土生金,tu'sheng'jin
土五局,tu'wu'ju
土爻,tu'yao
土主信,tu'zhu'xin
退马忌,tui'ma'ji
陀罗,tuo'luo
外卦,wai'gua
外应,wai'ying
网盖天牢,wang'gai'tian'lao
亡神下,wang'shen'xia
旺衰,wang'shuai
旺相,wang'xiang
旺相休囚,wang'xiang'xiu'qiu
旺相休囚死,wang'xiang'xiu'qiu'si
帷薄不修,wei'bo'bu'xiu
未藏己丁乙,wei'cang'ji'ding'yi
位高权轻,wei'gao'quan'qing
为害,wei'hai
未日,wei'ri
未时,wei'shi
未土,wei'tu
未土父母,wei'tu'fu'mu
未土父母持世,wei'tu'fu'mu'chi'shi
未土官鬼,wei'tu'guan'gui
未土官鬼持世,wei'tu'guan'gui'chi'shi
未土妻财,wei'tu'qi'cai
未土妻财持世,wei'tu'qi'cai'chi'shi
未土兄弟,wei'tu'xiong'di
未土兄弟持世,wei'tu'xiong'di'chi'shi
未土子孙,wei'tu'zi'sun
未土子孙持世,wei'tu'zi'sun'chi'shi
未月,wei'yue
文昌,wen'chang
文曲,wen'qu
我宫,wo'gong
五不遇时,wu'bu'yu'shi
午藏丁己,wu'cang'ding'ji
戊辰,wu'chen
戊辰己亥平地木,wu'chen'ji'hai'ping'di'mu
戊辰己巳大林木,wu'chen'ji'si'da'lin'mu
五鬼,wu'gui
戊癸辰戌五,wu'gui'chen'xu'wu
戊癸合,wu'gui'he
戊癸合化火,wu'gui'he'hua'huo
五亥六甲上,wu'hai'liu'jia'shang
五虎遁,wu'hu'dun
午火,wu'huo
午火父母,wu'huo'fu'mu
午火父母持世,wu'huo'fu'mu'chi'shi
午火官鬼,wu'huo'guan'gui
午火官鬼持世,wu'huo'guan'gui'chi'shi
午火妻财,wu'huo'qi'cai
午火妻财持世,wu'huo'qi'cai'chi'shi
午火兄弟,wu'huo'xiong'di
午火兄弟持世,wu'huo'xiong'di'chi'shi
午火子孙,wu'huo'zi'sun
午火子孙持世,wu'huo'zi'sun'chi'shi
五居中央,wu'ju'zhong'yang
戊年,wu'nian
无亲,wu'qin
武曲,wu'qu
午日,wu'ri
屋上土,wu'shang'tu
戊申,wu'shen
戊申己酉大驿土,wu'shen'ji'you'da'yi'tu
午时,wu'shi
五十为土,wu'shi'wei'tu
五鼠遁,wu'shu'dun
戊土,wu'tu
午未,wu'wei
午未合,wu'wei'he
午未合化土,wu'wei'he'hua'tu
戊午,wu'wu
戊午己未天上火,wu'wu'ji'wei'tian'shang'huo
五行,wu'xing
五行精纪,wu'xing'jing'ji
五行生克,wu'xing'sheng'ke
五行旺衰,wu'xing'wang'shuai
戊戌,wu'xu
五阳干,wu'yang'gan
五爻,wu'yao
无依,wu'yi
戊寅,wu'yin
芜淫,wu'yin
五阴干,wu'yin'gan
戊寅己卯城头土,wu'yin'ji'mao'cheng'tou'tu
无用动爻,wu'yong'dong'yao
戊于,wu'yu
午月,wu'yue
戊子,wu'zi
戊子己丑霹雳火,wu'zi'ji'chou'pi'li'huo
西方金,xi'fang'jin
喜神,xi'shen
咸池,xian'chi
相害,xiang'hai
相克,xiang'ke
相生,xiang'sheng
象数,xiang'shu
相刑,xiang'xing
小蛇得势,xiao'she'de'shi
小蛇化龙,xiao'she'hua'long
小限,xiao'xian
小运,xiao'yun
辛病在午,xin'bing'zai'wu
辛丑,xin'chou
辛帝旺在申,xin'di'wang'zai'shen
辛冠带在戌,xin'guan'dai'zai'xu
辛亥,xin'hai
辛金,xin'jin
辛绝在卯,xin'jue'zai'mao
辛临官在酉,xin'lin'guan'zai'you
辛禄在酉,xin'lu'zai'you
辛卯,xin'mao
辛沐浴在亥,xin'mu'yu'zai'hai
辛墓在辰,xin'mu'zai'chen
辛年,xin'nian
新派理论,xin'pai'li'lun
新派四柱,xin'pai'si'zhu
辛刃在申,xin'ren'zai'shen
辛衰在未,xin'shuai'zai'wei
辛巳,xin'si
辛死在巳,xin'si'zai'si
辛胎在寅,xin'tai'zai'yin
辛未,xin'wei
辛养在丑,xin'yang'zai'chou
辛已,xin'yi
辛酉,xin'you
性格,xing'ge
刑格返名,xing'ge'fan'ming
刑克,xing'ke
星门入墓,xing'men'ru'mu
行年,xing'nian
星奇入太阴,xing'qi'ru'tai'yin
星奇朱雀,xing'qi'zhu'que
刑伤,xing'shang
星随月转,xing'sui'yue'zhuan
星耀,xing'yao
兄弟,xiong'di
兄弟辰土,xiong'di'chen'tu
兄弟辰土持世,xiong'di'chen'tu'chi'shi
兄弟持世,xiong'di'chi'shi
兄弟丑土,xiong'di'chou'tu
兄弟丑土持世,xiong'di'chou'tu'chi'shi
兄弟亥水,xiong'di'hai'shui
兄弟亥水持世,xiong'di'hai'shui'chi'shi
兄弟姐妹,xiong'di'jie'mei
兄弟卯木,xiong'di'mao'mu
兄弟卯木持世,xiong'di'mao'mu'chi'shi
兄弟申金,xiong'di'shen'jin
兄弟申金持世,xiong'di'shen'jin'chi'shi
兄弟巳火,xiong'di'si'huo
兄弟巳火持世,xiong'di'si'huo'chi'shi
兄弟未土,xiong'di'wei'tu
兄弟未土持世,xiong'di'wei'tu'chi'shi
兄弟午火,xiong'di'wu'huo
兄弟午火持世,xiong'di'wu'huo'chi'shi
兄弟戌土,xiong'di'xu'tu
兄弟戌土持世,xiong'di'xu'tu'chi'shi
兄弟寅木,xiong'di'yin'mu
兄弟寅木持世,xiong'di'yin'mu'chi'shi
兄弟酉金,xiong'di'you'jin
兄弟酉金持世,xiong'di'you'jin'chi'shi
兄弟子水,xiong'di'zi'shui
兄弟子水持世,xiong'di'zi'shui'chi'shi
凶格,xiong'ge
凶蛇人狱,xiong'she'ren'yu
休门,xiu'men
休囚,xiu'qiu
戌藏戊辛丁,xu'cang'wu'xin'ding
戌亥,xu'hai
戌日,xu'ri
戌时,xu'shi
戌土,xu'tu
戌土父母,xu'tu'fu'mu
戌土父母持世,xu'tu'fu'mu'chi'shi
戌土官鬼,xu'tu'guan'gui
戌土官鬼持世,xu'tu'guan'gui'chi'shi
戌土妻财,xu'tu'qi'cai
戌土妻财持世,xu'tu'qi'cai'chi'shi
戌土兄弟,xu'tu'xiong'di
戌土兄弟持世,xu'tu'xiong'di'chi'shi
戌土子孙,xu'tu'zi'sun
戌土子孙持世,xu'tu'zi'sun'chi'shi
戌月,xu'yue
徐子平,xu'zi'ping
玄空,xuan'kong
玄武,xuan'wu
巽宫,xun'gong
巽宫八卦,xun'gong'ba'gua
巽卦,xun'gua
循环忌,xun'huan'ji
旬空,xun'kong
巽四宫,xun'si'gong
巽为风,xun'wei'feng
巽五,xun'wu
巽下断,xun'xia'duan
养地,yang'di
阳动,yang'dong
阳贵,yang'gui
阳火,yang'huo
阳金,yang'jin
杨柳木,yang'liu'mu
阳木,yang'mu
阳男,yang'nan
阳女,yang'nv
羊刃,yang'ren
阳刃,yang'ren
阳水,yang'shui
阳土,yang'tu
摇卦,yao'gua
遥克法,yao'ke'fa
遥克课,yao'ke'ke
爻位,yao'wei
爻象,yao'xiang
爻象图,yao'xiang'tu
野鹤秘传,ye'he'mi'chuan
乙病在子,yi'bing'zai'zi
乙长生在午,yi'chang'sheng'zai'wu
乙丑,yi'chou
乙帝旺在寅,yi'di'wang'zai'yin
乙丁己辛癸,yi'ding'ji'xin'gui
乙庚丑未八,yi'geng'chou'wei'ba
乙庚合,yi'geng'he
乙庚合化金,yi'geng'he'hua'jin
易卦,yi'gua
乙冠带在辰,yi'guan'dai'zai'chen
乙亥,yi'hai
乙己鼠猴乡,yi'ji'shu'hou'xiang
乙绝在酉,yi'jue'zai'you
乙临官在卯,yi'lin'guan'zai'mao
一六为水,yi'liu'wei'shui
乙禄在卯,yi'lu'zai'mao
驿马,yi'ma
乙卯,yi'mao
易冒,yi'mao
乙木,yi'mu
乙沐浴在巳,yi'mu'yu'zai'si
乙墓在戌,yi'mu'zai'xu
乙年,yi'nian
乙奇,yi'qi
一气专旺,yi'qi'zhuan'wang
乙刃在寅,yi'ren'zai'yin
乙衰在丑,yi'shuai'zai'chou
乙巳,yi'si
一四四诀,yi'si'si'jue
乙死在亥,yi'si'zai'hai
乙胎在申,yi'tai'zai'shen
意外灾难,yi'wai'zai'nan
乙未,yi'wei
乙养在未,yi'yang'zai'wei
乙已,yi'yi
易隐,yi'yin
乙酉,yi'you
异柱,yi'zhu
引拔,yin'ba
寅藏甲丙戊,yin'cang'jia'bing'wu
阴差阳错,yin'cha'yang'cuo
淫荡之合,yin'dang'zhi'he
阴动,yin'dong
阴贵,yin'gui
寅亥,yin'hai
寅亥合,yin'hai'he
寅亥合化木,yin'hai'he'hua'mu
阴害阳门,yin'hai'yang'men
阴火,yin'huo
阴金,yin'jin
寅卯,yin'mao
寅卯辰,yin'mao'chen
寅卯辰人见巳为孤见丑为寡,yin'mao'chen'ren'jian'si'wei'gu'jian'chou'wei'gua
寅木,yin'mu
阴木,yin'mu
寅木父母,yin'mu'fu'mu
寅木父母持世,yin'mu'fu'mu'chi'shi
寅木官鬼,yin'mu'guan'gui
寅木官鬼持世,yin'mu'guan'gui'chi'shi
寅木妻财,yin'mu'qi'cai
寅木妻财持世,yin'mu'qi'cai'chi'shi
寅木兄弟,yin'mu'xiong'di
寅木兄弟持世,yin'mu'xiong'di'chi'shi
寅木子孙,yin'mu'zi'sun
寅木子孙持世,yin'mu'zi'sun'chi'shi
阴男,yin'nan
阴女,yin'nv
寅日,yin'ri
阴煞,yin'sha
寅申,yin'shen
寅申冲,yin'shen'chong
寅时,yin'shi
阴水,yin'shui
寅巳,yin'si
寅巳害,yin'si'hai
寅巳申,yin'si'shen
印土,yin'tu
寅午戌,yin'wu'xu
寅午戌合化火,yin'wu'xu'he'hua'huo
寅午戌见丙为月德,yin'wu'xu'jian'bing'wei'yue'de
寅午戌见亥为劫煞,yin'wu'xu'jian'hai'wei'jie'sha
寅午戌见卯为桃花,yin'wu'xu'jian'mao'wei'tao'hua
寅午戌见申为驿马,yin'wu'xu'jian'shen'wei'yi'ma
寅午戌见巳为亡神,yin'wu'xu'jian'si'wei'wang'shen
寅午戌见午为将星,yin'wu'xu'jian'wu'wei'jiang'xing
寅午戌见戌为华盖,yin'wu'xu'jian'xu'wei'hua'gai
寅午戌见子为灾煞,yin'wu'xu'jian'zi'wei'zai'sha
寅午戌马在申,yin'wu'xu'ma'zai'shen
阴阳,yin'yang
阴阳与五行,yin'yang'yu'wu'xing
寅月,yin'yue
应持,ying'chi
应好事,ying'hao'shi
应坏事,ying'huai'shi
应空,ying'kong
应期,ying'qi
荧入太白,ying'ru'tai'bai
应事,ying'shi
应爻,ying'yao
用九,yong'jiu
用六,yong'liu
用神,yong'shen
用神克世,yong'shen'ke'shi
用神生世,yong'shen'sheng'shi
用神衰败,yong'shen'shuai'bai
用旺世兴,yong'wang'shi'xing
用爻,yong'yao
右弼,you'bi
游魂,you'hun
游魂入墓,you'hun'ru'mu
酉金,you'jin
酉金父母,you'jin'fu'mu
酉金父母持世,you'jin'fu'mu'chi'shi
酉金官鬼,you'jin'guan'gui
酉金官鬼持世,you'jin'guan'gui'chi'shi
酉金妻财,you'jin'qi'cai
酉金妻财持世,you'jin'qi'cai'chi'shi
酉金兄弟,you'jin'xiong'di
酉金兄弟持世,you'jin'xiong'di'chi'shi
酉金子孙,you'jin'zi'sun
酉金子孙持世,you'jin'zi'sun'chi'shi
幼女奸淫,you'nv'jian'yin
酉日,you'ri
酉时,you'shi
酉戌,you'xu
酉戌害,you'xu'hai
有用动爻,you'yong'dong'yao
酉月,you'yue
预测模式,yu'ce'mo'shi
预测术,yu'ce'shu
玉女守门,yu'nv'shou'men
余气,yu'qi
狱神得奇,yu'shen'de'qi
玉照定真经,yu'zhao'ding'zhen'jing
渊海子平,yuan'hai'zi'ping
原命局,yuan'ming'ju
元神,yuan'shen
原神,yuan'shen
元首,yuan'shou
远信必至,yuan'xin'bi'zhi
月德,yue'de
月德贵人,yue'de'gui'ren
月干,yue'gan
月合,yue'he
月建,yue'jian
月将,yue'jiang
月克,yue'ke
月令,yue'ling
月墓,yue'mu
月破,yue'po
月奇悖师,yue'qi'bei'shi
月生,yue'sheng
月柱,yue'zhu
月柱管岁运程,yue'zhu'guan'sui'yun'cheng
运程,yun'cheng
云遁,yun'dun
运限,yun'xian
杂气,za'qi
灾煞,zai'sha
泽地翠,ze'di'cui
泽地萃,ze'di'cui
泽风大过,ze'feng'da'guo
泽宫八卦,ze'gong'ba'gua
泽火革,ze'huo'ge
泽雷随,ze'lei'sui
泽山咸,ze'shan'xian
泽水困,ze'shui'kun
泽天夬,ze'tian'jue
贼克法,zei'ke'fa
贼克课,zei'ke'ke
增删卜易,zeng'shan'bu'yi
战格,zhan'ge
掌诀,zhang'jue
震宫,zhen'gong
震宫八卦,zhen'gong'ba'gua
震卦,zhen'gua
震三宫,zhen'san'gong
震四,zhen'si
震为雷,zhen'wei'lei
震仰盂,zhen'yang'yu
正财,zheng'cai
正丁二申宫,zheng'ding'er'shen'gong
正官,zheng'guan
徵验,zheng'yan
正印,zheng'yin
值符,zhi'fu
值符飞宫,zhi'fu'fei'gong
置闰,zhi'run
知一,zhi'yi
中传,zhong'chuan
中气,zhong'qi
主卦,zhu'gua
竹罗三限,zhu'luo'san'xian
朱雀,zhu'que
朱雀入墓,zhu'que'ru'mu
朱雀入狱,zhu'que'ru'yu
朱雀投江,zhu'que'tou'jiang
装卦,zhuang'gua
缀瑕,zhui'xia
子丑,zi'chou
子丑合,zi'chou'he
子丑合化土,zi'chou'he'hua'tu
自化忌,zi'hua'ji
自化科,zi'hua'ke
自化禄,zi'hua'lu
自化权,zi'hua'quan
子卯,zi'mao
子女,zi'nv
子平真侄,zi'ping'zhen'zhi
自任,zi'ren
子日,zi'ri
子时,zi'shi
子水,zi'shui
子水父母,zi'shui'fu'mu
子水父母持世,zi'shui'fu'mu'chi'shi
子水官鬼,zi'shui'guan'gui
子水官鬼持世,zi'shui'guan'gui'chi'shi
子水妻财,zi'shui'qi'cai
子水妻财持世,zi'shui'qi'cai'chi'shi
子水兄弟,zi'shui'xiong'di
子水兄弟持世,zi'shui'xiong'di'chi'shi
子水子孙,zi'shui'zi'sun
子水子孙持世,zi'shui'zi'sun'chi'shi
子巳丑庚中,zi'si'chou'geng'zhong
子孙,zi'sun
子孙辰土,zi'sun'chen'tu
子孙辰土持世,zi'sun'chen'tu'chi'shi
子孙持世,zi'sun'chi'shi
子孙丑土,zi'sun'chou'tu
子孙丑土持世,zi'sun'chou'tu'chi'shi
子孙亥水,zi'sun'hai'shui
子孙亥水持世,zi'sun'hai'shui'chi'shi
子孙卯木,zi'sun'mao'mu
子孙卯木持世,zi'sun'mao'mu'chi'shi
子孙申金,zi'sun'shen'jin
子孙申金持世,zi'sun'shen'jin'chi'shi
子孙巳火,zi'sun'si'huo
子孙巳火持世,zi'sun'si'huo'chi'shi
子孙未土,zi'sun'wei'tu
子孙未土持世,zi'sun'wei'tu'chi'shi
子孙午火,zi'sun'wu'huo
子孙午火持世,zi'sun'wu'huo'chi'shi
子孙戌土,zi'sun'xu'tu
子孙戌土持世,zi'sun'xu'tu'chi'shi
子孙寅木,zi'sun'yin'mu
子孙寅木持世,zi'sun'yin'mu'chi'shi
子孙酉金,zi'sun'you'jin
子孙酉金持世,zi'sun'you'jin'chi'shi
子孙子水,zi'sun'zi'shui
子孙子水持世,zi'sun'zi'shui'chi'shi
子未,zi'wei
紫微,zi'wei
紫微斗数,zi'wei'dou'shu
子未害,zi'wei'hai
子午,zi'wu
子午冲,zi'wu'chong
自信,zi'xin
自刑,zi'xing
子月,zi'yue
自占,zi'zhan
左辅,zuo'fu
左三右七,zuo'san'you'qi
