阿昌族服饰,a'chang'zu'fu'shi
行缠,xing'chan
行褂,xing'gua
行袍,xing'pao
行裳,xing'shang
行滕,xing'teng
胸背,xiong'bei
胸罩,xiong'zhao
绣补,xiu'bu
休闲服装,xiu'xian'fu'zhuang
绣鞋,xiu'xie
绣衣,xiu'yi
恤衫,xu'shan
须坠,xu'zhui
旋袄,xuan'ao
玄紞,xuan'dan
玄端,xuan'duan
玄冠,xuan'guan
玄狐服,xuan'hu'fu
玄甲,xuan'jia
玄冕,xuan'mian
旋裙,xuan'qun
玄制,xuan'zhi
紃屦,xun'ju
压耳帽,ya'er'mao
压发帽,ya'fa'mao
鸦黄,ya'huang
鸦髻,ya'ji
丫髻,ya'ji
鸭舌帽,ya'she'mao
压止口,ya'zhi'kou
烟墩帽,yan'dun'mao
讌服,yan'fu
燕尾衫,yan'wei'shan
燕子领,yan'zi'ling
洋裁,yang'cai
羊肠裙,yang'chang'qun
洋服,yang'fu
扬州挂花头,yang'zhou'gua'hua'tou
洋装,yang'zhuang
腰綵,yao'cai
腰带,yao'dai
腰巾,yao'jin
腰裙,yao'qun
腰上黄,yao'shang'huang
腰子,yao'zi
瑶族服饰,yao'zu'fu'shi
野服,ye'fu
衣被,yi'bei
衵服,yi'fu
繄袼,yi'ge
衣工,yi'gong
衣圭,yi'gui
一裹圆,yi'guo'yuan
义髻,yi'ji
一口钟,yi'kou'zhong
医疗袜,yi'liao'wa
一色服,yi'se'fu
一色衣,yi'se'yi
翼善冠,yi'shan'guan
蚁裳,yi'shang
衣裳,yi'shang
一统山河,yi'tong'shan'he
一统天和,yi'tong'tian'he
衣物银花片饰件,yi'wu'yin'hua'pian'shi'jian
衣著,yi'zhu
一字巾,yi'zi'jin
彝族服饰,yi'zu'fu'shi
银甲,yin'jia
银衣,yin'yi
硬领,ying'ling
褕狄,yu'di
裕固族服饰,yu'gu'zu'fu'shi
鹬冠,yu'guan
鱼甲,yu'jia
育克裙,yu'ke'qun
鱼鳞百褶裙,yu'lin'bai'zhe'qun
鱼媚子,yu'mei'zi
玉逍遥,yu'xiao'yao
玉叶冠,yu'ye'guan
浴衣,yu'yi
雨缨,yu'ying
褕翟,yu'zhai
元宝冠,yuan'bao'guan
圆顶帽,yuan'ding'mao
圆环椎髻,yuan'huan'zhui'ji
圆口一带式皮鞋,yuan'kou'yi'dai'shi'pi'xie
圆帽,yuan'mao
远山眉,yuan'shan'mei
鸳鸯履,yuan'yang'lv
缘衣,yuan'yi
远游冠,yuan'you'guan
圆装袖,yuan'zhuang'xiu
月华裙,yue'hua'qun
月棱眉,yue'leng'mei
月牙边,yue'ya'bian
运动裤,yun'dong'ku
运动式时装,yun'dong'shi'shi'zhuang
运动袜,yun'dong'wa
孕妇服,yun'fu'fu
云肩,yun'jian
云巾,yun'jin
缊袍,yun'pao
云纹缉花,yun'wen'ji'hua
藏族服饰,zang'zu'fu'shi
藏族围裙,zang'zu'wei'qun
藻火,zao'huo
扎结领,zha'jie'ling
斋冠,zhai'guan
毡帽,zhan'mao
旃裘,zhan'qiu
毡裘,zhan'qiu
展衣,zhan'yi
章服,zhang'fu
章甫,zhang'fu
章服制度,zhang'fu'zhi'du
罩甲,zhao'jia
罩袖,zhao'xiu
折裥裙,zhe'jian'qun
折角巾,zhe'jiao'jin
折上巾,zhe'shang'jin
遮阳帽,zhe'yang'mao
赭衣,zhe'yi
针迹缉线,zhen'ji'ji'xian
针神,zhen'shen
针黹,zhen'zhi
针织帽,zhen'zhi'mao
直裰,zhi'duo
直掇,zhi'duo
豸冠,zhi'guan
纸甲,zhi'jia
直裙,zhi'qun
直身,zhi'shen
直身裙,zhi'shen'qun
只孙,zhi'sun
质孙服,zhi'sun'fu
直筒裤,zhi'tong'ku
中单,zhong'dan
中官帽,zhong'guan'mao
忠靖冠,zhong'jing'guan
中裤,zhong'ku
中山装,zhong'shan'zhuang
中式服装,zhong'shi'fu'zhuang
重台履,zhong'tai'lv
中西式服装,zhong'xi'shi'fu'zhuang
中西式罩衫,zhong'xi'shi'zhao'shan
中性服装,zhong'xing'fu'zhuang
中腰节裙,zhong'yao'jie'qun
皱裥裙,zhou'jian'qun
朱绂,zhu'fu
诸葛巾,zhu'ge'jin
柱后,zhu'hou
珠履,zhu'lv
竹皮冠,zhu'pi'guan
苎绥,zhu'sui
竹叶冠,zhu'ye'guan
竹衣,zhu'yi
诸于,zhu'yu
装连袖,zhuang'lian'xiu
妆面,zhuang'mian
装饰袋,zhuang'shi'dai
妆靥,zhuang'ye
壮族服饰,zhuang'zu'fu'shi
坠马髻,zhui'ma'ji
缁布冠,zi'bu'guan
缁撮,zi'cuo
紫绂,zi'fu
子衿,zi'jin
紫衫,zi'shan
缁衣,zi'yi
棕衣,zong'yi
组合服装,zu'he'fu'zhuang
足衣,zu'yi
组缨,zu'ying
蕞角巾,zui'jiao'jin
醉妆,zui'zhuang
遵王履,zun'wang'lv
繜衣,zun'yi
作裙,zuo'qun
左衽,zuo'ren
