暗煤,an'mei
检查筛分,jian'cha'shai'fen
拣矸,jian'gan
拣矸效率,jian'gan'xiao'lv
间接磁选,jian'jie'ci'xuan
检修车间,jian'xiu'che'jian
检修孔,jian'xiu'kong
检修梁,jian'xiu'liang
检修设备,jian'xiu'she'bei
兼选,jian'xuan
减振装置,jian'zhen'zhuang'zhi
建筑模数,jian'zhu'mo'shu
降灰,jiang'hui
浆料槽,jiang'liao'cao
搅拌器,jiao'ban'qi
搅拌式,jiao'ban'shi
搅拌桶,jiao'ban'tong
焦饼,jiao'bing
胶带层数,jiao'dai'ceng'shu
胶带秤,jiao'dai'cheng
胶带机,jiao'dai'ji
胶带轮,jiao'dai'lun
胶带输送机,jiao'dai'shu'song'ji
胶带走廊,jiao'dai'zou'lang
焦煤,jiao'mei
胶面,jiao'mian
焦炭,jiao'tan
交通位置图,jiao'tong'wei'zhi'tu
校验砝码,jiao'yan'fa'ma
焦渣,jiao'zha
角锥沉淀池,jiao'zhui'chen'dian'chi
角锥池,jiao'zhui'chi
解冻库,jie'dong'ku
介耗,jie'hao
结焦性,jie'jiao'xing
洁净煤,jie'jing'mei
解离粒度,jie'li'li'du
阶梯式燃烧炉,jie'ti'shi'ran'shao'lu
介质泵,jie'zhi'beng
介质流程,jie'zhi'liu'cheng
介质磨碎机,jie'zhi'mo'sui'ji
介质浓缩,jie'zhi'nong'suo
介质平衡表,jie'zhi'ping'heng'biao
介质桶,jie'zhi'tong
介质系统,jie'zhi'xi'tong
介质系统平衡表,jie'zhi'xi'tong'ping'heng'biao
介质制备车间,jie'zhi'zhi'bei'che'jian
进料粒度,jin'liao'li'du
浸没高度,jin'mo'gao'du
进气盖板,jin'qi'gai'ban
进气室,jin'qi'shi
金属丝方孔筛,jin'shu'si'fang'kong'shai
尽头式,jin'tou'shi
精查,jing'cha
井格,jing'ge
晶格化,jing'ge'hua
井格基础,jing'ge'ji'chu
净化回收,jing'hua'hui'shou
净化浓缩机,jing'hua'nong'suo'ji
经济比较,jing'ji'bi'jiao
经济专业,jing'ji'zhuan'ye
精矿,jing'kuang
精矿槽,jing'kuang'cao
精矿缓冲槽,jing'kuang'huan'chong'cao
镜煤,jing'mei
精煤,jing'mei
精煤仓,jing'mei'cang
精煤产率,jing'mei'chan'lv
精煤储煤场,jing'mei'chu'mei'chang
精煤段,jing'mei'duan
精煤分级筛,jing'mei'fen'ji'shai
精煤分级脱水筛,jing'mei'fen'ji'tuo'shui'shai
精煤快速压滤机,jing'mei'kuai'su'ya'lv'ji
精煤理论产率,jing'mei'li'lun'chan'lv
精煤离心机,jing'mei'li'xin'ji
精煤溜槽,jing'mei'liu'cao
精煤筛,jing'mei'shai
精煤脱介筛,jing'mei'tuo'jie'shai
精煤脱介脱水筛,jing'mei'tuo'jie'tuo'shui'shai
精煤脱水筛,jing'mei'tuo'shui'shai
精煤脱水脱介筛,jing'mei'tuo'shui'tuo'jie'shai
精煤稀介桶,jing'mei'xi'jie'tong
精煤贮煤场,jing'mei'zhu'mei'chang
精确给料,jing'que'gei'liao
静水塔,jing'shui'ta
井塔,jing'ta
静态轨道衡,jing'tai'gui'dao'heng
井田地质精查报告,jing'tian'di'zhi'jing'cha'bao'gao
经验公式,jing'yan'gong'shi
镜质,jing'zhi
静止角,jing'zhi'jiao
镜质组,jing'zhi'zu
聚氨酯筛板,ju'an'zhi'shai'ban
聚氨酯筛面,ju'an'zhi'shai'mian
矩形仓,ju'xing'cang
卷扬机,juan'yang'ji
均混,jun'hun
均混入洗,jun'hun'ru'xi
开孔,kai'kong
开孔率,kai'kong'lv
开路破碎,kai'lu'po'sui
开挖,kai'wa
抗碎,kang'sui
抗碎强度,kang'sui'qiang'du
可动齿辊,ke'dong'chi'gun
可翻转弧形筛,ke'fan'zhuan'hu'xing'shai
可浮性,ke'fu'xing
可浮性试验,ke'fu'xing'shi'yan
刻划,ke'hua
刻划硬度,ke'hua'ying'du
可磨性,ke'mo'xing
可能偏差,ke'neng'pian'cha
可能性偏差,ke'neng'xing'pian'cha
可逆配仓胶带输送机,ke'ni'pei'cang'jiao'dai'shu'song'ji
可逆配仓输送机,ke'ni'pei'cang'shu'song'ji
可碎性,ke'sui'xing
可碎性试验,ke'sui'xing'shi'yan
可行性研究,ke'xing'xing'yan'jiu
可行性研究报告,ke'xing'xing'yan'jiu'bao'gao
可选,ke'xuan
可选性,ke'xuan'xing
可选性曲线,ke'xuan'xing'qu'xian
坑口,keng'kou
坑探,keng'tan
孔板,kong'ban
空车铁牛,kong'che'tie'niu
空段,kong'duan
空段清扫器,kong'duan'qing'sao'qi
空气干燥基,kong'qi'gan'zao'ji
空气干燥基水分,kong'qi'gan'zao'ji'shui'fen
空气介质流,kong'qi'jie'zhi'liu
空气室,kong'qi'shi
空气提升器,kong'qi'ti'sheng'qi
空气线,kong'qi'xian
空气箱,kong'qi'xiang
空气压缩机,kong'qi'ya'suo'ji
空气重介流化床,kong'qi'zhong'jie'liu'hua'chuang
空压机,kong'ya'ji
空压机房,kong'ya'ji'fang
块矸石,kuai'gan'shi
块精煤,kuai'jing'mei
块精煤仓,kuai'jing'mei'cang
块精煤离心机,kuai'jing'mei'li'xin'ji
快开式隔膜压滤机,kuai'kai'shi'ge'mo'ya'lv'ji
快开式压滤机,kuai'kai'shi'ya'lv'ji
块煤槽选机,kuai'mei'cao'xuan'ji
块煤分级筛,kuai'mei'fen'ji'shai
块煤离心机,kuai'mei'li'xin'ji
块煤跳汰,kuai'mei'tiao'tai
块煤跳汰机,kuai'mei'tiao'tai'ji
块煤限下率,kuai'mei'xian'xia'lv
块煤重介,kuai'mei'zhong'jie
快速定量装车站,kuai'su'ding'liang'zhuang'che'zhan
快速给料,kuai'su'gei'liao
宽槽,kuan'cao
宽槽型,kuan'cao'xing
宽分级,kuan'fen'ji
矿仓,kuang'cang
矿车,kuang'che
矿灯房,kuang'deng'fang
矿粉,kuang'fen
矿化,kuang'hua
矿浆泵,kuang'jiang'beng
矿浆槽,kuang'jiang'cao
矿浆分配器,kuang'jiang'fen'pei'qi
矿浆管,kuang'jiang'guan
矿浆密度,kuang'jiang'mi'du
矿浆桶,kuang'jiang'tong
矿浆通过量,kuang'jiang'tong'guo'liang
矿浆预处理器,kuang'jiang'yu'chu'li'qi
矿浆准备器,kuang'jiang'zhun'bei'qi
矿井选煤厂,kuang'jing'xuan'mei'chang
矿井资料,kuang'jing'zi'liao
矿粒,kuang'li
矿区概况,kuang'qu'gai'kuang
矿区选煤厂,kuang'qu'xuan'mei'chang
矿物加工,kuang'wu'jia'gong
矿物加工工程,kuang'wu'jia'gong'gong'cheng
矿物加工工程专业,kuang'wu'jia'gong'gong'cheng'zhuan'ye
矿物学,kuang'wu'xue
扩建厂,kuo'jian'chang
拉板装置,la'ban'zhuang'zhi
拉紧滚筒,la'jin'gun'tong
拉紧绳轮,la'jin'sheng'lun
拉绳保护,la'sheng'bao'hu
来料粒度,lai'liao'li'du
来煤,lai'mei
来煤皮带,lai'mei'pi'dai
来样煤,lai'yang'mei
劳动定员表,lao'dong'ding'yuan'biao
捞坑,lao'keng
捞坑沉淀,lao'keng'chen'dian
累计产率,lei'ji'chan'lv
冷却器,leng'que'qi
冷却水,leng'que'shui
冷却水池,leng'que'shui'chi
粒度表征,li'du'biao'zheng
粒度分级,li'du'fen'ji
粒度特性,li'du'te'xing
粒度特性曲线,li'du'te'xing'qu'xian
粒度组成,li'du'zu'cheng
粒级,li'ji
粒级煤,li'ji'mei
立轮,li'lun
立轮分选机,li'lun'fen'xuan'ji
理论计算公式,li'lun'ji'suan'gong'shi
立轮排料机,li'lun'pai'liao'ji
理论平衡表,li'lun'ping'heng'biao
粒煤,li'mei
沥青煤,li'qing'mei
犁式,li'shi
立式插板,li'shi'cha'ban
立式风阀,li'shi'feng'fa
犁式卸料器,li'shi'xie'liao'qi
立式振动,li'shi'zhen'dong
离心泵,li'xin'beng
离心沉降,li'xin'chen'jiang
离心过滤,li'xin'guo'lv
离心机,li'xin'ji
离心式鼓风机,li'xin'shi'gu'feng'ji
离心式通风机,li'xin'shi'tong'feng'ji
离心通风机,li'xin'tong'feng'ji
离心脱水,li'xin'tuo'shui
离心脱水机,li'xin'tuo'shui'ji
离心摇床,li'xin'yao'chuang
离心液,li'xin'ye
离心液池,li'xin'ye'chi
连杆头,lian'gan'tou
联合泵房,lian'he'beng'fang
联合建筑,lian'he'jian'zhu
联合流程,lian'he'liu'cheng
炼焦煤,lian'jiao'mei
炼焦煤选煤厂,lian'jiao'mei'xuan'mei'chang
连接管,lian'jie'guan
连接环,lian'jie'huan
链轮小车,lian'lun'xiao'che
链轮小车式,lian'lun'xiao'che'shi
链幕,lian'mu
链式给料机,lian'shi'gei'liao'ji
链速,lian'su
联轴器,lian'zhou'qi
两产品,liang'chan'pin
两产品平衡法,liang'chan'pin'ping'heng'fa
两产品重介,liang'chan'pin'zhong'jie
两产品重介分选,liang'chan'pin'zhong'jie'fen'xuan
两产品重介旋流器,liang'chan'pin'zhong'jie'xuan'liu'qi
两产品重介质旋流器,liang'chan'pin'zhong'jie'zhi'xuan'liu'qi
两产品主再洗,liang'chan'pin'zhu'zai'xi
两段泵供料,liang'duan'beng'gong'liao
两段磁选,liang'duan'ci'xuan
两段破碎,liang'duan'po'sui
晾干场,liang'gan'chang
亮褐煤,liang'he'mei
亮煤,liang'mei
料槽,liao'cao
料场,liao'chang
料斗,liao'dou
料块,liao'kuai
料位计,liao'wei'ji
邻近密度,lin'jin'mi'du
邻近物,lin'jin'wu
溜槽,liu'cao
溜槽节段,liu'cao'jie'duan
流程计算,liu'cheng'ji'suan
溜放,liu'fang
溜放调车,liu'fang'diao'che
硫分,liu'fen
硫分比,liu'fen'bi
硫分测量仪,liu'fen'ce'liang'yi
硫分仪,liu'fen'yi
硫精矿,liu'jing'kuang
流量计,liu'liang'ji
漏嘴,lou'zui
炉篦,lu'bi
露天贮煤场,lu'tian'zhu'mei'chang
轮毂,lun'gu
轮换入选,lun'huan'ru'xuan
罗茨鼓风机,luo'ci'gu'feng'ji
罗加指数,luo'jia'zhi'shu
落煤,luo'mei
落煤点,luo'mei'dian
螺旋槽,luo'xuan'cao
螺旋分选机,luo'xuan'fen'xuan'ji
螺旋刮刀,luo'xuan'gua'dao
螺旋拉紧,luo'xuan'la'jin
螺旋拉紧装置,luo'xuan'la'jin'zhuang'zhi
螺旋溜槽,luo'xuan'liu'cao
螺旋排料,luo'xuan'pai'liao
螺旋筛,luo'xuan'shai
螺旋式干燥机,luo'xuan'shi'gan'zao'ji
螺旋输送机,luo'xuan'shu'song'ji
螺旋体,luo'xuan'ti
螺旋头数,luo'xuan'tou'shu
螺旋推煤,luo'xuan'tui'mei
螺旋卸料,luo'xuan'xie'liao
螺旋卸煤机,luo'xuan'xie'mei'ji
滤板,lv'ban
滤饼,lv'bing
滤布,lv'bu
滤室,lv'shi
滤液池,lv'ye'chi
滤液收集桶,lv'ye'shou'ji'tong
滤油器,lv'you'qi
慢动卷扬机,man'dong'juan'yang'ji
毛煤,mao'mei
毛细管水,mao'xi'guan'shui
煤饼,mei'bing
煤仓,mei'cang
煤仓口,mei'cang'kou
煤仓料位计,mei'cang'liao'wei'ji
煤仓脱水,mei'cang'tuo'shui
煤层煤样资料,mei'ceng'mei'yang'zi'liao
煤车,mei'che
煤车解冻库,mei'che'jie'dong'ku
煤道,mei'dao
煤的用途,mei'de'yong'tu
煤点,mei'dian
煤堆,mei'dui
煤分析仪器,mei'fen'xi'yi'qi
煤化,mei'hua
煤化程度,mei'hua'cheng'du
煤化阶段,mei'hua'jie'duan
煤化作用,mei'hua'zuo'yong
煤灰熔融性,mei'hui'rong'rong'xing
煤浆,mei'jiang
煤浆管,mei'jiang'guan
煤坑,mei'keng
煤粒,mei'li
煤量,mei'liang
煤流,mei'liu
煤路,mei'lu
煤泥,mei'ni
煤泥沉淀池,mei'ni'chen'dian'chi
煤泥堆,mei'ni'dui
煤泥分选机,mei'ni'fen'xuan'ji
煤泥浮选,mei'ni'fu'xuan
煤泥浮选试验资料,mei'ni'fu'xuan'shi'yan'zi'liao
煤泥干扰床分选机,mei'ni'gan'rao'chuang'fen'xuan'ji
煤泥回收,mei'ni'hui'shou
煤泥回收筛,mei'ni'hui'shou'shai
煤泥离心机,mei'ni'li'xin'ji
煤泥量,mei'ni'liang
煤泥溜槽,mei'ni'liu'cao
煤泥浓缩机,mei'ni'nong'suo'ji
煤泥筛,mei'ni'shai
煤泥水,mei'ni'shui
煤泥水处理,mei'ni'shui'chu'li
煤泥水系统,mei'ni'shui'xi'tong
煤泥水线,mei'ni'shui'xian
煤泥桶,mei'ni'tong
煤泥线,mei'ni'xian
煤炭工业,mei'tan'gong'ye
煤炭工业出版社,mei'tan'gong'ye'chu'ban'she
煤田储量,mei'tian'chu'liang
煤田地质,mei'tian'di'zhi
煤田地质勘探,mei'tian'di'zhi'kan'tan
煤田地质勘探报告,mei'tian'di'zhi'kan'tan'bao'gao
煤芯,mei'xin
煤岩,mei'yan
煤岩分析试验资料,mei'yan'fen'xi'shi'yan'zi'liao
煤样,mei'yang
煤样室,mei'yang'shi
煤用,mei'yong
煤源,mei'yuan
煤质,mei'zhi
煤质特征,mei'zhi'te'zheng
煤质资料,mei'zhi'zi'liao
煤质资料分析,mei'zhi'zi'liao'fen'xi
煤种,mei'zhong
门式,men'shi
门式吊车,men'shi'diao'che
门式堆取料机,men'shi'dui'qu'liao'ji
门式螺旋卸煤机,men'shi'luo'xuan'xie'mei'ji
密度计,mi'du'ji
密度控制器,mi'du'kong'zhi'qi
密度曲线,mi'du'qu'xian
密度组成,mi'du'zu'cheng
密封板,mi'feng'ban
密封式粉碎机,mi'feng'shi'fen'sui'ji
摩擦盘,mo'ca'pan
摩擦特性,mo'ca'te'xing
摩擦选,mo'ca'xuan
磨机,mo'ji
磨介,mo'jie
末精煤,mo'jing'mei
末精煤仓,mo'jing'mei'cang
模块化选煤厂,mo'kuai'hua'xuan'mei'chang
模块式选煤厂,mo'kuai'shi'xuan'mei'chang
模块选煤厂,mo'kuai'xuan'mei'chang
磨矿,mo'kuang
磨矿车间,mo'kuang'che'jian
末煤,mo'mei
末煤离心机,mo'mei'li'xin'ji
末煤跳汰,mo'mei'tiao'tai
末煤跳汰机,mo'mei'tiao'tai'ji
磨碎机,mo'sui'ji
耐磨板,nai'mo'ban
耐磨材料,nai'mo'cai'liao
耐磨衬板,nai'mo'chen'ban
耐磨钢板,nai'mo'gang'ban
耐磨管,nai'mo'guan
耐磨管道,nai'mo'guan'dao
耐磨内衬,nai'mo'nei'chen
耐压性,nai'ya'xing
难选,nan'xuan
难选煤,nan'xuan'mei
内隔墙,nei'ge'qiang
内横墙,nei'heng'qiang
内滤,nei'lv
内滤过滤机,nei'lv'guo'lv'ji
内滤式,nei'lv'shi
内纵墙,nei'zong'qiang
泥化,ni'hua
泥化试验,ni'hua'shi'yan
泥化特性,ni'hua'te'xing
泥浆泵,ni'jiang'beng
逆流式,ni'liu'shi
泥炭,ni'tan
泥炭层,ni'tan'ceng
泥炭化阶段,ni'tan'hua'jie'duan
逆止器,ni'zhi'qi
粘结煤,nian'jie'mei
啮角,nie'jiao
凝聚剂,ning'ju'ji
凝聚剂线,ning'ju'ji'xian
浓介桶,nong'jie'tong
浓介质,nong'jie'zhi
浓介质桶,nong'jie'zhi'tong
浓缩,nong'suo
浓缩车间,nong'suo'che'jian
浓缩澄清,nong'suo'cheng'qing
浓缩池,nong'suo'chi
浓缩法,nong'suo'fa
浓缩机,nong'suo'ji
浓缩漏斗,nong'suo'lou'dou
浓缩设备,nong'suo'she'bei
浓缩旋流器,nong'suo'xuan'liu'qi
浓缩作业,nong'suo'zuo'ye
暖通专业,nuan'tong'zhuan'ye
爬斗,pa'dou
耙子,pa'zi
排出管,pai'chu'guan
排出口,pai'chu'kou
排矸,pai'gan
排矸车间,pai'gan'che'jian
排矸量,pai'gan'liang
排矸轮,pai'gan'lun
排矸设施,pai'gan'she'shi
排灰,pai'hui
排矿口,pai'kuang'kou
排料道,pai'liao'dao
排料管,pai'liao'guan
排料机,pai'liao'ji
排料口,pai'liao'kou
排料量,pai'liao'liang
排料轮,pai'liao'lun
排料盘,pai'liao'pan
排料器,pai'liao'qi
排料系统,pai'liao'xi'tong
排料闸板,pai'liao'zha'ban
排料闸门,pai'liao'zha'men
排料装置,pai'liao'zhuang'zhi
排煤轮,pai'mei'lun
排气盖板,pai'qi'gai'ban
排水,pai'shui
排污泵,pai'wu'beng
排液,pai'ye
盘式挡板,pan'shi'dang'ban
盘式真空过滤机,pan'shi'zhen'kong'guo'lv'ji
旁路,pang'lu
旁路系统,pang'lu'xi'tong
抛煤器,pao'mei'qi
泡沫浮选,pao'mo'fu'xuan
跑偏保护,pao'pian'bao'hu
跑偏开关,pao'pian'kai'guan
配仓,pei'cang
配仓刮板,pei'cang'gua'ban
配仓胶带,pei'cang'jiao'dai
配仓胶带机,pei'cang'jiao'dai'ji
配仓皮带,pei'cang'pi'dai
配料闸门,pei'liao'zha'men
配煤,pei'mei
配煤刮板,pei'mei'gua'ban
配煤胶带,pei'mei'jiao'dai
配煤皮带,pei'mei'pi'dai
配置化验总样,pei'zhi'hua'yan'zong'yang
配置图,pei'zhi'tu
喷射式,pen'she'shi
喷射式浮选机,pen'she'shi'fu'xuan'ji
喷水段,pen'shui'duan
喷水管,pen'shui'guan
喷头,pen'tou
喷嘴,pen'zui
皮带,pi'dai
皮带保护开关,pi'dai'bao'hu'kai'guan
皮带秤,pi'dai'cheng
皮带走廊,pi'dai'zou'lang
偏难选煤,pian'nan'xuan'mei
偏心轮,pian'xin'lun
偏心式,pian'xin'shi
贫煤,pin'mei
贫瘦煤,pin'shou'mei
品种煤,pin'zhong'mei
平板闸门,ping'ban'zha'men
平槽型,ping'cao'xing
平衡表,ping'heng'biao
平衡锤,ping'heng'chui
平煤,ping'mei
平煤装置,ping'mei'zhuang'zhi
平闸门,ping'zha'men
破拱辊,po'gong'gun
破碎,po'sui
破碎比,po'sui'bi
破碎车间,po'sui'che'jian
破碎齿板,po'sui'chi'ban
破碎齿辊,po'sui'chi'gun
破碎度,po'sui'du
破碎辊,po'sui'gun
破碎级,po'sui'ji
破碎腔,po'sui'qiang
破碎设备,po'sui'she'bei
破碎效率,po'sui'xiao'lv
破碎作业,po'sui'zuo'ye
剖面图,pou'mian'tu
普查,pu'cha
汽车房,qi'che'fang
气动颚式闸门,qi'dong'e'shi'zha'men
气动风阀,qi'dong'feng'fa
气动扇形闸门,qi'dong'shan'xing'zha'men
气动脱水平闸门,qi'dong'tuo'shui'ping'zha'men
气动闸门,qi'dong'zha'men
气肥煤,qi'fei'mei
气化炉,qi'hua'lu
气化用煤,qi'hua'yong'mei
气煤,qi'mei
起泡剂,qi'pao'ji
汽水分离器,qi'shui'fen'li'qi
气象资料,qi'xiang'zi'liao
起振,qi'zhen
起重检修设备,qi'zhong'jian'xiu'she'bei
起重梁,qi'zhong'liang
起重设备,qi'zhong'she'bei
浅槽,qian'cao
迁车台,qian'che'tai
千斤顶,qian'jin'ding
前牵地沟式,qian'qian'di'gou'shi
前牵式,qian'qian'shi
浅受煤槽,qian'shou'mei'cao
欠速开关,qian'su'kai'guan
强力分级破碎机,qiang'li'fen'ji'po'sui'ji
强力筛,qiang'li'shai
强粘结,qiang'nian'jie
强粘结煤,qiang'nian'jie'mei
桥架式,qiao'jia'shi
桥架式堆取料机,qiao'jia'shi'dui'qu'liao'ji
桥架式圆形料场堆取料机,qiao'jia'shi'yuan'xing'liao'chang'dui'qu'liao'ji
桥式,qiao'shi
桥式吊车,qiao'shi'diao'che
桥式螺旋卸煤机,qiao'shi'luo'xuan'xie'mei'ji
桥式抓斗,qiao'shi'zhua'dou
桥台,qiao'tai
亲水矿物,qin'shui'kuang'wu
琴弦筛,qin'xian'shai
轻槽型,qing'cao'xing
倾角系数,qing'jiao'xi'shu
轻矿物,qing'kuang'wu
清扫器,qing'sao'qi
清水泵,qing'shui'beng
清水线,qing'shui'xian
清水箱,qing'shui'xiang
清洗槽,qing'xi'cao
倾斜板,qing'xie'ban
倾斜板沉淀槽,qing'xie'ban'chen'dian'cao
倾斜管,qing'xie'guan
倾斜重锤式堆料开关,qing'xie'zhong'chui'shi'dui'liao'kai'guan
倾斜自动往复炉排燃烧炉,qing'xie'zi'dong'wang'fu'lu'pai'ran'shao'lu
球磨机,qiu'mo'ji
取料机,qu'liao'ji
趋入点,qu'ru'dian
全硫,quan'liu
全水分,quan'shui'fen
全员工效,quan'yuan'gong'xiao
全员效率,quan'yuan'xiao'lv
全重介,quan'zhong'jie
群矿,qun'kuang
群矿型,qun'kuang'xing
群矿型选煤厂,qun'kuang'xing'xuan'mei'chang
燃烧炉,ran'shao'lu
热力干燥,re'li'gan'zao
人孔,ren'kong
容积密度,rong'ji'mi'du
容积浓度,rong'ji'nong'du
容积式气体压缩机,rong'ji'shi'qi'ti'ya'suo'ji
乳化站,ru'hua'zhan
入料,ru'liao
入料泵,ru'liao'beng
入料槽,ru'liao'cao
入料管,ru'liao'guan
入料口,ru'liao'kou
入料粒度,ru'liao'li'du
入料浓度,ru'liao'nong'du
入料压力,ru'liao'ya'li
入筛,ru'shai
入筛原料,ru'shai'yuan'liao
入洗,ru'xi
入洗粒度,ru'xi'li'du
入洗粒度上限,ru'xi'li'du'shang'xian
入洗量,ru'xi'liang
入洗物料,ru'xi'wu'liao
入洗下限,ru'xi'xia'xian
入选粒度,ru'xuan'li'du
入选粒度上限,ru'xuan'li'du'shang'xian
入选量,ru'xuan'liang
入选物料,ru'xuan'wu'liao
入选下限,ru'xuan'xia'xian
入选原煤,ru'xuan'yuan'mei
弱粘结,ruo'nian'jie
弱粘结煤,ruo'nian'jie'mei
弱粘煤,ruo'zhan'mei
洒落式干燥机,sa'luo'shi'gan'zao'ji
三产品,san'chan'pin
三产品跳汰,san'chan'pin'tiao'tai
三产品重介,san'chan'pin'zhong'jie
三产品重介旋流器,san'chan'pin'zhong'jie'xuan'liu'qi
三产品重介质旋流器,san'chan'pin'zhong'jie'zhi'xuan'liu'qi
三辊,san'gun
散煤器,san'mei'qi
扫选,sao'xuan
砂泵,sha'beng
筛板,shai'ban
筛比,shai'bi
筛侧,shai'ce
筛侧空气室粉煤跳汰机,shai'ce'kong'qi'shi'fen'mei'tiao'tai'ji
筛侧空气室跳汰机,shai'ce'kong'qi'shi'tiao'tai'ji
筛分,shai'fen
筛分车间,shai'fen'che'jian
筛分机,shai'fen'ji
筛分间,shai'fen'jian
筛分破碎车间,shai'fen'po'sui'che'jian
筛分试验,shai'fen'shi'yan
筛分效率,shai'fen'xiao'lv
筛分资料,shai'fen'zi'liao
筛分组成,shai'fen'zu'cheng
筛分作业,shai'fen'zuo'ye
筛孔,shai'kong
筛孔直径,shai'kong'zhi'jing
筛框,shai'kuang
筛篮,shai'lan
筛面,shai'mian
筛盘,shai'pan
筛上,shai'shang
筛上累计,shai'shang'lei'ji
筛上物,shai'shang'wu
筛丝,shai'si
筛体,shai'ti
筛条,shai'tiao
筛网,shai'wang
筛下,shai'xia
筛下磁选,shai'xia'ci'xuan
筛下空气室跳汰机,shai'xia'kong'qi'shi'tiao'tai'ji
筛下气室,shai'xia'qi'shi
筛下水,shai'xia'shui
筛下物,shai'xia'wu
筛箱,shai'xiang
筛选厂,shai'xuan'chang
筛选车间,shai'xuan'che'jian
筛选流程,shai'xuan'liu'cheng
筛选煤,shai'xuan'mei
筛子,shai'zi
筛座,shai'zuo
扇形板,shan'xing'ban
扇形给料机,shan'xing'gei'liao'ji
扇形闸门,shan'xing'zha'men
上仓,shang'cang
上仓皮带,shang'cang'pi'dai
上煤,shang'mei
上煤皮带,shang'mei'pi'dai
商品煤,shang'pin'mei
上托辊,shang'tuo'gun
上振型,shang'zhen'xing
设备安装图,she'bei'an'zhuang'tu
设备表,she'bei'biao
设备订货表,she'bei'ding'huo'biao
设备订货目录,she'bei'ding'huo'mu'lu
设备流程,she'bei'liu'cheng
设备流程图,she'bei'liu'cheng'tu
设备配置图,she'bei'pei'zhi'tu
设备清册,she'bei'qing'ce
设备清单,she'bei'qing'dan
设备系统图,she'bei'xi'tong'tu
设备选型,she'bei'xuan'xing
设计方案,she'ji'fang'an
设计任务书,she'ji'ren'wu'shu
设计说明书,she'ji'shuo'ming'shu
深加工,shen'jia'gong
伸缩溜槽,shen'suo'liu'cao
深锥,shen'zhui
深锥浓缩机,shen'zhui'nong'suo'ji
生产大样,sheng'chan'da'yang
生产技术检查,sheng'chan'ji'shu'jian'cha
生产检查煤样室,sheng'chan'jian'cha'mei'yang'shi
生产煤样,sheng'chan'mei'yang
生产煤样资料,sheng'chan'mei'yang'zi'liao
生产清水,sheng'chan'qing'shui
生产清水池,sheng'chan'qing'shui'chi
生产水池,sheng'chan'shui'chi
生产用水,sheng'chan'yong'shui
生活用水,sheng'huo'yong'shui
绳轮,sheng'lun
绳索卸料,sheng'suo'xie'liao
湿存水分,shi'cun'shui'fen
湿法筛分,shi'fa'shai'fen
施工图,shi'gong'tu
施工图设计,shi'gong'tu'she'ji
事故池,shi'gu'chi
事故放料池,shi'gu'fang'liao'chi
事故捞坑,shi'gu'lao'keng
事故浓缩机,shi'gu'nong'suo'ji
实际产率,shi'ji'chan'lv
湿煤,shi'mei
石煤,shi'mei
湿式,shi'shi
湿式真空泵,shi'shi'zhen'kong'beng
湿物料,shi'wu'liao
示压,shi'ya
实验指数,shi'yan'zhi'shu
收到基,shou'dao'ji
收到基水分,shou'dao'ji'shui'fen
手动单侧犁式卸料器,shou'dong'dan'ce'li'shi'xie'liao'qi
手动单轨小车,shou'dong'dan'gui'xiao'che
手动单梁起重机,shou'dong'dan'liang'qi'zhong'ji
手动螺旋千斤顶,shou'dong'luo'xuan'qian'jin'ding
手动平闸门,shou'dong'ping'zha'men
手动千斤顶,shou'dong'qian'jin'ding
手动双侧犁式卸料器,shou'dong'shuang'ce'li'shi'xie'liao'qi
手动跳汰机,shou'dong'tiao'tai'ji
手动油压千斤顶,shou'dong'you'ya'qian'jin'ding
手镐,shou'gao
瘦焦煤,shou'jiao'mei
瘦精煤,shou'jing'mei
手拉葫芦,shou'la'hu'lu
受料,shou'liao
受煤,shou'mei
瘦煤,shou'mei
受煤仓,shou'mei'cang
受煤车间,shou'mei'che'jian
受煤坑,shou'mei'keng
受煤设施,shou'mei'she'shi
瘦气肥煤,shou'qi'fei'mei
手选,shou'xuan
手选带,shou'xuan'dai
手选带式输送机,shou'xuan'dai'shi'shu'song'ji
手选矸石胶带输送机,shou'xuan'gan'shi'jiao'dai'shu'song'ji
手选皮带,shou'xuan'pi'dai
数控风阀,shu'kong'feng'fa
数量效率,shu'liang'xiao'lv
疏水矿物,shu'shui'kuang'wu
输送带,shu'song'dai
输送斗式提升机,shu'song'dou'shi'ti'sheng'ji
输送量,shu'song'liang
输送设备,shu'song'she'bei
数质量流程图,shu'zhi'liang'liu'cheng'tu
双车翻车机,shuang'che'fan'che'ji
双齿辊破碎机,shuang'chi'gun'po'sui'ji
双盖板,shuang'gai'ban
双盖板风阀,shuang'gai'ban'feng'fa
双功能,shuang'gong'neng
双轨,shuang'gui
双辊,shuang'gun
双滚筒磁选机,shuang'gun'tong'ci'xuan'ji
双横线,shuang'heng'xian
双孔,shuang'kong
双孔脱水闸门,shuang'kong'tuo'shui'zha'men
双联式,shuang'lian'shi
双联式往复给料机,shuang'lian'shi'wang'fu'gei'liao'ji
双梁,shuang'liang
双梁桥式起重机,shuang'liang'qiao'shi'qi'zhong'ji
双面卸料,shuang'mian'xie'liao
双面卸料式,shuang'mian'xie'liao'shi
双扇形闸门,shuang'shan'xing'zha'men
双台面,shuang'tai'mian
