嗳气吞酸,ai'qi'tun'suan
苓术甘草姜薄偕,ling'shu'gan'cao'jiang'bao'xie
苓夏陈翘菔子加,ling'xia'chen'qiao'fu'zi'jia
灵芝胶囊,ling'zhi'jiao'nang
琉肝理脾奏效奇,liu'gan'li'pi'zou'xiao'qi
流感丸,liu'gan'wan
硫肝养血兼理脾,liu'gan'yang'xue'jian'li'pi
六脉浮紧,liu'mai'fu'jin
六神丸,liu'shen'wan
六味安消胶囊,liu'wei'an'xiao'jiao'nang
六味地黄丸,liu'wei'di'huang'wan
六味地黄益肾肝,liu'wei'di'huang'yi'shen'gan
六味木香胶囊,liu'wei'mu'xiang'jiao'nang
六味能消胶囊,liu'wei'neng'xiao'jiao'nang
癃闭不通,long'bi'bu'tong
龙胆泻肝汤,long'dan'xie'gan'tang
龙胆泻肝栀芩柴,long'dan'xie'gan'zhi'qin'chai
陇马陆胃药片,long'ma'lu'wei'yao'pian
癃清片,long'qing'pian
芦根甘草薄荷饶,lu'gen'gan'cao'bo'he'rao
芦根厚朴黄连入,lu'gen'hou'po'huang'lian'ru
鹿胎膏,lu'tai'gao
瘰疬流注,luo'li'liu'zhu
率而自逞俊快,lv'er'zi'cheng'jun'kuai
麻黄连翘赤豆汤,ma'huang'lian'qiao'chi'dou'tang
麻黄连轺赤小豆汤,ma'huang'lian'yao'chi'xiao'dou'tang
麻黄汤,ma'huang'tang
麻黄汤中用桂枝,ma'huang'tang'zhong'yong'gui'zhi
麻仁胶囊,ma'ren'jiao'nang
麻仁丸,ma'ren'wan
麻杏石甘汤,ma'xing'shi'gan'tang
马应龙麝香痔疮膏,ma'ying'long'she'xiang'zhi'chuang'gao
脉沉迟无力,mai'chen'chi'wu'li
脉沉细数,mai'chen'xi'shu
脉沉弦,mai'chen'xian
麦冬加入长寿丸,mai'dong'jia'ru'chang'shou'wan
麦冬芍药当归配,mai'dong'shao'yao'dang'gui'pei
麦冬生地大麻仁,mai'dong'sheng'di'da'ma'ren
脉浮,mai'fu
脉浮缓,mai'fu'huan
脉浮虚,mai'fu'xu
脉洪大,mai'hong'da
脉滑,mai'hua
脉滑实,mai'hua'shi
脉滑数,mai'hua'shu
脉缓,mai'huan
脉缓舌黄身又痛,mai'huan'she'huang'shen'you'tong
脉濡数,mai'ru'shu
脉涩,mai'se
脉数,mai'shu
脉微细,mai'wei'xi
脉细弱,mai'xi'ruo
脉细数,mai'xi'shu
脉细弦,mai'xi'xian
脉弦,mai'xian
脉弦滑,mai'xian'hua
脉弦缓,mai'xian'huan
脉弦数,mai'xian'shu
脉弦数有力,mai'xian'shu'you'li
脉虚弱,mai'xu'ruo
脉虚数,mai'xu'shu
脉虚细,mai'xu'xi
脉血康胶囊,mai'xue'kang'jiao'nang
满堂不乐,man'tang'bu'le
梅核气,mei'he'qi
梦遗,meng'yi
蜜炼川贝枇杷膏,mi'lian'chuan'bei'pi'pa'gao
面赤,mian'chi
面色苍白,mian'se'cang'bai
面色淡黄,mian'se'dan'huang
面色咣白,mian'se'guang'bai
面色萎白,mian'se'wei'bai
面色萎黄,mian'se'wei'huang
面色无华,mian'se'wu'hua
妙法内攻并外攘,miao'fa'nei'gong'bing'wai'rang
明目地黄丸,ming'mu'di'huang'wan
摩罗丹,mo'luo'dan
默默不欲饮食,mo'mo'bu'yu'yin'shi
無作工夫行跡之心,mo'zuo'gong'fu'xing'ji'zhi'xin
目昏鼻塞风攻上,mu'hun'bi'sai'feng'gong'shang
木通甘草当归合,mu'tong'gan'cao'dang'gui'he
木通滑石生地襄,mu'tong'hua'shi'sheng'di'xiang
目眩,mu'xuan
目眩鼻塞,mu'xuan'bi'sai
纳呆,na'dai
乃知天下无方可用,nai'zhi'tian'xia'wu'fang'ke'yong
脑安胶囊,nao'an'jiao'nang
脑安颗粒,nao'an'ke'li
脑心通胶囊,nao'xin'tong'jiao'nang
内科摘要,nei'ke'zhai'yao
内清肠胃外解表,nei'qing'chang'wei'wai'jie'biao
内热瞀闷,nei're'mao'men
内伤杂病,nei'shang'za'bing
内外伤辨惑沦,nei'wai'shang'bian'huo'lun
内泻热结,nei'xie're'jie
能不用者,neng'bu'yong'zhe
能消牙痛与牙宣,neng'xiao'ya'tong'yu'ya'xuan
溺时涩痛,ni'shi'se'tong
尿毒清颗粒,niao'du'qing'ke'li
尿感宁颗粒,niao'gan'ning'ke'li
尿频尿急,niao'pin'niao'ji
尿色浑赤,niao'se'hun'chi
尿血,niao'xie
尿中带血,niao'zhong'dai'xue
牛黄解毒片,niu'huang'jie'du'pian
牛黄上清胶囊,niu'huang'shang'qing'jiao'nang
牛黄蛇胆川贝液,niu'huang'she'dan'chuan'bei'ye
浓磨煎服调滞气,nong'mo'jian'fu'tiao'zhi'qi
疟疾,nue'ji
诺迪康胶囊,nuo'di'kang'jiao'nang
呕哕腹痛阴寒盛,ou'hui'fu'tong'yin'han'sheng
偶然治瘥一病,ou'ran'zhi'chai'yi'bing
呕吐,ou'tu
呕吐不渴,ou'tu'bu'ke
呕吐酸水,ou'tu'suan'shui
呕吐泄泻,ou'tu'xie'xie
排石颗粒,pai'shi'ke'li
膀胱气化不利,pang'guang'qi'hua'bu'li
配伍枳朴泻力强,pei'wu'zhi'pu'xie'li'qiang
脾不统血证,pi'bu'tong'xue'zheng
脾肺气血补方先,pi'fei'qi'xue'bu'fang'xian
痞满燥实四症见,pi'man'zao'shi'si'zheng'jian
脾肾阳虚,pi'shen'yang'xu
脾胃不运,pi'wei'bu'yun
脾胃气虚证,pi'wei'qi'xu'zheng
脾胃虚弱,pi'wei'xu'ruo
皮下紫癜,pi'xia'zi'dian
痞证,pi'zheng
片仔癀胶囊,pian'zai'huang'jiao'nang
片仔癀丸,pian'zai'huang'wan
偏正头痛,pian'zheng'tou'tong
频转矢气,pin'zhuan'shi'qi
平肝熄风,ping'gan'xi'feng
平胃散,ping'wei'san
平胃散用朴陈皮,ping'wei'san'yong'pu'chen'pi
平消片,ping'xiao'pian
普同一等,pu'tong'yi'deng
朴夏白通滑竹伦,pu'xia'bai'tong'hua'zhu'lun
岂不殆哉,qi'bu'dai'zai
气短乏力,qi'duan'fa'li
气短懒盲,qi'duan'lan'mang
气短懒言,qi'duan'lan'yan
气分大热此方清,qi'fen'da're'ci'fang'qing
气分热盛证,qi'fen're'sheng'zheng
脐腹疼痛,qi'fu'teng'tong
脐腹作痛,qi'fu'zuo'tong
杞菊地黄丸,qi'ju'di'huang'wan
气闷胁痛皆可畅,qi'men'xie'tong'jie'ke'chang
其虻虫水蛭之属,qi'meng'chong'shui'zhi'zhi'shu
其色鲜明,qi'se'xian'ming
气少汗多兼口渴,qi'shao'han'duo'jian'kou'ke
芪术防风鼎足形,qi'shu'fang'feng'ding'zu'xing
七味白术散,qi'wei'bai'zhu'san
岂诬也哉,qi'wu'ye'zai
脐下动悸,qi'xia'dong'ji
奇效良方,qi'xiao'liang'fang
气血不足,qi'xue'bu'zu
气血亏虚服之康,qi'xue'kui'xu'fu'zhi'kang
气血两虚证,qi'xue'liang'xu'zheng
气血阴阳,qi'xue'yin'yang
气阴两虚证,qi'yin'liang'xu'zheng
其有患疮痍下痢,qi'you'huan'chuang'yi'xia'li
芪蛭降糖胶囊,qi'zhi'jiang'tang'jiao'nang
前胡桂朴草姜随,qian'hu'gui'pu'cao'jiang'sui
千金苇茎汤,qian'jin'wei'jing'tang
前列安栓,qian'lie'an'shuan
强骨胶囊,qiang'gu'jiao'nang
羌活胜湿羌独芎,qiang'huo'sheng'shi'qiang'du'xiong
羌活胜湿汤,qiang'huo'sheng'shi'tang
强力枇杷露,qiang'li'pi'pa'lu
强力天麻杜仲胶囊,qiang'li'tian'ma'du'zhong'jiao'nang
芩连归桂槟草香,qin'lian'gui'gui'bin'cao'xiang
芩连芪柏共煎尝,qin'lian'qi'bai'gong'jian'chang
芩连曲术茯苓襄,qin'lian'qu'shu'fu'ling'xiang
芩翘贝母射干薄,qin'qiao'bei'mu'ye'gan'bao
清肺化痰,qing'fei'hua'tan
清开灵滴丸,qing'kai'ling'di'wan
清利肝经湿热,qing'li'gan'jing'shi're
清利湿热,qing'li'shi're
清热化湿,qing're'hua'shi
清热活血,qing're'huo'xue
清热解毒,qing're'jie'du
清热解毒软胶囊,qing're'jie'du'ruan'jiao'nang
清热利湿,qing're'li'shi
清热凉血,qing're'liang'xue
清热祛湿两相宜,qing're'qu'shi'liang'xiang'yi
清热生津,qing're'sheng'jin
清热通淋胶囊,qing're'tong'lin'jiao'nang
清热泻火,qing're'xie'huo
清热燥湿,qing're'zao'shi
清热燥湿调气血,qing're'zao'shi'tiao'qi'xue
清热止咳颗粒,qing're'zhi'ke'ke'li
清热止痒洗剂,qing're'zhi'yang'xi'ji
清疏肺卫轻宣剂,qing'shu'fei'wei'qing'xuan'ji
清胃热,qing'wei're
清胃散,qing'wei'san
清胃散中当归连,qing'wei'san'zhong'dang'gui'lian
清瘟败毒地连芩,qing'wen'bai'du'di'lian'qin
清瘟败毒饮,qing'wen'bai'du'yin
清泻肝胆实火,qing'xie'gan'dan'shi'huo
清邪泻毒亦滋阴,qing'xie'xie'du'yi'zi'yin
清心利水养阴,qing'xin'li'shui'yang'yin
轻宣凉燥,qing'xuan'liang'zao
轻宣温润治凉燥,qing'xuan'wen'run'zhi'liang'zao
清养肺胃,qing'yang'fei'wei
清燥救肺参草杷,qing'zao'jiu'fei'can'cao'pa
清燥救肺汤,qing'zao'jiu'fei'tang
清燥润肺效可嘉,qing'zao'run'fei'xiao'ke'jia
秋燥耗伤肺胃液,qiu'zao'hao'shang'fei'wei'ye
求之于至粗至浅之思,qiu'zhi'yu'zhi'cu'zhi'qian'zhi'si
去生更远,qu'sheng'geng'yuan
祛痰补益气虚饵,qu'tan'bu'yi'qi'xu'er
祛痰止咳,qu'tan'zhi'ke
祛痰止咳颗粒,qu'tan'zhi'ke'ke'li
去硝名曰小承气,qu'xiao'ming'yue'xiao'cheng'qi
全天麻胶囊,quan'tian'ma'jiao'nang
热病淖津便不通,re'bing'nao'jin'bian'bu'tong
热毒痢疾,re'du'li'ji
热毒壅滞,re'du'yong'zhi
热而温之,re'er'wen'zhi
热结旁流证,re'jie'pang'liu'zheng
热结下焦,re'jie'xia'jiao
热渴汗出脉洪大,re'ke'han'chu'mai'hong'da
热淋清颗粒,re'lin'qing'ke'li
热入血室证,re'ru'xue'shi'zheng
热入营血服之安,re'ru'ying'xue'fu'zhi'an
热盛阴亏切莫尝,re'sheng'yin'kui'qie'mo'chang
热重寒轻痰挟湿,re'zhong'han'qing'tan'xie'shi
人畜一也,ren'chu'yi'ye
人行阳德,ren'hang'yang'de
人行阳恶,ren'hang'yang'e
人行阴德,ren'hang'yin'de
人行阴恶,ren'hang'yin'e
人暮潮热,ren'mu'chao're
人参甘草朮干姜,ren'shen'gan'cao'shu'gan'jiang
人参乌药及摈沉,ren'shen'wu'yao'ji'bin'chen
人参养荣即十全,ren'shen'yang'rong'ji'shi'quan
人参养荣汤,ren'shen'yang'rong'tang
人所恶见者,ren'suo'e'jian'zhe
人自报之,ren'zi'bao'zhi
日久不愈,ri'jiu'bu'yu
日舒安洗剂,ri'shu'an'xi'ji
肉桂,rou'gui
肉蔻五昧四般须,rou'kou'wu'mei'si'ban'xu
如此可做蒼生大醫,ru'ci'ke'zuo'cang'sheng'da'yi
乳癖消片,ru'pi'xiao'pian
软脉灵口服液,ruan'mai'ling'kou'fu'ye
若非重用不为功,ruo'fei'zhong'yong'bu'wei'gong
若己有之,ruo'ji'you'zhi
若盈而益之,ruo'ying'er'yi'zhi
若有疾厄来求救者,ruo'you'ji'e'lai'qiu'jiu'zhe
塞而壅之,sai'er'yong'zhi
赛霉安散,sai'mei'an'san
三参桔梗朱砂味,san'can'jie'geng'zhu'sha'wei
三黄片,san'huang'pian
三焦火盛是主因,san'jiao'huo'sheng'shi'zhu'yin
三金片,san'jin'pian
三九胃泰胶囊,san'jiu'wei'tai'jiao'nang
三七伤药胶囊,san'qi'shang'yao'jiao'nang
三仁汤,san'ren'tang
三仁杏蔻薏苡仁,san'ren'xing'kou'yi'yi'ren
三乌胶丸,san'wu'jiao'wan
三子养亲汤,san'zi'yang'qin'tang
桑菊饮,sang'ju'yin
桑菊饮中桔杏翘,sang'ju'yin'zhong'ju'xing'qiao
色白易咯,se'bai'yi'ge
沙参麦冬汤,sha'shen'mai'dong'tang
沙参麦冬饮豆桑,sha'shen'mai'dong'yin'dou'sang
沙参杞子麦冬襄,sha'shen'qi'zi'mai'dong'xiang
疝气,shan'qi
山药甘莲砂薏仁,shan'yao'gan'lian'sha'yi'ren
山楂精降脂片,shan'zha'jing'jiang'zhi'pian
伤寒论,shang'han'lun
伤寒少阳证,shang'han'shao'yang'zheng
伤寒头痛发热,shang'han'tou'tong'fa're
上气喘急,shang'qi'chuan'ji
上实下虚,shang'shi'xia'xu
上实下虚痰嗽喘,shang'shi'xia'xu'tan'sou'chuan
上吐下泻,shang'tu'xia'xie
少阳百病此为宗,shao'yang'bai'bing'ci'wei'zong
少阳阳明合病,shao'yang'yang'ming'he'bing
少阳证,shao'yang'zheng
芍药甘草姜枣同,shao'yao'gan'cao'jiang'zao'tong
芍药汤,shao'yao'tang
芍药汤中用大黄,shao'yao'tang'zhong'yong'da'huang
芍药枳实甘草须,shao'yao'zhi'shi'gan'cao'xu
少阴腹痛寒水聚,shao'yin'fu'tong'han'shui'ju
舌淡,she'dan
蛇胆陈皮散,she'dan'chen'pi'san
蛇胆川贝枇杷膏,she'dan'chuan'bei'pi'pa'gao
舌淡苔白,she'dan'tai'bai
舌淡苔薄白,she'dan'tai'bo'bai
舌干红少苔,she'gan'hong'shao'tai
射干麻黄汤,she'gan'ma'huang'tang
舌红,she'hong
舌红少,she'hong'shao
舌红少津,she'hong'shao'jin
舌红少苔,she'hong'shao'tai
舌红苔黄,she'hong'tai'huang
舌红苔黄腻,she'hong'tai'huang'ni
蛇伤胶囊,she'shang'jiao'nang
摄生秘剖,she'sheng'mi'pou
舌苔白,she'tai'bai
舌苔白滑,she'tai'bai'hua
舌苔白腻,she'tai'bai'ni
舌苔白润,she'tai'bai'run
舌苔薄白,she'tai'bo'bai
舌苔黄,she'tai'huang
舌苔黄滑腻,she'tai'huang'hua'ni
舌苔黄腻,she'tai'huang'ni
舌苔腻而微黄,she'tai'ni'er'wei'huang
舌苔粘腻,she'tai'zhan'ni
麝香保心丸,she'xiang'bao'xin'wan
麝香镇痛膏,she'xiang'zhen'tong'gao
麝香正骨酊,she'xiang'zheng'gu'ding
麝香痔疮栓,she'xiang'zhi'chuang'shuan
舌有瘀斑,she'you'yu'ban
舌质暗红,she'zhi'an'hong
麝珠明目液,she'zhu'ming'mu'ye
甚不仁矣,shen'bu'ren'yi
参苓白术散,shen'ling'bai'zhu'san
身目发黄,shen'mu'fa'huang
神疲乏力,shen'pi'fa'li
神疲健忘,shen'pi'jian'wang
肾舒冲剂,shen'shu'chong'ji
肾衰宁片,shen'shuai'ning'pian
神衰欲寐,shen'shuai'yu'mei
身体疼重,shen'ti'teng'zhong
肾泄证,shen'xie'zheng
深心凄怆,shen'xin'qi'chuang
肾炎康复片,shen'yan'kang'fu'pian
肾炎舒片,shen'yan'shu'pian
慎斋遗书医方集解,shen'zhai'yi'shu'yi'fang'ji'jie
神志不安证,shen'zhi'bu'an'zheng
身重疼痛,shen'zhong'teng'tong
深自误哉,shen'zi'wu'zai
省病诊疾,sheng'bing'zhen'ji
升柴参草当归身,sheng'chai'can'cao'dang'gui'shen
生地车前泽泻偕,sheng'di'che'qian'ze'xie'xie
生地丹皮升麻全,sheng'di'dan'pi'sheng'ma'quan
生津润燥,sheng'jin'run'zao
生脉麦味与人参,sheng'mai'mai'wei'yu'ren'shen
生脉饮,sheng'mai'yin
生脉饮口服液,sheng'mai'yin'kou'fu'ye
生血宁片,sheng'xue'ning'pian
升血小板胶囊,sheng'xue'xiao'ban'jiao'nang
食不消化,shi'bu'xiao'hua
石膏胶杏麦胡麻,shi'gao'jiao'xing'mai'hu'ma
石斛夜光丸,shi'hu'ye'guang'wan
始可与言于兹矣,shi'ke'yu'yan'yu'zi'yi
石龙清血颗粒,shi'long'qing'xue'ke'li
失眠多梦,shi'mian'duo'meng
实脾附术与木瓜,shi'pi'fu'shu'yu'mu'gua
实脾饮,shi'pi'yin
湿气在表头腰重,shi'qi'zai'biao'tou'yao'zhong
十全大补汤,shi'quan'da'bu'tang
实热,shi're
湿热并重,shi're'bing'zhong
湿热并重证,shi're'bing'zhong'zheng
湿热霍乱,shi're'huo'luan
湿热霍乱此方施,shi're'huo'luan'ci'fang'shi
湿热积滞力能攘,shi're'ji'zhi'li'neng'rang
湿热痢疾,shi're'li'ji
湿热淋证,shi're'lin'zheng
食如无味,shi'ru'wu'wei
湿润烧伤膏,shi'run'shao'shang'gao
石杉碱甲胶囊,shi'shan'jian'jia'jiao'nang
食少,shi'shao
食少便溏,shi'shao'bian'tang
食少嗜卧,shi'shao'shi'wo
湿痰证,shi'tan'zheng
十味龙胆花颗粒,shi'wei'long'dan'hua'ke'li
湿温初起法堪遵,shi'wen'chu'qi'fa'kan'zun
湿温时疫,shi'wen'shi'yi
湿温时疫是主方,shi'wen'shi'yi'shi'zhu'fang
是吾之志也,shi'wu'zhi'zhi'ye
湿阳化饮又健脾,shi'yang'hua'yin'you'jian'pi
市有先死者,shi'you'xian'si'zhe
世有愚者,shi'you'yu'zhe
食欲不振,shi'yu'bu'zhen
湿瘀蒸肌致发黄,shi'yu'zheng'ji'zhi'fa'huang
誓愿普救含灵之苦,shi'yuan'pu'jiu'han'ling'zhi'ku
实者枳壳易人参,shi'zhe'zhi'ke'yi'ren'shen
湿滞脾胃,shi'zhi'pi'wei
是重加其疾,shi'zhong'jia'qi'ji
湿重于热,shi'zhong'yu're
手足不温,shou'zu'bu'wen
手足逆冷,shou'zu'ni'leng
手足心热,shou'zu'xin're
熟地谁药及山萸,shu'de'shui'yao'ji'shan'yu
疏风止咳,shu'feng'zhi'ke
疏风止痛,shu'feng'zhi'tong
疏肝理脾,shu'gan'li'pi
舒肝片,shu'gan'pian
舒眠胶囊,shu'mian'jiao'nang
暑热,shu're
朮芍防风共成剂,shu'shao'fang'feng'gong'cheng'ji
暑温夹湿,shu'wen'jia'shi
俞穴流注,shu'xue'liu'zhu
薯蓣皂苷片,shu'yu'zao'gan'pian
双补气血八珍汤,shuang'bu'qi'xue'ba'zhen'tang
双虎清肝颗粒,shuang'hu'qing'gan'ke'li
双黄连颗粒,shuang'huang'lian'ke'li
双金胃疡胶囊,shuang'jin'wei'yang'jiao'nang
双料喉风散,shuang'liao'hou'feng'san
水饮下行悸眩去,shui'yin'xia'xing'ji'xuan'qu
水用甘澜扬百遍,shui'yong'gan'lan'yang'bai'bian
水肿,shui'zhong
顺气降逆,shun'qi'jiang'ni
斯盖医之本意也,si'gai'yi'zhi'ben'yi'ye
四君四物合成方,si'jun'si'wu'he'cheng'fang
四君子汤,si'jun'zi'tang
四君子汤中和义,si'jun'zi'tang'zhong'he'yi
四两黄芪为主药,si'liang'huang'qi'wei'zhu'yao
四磨汤,si'mo'tang
四磨汤口服液,si'mo'tang'kou'fu'ye
四磨饮子七情侵,si'mo'yin'zi'qi'qing'qin
四逆散,si'ni'san
四逆散里用柴胡,si'ni'san'li'yong'chai'hu
四逆散中加芎香,si'ni'san'zhong'jia'xiong'xiang
四逆汤,si'ni'tang
四逆汤中附草姜,si'ni'tang'zhong'fu'cao'jiang
四神故纸与吴萸,si'shen'gu'zhi'yu'wu'yu
四神丸,si'shen'wan
斯为大哲,si'wei'da'zhe
四物地芍与归芎,si'wu'di'shao'yu'gui'xiong
四物汤,si'wu'tang
四肢倦乏,si'zhi'juan'fa
四肢厥冷急煎尝,si'zhi'jue'leng'ji'jian'chang
四肢厥逆,si'zhi'jue'ni
丝竹凑耳,si'zhu'cou'er
松龄血脉康胶囊,song'ling'xue'mai'kang'jiao'nang
素问病机气宜保命集,su'wen'bing'ji'qi'yi'bao'ming'ji
速效救心丸,su'xiao'jiu'xin'wan
苏杏黄芩兼甘草,su'xing'huang'qin'jian'gan'cao
苏子降气半夏归,su'zi'jiang'qi'ban'xia'gui
苏子降气汤,su'zi'jiang'qi'tang
酸枣木香龙眼肉,suan'zao'mu'xiang'long'yan'rou
虽曰病宜速救,sui'yue'bing'yi'su'jiu
虽曰贱畜贵人,sui'yue'jian'chu'gui'ren
损彼益己,sun'bi'yi'ji
唆下热结宜此方,suo'xia're'jie'yi'ci'fang
所以尔者,suo'yi'er'zhe
所以医人不得恃己所长,suo'yi'yi'ren'bu'de'shi'ji'suo'chang
苔白不渴,tai'bai'bu'ke
苔白滑,tai'bai'hua
苔白脉弦,tai'bai'mai'xian
苔薄白,tai'bo'bai
苔光干咳此堪尝,tai'guang'gan'ke'ci'kan'chang
太平惠民和剂局方,tai'ping'hui'min'he'ji'ju'fang
太阳无汗兼烦躁,tai'yang'wu'han'jian'fan'zao
痰多胸闷,tan'duo'xiong'men
痰迷舌强服之醒,tan'mi'she'qiang'fu'zhi'xing
痰凝气滞皆能除,tan'ning'qi'zhi'jie'neng'chu
痰涎清稀而量多,tan'xian'qing'xi'er'liang'duo
痰涎壅盛,tan'xian'yong'sheng
谈谑喧哗,tan'xue'xuan'hua
痰饮喘咳,tan'yin'chuan'ke
痰瘀互结证,tan'yu'hu'jie'zheng
痰中带血,tan'zhong'dai'xue
糖脉康颗粒,tang'mai'kang'ke'li
桃仁薏苡冬瓜仁,tao'ren'yi'yi'dong'gua'ren
体倦乏力,ti'juan'fa'li
体倦食少,ti'juan'shi'shao
天麻钩藤石决明,tian'ma'gou'teng'shi'jue'ming
天麻钩藤饮,tian'ma'gou'teng'yin
甜梦胶囊,tian'meng'jiao'nang
天王补心丹,tian'wang'bu'xin'dan
天王补心丸,tian'wang'bu'xin'wan
跳骨片,tiao'gu'pian
调和肝脾,tiao'he'gan'pi
调和脾胃,tiao'he'pi'wei
调经解郁清热着,tiao'jing'jie'yu'qing're'zhe
调气和血,tiao'qi'he'xue
调胃承气硝黄草,tiao'wei'cheng'qi'xiao'huang'cao
调胃和中此方宜,tiao'wei'he'zhong'ci'fang'yi
通而彻之,tong'er'che'zhi
痛如针刺,tong'ru'zhen'ci
通塞脉片,tong'sai'mai'pian
痛泻要方,tong'xie'yao'fang
痛泻要方用陈皮,tong'xie'yao'fang'yong'chen'pi
痛血康胶囊,tong'xue'kang'jiao'nang
头面四肢浮肿,tou'mian'si'zhi'fu'zhong
头目眩晕,tou'mu'xuan'yun
头身疼痛,tou'shen'teng'tong
头痛,tou'tong
头痛恶寒,tou'tong'e'han
头痛目赤,tou'tong'mu'chi
头痛微热,tou'tong'wei're
头微痛,tou'wei'tong
透邪解郁,tou'xie'jie'yu
头眩心悸,tou'xuan'xin'ji
头晕目眩,tou'yun'mu'xuan
吐衄发斑皆可平,tu'nv'fa'ban'jie'ke'ping
吐清涎冷沫,tu'qing'xian'leng'mo
吐涎沫,tu'xian'mo
吞酸吐苦,tun'suan'tu'ku
吞咽不下,tun'yan'bu'xia
外感风邪头痛,wai'gan'feng'xie'tou'tong
外感凉燥证,wai'gan'liang'zao'zheng
外寒里饮证,wai'han'li'yin'zheng
外寒痰热喘哮尝,wai'han'tan're'chuan'xiao'chang
外台秘要,wai'tai'mi'yao
脘腹痞满,wan'fu'pi'man
脘腹疼痛,wan'fu'teng'tong
脘腹胀满,wan'fu'zhang'man
脘胁痛,wan'xie'tong
往来寒热,wang'lai'han're
王氏连朴饮,wang'shi'lian'pu'yin
望之俨然,wang'zhi'yan'ran
唯当审谛覃思,wei'dang'shen'di'tan'si
胃得安片,wei'de'an'pian
胃复春片,wei'fu'chun'pian
畏寒肢凉,wei'han'zhi'liang
胃火阴虚相因病,wei'huo'yin'xu'xiang'yin'bing
苇茎汤方出干金,wei'jing'tang'fang'chu'gan'jin
胃康胶囊,wei'kang'jiao'nang
味苦性寒能凉血,wei'ku'xing'han'neng'liang'xue
胃乐宁片,wei'le'ning'pian
胃乐新胶囊,wei'le'xin'jiao'nang
胃力康颗粒,wei'li'kang'ke'li
胃灵颗粒,wei'ling'ke'li
胃苓汤,wei'ling'tang
胃热阴虚证,wei're'yin'xu'zheng
胃苏冲剂,wei'su'chong'ji
谓天下无双,wei'tian'xia'wu'shuang
唯用心精微者,wei'yong'xin'jing'wei'zhe
温病条辨,wen'bing'tiao'bian
温胆汤,wen'dan'tang
温胆汤中苓半草,wen'dan'tang'zhong'ling'ban'cao
温肺化饮,wen'fei'hua'yin
温热,wen're
温热经纬,wen're'jing'wei
温肾暖脾,wen'shen'nuan'pi
稳心颗粒,wen'xin'ke'li
温阳化气,wen'yang'hua'qi
温阳化气添桂枝,wen'yang'hua'qi'tian'gui'zhi
温中补虚,wen'zhong'bu'xu
翁沥通胶囊,weng'li'tong'jiao'nang
勿避险巇,wu'bi'xian'xi
无得参差,wu'de'cen'ci
无得似有所娱,wu'de'si'you'suo'yu
五更肾泄最相宜,wu'geng'shen'xie'zui'xiang'yi
五更泄泻,wu'geng'xie'xie
无汗,wu'han
午后潮热,wu'hou'chao're
午后身热,wu'hou'shen're
乌鸡白凤丸,wu'ji'bai'feng'wan
五加生化胶囊,wu'jia'sheng'hua'jiao'nang
吾见其死矣,wu'jian'qi'si'yi
吾今此方所以不用生命为药者,wu'jin'ci'fang'suo'yi'bu'yong'sheng'ming'wei'yao'zhe
乌灵胶囊,wu'ling'jiao'nang
五苓散,wu'ling'san
五苓散治太阳府,wu'ling'san'zhi'tai'yang'fu
物情同患,wu'qing'tong'huan
五味消毒饮,wu'wei'xiao'du'yin
无欲无求,wu'yu'wu'qiu
吴茱萸汤,wu'zhu'yu'tang
吴茱萸汤人参枣,wu'zhu'yu'tang'ren'shen'zao
五子衍宗丸,wu'zi'yan'zong'wan
勿左右顾盼,wu'zuo'you'gu'pan
西瓜霜润喉片,xi'gua'shuang'run'hou'pian
西黄丸,xi'huang'wan
犀角地黄芍药丹,xi'jiao'di'huang'shao'yao'dan
犀角地黄汤,xi'jiao'di'huang'tang
犀角玄翘知芍桔,xi'jiao'xuan'qiao'zhi'shao'ju
细涩,xi'se
下痢脓血,xia'li'nong'xue
下利清水,xia'li'qing'shui
夏曲白芷加姜枣,xia'qu'bai'zhi'jia'jiang'zao
先发大慈恻隐之心,xian'fa'da'ci'ce'yin'zhi'xin
纤毫勿失,xian'hao'wu'shi
弦滑,xian'hua
弦紧,xian'jin
仙灵骨葆胶囊,xian'ling'gu'bao'jiao'nang
仙授理伤续断秘方,xian'shou'li'shang'xu'duan'mi'fang
详察形候,xiang'cha'xing'hou
香菇菌多糖片,xiang'gu'jun'duo'tang'pian
香连丸,xiang'lian'wan
香砂六君丸,xiang'sha'liu'jun'wan
小便不利,xiao'bian'bu'li
小便赤涩刺痛,xiao'bian'chi'se'ci'tong
小便短赤,xiao'bian'duan'chi
小便短少黄赤,xiao'bian'duan'shao'huang'chi
小便淋沥,xiao'bian'lin'li
小便淋浊,xiao'bian'lin'zhuo
小便频数,xiao'bian'pin'shuo
小便涩滞,xiao'bian'se'zhi
小柴胡汤,xiao'chai'hu'tang
小柴胡汤和解供,xiao'chai'hu'tang'he'jie'gong
消疔肿,xiao'ding'zhong
小儿定风丸,xiao'er'ding'feng'wan
小儿药证直诀,xiao'er'yao'zheng'zhi'jue
小腹急满,xiao'fu'ji'man
消谷善饥,xiao'gu'shan'ji
小蓟饮子,xiao'ji'yin'zi
小蓟饮子藕蒲黄,xiao'ji'yin'zi'ou'pu'huang
小金丸,xiao'jin'wan
消渴,xiao'ke
消渴康颗粒,xiao'ke'kang'ke'li
消渴丸,xiao'ke'wan
消痞散结,xiao'pi'san'jie
小青龙汤,xiao'qing'long'tang
