阿姆达尔定律,a'mu'da'er'ding'lv
离散卷积,li'san'juan'ji
历史数据,li'shi'shu'ju
立体匹配,li'ti'pi'pei
离子沉积印刷机,li'zi'chen'ji'yin'shua'ji
连贯性,lian'guan'xing
联合迭代重建法,lian'he'die'dai'chong'jian'fa
联机存储器,lian'ji'cun'chu'qi
联机诊断,lian'ji'zhen'duan
联结,lian'jie
链接表,lian'jie'biao
连接机制神经网络,lian'jie'ji'zhi'shen'jing'wang'luo
连接时间,lian'jie'shi'jian
连接学习,lian'jie'xue'xi
链路管理,lian'lu'guan'li
链路控制规程,lian'lu'kong'zhi'gui'cheng
链轮输纸,lian'lun'shu'zhi
链码跟踪,lian'ma'gen'zong
链式连接,lian'shi'lian'jie
链式文件分配,lian'shi'wen'jian'fen'pei
连通分支,lian'tong'fen'zhi
连线表,lian'xian'biao
联想输入,lian'xiang'shu'ru
连续模拟语言,lian'xu'mo'ni'yu'yan
量化,liang'hua
列译码,lie'yi'ma
邻接表结构,lin'jie'biao'jie'gou
临界通路测试产生法,lin'jie'tong'lu'ce'shi'chan'sheng'fa
临时文件,lin'shi'wen'jian
零点,ling'dian
领域规约,ling'yu'gui'yue
领域建模,ling'yu'jian'mo
领域专家,ling'yu'zhuan'jia
零知识交互式论证,ling'zhi'shi'jiao'hu'shi'lun'zheng
零知识交互式证明系统,ling'zhi'shi'jiao'hu'shi'zheng'ming'xi'tong
流程图,liu'cheng'tu
流过时间,liu'guo'shi'jian
流水线处理,liu'shui'xian'chu'li
流水线计算机,liu'shui'xian'ji'suan'ji
流水线数据冲突,liu'shui'xian'shu'ju'chong'tu
漏脉冲,lou'mai'chong
路径分析,lu'jing'fen'xi
路由选择算法,lu'you'xuan'ze'suan'fa
乱序提交,luan'xu'ti'jiao
论域,lun'yu
轮转法调度,lun'zhuan'fa'diao'du
逻辑测试笔,luo'ji'ce'shi'bi
逻辑程序,luo'ji'cheng'xu
逻辑设备,luo'ji'she'bei
逻辑设备名,luo'ji'she'bei'ming
逻辑文件,luo'ji'wen'jian
逻辑系统,luo'ji'xi'tong
逻辑验证系统,luo'ji'yan'zheng'xi'tong
逻辑移位,luo'ji'yi'wei
逻辑运算,luo'ji'yun'suan
绿色计算机,lv'se'ji'suan'ji
旅行商问题,lv'xing'shang'wen'ti
脉冲步进,mai'chong'bu'jin
脉冲效应,mai'chong'xiao'ying
慢速邮递,man'su'you'di
媒体,mei'ti
媒体访问控制,mei'ti'fang'wen'kong'zhi
媒体访问控制协议,mei'ti'fang'wen'kong'zhi'xie'yi
密级信息,mi'ji'xin'xi
米利机器,mi'li'ji'qi
密码分析攻击,mi'ma'fen'xi'gong'ji
密码模件,mi'ma'mu'jian
密码学,mi'ma'xue
迷失消息,mi'shi'xiao'xi
密钥流,mi'yao'liu
密钥建立,mi'yue'jian'li
面伺服,mian'ci'fu
面向代数语言,mian'xiang'dai'shu'yu'yan
面向对象的体系结构,mian'xiang'dui'xiang'de'ti'xi'jie'gou
面向对象分析,mian'xiang'dui'xiang'fen'xi
面向对象数据库语言,mian'xiang'dui'xiang'shu'ju'ku'yu'yan
面向过程语言,mian'xiang'guo'cheng'yu'yan
面向用户测试,mian'xiang'yong'hu'ce'shi
敏感数据,min'gan'shu'ju
敏感图案,min'gan'tu'an
命令,ming'ling
命令缓冲区,ming'ling'huan'chong'qu
命令控制块,ming'ling'kong'zhi'kuai
命令控制系统,ming'ling'kong'zhi'xi'tong
命题逻辑,ming'ti'luo'ji
模糊数学,mo'hu'shu'xue
模拟输出,mo'ni'shu'chu
模拟退火,mo'ni'tui'huo
模数转换器,mo'shu'zhuan'huan'qi
墨水罐,mo'shui'guan
磨损失效,mo'sun'shi'xiao
模态逻辑,mo'tai'luo'ji
模型,mo'xing
模型定性推理,mo'xing'ding'xing'tui'li
母板,mu'ban
目标引导行为,mu'biao'yin'dao'xing'wei
目标语言,mu'biao'yu'yan
脑科学,nao'ke'xue
内部寄存器,nei'bu'ji'cun'qi
内存保护,nei'cun'bao'hu
内存分配覆盖,nei'cun'fen'pei'fu'gai
内核,nei'he
内核模块,nei'he'mo'kuai
内建函数,nei'jian'han'shu
内热阻,nei're'zu
内像素,nei'xiang'su
能力表,neng'li'biao
逆变器,ni'bian'qi
逆变迁,ni'bian'qian
拟合,ni'he
匿名服务器,ni'ming'fu'wu'qi
逆网,ni'wang
凝聚,ning'ju
耦合度,ou'he'du
偶然中断,ou'ran'zhong'duan
排队,pai'dui
排队进程,pai'dui'jin'cheng
排队注册请求,pai'dui'zhu'ce'qing'qiu
盘片组,pan'pian'zu
旁路,pang'lu
配线架,pei'xian'jia
配置管理,pei'zhi'guan'li
配置控制委员会,pei'zhi'kong'zhi'wei'yuan'hui
配置审核,pei'zhi'shen'he
碰撞检测,peng'zhuang'jian'ce
批处理,pi'chu'li
批作业,pi'zuo'ye
偏移电压,pian'yi'dian'ya
漂移失效,piao'yi'shi'xiao
漂移误差补偿,piao'yi'wu'cha'bu'chang
屏蔽,ping'bi
屏蔽寄存器,ping'bi'ji'cun'qi
屏蔽向量,ping'bi'xiang'liang
平方非剩余,ping'fang'fei'sheng'yu
平均存取时间,ping'jun'cun'qu'shi'jian
平均未崩溃时间,ping'jun'wei'beng'kui'shi'jian
平面性,ping'mian'xing
平台,ping'tai
谱分析,pu'fen'xi
器件,qi'jian
欺骗,qi'pian
期望速率因子,qi'wang'su'lv'yin'zi
企业过程再工程,qi'ye'guo'cheng'zai'gong'cheng
起止式传输,qi'zhi'shi'chuan'shu
签名文件,qian'ming'wen'jian
嵌入式计算机,qian'ru'shi'ji'suan'ji
前台操作方式,qian'tai'cao'zuo'fang'shi
前台调度程序,qian'tai'diao'du'cheng'xu
前台分区,qian'tai'fen'qu
前提,qian'ti
前向串扰,qian'xiang'chuan'rao
前沿,qian'yan
迁移开销,qian'yi'kai'xiao
前置条件,qian'zhi'tiao'jian
前缀,qian'zhui
强度削弱,qiang'du'xue'ruo
乔姆斯基层次结构,qiao'mu'si'ji'ceng'ci'jie'gou
窃听,qie'ting
情报检索语言,qing'bao'jian'suo'yu'yan
请求,qing'qiu
请求参数表,qing'qiu'can'shu'biao
请求分页,qing'qiu'fen'ye
情态集,qing'tai'ji
清晰度,qing'xi'du
驱动程序,qu'dong'cheng'xu
区分序列,qu'fen'xu'lie
曲面插值,qu'mian'cha'zhi
曲面光顺,qu'mian'guang'shun
去模糊,qu'mo'hu
区位记录,qu'wei'ji'lu
区域描述,qu'yu'miao'shu
全干扰,quan'gan'rao
权函数,quan'han'shu
权衡,quan'heng
全加器,quan'jia'qi
全减器,quan'jian'qi
全局变量,quan'ju'bian'liang
全局查询优化,quan'ju'cha'xun'you'hua
全局存储器,quan'ju'cun'chu'qi
全局知识,quan'ju'zhi'shi
全文索引,quan'wen'suo'yin
全息存储器,quan'xi'cun'chu'qi
全相联高速缓存,quan'xiang'lian'gao'su'huan'cun
全相联映射,quan'xiang'lian'ying'she
确保操作,que'bao'cao'zuo
确定和随机佩特里网,que'ding'he'sui'ji'pei'te'li'wang
确定型上下文有关语言,que'ding'xing'shang'xia'wen'you'guan'yu'yan
缺失损失,que'shi'sun'shi
缺页频率,que'ye'pin'lv
热表,re'biao
热合金,re'he'jin
热流,re'liu
热梯度,re'ti'du
人工录入,ren'gong'lu'ru
人工模拟,ren'gong'mo'ni
人工生命,ren'gong'sheng'ming
人机对话,ren'ji'dui'hua
人机环境,ren'ji'huan'jing
人机环境系统,ren'ji'huan'jing'xi'tong
人际消息,ren'ji'xiao'xi
任务管理程序,ren'wu'guan'li'cheng'xu
任务模型,ren'wu'mo'xing
任意多边形,ren'yi'duo'bian'xing
容量,rong'liang
柔性制造系统,rou'xing'zhi'zao'xi'tong
软故障,ruan'gu'zhang
软件,ruan'jian
软件包,ruan'jian'bao
软件度量学,ruan'jian'du'liang'xue
软件更改报告,ruan'jian'geng'gai'bao'gao
软件工程,ruan'jian'gong'cheng
软件工程环境,ruan'jian'gong'cheng'huan'jing
软件工程经济学,ruan'jian'gong'cheng'jing'ji'xue
软件开发过程,ruan'jian'kai'fa'guo'cheng
软件量度,ruan'jian'liang'du
软件潜行分析,ruan'jian'qian'xing'fen'xi
软件缺陷,ruan'jian'que'xian
软件容错策略,ruan'jian'rong'cuo'ce'lue
软件生产率,ruan'jian'sheng'chan'lv
软件维护员,ruan'jian'wei'hu'yuan
软件资产管理程序,ruan'jian'zi'chan'guan'li'cheng'xu
软件资源,ruan'jian'zi'yuan
软盘套,ruan'pan'tao
弱位,ruo'wei
弱一致性模型,ruo'yi'zhi'xing'mo'xing
散热器,san're'qi
三维重建,san'wei'chong'jian
扫描,sao'miao
扫描输出,sao'miao'shu'chu
扫描线算法,sao'miao'xian'suan'fa
扫描转换,sao'miao'zhuan'huan
色饱和度,se'bao'he'du
色粉,se'fen
色匹配函数,se'pi'pei'han'shu
色映射,se'ying'she
扇出限制,shan'chu'xian'zhi
删除异常,shan'chu'yi'chang
上的多协议,shang'de'duo'xie'yi
上下文切换,shang'xia'wen'qie'huan
上下文外关键字,shang'xia'wen'wai'guan'jian'zi
上下文有关语言,shang'xia'wen'you'guan'yu'yan
设备描述,she'bei'miao'shu
设计差错,she'ji'cha'cuo
设计方法学,she'ji'fang'fa'xue
设计规划,she'ji'gui'hua
设施,she'shi
审查,shen'cha
深度图,shen'du'tu
身份验证,shen'fen'yan'zheng
神经元模型,shen'jing'yuan'mo'xing
神经元网络,shen'jing'yuan'wang'luo
渗入测试,shen'ru'ce'shi
声调,sheng'diao
声明,sheng'ming
时变布尔函数,shi'bian'bu'er'han'shu
识别,shi'bie
实参,shi'can
试凑搜索,shi'cou'sou'suo
实存状态,shi'cun'zhuang'tai
实地址,shi'di'zhi
时间重叠,shi'jian'chong'die
事件定义语言,shi'jian'ding'yi'yu'yan
时间动作研究,shi'jian'dong'zuo'yan'jiu
事件队列,shi'jian'dui'lie
事件检测器,shi'jian'jian'ce'qi
时间量子,shi'jian'liang'zi
时间序列模型,shi'jian'xu'lie'mo'xing
事件依赖性,shi'jian'yi'lai'xing
时间有界图灵机,shi'jian'you'jie'tu'ling'ji
世界坐标,shi'jie'zuo'biao
十六进制,shi'liu'jin'zhi
适配器,shi'pei'qi
视频点播,shi'pin'dian'bo
视频模式,shi'pin'mo'shi
实施变迁,shi'shi'bian'qian
试探法,shi'tan'fa
事务处理系统,shi'wu'chu'li'xi'tong
事务故障,shi'wu'gu'zhang
实线,shi'xian
实现需求,shi'xian'xu'qiu
失效分布,shi'xiao'fen'bu
失效恢复,shi'xiao'hui'fu
失效节点,shi'xiao'jie'dian
实验电路板,shi'yan'dian'lu'ban
实用功能,shi'yong'gong'neng
时钟寄存器,shi'zhong'ji'cun'qi
时钟脉冲发生器,shi'zhong'mai'chong'fa'sheng'qi
时钟驱动器,shi'zhong'qu'dong'qi
视锥,shi'zhui
手段目的分析,shou'duan'mu'di'fen'xi
守恒性,shou'heng'xing
输出特性,shu'chu'te'xing
输出下拉电阻,shu'chu'xia'la'dian'zu
输出字母表,shu'chu'zi'mu'biao
数据,shu'ju
数据测试,shu'ju'ce'shi
数据处理系统,shu'ju'chu'li'xi'tong
数据管理程序,shu'ju'guan'li'cheng'xu
数据集中器,shu'ju'ji'zhong'qi
数据加密算法,shu'ju'jia'mi'suan'fa
数据控制语言,shu'ju'kong'zhi'yu'yan
数据库键码,shu'ju'ku'jian'ma
数据偏斜,shu'ju'pian'xie
数据驱动型分析,shu'ju'qu'dong'xing'fen'xi
数据数字音频磁带,shu'ju'shu'zi'yin'pin'ci'dai
数据通路,shu'ju'tong'lu
数据通信,shu'ju'tong'xin
数据网标识码,shu'ju'wang'biao'shi'ma
数据项,shu'ju'xiang
数据一致性,shu'ju'yi'zhi'xing
数据源,shu'ju'yuan
树连接语法,shu'lian'jie'yu'fa
输入度,shu'ru'du
输入脉冲,shu'ru'mai'chong
竖向,shu'xiang
书写方向,shu'xie'fang'xiang
属性语法,shu'xing'yu'fa
树压缩技术,shu'ya'suo'ji'shu
术语空间,shu'yu'kong'jian
数字计算机,shu'zi'ji'suan'ji
数字配线架,shu'zi'pei'xian'jia
数字签名,shu'zi'qian'ming
数字影碟播放机,shu'zi'ying'die'bo'fang'ji
数字字符集,shu'zi'zi'fu'ji
刷新,shua'xin
刷新测试,shua'xin'ce'shi
双重数据加密标准,shuang'chong'shu'ju'jia'mi'biao'zhun
双连通度,shuang'lian'tong'du
双目成像,shuang'mu'cheng'xiang
双数据速率,shuang'shu'ju'su'lv
双稳触发电路,shuang'wen'chu'fa'dian'lu
双线性系统,shuang'xian'xing'xi'tong
双向打印,shuang'xiang'da'yin
双向通信,shuang'xiang'tong'xin
双钥密码系统,shuang'yao'mi'ma'xi'tong
双栈机,shuang'zhan'ji
瞬时冒险,shun'shi'mao'xian
顺序调用,shun'xu'diao'yong
顺序进程,shun'xu'jin'cheng
顺序局部性,shun'xu'ju'bu'xing
顺序搜索,shun'xu'sou'suo
顺序索引,shun'xu'suo'yin
顺序推理机,shun'xu'tui'li'ji
说话人确认,shuo'hua'ren'que'ren
死变迁,si'bian'qian
伺服道录写器,si'fu'dao'lu'xie'qi
思维科学,si'wei'ke'xue
私钥,si'yao
松散耦合系统,song'san'ou'he'xi'tong
搜索算法,sou'suo'suan'fa
算术上溢,suan'shu'shang'yi
随机差错,sui'ji'cha'cuo
随机存取机器,sui'ji'cun'qu'ji'qi
随机高级状态网,sui'ji'gao'ji'zhuang'tai'wang
随机失效,sui'ji'shi'xiao
随机数,sui'ji'shu
锁定,suo'ding
缩微平片,suo'wei'ping'pian
探测,tan'ce
探查,tan'cha
套具驱动器,tao'ju'qu'dong'qi
特殊网论,te'shu'wang'lun
特征模型转换,te'zheng'mo'xing'zhuan'huan
特征提取,te'zheng'ti'qu
替代攻击,ti'dai'gong'ji
替代选择,ti'dai'xuan'ze
梯格图,ti'ge'tu
提交单元,ti'jiao'dan'yuan
体矩阵,ti'ju'zhen
提取策略,ti'qu'ce'lue
体素构造表示,ti'su'gou'zao'biao'shi
条件逻辑,tiao'jian'luo'ji
条件同步,tiao'jian'tong'bu
调节,tiao'jie
条码阅读器,tiao'ma'yue'du'qi
调试程序,tiao'shi'cheng'xu
铁氧体薄膜磁盘,tie'yang'ti'bo'mo'ci'pan
同步,tong'bu
同步操作,tong'bu'cao'zuo
同步序列,tong'bu'xu'lie
同步总线,tong'bu'zong'xian
通道接口,tong'dao'jie'kou
统计决策理论,tong'ji'jue'ce'li'lun
统计时分复用,tong'ji'shi'fen'fu'yong
同态,tong'tai
铜线分布式数据接口,tong'xian'fen'bu'shi'shu'ju'jie'kou
通信模型,tong'xin'mo'xing
通信子网,tong'xin'zi'wang
通用多八位编码字符集,tong'yong'duo'ba'wei'bian'ma'zi'fu'ji
通用计算机,tong'yong'ji'suan'ji
通用异步接收发送设备,tong'yong'yi'bu'jie'shou'fa'song'she'bei
通用阵列逻辑电路,tong'yong'zhen'lie'luo'ji'dian'lu
同轴电缆,tong'zhou'dian'lan
头端器,tou'duan'qi
凸凹性,tu'ao'xing
图的非同构,tu'de'fei'tong'gou
图例查询,tu'li'cha'xun
图灵机,tu'ling'ji
图像逼真度,tu'xiang'bi'zhen'du
图像去噪,tu'xiang'qu'zao
图像识别,tu'xiang'shi'bie
图形保真,tu'xing'bao'zhen
图形工作站,tu'xing'gong'zuo'zhan
图形核心系统,tu'xing'he'xin'xi'tong
推迟,tui'chi
推理结点,tui'li'jie'dian
推理模型,tui'li'mo'xing
吞吐能力,tun'tu'neng'li
脱机存储器,tuo'ji'cun'chu'qi
脱机设备,tuo'ji'she'bei
拓扑检索,tuo'pu'jian'suo
外壳脚本,wai'ke'jiao'ben
外壳命令,wai'ke'ming'ling
外路长度,wai'lu'chang'du
外围设备,wai'wei'she'bei
完全问题,wan'quan'wen'ti
完整性,wan'zheng'xing
完整性控制,wan'zheng'xing'kong'zhi
网变换,wang'bian'huan
往复寻道测试,wang'fu'xun'dao'ce'shi
网关,wang'guan
网际协议,wang'ji'xie'yi
网络带宽,wang'luo'dai'kuan
网络单元,wang'luo'dan'yuan
网络地址,wang'luo'di'zhi
网络结点接口,wang'luo'jie'dian'jie'kou
网络设施,wang'luo'she'shi
网络时间协议,wang'luo'shi'jian'xie'yi
网络外围设备,wang'luo'wai'wei'she'bei
网络新闻,wang'luo'xin'wen
网射,wang'she
网知计算,wang'zhi'ji'suan
微程序,wei'cheng'xu
微处理器,wei'chu'li'qi
谓词变迁系统,wei'ci'bian'qian'xi'tong
谓词演算,wei'ci'yan'suan
微带线,wei'dai'xian
维护面板,wei'hu'mian'ban
维护陷阱,wei'hu'xian'jing
维护准备时间,wei'hu'zhun'bei'shi'jian
微码,wei'ma
位密度,wei'mi'du
微模块,wei'mo'kuai
微内核操作系统,wei'nei'he'cao'zuo'xi'tong
威胁监控,wei'xie'jian'kong
维修策略,wei'xiu'ce'lue
伪造检测,wei'zao'jian'ce
违章者,wei'zhang'zhe
微诊断装入器,wei'zhen'duan'zhuang'ru'qi
位置,wei'zhi
微中断,wei'zhong'duan
文本检索,wen'ben'jian'suo
文本校对,wen'ben'jiao'dui
文本库,wen'ben'ku
文档等级,wen'dang'deng'ji
稳定的排序算法,wen'ding'de'pai'xu'suan'fa
文件,wen'jian
文件传送存取和管理,wen'jian'chuan'song'cun'qu'he'guan'li
文件存储器,wen'jian'cun'chu'qi
文件服务器,wen'jian'fu'wu'qi
文件名扩展,wen'jian'ming'kuo'zhan
文件事件,wen'jian'shi'jian
文件维护,wen'jian'wei'hu
文件系统,wen'jian'xi'tong
文件组织,wen'jian'zu'zhi
问题陈述语言,wen'ti'chen'shu'yu'yan
问题重构,wen'ti'chong'gou
问题归约,wen'ti'gui'yue
稳压电源,wen'ya'dian'yuan
文章生成,wen'zhang'sheng'cheng
无错运行期,wu'cuo'yun'xing'qi
误动作,wu'dong'zuo
无端接传输线,wu'duan'jie'chuan'shu'xian
无共享的多处理器系统,wu'gong'xiang'de'duo'chu'li'qi'xi'tong
物理布局,wu'li'bu'ju
无连接业务,wu'lian'jie'ye'wu
无死锁性,wu'si'suo'xing
无向网,wu'xiang'wang
无用信息,wu'yong'xin'xi
无用信息区,wu'yong'xin'xi'qu
无源底板总线,wu'yuan'di'ban'zong'xian
细粒度,xi'li'du
系统测试方式,xi'tong'ce'shi'fang'shi
系统分析,xi'tong'fen'xi
系统高安全,xi'tong'gao'an'quan
系统活动,xi'tong'huo'dong
系统兼容性,xi'tong'jian'rong'xing
系统启动,xi'tong'qi'dong
系统设计规格说明,xi'tong'she'ji'gui'ge'shuo'ming
系统生成,xi'tong'sheng'cheng
系统生存周期,xi'tong'sheng'cun'zhou'qi
系统升级,xi'tong'sheng'ji
系统维护,xi'tong'wei'hu
系统验证,xi'tong'yan'zheng
系统页表,xi'tong'ye'biao
系统诊断,xi'tong'zhen'duan
系统中央处理器时间,xi'tong'zhong'yang'chu'li'qi'shi'jian
系统驻留卷,xi'tong'zhu'liu'juan
瑕点,xia'dian
下推队列,xia'tui'dui'lie
下推式存储器,xia'tui'shi'cun'chu'qi
下推自动机,xia'tui'zi'dong'ji
下载,xia'zai
现场可换单元,xian'chang'ke'huan'dan'yuan
线框,xian'kuang
显示器,xian'shi'qi
显示文件,xian'shi'wen'jian
线性规划,xian'xing'gui'hua
线性加速定理,xian'xing'jia'su'ding'li
线性检测,xian'xing'jian'ce
线性流水线,xian'xing'liu'shui'xian
先行算法,xian'xing'suan'fa
线性探查,xian'xing'tan'cha
先行指令站,xian'xing'zhi'ling'zhan
相变碟,xiang'bian'die
相关控制部件,xiang'guan'kong'zhi'bu'jian
相关驱动,xiang'guan'qu'dong
相关型故障,xiang'guan'xing'gu'zhang
向量编码,xiang'liang'bian'ma
向量量化,xiang'liang'liang'hua
向量循环方法,xiang'liang'xun'huan'fang'fa
向量指令,xiang'liang'zhi'ling
向前可达性,xiang'qian'ke'da'xing
向下兼容,xiang'xia'jian'rong
响应窗口,xiang'ying'chuang'kou
响应分析,xiang'ying'fen'xi
小计算机系统接口,xiao'ji'suan'ji'xi'tong'jie'kou
消息传递库,xiao'xi'chuan'di'ku
消息传送系统,xiao'xi'chuan'song'xi'tong
消息日志,xiao'xi'ri'zhi
写访问,xie'fang'wen
写回,xie'hui
写数据线,xie'shu'ju'xian
协调公式,xie'tiao'gong'shi
斜投影,xie'tou'ying
协议映射,xie'yi'ying'she
协作,xie'zuo
信道容量,xin'dao'rong'liang
信号摆幅,xin'hao'bai'fu
信号量,xin'hao'liang
信号线,xin'hao'xian
信号源阻抗,xin'hao'yuan'zu'kang
新技术视窗操作系统,xin'ji'shu'shi'chuang'cao'zuo'xi'tong
信念修正,xin'nian'xiu'zheng
信息处理系统,xin'xi'chu'li'xi'tong
信息处理语言,xin'xi'chu'li'yu'yan
信息估计,xin'xi'gu'ji
信息技术,xin'xi'ji'shu
信息流向控制,xin'xi'liu'xiang'kong'zhi
信息冗余,xin'xi'rong'yu
信息冗余检验,xin'xi'rong'yu'jian'yan
信息系统,xin'xi'xi'tong
信息隐蔽,xin'xi'yin'bi
信息源,xin'xi'yuan
信元划界,xin'yuan'hua'jie
心智机理,xin'zhi'ji'li
性能比,xing'neng'bi
性能需求,xing'neng'xu'qiu
形式演算,xing'shi'yan'suan
性态,xing'tai
修理,xiu'li
虚跨步,xu'kua'bu
虚拟安全网络,xu'ni'an'quan'wang'luo
虚拟处理器,xu'ni'chu'li'qi
虚拟地址,xu'ni'di'zhi
虚拟环境,xu'ni'huan'jing
虚拟企业,xu'ni'qi'ye
虚拟软盘,xu'ni'ruan'pan
虚拟图书馆,xu'ni'tu'shu'guan
虚拟现实,xu'ni'xian'shi
虚拟现实建模语言,xu'ni'xian'shi'jian'mo'yu'yan
虚拟现实界面,xu'ni'xian'shi'jie'mian
虚通路,xu'tong'lu
虚页,xu'ye
选项,xuan'xiang
学习理论,xue'xi'li'lun
循环调度,xun'huan'diao'du
循环进位,xun'huan'jin'wei
循环链表,xun'huan'lian'biao
循环冗余检验,xun'huan'rong'yu'jian'yan
循环展开,xun'huan'zhan'kai
寻径函数,xun'jing'han'shu
寻址,xun'zhi
压力变送器,ya'li'bian'song'qi
延迟时间,yan'chi'shi'jian
演绎模拟,yan'yi'mo'ni
演绎数据库,yan'yi'shu'ju'ku
演绎数学,yan'yi'shu'xue
言语行为理论,yan'yu'xing'wei'li'lun
样本空间,yang'ben'kong'jian
样条,yang'tiao
遥现,yao'xian
液晶显示,ye'jing'xian'shi
液冷,ye'leng
页面失效,ye'mian'shi'xiao
业务量描述词,ye'wu'liang'miao'shu'ci
异步刷新,yi'bu'shua'xin
异步算法,yi'bu'suan'fa
异常,yi'chang
移出,yi'chu
溢出检查,yi'chu'jian'cha
溢出控制程序,yi'chu'kong'zhi'cheng'xu
遗传规划算法,yi'chuan'gui'hua'suan'fa
遗传算法,yi'chuan'suan'fa
移动机器人,yi'dong'ji'qi'ren
移动计算机,yi'dong'ji'suan'ji
移动镜头,yi'dong'jing'tou
移动主体,yi'dong'zhu'ti
异构计算,yi'gou'ji'suan
异或门,yi'huo'men
已开文件,yi'kai'wen'jian
依赖边,yi'lai'bian
依赖图,yi'lai'tu
异体字,yi'ti'zi
移位网,yi'wei'wang
移位指令,yi'wei'zhi'ling
意向锁,yi'xiang'suo
意向系统,yi'xiang'xi'tong
引脚阵列封装,yin'jiao'zhen'lie'feng'zhuang
隐式并行性,yin'shi'bing'xing'xing
因特网接入提供者,yin'te'wang'jie'ru'ti'gong'zhe
因特网商务提供者,yin'te'wang'shang'wu'ti'gong'zhe
因特网信息服务器,yin'te'wang'xin'xi'fu'wu'qi
因特网研究指导组,yin'te'wang'yan'jiu'zhi'dao'zu
应变计划,ying'bian'ji'hua
硬错误,ying'cuo'wu
影碟,ying'die
荧光数码管,ying'guang'shu'ma'guan
应急转储,ying'ji'zhuan'chu
硬件安全,ying'jian'an'quan
硬件多线程,ying'jian'duo'xian'cheng
硬件检验,ying'jian'jian'yan
硬件设计语言,ying'jian'she'ji'yu'yan
映射,ying'she
映射函数,ying'she'han'shu
硬停机,ying'ting'ji
应用服务,ying'yong'fu'wu
应用领域,ying'yong'ling'yu
用户加密,yong'hu'jia'mi
用户区,yong'hu'qu
用户文档,yong'hu'wen'dang
用户造词程序,yong'hu'zao'ci'cheng'xu
诱发故障,you'fa'gu'zhang
有理贝济埃曲线,you'li'bei'ji'ai'qu'xian
有理据拆分,you'li'ju'chai'fen
有穷性问题,you'qiong'xing'wen'ti
有损压缩,you'sun'ya'suo
优先级控制,you'xian'ji'kong'zhi
优先级选择,you'xian'ji'xuan'ze
优先级作业,you'xian'ji'zuo'ye
有限网,you'xian'wang
右线性文法,you'xian'xing'wen'fa
有限状态机,you'xian'zhuang'tai'ji
有效项,you'xiao'xiang
有效状态,you'xiao'zhuang'tai
有效字,you'xiao'zi
预充电,yu'chong'dian
语法,yu'fa
语法分析,yu'fa'fen'xi
与非门,yu'fei'men
域际策略路由选择,yu'ji'ce'lue'lu'you'xuan'ze
语句,yu'ju
域名服务,yu'ming'fu'wu
预调度算法,yu'tiao'du'suan'fa
语言学模型,yu'yan'xue'mo'xing
语用分析,yu'yong'fen'xi
远程过程调用,yuan'cheng'guo'cheng'diao'yong
远程教室,yuan'cheng'jiao'shi
源程序,yuan'cheng'xu
远程作业输入,yuan'cheng'zuo'ye'shu'ru
远端耦合噪声,yuan'duan'ou'he'zao'sheng
源范例库,yuan'fan'li'ku
元规则,yuan'gui'ze
源路由算法,yuan'lu'you'suan'fa
圆片规模集成,yuan'pian'gui'mo'ji'cheng
原色,yuan'se
原始数据,yuan'shi'shu'ju
元组关系演算,yuan'zu'guan'xi'yan'suan
约束矩阵,yue'shu'ju'zhen
约束推理,yue'shu'tui'li
运算寄存器,yun'suan'ji'cun'qi
运算控制器,yun'suan'kong'zhi'qi
运行,yun'xing
运行剖面,yun'xing'pou'mian
运行日志,yun'xing'ri'zhi
运行时诊断,yun'xing'shi'zhen'duan
再工程,zai'gong'cheng
再压缩,zai'ya'suo
暂停,zan'ting
噪声,zao'sheng
噪声抗扰度,zao'sheng'kang'rao'du
战略情报,zhan'lue'qing'bao
栈容量,zhan'rong'liang
栈桶式算法,zhan'tong'shi'suan'fa
栈下推,zhan'xia'tui
栈向量,zhan'xiang'liang
栈字母表,zhan'zi'mu'biao
折线,zhe'xian
真点播电视,zhen'dian'bo'dian'shi
帧定位,zhen'ding'wei
诊断错误处理,zhen'duan'cuo'wu'chu'li
诊断系统,zhen'duan'xi'tong
帧封装,zhen'feng'zhuang
阵列流水线,zhen'lie'liu'shui'xian
帧内压缩,zhen'nei'ya'suo
帧首定界符,zhen'shou'ding'jie'fu
真值表,zhen'zhi'biao
真值表归约,zhen'zhi'biao'gui'yue
真值表可归约性,zhen'zhi'biao'ke'gui'yue'xing
正交小波变换,zheng'jiao'xiao'bo'bian'huan
证明,zheng'ming
正确性证明,zheng'que'xing'zheng'ming
政商运电子数据交换标准,zheng'shang'yun'dian'zi'shu'ju'jiao'huan'biao'zhun
证实,zheng'shi
证书废除,zheng'shu'fei'chu
证书鉴别,zheng'shu'jian'bie
整数线性规划,zheng'shu'xian'xing'gui'hua
证书状态机构,zheng'shu'zhuang'tai'ji'gou
整体失效,zheng'ti'shi'xiao
证伪,zheng'wei
争用时间间隔,zheng'yong'shi'jian'jian'ge
正则序,zheng'ze'xu
置标语言,zhi'biao'yu'yan
值参,zhi'can
支持系统,zhi'chi'xi'tong
制导系统,zhi'dao'xi'tong
只读存储器,zhi'du'cun'chu'qi
滞后,zhi'hou
直角平面显像管,zhi'jiao'ping'mian'xian'xiang'guan
直接插入,zhi'jie'cha'ru
直接存取,zhi'jie'cun'qu
直接呼叫设施,zhi'jie'hu'jiao'she'shi
