阿比可糖,a'bi'ke'tang
同种异型决定簇,tong'zhong'yi'xing'jue'ding'cu
同种异型抗原,tong'zhong'yi'xing'kang'yuan
同种异型组,tong'zhong'yi'xing'zu
土壤,tu'rang
土壤杆菌属,tu'rang'gan'jun'shu
脱落酸,tuo'luo'suan
脱羧系统系统胺转运蛋白,tuo'suo'xi'tong'xi'tong'an'zhuan'yun'dan'bai
脱氧岩藻糖,tuo'yang'yan'zao'tang
外源甲酰胺,wai'yuan'jia'xian'an
烷化剂烷基化炔,wan'hua'ji'wan'ji'hua'que
烷烯烷基,wan'xi'wan'ji
位点,wei'dian
无定形物非晶态,wu'ding'xing'wu'fei'jing'tai
无环核苷酸,wu'huan'he'gan'suan
无环鸟苷,wu'huan'niao'gan
无粒农产品,wu'li'nong'chan'pin
无生源论,wu'sheng'yuan'lun
无水乙腈苯胺,wu'shui'yi'jing'ben'an
无体腔动物,wu'ti'qiang'dong'wu
乌头碱,wu'tou'jian
乌头属,wu'tou'shu
乌头酸,wu'tou'suan
无星,wu'xing
无氧反应器,wu'yang'fan'ying'qi
无氧光细菌,wu'yang'guang'xi'jun
无氧培养物,wu'yang'pei'yang'wu
无氧生活,wu'yang'sheng'huo
物质攻击力,wu'zhi'gong'ji'li
无着丝粒断片,wu'zhuo'si'li'duan'pian
无着丝粒环,wu'zhuo'si'li'huan
无着丝粒染色体,wu'zhuo'si'li'ran'se'ti
细胞,xi'bao
细胞呈递,xi'bao'cheng'di
细胞生长因子,xi'bao'sheng'zhang'yin'zi
吸附,xi'fu
吸附层,xi'fu'ceng
吸附层析,xi'fu'ceng'xi
吸附沉淀,xi'fu'chen'dian
吸附催化,xi'fu'cui'hua
吸附蛋白,xi'fu'dan'bai
吸附等温线,xi'fu'deng'wen'xian
吸附等压线,xi'fu'deng'ya'xian
吸附电势,xi'fu'dian'shi
吸附剂,xi'fu'ji
吸附量,xi'fu'liang
吸附膜,xi'fu'mo
吸附中心,xi'fu'zhong'xin
吸光测定法,xi'guang'ce'ding'fa
吸光度,xi'guang'du
吸光计,xi'guang'ji
吸光系数,xi'guang'xi'shu
系菌群,xi'jun'qun
吸收池,xi'shou'chi
吸收光谱,xi'shou'guang'pu
吸收光谱法,xi'shou'guang'pu'fa
吸收剂,xi'shou'ji
吸收剂量,xi'shou'ji'liang
吸收谱胞吞,xi'shou'pu'bao'tun
吸收谱带,xi'shou'pu'dai
吸收系数,xi'shou'xi'shu
吸收性,xi'shou'xing
酰胺化肽酰胺脒,xian'an'hua'tai'xian'an'mi
酰胺键,xian'an'jian
酰胺键胺霉素,xian'an'jian'an'mei'su
酰叠氮,xian'die'dan
酰氟,xian'fu
腺苷,xian'gan
腺苷二磷酸,xian'gan'er'lin'suan
腺苷三磷酸酶,xian'gan'san'lin'suan'mei
腺苷酸,xian'gan'suan
腺苷酸环化酶,xian'gan'suan'huan'hua'mei
腺苷酸环化酶腺,xian'gan'suan'huan'hua'mei'xian
腺苷酸激酶,xian'gan'suan'ji'mei
腺苷酸能荷,xian'gan'suan'neng'he
腺苷酸盐,xian'gan'suan'yan
腺苷脱氨酶,xian'gan'tuo'an'mei
腺苷酰硫酸,xian'gan'xian'liu'suan
腺苷一磷酸,xian'gan'yi'lin'suan
酰化,xian'hua
酰化剂,xian'hua'ji
酰基,xian'ji
酰基载体蛋白,xian'ji'zai'ti'dan'bai
酰基正离子,xian'ji'zheng'li'zi
酰基转移酶,xian'ji'zhuan'yi'mei
衔接分子,xian'jie'fen'zi
衔接头,xian'jie'tou
衔接子,xian'jie'zi
腺瘤,xian'liu
酰卤,xian'lu
酰氯,xian'lv
腺嘌呤,xian'piao'ling
腺嘌呤核苷,xian'piao'ling'he'gan
限雄,xian'xiong
酰溴偶姻,xian'xiu'ou'yin
象差,xiang'cha
向顶运输顶体蛋白,xiang'ding'yun'shu'ding'ti'dan'bai
镶嵌模型,xiang'qian'mo'xing
镶嵌模型流体,xiang'qian'mo'xing'liu'ti
相似蛋白,xiang'si'dan'bai
相思豆毒蛋白,xiang'si'dou'du'dan'bai
小孢子,xiao'bao'zi
小份,xiao'fen
消化管脂肪族,xiao'hua'guan'zhi'fang'zu
消泡剂,xiao'pao'ji
消泡控制器,xiao'pao'kong'zhi'qi
消泡针,xiao'pao'zhen
兴奋剂,xing'fen'ji
性异源,xing'yi'yuan
雄,xiong
雄核,xiong'he
雄核发育,xiong'he'fa'yu
雄激素,xiong'ji'su
雄配子,xiong'pei'zi
雄蕊,xiong'rui
雄酮,xiong'tong
雄原细胞,xiong'yuan'xi'bao
雄质,xiong'zhi
序列对比,xu'lie'dui'bi
絮凝,xu'ning
絮凝法,xu'ning'fa
需氧呼吸,xu'yang'hu'xi
需氧培养,xu'yang'pei'yang
需氧细菌,xu'yang'xi'jun
血管,xue'guan
血管紧张肽,xue'guan'jin'zhang'tai
血管紧张肽酶,xue'guan'jin'zhang'tai'mei
血管紧张肽原,xue'guan'jin'zhang'tai'yuan
血管生成素,xue'guan'sheng'cheng'su
血管生成因子,xue'guan'sheng'cheng'yin'zi
血影蛋白,xue'ying'dan'bai
厌氧的,yan'yang'de
厌氧发酵,yan'yang'fa'jiao
厌氧过滤系统,yan'yang'guo'lv'xi'tong
厌氧接触型消化器,yan'yang'jie'chu'xing'xiao'hua'qi
厌氧菌,yan'yang'jun
厌氧膜生物反应器,yan'yang'mo'sheng'wu'fan'ying'qi
厌氧培养,yan'yang'pei'yang
厌氧培养室,yan'yang'pei'yang'shi
厌氧生活,yan'yang'sheng'huo
厌氧消化,yan'yang'xiao'hua
厌氧消化器,yan'yang'xiao'hua'qi
盐酯根,yan'zhi'gen
阳极异常,yang'ji'yi'chang
氧性,yang'xing
药氟荧光剂,yao'fu'ying'guang'ji
叶面施肥,ye'mian'shi'fei
叶酸,ye'suan
叶酸盐酯根,ye'suan'yan'zhi'gen
叶酰单谷氨酸,ye'xian'dan'gu'an'suan
叶诊断,ye'zhen'duan
乙胺氨基葡糖,yi'an'an'ji'pu'tang
抑氨肽酶,yi'an'tai'mei
异倍体,yi'bei'ti
异常,yi'chang
乙醇脱氢酶,yi'chun'tuo'qing'mei
乙腈丙酮,yi'jing'bing'tong
异硫氰酸荧光素,yi'liu'qing'suan'ying'guang'su
一年生植物,yi'nian'sheng'zhi'wu
异配生殖,yi'pei'sheng'zhi
乙醛,yi'quan
乙炔,yi'que
乙酸醋杆菌,yi'suan'cu'gan'jun
乙酸醋酸,yi'suan'cu'suan
乙酸酐,yi'suan'gan
乙酸甘油酯,yi'suan'gan'you'zhi
乙酸化作用,yi'suan'hua'zuo'yong
乙酸菌,yi'suan'jun
乙酸盐,yi'suan'yan
异体反应,yi'ti'fan'ying
异体识别,yi'ti'shi'bie
异头物,yi'tou'wu
乙酰,yi'xian
乙酰胺,yi'xian'an
乙酰胺酶,yi'xian'an'mei
乙酰胆,yi'xian'dan
乙酰胆碱,yi'xian'dan'jian
乙酰胆碱受体,yi'xian'dan'jian'shou'ti
乙酰胆碱酯酶,yi'xian'dan'jian'zhi'mei
乙酰辅酶,yi'xian'fu'mei
乙酰谷氨酸合成酶,yi'xian'gu'an'suan'he'cheng'mei
乙酰基,yi'xian'ji
乙酰螺旋霉素,yi'xian'luo'xuan'mei'su
乙酰葡糖胺糖苷酶,yi'xian'pu'tang'an'tang'gan'mei
乙酰水杨酸,yi'xian'shui'yang'suan
乙酰水杨酸盐,yi'xian'shui'yang'suan'yan
异形,yi'xing
异形孢子,yi'xing'bao'zi
异型配子,yi'xing'pei'zi
异源,yi'yuan
异源倍,yi'yuan'bei
异源倍性,yi'yuan'bei'xing
异源单倍体,yi'yuan'dan'bei'ti
异源多倍,yi'yuan'duo'bei
异源多倍体,yi'yuan'duo'bei'ti
异源四倍体,yi'yuan'si'bei'ti
抑制剂,yi'zhi'ji
抑制基因,yi'zhi'ji'yin
抑殖素,yi'zhi'su
抑制肽,yi'zhi'tai
抑制因子,yi'zhi'yin'zi
异柱克生物质,yi'zhu'ke'sheng'wu'zhi
异柱克生现象,yi'zhu'ke'sheng'xian'xiang
阴离子,yin'li'zi
阴离子呼吸,yin'li'zi'hu'xi
阴离子碱,yin'li'zi'jian
阴离子酸,yin'li'zi'suan
阴离子通道,yin'li'zi'tong'dao
阴离子型去污剂,yin'li'zi'xing'qu'wu'ji
引物,yin'wu
荧光产额,ying'guang'chan'e
荧光猝灭,ying'guang'cu'mie
荧光蛋白,ying'guang'dan'bai
荧光燃料,ying'guang'ran'liao
荧光素如绿脓杆菌,ying'guang'su'ru'lv'nong'gan'jun
荧光素荧光黄,ying'guang'su'ying'guang'huang
荧光小体,ying'guang'xiao'ti
荧光自显影,ying'guang'zi'xian'ying
荧光自显影术,ying'guang'zi'xian'ying'shu
荧光自显影图,ying'guang'zi'xian'ying'tu
游动精子,you'dong'jing'zi
有丝分裂,you'si'fen'lie
有氧代谢,you'yang'dai'xie
有氧酵解,you'yang'jiao'jie
原生鼠,yuan'sheng'shu
远位,yuan'wei
造粉粒,zao'fen'li
造粉质体,zao'fen'zhi'ti
藻胶,zao'jiao
藻蓝素,zao'lan'su
藻类,zao'lei
藻酸,zao'suan
藻酸盐,zao'suan'yan
增效喷雾剂荧光荧光分光,zeng'xiao'pen'wu'ji'ying'guang'ying'guang'fen'guang
着斑胞,zhe'ban'bao
折叠核,zhe'die'he
折叠链,zhe'die'lian
折叠微区,zhe'die'wei'qu
折叠中间态,zhe'die'zhong'jian'tai
振荡,zhen'dang
振荡器,zhen'dang'qi
镇静,zhen'jing
镇痛类似物,zhen'tong'lei'si'wu
振摇,zhen'yao
脂动激素,zhi'dong'ji'su
脂肪胺,zhi'fang'an
脂肪细胞,zhi'fang'xi'bao
脂肪族胺类生物碱,zhi'fang'zu'an'lei'sheng'wu'jian
脂肪族化合物,zhi'fang'zu'hua'he'wu
脂肪组织,zhi'fang'zu'zhi
酯根,zhi'gen
脂环化合物,zhi'huan'hua'he'wu
脂环烃,zhi'huan'ting
直链,zhi'lian
止痛药,zhi'tong'yao
脂酰辅酶,zhi'xian'fu'mei
主动免疫,zhu'dong'mian'yi
主动吸收,zhu'dong'xi'shou
主动转运,zhu'dong'zhuan'yun
转氨酶,zhuan'an'mei
转化酶,zhuan'hua'mei
转录,zhuan'lu
转移酶,zhuan'yi'mei
壮观霉素,zhuang'guan'mei'su
自然,zi'ran
足迹技术,zu'ji'ji'shu
祖先,zu'xian
柞蚕,zuo'can
柞蚕核型,zuo'can'he'xing
佐剂肽佐剂活性,zuo'ji'tai'zuo'ji'huo'xing
佐剂细胞因子,zuo'ji'xi'bao'yin'zi
佐细胞,zuo'xi'bao
作用凝集素,zuo'yong'ning'ji'su
