按照本款处理,an'zhao'ben'kuan'chu'li
温馨提示,wen'xin'ti'shi
无法避免地,wu'fa'bi'mian'di
五将,wu'jiang
五进,wu'jin
五进四,wu'jin'si
无路可走,wu'lu'ke'zou
无论是哪一方的,wu'lun'shi'na'yi'fang'de
五马,wu'ma
五平,wu'ping
五羊杯,wu'yang'bei
误走,wu'zou
五卒,wu'zu
下步,xia'bu
下列情况之一,xia'lie'qing'kuang'zhi'yi
献车,xian'che
先得出者,xian'de'chu'zhe
献马妙极,xian'ma'miao'ji
先弃后取,xian'qi'hou'qu
相的,xiang'de
相九进七,xiang'jiu'jin'qi
相九退七,xiang'jiu'tui'qi
相七进九,xiang'qi'jin'jiu
相七进五,xiang'qi'jin'wu
象棋盘,xiang'qi'pan
相七退九,xiang'qi'tui'jiu
相七退九车,xiang'qi'tui'jiu'che
相七退五,xiang'qi'tui'wu
象棋子,xiang'qi'zi
向前走一步,xiang'qian'zou'yi'bu
相三进五,xiang'san'jin'wu
相三进一,xiang'san'jin'yi
相三退五,xiang'san'tui'wu
相三退一,xiang'san'tui'yi
相五进七,xiang'wu'jin'qi
相五进三,xiang'wu'jin'san
相五进三车,xiang'wu'jin'san'che
相五退七,xiang'wu'tui'qi
相五退三,xiang'wu'tui'san
相五退三车,xiang'wu'tui'san'che
相五退三炮,xiang'wu'tui'san'pao
相走田字,xiang'zou'tian'zi
小兵,xiao'bing
消除黑方,xiao'chu'hei'fang
胁帅,xie'shuai
斜线走一步,xie'xian'zou'yi'bu
斜走两步,xie'zou'liang'bu
形成了,xing'cheng'le
徐天红,xu'tian'hong
许银川,xu'yin'chuan
宣告同意,xuan'gao'tong'yi
循环反复,xun'huan'fan'fu
压马,ya'ma
掩护小卒,yan'hu'xiao'zu
掩护小卒过河,yan'hu'xiao'zu'guo'he
杨官璘,yang'guan'lin
杨官璘不愧为,yang'guan'lin'bu'kui'wei
杨汉民,yang'han'min
要把它吃掉,yao'ba'ta'chi'diao
要去方向,yao'qu'fang'xiang
要着,yao'zhe
也被拒绝,ye'bei'ju'jue
也称为,ye'cheng'wei
也都不能走动,ye'dou'bu'neng'zou'dong
也非跳不可了,ye'fei'tiao'bu'ke'le
也可改走,ye'ke'gai'zou
也可以横走一步,ye'ke'yi'heng'zou'yi'bu
移车,yi'che
已达三次,yi'da'san'ci
一方出现,yi'fang'chu'xian
一方的棋子,yi'fang'de'qi'zi
一方提和,yi'fang'ti'he
一横,yi'heng
亦红优,yi'hong'you
以后黑炮,yi'hou'hei'pao
以后实战来看,yi'hou'shi'zhan'lai'kan
一将,yi'jiang
以解,yi'jie
以进为退,yi'jin'wei'tui
以精妙的,yi'jing'miao'de
亦可改走,yi'ke'gai'zou
一炮,yi'pao
以强凌弱,yi'qiang'ling'ruo
已同上述,yi'tong'shang'shu
弈完第,yi'wan'di
以下黑,yi'xia'hei
以下红方只有,yi'xia'hong'fang'zhi'you
以下马,yi'xia'ma
以下如接走,yi'xia'ru'jie'zou
已先占据,yi'xian'zhan'ju
一象,yi'xiang
一相,yi'xiang
一斜,yi'xie
意欲大胆穿心,yi'yu'da'dan'chuan'xin
一着棋,yi'zhao'qi
一直,yi'zhi
弈至第,yi'zhi'di
一至九,yi'zhi'jiu
一卒,yi'zu
因迟到判负的时限,yin'chi'dao'pan'fu'de'shi'xian
因红方必须,yin'hong'fang'bi'xu
因势利导,yin'shi'li'dao
因为暗伏,yin'wei'an'fu
因违犯纪律,yin'wei'fan'ji'lv
因为这样一来,yin'wei'zhe'yang'yi'lai
应当变着而不变,ying'dang'bian'zhe'er'bu'bian
应改,ying'gai
应改走,ying'gai'zou
应将,ying'jiang
应使双方,ying'shi'shuang'fang
应走着数,ying'zou'zhao'shu
用阿拉伯数字,yong'a'la'bo'shu'zi
用车,yong'che
用车直接,yong'che'zhi'jie
用来阻挡,yong'lai'zu'dang
用炮,yong'pao
用中文数字,yong'zhong'wen'shu'zi
有别的棋子挡住,you'bie'de'qi'zi'dang'zhu
有别的棋子时,you'bie'de'qi'zi'shi
由此入局,you'ci'ru'ju
有对方棋子存在,you'dui'fang'qi'zi'cun'zai
由九道直线,you'jiu'dao'zhi'xian
右肋,you'lei
有权判为和棋,you'quan'pan'wei'he'qi
右帅,you'shuai
由于黑方,you'yu'hei'fang
由执红棋,you'zhi'hong'qi
与上局相比,yu'shang'ju'xiang'bi
与上局相似,yu'shang'ju'xiang'si
于幼华,yu'you'hua
原谱,yuan'pu
运马,yun'ma
再次提和,zai'ci'ti'he
在对方,zai'dui'fang
在对局时,zai'dui'ju'shi
在规定时限内,zai'gui'ding'shi'xian'nei
再接走,zai'jie'zou
再马,zai'ma
在没有过,zai'mei'you'guo
载入时间,zai'ru'shi'jian
再仕,zai'shi
在速度上,zai'su'du'shang
在同一局棋中,zai'tong'yi'ju'qi'zhong
在这些交叉点上,zai'zhe'xie'jiao'cha'dian'shang
臧如意,zang'ru'yi
则不能,ze'bu'neng
则不行走过去,ze'bu'xing'zou'guo'qu
则将,ze'jiang
则马,ze'ma
则马二,ze'ma'er
则炮,ze'pao
则仕,ze'shi
则帅,ze'shuai
则帅五,ze'shuai'wu
则相三,ze'xiang'san
则卒,ze'zu
乍看似嫌鲁莽,zha'kan'si'xian'lu'mang
战术手段,zhan'shu'shou'duan
占先了一步,zhan'xian'le'yi'bu
找不到网页,zhao'bu'dao'wang'ye
赵庆阁,zhao'qing'ge
着法,zhe'fa
着法红先,zhe'fa'hong'xian
着法老练,zhe'fa'lao'lian
着法凶狠剽悍,zhe'fa'xiong'hen'piao'han
着改走,zhe'gai'zou
这样一来,zhe'yang'yi'lai
正着,zheng'zhao
直接对面,zhi'jie'dui'mian
只能在提和后,zhi'neng'zai'ti'he'hou
制胜,zhi'sheng
制胜妙法,zhi'sheng'miao'fa
之势获胜,zhi'shi'huo'sheng
直退,zhi'tui
只许向前直走一步,zhi'xu'xiang'qian'zhi'zou'yi'bu
只许走一步,zhi'xu'zou'yi'bu
只要是,zhi'yao'shi
只有炮吃子,zhi'you'pao'chi'zi
直至分出胜负,zhi'zhi'fen'chu'sheng'fu
制中,zhi'zhong
中兵,zhong'bing
中路取势,zhong'lu'qu'shi
重炮杀,zhong'pao'sha
准备赶走,zhun'bei'gan'zou
准备平中,zhun'bei'ping'zhong
准备镇中,zhun'bei'zhen'zhong
自己的提议,zi'ji'de'ti'yi
自己宣布认输,zi'ji'xuan'bu'ren'shu
自然限着,zi'ran'xian'zhe
走到的位置,zou'dao'de'wei'zhi
走法同车一样,zou'fa'tong'che'yi'yang
走棋和吃子,zou'qi'he'chi'zi
走棋违犯禁例,zou'qi'wei'fan'jin'li
走一着棋时,zou'yi'zhao'qi'shi
卒分两翼,zu'fen'liang'yi
组攻,zu'gong
卒五个,zu'wu'ge
