爱臣,ai'chen
河渠书,he'qu'shu
何人斯,he'ren'si
鹤山,he'shan
鹤山集,he'shan'ji
和氏,he'shi
何氏语林,he'shi'yu'lin
何水部集,he'shui'bu'ji
河朔访古记,he'shuo'fang'gu'ji
河图,he'tu
河图洛书原舛,he'tu'luo'shu'yuan'chuan
河图数,he'tu'shu
何文简疏议,he'wen'jian'shu'yi
何休,he'xiu
何晏,he'yan
河岳英灵集,he'yue'ying'ling'ji
黑口,hei'kou
黑鱼尾,hei'yu'wei
珩璜新论,heng'huang'xin'lun
衡庐精舍藏稿,heng'lu'jing'she'cang'gao
衡门,heng'men
横渠易说,heng'qu'yi'shuo
洪范,hong'fan
洪范传,hong'fan'chuan
洪范皇极内篇,hong'fan'huang'ji'nei'pian
洪范记,hong'fan'ji
洪范口义,hong'fan'kou'yi
洪范口译,hong'fan'kou'yi
洪范明义,hong'fan'ming'yi
洪范统一,hong'fan'tong'yi
洪范五行传,hong'fan'wu'xing'chuan
洪范正论,hong'fan'zheng'lun
洪吉亮,hong'ji'liang
洪适,hong'kuo
洪迈,hong'mai
弘明集,hong'ming'ji
洪氏春秋说,hong'shi'chun'qiu'shuo
洪武正韵,hong'wu'zheng'yun
洪兴祖,hong'xing'zu
鸿雁,hong'yan
鸿雁之什,hong'yan'zhi'shi
洪颐煊,hong'yi'xuan
红雨楼,hong'yu'lou
红雨楼书目,hong'yu'lou'shu'mu
洪震煊,hong'zhen'xuan
侯苞,hou'bao
后编,hou'bian
后苍,hou'cang
后村集,hou'cun'ji
后村千家诗,hou'cun'qian'jia'shi
后汉纪,hou'han'ji
后汉书,hou'han'shu
后汉书辨疑,hou'han'shu'bian'yi
后汉书补表,hou'han'shu'bu'biao
后汉书补逸,hou'han'shu'bu'yi
后汉书补注,hou'han'shu'bu'zhu
后汉书札记,hou'han'shu'zha'ji
后集,hou'ji
侯康,hou'kang
后乐集,hou'le'ji
后录,hou'lu
侯鲭录,hou'qing'lu
候人,hou'ren
后山诗话,hou'shan'shi'hua
后山谈丛,hou'shan'tan'cong
厚斋,hou'zhai
厚斋易学,hou'zhai'yi'xue
后周文纪,hou'zhou'wen'ji
胡安国,hu'an'guo
胡常,hu'chang
胡承珙,hu'cheng'gong
胡传纂疏,hu'chuan'zuan'shu
扈从西巡日录,hu'cong'xi'xun'ri'lu
蝴蝶装,hu'die'zhuang
胡端敏奏议,hu'duan'min'zou'yi
胡广,hu'guang
湖广通志,hu'guang'tong'zhi
胡克家,hu'ke'jia
胡匡衷,hu'kuang'zhong
胡母生,hu'mu'sheng
滹南集,hu'nan'ji
滹南遗老,hu'nan'yi'lao
滹南遗老集,hu'nan'yi'lao'ji
胡培翚,hu'pei'hui
虎钤经,hu'qian'jing
胡三省,hu'san'xing
湖山类稿,hu'shan'lei'gao
壶山四六,hu'shan'si'liu
胡氏春秋传,hu'shi'chun'qiu'chuan
胡氏尚书详解,hu'shi'shang'shu'xiang'jie
弧矢算术,hu'shi'suan'shu
胡士行,hu'shi'xing
胡宿,hu'su
胡渭,hu'wei
互文,hu'wen
互文见义,hu'wen'jian'yi
胡文敬集,hu'wen'jing'ji
胡文穆杂著,hu'wen'mu'za'zhu
瓠叶,hu'ye
胡应麟,hu'ying'lin
胡瑗,hu'yuan
胡仲子集,hu'zhong'zi'ji
互注,hu'zhu
互著,hu'zhu
花庵词选,hua'an'ci'xuan
花草稡编,hua'cao'zu'bian
画禅室随笔,hua'chan'shi'sui'bi
画继,hua'ji
画鉴,hua'jian
花间集,hua'jian'ji
花口,hua'kou
輠录,hua'lu
画墁录,hua'man'lu
花木鸟兽集类,hua'mu'niao'shou'ji'lei
画品,hua'pin
华泉集,hua'quan'ji
画山水赋,hua'shan'shui'fu
画史,hua'shi
画史会要,hua'shi'hui'yao
化书,hua'shu
华黍,hua'shu
华亭百咏,hua'ting'bai'yong
花溪集,hua'xi'ji
华阳国志,hua'yang'guo'zhi
华野疏稿,hua'ye'shu'gao
花鱼尾,hua'yu'wei
淮海词,huai'hai'ci
怀麓堂集,huai'lu'tang'ji
怀麓堂诗话,huai'lu'tang'shi'hua
淮南鸿烈解,huai'nan'hong'lie'jie
淮南子,huai'nan'zi
怀清堂集,huai'qing'tang'ji
怀星堂集,huai'xing'tang'ji
淮阳集,huai'yang'ji
浣川集,huan'chuan'ji
洹词,huan'ci
桓典,huan'dian
桓公,huan'gong
环谷集,huan'gu'ji
桓荣,huan'rong
圜容较义,huan'rong'jiao'yi
桓生,huan'sheng
桓谭,huan'tan
环溪诗话,huan'xi'shi'hua
桓焉,huan'yan
桓郁,huan'yu
寰宇访碑录,huan'yu'fang'bei'lu
皇霸文纪,huang'ba'wen'ji
皇朝礼器图式,huang'chao'li'qi'tu'shi
皇朝事实类苑,huang'chao'shi'shi'lei'yuan
皇朝通典,huang'chao'tong'dian
皇朝文献通考,huang'chao'wen'xian'tong'kao
黄澄量,huang'cheng'liang
黄度,huang'du
篁墩文集,huang'dun'wen'ji
黄逢元,huang'feng'yuan
皇甫少玄集,huang'fu'shao'xuan'ji
皇甫司勋集,huang'fu'si'xun'ji
黄榦,huang'gan
皇皇者华,huang'huang'zhe'hua
皇极经世,huang'ji'jing'shi
皇极经世观物外篇衍义,huang'ji'jing'shi'guan'wu'wai'pian'yan'yi
皇极经世书,huang'ji'jing'shi'shu
皇极经世书解,huang'ji'jing'shi'shu'jie
皇极经世索隐,huang'ji'jing'shi'suo'yin
黄溍,huang'jin
皇侃,huang'kan
黄老,huang'lao
皇灵孝经,huang'ling'xiao'jing
黄伦,huang'lun
黄麻纸,huang'ma'zhi
黄棉纸,huang'mian'zhi
黄鸟,huang'niao
黄彭年,huang'peng'nian
黄丕烈,huang'pi'lie
皇清经解,huang'qing'jing'jie
皇清经解提要,huang'qing'jing'jie'ti'yao
皇清开国方略,huang'qing'kai'guo'fang'lue
皇清文颖,huang'qing'wen'ying
皇清职贡图,huang'qing'zhi'gong'tu
黄琼,huang'qiong
黄奭,huang'shi
黄石公三略,huang'shi'gong'san'lue
黄石公素书,huang'shi'gong'su'shu
黄氏日抄,huang'shi'ri'chao
黄式三,huang'shi'san
黄书,huang'shu
皇王大纪,huang'wang'da'ji
皇言定声录,huang'yan'ding'sheng'lu
皇义,huang'yi
皇矣,huang'yi
黄以周,huang'yi'zhou
皇佑新乐图记,huang'you'xin'le'tu'ji
皇舆西域图志,huang'yu'xi'yu'tu'zhi
黄震,huang'zhen
荒政丛书,huang'zheng'cong'shu
黄宗羲,huang'zong'xi
黄宗炎,huang'zong'yan
惠栋,hui'dong
回护,hui'hu
汇刻书目,hui'ke'shu'mu
惠埼,hui'qi
绘事备考,hui'shi'bei'kao
惠氏春秋说,hui'shi'chun'qiu'shuo
惠氏春秋左传补注,hui'shi'chun'qiu'zuo'zhuan'bu'zhu
惠士奇,hui'shi'qi
绘事微言,hui'shi'wei'yan
惠氏易说,hui'shi'yi'shuo
回文类聚,hui'wen'lei'ju
会校,hui'xiao
汇校,hui'xiao
会要,hui'yao
惠周惕,hui'zhou'ti
会注,hui'zhu
汇注,hui'zhu
挥麈录,hui'zhu'lu
浑盖通宪图说,hun'gai'tong'xian'tu'shuo
昏义,hun'yi
活校,huo'jiao
惑经,huo'jing
祸乱黔首,huo'luan'qian'shou
或问,huo'wen
活字本,huo'zi'ben
辑本,ji'ben
季沧苇藏书目,ji'cang'wei'cang'shu'mu
集传,ji'chuan
季春纪,ji'chun'ji
级次,ji'ci
级次文献,ji'ci'wen'xian
辑存,ji'cun
季冬纪,ji'dong'ji
祭法,ji'fa
畿辅通志,ji'fu'tong'zhi
击鼓,ji'gu
汲古阁,ji'gu'ge
汲古阁本,ji'gu'ge'ben
汲古阁教校刻书目,ji'gu'ge'jiao'xiao'ke'shu'mu
稽古录,ji'gu'lu
集古录,ji'gu'lu
缉古算经,ji'gu'suan'jing
集古系地录,ji'gu'xi'di'lu
集古系时录,ji'gu'xi'shi'lu
积古斋,ji'gu'zhai
积古斋藏器目,ji'gu'zhai'cang'qi'mu
积古斋钟鼎款识,ji'gu'zhai'zhong'ding'kuan'zhi
几何论约,ji'he'lun'yue
几何原本,ji'he'yuan'ben
既济,ji'ji
集解,ji'jie
吉金,ji'jin
急就篇,ji'jiu'pian
急救仙方,ji'jiu'xian'fang
急就章注,ji'jiu'zhang'zhu
稽考,ji'kao
稽览图,ji'lan'tu
鸡肋,ji'lei
鸡肋编,ji'lei'bian
集灵记,ji'ling'ji
鸡鸣,ji'ming
稽命徵,ji'ming'zheng
集千家注杜工部诗集,ji'qian'jia'zhu'du'gong'bu'shi'ji
季秋纪,ji'qiu'ji
吉日,ji'ri
稽瑞楼,ji'rui'lou
稽瑞楼书目,ji'rui'lou'shu'mu
霁山文集,ji'shan'wen'ji
稽神录,ji'shen'lu
济生方,ji'sheng'fang
季氏,ji'shi
纪事本末类,ji'shi'ben'mo'lei
讥俗节义,ji'su'jie'yi
讥俗文字略,ji'su'wen'zi'lue
祭统,ji'tong
既夕礼,ji'xi'li
季夏纪,ji'xia'ji
稷下学宫,ji'xia'xue'gong
集贤院,ji'xian'yuan
纪效新书,ji'xiao'xin'shu
极玄集,ji'xuan'ji
集验背疽方,ji'yan'bei'ju'fang
稽耀嘉,ji'yao'jia
己意,ji'yi
祭义,ji'yi
辑佚,ji'yi
集异记,ji'yi'ji
辑佚学,ji'yi'xue
集玉山房稿,ji'yu'shan'fang'gao
集韵,ji'yun
季札,ji'zha
绩斋集,ji'zhai'ji
季振宜,ji'zhen'yi
继志斋集,ji'zhi'zhai'ji
嵇中散集,ji'zhong'san'ji
汲冢书,ji'zhong'shu
集注,ji'zhu
记纂渊海,ji'zuan'yuan'hai
既醉,ji'zui
夹板,jia'ban
贾伯生,jia'bo'sheng
假仓,jia'cang
家藏集,jia'cang'ji
贾昌朝,jia'chang'chao
稼村类稿,jia'cun'lei'gao
嘉定赤城志,jia'ding'chi'cheng'zhi
家范,jia'fan
贾公彦,jia'gong'yan
嘉禾,jia'he
嘉禾百咏,jia'he'bai'yong
贾护,jia'hu
贾徽,jia'hui
夹漈遗稿,jia'ji'yi'gao
贾嘉,jia'jia
假经设谊,jia'jing'she'yi
嘉靖以来首辅传,jia'jing'yi'lai'shou'fu'chuan
家刻,jia'ke
家刻本,jia'ke'ben
贾逵,jia'kui
假乐,jia'le
家礼,jia'li
贾马,jia'ma
佳趣堂,jia'qu'tang
佳趣堂书目,jia'qu'tang'shu'mu
家人,jia'ren
家山图书,jia'shan'tu'shu
甲申杂记,jia'shen'za'ji
贾氏谭录,jia'shi'tan'lu
贾疏,jia'shu
嘉泰会稽志,jia'tai'kuai'ji'zhi
稼轩词,jia'xuan'ci
家铉翁,jia'xuan'weng
贾谊,jia'yi
嘉佑,jia'you
兼爱,jian'ai
兼爱上,jian'ai'shang
兼爱下,jian'ai'xia
兼爱中,jian'ai'zhong
建本,jian'ben
监本,jian'ben
煎茶水记,jian'cha'shui'ji
简朝亮,jian'chao'liang
间传,jian'chuan
简当,jian'dang
简狄,jian'di
简牍制度,jian'du'zhi'du
简端录,jian'duan'lu
兼济堂文集,jian'ji'tang'wen'ji
蒹葭,jian'jia
渐渐之石,jian'jian'zhi'shi
鉴诫录,jian'jie'lu
奸劫弑臣,jian'jie'shi'chen
笺经室所见宋元题跋,jian'jing'shi'suo'jian'song'yuan'ti'ba
建康实录,jian'kang'shi'lu
检论,jian'lun
兼名,jian'ming
兼明书,jian'ming'shu
剑南诗稿,jian'nan'shi'gao
涧薲,jian'pin
简平仪说,jian'ping'yi'shuo
涧泉集,jian'quan'ji
涧泉日记,jian'quan'ri'ji
笺释,jian'shi
鉴识,jian'shi
见素集,jian'su'ji
笺文,jian'wen
简兮,jian'xi
建炎以来朝野杂记,jian'yan'yi'lai'chao'ye'za'ji
建炎以来系年要录,jian'yan'yi'lai'xi'nian'yao'lu
笺注,jian'zhu
践阼篇解,jian'zuo'pian'jie
江表志,jiang'biao'zhi
江城名迹,jiang'cheng'ming'ji
江淳,jiang'chun
江村销夏录,jiang'cun'xiao'xia'lu
江惇,jiang'dun
江藩,jiang'fan
江公孙,jiang'gong'sun
江汉,jiang'han
江汉丛谈,jiang'han'cong'tan
江湖长翁集,jiang'hu'chang'weng'ji
江湖后集,jiang'hu'hou'ji
江湖小集,jiang'hu'xiao'ji
江湖小集拾遗,jiang'hu'xiao'ji'shi'yi
江淮异人录,jiang'huai'yi'ren'lu
蒋骥,jiang'ji
江南别录,jiang'nan'bie'lu
江南经略,jiang'nan'jing'lue
江南通志,jiang'nan'tong'zhi
江南野史,jiang'nan'ye'shi
江南馀载,jiang'nan'yu'zai
蒋汝藻,jiang'ru'zao
江上云林阁藏书目,jiang'shang'yun'lin'ge'cang'shu'mu
江少虞,jiang'shao'yu
江声,jiang'sheng
匠体,jiang'ti
绛帖平,jiang'tie'ping
蒋廷锡,jiang'ting'xi
江文通集,jiang'wen'tong'ji
江翁,jiang'weng
江西通志,jiang'xi'tong'zhi
绛雪园古方选注,jiang'xue'yuan'gu'fang'xuan'zhu
江永,jiang'yong
江有诰,jiang'you'gao
江有汜,jiang'you'si
江月松风集,jiang'yue'song'feng'ji
绛云楼,jiang'yun'lou
绛云楼书目,jiang'yun'lou'shu'mu
将仲子,jiang'zhong'zi
斠补,jiao'bu
剿捕临清逆匪纪略,jiao'bu'lin'qing'ni'fei'ji'lue
剿捕逆匪纪略,jiao'bu'ni'fei'ji'lue
校雠备论,jiao'chou'bei'lun
校雠略,jiao'chou'lue
校雠通义,jiao'chou'tong'yi
教坊记,jiao'fang'ji
蛟峰文集,jiao'feng'wen'ji
角弓,jiao'gong
焦竑,jiao'hong
郊祭,jiao'ji
教理群书,jiao'li'qun'shu
椒聊,jiao'liao
脚气集,jiao'qi'ji
脚气治法总要,jiao'qi'zhi'fa'zong'yao
椒邱文集,jiao'qiu'wen'ji
郊社禘祫问,jiao'she'di'xia'wen
焦氏笔乘,jiao'shi'bi'cheng
焦氏类林,jiao'shi'lei'lin
焦氏易,jiao'shi'yi
焦氏易林,jiao'shi'yi'lin
郊祀志,jiao'si'zhi
狡童,jiao'tong
焦循,jiao'xun
焦延寿,jiao'yan'shou
校正,jiao'zheng
斠注,jiao'zhu
校注,jiao'zhu
介庵词,jie'an'ci
解蔽,jie'bi
解诂,jie'gu
羯鼓录,jie'gu'lu
解老,jie'lao
节南山,jie'nan'shan
节南山之什,jie'nan'shan'zhi'shi
痎疟论疏,jie'nue'lun'shu
解题,jie'ti
节孝语录,jie'xiao'yu'lu
界行,jie'xing
结一庐,jie'yi'lu
结一庐书目,jie'yi'lu'shu'mu
芥隐笔记,jie'yin'bi'ji
节用,jie'yong
节用上,jie'yong'shang
节用下,jie'yong'xia
节用中,jie'yong'zhong
节葬,jie'zang
节葬上,jie'zang'shang
节葬下,jie'zang'xia
戒子通录,jie'zi'tong'lu
金鳌退食笔记,jin'ao'tui'shi'bi'ji
金榜,jin'bang
今本竹书纪年疏证,jin'ben'zhu'shu'ji'nian'shu'zheng
禁扁,jin'bian
矜伐,jin'fa
近光集,jin'guang'ji
金华子杂编,jin'hua'zi'za'bian
金匮钩玄,jin'kui'gou'xuan
金匮要略论注,jin'kui'yao'lue'lun'zhu
觐礼,jin'li
锦里耆旧传,jin'li'qi'jiu'chuan
金陵百咏,jin'ling'bai'yong
金楼子,jin'lou'zi
金履祥,jin'lv'xiang
金农,jin'nong
金史,jin'shi
金石,jin'shi
金石材料,jin'shi'cai'liao
金石萃编,jin'shi'cui'bian
近事会元,jin'shi'hui'yuan
金石经眼录,jin'shi'jing'yan'lu
金石例,jin'shi'li
金石林时地考,jin'shi'lin'shi'di'kao
金石录,jin'shi'lu
金石录补,jin'shi'lu'bu
金石略,jin'shi'lue
金石史,jin'shi'shi
金石索,jin'shi'suo
金石文考略,jin'shi'wen'kao'lue
金石文字跋尾,jin'shi'wen'zi'ba'wei
金石文字记,jin'shi'wen'zi'ji
金石要例,jin'shi'yao'li
晋书,jin'shu
禁书目录,jin'shu'mu'lu
禁书总目,jin'shu'zong'mu
近思录,jin'si'lu
近思录集注,jin'si'lu'ji'zhu
金台集,jin'tai'ji
金檀,jin'tan
金滕,jin'teng
金文靖集,jin'wen'jing'ji
今文尚书经说考,jin'wen'shang'shu'jing'shuo'kao
今文尚书考证,jin'wen'shang'shu'kao'zheng
靳文襄奏疏,jin'wen'xiang'zou'shu
金文雅,jin'wen'ya
金文最,jin'wen'zui
今献备遗,jin'xian'bei'yi
巾箱本,jin'xiang'ben
金薤琳琅,jin'xie'lin'lang
尽心上,jin'xin'shang
尽心下,jin'xin'xia
锦绣万花谷,jin'xiu'wan'hua'gu
尽言集,jin'yan'ji
晋阳秋,jin'yang'qiu
金渊集,jin'yuan'ji
金漳兰谱,jin'zhang'lan'pu
晋灼,jin'zhuo
静庵,jing'an
静庵集,jing'an'ji
经稗,jing'bai
鲸背吟集,jing'bei'yin'ji
京本,jing'ben
经部,jing'bu
经部乐类,jing'bu'le'lei
经部五经总义类,jing'bu'wu'jing'zong'yi'lei
经厂,jing'chang
经厂本,jing'chang'ben
荆楚岁时记,jing'chu'sui'shi'ji
荆川稗编,jing'chuan'bai'bian
荆川集,jing'chuan'ji
静春堂诗集,jing'chun'tang'shi'ji
经典集林,jing'dian'ji'lin
经典稽疑,jing'dian'ji'yi
经典释文,jing'dian'shi'wen
经典文字考异,jing'dian'wen'zi'kao'yi
景定建康志,jing'ding'jian'kang'zhi
景定严州续志,jing'ding'yan'zhou'xu'zhi
京房,jing'fang
经方,jing'fang
泾皋藏稿,jing'gao'cang'gao
井观琐言,jing'guan'suo'yan
精核,jing'he
静洪,jing'hong
精华录,jing'hua'lu
经籍,jing'ji
经籍跋文,jing'ji'ba'wen
经籍会通,jing'ji'hui'tong
经籍举要,jing'ji'ju'yao
经济类编,jing'ji'lei'bian
经济文衡,jing'ji'wen'heng
经济文集,jing'ji'wen'ji
经济佚文,jing'ji'yi'wen
经籍志,jing'ji'zhi
经籍籑诂,jing'ji'zhuan'gu
经戒,jing'jie
经解,jing'jie
菁菁者莪,jing'jing'zhe'e
靖康缃素杂记,jing'kang'xiang'su'za'ji
靖康要录,jing'kang'yao'lu
京口耆旧传,jing'kou'qi'jiu'chuan
经礼补逸,jing'li'bu'yi
景鸾,jing'luan
荆南倡和诗集,jing'nan'chang'he'shi'ji
静女,jing'nv
竟山乐录,jing'shan'le'lu
精神训,jing'shen'xun
经史图书纲目,jing'shi'tu'shu'gang'mu
京氏易,jing'shi'yi
京氏易传,jing'shi'yi'zhuan
经史正音切韵指南,jing'shi'zheng'yin'qie'yun'zhi'nan
经说,jing'shuo
经说上,jing'shuo'shang
经说下,jing'shuo'xia
静思集,jing'si'ji
经外杂钞,jing'wai'za'chao
经问,jing'wen
经幄管见,jing'wo'guan'jian
荆溪林下偶谈,jing'xi'lin'xia'ou'tan
敬乡录,jing'xiang'lu
景星,jing'xing
静修集,jing'xiu'ji
敬轩文集,jing'xuan'wen'ji
经学史,jing'xue'shi
静学文集,jing'xue'wen'ji
敬业堂诗集,jing'ye'tang'shi'ji
泾野子内篇,jing'ye'zi'nei'pian
精义,jing'yi
经迻,jing'yi
经义考,jing'yi'kao
经义考补正,jing'yi'kao'bu'zheng
经义论策,jing'yi'lun'ce
经义模范,jing'yi'mo'fan
经义述闻,jing'yi'shu'wen
经义杂记,jing'yi'za'ji
精语,jing'yu
景岳全书,jing'yue'quan'shu
经韵楼集,jing'yun'lou'ji
敬斋古今黈,jing'zhai'gu'jin'tou
敬斋古今注,jing'zhai'gu'jin'zhu
经折装,jing'zhe'zhuang
敬之,jing'zhi
经咫,jing'zhi
敬止集,jing'zhi'ji
经传释词,jing'zhuan'shi'ci
经子,jing'zi
经子法语,jing'zi'fa'yu
经子难字,jing'zi'nan'zi
冏命,jiong'ming
泂酌,jiong'zhuo
酒边词,jiu'bian'ci
九朝编年备要,jiu'chao'bian'nian'bei'yao
九厄谶,jiu'e'chen
九峰,jiu'feng
酒诰,jiu'gao
九华集,jiu'hua'ji
九华诗集,jiu'hua'shi'ji
救荒本草,jiu'huang'ben'cao
救荒活民书,jiu'huang'huo'min'shu
九家集注杜诗,jiu'jia'ji'zhu'du'shi
九经辨字渎蒙,jiu'jing'bian'zi'du'meng
九经补韵,jiu'jing'bu'yun
九经古义,jiu'jing'gu'yi
九经三传沿革例,jiu'jing'san'chuan'yan'ge'li
九经通论,jiu'jing'tong'lun
九经误字,jiu'jing'wu'zi
九经字样,jiu'jing'zi'yang
九灵山房集,jiu'ling'shan'fang'ji
九流绪论,jiu'liu'xu'lun
九路十七史本,jiu'lu'shi'qi'shi'ben
纠谬,jiu'miu
樛木,jiu'mu
酒谱,jiu'pu
九丘,jiu'qiu
旧事,jiu'shi
旧唐书,jiu'tang'shu
旧闻证误,jiu'wen'zheng'wu
旧五代史,jiu'wu'dai'shi
旧五代史笺注,jiu'wu'dai'shi'jian'zhu
旧五代史考异,jiu'wu'dai'shi'kao'yi
九罭,jiu'yu
九章录要,jiu'zhang'lu'yao
九章算术,jiu'zhang'suan'shu
榘庵集,ju'an'ji
具茨集,ju'ci'ji
局方发挥,ju'fang'fa'hui
句股矩测解原,ju'gu'ju'ce'jie'yuan
句股引蒙,ju'gu'yin'meng
居济一得,ju'ji'yi'de
菊磵集,ju'jian'ji
句解,ju'jie
句解本,ju'jie'ben
橘录,ju'lu
句曲外史集,ju'qu'wai'shi'ji
矩山存稿,ju'shan'cun'gao
橘山四六,ju'shan'si'liu
拘守,ju'shou
剧谈录,ju'tan'lu
居业录枫山语录,ju'ye'lu'feng'shan'yu'lu
居易录,ju'yi'lu
聚珍本,ju'zhen'ben
居竹轩诗集,ju'zhu'xuan'shi'ji
卷阿,juan'a
卷耳,juan'er
卷轴制度,juan'zhou'zhi'du
卷轴装,juan'zhou'zhuang
绝妙好词笺,jue'miao'hao'ci'jian
君陈,jun'chen
君道,jun'dao
菌谱,jun'pu
君奭,jun'shi
君事实辨,jun'shi'shi'bian
筠溪乐府,jun'xi'yue'fu
郡县迁革志,jun'xian'qian'ge'zhi
筠轩集,jun'xuan'ji
君牙,jun'ya
郡斋读书志,jun'zhai'du'shu'zhi
军政,jun'zheng
捃摭,jun'zhi
君子,jun'zi
君子偕老,jun'zi'xie'lao
君子阳阳,jun'zi'yang'yang
君子于役,jun'zi'yu'yi
开春论,kai'chun'lun
凯风,kai'feng
开国方略,kai'guo'fang'lue
开化榜纸,kai'hua'bang'zhi
开化纸,kai'hua'zhi
开庆续志,kai'qing'xu'zhi
开天传信记,kai'tian'chuan'xin'ji
开有益斋,kai'you'yi'zhai
开有益斋读书志,kai'you'yi'zhai'du'shu'zhi
开元释教录,kai'yuan'shi'jiao'lu
开元天宝遗事,kai'yuan'tian'bao'yi'shi
勘校,kan'jiao
刊谬补缺切韵,kan'miu'bu'que'qie'yun
刊误,kan'wu
刊正九经三传沿革例,kan'zheng'jiu'jing'san'chuan'yan'ge'li
亢仓子,kang'cang'zi
亢仓子注,kang'cang'zi'zhu
康范诗集,kang'fan'shi'ji
康诰,kang'gao
康济录,kang'ji'lu
康王之诰,kang'wang'zhi'gao
康熙字典,kang'xi'zi'dian
康斋集,kang'zhai'ji
考辨,kao'bian
考工,kao'gong
考工创物小记,kao'gong'chuang'wu'xiao'ji
考功集,kao'gong'ji
考工记,kao'gong'ji
考工记解,kao'gong'ji'jie
考工记图注,kao'gong'ji'tu'zhu
考工轮舆私笺,kao'gong'lun'yu'si'jian
考工之属,kao'gong'zhi'shu
考古编,kao'gu'bian
考古录,kao'gu'lu
考古图,kao'gu'tu
考古续说,kao'gu'xu'shuo
考古质疑,kao'gu'zhi'yi
栲栳山人诗集,kao'lao'shan'ren'shi'ji
考灵曜,kao'ling'yao
考盘,kao'pan
考信录,kao'xin'lu
考曜文,kao'yao'wen
考异,kao'yi
考异邮,kao'yi'you
刻版,ke'ban
刻本,ke'ben
可传集,ke'chuan'ji
客亭类稿,ke'ting'lei'gao
可闲老人集,ke'xian'lao'ren'ji
珂雪词,ke'xue'ci
刻意,ke'yi
克斋词,ke'zhai'ci
克斋集,ke'zhai'ji
可斋杂藁,ke'zhai'za'gao
孔安国,kong'an'guo
孔霸,kong'ba
孔北海集,kong'bei'hai'ji
孔壁,kong'bi
孔传,kong'chuan
孔丛子,kong'cong'zi
孔鲋,kong'fu
孔广德,kong'guang'de
孔广森,kong'guang'sen
孔伋,kong'ji
孔录法,kong'lu'fa
孔疏,kong'shu
空疏,kong'shu
空同集,kong'tong'ji
空囗,kong'wei
孔子编年,kong'zi'bian'nian
孔子改制考,kong'zi'gai'zhi'kao
孔子集语,kong'zi'ji'yu
孔子家语,kong'zi'jia'yu
孔子三朝记,kong'zi'san'zhao'ji
孔子闲居,kong'zi'xian'ju
口授图,kou'shou'tu
会稽掇英总集,kuai'ji'duo'ying'zong'ji
会稽三赋,kuai'ji'san'fu
会稽志,kuai'ji'zhi
匡衡,kuang'heng
匡谬正俗,kuang'miu'zheng'su
頍弁,kui'bian
睽车志,kui'che'zhi
愧郯录,kui'tan'lu
夔一足,kui'yi'zu
昆虫草木略,kun'chong'cao'mu'lue
坤灵图,kun'ling'tu
鲲溟诗集,kun'ming'shi'ji
困学纪闻,kun'xue'ji'wen
困学纪闻笺,kun'xue'ji'wen'jian
困学斋杂录,kun'xue'zhai'za'lu
坤舆图说,kun'yu'tu'shuo
困知记,kun'zhi'ji
来鹤亭集,lai'he'ting'ji
来斋金石刻考略,lai'zhai'jin'shi'ke'kao'lue
兰皋集,lan'gao'ji
蓝涧集,lan'jian'ji
孏窟词,lan'ku'ci
览冥训,lan'ming'xun
蓝山集,lan'shan'ji
兰室秘藏,lan'shi'mi'cang
兰台轨范,lan'tai'gui'fan
兰庭集,lan'ting'ji
兰亭考,lan'ting'kao
兰亭续考,lan'ting'xu'kao
兰轩集,lan'xuan'ji
谰言长语,lan'yan'chang'yu
懒真子,lan'zhen'zi
兰州纪略,lan'zhou'ji'lue
狼跋,lang'ba
阆风集,lang'feng'ji
郎觊,lang'ji
浪语集,lang'yu'ji
劳经元,lao'jing'yuan
劳氏碎金,lao'shi'sui'jin
老学庵笔记,lao'xue'an'bi'ji
老庄申韩论,lao'zhuang'shen'han'lun
老子本义,lao'zi'ben'yi
老子道德经,lao'zi'dao'de'jing
老子道德经考异,lao'zi'dao'de'jing'kao'yi
老子解,lao'zi'jie
老子说略,lao'zi'shuo'lue
老子衍,lao'zi'yan
老子翼,lao'zi'yi
老子指略,lao'zi'zhi'lue
老子指略例,lao'zi'zhi'lue'li
乐庵语录,le'an'yu'lu
乐记,le'ji
乐郊私语,le'jiao'si'yu
乐类,le'lei
乐略,le'lue
乐论,le'lun
乐史,le'shi
乐纬,le'wei
了斋易说,le'zhai'yi'shuo
类博稿,lei'bo'gao
类经,lei'jing
类篇,lei'pian
类书类,lei'shu'lei
类说,lei'shuo
雷学淇,lei'xue'qi
类证普济本事方,lei'zheng'pu'ji'ben'shi'fang
雷柱,lei'zhu
冷斋夜话,leng'zhai'ye'hua
李北海集,li'bei'hai'ji
隶辨,li'bian
礼部集,li'bu'ji
礼部韵略,li'bu'yun'lue
礼部志稿,li'bu'zhi'gao
李超孙,li'chao'sun
李慈铭,li'ci'ming
历代兵制,li'dai'bing'zhi
历代帝王宅京记,li'dai'di'wang'zhai'jing'ji
历代赋汇,li'dai'fu'hui
历代甲子考,li'dai'jia'zi'kao
历代建元考,li'dai'jian'yuan'kao
历代名臣奏议,li'dai'ming'chen'zou'yi
历代名画记,li'dai'ming'hua'ji
历代名贤确论,li'dai'ming'xian'que'lun
历代诗话,li'dai'shi'hua
历代诗馀,li'dai'shi'yu
历代题画诗类,li'dai'ti'hua'shi'lei
历代通鉴辑览,li'dai'tong'jian'ji'lan
