阿党相为,a'dang'xiang'wei
飞来横祸,fei'lai'heng'huo
费力劳心,fei'li'lao'xin
非驴非马,fei'lv'fei'ma
肥马轻裘,fei'ma'qing'qiu
飞鸟惊蛇,fei'niao'jing'she
飞鸟依人,fei'niao'yi'ren
飞蓬随风,fei'peng'sui'feng
非亲非故,fei'qin'fei'gu
废寝忘食,fei'qin'wang'shi
飞禽走兽,fei'qin'zou'shou
斐然成章,fei'ran'cheng'zhang
废然而返,fei'ran'er'fan
飞沙走砾,fei'sha'zou'li
飞沙走石,fei'sha'zou'shi
飞声腾实,fei'sheng'teng'shi
菲食薄衣,fei'shi'bo'yi
匪石匪席,fei'shi'fei'xi
肺石风清,fei'shi'feng'qing
废书而叹,fei'shu'er'tan
非同儿戏,fei'tong'er'xi
非同小可,fei'tong'xiao'ke
肥头大耳,fei'tou'da'er
废文任武,fei'wen'ren'wu
非我族类,fei'wo'zu'lei
非昔是今,fei'xi'shi'jin
吠形吠声,fei'xing'fei'sheng
飞熊入梦,fei'xiong'ru'meng
飞檐走壁,fei'yan'zou'bi
飞扬跋扈,fei'yang'ba'hu
匪伊朝夕,fei'yi'chao'xi
匪夷匪惠,fei'yi'fei'hui
非异人任,fei'yi'ren'ren
匪夷所思,fei'yi'suo'si
非意相干,fei'yi'xiang'gan
吠影吠声,fei'ying'fei'sheng
飞鹰走狗,fei'ying'zou'gou
诽誉在俗,fei'yu'zai'su
非愚则诬,fei'yu'ze'wu
飞云掣电,fei'yun'che'dian
飞灾横祸,fei'zai'heng'huo
飞针走线,fei'zhen'zou'xian
粉白黛黑,fen'bai'dai'hei
分崩离析,fen'beng'li'xi
分别部居,fen'bie'bu'ju
奋不顾身,fen'bu'gu'shen
愤不欲生,fen'bu'yu'sheng
分钗断带,fen'chai'duan'dai
分钗破镜,fen'chai'po'jing
分寸之末,fen'cun'zhi'mo
分道扬镳,fen'dao'yang'biao
奋发蹈厉,fen'fa'dao'li
奋发图强,fen'fa'tu'qiang
奋发有为,fen'fa'you'wei
芬芳馥郁,fen'fang'fu'yu
愤愤不平,fen'fen'bu'ping
纷纷攘攘,fen'fen'rang'rang
纷纷扬扬,fen'fen'yang'yang
分风劈流,fen'feng'pi'liu
分甘共苦,fen'gan'gong'ku
分甘绝少,fen'gan'jue'shao
焚膏继晷,fen'gao'ji'gui
焚骨扬灰,fen'gu'yang'hui
分毫不爽,fen'hao'bu'shuang
分毫析厘,fen'hao'xi'li
分化瓦解,fen'hua'wa'jie
分斤掰两,fen'jin'bai'liang
分居异爨,fen'ju'yi'cuan
焚林而猎,fen'lin'er'lie
焚林而田竭泽而渔,fen'lin'er'tian'jie'ze'er'yu
分路扬镳,fen'lu'yang'biao
纷乱如麻,fen'luan'ru'ma
分茅裂土,fen'mao'lie'tu
奋袂而起,fen'mei'er'qi
分门别户,fen'men'bie'hu
分门别类,fen'men'bie'lei
粉面油头,fen'mian'you'tou
分秒必争,fen'miao'bi'zheng
粉墨登场,fen'mo'deng'chang
分内之事,fen'nei'zhi'shi
奋起直追,fen'qi'zhi'zhui
焚琴煮鹤,fen'qin'zhu'he
忿然作色,fen'ran'zuo'se
粉身碎骨,fen'shen'sui'gu
分身无术,fen'shen'wu'shu
愤世嫉俗,fen'shi'ji'su
粉饰太平,fen'shi'tai'ping
分守要津,fen'shou'yao'jin
焚书坑儒,fen'shu'keng'ru
分庭抗礼,fen'ting'kang'li
粪土不如,fen'tu'bu'ru
分外妖娆,fen'wai'yao'rao
分文不名,fen'wen'bu'ming
分文不取,fen'wen'bu'qu
分文不直,fen'wen'bu'zhi
分我杯羹,fen'wo'bei'geng
焚香礼拜,fen'xiang'li'bai
分香卖履,fen'xiang'mai'lv
分形同气,fen'xing'tong'qi
奋勇当先,fen'yong'dang'xian
纷纭杂沓,fen'yun'za'ta
纷至沓来,fen'zhi'ta'lai
焚舟破釜,fen'zhou'po'fu
粉妆玉琢,fen'zhuang'yu'zhuo
锋不可当,feng'bu'ke'dang
风不鸣条,feng'bu'ming'tiao
风餐露宿,feng'can'lu'su
蜂虿有毒,feng'chai'you'du
蜂虿作于怀袖,feng'chai'zuo'yu'huai'xiu
逢场作戏,feng'chang'zuo'xi
风掣雷行,feng'che'lei'xing
风尘碌碌,feng'chen'lu'lu
风尘仆仆,feng'chen'pu'pu
风尘之变,feng'chen'zhi'bian
风驰电掣,feng'chi'dian'che
风吹草动,feng'chui'cao'dong
风吹浪打,feng'chui'lang'da
风吹雨打,feng'chui'yu'da
风从虎云从龙,feng'cong'hu'yun'cong'long
风刀霜剑,feng'dao'shuang'jian
风调雨顺,feng'diao'yu'shun
风度翩翩,feng'du'pian'pian
锋发韵流,feng'fa'yun'liu
葑菲之采,feng'fei'zhi'cai
风风火火,feng'feng'huo'huo
风风雨雨,feng'feng'yu'yu
丰富多采,feng'fu'duo'cai
风高放火月黑杀人,feng'gao'fang'huo'yue'hei'sha'ren
奉公不阿,feng'gong'bu'a
奉公守法,feng'gong'shou'fa
丰功伟绩,feng'gong'wei'ji
奉公正己,feng'gong'zheng'ji
烽鼓不息,feng'gu'bu'xi
风骨峭峻,feng'gu'qiao'jun
凤冠霞帔,feng'guan'xia'pei
封官许愿,feng'guan'xu'yuan
风光旖旎,feng'guang'yi'ni
风和日丽,feng'he'ri'li
风和日暖,feng'he'ri'nuan
丰亨豫大,feng'heng'yu'da
封胡遏末,feng'hu'e'mo
风虎云龙,feng'hu'yun'long
风华绝代,feng'hua'jue'dai
风花雪月,feng'hua'xue'yue
风华正茂,feng'hua'zheng'mao
风鬟雾鬓,feng'huan'wu'bin
风鬟雨鬓,feng'huan'yu'bin
凤凰来仪,feng'huang'lai'yi
凤凰于飞,feng'huang'yu'fei
凤凰在笯,feng'huang'zai'nu
峰回路转,feng'hui'lu'zhuan
烽火连年,feng'huo'lian'nian
烽火连天,feng'huo'lian'tian
烽火四起,feng'huo'si'qi
丰筋多力,feng'jin'duo'li
风景不殊,feng'jing'bu'shu
风卷残云,feng'juan'can'yun
逢君之恶,feng'jun'zhi'e
风口浪尖,feng'kou'lang'jian
奉令承教,feng'ling'cheng'jiao
风流才子,feng'liu'cai'zi
风流人物,feng'liu'ren'wu
风流儒雅,feng'liu'ru'ya
风流倜傥,feng'liu'ti'tang
风流潇洒,feng'liu'xiao'sa
风流云散,feng'liu'yun'san
风流韵事,feng'liu'yun'shi
风流罪过,feng'liu'zui'guo
风马牛不相及,feng'ma'niu'bu'xiang'ji
锋芒毕露,feng'mang'bi'lu
锋芒逼人,feng'mang'bi'ren
锋芒不露,feng'mang'bu'lu
锋芒所向,feng'mang'suo'xiang
凤毛济美,feng'mao'ji'mei
凤毛麟角,feng'mao'lin'jiao
凤靡鸾吪,feng'mi'luan'e
风靡一时,feng'mi'yi'shi
凤鸣朝阳,feng'ming'chao'yang
奉命唯谨,feng'ming'wei'jin
蜂目豺声,feng'mu'chai'sheng
风木含悲,feng'mu'han'bei
丰年稔岁,feng'nian'ren'sui
丰年玉荒年谷,feng'nian'yu'huang'nian'gu
风平波息,feng'ping'bo'xi
风平浪静,feng'ping'lang'jing
风起水涌,feng'qi'shui'yong
封妻荫子,feng'qi'yin'zi
风起云涌,feng'qi'yun'yong
风起云蒸,feng'qi'yun'zheng
风前残烛,feng'qian'can'zhu
风前月下,feng'qian'yue'xia
风樯阵马,feng'qiang'zhen'ma
风清弊绝,feng'qing'bi'jue
风清月皎,feng'qing'yue'jiao
风清月朗,feng'qing'yue'lang
风情月债,feng'qing'yue'zhai
风趣横生,feng'qu'heng'sheng
丰取刻与,feng'qu'ke'yu
奉若神明,feng'ruo'shen'ming
逢山开路,feng'shan'kai'lu
丰神绰约,feng'shen'chuo'yue
丰神异彩,feng'shen'yi'cai
风声鹤唳草木皆兵,feng'sheng'he'li'cao'mu'jie'bing
封豕长蛇,feng'shi'chang'she
逢时遇节,feng'shi'yu'jie
奉天承运,feng'tian'cheng'yun
奉头鼠窜,feng'tou'shu'cuan
风土人情,feng'tu'ren'qing
蜂屯蚁聚,feng'tun'yi'ju
奉为圭臬,feng'wei'gui'nie
奉为楷模,feng'wei'kai'mo
奉为至宝,feng'wei'zhi'bao
凤枭同巢,feng'xiao'tong'chao
风潇雨晦,feng'xiao'yu'hui
风信年华,feng'xin'nian'hua
风行草偃,feng'xing'cao'yan
奉行故事,feng'xing'gu'shi
风行水上,feng'xing'shui'shang
风行一时,feng'xing'yi'shi
逢凶化吉,feng'xiong'hua'ji
风旋电掣,feng'xuan'dian'che
风雪交加,feng'xue'jiao'jia
风言醋语,feng'yan'cu'yu
风言风语,feng'yan'feng'yu
奉扬仁风,feng'yang'ren'feng
讽一劝百,feng'yi'quan'bai
丰衣足食,feng'yi'zu'shi
风影敷衍,feng'ying'fu'yan
蜂拥而来,feng'yong'er'lai
风雨不测,feng'yu'bu'ce
风雨不改,feng'yu'bu'gai
风雨不透,feng'yu'bu'tou
风雨对床,feng'yu'dui'chuang
风雨交加,feng'yu'jiao'jia
风雨飘摇,feng'yu'piao'yao
风雨凄凄,feng'yu'qi'qi
风雨如晦,feng'yu'ru'hui
风雨如磐,feng'yu'ru'pan
风雨同舟,feng'yu'tong'zhou
风雨无阻,feng'yu'wu'zu
风雨萧条,feng'yu'xiao'tiao
风云变幻,feng'yun'bian'huan
风云变态,feng'yun'bian'tai
风云际会,feng'yun'ji'hui
风云人物,feng'yun'ren'wu
风云突变,feng'yun'tu'bian
风云月露,feng'yun'yue'lu
风云之志,feng'yun'zhi'zhi
风栉雨沐,feng'zhi'yu'mu
风中秉烛,feng'zhong'bing'zhu
风中之烛,feng'zhong'zhi'zhu
风烛残年,feng'zhu'can'nian
风烛之年,feng'zhu'zhi'nian
佛口蛇心,fo'kou'she'xin
佛是金妆人是衣妆,fo'shi'jin'zhuang'ren'shi'yi'zhuang
佛头加秽,fo'tou'jia'hui
佛头着粪,fo'tou'zhe'fen
佛眼相看,fo'yan'xiang'kan
否极泰来,fou'ji'tai'lai
浮白载笔,fu'bai'zai'bi
拊背扼喉,fu'bei'e'hou
腹背受敌,fu'bei'shou'di
腹背之毛,fu'bei'zhi'mao
福不重至祸必重来,fu'bu'chong'zhi'huo'bi'chong'lai
夫唱妇随,fu'chang'fu'sui
覆巢无完卵,fu'chao'wu'wan'luan
辅车唇齿,fu'che'chun'chi
辅车相依,fu'che'xiang'yi
覆车之轨,fu'che'zhi'gui
覆车之鉴,fu'che'zhi'jian
覆车之戒,fu'che'zhi'jie
负重致远,fu'chong'zhi'yuan
父慈子孝,fu'ci'zi'xiao
复蹈前辙,fu'dao'qian'zhe
负德辜恩,fu'de'gu'en
釜底抽薪,fu'di'chou'xin
福地洞天,fu'di'dong'tian
覆地翻天,fu'di'fan'tian
伏地圣人,fu'di'sheng'ren
釜底游鱼,fu'di'you'yu
伏低做小,fu'di'zuo'xiao
服低做小,fu'di'zuo'xiao
扶颠持危,fu'dian'chi'wei
负恩昧良,fu'en'mei'liang
附耳低言,fu'er'di'yan
伏而咶天,fu'er'huai'tian
伏法受诛,fu'fa'shou'zhu
腹诽心谤,fu'fei'xin'bang
傅粉何郎,fu'fen'he'lang
傅粉施朱,fu'fen'shi'zhu
附肤落毛,fu'fu'luo'mao
抚躬自问,fu'gong'zi'wen
桴鼓相应,fu'gu'xiang'ying
浮瓜沉李,fu'gua'chen'li
浮光掠影,fu'guang'lue'ying
富贵逼人,fu'gui'bi'ren
簠簋不饬,fu'gui'bu'chi
富贵不能淫,fu'gui'bu'neng'yin
富贵浮云,fu'gui'fu'yun
富贵骄人,fu'gui'jiao'ren
富贵荣华,fu'gui'rong'hua
富国安民,fu'guo'an'min
富国强兵,fu'guo'qiang'bing
福过灾生,fu'guo'zai'sheng
覆海移山,fu'hai'yi'shan
伏虎降龙,fu'hu'jiang'long
浮花浪蕊,fu'hua'lang'rui
福慧双修,fu'hui'shuang'xiu
附骥名彰,fu'ji'ming'zhang
附骥攀鸿,fu'ji'pan'hong
缚鸡之力,fu'ji'zhi'li
浮家泛宅,fu'jia'fan'zhai
抚今追昔,fu'jin'zhui'xi
凫胫鹤膝,fu'jing'he'xi
负荆请罪,fu'jing'qing'zui
抚景伤情,fu'jing'shang'qing
复旧如初,fu'jiu'ru'chu
富可敌国,fu'ke'di'guo
扶老携幼,fu'lao'xie'you
负老携幼,fu'lao'xie'you
富丽堂皇,fu'li'tang'huang
富埒陶白,fu'lie'tao'bai
伏龙凤雏,fu'long'feng'chu
福禄双全,fu'lu'shuang'quan
富面百城,fu'mian'bai'cheng
浮名薄利,fu'ming'bo'li
浮名虚誉,fu'ming'xu'yu
父母恩勤,fu'mu'en'qin
父母之邦,fu'mu'zhi'bang
负驽前驱,fu'nu'qian'qu
覆盆之冤,fu'pen'zhi'yuan
浮皮潦草,fu'pi'liao'cao
肤皮潦草,fu'pi'liao'cao
负气斗狠,fu'qi'dou'hen
夫妻反目,fu'qi'fan'mu
负气仗义,fu'qi'zhang'yi
扶墙摸壁,fu'qiang'mo'bi
扶倾济弱,fu'qing'ji'ruo
负屈含冤,fu'qu'han'yuan
凫趋雀跃,fu'qu'que'yue
负屈衔冤,fu'qu'xian'yuan
怫然不悦,fu'ran'bu'yue
怫然作色,fu'ran'zuo'se
夫人裙带,fu'ren'qun'dai
妇人之仁,fu'ren'zhi'ren
芙蓉并蒂,fu'rong'bing'di
芙蓉出水,fu'rong'chu'shui
夫荣妻贵,fu'rong'qi'gui
福如东海,fu'ru'dong'hai
妇孺皆知,fu'ru'jie'zhi
扶弱抑强,fu'ruo'yi'qiang
福善祸淫,fu'shan'huo'yin
附上罔下,fu'shang'wang'xia
蝮蛇螫手壮士解腕,fu'she'shi'shou'zhuang'shi'jie'wan
浮声切响,fu'sheng'qie'xiang
浮生若梦,fu'sheng'ruo'meng
辅世长民,fu'shi'chang'min
俯拾地芥,fu'shi'di'jie
俯拾即是,fu'shi'ji'shi
俯拾皆是,fu'shi'jie'shi
俯拾仰取,fu'shi'yang'qu
俯首就缚,fu'shou'jiu'fu
福寿绵绵,fu'shou'mian'mian
福寿齐天,fu'shou'qi'tian
俯首帖耳,fu'shou'tie'er
俯首听命,fu'shou'ting'ming
福寿无疆,fu'shou'wu'jiang
肤受之诉,fu'shou'zhi'su
肤受之言,fu'shou'zhi'yan
覆水难收,fu'shui'nan'shou
抚绥万方,fu'sui'wan'fang
赴汤蹈火,fu'tang'dao'huo
服田力穑,fu'tian'li'se
覆亡无日,fu'wang'wu'ri
扶危定乱,fu'wei'ding'luan
扶危济困,fu'wei'ji'kun
父为子隐,fu'wei'zi'yin
浮文巧语,fu'wen'qiao'yu
福无双至,fu'wu'shuang'zhi
福兮祸所伏祸兮福所倚,fu'xi'huo'suo'fu'huo'xi'fu'suo'yi
赴险如夷,fu'xian'ru'yi
浮想联翩,fu'xiang'lian'pian
负薪救火,fu'xin'jiu'huo
负心违愿,fu'xin'wei'yuan
腹心相照,fu'xin'xiang'zhao
腹心之疾,fu'xin'zhi'ji
负薪之忧,fu'xin'zhi'you
抚心自问,fu'xin'zi'wen
拂袖而归,fu'xiu'er'gui
拂袖而去,fu'xiu'er'qu
敷衍了事,fu'yan'le'shi
敷衍塞责,fu'yan'sai'ze
父严子孝,fu'yan'zi'xiao
俯仰唯唯,fu'yang'wei'wei
俯仰无愧,fu'yang'wu'kui
俯仰由人,fu'yang'you'ren
俯仰之间,fu'yang'zhi'jian
扶摇万里,fu'yao'wan'li
扶摇直上,fu'yao'zhi'shang
浮一大白,fu'yi'da'bai
福倚祸伏,fu'yi'huo'fu
附庸风雅,fu'yong'feng'ya
腹有鳞甲,fu'you'lin'jia
覆雨翻云,fu'yu'fan'yun
负隅顽抗,fu'yu'wan'kang
浮语虚辞,fu'yu'xu'ci
斧钺汤镬,fu'yue'tang'huo
斧钺之诛,fu'yue'zhi'zhu
浮云蔽日,fu'yun'bi'ri
浮云朝露,fu'yun'chao'lu
浮云富贵,fu'yun'fu'gui
腹载五车,fu'zai'wu'che
富在知足,fu'zai'zhi'zu
抚掌大笑,fu'zhang'da'xiao
付之丙丁,fu'zhi'bing'ding
付之东流,fu'zhi'dong'liu
福至心灵,fu'zhi'xin'ling
付之一炬,fu'zhi'yi'ju
付之一叹,fu'zhi'yi'tan
付之一笑,fu'zhi'yi'xiao
腹中兵甲,fu'zhong'bing'jia
釜中生鱼,fu'zhong'sheng'yu
釜中游鱼,fu'zhong'you'yu
覆舟之戒,fu'zhou'zhi'jie
付诸东流,fu'zhu'dong'liu
付诸洪乔,fu'zhu'hong'qiao
附赘悬疣,fu'zhui'xuan'you
夫子自道,fu'zi'zi'dao
浮踪浪迹,fu'zong'lang'ji
改步改玉,gai'bu'gai'yu
盖不由己,gai'bu'you'ji
改操易节,gai'cao'yi'jie
改朝换代,gai'chao'huan'dai
改恶向善,gai'e'xiang'shan
改恶行善,gai'e'xing'shan
盖棺论定,gai'guan'lun'ding
改过不吝,gai'guo'bu'lin
改过迁善,gai'guo'qian'shan
改过自新,gai'guo'zi'xin
改换家门,gai'huan'jia'men
改名换姓,gai'ming'huan'xing
概莫能外,gai'mo'neng'wai
改容易貌,gai'rong'yi'mao
改是成非,gai'shi'cheng'fei
盖世无双,gai'shi'wu'shuang
盖世英雄,gai'shi'ying'xiong
盖世之才,gai'shi'zhi'cai
改俗迁风,gai'su'qian'feng
改天换地,gai'tian'huan'di
改头换面,gai'tou'huan'mian
改头换尾,gai'tou'huan'wei
改弦更张,gai'xian'geng'zhang
改弦易辙,gai'xian'yi'zhe
改邪归正,gai'xie'gui'zheng
改辕易辙,gai'yuan'yi'zhe
甘败下风,gan'bai'xia'feng
敢不承命,gan'bu'cheng'ming
干柴烈火,gan'chai'lie'huo
肝肠寸断,gan'chang'cun'duan
干城之将,gan'cheng'zhi'jiang
肝胆楚越,gan'dan'chu'yue
肝胆过人,gan'dan'guo'ren
肝胆相照,gan'dan'xiang'zhao
肝胆欲碎,gan'dan'yu'sui
感恩戴德,gan'en'dai'de
感恩图报,gan'en'tu'bao
干父之蛊,gan'fu'zhi'gu
扞格不入,gan'ge'bu'ru
甘瓜苦蒂,gan'gua'ku'di
感激涕零,gan'ji'ti'ling
干将莫邪,gan'jiang'mo'xie
感今怀昔,gan'jin'huai'xi
赶尽杀绝,gan'jin'sha'jue
干净利落,gan'jing'li'luo
感旧之哀,gan'jiu'zhi'ai
甘居人后,gan'ju'ren'hou
感慨万端,gan'kai'wan'duan
感慨万千,gan'kai'wan'qian
感慨系之,gan'kai'xi'zhi
甘苦与共,gan'ku'yu'gong
赶浪头,gan'lang'tou
干名采誉,gan'ming'cai'yu
肝脑涂地,gan'nao'tu'di
敢怒而不敢言,gan'nu'er'bu'gan'yan
敢怒敢言,gan'nu'gan'yan
甘贫乐道,gan'pin'le'dao
干卿底事,gan'qing'di'shi
感情用事,gan'qing'yong'shi
感人肺腑,gan'ren'fei'fu
甘死如饴,gan'si'ru'yi
甘棠遗爱,gan'tang'yi'ai
感天动地,gan'tian'dong'di
感同身受,gan'tong'shen'shou
竿头日进,gan'tou'ri'jin
竿头直上,gan'tou'zhi'shang
干霄凌云,gan'xiao'ling'yun
甘心瞑目,gan'xin'ming'mu
甘心情愿,gan'xin'qing'yuan
肝心若裂,gan'xin'ruo'lie
甘心首疾,gan'xin'shou'ji
赶鸭子上架,gan'ya'zi'shang'jia
甘言美语,gan'yan'mei'yu
甘雨随车,gan'yu'sui'che
感遇忘身,gan'yu'wang'shen
干云蔽日,gan'yun'bi'ri
甘之如饴,gan'zhi'ru'yi
敢作敢当,gan'zuo'gan'dang
刚愎自用,gang'bi'zi'yong
刚肠嫉恶,gang'chang'ji'e
钢筋铁骨,gang'jin'tie'gu
纲举目张,gang'ju'mu'zhang
刚柔相济,gang'rou'xiang'ji
刚毅木讷,gang'yi'mu'ne
刚直不阿,gang'zhi'bu'a
刚中柔外,gang'zhong'rou'wai
高岸深谷,gao'an'shen'gu
高傲自大,gao'ao'zi'da
高不成低不就,gao'bu'cheng'di'bu'jiu
高不可攀,gao'bu'ke'pan
高步云衢,gao'bu'yun'qu
高材疾足,gao'cai'ji'zu
高材捷足,gao'cai'jie'zu
高唱入云,gao'chang'ru'yun
高车驷马,gao'che'si'ma
高城深池,gao'cheng'shen'chi
高出一筹,gao'chu'yi'chou
膏唇试舌,gao'chun'shi'she
告贷无门,gao'dai'wu'men
高蹈远举,gao'dao'yuan'ju
高飞远举,gao'fei'yuan'ju
高风亮节,gao'feng'liang'jie
高高在上,gao'gao'zai'shang
高歌猛进,gao'ge'meng'jin
高冠博带,gao'guan'bo'dai
高官厚禄,gao'guan'hou'lu
高官显爵,gao'guan'xian'jue
膏肓之疾,gao'huang'zhi'ji
膏火之费,gao'huo'zhi'fei
膏火自煎,gao'huo'zi'jian
高节清风,gao'jie'qing'feng
告老还家,gao'lao'hai'jia
膏梁锦绣,gao'liang'jin'xiu
膏梁纨袴,gao'liang'wan'ku
膏梁子弟,gao'liang'zi'di
高门大户,gao'men'da'hu
高名大姓,gao'ming'da'xing
槁木死灰,gao'mu'si'hui
高睨大谈,gao'ni'da'tan
高朋满座,gao'peng'man'zuo
高情远致,gao'qing'yuan'zhi
高人雅士,gao'ren'ya'shi
高人一筹,gao'ren'yi'chou
高人一等,gao'ren'yi'deng
高山景行,gao'shan'jing'xing
高山流水,gao'shan'liu'shui
高山仰止,gao'shan'yang'zhi
高深莫测,gao'shen'mo'ce
高世骇俗,gao'shi'hai'su
高视阔步,gao'shi'kuo'bu
告朔饩羊,gao'shuo'xi'yang
高耸入云,gao'song'ru'yun
高抬贵手,gao'tai'gui'shou
高谈弘论,gao'tan'hong'lun
高谈阔论,gao'tan'kuo'lun
高谈雄辩,gao'tan'xiong'bian
告往知来,gao'wang'zhi'lai
高位厚禄,gao'wei'hou'lu
高文典册,gao'wen'dian'ce
高卧东山,gao'wo'dong'shan
高屋建瓴,gao'wu'jian'ling
高下在心,gao'xia'zai'xin
槁项黄馘,gao'xiang'huang'guo
高翔远引,gao'xiang'yuan'yin
高悬秦镜,gao'xuan'qin'jing
高牙大纛,gao'ya'da'dao
高阳酒徒,gao'yang'jiu'tu
高义薄云,gao'yi'bo'yun
膏腴之地,gao'yu'zhi'di
高瞻远瞩,gao'zhan'yuan'zhu
高掌远蹠,gao'zhang'yuan'zhi
高枕而卧,gao'zhen'er'wo
高枕无忧,gao'zhen'wu'you
缟纻之交,gao'zhu'zhi'jiao
高自标置,gao'zi'biao'zhi
高自位置,gao'zi'wei'zhi
高足弟子,gao'zu'di'zi
隔岸观火,ge'an'guan'huo
各奔前程,ge'ben'qian'cheng
割臂盟公,ge'bi'meng'gong
割臂之盟,ge'bi'zhi'meng
各不相谋,ge'bu'xiang'mou
各不相让,ge'bu'xiang'rang
各持己见,ge'chi'ji'jian
各从其志,ge'cong'qi'zhi
革带移孔,ge'dai'yi'kong
各得其所,ge'de'qi'suo
割地称臣,ge'di'cheng'chen
割地求和,ge'di'qiu'he
割肚牵肠,ge'du'qian'chang
革风易俗,ge'feng'yi'su
格格不入,ge'ge'bu'ru
各个击破,ge'ge'ji'po
歌功颂德,ge'gong'song'de
革故鼎新,ge'gu'ding'xin
割骨疗亲,ge'gu'liao'qin
割鸡焉用牛刀,ge'ji'yan'yong'niu'dao
革奸铲暴,ge'jian'chan'bao
各尽所能,ge'jin'suo'neng
割襟之盟,ge'jin'zhi'meng
革旧维新,ge'jiu'wei'xin
歌楼舞榭,ge'lou'wu'xie
革面敛手,ge'mian'lian'shou
革面洗心,ge'mian'xi'xin
革命反正,ge'ming'fan'zheng
隔年皇历,ge'nian'huang'li
隔墙有耳,ge'qiang'you'er
各取所长,ge'qu'suo'chang
各人自扫门前雪莫管他人瓦上霜,ge'ren'zi'sao'men'qian'xue'mo'guan'ta'ren'wa'shang'shuang
各色名样,ge'se'ming'yang
各色人等,ge'se'ren'deng
格杀不论,ge'sha'bu'lun
格杀勿论,ge'sha'wu'lun
隔山买老牛,ge'shan'mai'lao'niu
歌声绕梁,ge'sheng'rao'liang
隔世之感,ge'shi'zhi'gan
各抒己见,ge'shu'ji'jian
歌台舞榭,ge'tai'wu'xie
革图易虑,ge'tu'yi'lv
各为其主,ge'wei'qi'zhu
歌舞升平,ge'wu'sheng'ping
格物致知,ge'wu'zhi'zhi
割席分坐,ge'xi'fen'zuo
各行其是,ge'xing'qi'shi
隔行如隔山,ge'xing'ru'ge'shan
隔靴搔痒,ge'xue'sao'yang
歌莺舞燕,ge'ying'wu'yan
各有千秋,ge'you'qian'qiu
各有所长,ge'you'suo'chang
各有所短,ge'you'suo'duan
各有所好,ge'you'suo'hao
各有所职,ge'you'suo'zhi
歌于斯哭于斯,ge'yu'si'ku'yu'si
各执己见,ge'zhi'ji'jian
各执一词,ge'zhi'yi'ci
个中妙趣,ge'zhong'miao'qu
个中滋味,ge'zhong'zi'wei
各自为战,ge'zi'wei'zhan
各自为政,ge'zi'wei'zheng
亘古不灭,gen'gu'bu'mie
亘古奇闻,gen'gu'qi'wen
亘古通今,gen'gu'tong'jin
亘古未有,gen'gu'wei'you
根深柢固,gen'shen'di'gu
根深蒂固,gen'shen'di'gu
根深叶茂,gen'shen'ye'mao
根生土长,gen'sheng'tu'chang
更长梦短,geng'chang'meng'duan
耕当问奴,geng'dang'wen'nu
绠短汲深,geng'duan'ji'shen
梗泛萍飘,geng'fan'ping'piao
耿耿于怀,geng'geng'yu'huai
耿耿于心,geng'geng'yu'xin
庚癸频呼,geng'gui'pin'hu
庚癸之呼,geng'gui'zhi'hu
更进一竿,geng'jin'yi'gan
更阑人静,geng'lan'ren'jing
更令明号,geng'ling'ming'hao
更仆难数,geng'pu'nan'shu
更上一层楼,geng'shang'yi'ceng'lou
更深人静,geng'shen'ren'jing
更深夜静,geng'shen'ye'jing
耕耘树艺,geng'yun'shu'yi
功败垂成,gong'bai'chui'cheng
公报私仇,gong'bao'si'chou
功标青史,gong'biao'qing'shi
功薄蝉翼,gong'bo'chan'yi
供不应求,gong'bu'ying'qiu
公才公望,gong'cai'gong'wang
宫车晏驾,gong'che'yan'jia
功成不居,gong'cheng'bu'ju
攻城略地,gong'cheng'lue'di
功成名就,gong'cheng'ming'jiu
功成名遂,gong'cheng'ming'sui
功成身退,gong'cheng'shen'tui
功成行满,gong'cheng'xing'man
攻城野战,gong'cheng'ye'zhan
觥筹交错,gong'chou'jiao'cuo
功到自然成,gong'dao'zi'ran'cheng
功德无量,gong'de'wu'liang
功德圆满,gong'de'yuan'man
弓调马服,gong'diao'ma'fu
公而忘私,gong'er'wang'si
恭而有礼,gong'er'you'li
觥饭不及壶飧,gong'fan'bu'ji'hu'sun
恭逢其盛,gong'feng'qi'sheng
躬逢其盛,gong'feng'qi'sheng
功高盖世,gong'gao'gai'shi
功高震主,gong'gao'zhen'zhu
躬耕乐道,gong'geng'le'dao
供过于求,gong'guo'yu'qiu
恭贺新禧,gong'he'xin'xi
拱肩缩背,gong'jian'suo'bei
恭敬不如从命,gong'jing'bu'ru'cong'ming
恭敬桑梓,gong'jing'sang'zi
攻苦食淡,gong'ku'shi'dan
功亏一篑,gong'kui'yi'kui
工力悉敌,gong'li'xi'di
公门桃李,gong'men'tao'li
恭默守静,gong'mo'shou'jing
公平无私,gong'ping'wu'si
公平正直,gong'ping'zheng'zhi
攻其不备,gong'qi'bu'bei
攻其无备,gong'qi'wu'bei
攻其一点不及其余,gong'qi'yi'dian'bu'ji'qi'yu
公事公办,gong'shi'gong'ban
拱手而降,gong'shou'er'jiang
拱手让人,gong'shou'rang'ren
拱手听命,gong'shou'ting'ming
攻守同盟,gong'shou'tong'meng
公说公有理婆说婆有理,gong'shuo'gong'you'li'po'shuo'po'you'li
公私兼顾,gong'si'jian'gu
公私两便,gong'si'liang'bian
躬体力行,gong'ti'li'xing
