安胎养血先为主,an'tai'yang'xue'xian'wei'zhu
瓜橘槟榔煎冷服,gua'ju'bing'lang'jian'leng'fu
瓜蒌海石山栀投,gua'lou'hai'shi'shan'zhi'tou
瓜蒌薤白汤,gua'lou'xie'bai'tang
瓜蒌薤白治胸痹,gua'lou'xie'bai'zhi'xiong'bi
剐僻偏枯口舌喑,gua'pi'pian'ku'kou'she'yin
龟版姜归知柏芍,gui'ban'jiang'gui'zhi'bai'shao
归草茯神远志随,gui'cao'fu'shen'yuan'zhi'sui
归草黑栀淡竹叶,gui'cao'hei'zhi'dan'zhu'ye
桂草参芪四味存,gui'cao'shen'qi'si'wei'cun
桂附干姜五味群,gui'fu'gan'jiang'wu'wei'qun
桂附金铃肉蔻丸,gui'fu'jin'ling'rou'kou'wan
桂附羌防芎芍参,gui'fu'qiang'fang'xiong'shao'can
桂甘槟木及归身,gui'gan'bin'mu'ji'gui'shen
归桂白芷及防风,gui'gui'bai'zhi'ji'fang'feng
桂姜甘草大枣和,gui'jiang'gan'cao'da'zao'he
桂苓犀我可加均,gui'ling'xi'wo'ke'jia'jun
龟鹿二仙胶,gui'lu'er'xian'jiao
龟鹿二仙最守真,gui'lu'er'xian'zui'shou'zhen
桂麻相合名各半,gui'ma'xiang'he'ming'ge'ban
归脾汤,gui'pi'tang
归脾汤用术参芪,gui'pi'tang'yong'shu'shen'qi
归芪甘草汗兼补,gui'qi'gan'cao'han'jian'bu
归芍茯苓亦共珍,gui'shao'fu'ling'yi'gong'zhen
归芍甘草桂炮姜,gui'shao'gan'cao'gui'pao'jiang
归芍棱莪昆布全,gui'shao'leng'e'kun'bu'quan
归少芪多力最雄,gui'shao'qi'duo'li'zui'xiong
归芍参麦各分途,gui'shao'shen'mai'ge'fen'tu
归尾桂心赤芍药,gui'wei'gui'xin'chi'shao'yao
归尾桃仁枳实攒,gui'wei'tao'ren'zhi'shi'cuan
归尾通经佐地龙,gui'wei'tong'jing'zuo'di'long
归芎桃草炮姜良,gui'xiong'tao'cao'pao'jiang'liang
归萸麻夏荜升胡,gui'yu'ma'xia'bi'sheng'hu
桂枝防已及威灵,gui'zhi'fang'yi'ji'wei'ling
桂枝汤,gui'zhi'tang
桂枝汤治太阳风,gui'zhi'tang'zhi'tai'yang'feng
桂枝五味麦冬襄,gui'zhi'wu'wei'mai'dong'xiang
滚痰丸用青礞石,gun'tan'wan'yong'qing'meng'shi
过多过少别温凉,guo'duo'guo'shao'bie'wen'liang
海藏妊娠六合汤,hai'cang'ren'shen'lu'he'tang
海藏神术苍防草,hai'cang'shen'shu'cang'fang'cao
还少丹,hai'shao'dan
还少温调脾肾寒,hai'shao'wen'tiao'pi'shen'han
还同苍术味干姜,hai'tong'cang'zhu'wei'gan'jiang
海蜇葶荠共合方,hai'zhe'ting'ji'gong'he'fang
寒加热药以维阳,han'jia're'yao'yi'wei'yang
寒六合汤加附姜,han'lu'he'tang'jia'fu'jiang
寒热并行治寒积,han're'bing'xing'zhi'han'ji
寒热平调呕痛忘,han're'ping'diao'ou'tong'wang
汗吐下兼三法超,han'tu'xia'jian'san'fa'chao
寒疡内陷呕泻琅,han'yang'nei'xian'ou'xie'lang
寒因热用理一般,han'yin're'yong'li'yi'ban
行水散痞有生姜,hang'shui'san'pi'you'sheng'jiang
蒿芩清胆汤,hao'qin'qing'dan'tang
河车大造丸,he'che'da'zao'wan
河车大造膝苁蓉,he'che'da'zao'xi'cong'rong
河间木香诃草连,he'jian'mu'xiang'he'cao'lian
何人饮,he'ren'yin
何人饮治久虚疟,he'ren'yin'zhi'jiu'xu'nue
荷叶烧饭上升奇,he'ye'shao'fan'shang'sheng'qi
荷叶一枚升胃气,he'ye'yi'mei'sheng'wei'qi
和之温药四般良,he'zhi'wen'yao'si'ban'liang
诃子散,he'zi'san
诃子散用治寒泻,he'zi'san'yong'zhi'han'xie
黑地黄丸,hei'di'huang'wan
黑地黄丸用地黄,hei'di'huang'wan'yong'di'huang
黑神散,hei'shen'san
黑神散中熟地黄,hei'shen'san'zhong'shu'di'huang
黑炭胶香归没药,hei'tan'jiao'xiang'gui'mei'yao
黑锡丹,hei'xi'dan
黑锡丹能镇肾寒,hei'xi'dan'neng'zhen'shen'han
黑栀青黛姜汤下,hei'zhi'qing'dai'jiang'tang'xia
红花枳壳膝芎饶,hong'hua'zhi'ke'xi'xiong'rao
厚朴温中汤,hou'po'wen'zhong'tang
厚朴温中陈草苓,hou'pu'wen'zhong'chen'cao'ling
后人法此治经水,hou'ren'fa'ci'zhi'jing'shui
后人加味或更名,hou'ren'jia'wei'huo'geng'ming
虎胫膝陈地锁阳,hu'jing'xi'chen'di'suo'yang
胡连秦艽鳖甲符,hu'lian'qin'jiao'bie'jia'fu
胡芦故纸茴沉木,hu'lu'gu'zhi'hui'chen'mu
护膜须用蜡矾丸,hu'mo'xu'yong'la'fan'wan
琥珀抱龙星草枳,hu'po'bao'long'xing'cao'zhi
琥珀还同玳瑁良,hu'po'hai'tong'dai'mao'liang
虎潜脚痿是神方,hu'qian'jiao'wei'shi'shen'fang
虎潜丸,hu'qian'wan
糊丸血痔便艰难,hu'wan'xue'zhi'bian'jian'nan
化斑汤,hua'ban'tang
化斑汤用石膏元,hua'ban'tang'yong'shi'gao'yuan
化虫鹤虱及使君,hua'chong'he'shi'ji'shi'jun
化虫丸,hua'chong'wan
花粉当归山甲入,hua'fen'dang'gui'shan'jia'ru
花粉黄连萆解调,hua'fen'huang'lian'bi'jie'tiao
花粉黄芩龙胆宣,hua'fen'huang'qin'long'dan'xuan
华盖麻黄杏橘红,hua'gai'ma'huang'xing'ju'hong
华盖散,hua'gai'san
槐花散,huai'hua'san
槐花散用治肠风,huai'hua'san'yong'zhi'chang'feng
淮药欠莲糯粳米,huai'yao'qian'lian'nuo'jing'mi
黄柏苍术天南星,huang'bai'cang'zhu'tian'nan'xing
黄柏樗皮香附群,huang'bai'chu'pi'xiang'fu'qun
黄柏黄芩栀子备,huang'bai'huang'qin'zhi'zi'bei
黄连半夏草陈皮,huang'lian'ban'xia'cao'chen'pi
黄连陈胶汤,huang'lian'chen'jiao'tang
黄连阿胶鸡子黄,huang'lian'e'jiao'ji'zi'huang
黄连黄柏及当归,huang'lian'huang'bai'ji'dang'gui
黄连解毒汤,huang'lian'jie'du'tang
黄连解毒汤四味,huang'lian'jie'du'tang'si'wei
黄连汤,huang'lian'tang
黄连汤内用干姜,huang'lian'tang'nei'yong'gan'jiang
黄龙汤用大承气,huang'long'tang'yong'da'cheng'qi
黄芪百合姜煎此,huang'qi'bai'he'jiang'jian'ci
黄芪鳖甲地骨皮,huang'qi'bie'jia'di'gu'pi
黄芪鳖甲散,huang'qi'bie'jia'san
黄芪防已除姜茯,huang'qi'fang'yi'chu'jiang'fu
黄芪浮麦麻黄根,huang'qi'fu'mai'ma'huang'gen
黄芩防已兼甘草,huang'qin'fang'yi'jian'gan'cao
黄芩甘草薄荷饶,huang'qin'gan'cao'bo'he'rao
黄芩芍药酒丸服,huang'qin'shao'yao'jiu'wan'fu
黄芩生地同甘草,huang'qin'sheng'di'tong'gan'cao
黄芩汤,huang'qin'tang
黄芩汤用甘芍并,huang'qin'tang'yong'gan'shao'bing
黄土汤,huang'tu'tang
黄土汤将远血医,huang'tu'tang'jiang'yuan'xue'yi
回春丹用附雄黄,hui'chun'dan'yong'fu'xiong'huang
回春散,hui'chun'san
茴木丁沉共四香,hui'mu'ding'chen'gong'si'xiang
或盖姜葱参芍桔,huo'gai'jiang'cong'can'shao'ju
或合二陈或五苓,huo'he'er'chen'huo'wu'ling
或加附子总回阳,huo'jia'fu'zi'zong'hui'yang
或加姜蜜为膏服,huo'jia'jiang'mi'wei'gao'fu
或加艽防皂角子,huo'jia'jiao'fang'zao'jiao'zi
或加苓草名五物,huo'jia'ling'cao'ming'wu'wu
或加人参及大黄,huo'jia'ren'shen'ji'da'huang
或加香砂胃寒使,huo'jia'xiang'sha'wei'han'shi
或加雄角珠冰麝,huo'jia'xiong'jiao'zhu'bing'she
或加竹橘用皆良,huo'jia'zhu'ju'yong'jie'liang
或将猎胆灌肛中,huo'jiang'lie'dan'guan'gang'zhong
或将龙骨牡蛎扪,huo'jiang'long'gu'mu'li'men
或入藜芦郁金凑,huo'ru'li'lu'yu'jin'cou
或入银丹大青地,huo'ru'yin'dan'da'qing'di
藿香正气大腹苏,huo'xiang'zheng'qi'da'fu'su
藿香正气散,huo'xiang'zheng'qi'san
活血润燥生津散,huo'xue'run'zao'sheng'jin'san
或益柴芩总伐肝,huo'yi'chai'qin'zong'fa'gan
或以菖蒲更五味,huo'yi'chang'pu'geng'wu'wei
或益茯苓盐煎服,huo'yi'fu'ling'yan'jian'fu
或益藜芦微吐间,huo'yi'li'lu'wei'tu'jian
或益石膏平胃热,huo'yi'shi'gao'ping'wei're
或益香薷或苏叶,huo'yi'xiang'ru'huo'su'ye
或用五加易桑白,huo'yong'wu'jia'yi'sang'bai
火郁发之斯为美,huo'yu'fa'zhi'si'wei'mei
火郁肝经用此宜,huo'yu'gan'jing'yong'ci'yi
或云此药太苦寒,huo'yun'ci'yao'tai'ku'han
火燥金伤血液亡,huo'zao'jin'shang'xue'ye'wang
悸悸郁结梦中遗,ji'ji'yu'jie'meng'zhong'yi
鸡鸣散,ji'ming'san
鸡鸣散是绝奇方,ji'ming'san'shi'jue'qi'fang
济生加入车牛膝,ji'sheng'jia'ru'che'niu'xi
济生乌梅丸,ji'sheng'wu'mei'wan
济生乌梅与僵蚕,ji'sheng'wu'mei'yu'jiang'can
济生香蒂仅二味,ji'sheng'xiang'di'jin'er'wei
即是此方加夏藿,ji'shi'ci'fang'jia'xia'huo
急下阳明有数条,ji'xia'yang'ming'you'shu'tiao
集效姜附与槟黄,ji'xiao'jiang'fu'yu'bin'huang
集效丸,ji'xiao'wan
悸眩润惕保安康,ji'xuan'run'ti'bao'an'kang
加参对半扶元气,jia'can'dui'ban'fu'yuan'qi
加桂除夏治悸厥,jia'gui'chu'xia'zhi'ji'jue
加减临时在变通,jia'jian'lin'shi'zai'bian'tong
加麻黄根功更异,jia'ma'huang'gen'gong'geng'yi
加入补中益气尝,jia'ru'bu'zhong'yi'qi'chang
加入菖蒲与藿香,jia'ru'chang'pu'yu'huo'xiang
加入辰砂痰热尝,jia'ru'chen'sha'tan're'chang
加入阿胶滑石停,jia'ru'e'jiao'hua'shi'ting
加入麻黄赤芍均,jia'ru'ma'huang'chi'shao'jun
加入石膏清里热,jia'ru'shi'gao'qing'li're
加入消风治亦同,jia'ru'xiao'feng'zhi'yi'tong
加麝三厘或胆汁,jia'she'san'li'huo'dan'zhi
加粟煎之名胃风,jia'su'jian'zhi'ming'wei'feng
加夏加朴枳桂枝,jia'xia'jia'pu'zhi'gui'zhi
加阳急救汤,jia'yang'ji'jiu'tang
加阳救急用六君,jia'yang'jiu'ji'yong'liu'jun
煎服加姜治腹痛,jian'fu'jia'jiang'zhi'fu'tong
煎加灯草痛淋蠲,jian'jia'deng'cao'tong'lin'juan
煎加姜枣表兼里,jian'jia'jiang'zao'biao'jian'li
煎加姜枣除痰嗽,jian'jia'jiang'zao'chu'tan'sou
煎加姜枣能除疟,jian'jia'jiang'zao'neng'chu'nue
煎加姜枣益心脾,jian'jia'jiang'zao'yi'xin'pi
健脾参术与陈皮,jian'pi'can'shu'yu'chen'pi
健脾丸,jian'pi'wan
健脾益胃又何疑,jian'pi'yi'wei'you'he'yi
坚牙健啖老尤奇,jian'ya'jian'dan'lao'you'qi
煎益姜皮阳水服,jian'yi'jiang'pi'yang'shui'fu
兼治内伤十味全,jian'zhi'nei'shang'shi'wei'quan
姜不辛散地不寒,jiang'bu'xin'san'di'bu'han
僵蚕薄荷为末咀,jiang'can'bo'he'wei'mo'ju
僵蚕蝉蜕藿香入,jiang'can'chan'tui'huo'xiang'ru
僵蚕炙草姜煎服,jiang'can'zhi'cao'jiang'jian'fu
姜陈苓腹五般奇,jiang'chen'ling'fu'wu'ban'qi
姜葱淡豉与相参,jiang'cong'dan'chi'yu'xiang'can
姜桂麻黄芍药甘,jiang'gui'ma'huang'shao'yao'gan
浆水散,jiang'shui'san
浆水散中用地浆,jiang'shui'san'zhong'yong'di'jiang
姜枣葱煎入童便,jiang'zao'cong'jian'ru'tong'bian
姜枣煎加一匙醋,jiang'zao'jian'jia'yi'chi'cu
姜枣煎之六气平,jiang'zao'jian'zhi'liu'qi'ping
姜枣煎之舒郁结,jiang'zao'jian'zhi'shu'yu'jie
姜枣酒水煎露之,jiang'zao'jiu'shui'jian'lu'zhi
姜枣细茶煎热服,jiang'zao'xi'cha'jian're'fu
胶艾四物加香附,jiao'ai'si'wu'jia'xiang'fu
胶艾汤,jiao'ai'tang
胶艾汤中四物先,jiao'ai'tang'zhong'si'wu'xian
交加散,jiao'jia'san
交加散用姜地捣,jiao'jia'san'yong'jiang'di'dao
胶芩地术附甘随,jiao'qin'di'shu'fu'gan'sui
艽菀参苓柴半知,jiao'wan'shen'ling'chai'ban'zhi
解表清里兼和胃,jie'biao'qing'li'jian'he'wei
桔梗上浮兼保肺,jie'geng'shang'fu'jian'bao'fei
桔梗汤,jie'geng'tang
桔梗汤中用防已,jie'geng'tang'zhong'yong'fang'yi
解肌行水兼清燥,jie'ji'hang'shui'jian'qing'zao
截疟七宝常山果,jie'nue'qi'bao'chang'shan'guo
截疟七宝饮,jie'nue'qi'bao'yin
芥苏莱菔共煎汤,jie'su'lai'fu'gong'jian'tang
劫痰截疟功堪诩,jie'tan'jie'nue'gong'kan'xu
解郁滋干效可夸,jie'yu'zi'gan'xiao'ke'kua
金沸草散,jin'fei'cao'san
金沸草散前胡辛,jin'fei'cao'san'qian'hu'xin
金匮肾气丸,jin'kui'shen'qi'wan
金匮肾气治肾虚,jin'kui'shen'qi'zhi'shen'xu
金水六君煎,jin'shui'liu'jun'jian
金水六君用二陈,jin'shui'liu'jun'yong'er'chen
金水相滋效倍彰,jin'shui'xiang'zi'xiao'bei'zhang
金锁固精芡莲须,jin'suo'gu'jing'qian'lian'xu
金锁固精丸,jin'suo'gu'jing'wan
近血服之效亦奇,jin'xue'fu'zhi'xiao'yi'qi
金液丹中硫一味,jin'ye'dan'zhong'liu'yi'wei
金银二箔兼龙脑,jin'yin'er'bo'jian'long'nao
金银花酒,jin'yin'hua'jiu
金银花酒加甘草,jin'yin'hua'jiu'jia'gan'cao
荆芥理血兼祛风,jing'jie'li'xue'jian'qu'feng
荆芥麻黄栀芍翘,jing'jie'ma'huang'zhi'shao'qiao
经枯血少肾肝匡,jing'ku'xue'shao'shen'gan'kuang
粳米干姜共用之,jing'mi'gan'jiang'gong'yong'zhi
粳米甘犀知母存,jing'mi'gan'xi'zhi'mu'cun
荆羌芪朴菟丝依,jing'qiang'qi'pu'tu'si'yi
经霜收下干桑叶,jing'shuang'shou'xia'gan'sang'ye
酒化一丸力自胜,jiu'hua'yi'wan'li'zi'sheng
九味羌活汤,jiu'wei'qiang'huo'tang
九味羌活用防风,jiu'wei'qiang'huo'yong'fang'feng
救阴泻热功偏擅,jiu'yin'xie're'gong'pian'shan
韭汁牛乳反胃滋,jiu'zhi'niu'ru'fan'wei'zi
韭汁牛乳饮,jiu'zhi'niu'ru'yin
酒煮山药为糊丸,jiu'zhu'shan'yao'wei'hu'wan
局方不用细辛茯,ju'fang'bu'yong'xi'xin'fu
橘核丸,ju'he'wan
橘核丸中川楝桂,ju'he'wan'zhong'chuan'lian'gui
橘红枳桔及麻黄,ju'hong'zhi'ju'ji'ma'huang
菊花茶调用亦臧,ju'hua'cha'diao'yong'yi'zang
橘皮竹茹汤,ju'pi'zhu'ru'tang
橘皮竹茹治呕呃,ju'pi'zhu'ru'zhi'ou'e
剧痰乌附尖方透,ju'tan'wu'fu'jian'fang'tou
疽疹已出慎勿使,ju'zhen'yi'chu'shen'wu'shi
卷柏加之通血脉,juan'bai'jia'zhi'tong'xue'mai
厥阴头痛皆能保,jue'yin'tou'tong'jie'neng'bao
咳加杏贝渴花粉,ke'jia'xing'bei'ke'hua'fen
咳嗽痰血服之瘳,ke'sou'tan'xue'fu'zhi'chou
咳血方,ke'xue'fang
咳血方中诃子收,ke'xue'fang'zhong'he'zi'shou
咳血吐痰劳热久,ke'xue'tu'tan'lao're'jiu
控涎丹用遂戟芥,kong'xian'dan'yong'sui'ji'jie
口疮吐衄及牙宣,kou'chuang'tu'nv'ji'ya'xuan
口糜淋痛小肠火,kou'mi'lin'tong'xiao'chang'huo
宽肠凉血逐风功,kuan'chang'liang'xue'zhu'feng'gong
款冬半夏白皮桑,kuan'dong'ban'xia'bai'pi'sang
宽胸开结涤痰周,kuan'xiong'kai'jie'di'tan'zhou
溃后忌服用毋差,kui'hou'ji'fu'yong'wu'cha
溃疡虚痛去如拈,kui'yang'xu'tong'qu'ru'nian
腊月腌成煅碾之,la'yue'yan'cheng'duan'nian'zhi
来复丹,lai'fu'dan
来复丹用玄精石,lai'fu'dan'yong'xuan'jing'shi
劳心思虑过耗真,lao'xin'si'lv'guo'hao'zhen
冷风顽痹屈能伸,leng'feng'wan'bi'qu'neng'shen
利便消暑烦渴清,li'bian'xiao'shu'fan'ke'qing
利秘通幽善泽枯,li'mi'tong'you'shan'ze'ku
利气祛痰妙绝伦,li'qi'qu'tan'miao'jue'lun
利气调中兼去湿,li'qi'tiao'zhong'jian'qu'shi
利湿祛湿木瓜宣,li'shi'qu'shi'mu'gua'xuan
理中汤,li'zhong'tang
理中汤主理中乡,li'zhong'tang'zhu'li'zhong'xiang
连柏苓青益智需,lian'bai'ling'qing'yi'zhi'xu
莲粉糊丸盐酒下,lian'fen'hu'wan'yan'jiu'xia
连附六一治胃痛,lian'fu'liu'yi'zhi'wei'tong
连胶姜炭痢阴伤,lian'jiao'jiang'tan'li'yin'shang
敛阴泄热平剂扶,lian'yin'xie're'ping'ji'fu
两方均能散风寒,liang'fang'jun'neng'san'feng'han
凉肝增液定风方,liang'gan'zeng'ye'ding'feng'fang
凉膈散,liang'ge'san
凉膈硝黄栀子翘,liang'ge'xiao'huang'zhi'zi'qiao
凉营清气自生津,liang'ying'qing'qi'zi'sheng'jin
猎苓汤除桂与术,lie'ling'tang'chu'gui'yu'shu
苓柏菟脂熟地黄,ling'bai'tu'zhi'shu'di'huang
苓桂术甘痰饮尝,ling'gui'shu'gan'tan'yin'chang
苓桂术甘汤,ling'gui'shu'gan'tang
苓淮参竺箔朱香,ling'huai'can'zhu'bo'zhu'xiang
羚角钩藤汤,ling'jiao'gou'teng'tang
苓皮大腹同椒目,ling'pi'da'fu'tong'jiao'mu
苓术青陈豆麦联,ling'shu'qing'chen'dou'mai'lian
苓夏陈翘菔子加,ling'xia'chen'qiao'fu'zi'jia
苓夏甘芩白术偕,ling'xia'gan'qin'bai'zhu'xie
苓泻防风羌独活,ling'xie'fang'feng'qiang'du'huo
苓泻麦芽苍术曲,ling'xie'mai'ya'cang'zhu'qu
羚羊角散,ling'yang'jiao'san
羚羊角散杏薏仁,ling'yang'jiao'san'xing'yi'ren
苓竺腰黄珀麝僵,ling'zhu'yao'huang'po'she'jiang
六和藿朴杏砂呈,liu'he'huo'pu'xing'sha'cheng
六和汤,liu'he'tang
硫黄入锡结成团,liu'huang'ru'xi'jie'cheng'tuan
六经风中此方通,liu'jing'feng'zhong'ci'fang'tong
六神丸,liu'shen'wan
六神丸治烂喉痧,liu'shen'wan'zhi'lan'hou'sha
六味再加五味麦,liu'wei'zai'jia'wu'wei'mai
六一滑石同甘草,liu'yi'hua'shi'tong'gan'cao
六一散,liu'yi'san
龙胆芦荟木麝香,long'dan'lu'hui'mu'she'xiang
龙胆泻肝汤,long'dan'xie'gan'tang
龙胆泻肝栀芩柴,long'dan'xie'gan'zhi'qin'chai
龙骨蒺藜牡蛎需,long'gu'ji'li'mu'li'xu
龙牡龟牛制亢阳,long'mu'gui'niu'zhi'kang'yang
漏下崩中色黑殷,lou'xia'beng'zhong'se'hei'yin
芦根为引轻清剂,lu'gen'wei'yin'qing'qing'ji
芦荟朱砂滴酒丸,lu'hui'zhu'sha'di'jiu'wan
旅行赉服胜琼浆,lv'xing'lai'fu'sheng'qiong'jiang
麻黄白芥草相承,ma'huang'bai'jie'cao'xiang'cheng
麻黄参芍杏防风,ma'huang'can'shao'xing'fang'feng
麻黄苍芷归芍芎,ma'huang'cang'zhi'gui'shao'xiong
麻黄赤芍兼香附,ma'huang'chi'shao'jian'xiang'fu
麻黄附子细辛汤,ma'huang'fu'zi'xi'xin'tang
麻黄人参芍药汤,ma'huang'ren'shen'shao'yao'tang
麻黄汤,ma'huang'tang
麻黄汤中用桂枝,ma'huang'tang'zhong'yong'gui'zhi
脉沉寒厥亦桂附,mai'chen'han'jue'yi'gui'fu
麦冬半夏竹叶灵,mai'dong'ban'xia'zhu'ye'ling
麦冬归地痿方推,mai'dong'gui'di'wei'fang'tui
麦冬芍药当归配,mai'dong'shao'yao'dang'gui'pei
麦冬生地大麻仁,mai'dong'sheng'di'da'ma'ren
麦夫牡蛎麻黄根,mai'fu'mu'li'ma'huang'gen
麦曲荟苓楂二连,mai'qu'hui'ling'zha'er'lian
麦味菖蒲远志茯,mai'wei'chang'pu'yuan'zhi'fu
麦味知连参草将,mai'wei'zhi'lian'can'cao'jiang
脉细阳虚由血弱,mai'xi'yang'xu'you'xue'ruo
麦夏苁蓉仔细哦,mai'xia'cong'rong'zi'xi'o
麦芽夏曲朴姜连,mai'ya'xia'qu'pu'jiang'lian
芒硝水丸量服之,mang'xiao'shui'wan'liang'fu'zhi
每服三钱陈酒化,mei'fu'san'qian'chen'jiu'hua
每服三丸自不妨,mei'fu'san'wan'zi'bu'fang
每服十丸效可夸,mei'fu'shi'wan'xiao'ke'kua
梅花点舌丹,mei'hua'dian'she'dan
梅花点舌用三香,mei'hua'dian'she'yong'san'xiang
每日空心嚼一丸,mei'ri'kong'xin'jiao'yi'wan
没药煎葶蟾血竭,mei'yao'jian'ting'chan'xue'jie
礞石滚痰丸,meng'shi'gun'tan'wan
梦遗带浊服之安,meng'yi'dai'zhuo'fu'zhi'an
蜜煎导法,mi'jian'dao'fa
蜜煎导法通大便,mi'jian'dao'fa'tong'da'bian
蜜酒浓煎连滓尝,mi'jiu'nong'jian'lian'zi'chang
妙法内攻并外攘,miao'fa'nei'gong'bing'wai'rang
妙散山药与参芪,miao'san'shan'yao'yu'shen'qi
妙香散,miao'xiang'san
明眼三方凭选择,ming'yan'san'fang'ping'xuan'ze
牡丹皮散,mu'dan'pi'san
牡丹皮散延胡索,mu'dan'pi'san'yan'hu'suo
木丁熏陆气同芳,mu'ding'xun'lu'qi'tong'fang
木瓜甘草青皮合,mu'gua'gan'cao'qing'pi'he
目昏鼻塞风攻上,mu'hun'bi'se'feng'gong'shang
牡蛎散,mu'li'san
木通甘草当归合,mu'tong'gan'cao'dang'gui'he
木通滑石生地襄,mu'tong'hua'shi'sheng'di'xiang
木香槟榔青陈皮,mu'xiang'bing'lang'qing'chen'pi
木香槟榔丸,mu'xiang'bing'lang'wan
木香苍术易白术,mu'xiang'cang'zhu'yi'bai'zhu
木香导滞加槟榔,mu'xiang'dao'zhi'jia'bing'lang
男妇虚劳幼科痘,nan'fu'xu'lao'you'ke'dou
内寒外热名戴阳,nei'han'wai're'ming'dai'yang
内伤外感此方推,nei'shang'wai'gan'ci'fang'tui
内有久寒加姜茱,nei'you'jiu'han'jia'jiang'zhu
能消水肿及泄泻,neng'xiao'shui'zhong'ji'xie'xie
溺癃不渴下焦医,ni'long'bu'ke'xia'jiao'yi
牛黄抱龙星辰蝎,niu'huang'bao'long'xing'chen'xie
牛黄还与蟾酥加,niu'huang'hai'yu'chan'su'jia
牛膝棱莪酒水煎,niu'xi'leng'e'jiu'shui'jian
牛膝续断泽兰芳,niu'xi'xu'duan'ze'lan'fang
浓磨煎服调逆气,nong'mo'jian'fu'tiao'ni'qi
呕利腹痛阴寒盛,ou'li'fu'tong'yin'han'sheng
藕汁地汁牛乳研,ou'zhi'di'zhi'niu'ru'yan
膀胱化气添官桂,pang'guang'hua'qi'tian'guan'gui
炮姜粟壳橘红也,pao'jiang'su'ke'ju'hong'ye
痞乃热邪寒药治,pi'nai're'xie'han'yao'zhi
脾虚肤胀此方司,pi'xu'fu'zhang'ci'fang'si
痞硬噫气力能禁,pi'ying'yi'qi'li'neng'jin
脾约别行麻杏芍,pi'yue'bie'xing'ma'xing'shao
平胃散,ping'wei'san
平胃散是苍术朴,ping'wei'san'shi'cang'zhu'pu
破坚非此莫相当,po'jian'fei'ci'mo'xiang'dang
扑法芎藁牡蛎粉,pu'fa'xiong'gao'mu'li'fen
蒲黄黑豆童便酒,pu'huang'hei'dou'tong'bian'jiu
蒲黄肉桂当没药,pu'huang'rou'gui'dang'mei'yao
普济消毒芩连鼠,pu'ji'xiao'du'qin'lian'shu
普济消毒饮,pu'ji'xiao'du'yin
朴实延胡藻带昆,pu'shi'yan'hu'zao'dai'kun
朴夏白通滑竹伦,pu'xia'bai'tong'hua'zhu'lun
芪柏芩连生熟地,qi'bai'qin'lian'sheng'shu'di
七宝美髯丹,qi'bao'mei'ran'dan
七宝美髯何首乌,qi'bao'mei'ran'he'shou'wu
芪草麦冬车前子,qi'cao'mai'dong'che'qian'zi
气畅郁舒痛闷伸,qi'chang'yu'shu'tong'men'shen
脐腹绞结痛非常,qi'fu'jiao'jie'tong'fei'chang
气化原由阴以育,qi'hua'yuan'you'yin'yi'yu
气六合汤加陈朴,qi'lu'he'tang'jia'chen'pu
气上冲胸腹痛佳,qi'shang'chong'xiong'fu'tong'jia
气少汗多兼口渴,qi'shao'han'duo'jian'kou'ke
气升胎举自如常,qi'sheng'tai'ju'zi'ru'chang
气顺火消痰自失,qi'shun'huo'xiao'tan'zi'shi
气行血活经自匀,qi'xing'xue'huo'jing'zi'yun
气行瘀散血瘕削,qi'xing'yu'san'xue'jia'xue
气血双疗功独崇,qi'xue'shuang'liao'gong'du'chong
气血痰火湿食因,qi'xue'tan'huo'shi'shi'yin
奇疡恶毒皆能保,qi'yang'e'du'jie'neng'bao
茜草山萸棕炭芍,qian'cao'shan'yu'zong'tan'shao
前胡桂朴草姜依,qian'hu'gui'pu'cao'jiang'yi
千金四物甘桂姜,qian'jin'si'wu'gan'gui'jiang
千金苇茎生薏仁,qian'jin'wei'jing'sheng'yi'ren
千金苇茎汤,qian'jin'wei'jing'tang
钱氏六味去附桂,qian'shi'liu'wei'qu'fu'gui
钱乙泻黄散,qian'yi'xie'huang'san
钱乙泻黄升防芷,qian'yi'xie'huang'sheng'fang'zhi
前症皆呕此能平,qian'zheng'jie'ou'ci'neng'ping
羌独防风参芍侪,qiang'du'fang'feng'can'shao'chai
羌防升上芎归润,qiang'fang'sheng'shang'xiong'gui'run
羌防升之入顶巅,qiang'fang'sheng'zhi'ru'ding'dian
羌活胜湿羌独芎,qiang'huo'sheng'shi'qiang'du'xiong
羌活胜湿汤,qiang'huo'sheng'shi'tang
强人伏饮效堪夸,qiang'ren'fu'yin'xiao'kan'kua
羌芷川芎神曲停,qiang'zhi'chuan'xiong'shen'qu'ting
强中消渴此方珍,qiang'zhong'xiao'ke'ci'fang'zhen
巧夺先天报自安,qiao'duo'xian'tian'bao'zi'an
芩甘归芍及艽防,qin'gan'gui'shao'ji'jiao'fang
秦艽白术丸,qin'jiao'bai'zhu'wan
秦艽白术丸东垣,qin'jiao'bai'zhu'wan'dong'yuan
秦艽鳖甲散,qin'jiao'bie'jia'san
秦艽鳖甲治风劳,qin'jiao'bie'jia'zhi'feng'lao
秦艽扶羸鳖甲柴,qin'jiao'fu'lei'bie'jia'chai
秦艽扶羸汤,qin'jiao'fu'lei'tang
芩连曲术茯苓襄,qin'lian'qu'shu'fu'ling'xiang
