阿魏无真,a'wei'wu'zhen
学者如禾如稻,xue'zhe'ru'he'ru'dao
衙门八字开,ya'men'ba'zi'kai
鸦有反哺之义,ya'you'fan'bu'zhi'yi
言轻莫劝人,yan'qing'mo'quan'ren
养儿待老,yang'er'dai'lao
殃及池鱼,yang'ji'chi'yu
养家一般,yang'jia'yi'ban
养军千日,yang'jun'qian'ri
养女不教如养猪,yang'nv'bu'jiao'ru'yang'zhu
羊有跪乳之恩,yang'you'gui'ru'zhi'en
养子不教如养驴,yang'zi'bu'jiao'ru'yang'lv
药能医假病,yao'neng'yi'jia'bing
也被旁人说是非,ye'bei'pang'ren'shuo'shi'fei
夜眠八尺,ye'mian'ba'chi
夜夜防盗,ye'ye'fang'dao
一旦败之有余,yi'dan'bai'zhi'you'yu
易反易覆小人心,yi'fan'yi'fu'xiao'ren'xin
一毫之恶,yi'hao'zhi'e
一毫之善,yi'hao'zhi'shan
一家有女百家求,yi'jia'you'nv'bai'jia'qiu
一家之计在于和,yi'jia'zhi'ji'zai'yu'he
一举成名天下知,yi'ju'cheng'ming'tian'xia'zhi
一举首登龙虎榜,yi'ju'shou'deng'long'hu'bang
一马不行百马忧,yi'ma'bu'xing'bai'ma'you
一年之计在于春,yi'nian'zhi'ji'zai'yu'chun
一人传虚,yi'ren'chuan'xu
一人道好,yi'ren'dao'hao
一人一般心,yi'ren'yi'ban'xin
一人有庆,yi'ren'you'qing
一日夫妻,yi'ri'fu'qi
一日之计在于寅,yi'ri'zhi'ji'zai'yu'yin
一生都是命安排,yi'sheng'dou'shi'ming'an'pai
一生之计在于勤,yi'sheng'zhi'ji'zai'yu'qin
一世如驹过隙,yi'shi'ru'ju'guo'xi
一言既出,yi'yan'ji'chu
一夜受孤凄,yi'ye'shou'gu'qi
易涨易退山溪水,yi'zhang'yi'tui'shan'xi'shui
一字入公门,yi'zi'ru'gong'men
一字值千金,yi'zi'zhi'qian'jin
一醉解千愁,yi'zui'jie'qian'chou
隐恶扬善,yin'e'yang'shan
因风吹火,yin'feng'chui'huo
莺花犹怕春光老,ying'hua'you'pa'chun'guang'lao
应恐是痴人,ying'kong'shi'chi'ren
英雄行险道,ying'xiong'xing'xian'dao
用力不多,yong'li'bu'duo
用心计较般般错,yong'xin'ji'jiao'ban'ban'cuo
用在一朝,yong'zai'yi'zhao
有茶有酒多兄弟,you'cha'you'jiu'duo'xiong'di
有儿贫不久,you'er'pin'bu'jiu
有福伤财,you'fu'shang'cai
有花方酌酒,you'hua'fang'zhuo'jiu
有理无钱莫进来,you'li'wu'qian'mo'jin'lai
有钱道真语,you'qian'dao'zhen'yu
有钱堪出众,you'qian'kan'chu'zhong
有钱难买针,you'qian'nan'mai'zhen
有书不读子孙愚,you'shu'bu'du'zi'sun'yu
有田不耕仓廪虚,you'tian'bu'geng'cang'lin'xu
有意栽花花不发,you'yi'zai'hua'hua'bu'fa
欲求生富贵,yu'qiu'sheng'fu'gui
与人不和,yu'ren'bu'he
与人不睦,yu'ren'bu'mu
与人方便,yu'ren'fang'bian
鱼为奔波始化龙,yu'wei'ben'bo'shi'hua'long
遇饮酒时须饮酒,yu'yin'jiu'shi'xu'yin'jiu
远亲不如近邻,yuan'qin'bu'ru'jin'lin
怨生莫怨死,yuan'sheng'mo'yuan'si
远水难救近火,yuan'shui'nan'jiu'jin'huo
月到十五光明少,yue'dao'shi'wu'guang'ming'shao
运去金成铁,yun'qu'jin'cheng'tie
运去雷轰荐福碑,yun'qu'lei'hong'jian'fu'bei
在家不会迎宾客,zai'jia'bu'hui'ying'bin'ke
在家由父,zai'jia'you'fu
再三留不住,zai'san'liu'bu'zhu
再三须慎意,zai'san'xu'shen'yi
再思可矣,zai'si'ke'yi
枣花虽小结实成,zao'hua'sui'xiao'jie'shi'cheng
遭难莫寻亲,zao'nan'mo'xun'qin
择其善者而从之,ze'qi'shan'zhe'er'cong'zhi
责人之心责己,ze'ren'zhi'xin'ze'ji
贼是小人,zei'shi'xiao'ren
怎得见波涛,zen'de'jian'bo'tao
乍富不知新受用,zha'fu'bu'zhi'xin'shou'yong
乍贫难改旧家风,zha'pin'nan'gai'jiu'jia'feng
长大各乡里,zhang'da'ge'xiang'li
兆民咸赖,zhao'min'xian'lai
贞妇爱色,zhen'fu'ai'se
争他一脚豚,zheng'ta'yi'jiao'tun
只此程式,zhi'ci'cheng'shi
只待雨淋头,zhi'dai'yu'lin'tou
知过君子,zhi'guo'jun'zi
知己知彼,zhi'ji'zhi'bi
只怕秋来有冷时,zhi'pa'qiu'lai'you'leng'shi
只怕人情两面刀,zhi'pa'ren'qing'liang'mian'dao
执其两端,zhi'qi'liang'duan
知人知面不知心,zhi'ren'zhi'mian'bu'zhi'xin
知事少时烦恼少,zhi'shi'shao'shi'fan'nao'shao
知我者为我心忧,zhi'wo'zhe'wei'wo'xin'you
知心能几人,zhi'xin'neng'ji'ren
知音说与知音听,zhi'yin'shuo'yu'zhi'yin'ting
知者减半,zhi'zhe'jian'ban
只争来早与来迟,zhi'zheng'lai'zao'yu'lai'chi
知止常止,zhi'zhi'chang'zhi
知足常足,zhi'zu'chang'zu
钟不打不鸣,zhong'bu'da'bu'ming
种豆得豆,zhong'dou'de'dou
种麻得麻,zhong'ma'de'ma
终身不耻,zhong'shen'bu'chi
终身不辱,zhong'shen'bu'ru
众星朗朗,zhong'xing'lang'lang
终须还到老,zhong'xu'hai'dao'lao
终须无烦恼,zhong'xu'wu'fan'nao
终须一别,zhong'xu'yi'bie
忠言逆耳利于行,zhong'yan'ni'er'li'yu'xing
竹篱茅舍风光好,zhu'li'mao'she'feng'guang'hao
自恨枝无叶,zi'hen'zhi'wu'ye
自家心里急,zi'jia'xin'li'ji
自损三千,zi'sun'san'qian
子孙愚兮礼义疏,zi'sun'yu'xi'li'yi'shu
子孝父心宽,zi'xiao'fu'xin'kuan
醉后乾坤大,zui'hou'qian'kun'da
醉后添杯不如无,zui'hou'tian'bei'bu'ru'wu
樽中酒不空,zun'zhong'jiu'bu'kong
做客莫在后,zuo'ke'mo'zai'hou
座上客常满,zuo'shang'ke'chang'man
