暗插销,an'cha'xiao
概算,gai'suan
概算定额,gai'suan'ding'e
概算书,gai'suan'shu
概算文件,gai'suan'wen'jian
概算造价,gai'suan'zao'jia
概要,gai'yao
盖子,gai'zi
干管,gan'guan
干式变压器,gan'shi'bian'ya'qi
干式通气管,gan'shi'tong'qi'guan
干式消防立管,gan'shi'xiao'fang'li'guan
干式预制装配构造,gan'shi'yu'zhi'zhuang'pei'gou'zao
干式自动喷水系统,gan'shi'zi'dong'pen'shui'xi'tong
干线,gan'xian
干线电缆,gan'xian'dian'lan
感应电动机,gan'ying'dian'dong'ji
感应线圈,gan'ying'xian'quan
感应效应,gan'ying'xiao'ying
干燥机,gan'zao'ji
干燥室,gan'zao'shi
甘蔗板,gan'zhe'ban
钢板,gang'ban
钢板网吊顶,gang'ban'wang'diao'ding
钢板网顶棚,gang'ban'wang'ding'peng
钢板网隔断,gang'ban'wang'ge'duan
钢板网抹灰,gang'ban'wang'mo'hui
钢材,gang'cai
钢材表,gang'cai'biao
刚才一览表,gang'cai'yi'lan'biao
钢管,gang'guan
钢结构,gang'jie'gou
钢结构工程,gang'jie'gou'gong'cheng
钢结构设计,gang'jie'gou'she'ji
钢筋保护层,gang'jin'bao'hu'ceng
钢筋表,gang'jin'biao
钢筋混凝土工程,gang'jin'hun'ning'tu'gong'cheng
钢筋混凝土构件,gang'jin'hun'ning'tu'gou'jian
钢筋混凝土管,gang'jin'hun'ning'tu'guan
钢筋混凝土过梁,gang'jin'hun'ning'tu'guo'liang
钢筋混凝土剪力墙,gang'jin'hun'ning'tu'jian'li'qiang
钢筋混凝土结构,gang'jin'hun'ning'tu'jie'gou
钢筋混凝土梁,gang'jin'hun'ning'tu'liang
钢筋混凝土楼盖,gang'jin'hun'ning'tu'lou'gai
钢筋混凝土楼梯,gang'jin'hun'ning'tu'lou'ti
钢筋混凝土路面,gang'jin'hun'ning'tu'lu'mian
钢筋混凝土无梁楼盖,gang'jin'hun'ning'tu'wu'liang'lou'gai
钢筋混凝土烟囱,gang'jin'hun'ning'tu'yan'cong
钢筋加气混凝土过梁,gang'jin'jia'qi'hun'ning'tu'guo'liang
钢筋网,gang'jin'wang
钢筋直径,gang'jin'zhi'jing
钢筋砖过梁,gang'jin'zhuan'guo'liang
钢筋砖砌体,gang'jin'zhuan'qi'ti
钢梁,gang'liang
钢龙骨,gang'long'gu
钢楼梯,gang'lou'ti
钢门,gang'men
钢模,gang'mo
钢模板,gang'mu'ban
钢丝绳,gang'si'sheng
钢丝网隔断,gang'si'wang'ge'duan
钢铁厂,gang'tie'chang
钢瓦下水道,gang'wa'xia'shui'dao
钢芯,gang'xin
钢芯铝线,gang'xin'lv'xian
钢芯铜线,gang'xin'tong'xian
高标号水泥,gao'biao'hao'shui'ni
高标号水泥砂浆,gao'biao'hao'shui'ni'sha'jiang
高层公寓,gao'ceng'gong'yu
高程,gao'cheng
高电压,gao'dian'ya
高级工程师,gao'ji'gong'cheng'shi
高级建筑师,gao'ji'jian'zhu'shi
高频焊接,gao'pin'han'jie
高频扬声器,gao'pin'yang'sheng'qi
高速电梯,gao'su'dian'ti
高速客梯,gao'su'ke'ti
高压变压器,gao'ya'bian'ya'qi
高压电缆,gao'ya'dian'lan
高压电源,gao'ya'dian'yuan
高压开关,gao'ya'kai'guan
高压开关板,gao'ya'kai'guan'ban
高压钠汽灯,gao'ya'na'qi'deng
高压配电盘,gao'ya'pei'dian'pan
高压水银灯,gao'ya'shui'yin'deng
高压线,gao'ya'xian
高压线圈,gao'ya'xian'quan
高音喇叭,gao'yin'la'ba
隔断,ge'duan
隔断板,ge'duan'ban
隔火墙,ge'huo'qiang
隔火设施,ge'huo'she'shi
歌剧院,ge'ju'yuan
隔离病房,ge'li'bing'fang
隔离层,ge'li'ceng
隔离开关,ge'li'kai'guan
隔离室,ge'li'shi
隔离医院,ge'li'yi'yuan
隔离诊室,ge'li'zhen'shi
格林尼治时间,ge'lin'ni'zhi'shi'jian
格片散光罩,ge'pian'san'guang'zhao
隔墙,ge'qiang
隔热,ge're
隔热板,ge're'ban
隔热玻璃,ge're'bo'li
隔热材料,ge're'cai'liao
隔热层,ge're'ceng
隔热地板,ge're'di'ban
隔热混凝土,ge're'hun'ning'tu
隔热耐火材料,ge're'nai'huo'cai'liao
格栅,ge'shan
隔声垫,ge'sheng'dian
隔声工程,ge'sheng'gong'cheng
个体建筑,ge'ti'jian'zhu
隔音板,ge'yin'ban
隔音材料,ge'yin'cai'liao
隔音层,ge'yin'ceng
隔音混凝土,ge'yin'hun'ning'tu
隔音门,ge'yin'men
隔音墙,ge'yin'qiang
隔音室,ge'yin'shi
更衣室,geng'yi'shi
更衣梳洗室,geng'yi'shu'xi'shi
工厂,gong'chang
工厂建筑,gong'chang'jian'zhu
工厂照明,gong'chang'zhao'ming
工程,gong'cheng
工程变更,gong'cheng'bian'geng
工程编号,gong'cheng'bian'hao
工程地点,gong'cheng'di'dian
工程法规,gong'cheng'fa'gui
工程概算表,gong'cheng'gai'suan'biao
工程技术人员,gong'cheng'ji'shu'ren'yuan
工程检查,gong'cheng'jian'cha
工程监督,gong'cheng'jian'du
工程竣工,gong'cheng'jun'gong
工程开工,gong'cheng'kai'gong
工程量单价表,gong'cheng'liang'dan'jia'biao
工程量估算,gong'cheng'liang'gu'suan
工程任务单,gong'cheng'ren'wu'dan
公称容量,gong'cheng'rong'liang
工程师,gong'cheng'shi
工程师代表,gong'cheng'shi'dai'biao
工程师许可证,gong'cheng'shi'xu'ke'zheng
工程师许可证明,gong'cheng'shi'xu'ke'zheng'ming
工程塑料,gong'cheng'su'liao
工程项目,gong'cheng'xiang'mu
工程项目明细表,gong'cheng'xiang'mu'ming'xi'biao
工程验收,gong'cheng'yan'shou
工程预算,gong'cheng'yu'suan
工程造价,gong'cheng'zao'jia
工程指挥部,gong'cheng'zhi'hui'bu
公称直径,gong'cheng'zhi'jing
工程主持人,gong'cheng'zhu'chi'ren
宫灯,gong'deng
工地,gong'di
工地实验室,gong'di'shi'yan'shi
工地主任,gong'di'zhu'ren
供电,gong'dian
供电干线,gong'dian'gan'xian
供电机组,gong'dian'ji'zu
供电局,gong'dian'ju
供电设备,gong'dian'she'bei
供电网,gong'dian'wang
供电系统,gong'dian'xi'tong
工段,gong'duan
工段长,gong'duan'chang
工段工程师,gong'duan'gong'cheng'shi
公共厕所,gong'gong'ce'suo
公共场所,gong'gong'chang'suo
公共服务设施,gong'gong'fu'wu'she'shi
公共盥洗室,gong'gong'guan'xi'shi
公共广播系统,gong'gong'guang'bo'xi'tong
公共建筑,gong'gong'jian'zhu
公共汽车站台,gong'gong'qi'che'zhan'tai
公共汽车总站,gong'gong'qi'che'zong'zhan
公共食堂,gong'gong'shi'tang
公共疏散口,gong'gong'shu'san'kou
公共娱乐场所,gong'gong'yu'le'chang'suo
公共浴室,gong'gong'yu'shi
公共澡堂,gong'gong'zao'tang
公共照明,gong'gong'zhao'ming
工会,gong'hui
公斤,gong'jin
公斤米,gong'jin'mi
工具车间,gong'ju'che'jian
工具间,gong'ju'jian
公厘,gong'li
公路干线,gong'lu'gan'xian
公路桥,gong'lu'qiao
公路设计,gong'lu'she'ji
公路照明,gong'lu'zhao'ming
功率,gong'lv
功率因数,gong'lv'yin'shu
功能与通风,gong'neng'yu'tong'feng
供暖系统,gong'nuan'xi'tong
供气管,gong'qi'guan
供气管道,gong'qi'guan'dao
公顷,gong'qing
工日,gong'ri
工时,gong'shi
工时定额,gong'shi'ding'e
公司,gong'si
工业标准,gong'ye'biao'zhun
工业厂房,gong'ye'chang'fang
工业设计,gong'ye'she'ji
工业用电,gong'ye'yong'dian
工艺,gong'yi
工艺流程图,gong'yi'liu'cheng'tu
工艺要求,gong'yi'yao'qiu
公用电话间,gong'yong'dian'hua'jian
公用电话系统,gong'yong'dian'hua'xi'tong
共用天线,gong'yong'tian'xian
共用天线电视,gong'yong'tian'xian'dian'shi
共用线,gong'yong'xian
公寓,gong'yu
公寓楼,gong'yu'lou
公园,gong'yuan
工字钢,gong'zi'gang
工字梁,gong'zi'liang
工字铁,gong'zi'tie
工作灯,gong'zuo'deng
工作电压,gong'zuo'dian'ya
工作电源,gong'zuo'dian'yuan
工作台,gong'zuo'tai
构成,gou'cheng
沟盖板,gou'gai'ban
构架安装,gou'jia'an'zhuang
构件,gou'jian
构思阶段,gou'si'jie'duan
构造,gou'zao
构造缝,gou'zao'feng
构造物,gou'zao'wu
构造详图,gou'zao'xiang'tu
古代建筑,gu'dai'jian'zhu
固定装置,gu'ding'zhuang'zhi
鼓风机,gu'feng'ji
骨科,gu'ke
固体电路,gu'ti'dian'lu
顾问工程师,gu'wen'gong'cheng'shi
顾问建筑师,gu'wen'jian'zhu'shi
顾问室,gu'wen'shi
故障,gu'zhang
挂镜线,gua'jing'xian
管壁,guan'bi
管壁厚,guan'bi'hou
观察窗,guan'cha'chuang
观察井,guan'cha'jing
观察孔,guan'cha'kong
管道,guan'dao
管道安装,guan'dao'an'zhuang
管道保温,guan'dao'bao'wen
管道间,guan'dao'jian
管道井,guan'dao'jing
管道内底标高,guan'dao'nei'di'biao'gao
管道设计,guan'dao'she'ji
管道系统图,guan'dao'xi'tong'tu
灌缝,guan'feng
管沟,guan'gou
管内敷线,guan'nei'fu'xian
管内径,guan'nei'jing
罐头厂,guan'tou'chang
罐头食品厂,guan'tou'shi'pin'chang
管外径,guan'wai'jing
管网综合,guan'wang'zong'he
盥洗室,guan'xi'shi
管线,guan'xian
管线布置,guan'xian'bu'zhi
管线系统,guan'xian'xi'tong
管型熔断器,guan'xing'rong'duan'qi
观众席,guan'zhong'xi
观众席照明,guan'zhong'xi'zhao'ming
观众座椅,guan'zhong'zuo'yi
管子吊架,guan'zi'diao'jia
管子箍,guan'zi'gu
管子托架,guan'zi'tuo'jia
广播解说间,guang'bo'jie'shuo'jian
广播室,guang'bo'shi
广播站,guang'bo'zhan
广场,guang'chang
光电管,guang'dian'guan
光电控制,guang'dian'kong'zhi
光电控制装置,guang'dian'kong'zhi'zhuang'zhi
光电效应,guang'dian'xiao'ying
光度,guang'du
广告牌,guang'gao'pai
广角型照明器,guang'jiao'xing'zhao'ming'qi
光敏开关,guang'min'kai'guan
光强,guang'qiang
光强分布曲线,guang'qiang'fen'bu'qu'xian
光束,guang'shu
光通量,guang'tong'liang
光通量法,guang'tong'liang'fa
光学实验室,guang'xue'shi'yan'shi
光源,guang'yuan
贵宾室,gui'bin'shi
贵宾休息室,gui'bin'xiu'xi'shi
规程,gui'cheng
规定,gui'ding
规范,gui'fan
规范化,gui'fan'hua
硅钢片,gui'gang'pian
规格,gui'ge
规划,gui'hua
柜台,gui'tai
规章,gui'zhang
国宾馆,guo'bin'guan
过道,guo'dao
过电流,guo'dian'liu
过电流保护,guo'dian'liu'bao'hu
过电流保护装置,guo'dian'liu'bao'hu'zhuang'zhi
过电流继电器,guo'dian'liu'ji'dian'qi
过电压,guo'dian'ya
过电压保护,guo'dian'ya'bao'hu
国际标准,guo'ji'biao'zhun
国际标准化组织,guo'ji'biao'zhun'hua'zu'zhi
国际博览会,guo'ji'bo'lan'hui
国际单位,guo'ji'dan'wei
国际机场,guo'ji'ji'chang
国际旅游旅馆,guo'ji'lv'you'lv'guan
国际贸易中心,guo'ji'mao'yi'zhong'xin
国际水平,guo'ji'shui'ping
国际无障碍通用标志,guo'ji'wu'zhang'ai'tong'yong'biao'zhi
国际展览会,guo'ji'zhan'lan'hui
国际招标,guo'ji'zhao'biao
国际烛光,guo'ji'zhu'guang
国家标准,guo'jia'biao'zhun
国家规范,guo'jia'gui'fan
国家科委,guo'jia'ke'wei
国家科学技术委员会,guo'jia'ke'xue'ji'shu'wei'yuan'hui
国家项目,guo'jia'xiang'mu
过街楼,guo'jie'lou
锅炉,guo'lu
锅炉房,guo'lu'fang
锅炉给水泵,guo'lu'ji'shui'beng
锅炉间,guo'lu'jian
锅炉容量,guo'lu'rong'liang
锅炉烟道,guo'lu'yan'dao
过滤层,guo'lv'ceng
过滤器,guo'lv'qi
过滤室,guo'lv'shi
过滤装置,guo'lv'zhuang'zhi
过载,guo'zai
过载保护,guo'zai'bao'hu
过载断路器,guo'zai'duan'lu'qi
过载继电器,guo'zai'ji'dian'qi
过载能力,guo'zai'neng'li
过载试验,guo'zai'shi'yan
海底电缆,hai'di'dian'lan
海工建筑,hai'gong'jian'zhu
海关,hai'guan
海关办公室,hai'guan'ban'gong'shi
海关大厅,hai'guan'da'ting
海关检查站,hai'guan'jian'cha'zhan
旱冰场,han'bing'chang
焊缝,han'feng
焊接,han'jie
焊接车间,han'jie'che'jian
焊接钢管,han'jie'gang'guan
焊接钢结构,han'jie'gang'jie'gou
焊接钢筋,han'jie'gang'jin
焊接钢筋网,han'jie'gang'jin'wang
焊接管,han'jie'guan
含湿度,han'shi'du
含水度,han'shui'du
焊锡,han'xi
焊油,han'you
夯实回填土,hang'shi'hui'tian'tu
毫安,hao'an
耗电量,hao'dian'liang
豪华旅馆,hao'hua'lv'guan
毫克,hao'ke
毫米,hao'mi
毫秒,hao'miao
毫欧,hao'ou
毫升,hao'sheng
毫瓦,hao'wa
核电站,he'dian'zhan
合格证,he'ge'zheng
合格证明书,he'ge'zheng'ming'shu
合金钢,he'jin'gang
合金管,he'jin'guan
合同项目,he'tong'xiang'mu
合用线,he'yong'xian
荷载,he'zai
赫兹,he'zi
合资公司,he'zi'gong'si
合作商店,he'zuo'shang'dian
合作社,he'zuo'she
合作设计,he'zuo'she'ji
黑铁管,hei'tie'guan
黑铁皮,hei'tie'pi
横断面,heng'duan'mian
横断面面积,heng'duan'mian'mian'ji
桁架,heng'jia
横截面,heng'jie'mian
横剖面,heng'pou'mian
恒温恒湿,heng'wen'heng'shi
恒温设备,heng'wen'she'bei
恒温室,heng'wen'shi
横向伸缩缝,heng'xiang'shen'suo'feng
横向疏散口,heng'xiang'shu'san'kou
恒压变压器,heng'ya'bian'ya'qi
红灯,hong'deng
红绿灯,hong'lv'deng
红色,hong'se
烘手器,hong'shou'qi
红松,hong'song
红外线灯,hong'wai'xian'deng
厚壁管,hou'bi'guan
候车室,hou'che'shi
厚度,hou'du
厚钢板,hou'gang'ban
候机楼,hou'ji'lou
候机室,hou'ji'shi
后立面,hou'li'mian
后楼梯,hou'lou'ti
后门,hou'men
厚木板,hou'mu'ban
后视图,hou'shi'tu
后台,hou'tai
后台区,hou'tai'qu
后台入口,hou'tai'ru'kou
后院,hou'yuan
候诊室,hou'zhen'shi
护板,hu'ban
弧光灯,hu'guang'deng
弧光灯照明,hu'guang'deng'zhao'ming
弧光聚光灯,hu'guang'ju'guang'deng
弧焊,hu'han
呼唤系统,hu'huan'xi'tong
呼叫按钮,hu'jiao'an'niu
呼叫灯,hu'jiao'deng
呼叫铃,hu'jiao'ling
呼叫装置,hu'jiao'zhuang'zhi
护士呼叫系统,hu'shi'hu'jiao'xi'tong
护士室,hu'shi'shi
护士站,hu'shi'zhan
护士长室,hu'shi'zhang'shi
护套线,hu'tao'xian
户外厕所,hu'wai'ce'suo
滑车,hua'che
滑道,hua'dao
花房,hua'fang
花岗石,hua'gang'shi
花岗石板,hua'gang'shi'ban
花岗石板地面,hua'gang'shi'ban'di'mian
化工厂,hua'gong'chang
滑轨,hua'gui
花篮螺丝,hua'lan'luo'si
滑轮,hua'lun
滑梯,hua'ti
化学处理,hua'xue'chu'li
化学灭火,hua'xue'mie'huo
化学泡沫灭火器,hua'xue'pao'mo'mie'huo'qi
化学软水设备,hua'xue'ruan'shui'she'bei
化学实验室,hua'xue'shi'yan'shi
化验室,hua'yan'shi
化装镜,hua'zhuang'jing
化妆室,hua'zhuang'shi
化妆台,hua'zhuang'tai
幻灯,huan'deng
幻灯机,huan'deng'ji
环境气候,huan'jing'qi'hou
环境设计,huan'jing'she'ji
环境条件,huan'jing'tiao'jian
环境温度,huan'jing'wen'du
环境污染,huan'jing'wu'ran
环境噪声,huan'jing'zao'sheng
换流器,huan'liu'qi
换能器,huan'neng'qi
换气装置,huan'qi'zhuang'zhi
换算,huan'suan
环形干管布置,huan'xing'gan'guan'bu'zhi
环氧树脂,huan'yang'shu'zhi
环氧树脂胶,huan'yang'shu'zhi'jiao
黄铜,huang'tong
黄铜板,huang'tong'ban
黄铜垫圈,huang'tong'dian'quan
黄铜管,huang'tong'guan
黄铜套管,huang'tong'tao'guan
会场,hui'chang
回风管道,hui'feng'guan'dao
回风管道系统,hui'feng'guan'dao'xi'tong
回风口,hui'feng'kou
回风系统,hui'feng'xi'tong
恢复中心,hui'fu'zhong'xin
辉光,hui'guang
辉光灯,hui'guang'deng
辉光放电,hui'guang'fang'dian
会客室,hui'ke'shi
回路,hui'lu
回水干管,hui'shui'gan'guan
回水管,hui'shui'guan
回水立管,hui'shui'li'guan
回水系统,hui'shui'xi'tong
会堂,hui'tang
回填机,hui'tian'ji
回填土,hui'tian'tu
灰土夯实,hui'tu'hang'shi
绘图室,hui'tu'shi
会议旅馆,hui'yi'lv'guan
会议室,hui'yi'shi
会议厅,hui'yi'ting
会议宴会厅,hui'yi'yan'hui'ting
回音廊,hui'yin'lang
会员休息室,hui'yuan'xiu'xi'shi
回转半径,hui'zhuan'ban'jing
混合结构,hun'he'jie'gou
混凝土板,hun'ning'tu'ban
混凝土保护层,hun'ning'tu'bao'hu'ceng
混凝土标号,hun'ning'tu'biao'hao
混凝土窗台,hun'ning'tu'chuang'tai
混凝土地面,hun'ning'tu'di'mian
混凝土防火层,hun'ning'tu'fang'huo'ceng
混凝土灌缝,hun'ning'tu'guan'feng
混凝土过梁,hun'ning'tu'guo'liang
混凝土路面版,hun'ning'tu'lu'mian'ban
混凝土面层,hun'ning'tu'mian'ceng
混凝土模板,hun'ning'tu'mo'ban
混凝土配筋,hun'ning'tu'pei'jin
混凝土砌块,hun'ning'tu'qi'kuai
混凝土砌块工程,hun'ning'tu'qi'kuai'gong'cheng
混凝土砌体,hun'ning'tu'qi'ti
混凝土墙,hun'ning'tu'qiang
混凝土一次浇灌,hun'ning'tu'yi'ci'jiao'guan
混凝土预埋件,hun'ning'tu'yu'mai'jian
混凝土找平层,hun'ning'tu'zhao'ping'ceng
混响时间,hun'xiang'shi'jian
货场,huo'chang
火车站,huo'che'zhan
活动地板,huo'dong'di'ban
活动隔断,huo'dong'ge'duan
活动木地板,huo'dong'mu'di'ban
活动屏风,huo'dong'ping'feng
活动平台,huo'dong'ping'tai
活动室,huo'dong'shi
活动台口,huo'dong'tai'kou
活动舞台,huo'dong'wu'tai
火警报警,huo'jing'bao'jing
火警报警系统,huo'jing'bao'jing'xi'tong
火力发电站,huo'li'fa'dian'zhan
货梯,huo'ti
货物存放室,huo'wu'cun'fang'shi
火灾,huo'zai
火灾分类,huo'zai'fen'lei
基本建设项目,ji'ben'jian'she'xiang'mu
基本数据,ji'ben'shu'ju
基本图纸,ji'ben'tu'zhi
机场标志,ji'chang'biao'zhi
机场灯标,ji'chang'deng'biao
机场跑道,ji'chang'pao'dao
机场照明,ji'chang'zhao'ming
机场指挥塔,ji'chang'zhi'hui'ta
集成电路,ji'cheng'dian'lu
基础,ji'chu
基础平面图,ji'chu'ping'mian'tu
继电保护,ji'dian'bao'hu
继电器,ji'dian'qi
急冻冷库,ji'dong'leng'ku
机房,ji'fang
机工车间,ji'gong'che'jian
急救室,ji'jiu'shi
急救手术室,ji'jiu'shou'shu'shi
急救站,ji'jiu'zhan
计量单位,ji'liang'dan'wei
纪念馆,ji'nian'guan
纪念堂,ji'nian'tang
给排水图纸,ji'pai'shui'tu'zhi
给排水专业,ji'pai'shui'zhuan'ye
技术标准,ji'shu'biao'zhun
技术参数,ji'shu'can'shu
技术操作规程,ji'shu'cao'zuo'gui'cheng
技术措施,ji'shu'cuo'shi
计数电路,ji'shu'dian'lu
技术规范,ji'shu'gui'fan
技术合作,ji'shu'he'zuo
技术鉴定,ji'shu'jian'ding
技术名词,ji'shu'ming'ci
技术人员,ji'shu'ren'yuan
技术设计阶段,ji'shu'she'ji'jie'duan
技术手册,ji'shu'shou'ce
技术说明书,ji'shu'shuo'ming'shu
技术条件,ji'shu'tiao'jian
技术研究,ji'shu'yan'jiu
技术员,ji'shu'yuan
技术指标,ji'shu'zhi'biao
技术资料,ji'shu'zi'liao
给水泵,ji'shui'beng
给水管,ji'shui'guan
给水管线,ji'shui'guan'xian
给水立管,ji'shui'li'guan
给水箱,ji'shui'xiang
给水装置,ji'shui'zhuang'zhi
计算参数,ji'suan'can'shu
计算机,ji'suan'ji
计算机控制,ji'suan'ji'kong'zhi
计算机室,ji'suan'ji'shi
计算机系统,ji'suan'ji'xi'tong
极限开关,ji'xian'kai'guan
机械工程师,ji'xie'gong'cheng'shi
机械排气通风系统,ji'xie'pai'qi'tong'feng'xi'tong
机械排烟系统,ji'xie'pai'yan'xi'tong
机械强度,ji'xie'qiang'du
机械设备,ji'xie'she'bei
机械送风,ji'xie'song'feng
机械通风,ji'xie'tong'feng
机械通风系统,ji'xie'tong'feng'xi'tong
机修车间,ji'xiu'che'jian
记者席,ji'zhe'xi
集中,ji'zhong
集中供暖,ji'zhong'gong'nuan
集中供暖系统,ji'zhong'gong'nuan'xi'tong
集中空调,ji'zhong'kong'tiao
集中空调系统,ji'zhong'kong'tiao'xi'tong
集中排水,ji'zhong'pai'shui
集中制冷,ji'zhong'zhi'leng
集中制冷系统,ji'zhong'zhi'leng'xi'tong
机组,ji'zu
夹层,jia'ceng
夹层螺栓,jia'ceng'luo'shuan
加工厂,jia'gong'chang
加工车间,jia'gong'che'jian
加工图,jia'gong'tu
加工详图,jia'gong'xiang'tu
加固件,jia'gu'jian
加建工程,jia'jian'gong'cheng
家居布置图,jia'ju'bu'zhi'tu
架空避雷线,jia'kong'bi'lei'xian
架空导线,jia'kong'dao'xian
架空电话线路,jia'kong'dian'hua'xian'lu
架空电缆,jia'kong'dian'lan
架空电缆线路,jia'kong'dian'lan'xian'lu
架空电力线路,jia'kong'dian'li'xian'lu
架空管道,jia'kong'guan'dao
架空活动地板,jia'kong'huo'dong'di'ban
架空通信线路,jia'kong'tong'xin'xian'lu
架空线路,jia'kong'xian'lu
加气混凝土,jia'qi'hun'ning'tu
加气混凝土板,jia'qi'hun'ning'tu'ban
加气混凝土隔墙,jia'qi'hun'ning'tu'ge'qiang
加气混凝土楼板,jia'qi'hun'ning'tu'lou'ban
假山,jia'shan
架设,jia'she
假石混凝土,jia'shi'hun'ning'tu
假石砌块,jia'shi'qi'kuai
假台口,jia'tai'kou
加压泵,jia'ya'beng
加压站,jia'ya'zhan
家用冰箱,jia'yong'bing'xiang
家用热水器,jia'yong're'shui'qi
加油站,jia'you'zhan
检查井,jian'cha'jing
检查井盖,jian'cha'jing'gai
检查孔,jian'cha'kong
监督报警系统,jian'du'bao'jing'xi'tong
监督建筑师,jian'du'jian'zhu'shi
监护病房,jian'hu'bing'fang
间接照明,jian'jie'zhao'ming
间接照明装置,jian'jie'zhao'ming'zhuang'zhi
监控系统,jian'kong'xi'tong
建设单位,jian'she'dan'wei
建设项目,jian'she'xiang'mu
健身俱乐部,jian'shen'ju'le'bu
监视系统,jian'shi'xi'tong
减速器,jian'su'qi
检修,jian'xiu
检修人孔,jian'xiu'ren'kong
减压,jian'ya
减压阀,jian'ya'fa
减压器,jian'ya'qi
简要施工说明,jian'yao'shi'gong'shuo'ming
简易机场,jian'yi'ji'chang
减振器,jian'zhen'qi
减振室,jian'zhen'shi
减支桁架,jian'zhi'heng'jia
简支梁,jian'zhi'liang
建筑,jian'zhu
建筑安装工程,jian'zhu'an'zhuang'gong'cheng
建筑标准,jian'zhu'biao'zhun
建筑布置图,jian'zhu'bu'zhi'tu
建筑材料,jian'zhu'cai'liao
建筑材料表,jian'zhu'cai'liao'biao
建筑防火,jian'zhu'fang'huo
建筑防火分区,jian'zhu'fang'huo'fen'qu
建筑高度,jian'zhu'gao'du
建筑工程,jian'zhu'gong'cheng
建筑工程公司,jian'zhu'gong'cheng'gong'si
建筑工程师,jian'zhu'gong'cheng'shi
建筑工地,jian'zhu'gong'di
建筑公司,jian'zhu'gong'si
建筑工种,jian'zhu'gong'zhong
建筑规程,jian'zhu'gui'cheng
建筑规范,jian'zhu'gui'fan
建筑红线,jian'zhu'hong'xian
建筑结构,jian'zhu'jie'gou
建筑立面,jian'zhu'li'mian
建筑面积,jian'zhu'mian'ji
建筑平面,jian'zhu'ping'mian
建筑设计,jian'zhu'she'ji
建筑设计规范,jian'zhu'she'ji'gui'fan
建筑设计院,jian'zhu'she'ji'yuan
建筑师,jian'zhu'shi
建筑位置图,jian'zhu'wei'zhi'tu
建筑物入口,jian'zhu'wu'ru'kou
建筑照明,jian'zhu'zhao'ming
建筑专业,jian'zhu'zhuan'ye
建筑装饰,jian'zhu'zhuang'shi
讲台,jiang'tai
降温,jiang'wen
降压,jiang'ya
降压变电站,jiang'ya'bian'dian'zhan
降压变压器,jiang'ya'bian'ya'qi
讲演厅,jiang'yan'ting
胶布,jiao'bu
绞车,jiao'che
角钢,jiao'gang
脚光,jiao'guang
脚光聚光灯,jiao'guang'ju'guang'deng
交换机,jiao'huan'ji
交流电,jiao'liu'dian
交流电动机,jiao'liu'dian'dong'ji
交流电焊机,jiao'liu'dian'han'ji
交流电弧机,jiao'liu'dian'hu'ji
交流电路,jiao'liu'dian'lu
交流电压,jiao'liu'dian'ya
交流电源,jiao'liu'dian'yuan
交流电整流器,jiao'liu'dian'zheng'liu'qi
交流发电机,jiao'liu'fa'dian'ji
交流配电,jiao'liu'pei'dian
胶木,jiao'mu
绞肉机,jiao'rou'ji
教室,jiao'shi
脚手架,jiao'shou'jia
胶水,jiao'shui
脚踏开关,jiao'ta'kai'guan
焦炭渣混凝土,jiao'tan'zha'hun'ning'tu
角铁,jiao'tie
角铁支撑,jiao'tie'zhi'cheng
交通干线,jiao'tong'gan'xian
矫形医院,jiao'xing'yi'yuan
教学电视,jiao'xue'dian'shi
教学楼,jiao'xue'lou
教研室,jiao'yan'shi
教员休息室,jiao'yuan'xiu'xi'shi
焦渣,jiao'zha
焦渣地面,jiao'zha'di'mian
焦渣垫层,jiao'zha'dian'ceng
焦渣混凝土,jiao'zha'hun'ning'tu
焦渣空心砖,jiao'zha'kong'xin'zhuan
焦渣屋面,jiao'zha'wu'mian
焦渣砖隔断墙,jiao'zha'zhuan'ge'duan'qiang
胶粘剂,jiao'zhan'ji
交直流两用电动机,jiao'zhi'liu'liang'yong'dian'dong'ji
浇注,jiao'zhu
浇筑混凝土,jiao'zhu'hun'ning'tu
接触不良,jie'chu'bu'liang
接触点,jie'chu'dian
接触故障,jie'chu'gu'zhang
接触面积,jie'chu'mian'ji
接触面压力,jie'chu'mian'ya'li
接触粘结剂,jie'chu'nian'jie'ji
接触器,jie'chu'qi
接待室,jie'dai'shi
街道照明,jie'dao'zhao'ming
街道照明单元,jie'dao'zhao'ming'dan'yuan
街道照明设备,jie'dao'zhao'ming'she'bei
街道照明系统,jie'dao'zhao'ming'xi'tong
接地,jie'di
接地板,jie'di'ban
接地棒,jie'di'bang
接地保护,jie'di'bao'hu
接地保护装置,jie'di'bao'hu'zhuang'zhi
接地电极,jie'di'dian'ji
接地电路,jie'di'dian'lu
接地故障,jie'di'gu'zhang
接地开关,jie'di'kai'guan
接地母线,jie'di'mu'xian
接地式插头,jie'di'shi'cha'tou
接地系统,jie'di'xi'tong
接地线,jie'di'xian
结构,jie'gou
结构工程师,jie'gou'gong'cheng'shi
结构工程学,jie'gou'gong'cheng'xue
结构设计,jie'gou'she'ji
结构设计规范,jie'gou'she'ji'gui'fan
结构设计图,jie'gou'she'ji'tu
结构设计语言,jie'gou'she'ji'yu'yan
结核病疗养院,jie'he'bing'liao'yang'yuan
结核病院,jie'he'bing'yuan
结合层,jie'he'ceng
