阿斗,a'dou
杀吧,sha'ba
杀当闪,sha'dang'shan
杀很大,sha'hen'da
杀闪桃,sha'shan'tao
杀死,sha'si
杀我,sha'wo
杀我神技,sha'wo'shen'ji
山包,shan'bao
闪当杀,shan'dang'sha
闪电,shan'dian
伤害结束时,shang'hai'jie'shu'shi
伤害结算开始时,shang'hai'jie'suan'kai'shi'shi
伤害来源,shang'hai'lai'yuan
伤逝,shang'shi
伤一敌可连其百,shang'yi'di'ke'lian'qi'bai
少年将军,shao'nian'jiang'jun
勺子妞,shao'zi'niu
涉猎,she'lie
射马,she'ma
射人先射马,she'ren'xian'she'ma
舍生取义,she'sheng'qu'yi
神曹,shen'cao
神曹操,shen'cao'cao
神出鬼没,shen'chu'gui'mo
神愤,shen'fen
神粪,shen'fen
身份局,shen'fen'ju
身份牌,shen'fen'pai
神关羽,shen'guan'yu
神鬼莫测,shen'gui'mo'ce
神话再临,shen'hua'zai'lin
神戟,shen'ji
神级技能,shen'ji'ji'neng
神级武将,shen'ji'wu'jiang
神将,shen'jiang
神吕,shen'lv
神吕布,shen'lv'bu
神吕蒙,shen'lv'meng
神马此地叫麦城,shen'ma'ci'di'jiao'mai'cheng
什么此地叫麦城,shen'me'ci'di'jiao'mai'cheng
神势力,shen'shi'li
神司马,shen'si'ma
神司马懿,shen'si'ma'yi
神速,shen'su
神威,shen'wei
神威如龙,shen'wei'ru'long
神医,shen'yi
神赵,shen'zhao
神赵云,shen'zhao'yun
神智,shen'zhi
神周,shen'zhou
神周瑜,shen'zhou'yu
神诸葛,shen'zhu'ge
神诸葛亮,shen'zhu'ge'liang
盛大,sheng'da
圣光之国士,sheng'guang'zhi'guo'shi
剩余体力,sheng'yu'ti'li
恃才放旷,shi'cai'fang'kuang
石城侯,shi'cheng'hou
十甘九反,shi'gan'jiu'fan
时机,shi'ji
事件,shi'jian
势力,shi'li
失礼了,shi'li'le
失去牌,shi'qu'pai
失去体力,shi'qu'ti'li
势如破竹,shi'ru'po'zhu
誓死除奸恶,shi'si'chu'jian'e
视为,shi'wei
嗜血成性,shi'xue'cheng'xing
嗜血的独狼,shi'xue'de'du'lang
失血过多了,shi'xue'guo'duo'le
使用,shi'yong
恃勇,shi'yong
实在是杀不动啦,shi'zai'shi'sha'bu'dong'la
实在是守不住了,shi'zai'shi'shou'bu'zhu'le
受到伤害时,shou'dao'shang'hai'shi
受困天子,shou'kun'tian'zi
收南蛮,shou'nan'man
手牌,shou'pai
手牌上限,shou'pai'shang'xian
收人,shou'ren
受伤,shou'shang
收万箭,shou'wan'jian
手眼通天,shou'yan'tong'tian
鼠辈竟敢伤我,shu'bei'jing'gan'shang'wo
蜀国,shu'guo
蜀汉的辅异,shu'han'de'fu'yi
蜀汉的辅翼,shu'han'de'fu'yi
蜀黑,shu'hei
蜀将,shu'jiang
蜀将何在,shu'jiang'he'zai
淑慎,shu'shen
蜀孙尚香,shu'sun'shang'xiang
蜀香,shu'xiang
属性伤害,shu'xing'shang'hai
数值,shu'zhi
蜀之霸者,shu'zhi'ba'zhe
蜀之武者,shu'zhi'wu'zhe
双将,shuang'jiang
双将模式,shuang'jiang'mo'shi
双内局,shuang'nei'ju
双乔,shuang'qiao
双刃,shuang'ren
双雄,shuang'xiong
双叶松,shuang'ye'song
谁的无懈,shui'de'wu'xie
谁敢杀我,shui'gan'sha'wo
谁敢杀我啊,shui'gan'sha'wo'a
睡觉,shui'jiao
谁来和我大战三百回合,shui'lai'he'wo'da'zhan'san'bai'hui'he
谁楞挡我,shui'leng'dang'wo
谁能挡我,shui'neng'dang'wo
水淹七军,shui'yan'qi'jun
顺兵粮,shun'bing'liang
顺盾,shun'dun
顺乐,shun'le
顺马,shun'ma
顺手,shun'shou
顺手牌,shun'shou'pai
顺手牵羊,shun'shou'qian'yang
顺武器,shun'wu'qi
四号位,si'hao'wei
伺机待发,si'ji'dai'fa
死谏,si'jian
四禁,si'jin
司马文若,si'ma'wen'ruo
司马懿,si'ma'yi
四面都是水我命休矣,si'mian'dou'shi'shui'wo'ming'xiu'yi
四世三公,si'shi'san'gong
死亡,si'wang
肆无忌惮,si'wu'ji'dan
四血,si'xue
死忠内,si'zhong'nei
颂词,song'ci
送闪,song'shan
颂威,song'wei
速战速决,su'zhan'su'jue
素资,su'zi
算无遗策,suan'wu'yi'ce
随势,sui'shi
岁在甲子天下大吉,sui'zai'jia'zi'tian'xia'da'ji
孙笨,sun'ben
孙策,sun'ce
孙坚,sun'jian
孙权,sun'quan
孙尚香,sun'shang'xiang
损失体力,sun'shi'ti'li
孙枣,sun'zao
锁定技,suo'ding'ji
抬榇之悟,tai'chen'zhi'wu
太平道人,tai'ping'dao'ren
太史慈,tai'shi'ci
桃花僧,tao'hua'seng
逃跑,tao'pao
桃王,tao'wang
桃仙,tao'xian
桃园,tao'yuan
桃园结义,tao'yuan'jie'yi
特殊武将,te'shu'wu'jiang
藤甲,teng'jia
藤甲兵,teng'jia'bing
替换,ti'huan
体力,ti'li
体力流失,ti'li'liu'shi
体力牌,ti'li'pai
体力上限,ti'li'shang'xian
替我挡着,ti'wo'dang'zhe
天道威仪,tian'dao'wei'yi
天妒,tian'du
田丰,tian'feng
天公将军,tian'gong'jiang'jun
天火燎原,tian'huo'liao'yuan
天空之城,tian'kong'zhi'cheng
天命,tian'ming
天命哈哈哈哈,tian'ming'ha'ha'ha'ha
天谴,tian'qian
天下大事为我所控,tian'xia'da'shi'wei'wo'suo'kong
天下大势为我所控,tian'xia'da'shi'wei'wo'suo'kong
天香,tian'xiang
天香雷击加刚烈,tian'xiang'lei'ji'jia'gang'lie
天义,tian'yi
跳反,tiao'fan
跳过,tiao'guo
跳内,tiao'nei
挑衅,tiao'xin
跳忠,tiao'zhong
铁骑,tie'qi
铁索,tie'suo
铁索连环,tie'suo'lian'huan
铁锁连舟,tie'suo'lian'zhou
同疾,tong'ji
铜雀台,tong'que'tai
通通连起来吧,tong'tong'lian'qi'lai'ba
偷牌,tou'pai
突袭,tu'xi
突张奇甘,tu'zhang'qi'gan
屯牌,tun'pai
屯田,tun'tian
托管,tuo'guan
托管内,tuo'guan'nei
万夫不当,wan'fu'bu'dang
万箭,wan'jian
万箭齐发,wan'jian'qi'fa
婉容,wan'rong
完杀,wan'sha
王异,wang'yi
妄尊,wang'zun
王佐之才,wang'zuo'zhi'cai
魏蔡文姬,wei'cai'wen'ji
伪帝,wei'di
魏关羽,wei'guan'yu
魏国,wei'guo
魏贾诩,wei'jia'xu
魏将,wei'jiang
魏将何在,wei'jiang'he'zai
帷幕,wei'mu
魏庞德,wei'pang'de
魏文帝,wei'wen'di
唯我独尊,wei'wo'du'zun
魏武帝,wei'wu'di
魏武之刚,wei'wu'zhi'gang
惟贤惟德能服于人,wei'xian'wei'de'neng'fu'yu'ren
惟贤惟德仁服于人,wei'xian'wei'de'ren'fu'yu'ren
魏延,wei'yan
唯有杜康,wei'you'du'kang
魏之霸者,wei'zhi'ba'zhe
魏之武者,wei'zhi'wu'zhe
文丑,wen'chou
文功,wen'gong
文聘,wen'pin
我当要替天行道,wo'dang'yao'ti'tian'xing'dao
我的计谋竟被,wo'de'ji'mou'jing'bei
我还是太年轻了,wo'hai'shi'tai'nian'qing'le
我绝不会倒下,wo'jue'bu'hui'dao'xia
卧龙,wo'long
卧龙诸葛,wo'long'zhu'ge
卧龙诸葛亮,wo'long'zhu'ge'liang
我先休息一会,wo'xian'xiu'xi'yi'hui
我先休息一会儿,wo'xian'xiu'xi'yi'hui'er
我要杀你们个片甲不留,wo'yao'sha'ni'men'ge'pian'jia'bu'liu
我永不背弃,wo'yong'bu'bei'qi
武的化身,wu'de'hua'shen
五灯土豪,wu'deng'tu'hao
五谷,wu'gu
五谷丰登,wu'gu'feng'deng
吴国,wu'guo
吴国太,wu'guo'tai
五号位,wu'hao'wei
武魂,wu'hun
武姬,wu'ji
武继,wu'ji
吴将,wu'jiang
武将,wu'jiang
武将技,wu'jiang'ji
武将牌,wu'jiang'pai
武将牌的处理,wu'jiang'pai'de'chu'li
无尽的鞭挞,wu'jin'de'bian'ta
无尽的挣扎,wu'jin'de'zheng'zha
武烈帝,wu'lie'di
武烈皇后,wu'lie'huang'hou
吴六剑,wu'liu'jian
吾们乃河北上将颜良文丑是也,wu'men'nai'he'bei'shang'jiang'yan'liang'wen'chou'shi'ye
无冕之后,wu'mian'zhi'hou
无谋,wu'mou
武器,wu'qi
无前,wu'qian
五人局,wu'ren'ju
无色,wu'se
无色杀,wu'se'sha
吾擅于千里袭人,wu'shan'yu'qian'li'xi'ren
武神,wu'shen
武圣,wu'sheng
武圣显灵,wu'sheng'xian'ling
无视,wu'shi
无视防具,wu'shi'fang'ju
无双,wu'shuang
无为的真命主,wu'wei'de'zhen'ming'zhu
无效,wu'xiao
无懈,wu'xie
无懈的快点,wu'xie'de'kuai'dian
无懈可击,wu'xie'ke'ji
无懈可击国,wu'xie'ke'ji'guo
五血,wu'xue
武勋,wu'xun
无言,wu'yan
吴之霸者,wu'zhi'ba'zhe
吴之武者,wu'zhi'wu'zhe
五中,wu'zhong
无中,wu'zhong
无中生有,wu'zhong'sheng'you
西凉的猛狮,xi'liang'de'meng'shi
吸血,xi'xue
下次注意点,xia'ci'zhu'yi'dian
夏侯霸,xia'hou'ba
夏侯惇,xia'hou'dun
夏侯渊,xia'hou'yuan
下家,xia'jia
先拔头筹,xian'ba'tou'chou
险不辞难,xian'bu'ci'nan
现存角色,xian'cun'jue'se
限定技,xian'ding'ji
先发制人,xian'fa'zhi'ren
先锋,xian'feng
羡慕吧,xian'mu'ba
陷嗣,xian'si
先谢郭嘉,xian'xie'guo'jia
陷阵,xian'zhen
享乐,xiang'le
香蒲神殇,xiang'pu'shen'shang
相同花色,xiang'tong'hua'se
相同颜色,xiang'tong'yan'se
香香,xiang'xiang
响应,xiang'ying
小关张,xiao'guan'zhang
效果,xiao'guo
骁果,xiao'guo
枭姬,xiao'ji
小立,xiao'li
小内,xiao'nei
小乔,xiao'qiao
小试牛刀,xiao'shi'niu'dao
骁袭,xiao'xi
小莘,xiao'xin
小有名气,xiao'you'ming'qi
小诸葛,xiao'zhu'ge
挟缠,xie'chan
邪灵入梦,xie'ling'ru'meng
新生,xin'sheng
新手场,xin'shou'chang
心惔,xin'tan
心战,xin'zhan
性别,xing'bie
行动顺序,xing'dong'shun'xu
行殇,xing'shang
星舞,xing'wu
雄异,xiong'yi
休教天下人负我,xiu'jiao'tian'xia'ren'fu'wo
修罗,xiu'luo
修罗之道,xiu'luo'zhi'dao
许褚,xu'chu
徐晃,xu'huang
徐盛,xu'sheng
徐庶,xu'shu
许坦,xu'tan
旋风,xuan'feng
眩惑,xuan'huo
选择目标的个数上限,xuan'ze'mu'biao'de'ge'shu'shang'xian
选择一项,xuan'ze'yi'xiang
血祭,xue'ji
雪君,xue'jun
血裔,xue'yi
荀攸,xun'you
荀彧,xun'yu
哑巴,ya'ba
延祸,yan'huo
颜良,yan'liang
颜良文丑,yan'liang'wen'chou
掩其无备,yan'qi'wu'bei
燕人的咆哮,yan'ren'de'pao'xiao
颜色,yan'se
延时类锦囊,yan'shi'lei'jin'nang
延时类锦囊牌,yan'shi'lei'jin'nang'pai
颜文,yan'wen
严整,yan'zheng
杨修,yang'xiu
耀武,yao'wu
也好,ye'hao
野心渐增,ye'xin'jian'zeng
野性的女王,ye'xing'de'nv'wang
业炎,ye'yan
一波流,yi'bo'liu
移出游戏,yi'chu'you'xi
依次,yi'ci
一次伤害,yi'ci'shang'hai
义从,yi'cong
以德服人,yi'de'fu'ren
移动,yi'dong
一分内,yi'fen'nei
一夫当关,yi'fu'dang'guan
一鼓作气,yi'gu'zuo'qi
一号位,yi'hao'wei
移花接木,yi'hua'jie'mu
遗计,yi'ji
一将,yi'jiang
一将成名,yi'jiang'cheng'ming
已经尽力了,yi'jing'jin'li'le
一骑当千,yi'qi'dang'qian
一骑讨,yi'qi'tao
已损失的体力值,yi'sun'shi'de'ti'li'zhi
以我之真气,yi'wo'zhi'zhen'qi
以我之真气合天地之造化,yi'wo'zhi'zhen'qi'he'tian'di'zhi'zao'hua
异乡的孤女,yi'xiang'de'gu'nv
异性角色,yi'xing'jue'se
以逸待劳,yi'yi'dai'lao
一张牌,yi'zhang'pai
医者不能自医啊,yi'zhe'bu'neng'zi'yi'a
毅重,yi'zhong
异族之愤,yi'zu'zhi'fen
因祸得福,yin'huo'de'fu
姻礼,yin'li
银月枪,yin'yue'qiang
影兵,ying'bing
樱花闪乱,ying'hua'shan'luan
英魂,ying'hun
英雄杀,ying'xiong'sha
英姿,ying'zi
用兵有方,yong'bing'you'fang
勇猛过人,yong'meng'guo'ren
庸肆,yong'si
用语集,yong'yu'ji
游卡,you'ka
有难同当,you'nan'tong'dang
游戏的流程,you'xi'de'liu'cheng
游戏结束,you'xi'jie'shu
游戏开始,you'xi'kai'shi
游戏流程,you'xi'liu'cheng
游戏牌,you'xi'pai
游戏牌的处理,you'xi'pai'de'chu'li
有勇无谋,you'yong'wu'mou
优游风议,you'you'feng'yi
御策,yu'ce
羽柴文理,yu'chai'wen'li
虞翻,yu'fan
浴火重生,yu'huo'chong'sheng
于吉,yu'ji
于禁,yu'jin
与世不侵,yu'shi'bu'qin
玉玺在手天下我有,yu'xi'zai'shou'tian'xia'wo'you
援护,yuan'hu
远交近攻,yuan'jiao'jin'gong
袁绍,yuan'shao
袁术,yuan'shu
越老越要补啊,yue'lao'yue'yao'bu'a
月英,yue'ying
月月,yue'yue
运筹帷幄,yun'chou'wei'wo
再起,zai'qi
在血和爱的深渊里,zai'xue'he'ai'de'shen'yuan'li
在血和暗的深渊里,zai'xue'he'an'de'shen'yuan'li
造成伤害,zao'cheng'shang'hai
造成伤害后,zao'cheng'shang'hai'hou
造成伤害时,zao'cheng'shang'hai'shi
早睡早起方能养生,zao'shui'zao'qi'fang'neng'yang'sheng
凿险,zao'xian
早终的先知,zao'zhong'de'xian'zhi
战场新兵,zhan'chang'xin'bing
战功称号,zhan'gong'cheng'hao
战神,zhan'shen
展示,zhan'shi
丈八,zhang'ba
丈八蛇矛,zhang'ba'she'mao
张宝,zhang'bao
张春华,zhang'chun'hua
张飞,zhang'fei
张郃,zhang'he
张颌,zhang'he
张合理,zhang'he'li
张角,zhang'jiao
张辽,zhang'liao
张帅,zhang'shuai
章鱼,zhang'yu
张昭张纮,zhang'zhao'zhang'hong
爪黄飞电,zhao'huang'fei'dian
昭烈皇后,zhao'lie'huang'hou
赵云,zhao'yun
赵云帝,zhao'yun'di
这红脸长须大将是,zhe'hong'lian'chang'xu'da'jiang'shi
浙媒,zhe'mei
甄姬,zhen'ji
贞烈,zhen'lie
真没想到,zhen'mei'xiang'dao
甄女王,zhen'nv'wang
镇卫,zhen'wei
政法饼牟,zheng'fa'bing'mou
挣扎吧,zheng'zha'ba
挣扎吧在血和暗的深渊里,zheng'zha'ba'zai'xue'he'an'de'shen'yuan'li
制霸,zhi'ba
智迟,zhi'chi
直捣黄龙,zhi'dao'huang'long
制衡,zhi'heng
志继,zhi'ji
知己知彼,zhi'ji'zhi'bi
直谏,zhi'jian
指囷相赠,zhi'qun'xiang'zeng
炙日,zhi'ri
置入弃牌堆,zhi'ru'qi'pai'dui
至圣至明,zhi'sheng'zhi'ming
知天下之大事,zhi'tian'xia'zhi'da'shi
知天易逆天难,zhi'tian'yi'ni'tian'nan
直言,zhi'yan
质疑,zhi'yi
智勇双全,zhi'yong'shuang'quan
智愚,zhi'yu
置于,zhi'yu
忠臣,zhong'chen
忠臣孝子,zhong'chen'xiao'zi
仲达与孔明,zhong'da'yu'kong'ming
忠肝义胆,zhong'gan'yi'dan
钟会,zhong'hui
中级杀手,zhong'ji'sha'shou
仲家的主将,zhong'jia'de'zhu'jiang
仲家帝,zhong'jia'di
中坚,zhong'jian
忠孝的侠士,zhong'xiao'de'xia'shi
忠心耿耿,zhong'xin'geng'geng
忠义,zhong'yi
忠装反,zhong'zhuang'fan
咒缚,zhou'fu
周苛之节,zhou'ke'zhi'jie
舟山骐娱,zhou'shan'qi'yu
周泰,zhou'tai
周亚夫之风,zhou'ya'fu'zhi'feng
周瑜,zhou'yu
诸葛,zhu'ge
诸葛瑾,zhu'ge'jin
诸葛恪,zhu'ge'ke
诸葛连弩,zhu'ge'lian'nu
诸葛亮,zhu'ge'liang
主公,zhu'gong
主公技,zhu'gong'ji
主公快走,zhu'gong'kuai'zou
主公要臣死臣不得不死,zhu'gong'yao'chen'si'chen'bu'de'bu'si
珠联璧合,zhu'lian'bi'he
朱雀,zhu'que
朱雀星君,zhu'que'xing'jun
朱雀羽扇,zhu'que'yu'shan
朱然,zhu'ran
祝融,zhu'rong
主帅,zhu'shuai
转移,zhuan'yi
装备牌,zhuang'bei'pai
装备区,zhuang'bei'qu
装忠,zhuang'zhong
惴恐,zhui'kong
追忆,zhui'yi
准备阶段,zhun'bei'jie'duan
准备阶段开始时,zhun'bei'jie'duan'kai'shi'shi
桌游志,zhuo'you'zhi
自立,zi'li
自守,zi'shou
紫骍,zi'xing
宗室,zong'shi
纵适,zong'shi
纵玄,zong'xuan
邹氏,zou'shi
最强神话,zui'qiang'shen'hua
醉乡,zui'xiang
左慈,zuo'ci
坐骑,zuo'qi
