安得广厦千万间,an'de'guang'sha'qian'wan'jian
有亭翼然临于泉上者,you'ting'yi'ran'lin'yu'quan'shang'zhe
悠悠,you'you
游鱼细石,you'yu'xi'shi
欲辨已忘言,yu'bian'yi'wang'yan
予尝求古仁人之心,yu'chang'qiu'gu'ren'ren'zhi'xin
余朝京师,yu'chao'jing'shi
欲出不得,yu'chu'bu'de
余弟宗玄,yu'di'zong'xuan
欲渡黄河冰塞川,yu'du'huang'he'bing'sai'chuan
渔歌互答,yu'ge'hu'da
余故道为学之难以告之,yu'gu'dao'wei'xue'zhi'nan'yi'gao'zhi
予观夫巴陵胜状,yu'guan'fu'ba'ling'sheng'zhuang
余寒犹厉,yu'han'you'li
雨脚如麻未断绝,yu'jiao'ru'ma'wei'duan'jue
余立侍左右,yu'li'shi'zuo'you
伛偻提携,yu'lv'ti'xie
玉盘珍馐直万钱,yu'pan'zhen'xiu'zhi'wan'qian
于是,yu'shi
余因得遍观群书,yu'yin'de'bian'guan'qun'shu
余幼时即嗜学,yu'you'shi'ji'shi'xue
郁郁青青,yu'yu'qing'qing
余则緼袍敝衣处其间,yu'ze'wen'pao'bi'yi'chu'qi'jian
玉枕纱厨,yu'zhen'sha'chu
与之论辨,yu'zhi'lun'bian
与朱元思书,yu'zhu'yuan'si'shu
鸢飞戾天者,yuan'fei'li'tian'zhe
袁宏道,yuan'hong'dao
元是今朝斗草赢,yuan'shi'jin'zhao'dou'cao'ying
援疑质理,yuan'yi'zhi'li
猿则百叫无绝,yuan'ze'bai'jiao'wu'jue
曰,yue
曰奉壹,yue'feng'yi
越明年,yue'ming'nian
曰恕己,yue'shu'ji
岳阳楼记,yue'yang'lou'ji
月夜,yue'ye
月有阴晴圆缺,yue'you'yin'qing'yuan'que
云归而岩穴暝,yun'gui'er'yan'xue'ming
杂然而前陈者,za'ran'er'qian'chen'zhe
在洞庭一湖,zai'dong'ting'yi'hu
在乎山水之间也,zai'hu'shan'shui'zhi'jian'ye
在昼犹昏,zai'zhou'you'hun
暂凭杯酒长精神,zan'ping'bei'jiu'chang'jing'shen
赞曰,zan'yue
造饮辄尽,zao'yin'zhe'jin
则心不若余之专耳,ze'xin'bu'ruo'yu'zhi'zhuan'er
则又请焉,ze'you'qing'yan
则有去国怀乡,ze'you'qu'guo'huai'xiang
则有心旷神怡,ze'you'xin'kuang'shen'yi
增其旧制,zeng'qi'jiu'zhi
宅边有五柳树,zhai'bian'you'wu'liu'shu
张养浩,zhang'yang'hao
朝晖夕阴,zhao'hui'xi'yin
照无眠,zhao'wu'mian
折戟沉沙铁未销,zhe'ji'chen'sha'tie'wei'xiao
争高直指,zheng'gao'zhi'zhi
政通人和,zheng'tong'ren'he
执策而临之,zhi'ce'er'lin'zhi
直挂云帆济沧海,zhi'gua'yun'fan'ji'cang'hai
枳花照驿墙,zhi'hua'zhao'yi'qiang
至满井,zhi'man'jing
至若春和景明,zhi'ruo'chun'he'jing'ming
至舍,zhi'she
直视无碍,zhi'shi'wu'ai
只有香如故,zhi'you'xiang'ru'gu
至于负者歌于途,zhi'yu'fu'zhe'ge'yu'tu
众宾欢也,zhong'bin'huan'ye
中军置酒饮归客,zhong'jun'zhi'jiu'yin'gui'ke
撰长书以为贽,zhuan'chang'shu'yi'wei'zhi
转朱阁,zhuan'zhu'ge
浊浪排空,zhuo'lang'pai'kong
自富阳至桐庐,zi'fu'yang'zhi'tong'lu
自将磨洗认前朝,zi'jiang'mo'xi'ren'qian'chao
自经丧乱少睡眠,zi'jing'sang'luan'shao'shui'mian
自谓少时用心于学甚劳,zi'wei'shao'shi'yong'xin'yu'xue'shen'lao
走送了,zou'song'le
足肤皲裂而不知,zu'fu'jun'lie'er'bu'zhi
卒获有所闻,zu'huo'you'suo'wen
足蒸暑土气,zu'zheng'shu'tu'qi
醉花阴,zui'hua'yin
醉能同其乐,zui'neng'tong'qi'le
醉翁亭记,zui'weng'ting'ji
醉翁亭也,zui'weng'ting'ye
醉翁之意不在酒,zui'weng'zhi'yi'bu'zai'jiu
左臂悬敝筐,zuo'bi'xuan'bi'kuang
作此篇,zuo'ci'pian
坐大厦之下而诵诗书,zuo'da'sha'zhi'xia'er'song'shi'shu
左佩刀,zuo'pei'dao
坐起而喧哗者,zuo'qi'er'xuan'hua'zhe
坐潭上,zuo'tan'shang
作亭者谁,zuo'ting'zhe'shui
作则飞沙走砾,zuo'ze'fei'sha'zou'li
