阿尔当,a'er'dang
雪域山珍,xue'yu'shan'zhen
演武,yan'wu
样尔沟,yang'er'gou
杨家,yang'jia
杨家街,yang'jia'jie
杨麻子大饼,yang'ma'zi'da'bing
杨木林子,yang'mu'lin'zi
痒序园超市,yang'xu'yuan'chao'shi
样子沟,yang'zi'gou
腰堡,yao'bao
姚家,yao'jia
腰岭子,yao'ling'zi
腰站,yao'zhan
夜海沟,ye'hai'gou
夜上海酒店,ye'shang'hai'jiu'dian
谊都大酒店,yi'dou'da'jiu'dian
宜多超市,yi'duo'chao'shi
艺术大酒店,yi'shu'da'jiu'dian
已烯,yi'xi
乙烯宾馆,yi'xi'bin'guan
银河湾,yin'he'wan
尹家,yin'jia
迎宾大酒店,ying'bin'da'jiu'dian
英得堡,ying'de'bao
营东站,ying'dong'zhan
英额门站,ying'e'men'zhan
营盘,ying'pan
营盘站,ying'pan'zhan
英守堡子,ying'shou'bu'zi
英盈,ying'ying
永安饺子园,yong'an'jiao'zi'yuan
永安台,yong'an'tai
雍萃家园,yong'cui'jia'yuan
涌金美食府,yong'jin'mei'shi'fu
永陵,yong'ling
永陵镇,yong'ling'zhen
友爱,you'ai
油房,you'fang
油芦沟,you'lu'gou
友宁酒店,you'ning'jiu'dian
友谊宾馆,you'yi'bin'guan
于家,yu'jia
于井沟村,yu'jing'gou'cun
于井沟上堡,yu'jing'gou'shang'bao
御口福海鲜饺子,yu'kou'fu'hai'xian'jiao'zi
榆林,yu'lin
榆林站,yu'lin'zhan
御龙湾小区,yu'long'wan'xiao'qu
渔人码头,yu'ren'ma'tou
榆树,yu'shu
榆树沟村,yu'shu'gou'cun
御香阁,yu'xiang'ge
郁香亭大酒店,yu'xiang'ting'da'jiu'dian
于小堡,yu'xiao'bao
远航宾馆,yuan'hang'bin'guan
元龙山,yuan'long'shan
袁庙村,yuan'miao'cun
元帅林,yuan'shuai'lin
元帅林森林公园,yuan'shuai'lin'sen'lin'gong'yuan
悦竹超市,yue'zhu'chao'shi
云母矿,yun'mu'kuang
咱家府大酒店,za'jia'fu'da'jiu'dian
泽麟小区,ze'lin'xiao'qu
站前,zhan'qian
站前公交枢纽站,zhan'qian'gong'jiao'shu'niu'zhan
章党站,zhang'dang'zhan
张道沟,zhang'dao'gou
张二甸子,zhang'er'dian'zi
张胡子沟,zhang'hu'zi'gou
张家堡,zhang'jia'bao
章京,zhang'jing
张木沟,zhang'mu'gou
章堂,zhang'tang
张小堡,zhang'xiao'bao
赵尔台子,zhao'er'tai'zi
赵家,zhao'jia
照阳,zhao'yang
榛子沟,zhen'zi'gou
正大串吧烤肉城,zheng'da'chuan'ba'kao'rou'cheng
正宗贵州花江狗肉火锅城,zheng'zong'gui'zhou'hua'jiang'gou'rou'huo'guo'cheng
支家,zhi'jia
中葛,zhong'ge
中华民族村,zhong'hua'min'zu'cun
中华源,zhong'hua'yuan
中心屯,zhong'xin'tun
中兴时代广场,zhong'xing'shi'dai'guang'chang
朱官保,zhu'guan'bao
转水湖,zhuan'shui'hu
庄家,zhuang'jia
庄家沟,zhuang'jia'gou
紫花岭,zi'hua'ling
紫荆饭店,zi'jing'fan'dian
紫龙超市,zi'long'chao'shi
紫龙小区,zi'long'xiao'qu
自选商场,zi'xuan'shang'chang
