阿尔泰葱,a'er'tai'cong
单瓣李叶绣线菊,dan'ban'li'ye'xiu'xian'ju
单侧花,dan'ce'hua
弹刀子菜,dan'dao'zi'cai
丹东蒲公英,dan'dong'pu'gong'ying
丹东玄参,dan'dong'xuan'shen
淡花地杨梅,dan'hua'di'yang'mei
单花风铃草,dan'hua'feng'ling'cao
单花韭,dan'hua'jiu
单花忍冬,dan'hua'ren'dong
单花橐吾,dan'hua'tuo'wu
单花鸢尾,dan'hua'yuan'wei
淡花獐牙菜,dan'hua'zhang'ya'cai
淡黄花蒲公英,dan'huang'hua'pu'gong'ying
丹黄芪,dan'huang'qi
单茎柳叶菜,dan'jing'liu'ye'cai
弹裂碎米荠,dan'lie'sui'mi'ji
单瘤皱叶酸模,dan'liu'zhou'ye'suan'mo
单麻叶千里光,dan'ma'ye'qian'li'guang
单蕊败酱,dan'rui'bai'jiang
单蕊草,dan'rui'cao
丹参,dan'shen
单穗藨草,dan'sui'biao'cao
单穗飘拂草,dan'sui'piao'fu'cao
单穗升麻,dan'sui'sheng'ma
单穗薹草,dan'sui'tai'cao
单叶朝鲜天南星,dan'ye'chao'xian'tian'nan'xing
单叶毛茛,dan'ye'mao'gen
淡竹,dan'zhu
单子麻黄,dan'zi'ma'huang
党参,dang'shen
倒地铃,dao'di'ling
倒根蓼,dao'gen'liao
倒挂金钟,dao'gua'jin'zhong
倒挂铁角蕨,dao'gua'tie'jiao'jue
倒卵叶重楼,dao'luan'ye'chong'lou
倒披针叶谷柳,dao'pi'zhen'ye'gu'liu
德国鸢尾,de'guo'yuan'wei
等齿委陵菜,deng'chi'wei'ling'cai
等穗薹草,deng'sui'tai'cao
灯台树,deng'tai'shu
灯心草,deng'xin'cao
灯心草科,deng'xin'cao'ke
地丁草,di'ding'cao
地耳草,di'er'cao
地肤,di'fu
地构叶,di'gou'ye
地瓜苗,di'gua'miao
地黄,di'huang
地椒,di'jiao
地锦,di'jin
地蔷薇,di'qiang'wei
地梢瓜,di'shao'gua
低薹草,di'tai'cao
低滩苦荬菜,di'tan'ku'mai'cai
棣棠花,di'tang'hua
地杨梅,di'yang'mei
地榆,di'yu
点地梅,dian'di'mei
甸杜,dian'du
滇羌活,dian'qiang'huo
颠茄,dian'qie
甸生桦,dian'sheng'hua
垫状卷柏,dian'zhuang'juan'bai
蝶须,die'xu
丁香蓼,ding'xiang'liao
东北百合,dong'bei'bai'he
东北扁果草,dong'bei'bian'guo'cao
东北扁核木,dong'bei'bian'he'mu
东北扁莎,dong'bei'bian'sha
东北茶藨,dong'bei'cha'biao
东北长鞘当归,dong'bei'chang'qiao'dang'gui
东北长柱金丝桃,dong'bei'chang'zhu'jin'si'tao
东北赤杨,dong'bei'chi'yang
东北齿缘草,dong'bei'chi'yuan'cao
东北大花千里光,dong'bei'da'hua'qian'li'guang
东北大戟,dong'bei'da'ji
东北大叶毛茛,dong'bei'da'ye'mao'gen
东北点地梅,dong'bei'dian'di'mei
东北短柄草,dong'bei'duan'bing'cao
东北短肠蕨,dong'bei'duan'chang'jue
东北多足蕨,dong'bei'duo'zu'jue
东北峨参,dong'bei'e'can
东北蛾眉蕨,dong'bei'e'mei'jue
东北繁缕,dong'bei'fan'lv
东北飞蓬,dong'bei'fei'peng
东北风毛菊,dong'bei'feng'mao'ju
东北凤仙花,dong'bei'feng'xian'hua
东北高翠雀,dong'bei'gao'cui'que
东北鹤虱,dong'bei'he'shi
东北红豆杉,dong'bei'hong'dou'shan
东北蛔蒿,dong'bei'hui'hao
东北茴芹,dong'bei'hui'qin
东北假鳞毛蕨,dong'bei'jia'lin'mao'jue
东北接骨木,dong'bei'jie'gu'mu
东北堇菜,dong'bei'jin'cai
东北锦鸡儿,dong'bei'jin'ji'er
东北金鱼藻,dong'bei'jin'yu'zao
东北宽叶蓝刺头,dong'bei'kuan'ye'lan'ci'tou
东北拉拉藤,dong'bei'la'la'teng
东北雷公藤,dong'bei'lei'gong'teng
东北李,dong'bei'li
东北连翘,dong'bei'lian'qiao
东北蓼,dong'bei'liao
东北菱,dong'bei'ling
东北柳叶菜,dong'bei'liu'ye'cai
东北龙胆,dong'bei'long'dan
东北美丽茶藨,dong'bei'mei'li'cha'biao
东北牡蒿,dong'bei'mu'hao
东北牛防风,dong'bei'niu'fang'feng
东北牛尾菜,dong'bei'niu'wei'cai
东北婆婆纳,dong'bei'po'po'na
东北蒲公英,dong'bei'pu'gong'ying
东北槭,dong'bei'qi
东北三肋果,dong'bei'san'lei'guo
东北山黧豆,dong'bei'shan'li'dou
东北山马蝗,dong'bei'shan'ma'huang
东北山梅花,dong'bei'shan'mei'hua
东北石杉,dong'bei'shi'shan
东北石松,dong'bei'shi'song
东北鼠李,dong'bei'shu'li
东北鼠曲草,dong'bei'shu'qu'cao
东北水马齿,dong'bei'shui'ma'chi
东北溲疏,dong'bei'sou'shu
东北梭模,dong'bei'suo'mo
东北甜茅,dong'bei'tian'mao
东北天南星,dong'bei'tian'nan'xing
东北土当归,dong'bei'tu'dang'gui
东北委陵菜,dong'bei'wei'ling'cai
东北细叶沼柳,dong'bei'xi'ye'zhao'liu
东北小米草,dong'bei'xiao'mi'cao
东北杏,dong'bei'xing
东北绣线梅,dong'bei'xiu'xian'mei
东北玄参,dong'bei'xuan'shen
东北鸦葱,dong'bei'ya'cong
东北亚鳞毛蕨,dong'bei'ya'lin'mao'jue
东北延胡索,dong'bei'yan'hu'suo
东北眼子菜,dong'bei'yan'zi'cai
东北杨,dong'bei'yang
东北羊角芹,dong'bei'yang'jiao'qin
东北油柑,dong'bei'you'gan
东北郁李,dong'bei'yu'li
东北玉簪,dong'bei'yu'zan
东北越桔柳,dong'bei'yue'ju'liu
东北獐牙菜,dong'bei'zhang'ya'cai
东北沼委陵菜,dong'bei'zhao'wei'ling'cai
东方藨草,dong'fang'biao'cao
东方草莓,dong'fang'cao'mei
东方荚果蕨,dong'fang'jia'guo'jue
东方堇菜,dong'fang'jin'cai
东方蓼,dong'fang'liao
东方糖芥,dong'fang'tang'jie
东方五福花,dong'fang'wu'fu'hua
东方羊胡子草,dong'fang'yang'hu'zi'cao
东方野豌豆,dong'fang'ye'wan'dou
东风菜,dong'feng'cai
东沟柳,dong'gou'liu
冬瓜,dong'gua
东京樱花,dong'jing'ying'hua
东陵绣球,dong'ling'xiu'qiu
冬青卫矛,dong'qing'wei'mao
东亚市藜,dong'ya'shi'li
东亚唐棣,dong'ya'tang'di
东亚唐松草,dong'ya'tang'song'cao
东亚夏枯草,dong'ya'xia'ku'cao
东亚岩高兰,dong'ya'yan'gao'lan
东亚羊茅,dong'ya'yang'mao
冻原薹草,dong'yuan'tai'cao
东爪草,dong'zhao'cao
东紫堇,dong'zi'jin
豆茶决明,dou'cha'jue'ming
豆科,dou'ke
独根草,du'gen'cao
独角莲,du'jiao'lian
杜鹃花科,du'juan'hua'ke
杜梨,du'li
独丽花,du'li'hua
毒麦,du'mai
毒芹,du'qin
笃斯越桔,du'si'yue'ju
杜松,du'song
独行菜,du'xing'cai
杜仲,du'zhong
杜仲科,du'zhong'ke
短瓣金莲花,duan'ban'jin'lian'hua
短瓣蓍,duan'ban'shi
短苞毛榛,duan'bao'mao'zhen
短柄卫矛,duan'bing'wei'mao
短翅卫矛,duan'chi'wei'mao
短萼鸡眼草,duan'e'ji'yan'cao
短萼卷耳,duan'e'juan'er
短梗胡枝子,duan'geng'hu'zhi'zi
短梗箭头唐松草,duan'geng'jian'tou'tang'song'cao
短果杜鹃,duan'guo'du'juan
短黑三棱,duan'hei'san'leng
短花针茅,duan'hua'zhen'mao
短喙灯心草,duan'hui'deng'xin'cao
短尖飘拂草,duan'jian'piao'fu'cao
短颈东北菱,duan'jing'dong'bei'ling
短鳞薹草,duan'lin'tai'cao
短芒大麦草,duan'mang'da'mai'cao
短毛裂叶堇菜,duan'mao'lie'ye'jin'cai
短毛小叶杨,duan'mao'xiao'ye'yang
短毛野青茅,duan'mao'ye'qing'mao
短伞大叶柴胡,duan'san'da'ye'chai'hu
椴树科,duan'shu'ke
断穗狗尾草,duan'sui'gou'wei'cao
短穗看麦娘,duan'sui'kan'mai'niang
短穗香蒲,duan'sui'xiang'pu
短星菊,duan'xing'ju
短序长白地杨梅,duan'xu'chang'bai'di'yang'mei
短序大叶野豌豆,duan'xu'da'ye'ye'wan'dou
短序松江柳,duan'xu'song'jiang'liu
短序碎米荠,duan'xu'sui'mi'ji
短序歪头菜,duan'xu'wai'tou'cai
短柱朝鲜柳,duan'zhu'chao'xian'liu
短柱大叶芹,duan'zhu'da'ye'qin
短柱金丝桃,duan'zhu'jin'si'tao
短柱狼毒大戟,duan'zhu'lang'du'da'ji
短柱鹿蹄草,duan'zhu'lu'ti'cao
对开蕨,dui'kai'jue
对叶兰,dui'ye'lan
钝背草,dun'bei'cao
钝萼附地菜,dun'e'fu'di'cai
敦化乌头,dun'hua'wu'tou
钝尖铁角蕨,dun'jian'tie'jiao'jue
钝头假瘤蕨,dun'tou'jia'liu'jue
钝头眼子菜,dun'tou'yan'zi'cai
钝叶猫眼大戟,dun'ye'mao'yan'da'ji
钝叶瓦松,dun'ye'wa'song
多苞斑种草,duo'bao'ban'zhong'cao
多被银莲花,duo'bei'yin'lian'hua
多杆鹅观草,duo'gan'e'guan'cao
多花菜豆,duo'hua'cai'dou
多花地杨梅,duo'hua'di'yang'mei
多花黑麦草,duo'hua'hei'mai'cao
多花胡枝子,duo'hua'hu'zhi'zi
多花筋骨草,duo'hua'jin'gu'cao
多花麻花头,duo'hua'ma'hua'tou
多花水苋菜,duo'hua'shui'xian'cai
多茎委陵菜,duo'jing'wei'ling'cai
多茎野豌豆,duo'jing'ye'wan'dou
多裂朝鲜天南星,duo'lie'chao'xian'tian'nan'xing
多裂齿瓣延胡索,duo'lie'chi'ban'yan'hu'suo
多裂东北延胡索,duo'lie'dong'bei'yan'hu'suo
多裂乌头,duo'lie'wu'tou
多裂叶荆芥,duo'lie'ye'jing'jie
多裂阴地蕨,duo'lie'yin'di'jue
多毛稠李,duo'mao'chou'li
多毛蹄叶橐吾,duo'mao'ti'ye'tuo'wu
多歧沙参,duo'qi'sha'shen
多穗犬问荆,duo'sui'quan'wen'jing
多腺柳,duo'xian'liu
多型大蒜芥,duo'xing'da'suan'jie
多叶棘豆,duo'ye'ji'dou
多叶蓼,duo'ye'liao
多叶隐子草,duo'ye'yin'zi'cao
多枝返顾马先蒿,duo'zhi'fan'gu'ma'xian'hao
多枝剪股颖,duo'zhi'jian'gu'ying
多枝金腰,duo'zhi'jin'yao
多枝柳穿鱼,duo'zhi'liu'chuan'yu
多枝柳叶菜,duo'zhi'liu'ye'cai
多枝木贼,duo'zhi'mu'zei
多枝旋覆花,duo'zhi'xuan'fu'hua
鹅不食草,e'bu'shi'cao
峨参,e'can
鹅肠菜,e'chang'cai
额尔古纳薹草,e'er'gu'na'tai'cao
额尔古纳早熟禾,e'er'gu'na'zao'shu'he
鹅耳枥,e'er'li
鹅观草,e'guan'cao
峨眉蔷薇,e'mei'qiang'wei
额穆尔堇菜,e'mu'er'jin'cai
鹅绒藤,e'rong'teng
鹅绒委陵菜,e'rong'wei'ling'cai
鹅掌楸,e'zhang'qiu
二苞黄精,er'bao'huang'jing
二花六道木,er'hua'liu'dao'mu
耳基水苋菜,er'ji'shui'xian'cai
二列芥,er'lie'jie
二裂薹草,er'lie'tai'cao
耳菱,er'ling
二歧银莲花,er'qi'yin'lian'hua
二球悬铃木,er'qiu'xuan'ling'mu
二色补血草,er'se'bu'xue'cao
二色棘豆,er'se'ji'dou
二形薹草,er'xing'tai'cao
二叶兜被兰,er'ye'dou'bei'lan
耳叶蓼,er'ye'liao
二叶舌唇兰,er'ye'she'chun'lan
二叶舞鹤草,er'ye'wu'he'cao
耳叶蟹甲草,er'ye'xie'jia'cao
耳羽岩蕨,er'yu'yan'jue
二柱薹草,er'zhu'tai'cao
二籽薹草,er'zi'tai'cao
发草,fa'cao
翻白繁缕,fan'bai'fan'lv
翻白委陵菜,fan'bai'wei'ling'cai
翻白蚊子草,fan'bai'wen'zi'cao
反萼银莲花,fan'e'yin'lian'hua
返顾马先蒿,fan'gu'ma'xian'hao
番红花,fan'hong'hua
饭豇豆,fan'jiang'dou
繁缕,fan'lv
繁缕叶景天,fan'lv'ye'jing'tian
番茄,fan'qie
番薯,fan'shu
繁穗苋,fan'sui'xian
反枝苋,fan'zhi'xian
防风,fang'feng
防己科,fang'ji'ke
费菜,fei'cai
飞蓬,fei'peng
肥披碱草,fei'pi'jian'cao
肥皂草,fei'zao'cao
粉柏,fen'bai
粉报春,fen'bao'chun
分叉蓼,fen'cha'liao
粉红重瓣樱花,fen'hong'zhong'ban'ying'hua
粉花翠雀,fen'hua'cui'que
粉花金银忍冬,fen'hua'jin'yin'ren'dong
粉花绣线菊,fen'hua'xiu'xian'ju
粉花野芝麻,fen'hua'ye'zhi'ma
粉叶稠李,fen'ye'chou'li
粉枝柳,fen'zhi'liu
分枝杉叶藻,fen'zhi'shan'ye'zao
分株紫萁,fen'zhu'zi'qi
风车草,feng'che'cao
凤城栎,feng'cheng'li
风桦,feng'hua
风花菜,feng'hua'cai
凤凰堇菜,feng'huang'jin'cai
锋芒草,feng'mang'cao
风毛菊,feng'mao'ju
丰山云杉,feng'shan'yun'shan
风仙花,feng'xian'hua
凤仙花科,feng'xian'hua'ke
风箱果,feng'xiang'guo
凤眼莲,feng'yan'lian
枫杨,feng'yang
佛焰苞藨草,fo'yan'bao'biao'cao
附地菜,fu'di'cai
伏地蓼,fu'di'liao
伏毛北乌头,fu'mao'bei'wu'tou
浮毛茛,fu'mao'gen
伏毛山莓草,fu'mao'shan'mei'cao
覆盆子,fu'pen'zi
浮萍,fu'ping
浮萍科,fu'ping'ke
伏生阿尔泰狗娃花,fu'sheng'a'er'tai'gou'wa'hua
伏水碎米荠,fu'shui'sui'mi'ji
抚松乌头,fu'song'wu'tou
伏贴石杉,fu'tie'shi'shan
福王草,fu'wang'cao
伏委陵菜,fu'wei'ling'cai
复序橐吾,fu'xu'tuo'wu
浮叶眼子菜,fu'ye'yan'zi'cai
匐枝委陵菜,fu'zhi'wei'ling'cai
匐枝乌头,fu'zhi'wu'tou
匐枝银莲花,fu'zhi'yin'lian'hua
拂子茅,fu'zi'mao
甘草,gan'cao
甘菊,gan'ju
甘露子,gan'lu'zi
甘肃山楂,gan'su'shan'zha
甘野菊,gan'ye'ju
钢草,gang'cao
杠柳,gang'liu
刚毛委陵菜,gang'mao'wei'ling'cai
刚松,gang'song
刚竹,gang'zhu
高秆莎草,gao'gan'suo'cao
高梁,gao'liang
高岭风毛菊,gao'ling'feng'mao'ju
高岭蒿,gao'ling'hao
高帽乌头,gao'mao'wu'tou
高鞘薹草,gao'qiao'tai'cao
高山扁枝石松,gao'shan'bian'zhi'shi'song
高山糙苏,gao'shan'cao'su
高山笃斯越桔,gao'shan'du'si'yue'ju
高山二花六道木,gao'shan'er'hua'liu'dao'mu
高山红景天,gao'shan'hong'jing'tian
高山黄芪,gao'shan'huang'qi
高山卷耳,gao'shan'juan'er
高山库页堇菜,gao'shan'ku'ye'jin'cai
高山蓼,gao'shan'liao
高山龙胆,gao'shan'long'dan
高山露珠草,gao'shan'lu'zhu'cao
高山茅香,gao'shan'mao'xiang
高山芹,gao'shan'qin
高山瞿麦,gao'shan'qu'mai
高山日本蓝盆花,gao'shan'ri'ben'lan'pen'hua
高山蓍,gao'shan'shi
高山石竹,gao'shan'shi'zhu
高山唐松草,gao'shan'tang'song'cao
高山梯牧草,gao'shan'ti'mu'cao
高山铁线莲,gao'shan'tie'xian'lian
高山乌头,gao'shan'wu'tou
高山羊茅,gao'shan'yang'mao
高山紫菀,gao'shan'zi'wan
格尔里杨,ge'er'li'yang
格菱,ge'ling
隔山消,ge'shan'xiao
根叶漆姑草,gen'ye'qi'gu'cao
耿氏拂子茅,geng'shi'fu'zi'mao
弓角菱,gong'jiao'ling
弓嘴薹草,gong'zui'tai'cao
沟繁缕,gou'fan'lv
沟繁缕科,gou'fan'lv'ke
狗筋麦瓶草,gou'jin'mai'ping'cao
狗筋蔓,gou'jin'man
枸杞,gou'qi
狗舌草,gou'she'cao
构树,gou'shu
沟酸浆,gou'suan'jiang
狗娃花,gou'wa'hua
狗尾草,gou'wei'cao
钩腺大戟,gou'xian'da'ji
狗枣猕猴桃,gou'zao'mi'hou'tao
枸枳,gou'zhi
谷地蓼,gu'di'liao
谷精草科,gu'jing'cao'ke
谷柳,gu'liu
臌囊薹草,gu'nang'tai'cao
骨碎补,gu'sui'bu
骨碎补科,gu'sui'bu'ke
谷玄参,gu'xuan'shen
谷子,gu'zi
挂金灯酸浆,gua'jin'deng'suan'jiang
栝楼,gua'lou
瓜木,gua'mu
瓜子金,gua'zi'jin
拐芹当归,guai'qin'dang'gui
关苍术,guan'cang'zhu
关东丁香,guan'dong'ding'xiang
管花腹水草,guan'hua'fu'shui'cao
冠菱,guan'ling
冠芒草,guan'mang'cao
光苞蒲公英,guang'bao'pu'gong'ying
广布红门兰,guang'bu'hong'men'lan
广布鳞毛蕨,guang'bu'lin'mao'jue
广布野豌豆,guang'bu'ye'wan'dou
光叉叶委陵菜,guang'cha'ye'wei'ling'cai
光萼女娄菜,guang'e'nv'lou'cai
光萼青兰,guang'e'qing'lan
光稃茅香,guang'fu'mao'xiang
光梗鸭绿乌头,guang'geng'ya'lu'wu'tou
光果黄榆,guang'guo'huang'yu
光果江界柳,guang'guo'jiang'jie'liu
光果拉拉藤,guang'guo'la'la'teng
光果飘拂草,guang'guo'piao'fu'cao
光果屈枝虫实,guang'guo'qu'zhi'chong'shi
光果山棘豆,guang'guo'shan'ji'dou
光果唐松草,guang'guo'tang'song'cao
光果田麻,guang'guo'tian'ma
光果庭荠,guang'guo'ting'ji
光果葶苈,guang'guo'ting'li
光果乌头,guang'guo'wu'tou
光果细苞虫实,guang'guo'xi'bao'chong'shi
光果野罂粟,guang'guo'ye'ying'su
光果银莲花,guang'guo'yin'lian'hua
光华柳叶菜,guang'hua'liu'ye'cai
光花荵,guang'hua'ren
光碱蓬,guang'jian'peng
光茎铁苋菜,guang'jing'tie'xian'cai
光泡桐,guang'pao'tong
光砂蒿,guang'sha'hao
光穗冰草,guang'sui'bing'cao
光豨莶,guang'xi'xian
光岩蕨,guang'yan'jue
光叶春榆,guang'ye'chun'yu
光叶东北茶藨,guang'ye'dong'bei'cha'biao
光叶粉花绣线菊,guang'ye'fen'hua'xiu'xian'ju
光叶榉,guang'ye'ju
光叶山楂,guang'ye'shan'zha
光叶蛇葡萄,guang'ye'she'pu'tao
光叶蚊子草,guang'ye'wen'zi'cao
光叶眼子菜,guang'ye'yan'zi'cai
光颖水蜈蚣,guang'ying'shui'wu'gong
光轴鹅不食,guang'zhou'e'bu'shi
鬼灯檠,gui'deng'qing
櫰槐,gui'huai
鬼针草,gui'zhen'cao
桂竹,gui'zhu
过山蕨,guo'shan'jue
果羽叶千里光,guo'yu'ye'qian'li'guang
哈青杨,ha'qing'yang
海滨车前,hai'bin'che'qian
海滨黄芪,hai'bin'huang'qi
海滨柳穿鱼,hai'bin'liu'chuan'yu
海滨米口袋,hai'bin'mi'kou'dai
海滨山黧豆,hai'bin'shan'li'dou
海岛延胡索,hai'dao'yan'hu'suo
孩儿参,hai'er'can
海韭菜,hai'jiu'cai
海拉尔绣线菊,hai'la'er'xiu'xian'ju
海绿豆,hai'lv'dou
海绵基薹草,hai'mian'ji'tai'cao
海乳草,hai'ru'cao
海棠花,hai'tang'hua
海洋薹草,hai'yang'tai'cao
海州常山,hai'zhou'chang'shan
海州香薷,hai'zhou'xiang'ru
蔊菜,han'cai
汉城细辛,han'cheng'xi'xin
旱垂柳,han'chui'liu
旱快柳,han'kuai'liu
旱柳,han'liu
旱麦瓶草,han'mai'ping'cao
旱雀麦,han'que'mai
旱生点地梅,han'sheng'dian'di'mei
旱生卷柏,han'sheng'juan'bai
含羞草,han'xiu'cao
旱岩蕨,han'yan'jue
寒罂粟,han'ying'su
旱榆,han'yu
蒿柳,hao'liu
毫毛细柄茅,hao'mao'xi'bing'mao
蒿叶委陵菜,hao'ye'wei'ling'cai
貉藻,hao'zao
蒿子杆,hao'zi'gan
合瓣花,he'ban'hua
褐苞蒿,he'bao'hao
合苞菊,he'bao'ju
荷苞牡丹,he'bao'mu'dan
合苞橐吾,he'bao'tuo'wu
河北白喉乌头,he'bei'bai'hou'wu'tou
河北鹅观草,he'bei'e'guan'cao
河北假报春,he'bei'jia'bao'chun
河北梨,he'bei'li
河北杨,he'bei'yang
禾本科,he'ben'ke
禾繁缕,he'fan'lv
鹤甫碱茅,he'fu'jian'mao
禾秆蹄盖蕨,he'gan'ti'gai'jue
合欢,he'huan
褐毛蓝刺头,he'mao'lan'ci'tou
褐毛毛茛,he'mao'mao'gen
褐毛铁线莲,he'mao'tie'xian'lian
河南蛇藤,he'nan'she'teng
褐鞘蓼,he'qiao'liao
荷青花,he'qing'hua
河沙薹草,he'sha'tai'cao
和尚梨,he'shang'li
鹤虱,he'shi
河朔荛花,he'shuo'rao'hua
褐穗薹草,he'sui'tai'cao
合掌消,he'zhang'xiao
盒子草,he'zi'cao
黑谷精草,hei'gu'jing'cao
黑果茶藨,hei'guo'cha'biao
黑果茜草,hei'guo'qian'cao
黑果天栌,hei'guo'tian'lu
黑果栒子,hei'guo'xun'zi
黑蒿,hei'hao
黑桦,hei'hua
黑鳞短肠蕨,hei'lin'duan'chang'jue
黑龙江荆芥,hei'long'jiang'jing'jie
黑龙江香科科,hei'long'jiang'xiang'ke'ke
黑龙江杨,hei'long'jiang'yang
黑龙江野豌豆,hei'long'jiang'ye'wan'dou
黑麦,hei'mai
黑皮赤松,hei'pi'chi'song
黑皮油松,hei'pi'you'song
黑三棱,hei'san'leng
黑三棱科,hei'san'leng'ke
黑砂蒿,hei'sha'hao
黑水当归,hei'shui'dang'gui
黑水列当,hei'shui'lie'dang
黑水鳞毛蕨,hei'shui'lin'mao'jue
黑水菱,hei'shui'ling
黑水耧斗菜,hei'shui'lou'dou'cai
黑水酸模,hei'shui'suan'mo
黑水莎草,hei'shui'suo'cao
黑水薹草,hei'shui'tai'cao
黑水缬草,hei'shui'xie'cao
黑水亚麻,hei'shui'ya'ma
黑水岩茴香,hei'shui'yan'hui'xiang
黑水银莲花,hei'shui'yin'lian'hua
黑水罂粟,hei'shui'ying'su
黑穗薹草,hei'sui'tai'cao
黑穗透骨草,hei'sui'tou'gu'cao
黑心金光菊,hei'xin'jin'guang'ju
黑杨,hei'yang
黑樱桃,hei'ying'tao
黑榆,hei'yu
黑藻,hei'zao
红被松江蓼,hong'bei'song'jiang'liao
红被岩草蒲,hong'bei'yan'cao'pu
红碧桃,hong'bi'tao
红梣,hong'cen
红柴胡,hong'chai'hu
红车轴草,hong'che'zhou'cao
红丁香,hong'ding'xiang
红豆杉科,hong'dou'shan'ke
红梗蒲公英,hong'geng'pu'gong'ying
红果类叶升麻,hong'guo'lei'ye'sheng'ma
红槲栎,hong'hu'li
红桦,hong'hua
红花,hong'hua
红花朝鲜垂柳,hong'hua'chao'xian'chui'liu
红花锦鸡儿,hong'hua'jin'ji'er
红花龙须柳,hong'hua'long'xu'liu
红花鹿蹄草,hong'hua'lu'ti'cao
红花山毛桃,hong'hua'shan'mao'tao
红景天,hong'jing'tian
红茎委陵菜,hong'jing'wei'ling'cai
红轮狗舌草,hong'lun'gou'she'cao
红毛羊胡子草,hong'mao'yang'hu'zi'cao
红皮云杉,hong'pi'yun'shan
红鞘薹草,hong'qiao'tai'cao
红瑞木,hong'rui'mu
红色马先蒿,hong'se'ma'xian'hao
红睡莲,hong'shui'lian
红松,hong'song
红穗薹草,hong'sui'tai'cao
红纹马先蒿,hong'wen'ma'xian'hao
红心藜,hong'xin'li
红叶,hong'ye
红叶藜,hong'ye'li
红叶三色苋,hong'ye'san'se'xian
红紫斑风铃草,hong'zi'ban'feng'ling'cao
红足蒿,hong'zu'hao
厚皮哈青杨,hou'pi'ha'qing'yang
猴腿蹄盖蕨,hou'tui'ti'gai'jue
湖北海棠,hu'bei'hai'tang
虎耳草科,hu'er'cao'ke
虎耳鳞毛蕨,hu'er'lin'mao'jue
瓠瓜,hu'gua
湖瓜草,hu'gua'cao
槲寄生,hu'ji'sheng
槲栎,hu'li
葫芦,hu'lu
胡卢巴,hu'lu'ba
葫芦科,hu'lu'ke
忽略野青茅,hu'lue'ye'qing'mao
胡萝卜,hu'luo'bo
胡麻,hu'ma
呼玛柴胡,hu'ma'chai'hu
胡麻科,hu'ma'ke
呼玛柳,hu'ma'liu
虎氏荩草,hu'shi'jin'cao
槲树,hu'shu
胡桃,hu'tao
胡桃科,hu'tao'ke
胡桃楸,hu'tao'qiu
胡颓子科,hu'tui'zi'ke
虎尾草,hu'wei'cao
狐尾蓼,hu'wei'liao
虎尾铁角蕨,hu'wei'tie'jiao'jue
狐尾藻,hu'wei'zao
胡杨,hu'yang
互叶金腰,hu'ye'jin'yao
虎掌,hu'zhang
虎榛子,hu'zhen'zi
胡枝子,hu'zhi'zi
瓠子,hu'zi
华北薄鳞蕨,hua'bei'bo'lin'jue
华北耳蕨,hua'bei'er'jue
华北剪股颖,hua'bei'jian'gu'ying
华北金毛裸蕨,hua'bei'jin'mao'luo'jue
华北蓝盆花,hua'bei'lan'pen'hua
华北蓼,hua'bei'liao
华北鳞毛蕨,hua'bei'lin'mao'jue
华北耧斗菜,hua'bei'lou'dou'cai
华北薹草,hua'bei'tai'cao
华北糖芥,hua'bei'tang'jie
华北蹄盖蕨,hua'bei'ti'gai'jue
华北驼绒藜,hua'bei'tuo'rong'li
华北卫矛,hua'bei'wei'mao
华北乌头,hua'bei'wu'tou
华北绣线菊,hua'bei'xiu'xian'ju
华北岩黄芪,hua'bei'yan'huang'qi
华北珍珠梅,hua'bei'zhen'zhu'mei
华扁穗莞,hua'bian'sui'guan
华茶藨,hua'cha'biao
花菖蒲,hua'chang'pu
华虫实,hua'chong'shi
桦甸车前,hua'dian'che'qian
华东菝葜,hua'dong'ba'qia
华东藨草,hua'dong'biao'cao
华东蓝刺头,hua'dong'lan'ci'tou
华东蹄盖蕨,hua'dong'ti'gai'jue
花红,hua'hong
华黄芪,hua'huang'qi
华灰早熟禾,hua'hui'zao'shu'he
花椒,hua'jiao
滑茎薹草,hua'jing'tai'cao
花楷槭,hua'kai'qi
花拉拉藤,hua'la'la'teng
花蔺,hua'lin
花蔺科,hua'lin'ke
花锚,hua'mao
画眉草,hua'mei'cao
桦木科,hua'mu'ke
花木蓝,hua'mu'lan
华蒲公英,hua'pu'gong'ying
花旗竿,hua'qi'gan
花楸树,hua'qiu'shu
花曲柳,hua'qu'liu
花荵,hua'ren
花荵科,hua'ren'ke
华山松,hua'shan'song
华水苏,hua'shui'su
花穗水莎草,hua'sui'shui'suo'cao
花唐松草,hua'tang'song'cao
花烟草,hua'yan'cao
花叶丁香,hua'ye'ding'xiang
花叶荠菜,hua'ye'ji'cai
花沼繁缕,hua'zhao'fan'lv
华中铁角蕨,hua'zhong'tie'jiao'jue
花朱顶红,hua'zhu'ding'hong
花猪牙花,hua'zhu'ya'hua
槐叶苹,huai'ye'ping
槐叶苹科,huai'ye'ping'ke
还阳参,huan'yang'can
黄瓣糖芥,huang'ban'tang'jie
黄背草,huang'bei'cao
黄檗,huang'bo
黄菖蒲,huang'chang'pu
黄刺玫,huang'ci'mei
黄瓜,huang'gua
黄果长白忍冬,huang'guo'chang'bai'ren'dong
黄果龙葵,huang'guo'long'kui
黄花白头翁,huang'hua'bai'tou'weng
黄花宝铎草,huang'hua'bao'duo'cao
黄花补血草,huang'hua'bu'xue'cao
黄花刺茄,huang'hua'ci'qie
黄花葱,huang'hua'cong
