阿必的女性亚母亲,a'bi'de'nv'xing'ya'mu'qin
李佳骏,li'jia'jun
李建华,li'jian'hua
李洁尘,li'jie'chen
李洁茂,li'jie'mao
李金斗,li'jin'dou
李金宽,li'jin'kuan
李金祥,li'jin'xiang
李君梅,li'jun'mei
李逵探母,li'kui'tan'mu
李立山,li'li'shan
李连伟,li'lian'wei
李龙,li'long
李龙云,li'long'yun
李买刚,li'mai'gang
李明刚,li'ming'gang
李鸣歧,li'ming'qi
黎明之前,li'ming'zhi'qian
立秋,li'qiu
丽人行,li'ren'xing
李荣,li'rong
李如刚,li'ru'gang
李瑞丰,li'rui'feng
李润杰,li'run'jie
李珊,li'shan
李少卿,li'shao'qing
李少泉,li'shao'quan
李胜素,li'sheng'su
李士琦,li'shi'qi
李世续,li'shi'xu
李世增,li'shi'zeng
李寿芳,li'shou'fang
李寿清,li'shou'qing
李寿增,li'shou'zeng
李树仁,li'shu'ren
李松岩,li'song'yan
李天林,li'tian'lin
李桐文,li'tong'wen
李万兴,li'wan'xing
李伟,li'wei
李伟建,li'wei'jian
李维康,li'wei'kang
李文成,li'wen'cheng
李武,li'wu
利西翠妲,li'xi'cui'da
理想的丈夫,li'xiang'de'zhang'fu
李相友,li'xiang'you
李兴国,li'xing'guo
李学贵,li'xue'gui
李学宏,li'xue'hong
李延年,li'yan'nian
李业明,li'ye'ming
李艺,li'yi
李英杰,li'ying'jie
李勇,li'yong
李永春,li'yong'chun
李幼刚,li'you'gang
李玉君,li'yu'jun
梨园春秋,li'yuan'chun'qiu
李云亭,li'yun'ting
李增满,li'zeng'man
李增年,li'zeng'nian
李增瑞,li'zeng'rui
李箴民,li'zhen'min
李正斌,li'zheng'bin
李志强,li'zhi'qiang
李中华,li'zhong'hua
李祝英,li'zhu'ying
恋爱的犀牛,lian'ai'de'xi'niu
连春建,lian'chun'jian
连春仲,lian'chun'zhong
联曲体,lian'qu'ti
连笑昆,lian'xiao'kun
连小林,lian'xiao'lin
连秀全,lian'xiu'quan
两个弄潮儿,liang'ge'nong'chao'er
梁洪才,liang'hong'cai
梁上君子,liang'shang'jun'zi
梁尚义,liang'shang'yi
烈火中永生,lie'huo'zhong'yong'sheng
列宁评戏,lie'ning'ping'xi
林家铺子,lin'jia'pu'zi
林茂,lin'mao
吝啬鬼,lin'se'gui
林兆华,lin'zhao'hua
凌河影人,ling'he'ying'ren
灵魂出窍,ling'hun'chu'qiao
凌少明,ling'shao'ming
刘宝瑞,liu'bao'rui
刘宝森,liu'bao'sen
刘兵,liu'bing
刘伯奎,liu'bo'kui
刘长声,liu'chang'sheng
刘辰,liu'chen
刘迪天,liu'di'tian
刘尔金,liu'er'jin
六个寻找作家的角色,liu'ge'xun'zhao'zuo'jia'de'jue'se
刘广义,liu'guang'yi
刘桂田,liu'gui'tian
刘国器,liu'guo'qi
刘洪江,liu'hong'jiang
刘洪沂,liu'hong'yi
刘化民,liu'hua'min
刘际,liu'ji
刘继深,liu'ji'shen
刘加柯,liu'jia'ke
刘江舸,liu'jiang'ge
刘杰,liu'jie
刘金瑞,liu'jin'rui
刘军,liu'jun
刘俊杰,liu'jun'jie
刘科,liu'ke
流寇队长,liu'kou'dui'zhang
刘奎珍,liu'kui'zhen
刘来子,liu'lai'zi
刘黎,liu'li
刘立升,liu'li'sheng
刘立新,liu'li'xin
刘莲英,liu'lian'ying
柳林写状,liu'lin'xie'zhuang
刘流,liu'liu
刘曼影,liu'man'ying
刘毛毛,liu'mao'mao
流派,liu'pai
刘沛起,liu'pei'qi
刘聘臣,liu'pin'chen
柳萍,liu'ping
刘琪,liu'qi
刘巧儿,liu'qiao'er
刘庆福,liu'qing'fu
刘全刚,liu'quan'gang
刘茹惠,liu'ru'hui
刘山,liu'shan
留守女士,liu'shou'nv'shi
刘树江,liu'shu'jiang
刘树青,liu'shu'qing
刘松江,liu'song'jiang
刘随社,liu'sui'she
刘廷凯,liu'ting'kai
刘彤,liu'tong
刘万山,liu'wan'shan
刘伟,liu'wei
刘威,liu'wei
刘文步,liu'wen'bu
刘文德,liu'wen'de
刘文亨,liu'wen'heng
刘文亮,liu'wen'liang
刘文贞,liu'wen'zhen
刘喜尧,liu'xi'yao
刘显东,liu'xian'dong
刘孝先,liu'xiao'xian
刘学仁,liu'xue'ren
刘雅奎,liu'ya'kui
刘彦昌,liu'yan'chang
刘易平,liu'yi'ping
刘义学,liu'yi'xue
刘颖,liu'ying
刘英华,liu'ying'hua
刘英奇,liu'ying'qi
刘幼山,liu'you'shan
刘玉才,liu'yu'cai
刘玉凤,liu'yu'feng
刘玉辉,liu'yu'hui
刘跃宁,liu'yue'ning
刘月樵,liu'yue'qiao
刘增锴,liu'zeng'kai
刘志远,liu'zhi'yuan
龙须沟,long'xu'gou
陋巷,lou'xiang
陆,lu
路彩祥,lu'cai'xiang
卢德俊,lu'de'jun
卢福来,lu'fu'lai
芦沟桥,lu'gou'qiao
陆派,lu'pai
陆文荣,lu'wen'rong
孪生兄弟,luan'sheng'xiong'di
乱弹,luan'tan
乱形容,luan'xing'rong
乱钟,luan'zhong
论拳,lun'quan
抡弦子,lun'xian'zi
罗爱恬,luo'ai'tian
骆宝珊,luo'bao'shan
骆采舞,luo'cai'wu
罗成戏貂婵,luo'cheng'xi'diao'chan
罗多庚,luo'duo'geng
罗峰,luo'feng
罗健,luo'jian
罗克留斯,luo'ke'liu'si
罗密欧与朱丽叶,luo'mi'ou'yu'zhu'li'ye
罗穆洛司斯大帝,luo'mu'luo'si'si'da'di
罗荣寿,luo'rong'shou
骆驼祥子,luo'tuo'xiang'zi
绿窗女史,lv'chuang'nv'shi
绿房子,lv'fang'zi
吕剧,lv'ju
吕派,lv'pai
吕少明,lv'shao'ming
吕维国,lv'wei'guo
吕闻升,lv'wen'sheng
马,ma
马宝璐,ma'bao'lu
马伯林,ma'bo'lin
马春,ma'chun
马大龙,ma'da'long
马桂元,ma'gui'yuan
马洪海,ma'hong'hai
马洪升,ma'hong'sheng
马洪信,ma'hong'xin
马季,ma'ji
马济江,ma'ji'jiang
马机器人斯基,ma'ji'qi'ren'si'ji
马金良,ma'jin'liang
马敬伯,ma'jing'bo
马魁尧,ma'kui'yao
马兰花,ma'lan'hua
马蓝鱼,ma'lan'yu
马连良,ma'lian'liang
马良臣,ma'liang'chen
马凌云,ma'ling'yun
马六甲,ma'liu'jia
马伦,ma'lun
马马杜,ma'ma'du
马年赛马,ma'nian'sai'ma
马前泼水,ma'qian'po'shui
马三立,ma'san'li
麻世豪,ma'shi'hao
马寿岩,ma'shou'yan
马树春,ma'shu'chun
马四立,ma'si'li
马腾翔,ma'teng'xiang
马维福,ma'wei'fu
马伟国,ma'wei'guo
马文光,ma'wen'guang
马文瑞,ma'wen'rui
马文孝,ma'wen'xiao
马文忠,ma'wen'zhong
马友仙,ma'you'xian
马云路,ma'yun'lu
马云翔,ma'yun'xiang
马政,ma'zheng
马志存,ma'zhi'cun
马志明,ma'zhi'ming
马子恒,ma'zi'heng
买佛龛,mai'fo'kan
卖估衣,mai'gu'yi
卖挂票,mai'gua'piao
买猴,mai'hou
卖花女,mai'hua'nv
麦克白,mai'ke'bai
慢板,man'ban
曼侬,man'nong
茅房话,mao'fang'hua
毛净,mao'jing
毛猿,mao'yuan
梅,mei
梅黛,mei'dai
美狄亚,mei'di'ya
梅兰芳,mei'lan'fang
美丽畅想曲,mei'li'chang'xiang'qu
梅里达,mei'li'da
美丽的海伦,mei'li'de'hai'lun
梅里唐德,mei'li'tang'de
没毛的狗,mei'mao'de'gou
梅雨,mei'yu
孟遏云,meng'e'yun
孟凡贵,meng'fan'gui
孟广禄,meng'guang'lu
孟丽君,meng'li'jun
孟林,meng'lin
孟文辉,meng'wen'hui
孟祥光,meng'xiang'guang
秘宝财,mi'bao'cai
米飞,mi'fei
秘鸿泉,mi'hong'quan
米雷娜,mi'lei'na
密室,mi'shi
秘艺,mi'yi
妙峰山,miao'feng'shan
妙趣网生,miao'qu'wang'sheng
妙手成患,miao'shou'cheng'huan
苗文浩,miao'wen'hao
灭鼠轶事,mie'shu'yi'shi
名叫艾纳斯库的重要性,ming'jiao'ai'na'si'ku'de'zhong'yao'xing
明朗的天,ming'lang'de'tian
名优之死,ming'you'zhi'si
命运的拨弄,ming'yun'de'bo'nong
缪塞,miu'sai
魔方,mo'fang
魔鬼的门徒,mo'gui'de'men'tu
魔鬼面壳,mo'gui'mian'ke
莫里哀,mo'li'ai
牟玉春,mou'yu'chun
穆,mu
牡丹亭,mu'dan'ting
穆桂英挂帅,mu'gui'ying'gua'shuai
穆瑞庆,mu'rui'qing
木下顺二,mu'xia'shun'er
穆祥林,mu'xiang'lin
穆瑛,mu'ying
娜塔莎,na'ta'sha
南冠草,nan'guan'cao
南归,nan'gui
南海长城,nan'hai'chang'cheng
难以预料,nan'yi'yu'liao
男子汉宣言,nan'zi'han'xuan'yan
闹公堂,nao'gong'tang
霓虹灯下的哨兵,ni'hong'deng'xia'de'shao'bing
年关斗争,nian'guan'dou'zheng
鸟人,niao'ren
聂闻治,nie'wen'zhi
聂嫈,nie'xing
柠檬黄的味道,ning'meng'huang'de'wei'dao
牛成志,niu'cheng'zhi
牛群,niu'qun
牛振华,niu'zhen'hua
女兵连来了个男家属,nv'bing'lian'lai'le'ge'nan'jia'shu
女店主,nv'dian'zhu
女队长,nv'dui'chang
女记者,nv'ji'zhe
女仆,nv'pu
女人的一生,nv'ren'de'yi'sheng
欧宝灿,ou'bao'can
欧宝璨,ou'bao'can
欧迪普,ou'di'pu
欧光慈,ou'guang'ci
欧里庇得斯,ou'li'bi'de'si
欧里庇德斯,ou'li'bi'de'si
帕都瓦公爵夫人,pa'dou'wa'gong'jue'fu'ren
潘贵才,pan'gui'cai
潘海波,pan'hai'bo
潘龙浩,pan'long'hao
潘庆武,pan'qing'wu
庞培之死,pang'pei'zhi'si
庞子泉,pang'zi'quan
炮震,pao'zhen
佩尔克特,pei'er'ke'te
彭凤林,peng'feng'lin
彭国良,peng'guo'liang
彭子义,peng'zi'yi
邳建新,pi'jian'xin
皮兰德,pi'lan'de
皮兰德娄,pi'lan'de'lou
批聊斋,pi'liao'zhai
批三国,pi'san'guo
皮树德,pi'shu'de
皮小姐,pi'xiao'jie
屏风后,ping'feng'hou
苹果车,ping'guo'che
评剧,ping'ju
评书,ping'shu
评书漫谈,ping'shu'man'tan
破宁国,po'ning'guo
普,pu
浦尔叟雅克先生,pu'er'sou'ya'ke'xian'sheng
普奈斯,pu'nai'si
齐爱云,qi'ai'yun
汽车喇叭声,qi'che'la'ba'sheng
祁存才,qi'cun'cai
契诃夫,qi'he'fu
七将攻忒拜,qi'jiang'gong'tei'bai
齐力宏,qi'li'hong
齐力新,qi'li'xin
戚派,qi'pai
祁乾宁,qi'qian'ning
棋人,qi'ren
戚松,qi'song
祁喜生,qi'xi'sheng
齐信英,qi'xin'ying
奇异的插曲,qi'yi'de'cha'qu
祈援人,qi'yuan'ren
奇志,qi'zhi
恰机器人,qia'ji'qi'ren
钱麟,qian'lin
牵牛记,qian'niu'ji
乔国庆,qiao'guo'qing
乔慷慨,qiao'kang'kai
乔新贤,qiao'xin'xian
瞧这俩爹,qiao'zhe'lia'die
亲爱的丈夫,qin'ai'de'zhang'fu
秦宝琦,qin'bao'qi
钦差大臣,qin'chai'da'chen
秦皇父子,qin'huang'fu'zi
秦腔曲牌,qin'qiang'qu'pai
秦琼卖马,qin'qiong'mai'ma
秦醒民,qin'xing'min
秦玉贵,qin'yu'gui
秦玉华,qin'yu'hua
秦云撷英小谱,qin'yun'xie'ying'xiao'pu
青春禁忌游戏,qing'chun'jin'ji'you'xi
清风亭,qing'feng'ting
请剧团,qing'ju'tuan
青年进行曲,qing'nian'jin'xing'qu
青鸟,qing'niao
情绪与健康,qing'xu'yu'jian'kang
请医生,qing'yi'sheng
穷乐观,qiong'le'guan
琼斯皇帝,qiong'si'huang'di
秋海棠,qiu'hai'tang
秋瑾传,qiu'jin'chuan
裘力斯凯撒,qiu'li'si'kai'sa
秋声赋,qiu'sheng'fu
裘盛戎,qiu'sheng'rong
曲本,qu'ben
曲福恩,qu'fu'en
曲乃新,qu'nai'xin
蛐蛐四爷,qu'qu'si'ye
曲艺,qu'yi
曲艺音乐,qu'yi'yin'yue
屈原,qu'yuan
全常保,quan'chang'bao
全是北京人,quan'shi'bei'jing'ren
劝新郎,quan'xin'lang
群策群力,qun'ce'qun'li
群猴,qun'hou
群英会,qun'ying'hui
让,rang
让日奈,rang'ri'nai
绕口令,rao'kou'ling
任迪山,ren'di'shan
人民公敌,ren'min'gong'di
任文立,ren'wen'li
任笑海,ren'xiao'hai
任小蕾,ren'xiao'lei
人与超人,ren'yu'chao'ren
任哲中,ren'zhe'zhong
日出,ri'chu
日下看花记,ri'xia'kan'hua'ji
日遭三险,ri'zao'san'xian
荣迪曲,rong'di'qu
戎冠秀,rong'guan'xiu
如此典礼,ru'ci'dian'li
如此要求,ru'ci'yao'qiu
如此照相,ru'ci'zhao'xiang
茹少亭,ru'shao'ting
阮玲玉,ruan'ling'yu
软玉屏,ruan'yu'ping
润润苍,run'run'cang
润润子,run'run'zi
撒谎者,sa'huang'zhe
萨勒姆的女巫,sa'le'mu'de'nv'wu
洒满月光的荒原,sa'man'yue'guang'de'huang'yuan
萨特,sa'te
塞维利亚的理发师,sai'wei'li'ya'de'li'fa'shi
三打一破,san'da'yi'po
三滴血,san'di'xue
三个摩登的女性,san'ge'mo'deng'de'nv'xing
三击掌,san'ji'zhang
三家店,san'jia'dian
三姐妹妹,san'jie'mei'mei
三块钱国币,san'kuai'qian'guo'bi
三林,san'lin
三意社,san'yi'she
三姊妹,san'zi'mei
桑树坪纪事,sang'shu'ping'ji'shi
森本薰,sen'ben'xun
沙恭达罗,sha'gong'da'luo
杀狗劝妻,sha'gou'quan'qi
莎乐美,sha'le'mei
莎士比亚,sha'shi'bi'ya
沙跃生,sha'yue'sheng
山东快书,shan'dong'kuai'shu
善好者,shan'hao'zhe
陕西快板,shan'xi'kuai'ban
上海屋檐下,shang'hai'wu'yan'xia
尚小云,shang'xiao'yun
伤心少校,shang'xin'shao'xiao
伤心之家,shang'xin'zhi'jia
商鞅,shang'yang
上越,shang'yue
绍百,shao'bai
少奶奶的扇子,shao'nai'nai'de'shan'zi
邵其炳,shao'qi'bing
沈春和,shen'chun'he
身段,shen'duan
沈君,shen'jun
申祥麟,shen'xiang'lin
申正昆,shen'zheng'kun
沈竹善,shen'zhu'shan
生逢其时,sheng'feng'qi'shi
升官图,sheng'guan'tu
圣女贞德,sheng'nv'zhen'de
生日宴会,sheng'ri'yan'hui
生死场,sheng'si'chang
生死牌,sheng'si'pai
生铁炼成钢,sheng'tie'lian'cheng'gang
生为男人,sheng'wei'nan'ren
十八红,shi'ba'hong
十点钟开始,shi'dian'zhong'kai'shi
石富宽,shi'fu'kuan
逝海,shi'hai
时间与青春,shi'jian'yu'qing'chun
失街亭,shi'jie'ting
十六条枪,shi'liu'tiao'qiang
石桥久弥,shi'qiao'jiu'mi
师胜杰,shi'sheng'jie
师世元,shi'shi'yuan
史文翰,shi'wen'han
史文惠,shi'wen'hui
施文琳,shi'wen'lin
石小杰,shi'xiao'jie
拾玉镯,shi'yu'zhuo
数来宝,shu'lai'bao
数罗汉,shu'luo'han
书迷打砂锅,shu'mi'da'sha'guo
耍鹌鹑,shua'an'chun
甩发,shuai'fa
拴娃娃,shuan'wa'wa
双簧,shuang'huang
双锦衣,shuang'jin'yi
双溪乐府,shuang'xi'yue'fu
双镯记,shuang'zhuo'ji
谁害怕弗吉尼亚伍尔夫,shui'hai'pa'fu'ji'ni'ya'wu'er'fu
水裤,shui'ku
睡美人,shui'mei'ren
谁怕贝勒爷,shui'pa'bei'le'ye
水上勉,shui'shang'mian
水下村庄,shui'xia'cun'zhuang
谁先到了重庆,shui'xian'dao'le'chong'qing
水衣,shui'yi
说谎者,shuo'huang'zhe
说一不说二,shuo'yi'bu'shuo'er
说字,shuo'zi
四川好人,si'chuan'hao'ren
四大名旦,si'da'ming'dan
四大须生,si'da'xu'sheng
斯狄斯,si'di'si
思凡,si'fan
四进士,si'jin'shi
四郎探母,si'lang'tan'mu
司马拜台,si'ma'bai'tai
四十年的愿望,si'shi'nian'de'yuan'wang
死水微澜,si'shui'wei'lan
斯特林堡,si'te'lin'bao
死无葬身之地,si'wu'zang'shen'zhi'di
四贤册,si'xian'ce
死罪,si'zui
送冰人来了,song'bing'ren'lai'le
宋德全,song'de'quan
讼棍,song'gun
送火者普罗米修斯,song'huo'zhe'pu'luo'mi'xiu'si
宋巧娇,song'qiao'jiao
宋少卿,song'shao'qing
宋文俊,song'wen'jun
宋雁波,song'yan'bo
宋勇,song'yong
苏连生,su'lian'sheng
苏明杰,su'ming'jie
苏蕊娥,su'rui'e
苏士杰,su'shi'jie
苏武牧羊,su'wu'mu'yang
苏州弹词,su'zhou'tan'ci
苏州夜话,su'zhou'ye'hua
隋长欣,sui'chang'xin
隋广斌,sui'guang'bin
孙安动本,sun'an'dong'ben
孙宝才,sun'bao'cai
孙保光,sun'bao'guang
孙宝钧,sun'bao'jun
孙宝琦,sun'bao'qi
孙伯珍,sun'bo'zhen
孙承林,sun'cheng'lin
孙春华,sun'chun'hua
孙存蝶,sun'cun'die
孙得一,sun'de'yi
孙殿盛,sun'dian'sheng
孙枫,sun'feng
孙福海,sun'fu'hai
孙光,sun'guang
孙国伟,sun'guo'wei
孙继忠,sun'ji'zhong
孙强,sun'qiang
孙庆池,sun'qing'chi
孙庆淮,sun'qing'huai
孙少臣,sun'shao'chen
孙少林,sun'shao'lin
孙世达,sun'shi'da
孙士达,sun'shi'da
孙桐增,sun'tong'zeng
孙欣梅,sun'xin'mei
孙兴海,sun'xing'hai
孙星海,sun'xing'hai
孙玉娇,sun'yu'jiao
孙玉奎,sun'yu'kui
孙中山之死,sun'zhong'shan'zhi'si
索福克勒斯,suo'fu'ke'le'si
太白马,tai'bai'ma
胎里红,tai'li'hong
谭伯如,tan'bo'ru
谭富英,tan'fu'ying
探皇陵,tan'huang'ling
谭建勋,tan'jian'xun
谭鸣亮,tan'ming'liang
谭孝增,tan'xiao'zeng
谭鑫培,tan'xin'pei
探窑,tan'yao
探阴山,tan'yin'shan
谭元寿,tan'yuan'shou
唐传模,tang'chuan'mo
糖醋活鱼,tang'cu'huo'yu
棠棣之花,tang'di'zhi'hua
唐璜,tang'huang
唐杰忠,tang'jie'zhong
汤金澄,tang'jin'cheng
汤艳杰,tang'yan'jie
汤一民,tang'yi'min
唐玉福,tang'yu'fu
陶大为,tao'da'wei
桃花扇,tao'hua'shan
桃李春风,tao'li'chun'feng
陶文华,tao'wen'hua
陶湘九,tao'xiang'jiu
陶湘如,tao'xiang'ru
桃小春,tao'xiao'chun
桃园借水,tao'yuan'jie'shui
特拉阿斯妇女,te'la'a'si'fu'nv
特里西阿,te'li'xi'a
特洛埃围城记,te'luo'ai'wei'cheng'ji
特洛伊的妇女,te'luo'yi'de'fu'nv
特洛伊罗斯与克瑞西达,te'luo'yi'luo'si'yu'ke'rui'xi'da
特洛伊亲王配力克里斯,te'luo'yi'qin'wang'pei'li'ke'li'si
特士摩,te'shi'mo
特种病,te'zhong'bing
腾生祥,teng'sheng'xiang
藤田香,teng'tian'xiang
滕文超,teng'wen'chao
田宝珩,tian'bao'heng
田宝鑫,tian'bao'xin
天边外,tian'bian'wai
天边有一簇圣火,tian'bian'you'yi'cu'sheng'huo
天才与疯子,tian'cai'yu'feng'zi
田德年,tian'de'nian
天鹅湖,tian'e'hu
天国春秋,tian'guo'chun'qiu
田汉,tian'han
天津时调,tian'jin'shi'diao
天籁,tian'lai
田立禾,tian'li'he
田纳西威廉斯,tian'na'xi'wei'lian'si
田松山,tian'song'shan
田文奎,tian'wen'kui
田文明,tian'wen'ming
天下第一楼,tian'xia'di'yi'lou
田野又是青纱帐,tian'ye'you'shi'qing'sha'zhang
天之骄子,tian'zhi'jiao'zi
跳舞迷,tiao'wu'mi
贴旦,tie'dan
铁莲花,tie'lian'hua
铁片大鼓,tie'pian'da'gu
同船过渡,tong'chuan'guo'du
佟大方,tong'da'fang
佟浩如,tong'hao'ru
童鸣,tong'ming
佟守本,tong'shou'ben
佟有为,tong'you'wei
同州梆子,tong'zhou'bang'zi
屠夫缘,tu'fu'yuan
土桥之战,tu'qiao'zhi'zhan
突然出现的岛上愚人,tu'ran'chu'xian'de'dao'shang'yu'ren
秃头歌女,tu'tou'ge'nv
蜕变,tui'bian
蜕变变,tui'bian'bian
推销员之死,tui'xiao'yuan'zhi'si
托卡斯,tuo'ka'si
万比洛夫,wan'bi'luo'fu
豌豆花,wan'dou'hua
玩花主人,wan'hua'zhu'ren
万家灯火,wan'jia'deng'huo
万能机器人,wan'neng'ji'qi'ren
万尼亚舅舅,wan'ni'ya'jiu'jiu
玩偶之家,wan'ou'zhi'jia
万世师表,wan'shi'shi'biao
碗碗腔,wan'wan'qiang
万文英,wan'wen'ying
王保钏,wang'bao'chuan
王宝珏,wang'bao'jue
汪宝琦,wang'bao'qi
王葆山,wang'bao'shan
王宝童,wang'bao'tong
王宝珍,wang'bao'zhen
王本林,wang'ben'lin
王伯林,wang'bo'lin
王伯荣,wang'bo'rong
王长林,wang'chang'lin
王长友,wang'chang'you
王常柱,wang'chang'zhu
王成启,wang'cheng'qi
王传林,wang'chuan'lin
王春和,wang'chun'he
王得昌,wang'de'chang
王尔德,wang'er'de
王凤山,wang'feng'shan
王辅生,wang'fu'sheng
王福田,wang'fu'tian
王辅廷,wang'fu'ting
王刚,wang'gang
王海江,wang'hai'jiang
王宏,wang'hong
王洪文,wang'hong'wen
王惠林,wang'hui'lin
王吉祥,wang'ji'xiang
王金东,wang'jin'dong
王锦文,wang'jin'wen
王九思,wang'jiu'si
王俊,wang'jun
王鸣楼,wang'ming'lou
王鸣禄,wang'ming'lu
王鸣山,wang'ming'shan
王鸣义,wang'ming'yi
王佩元,wang'pei'yuan
王蓬,wang'peng
王平,wang'ping
王启禄,wang'qi'lu
王庆,wang'qing
王庆东,wang'qing'dong
王庆新,wang'qing'xin
王全,wang'quan
王蓉蓉,wang'rong'rong
王少安,wang'shao'an
王少林,wang'shao'lin
王绍猷,wang'shao'you
汪声亚,wang'sheng'ya
王世臣,wang'shi'chen
王世勇,wang'shi'yong
王树田,wang'shu'tian
王枢祥,wang'shu'xiang
王顺,wang'shun
王文博,wang'wen'bo
王文昌,wang'wen'chang
王文豪,wang'wen'hao
王文厚,wang'wen'hou
王文杰,wang'wen'jie
王文进,wang'wen'jin
王文凯,wang'wen'kai
王闻禄,wang'wen'lu
王文奇,wang'wen'qi
王文喜,wang'wen'xi
王文砚,wang'wen'yan
王文友,wang'wen'you
王文玉,wang'wen'yu
王文元,wang'wen'yuan
王祥林,wang'xiang'lin
王校林,wang'xiao'lin
王小生,wang'xiao'sheng
王笑予,wang'xiao'yu
王信,wang'xin
王学义,wang'xue'yi
王雅福,wang'ya'fu
王雅青,wang'ya'qing
王雅育,wang'ya'yu
王茵,wang'yin
王印权,wang'yin'quan
王英杰,wang'ying'jie
王英俊,wang'ying'jun
王友,wang'you
王有道,wang'you'dao
王元锋,wang'yuan'feng
王泽民,wang'ze'min
王昭君,wang'zhao'jun
王兆麟,wang'zhao'lin
王正端,wang'zheng'duan
王志涛,wang'zhi'tao
魏长生,wei'chang'sheng
魏常玉,wei'chang'yu
伪君子,wei'jun'zi
魏昆治,wei'kun'zhi
薇拉,wei'la
魏兰柱,wei'lan'zhu
维洛那二绅士,wei'luo'na'er'shen'shi
魏美玉,wei'mei'yu
维纳斯的遗憾,wei'na'si'de'yi'han
威尼斯商人,wei'ni'si'shang'ren
维亲王佩力克尔斯,wei'qin'wang'pei'li'ke'er'si
为清教徒写的戏剧,wei'qing'jiao'tu'xie'de'xi'ju
委曲求全,wei'qu'qiu'quan
魏文华,wei'wen'hua
魏文亮,wei'wen'liang
魏务良,wei'wu'liang
魏幼臣,wei'you'chen
魏元成,wei'yuan'cheng
魏真柏,wei'zhen'bai
魏治,wei'zhi
文成公主,wen'cheng'gong'zhu
温夫人的扇子,wen'fu'ren'de'shan'zi
温米尔夫人的扇子,wen'mi'er'fu'ren'de'shan'zi
温莎的风流娘儿们,wen'sha'de'feng'liu'niang'er'men
温莎的风流娘们,wen'sha'de'feng'liu'niang'men
闻太师显魂,wen'tai'shi'xian'hun
文章会,wen'zhang'hui
文昭关,wen'zhao'guan
我的历史,wo'de'li'shi
我的女儿,wo'de'nv'er
我和春天有个约会,wo'he'chun'tian'you'ge'yue'hui
我们的小镇,wo'men'de'xiao'zhen
我认识的鬼子兵,wo'ren'shi'de'gui'zi'bing
我与乘客,wo'yu'cheng'ke
我在天堂等你,wo'zai'tian'tang'deng'ni
无病呻吟,wu'bing'shen'yin
雾重庆,wu'chong'qing
武旦,wu'dan
吴棣,wu'di
五典坡,wu'dian'po
武福星,wu'fu'xing
吴刚伦,wu'gang'lun
五官争谦,wu'guan'zheng'qian
武红霞,wu'hong'xia
吴金富,wu'jin'fu
吴景春,wu'jing'chun
武魁海,wu'kui'hai
武奎海,wu'kui'hai
五奎桥,wu'kui'qiao
吴林,wu'lin
无名英雄,wu'ming'ying'xiong
乌盆记,wu'pen'ji
吴苹,wu'ping
武器与人,wu'qi'yu'ren
无穷的岁月,wu'qiong'de'sui'yue
武生,wu'sheng
武士,wu'shi
无事生非,wu'shi'sheng'fei
五十子,wu'shi'zi
武松打虎,wu'song'da'hu
屋外有热流,wu'wai'you're'liu
吴伟申,wu'wei'shen
吴文龙,wu'wen'long
五喜儿,wu'xi'er
吴新安,wu'xin'an
伍员杀府,wu'yuan'sha'fu
吴云林,wu'yun'lin
武则天,wu'ze'tian
吴兆南,wu'zhao'nan
武坠子,wu'zhui'zi
无足轻重的女人,wu'zu'qing'zhong'de'nv'ren
希波吕托斯,xi'bo'lv'tuo'si
熙德,xi'de
西哈诺,xi'ha'nuo
夕鹤,xi'he
戏剧与方言,xi'ju'yu'fang'yan
戏剧杂谈,xi'ju'za'tan
席勒,xi'le
犀牛,xi'niu
戏曲杂谈,xi'qu'za'tan
西施,xi'shi
喜相逢,xi'xiang'feng
西厢记,xi'xiang'ji
席香远,xi'xiang'yuan
奚啸伯,xi'xiao'bo
熙醒生,xi'xing'sheng
西征梦,xi'zheng'meng
夏福义,xia'fu'yi
下河东,xia'he'dong
夏景华,xia'jing'hua
瞎了一只眼,xia'le'yi'zhi'yan
夏万福,xia'wan'fu
夏文化,xia'wen'hua
夏文升,xia'wen'sheng
夏衍,xia'yan
夏志恒,xia'zhi'heng
献地图,xian'di'tu
咸亨酒店,xian'heng'jiu'dian
仙后,xian'hou
响马传,xiang'ma'chuan
响马平,xiang'ma'ping
相声,xiang'sheng
相声的魅力,xiang'sheng'de'mei'li
相声名段,xiang'sheng'ming'duan
相声名家,xiang'sheng'ming'jia
肖炳,xiao'bing
萧伯纳,xiao'bo'na
肖国光,xiao'guo'guang
小井胡同,xiao'jing'hu'tong
笑林,xiao'lin
肖若兰,xiao'ruo'lan
潇洒女孩,xiao'sa'nv'hai
小生,xiao'sheng
肖声虎,xiao'sheng'hu
小铁笛道人,xiao'tie'di'dao'ren
萧巍,xiao'wei
肖玉玲,xiao'yu'ling
小镇风情,xiao'zhen'feng'qing
械斗,xie'dou
谢芮芝,xie'rui'zhi
谢树森,xie'shu'sen
谢天荣,xie'tian'rong
谢天顺,xie'tian'shun
谢瑶环,xie'yao'huan
辛白林,xin'bai'lin
辛宝珊,xin'bao'shan
新编孔乙己,xin'bian'kong'yi'ji
新编女起解,xin'bian'nv'qi'jie
新潮商人,xin'chao'shang'ren
新村正,xin'cun'zheng
新地理图,xin'di'li'tu
心防,xin'fang
辛亥潮,xin'hai'chao
