阿牛路,a'niu'lu
师大北路,shi'da'bei'lu
十大路,shi'da'lu
石佛营路,shi'fo'ying'lu
石各村路,shi'ge'cun'lu
石各庄路,shi'ge'zhuang'lu
石景山路,shi'jing'shan'lu
士靠路,shi'kao'lu
十里堡路,shi'li'pu'lu
石榴庄路,shi'liu'zhuang'lu
石门村路,shi'men'cun'lu
石门东路,shi'men'dong'lu
石门路,shi'men'lu
首都机场路,shou'du'ji'chang'lu
树村路,shu'cun'lu
树村西路,shu'cun'xi'lu
曙光西路,shu'guang'xi'lu
双贝子坟路,shuang'bei'zi'fen'lu
双河路,shuang'he'lu
双林东路,shuang'lin'dong'lu
双林南路,shuang'lin'nan'lu
双龙路,shuang'long'lu
双桥东路,shuang'qiao'dong'lu
双桥路,shuang'qiao'lu
双桥西路,shuang'qiao'xi'lu
双桥中路,shuang'qiao'zhong'lu
双清路,shuang'qing'lu
爽秋路,shuang'qiu'lu
双沙路,shuang'sha'lu
双石路,shuang'shi'lu
双羊路,shuang'yang'lu
双营路,shuang'ying'lu
双拥路,shuang'yong'lu
双峪路,shuang'yu'lu
双榆树北路,shuang'yu'shu'bei'lu
双园路,shuang'yuan'lu
水场路,shui'chang'lu
水碓子东路,shui'dui'zi'dong'lu
水库路,shui'ku'lu
水南路,shui'nan'lu
水仙西路,shui'xian'xi'lu
水辛路,shui'xin'lu
水源路,shui'yuan'lu
水闸北路,shui'zha'bei'lu
顺安北路,shun'an'bei'lu
顺安南路,shun'an'nan'lu
顺白路,shun'bai'lu
顺驰路,shun'chi'lu
顺福路,shun'fu'lu
顺航路,shun'hang'lu
顺和路,shun'he'lu
顺华路,shun'hua'lu
顺康路,shun'kang'lu
顺密路,shun'mi'lu
顺宁路,shun'ning'lu
顺平辅路,shun'ping'fu'lu
顺平路,shun'ping'lu
顺平南路,shun'ping'nan'lu
顺平五路,shun'ping'wu'lu
顺平西路,shun'ping'xi'lu
顺泰路,shun'tai'lu
顺通公路,shun'tong'gong'lu
四道口路,si'dao'kou'lu
四季星河路,si'ji'xing'he'lu
四经路,si'jing'lu
司空分署路,si'kong'fen'shu'lu
丝路,si'lu
四纬路,si'wei'lu
松林西路,song'lin'xi'lu
松辛路,song'xin'lu
松榆北路,song'yu'bei'lu
松榆南路,song'yu'nan'lu
松园北路,song'yuan'bei'lu
松园路,song'yuan'lu
宋庄路,song'zhuang'lu
孙河路,sun'he'lu
孙家村路,sun'jia'cun'lu
索家坟路,suo'jia'fen'lu
太安路,tai'an'lu
台城路,tai'cheng'lu
太海路,tai'hai'lu
太平东路,tai'ping'dong'lu
太平路,tai'ping'lu
太平桥路,tai'ping'qiao'lu
太平庄东路,tai'ping'zhuang'dong'lu
泰小路,tai'xiao'lu
太歇路,tai'xie'lu
泰燕路,tai'yan'lu
太阳宫路,tai'yang'gong'lu
太阳之路,tai'yang'zhi'lu
檀西路,tan'xi'lu
潭峪路,tan'yu'lu
唐家岭路,tang'jia'ling'lu
唐家岭西路,tang'jia'ling'xi'lu
陶然亭路,tao'ran'ting'lu
桃杨路,tao'yang'lu
陶庄路,tao'zhuang'lu
提辖庄路,ti'xia'zhuang'lu
体育场北路,ti'yu'chang'bei'lu
体育场路,ti'yu'chang'lu
体育场南路,ti'yu'chang'nan'lu
体育场西路,ti'yu'chang'xi'lu
体育馆路,ti'yu'guan'lu
体育馆西路,ti'yu'guan'xi'lu
天宝东路,tian'bao'dong'lu
天宝中路,tian'bao'zhong'lu
天辰东路,tian'chen'dong'lu
天辰路,tian'chen'lu
田村北路,tian'cun'bei'lu
田村东路,tian'cun'dong'lu
田村路,tian'cun'lu
天华东路,tian'hua'dong'lu
天华西路,tian'hua'xi'lu
天桥路,tian'qiao'lu
天坛东路,tian'tan'dong'lu
天坛路,tian'tan'lu
天纬路,tian'wei'lu
天秀路,tian'xiu'lu
天泽路,tian'ze'lu
天柱东路,tian'zhu'dong'lu
天柱路,tian'zhu'lu
天柱西路,tian'zhu'xi'lu
铁东路,tie'dong'lu
铁西路,tie'xi'lu
铁医路,tie'yi'lu
通胡路,tong'hu'lu
通惠北路,tong'hui'bei'lu
通惠河北路,tong'hui'he'bei'lu
通惠南路,tong'hui'nan'lu
同济北路,tong'ji'bei'lu
佟麟阁路,tong'lin'ge'lu
同仁东路,tong'ren'dong'lu
通州车站路,tong'zhou'che'zhan'lu
图北路,tu'bei'lu
土城东路,tu'cheng'dong'lu
土城西路,tu'cheng'xi'lu
土井村路,tu'jing'cun'lu
图书馆东路,tu'shu'guan'dong'lu
图书馆路,tu'shu'guan'lu
图书馆西路,tu'shu'guan'xi'lu
团河路,tuan'he'lu
团结湖北路,tuan'jie'hu'bei'lu
团结湖路,tuan'jie'hu'lu
团结湖南路,tuan'jie'hu'nan'lu
团结湖中路,tuan'jie'hu'zhong'lu
坨万路,tuo'wan'lu
外环西路,wai'huan'xi'lu
外石路,wai'shi'lu
万安东路,wan'an'dong'lu
万丰路,wan'feng'lu
万红路,wan'hong'lu
万吉路,wan'ji'lu
万柳东路,wan'liu'dong'lu
万柳中路,wan'liu'zhong'lu
万明路,wan'ming'lu
万泉河路,wan'quan'he'lu
万泉庄路,wan'quan'zhuang'lu
万寿路,wan'shou'lu
万寿寺路,wan'shou'si'lu
万寿庄路,wan'shou'zhuang'lu
万西路,wan'xi'lu
万源北路,wan'yuan'bei'lu
万源路,wan'yuan'lu
万源南路,wan'yuan'nan'lu
望花路,wang'hua'lu
望京北路,wang'jing'bei'lu
望京东路,wang'jing'dong'lu
望京西路,wang'jing'xi'lu
王四营路,wang'si'ying'lu
王于路,wang'yu'lu
望园路,wang'yuan'lu
王庄路,wang'zhuang'lu
魏各庄路,wei'ge'zhuang'lu
魏公村路,wei'gong'cun'lu
未名北路,wei'ming'bei'lu
文华东路,wen'hua'dong'lu
文化路,wen'hua'lu
文华路,wen'hua'lu
文华西路,wen'hua'xi'lu
文化园东路,wen'hua'yuan'dong'lu
文化园西路,wen'hua'yuan'xi'lu
文慧园北路,wen'hui'yuan'bei'lu
文慧园路,wen'hui'yuan'lu
文体路,wen'ti'lu
文学馆路,wen'xue'guan'lu
卧佛寺路,wo'fo'si'lu
庑店路,wu'dian'lu
庑殿路,wu'dian'lu
吴各庄路,wu'ge'zhuang'lu
五环辅路,wu'huan'fu'lu
吴家场路,wu'jia'chang'lu
吴家村路,wu'jia'cun'lu
五经路,wu'jing'lu
五棵松路,wu'ke'song'lu
五里店路,wu'li'dian'lu
五里店南路,wu'li'dian'nan'lu
五里庄西路,wu'li'zhuang'xi'lu
五路,wu'lu
武圣北路,wu'sheng'bei'lu
武圣东路,wu'sheng'dong'lu
武圣路,wu'sheng'lu
五四路,wu'si'lu
五四营路,wu'si'ying'lu
五纬路,wu'wei'lu
吴玉章路,wu'yu'zhang'lu
物资学院路,wu'zi'xue'yuan'lu
西坝河路,xi'ba'he'lu
西坝河南路,xi'ba'he'nan'lu
西北旺东路,xi'bei'wang'dong'lu
西北旺路,xi'bei'wang'lu
西滨河路,xi'bin'he'lu
西残路,xi'can'lu
西翠路,xi'cui'lu
西大望路,xi'da'wang'lu
西大望南路,xi'da'wang'nan'lu
西甸路,xi'dian'lu
西顶路,xi'ding'lu
西东路,xi'dong'lu
西二环路,xi'er'huan'lu
西二旗北路,xi'er'qi'bei'lu
西二旗西路,xi'er'qi'xi'lu
西二旗中路,xi'er'qi'zhong'lu
西关路,xi'guan'lu
西红门路,xi'hong'men'lu
西环北路,xi'huan'bei'lu
西环路,xi'huan'lu
西井路,xi'jing'lu
西经路,xi'jing'lu
西罗园北路,xi'luo'yuan'bei'lu
西罗园路,xi'luo'yuan'lu
西木樨园路,xi'mu'xi'yuan'lu
西三环北路,xi'san'huan'bei'lu
西三环南路,xi'san'huan'nan'lu
西三环中路,xi'san'huan'zhong'lu
西四环北路,xi'si'huan'bei'lu
西四环南路,xi'si'huan'nan'lu
西四环中路,xi'si'huan'zhong'lu
西土城路,xi'tu'cheng'lu
西西路,xi'xi'lu
西新路,xi'xin'lu
溪阳东路,xi'yang'dong'lu
溪阳中路,xi'yang'zhong'lu
西园路,xi'yuan'lu
西站南路,xi'zhan'nan'lu
西庄北里路,xi'zhuang'bei'li'lu
献陵路,xian'ling'lu
香厂路,xiang'chang'lu
香河园路,xiang'he'yuan'lu
厢黄旗东路,xiang'huang'qi'dong'lu
香江路,xiang'jiang'lu
香山南路,xiang'shan'nan'lu
向阳路,xiang'yang'lu
小北关路,xiao'bei'guan'lu
小北关南路,xiao'bei'guan'nan'lu
小大路,xiao'da'lu
小关路,xiao'guan'lu
小红门路,xiao'hong'men'lu
小黄庄路,xiao'huang'zhuang'lu
小井南路,xiao'jing'nan'lu
小马厂路,xiao'ma'chang'lu
小南庄路,xiao'nan'zhuang'lu
小清河路,xiao'qing'he'lu
小天竺路,xiao'tian'zhu'lu
小屯路,xiao'tun'lu
小营北路,xiao'ying'bei'lu
小营路,xiao'ying'lu
小营西路,xiao'ying'xi'lu
校园北路,xiao'yuan'bei'lu
校园东路,xiao'yuan'dong'lu
校园南路,xiao'yuan'nan'lu
校园西路,xiao'yuan'xi'lu
校园中路,xiao'yuan'zhong'lu
小月河西路,xiao'yue'he'xi'lu
晓月中路,xiao'yue'zhong'lu
霄云路,xiao'yun'lu
小寨路,xiao'zhai'lu
笑祖北路,xiao'zu'bei'lu
蟹岛路,xie'dao'lu
蟹岛西路,xie'dao'xi'lu
新北路,xin'bei'lu
辛北路,xin'bei'lu
新村二路,xin'cun'er'lu
辛店路,xin'dian'lu
新东路,xin'dong'lu
新华北路,xin'hua'bei'lu
新华路,xin'hua'lu
新华南路,xin'hua'nan'lu
新锦路,xin'jin'lu
新开路,xin'kai'lu
新康路,xin'kang'lu
新南路,xin'nan'lu
新平北路,xin'ping'bei'lu
新平东路,xin'ping'dong'lu
辛水路,xin'shui'lu
信息路,xin'xi'lu
新西路,xin'xi'lu
馨园二路,xin'yuan'er'lu
新源南路,xin'yuan'nan'lu
馨园一路,xin'yuan'yi'lu
星吧路,xing'ba'lu
兴昌路,xing'chang'lu
幸福村中路,xing'fu'cun'zhong'lu
兴福路,xing'fu'lu
幸福路,xing'fu'lu
兴谷东路,xing'gu'dong'lu
兴谷路,xing'gu'lu
兴谷西路,xing'gu'xi'lu
兴化路,xing'hua'lu
兴华路,xing'hua'lu
兴华南路,xing'hua'nan'lu
星火路,xing'huo'lu
行集寺路,xing'ji'si'lu
兴企三路,xing'qi'san'lu
兴盛南路,xing'sheng'nan'lu
杏石口路,xing'shi'kou'lu
杏坛路,xing'tan'lu
兴旺南路,xing'wang'nan'lu
兴香路,xing'xiang'lu
兴一路,xing'yi'lu
兴云路,xing'yun'lu
行知路,xing'zhi'lu
徐庄路,xu'zhuang'lu
宣颐路,xuan'yi'lu
学清路,xue'qing'lu
学西路,xue'xi'lu
学苑路,xue'yuan'lu
学院路,xue'yuan'lu
学院南路,xue'yuan'nan'lu
雅宝路,ya'bao'lu
鸭子桥路,ya'zi'qiao'lu
阎安东路,yan'an'dong'lu
阎安西路,yan'an'xi'lu
阎安中路,yan'an'zhong'lu
延静里西路,yan'jing'li'xi'lu
延康路,yan'kang'lu
延琉路,yan'liu'lu
阎吕路,yan'lv'lu
延农路,yan'nong'lu
燕平路,yan'ping'lu
雁栖东二路,yan'qi'dong'er'lu
雁栖东一路,yan'qi'dong'yi'lu
雁栖河东路,yan'qi'he'dong'lu
雁栖河西路,yan'qi'he'xi'lu
雁栖路,yan'qi'lu
雁栖西二路,yan'qi'xi'er'lu
雁栖西一路,yan'qi'xi'yi'lu
雁秀路,yan'xiu'lu
羊坊店东路,yang'fang'dian'dong'lu
羊坊店路,yang'fang'dian'lu
羊坊店西路,yang'fang'dian'xi'lu
杨家园路,yang'jia'yuan'lu
羊娄路,yang'lou'lu
杨雁东二路,yang'yan'dong'er'lu
杨雁路,yang'yan'lu
养殖场路,yang'zhi'chang'lu
杨庄户中路,yang'zhuang'hu'zhong'lu
杨庄路,yang'zhuang'lu
幺家店路,yao'jia'dian'lu
姚家园北路,yao'jia'yuan'bei'lu
姚家园路,yao'jia'yuan'lu
怡海南路,yi'hai'nan'lu
颐和园路,yi'he'yuan'lu
一经路,yi'jing'lu
宜居北路,yi'ju'bei'lu
宜居南路,yi'ju'nan'lu
宜居西路,yi'ju'xi'lu
一棵松路,yi'ke'song'lu
怡乐南路,yi'le'nan'lu
怡乐中路,yi'le'zhong'lu
一纬路,yi'wei'lu
亦兴西路,yi'xing'xi'lu
益泽路,yi'ze'lu
饮马槽路,yin'ma'cao'lu
迎宾路,ying'bin'lu
迎宾南路,ying'bin'nan'lu
永安路,yong'an'lu
永昌中路,yong'chang'zhong'lu
泳池路,yong'chi'lu
永定河路,yong'ding'he'lu
永定路,yong'ding'lu
永丰路,yong'feng'lu
永嘉北路,yong'jia'bei'lu
永捷北路,yong'jie'bei'lu
永顺路,yong'shun'lu
永泰中路,yong'tai'zhong'lu
永泰庄北路,yong'tai'zhuang'bei'lu
永旭北路,yong'xu'bei'lu
永引渠南路,yong'yin'qu'nan'lu
永泽北路,yong'ze'bei'lu
右堤路,you'di'lu
友谊路,you'yi'lu
游泳场北路,you'yong'chang'bei'lu
裕安路,yu'an'lu
育才路,yu'cai'lu
玉带路,yu'dai'lu
裕东路,yu'dong'lu
育芳园北路,yu'fang'yuan'bei'lu
玉峰路,yu'feng'lu
裕华路,yu'hua'lu
育慧北路,yu'hui'bei'lu
育慧东路,yu'hui'dong'lu
育慧南路,yu'hui'nan'lu
于家园路,yu'jia'yuan'lu
玉林东路,yu'lin'dong'lu
玉林南路,yu'lin'nan'lu
玉林西路,yu'lin'xi'lu
裕民路,yu'min'lu
裕民中路,yu'min'zhong'lu
玉桥东路,yu'qiao'dong'lu
玉桥西路,yu'qiao'xi'lu
玉桥中路,yu'qiao'zhong'lu
玉泉路,yu'quan'lu
裕翔路,yu'xiang'lu
于新庄路,yu'xin'zhuang'lu
于辛庄路,yu'xin'zhuang'lu
玉渊潭南路,yu'yuan'tan'nan'lu
育知东路,yu'zhi'dong'lu
育知路,yu'zhi'lu
育知西路,yu'zhi'xi'lu
远大东路,yuan'da'dong'lu
远大路,yuan'da'lu
园丁路,yuan'ding'lu
圆明园东路,yuan'ming'yuan'dong'lu
圆明园西路,yuan'ming'yuan'xi'lu
园区道路,yuan'qu'dao'lu
云景东路,yun'jing'dong'lu
云腾路,yun'teng'lu
皂君庙路,zao'jun'miao'lu
枣林路,zao'lin'lu
枣营路,zao'ying'lu
增光路,zeng'guang'lu
站东路,zhan'dong'lu
展览馆路,zhan'lan'guan'lu
展览路,zhan'lan'lu
站前路,zhan'qian'lu
展思门路,zhan'si'men'lu
站西路,zhan'xi'lu
彰化村路,zhang'hua'cun'lu
彰化路,zhang'hua'lu
张辛路,zhang'xin'lu
张仪村路,zhang'yi'cun'lu
张自忠路,zhang'zi'zhong'lu
赵登禹路,zhao'deng'yu'lu
昭陵路,zhao'ling'lu
朝阳党校路,zhao'yang'dang'xiao'lu
振昌路,zhen'chang'lu
真武庙路,zhen'wu'miao'lu
振兴路,zhen'xing'lu
针织路,zhen'zhi'lu
正白旗路,zheng'bai'qi'lu
正大南路,zheng'da'nan'lu
政府街西路,zheng'fu'jie'xi'lu
正黄旗村路,zheng'huang'qi'cun'lu
郑平路,zheng'ping'lu
政通路,zheng'tong'lu
正阳新开路,zheng'yang'xin'kai'lu
正义路,zheng'yi'lu
知春路,zhi'chun'lu
志港路,zhi'gang'lu
知青路,zhi'qing'lu
志新东路,zhi'xin'dong'lu
志新路,zhi'xin'lu
志新西路,zhi'xin'xi'lu
知行东路,zhi'xing'dong'lu
纸寨路,zhi'zhai'lu
中东路,zhong'dong'lu
中关村东路,zhong'guan'cun'dong'lu
中关村路,zhong'guan'cun'lu
中关村南路,zhong'guan'cun'nan'lu
中核路,zhong'he'lu
中环路,zhong'huan'lu
中环西路,zhong'huan'xi'lu
中路,zhong'lu
中山口路,zhong'shan'kou'lu
中石路,zhong'shi'lu
中园路,zhong'yuan'lu
中直东路,zhong'zhi'dong'lu
中轴东路,zhong'zhou'dong'lu
周家庄路,zhou'jia'zhuang'lu
周口店路,zhou'kou'dian'lu
周坡路,zhou'po'lu
周庄路,zhou'zhuang'lu
朱房路,zhu'fang'lu
朱各庄路,zhu'ge'zhuang'lu
朱辛庄路,zhu'xin'zhuang'lu
庄维路,zhuang'wei'lu
庄园北路,zhuang'yuan'bei'lu
紫芳路,zi'fang'lu
紫后路,zi'hou'lu
自新路,zi'xin'lu
紫园北路,zi'yuan'bei'lu
紫园路,zi'yuan'lu
紫园南路,zi'yuan'nan'lu
紫竹院路,zi'zhu'yuan'lu
紫竹院南路,zi'zhu'yuan'nan'lu
左安路,zuo'an'lu
左堤辅路,zuo'di'fu'lu
左堤路,zuo'di'lu
