嗄风,a'feng
卖得朝庭铳药了,mai'de'chao'ting'chong'yao'le
卖好来日,mai'hao'lai'ri
卖好仔,mai'hao'zai
卖亏卖嘴,mai'kui'mai'zui
卖屁涎,mai'pi'xian
卖想,mai'xiang
卖乡嗝,mai'xiang'ge
卖小卖里,mai'xiao'mai'li
鳗鱼,man'yu
莽淡,mang'dan
莽咬碎,mang'yao'sui
冇班,mao'ban
冇浮,mao'fu
茆港,mao'gang
猫想,mao'xiang
猫消,mao'xiao
梅径,mei'jing
美林,mei'lin
美南,mei'nan
美西,mei'xi
湄洲,mei'zhou
门床,men'chuang
门岛,men'dao
门殿,men'dian
门殿头,men'dian'tou
焖饭,men'fan
门脚,men'jiao
门脚户臼,men'jiao'hu'jiu
门脚口,men'jiao'kou
门楼,men'lou
门楼肚,men'lou'du
门章,men'zhang
眯鼻,mi'bi
迷到膏膏,mi'dao'gao'gao
迷到糊糊,mi'dao'hu'hu
迷到碌碌,mi'dao'lu'lu
糜碟,mi'die
糜泔,mi'gan
米粿,mi'guo
米仁米仁,mi'ren'mi'ren
米润,mi'run
迷手,mi'shou
米蟹,mi'xie
迷心肝仔,mi'xin'gan'zai
迷心肝膣,mi'xin'gan'zhi
米蜇,mi'zhe
棉北,mian'bei
棉北中学,mian'bei'zhong'xue
面必必,mian'bi'bi
面布,mian'bu
棉城,mian'cheng
绵城,mian'cheng
眠床,mian'chuang
面粿,mian'guo
面猴,mian'hou
面盆,mian'pen
棉裘,mian'qiu
面头仔,mian'tou'zai
鮸鱼,mian'yu
乜个在假个,mie'ge'zai'jia'ge
乜人有,mie'ren'you
墨岛丸,mo'dao'wan
抹蜂蜂,mo'feng'feng
磨蜞,mo'qi
磨洋,mo'yang
目瞪浮,mu'deng'fu
目鸽,mu'ge
目鸽鸽,mu'ge'ge
木麻黄,mu'ma'huang
目青过绿豆,mu'qing'guo'lv'dou
目青青,mu'qing'qing
目仁,mu'ren
目涩死,mu'se'si
目屎膏,mu'shi'gao
母仔,mu'zai
母仔泉种,mu'zai'quan'zhong
那哥鱼,na'ge'yu
那仔,na'zai
乃供仔,nai'gong'zai
耐果,nai'guo
南板,nan'ban
南厝,nan'cuo
南凤,nan'feng
南花埕,nan'hua'cheng
南里,nan'li
南龙,nan'long
南楼,nan'lou
南爿,nan'pan
南埔,nan'pu
南堂,nan'tang
南溪,nan'xi
南阳圩,nan'yang'xu
脑孬仔,nao'nao'zai
孬耍,nao'shua
孬物,nao'wu
闹仔浪,nao'zai'lang
闹仔豚,nao'zai'tun
内輋,nei'she
内围,nei'wei
内新,nei'xin
恁在物乜个,nen'zai'wu'mie'ge
尼亏扱麻,ni'kui'xi'ma
眤目,ni'mu
抳头吊尾,ni'tou'diao'wei
撵钵路,nian'bo'lu
捻当,nian'dang
撵倒,nian'dao
撵倒路,nian'dao'lu
撵倒去,nian'dao'qu
捻掉,nian'diao
撵掉,nian'diao
捻面猴,nian'mian'hou
鲶鱼,nian'yu
鲶鱼糜,nian'yu'mi
尿岛,niao'dao
尿岛仔,niao'dao'zai
鸟咧,niao'lie
尿散噀,niao'san'xun
尿桶,niao'tong
孽虫,nie'chong
孽过死绝,nie'guo'si'jue
嗫嗫叫,nie'nie'jiao
宁湖,ning'hu
牛肉粿,niu'rou'guo
牛屎弼,niu'shi'bi
牛头鼎,niu'tou'ding
弄风,nong'feng
农中,nong'zhong
诺尺诺尺,nuo'chi'nuo'chi
诺到舀舀,nuo'dao'yao'yao
呕去感掉,ou'qu'gan'diao
呕幢风,ou'zhuang'feng
啪岛,pa'dao
帕到肚屎,pa'dao'du'shi
帕浪,pa'lang
啪鱼,pa'yu
帕做一袋,pa'zuo'yi'dai
帕做一肚,pa'zuo'yi'du
帕做一下,pa'zuo'yi'xia
徘长,pai'chang
排骨糜,pai'gu'mi
拍花埕,pai'hua'cheng
拍胶啑,pai'jiao'die
拍起,pai'qi
徘浅,pai'qian
拍素头毛,pai'su'tou'mao
潘岱,pan'dai
叛仙,pan'xian
脬岛,pao'dao
脬三领四,pao'san'ling'si
呸掉,pei'diao
呸掉掉,pei'diao'diao
盆仔,pen'zai
棚担,peng'dan
棚风滃静,peng'feng'weng'jing
棚浪样个哪,peng'lang'yang'ge'na
澎龙船,peng'long'chuan
烹糜,peng'mi
烹食,peng'shi
屁掉,pi'diao
屁家过嗝,pi'jia'guo'ge
僻脚仓后,pi'jiao'cang'hou
炋块糜,pi'kuai'mi
屁人屁血,pi'ren'pi'xue
炋食,pi'shi
屁屎膏,pi'shi'gao
屁屎尿楼,pi'shi'niao'lou
屁涎,pi'xian
譬相,pi'xiang
僻性浪,pi'xing'lang
屁血仔,pi'xue'zai
屁在惊经去,pi'zai'jing'jing'qu
嫖跷尾,piao'qiao'wei
平北,ping'bei
平东,ping'dong
坪门,ping'men
坪头,ping'tou
泼到你哼哼去,po'dao'ni'heng'heng'qu
泼到你哑去,po'dao'ni'ya'qu
破话嗄屎,po'hua'a'shi
破镜乃,po'jing'nai
破康,po'kang
破浪筐,po'lang'kuang
婆孙,po'sun
破相仔,po'xiang'zai
粕做二块,po'zuo'er'kuai
粕做二爿,po'zuo'er'pan
噗到吼,pu'dao'hou
噗领母,pu'ling'mu
噗龙骑胜,pu'long'qi'sheng
噗母,pu'mu
噗母仔,pu'mu'zai
埔上,pu'shang
噗胜,pu'sheng
噗胜到吼,pu'sheng'dao'hou
噗胜到月落,pu'sheng'dao'yue'luo
埔尾,pu'wei
噗膣仔,pu'zhi'zai
七陂,qi'bei
旗北,qi'bei
起厝,qi'cuo
乞掉,qi'diao
乞掉去,qi'diao'qu
七朵铜八朵铁,qi'duo'tong'ba'duo'tie
妻哥,qi'ge
妻哥蟞仔,qi'ge'bie'zai
崎沟,qi'gou
跂好路,qi'hao'lu
妻妗,qi'jin
妻舅,qi'jiu
契科籽,qi'ke'zi
骑浪唔知返肩,qi'lang'wu'zhi'fan'jian
起楼,qi'lou
岐美,qi'mei
岐内,qi'nei
跂起,qi'qi
跂起来,qi'qi'lai
乞食,qi'shi
岂有,qi'you
岂有影,qi'you'ying
契蔗,qi'zhe
跂正路,qi'zheng'lu
骑支浪在脚仓绩绞,qi'zhi'lang'zai'jiao'cang'ji'jiao
跂直路,qi'zhi'lu
髂补,qia'bu
髂补髂补,qia'bu'qia'bu
髂髂,qia'qia
钱葱丸,qian'cong'wan
钳到花花,qian'dao'hua'hua
钳到眯眯,qian'dao'mi'mi
钱面,qian'mian
钱面完宝肚,qian'mian'wan'bao'du
钳死去,qian'si'qu
欠忝在,qian'tian'zai
钱无人嗦行路朵退,qian'wu'ren'suo'xing'lu'duo'tui
牵猪北鼎,qian'zhu'bei'ding
钳做一堆,qian'zuo'yi'dui
钳做一下,qian'zuo'yi'xia
墙波,qiang'bo
墙老,qiang'lao
墙头石,qiang'tou'shi
墙新,qiang'xin
枪鱼,qiang'yu
敲到弄亭,qiao'dao'nong'ting
桥东,qiao'dong
敲死哪,qiao'si'na
揿债,qin'zhai
揿债仔,qin'zhai'zai
勤做一堆,qin'zuo'yi'dui
勤做一下,qin'zuo'yi'xia
青抽白抽,qing'chou'bai'chou
青喘白喘,qing'chuan'bai'chuan
清工蔗指滴仔脉,qing'gong'zhe'zhi'di'zai'mai
青乖,qing'guai
青山,qing'shan
清衫,qing'shan
清衫裤,qing'shan'ku
轻声细语,qing'sheng'xi'yu
青夜,qing'ye
青夜喝手电,qing'ye'he'shou'dian
青夜娶亩扲重,qing'ye'qu'mu'qian'zhong
青夜五角,qing'ye'wu'jiao
鳅脚鳅脚,qiu'jiao'qiu'jiao
去口腊腊下,qu'kou'la'la'xia
娶亩喝搞,qu'mu'he'gao
娶亩兴,qu'mu'xing
曲水流,qu'shui'liu
劝介,quan'jie
泉堂,quan'tang
泉塘,quan'tang
却脚,que'jiao
饶仔,rao'zai
惹浪入脚仓,re'lang'ru'jiao'cang
人个好死,ren'ge'hao'si
仁可,ren'ke
仁仁,ren'ren
人山,ren'shan
日道,ri'dao
榕堂,rong'tang
肉嗳,rou'ai
肉罐,rou'guan
如过炒面,ru'guo'chao'mian
软饼,ruan'bing
软稿,ruan'gao
挼到迷迷,ruo'dao'mi'mi
挼到虚虚,ruo'dao'xu'xu
挼死去,ruo'si'qu
挼做虚个,ruo'zuo'xu'ge
三钵,san'bo
三城在营你,san'cheng'zai'ying'ni
三村,san'cun
散噷,san'hen
散吼消哪,san'hou'xiao'na
三角白,san'jiao'bai
散哭父担,san'ku'fu'dan
三目蜇,san'mu'zhe
散人散尸,san'ren'san'shi
散尸仔,san'shi'zai
散四物,san'si'wu
散仙,san'xian
丧补,sang'bu
骚仔,sao'zai
色掉,se'diao
色掉去,se'diao'qu
沙陂,sha'bei
煞风,sha'feng
砂锅糜,sha'guo'mi
沙脚沙手,sha'jiao'sha'shou
杀卤汤,sha'lu'tang
沙马,sha'ma
沙毛,sha'mao
煞怕,sha'pa
杀示油,sha'shi'you
煞唔熟,sha'wu'shu
沙溪,sha'xi
厦猪厦羊,sha'zhu'sha'yang
沙嘴尾老狎,sha'zui'wei'lao'xia
煞做是,sha'zuo'shi
汕柄,shan'bing
骟到头破希火,shan'dao'tou'po'xi'huo
山狗寮,shan'gou'liao
山狗母,shan'gou'mu
山狗宣着屁,shan'gou'xuan'zhe'pi
山家,shan'jia
山力埔,shan'li'pu
闪凉,shan'liang
睒门脚,shan'men'jiao
睒你无在,shan'ni'wu'zai
睒钱,shan'qian
苫屎仔,shan'shi'zai
山尾,shan'wei
睒无半人,shan'wu'ban'ren
睒无人,shan'wu'ren
睒无人在,shan'wu'ren'zai
鳝鱼糜,shan'yu'mi
睒着,shan'zhe
上仓,shang'cang
上厝,shang'cuo
上底,shang'di
上店,shang'dian
上东浦,shang'dong'pu
上陇林,shang'long'lin
上西沟,shang'xi'gou
上小坑,shang'xiao'keng
上盐,shang'yan
上奓,shang'zha
上宅,shang'zhai
上寨,shang'zhai
伤周会,shang'zhou'hui
烧北,shao'bei
烧吹,shao'chui
烧兑,shao'dui
烧护,shao'hu
烧戽水,shao'hu'shui
烧脚烫手,shao'jiao'tang'shou
烧螺,shao'luo
烧螺藤,shao'luo'teng
烧褛,shao'lv
烧褛稍,shao'lv'shao
烧骂,shao'ma
烧骂烧拍,shao'ma'shao'pai
烧糜损咸菜,shao'mi'sun'xian'cai
烧拍,shao'pai
烧拍地计,shao'pai'di'ji
烧噗,shao'pu
哨砌勾,shao'qi'gou
烧输,shao'shu
烧透,shao'tou
烧咬,shao'yao
设掉,she'diao
摄浪,she'lang
舍坯,she'pi
蛇舌草,she'she'cao
设设二下,she'she'er'xia
歙示,she'shi
神床,shen'chuang
深沟,shen'gou
深冷,shen'leng
深岭,shen'ling
深浦,shen'pu
神山,shen'shan
深溪,shen'xi
神仙里,shen'xian'li
审者,shen'zhe
生到甲鳎棚样,sheng'dao'jia'ta'peng'yang
声格,sheng'ge
升公,sheng'gong
生孤,sheng'gu
晟褂,sheng'gua
圣过浪,sheng'guo'lang
晟浪,sheng'lang
晟浪哩着,sheng'lang'li'zhe
生孬过药,sheng'nao'guo'yao
胜前,sheng'qian
晟人,sheng'ren
晟人是样,sheng'ren'shi'yang
晟样,sheng'yang
生庄,sheng'zhuang
石斑,shi'ban
食饱哦,shi'bao'o
食饱清烧,shi'bao'qing'shao
食饱未,shi'bao'wei
试蔡,shi'cai
食茶,shi'cha
驶车,shi'che
食存条步,shi'cun'tiao'bu
食到肚碑碑,shi'dao'du'bei'bei
食到肚乖乖,shi'dao'du'guai'guai
食到个肚甲楹筒棚大,shi'dao'ge'du'jia'ying'tong'peng'da
食到例例,shi'dao'li'li
食到照大,shi'dao'zhao'da
食店铺,shi'dian'pu
市顶无鱼沙哑贵,shi'ding'wu'yu'sha'ya'gui
食饭,shi'fan
食分,shi'fen
试感,shi'gan
石感东,shi'gan'dong
屎沟,shi'gou
屎沟头,shi'gou'tou
食滚水,shi'gun'shui
诗家,shi'jia
拭脚仓,shi'jiao'cang
食街市,shi'jie'shi
食酒,shi'jiu
史康,shi'kang
石坑,shi'keng
食口食,shi'kou'shi
食块帕块,shi'kuai'pa'kuai
食了蔗来,shi'le'zhe'lai
事里食,shi'li'shi
试流,shi'liu
试流试蔡,shi'liu'shi'cai
食噜面,shi'lu'mian
石门山,shi'men'shan
食糜奓桔,shi'mi'zha'ju
驶摩托,shi'mo'tuo
食岂饱,shi'qi'bao
市上,shi'shang
世上无鱼沙哑贵,shi'shang'wu'yu'sha'ya'gui
食神,shi'shen
蚀嗍,shi'suo
狮头鹅,shi'tou'e
示油,shi'you
石仔,shi'zai
试仔花,shi'zai'hua
十炸,shi'zha
石珠园,shi'zhu'yuan
手后烫,shou'hou'tang
手唶,shou'ji
受亏食麻,shou'kui'shi'ma
手目,shou'mu
手盘,shou'pan
收起,shou'qi
收衫,shou'shan
手宰,shou'zai
叔恶,shu'e
叔娜,shu'na
束砂,shu'sha
叔孙仔,shu'sun'zai
树香,shu'xiang
耍哓,shua'xiao
耍游戏,shua'you'xi
衰昌,shuai'chang
衰到迷鼻,shuai'dao'mi'bi
衰家丁,shuai'jia'ding
衰膣仔,shuai'zhi'zai
双甲劳,shuang'jia'lao
双老,shuang'lao
双岐,shuang'qi
双山,shuang'shan
双新,shuang'xin
水美,shui'mei
水屈仔,shui'qu'zai
水鞋,shui'xie
四班大朵厚,si'ban'da'duo'hou
四班枝苦耐,si'ban'zhi'ku'nai
死到唔知呆,si'dao'wu'zhi'dai
死到唔知感,si'dao'wu'zhi'gan
死到硬硬,si'dao'ying'ying
四点金,si'dian'jin
四方床,si'fang'chuang
死哏死哏,si'gen'si'gen
四勾角,si'gou'jiao
司蚶,si'han
四和,si'he
泗和,si'he
泗黄,si'huang
死近死近,si'jin'si'jin
泗联,si'lian
司马浦,si'ma'pu
四马拖车,si'ma'tuo'che
司尿,si'niao
司上,si'shang
四十亩,si'shi'mu
四溪,si'xi
司下,si'xia
四庄正,si'zhuang'zheng
松拢,song'long
酥草,su'cao
酥饺,su'jiao
苏林,su'lin
苏明,su'ming
酥糖,su'tang
唆尖郑幼,suo'jian'zheng'you
嗍来嗍去,suo'lai'suo'qu
唆丸,suo'wan
唆丸仔,suo'wan'zai
踏岛,ta'dao
踏岛石,ta'dao'shi
踏脚车,ta'jiao'che
台鸡斩鸟,tai'ji'zhan'niao
太平光,tai'ping'guang
台人种瓜,tai'ren'zhong'gua
太世在唔北,tai'shi'zai'wu'bei
台削,tai'xue
台猪,tai'zhu
叹日,tan'ri
叹世人,tan'shi'ren
叹头叹尾,tan'tou'tan'wei
叹粘食,tan'zhan'shi
糖班,tang'ban
汤匙,tang'chi
堂厝,tang'cuo
烫到白白,tang'dao'bai'bai
堂短脚,tang'duan'jiao
堂后,tang'hou
烫裤,tang'ku
烫毛,tang'mao
烫糜,tang'mi
堂衫除,tang'shan'chu
堂衫橱,tang'shan'chu
烫衫裤,tang'shan'ku
桃陈,tao'chen
桃花驿尾,tao'hua'yi'wei
讨坕,tao'jing
逃苦债,tao'ku'zhai
桃溪,tao'xi
讨赚,tao'zhuan
特仔鱼,te'zi'yu
剔补,ti'bu
剔补糜,ti'bu'mi
剔掉,ti'diao
体亏,ti'kui
剔仔,ti'zai
剔做二块,ti'zuo'er'kuai
剔做二爿,ti'zuo'er'pan
田哒安,tian'da'an
田地写入庵,tian'di'xie'ru'an
田东,tian'dong
田二,tian'er
天就尾,tian'jiu'wei
田螺弯弯偎囝死,tian'luo'wan'wan'wei'jian'si
田墘,tian'qian
田三,tian'san
天时言,tian'shi'yan
田四,tian'si
天乌乌,tian'wu'wu
天县人大,tian'xian'ren'da
田心围,tian'xin'wei
田一,tian'yi
调羹,tiao'geng
鲦鱼,tiao'yu
铁长,tie'chang
铁橙,tie'cheng
铁蜂胡,tie'feng'hu
铁鲫,tie'ji
铁膣纸脚廉,tie'zhi'zhi'jiao'lian
铁嘴豆腐脚,tie'zui'dou'fu'jiao
铜钵盂,tong'bo'yu
铜匙,tong'chi
桶箍,tong'gu
铜呵,tong'he
铜螺乖,tong'luo'guai
桶盘,tong'pan
通身,tong'shen
捅屎沟,tong'shi'gou
同哇无在去,tong'wa'wu'zai'qu
铜盂,tong'yu
头烲烲,tou'che'che
透大季,tou'da'ji
透风,tou'feng
头毛素素,tou'mao'su'su
偷睒,tou'shan
偷走,tou'zou
土鲫,tu'ji
塗箕,tu'ji
塗鮸,tu'mian
图墙刮灰,tu'qiang'gua'hui
塗鳅,tu'qiu
吐人吐血,tu'ren'tu'xie
塗塞,tu'sai
涂三陇四,tu'san'long'si
吐屎吐吓,tu'shi'tu'xia
吐血,tu'xie
土胸,tu'xiong
土种,tu'zhong
煺到白白,tui'dao'bai'bai
煺裤,tui'ku
煺毛,tui'mao
煺衫裤,tui'shan'ku
哇过日,wa'guo'ri
哇话,wa'hua
歪唧,wai'ji
歪浪簑,wai'lang'sui
外輋,wai'she
外洋尾,wai'yang'wei
歪膣,wai'zhi
歪嘴,wai'zui
碗哎,wan'ai
碗爸,wan'ba
碗公,wan'gong
碗妈,wan'ma
碗玛,wan'ma
碗婆,wan'po
完簑,wan'sui
碗姨,wan'yi
王厝岭,wang'cuo'ling
往老婆,wang'lao'po
往亩,wang'mu
望上,wang'shang
畏春畏鸠,wei'chun'wei'jiu
未是无,wei'shi'wu
未食在,wei'shi'zai
未症未,wei'zheng'wei
文光,wen'guang
文光塔,wen'guang'ta
蚊莽,wen'mang
塭美,wen'mei
问神咵命,wen'shen'kua'ming
龌龊,wo'chuo
我囝我肉,wo'jian'wo'rou
我看嗝担,wo'kan'ge'dan
窝裸,wo'luo
唔北腊着,wu'bei'la'zhe
乌草,wu'cao
乌鲳,wu'chang
勿鹾哪,wu'cuo'na
勿挫哪,wu'cuo'na
无哒无搭,wu'da'wu'da
物到浪猪,wu'dao'lang'zhu
乌到诺诺,wu'dao'nuo'nuo
物到夜棚着,wu'dao'ye'peng'zhe
物掉,wu'diao
勿碟着我,wu'die'zhe'wo
勿啶我,wu'ding'wo
午都,wu'dou
午都十八省,wu'du'shi'ba'sheng
五丰,wu'feng
勿好淡,wu'hao'dan
焐火,wu'huo
无甲你在涩八,wu'jia'ni'zai'se'ba
唔嘦书,wu'jiao'shu
焐久哩熟,wu'jiu'li'shu
焐聚,wu'ju
勿看着卖气,wu'kan'zhe'mai'qi
无块好哇,wu'kuai'hao'wa
无浪事,wu'lang'shi
无哩哒哒,wu'li'da'da
无米粿,wu'mi'guo
无目内障,wu'mu'nei'zhang
务你建功,wu'ni'jian'gong
务拍,wu'pai
唔棚样,wu'peng'yang
乌枪,wu'qiang
乌青班肿,wu'qing'ban'zhong
唔犬,wu'quan
唔犬娜,wu'quan'na
唔犬指底,wu'quan'zhi'di
勿散嚷哪,wu'san'rang'na
唔烧北,wu'shao'bei
唔烧浪相,wu'shao'lang'xiang
唔烧唔北,wu'shao'wu'bei
唔晟,wu'sheng
乌石,wu'shi
无事散农中,wu'shi'san'nong'zhong
无事准摄浪,wu'shi'zhun'she'lang
无书,wu'shu
无输无营,wu'shu'wu'ying
无输营,wu'shu'ying
无说,wu'shuo
唔熥心,wu'teng'xin
伍田,wu'tian
乌头饶,wu'tou'rao
勿卫着人,wu'wei'zhe'ren
勿无哩有,wu'wu'li'you
五响,wu'xiang
无乡好,wu'xiang'hao
无乡邋,wu'xiang'la
勿孝淡,wu'xiao'dan
唔晓嗍沙嗍,wu'xiao'suo'sha'suo
乌携麻,wu'xie'ma
无心晟,wu'xin'sheng
乌岩,wu'yan
无样无相,wu'yang'wu'xiang
无影娜,wu'ying'na
无影无迹,wu'ying'wu'ji
乌鱼,wu'yu
勿在驳,wu'zai'bo
勿在鹾啊,wu'zai'cuo'a
勿在挫啊,wu'zai'cuo'a
无在好哇,wu'zai'hao'wa
无宰事,wu'zai'shi
勿在十炸,wu'zai'shi'zha
勿在哓,wu'zai'xiao
唔诏书,wu'zhao'shu
唔照书,wu'zhao'shu
勿照些娜,wu'zhao'xie'na
乌知,wu'zhi
巫字,wu'zi
无纵无事,wu'zong'wu'shi
无做尼,wu'zuo'ni
无做无尼,wu'zuo'wu'ni
洗白,xi'bai
溪边,xi'bian
溪鞭,xi'bian
徙到地块去,xi'dao'di'kuai'qu
噏到咪咪,xi'dao'mi'mi
肸掉,xi'diao
溪东,xi'dong
溪东里,xi'dong'li
西二,xi'er
噏番薯,xi'fan'shu
西凤,xi'feng
西港,xi'gang
噏戇去,xi'gang'qu
西沟,xi'gou
西官,xi'guan
西光,xi'guang
细妗,xi'jin
细舅,xi'jiu
西坑,xi'keng
溪口,xi'kou
西丽园,xi'li'yuan
西寮,xi'liao
西陇,xi'long
西胪,xi'lu
西美,xi'mei
溪美朱,xi'mei'zhu
溪南,xi'nan
西爿,xi'pan
西平,xi'ping
西岐,xi'qi
溪墘,xi'qian
扱去嘴底钻,xi'qu'zui'di'zuan
洗衫粉,xi'shan'fen
吸神,xi'shen
习输你,xi'shu'ni
习输伊,xi'shu'yi
肸水腰仔,xi'shui'yao'zai
洗头膏,xi'tou'gao
徙位,xi'wei
溪尾,xi'wei
溪尾周,xi'wei'zhou
溪西,xi'xi
溪仙,xi'xian
西新,xi'xin
溪心,xi'xin
西一,xi'yi
细姨,xi'yi
西宅,xi'zhai
霞厝,xia'cuo
下底,xia'di
下店,xia'dian
下东浦,xia'dong'pu
虾姑,xia'gu
夏龟抽,xia'gui'chou
下间,xia'jian
虾烙,xia'lao
下美,xia'mei
虾糜,xia'mi
狎钱,xia'qian
下桥,xia'qiao
峡山,xia'shan
下双虎,xia'shuang'hu
下双虎叠楼,xia'shuang'hu'die'lou
虾虾,xia'xia
下小坑,xia'xiao'keng
下洋,xia'yang
下寨,xia'zhai
仙材,xian'cai
咸菜,xian'cai
咸菜尾老映,xian'cai'wei'lao'ying
仙城,xian'cheng
线抽风,xian'chou'feng
线担,xian'dan
线吠,xian'fei
仙港,xian'gang
闲过仙,xian'guo'xian
线哭父,xian'ku'fu
线哭父担,xian'ku'fu'dan
先帘卖漏,xian'lian'mai'lou
涎拢屁白去,xian'long'pi'bai'qu
咸梅歹,xian'mei'dai
仙门,xian'men
线四嗙,xian'si'beng
线四在担,xian'si'zai'dan
咸酸除,xian'suan'chu
咸酸橱,xian'suan'chu
仙田,xian'tian
仙仙,xian'xian
蚬蚬葱,xian'xian'cong
仙新,xian'xin
弦鱼,xian'yu
蚬仔,xian'zai
咸整,xian'zheng
香到褂吹无,xiang'dao'gua'chui'wu
相何,xiang'he
想了着小,xiang'le'zhe'xiao
巷内,xiang'nei
乡下笠,xiang'xia'li
巷鱼,xiang'yu
巷仔,xiang'zai
小北岩,xiao'bei'yan
小到下,xiao'dao'xia
小到猪,xiao'dao'zhu
笑丁,xiao'ding
肖渡,xiao'du
小唧,xiao'ji
笑柯,xiao'ke
小南,xiao'nan
笑曲,xiao'qu
孝食,xiao'shi
晓嗍无好嗍,xiao'suo'wu'hao'suo
小膣,xiao'zhi
蟹地庵,xie'di'an
携勾碗,xie'gou'wan
歇困,xie'kun
泻衰人,xie'shuai'ren
鞋拖,xie'tuo
写字床,xie'zi'chuang
新厝,xin'cuo
新德,xin'de
新宫,xin'gong
新河浦,xin'he'pu
新洪,xin'hong
新基洋,xin'ji'yang
新联,xin'lian
新寮,xin'liao
新寮门,xin'liao'men
新民,xin'min
新坡,xin'po
新浦,xin'pu
新岐,xin'qi
新侨,xin'qiao
新庆,xin'qing
新围,xin'wei
新溪西,xin'xi'xi
新圩,xin'xu
新中,xin'zhong
幸过食炒面,xing'guo'shi'chao'mian
行好,xing'hao
行街,xing'jie
行亏,xing'kui
行来行去,xing'lai'xing'qu
兴陇,xing'long
兴平,xing'ping
行唔北在,xing'wu'bei'zai
胸感,xiong'gan
凶过铳,xiong'guo'chong
凶去齕铳单,xiong'qu'he'chong'dan
徐厝寮,xu'cuo'liao
许年,xu'nian
许珍时,xu'zhen'shi
宣桶,xuan'tong
血蚶,xue'han
雪雪白,xue'xue'bai
浔洄,xun'hui
巡梅,xun'mei
噀尿,xun'niao
雅到担唔北去,ya'dao'dan'wu'bei'qu
雅到漠漠,ya'dao'mo'mo
鸦到嘴歪,ya'dao'zui'wai
鸦二下齕你灵钟,ya'er'xia'he'ni'ling'zhong
哑狗哑芳,ya'gou'ya'fang
讶过浪,ya'guo'lang
讶过浪屎,ya'guo'lang'shi
讶过乜个,ya'guo'mie'ge
鸭键,ya'jian
鸭近,ya'jin
雅亩损夫婿,ya'mu'sun'fu'xu
雅女损囝婿,ya'nv'sun'jian'xu
亚怕,ya'pa
鸭实,ya'shi
雅死,ya'si
鸭习,ya'xi
亚虚亚霞,ya'xu'ya'xia
言秤,yan'cheng
焉到苦去,yan'dao'ku'qu
言过大水,yan'guo'da'shui
焉齕猪配,yan'he'zhu'pei
岩前,yan'qian
言死,yan'si
啱啱好,yan'yan'hao
焉膣焉到含个苦去,yan'zhi'yan'dao'han'ge'ku'qu
洋贝,yang'bei
阳埕,yang'cheng
洋汾陈,yang'fen'chen
洋汾林,yang'fen'lin
洋灰,yang'hui
洋坑,yang'keng
洋老,yang'lao
洋美,yang'mei
洋内,yang'nei
洋文,yang'wen
洋新,yang'xin
样样好赶,yang'yang'hao'gan
腰龟,yao'gui
腰龟钵落对臼,yao'gui'bo'luo'dui'jiu
妖过闹虎,yao'guo'nao'hu
腰沁沁,yao'qin'qin
舀水,yao'shui
腰桶,yao'tong
夜暗,ye'an
夜年,ye'nian
一年叹叹,yi'nian'tan'tan
倚势,yi'shi
已晏晏煲响碳,yi'yan'yan'bao'xiang'tan
义英,yi'ying
乙着块食,yi'zhe'kuai'shi
乙着伊生好,yi'zhe'yi'sheng'hao
银鱼,yin'yu
银纸虚,yin'zhi'xu
英大埔,ying'da'bu
应肥,ying'fei
硬过铁尺,ying'guo'tie'chi
硬好,ying'hao
楹母,ying'mu
英妻疑,ying'qi'yi
影着,ying'zhe
影着个人,ying'zhe'ge'ren
永丰,yong'feng
佣雄,yong'xiong
有阿呶,you'a'nao
油甘,you'gan
油馃,you'guo
油甲,you'jia
有哩啦啦,you'li'la'la
有哩是,you'li'shi
有娜,you'na
有在好,you'zai'hao
油炸馃,you'zha'guo
油箸,you'zhu
有嘴担无话,you'zui'dan'wu'hua
哊嘬,you'zuo
屿北,yu'bei
浴布,yu'bu
愈到面红红,yu'dao'mian'hong'hong
玉二,yu'er
鱼腹,yu'fu
鱼粿,yu'guo
玉窖,yu'jiao
愈拉愈生泡,yu'la'yu'sheng'pao
愈来愈大,yu'lai'yu'da
愈来愈细,yu'lai'yu'xi
愈了面红红,yu'le'mian'hong'hong
玉路,yu'lu
鱼糜,yu'mi
屿南,yu'nan
玉山,yu'shan
鱼汤,yu'tang
鱼头糜,yu'tou'mi
鱼丸,yu'wan
愈物愈大,yu'wu'yu'da
愈物愈细,yu'wu'yu'xi
玉一,yu'yi
圆山,yuan'shan
愿死,yuan'si
熨季,yun'ji
晕了雁唔醒,yun'le'yan'wu'xing
愠卤汤,yun'lu'tang
愠示油,yun'shi'you
愠水,yun'shui
运战,yun'zhan
运战挨担,yun'zhan'ai'dan
在口农中,zai'kou'nong'zhong
在惹,zai're
在少,zai'shao
宰头公,zai'tou'gong
在乡爿,zai'xiang'pan
在照,zai'zhao
早到你摸去,zao'dao'ni'mo'qu
早浪在,zao'lang'zai
早神早头,zao'shen'zao'tou
早死仔妮妮,zao'si'zai'ni'ni
早仔,zao'zai
早早在,zao'zao'zai
则贱,ze'jian
揸存支死嘴,zha'cun'zhi'si'zui
闸到白白,zha'dao'bai'bai
哳到哼哼去,zha'dao'heng'heng'qu
哳掉,zha'diao
揸个膣哩来分池鱼,zha'ge'zhi'li'lai'fen'chi'yu
扎死人,zha'si'ren
哳叹口爿出去,zha'tan'kou'pan'chu'qu
