爱民如子,ai'min'ru'zi
乐为两岸月圆时,le'wei'liang'an'yue'yuan'shi
乐滋滋为四化,le'zi'zi'wei'si'hua
乐做红娘搭鹊桥,le'zuo'hong'niang'da'que'qiao
冷暖随人意,leng'nuan'sui'ren'yi
篱边晏物类相同,li'bian'yan'wu'lei'xiang'tong
鲤沉底,li'chen'di
李沉鲤浮,li'chen'li'fu
李打鲤,li'da'li
梨儿腹内酸,li'er'fu'nei'suan
理贵持平不卑不亢,li'gui'chi'ping'bu'bei'bu'kang
礼貌待客宾至如家暖人心,li'mao'dai'ke'bin'zhi'ru'jia'nuan'ren'xin
丽日悬天,li'ri'xuan'tian
李桃交谊笃,li'tao'jiao'yi'du
立壮志攀登世界高峰,li'zhuang'zhi'pan'deng'shi'jie'gao'feng
联两地为一家,lian'liang'di'wei'yi'jia
莲子心中苦,lian'zi'xin'zhong'ku
两碟豆两蝶,liang'die'dou'liang'die
良工手内无弃材,liang'gong'shou'nei'wu'qi'cai
良工自古不遗材,liang'gong'zi'gu'bu'yi'cai
两行秋雁,liang'hang'qiu'yan
粮家乃国本利其余,liang'jia'nai'guo'ben'li'qi'yu
两轮左右走高低,liang'lun'zuo'you'zou'gao'di
两舟竞渡,liang'zhou'jing'du
烈火煎茶,lie'huo'jian'cha
林木成荫无山不绿,lin'mu'cheng'yin'wu'shan'bu'lv
林下示禁,lin'xia'shi'jin
霖雨春色,lin'yu'chun'se
灵活经营财源茂盛,ling'huo'jing'ying'cai'yuan'mao'sheng
流半边,liu'ban'bian
留半边,liu'ban'bian
六畜兴旺,liu'chu'xing'wang
流光夺月辉,liu'guang'duo'yue'hui
刘伶饮酒不留零,liu'ling'yin'jiu'bu'liu'ling
流楼共千古,liu'lou'gong'qian'gu
六七八九少食,liu'qi'ba'jiu'shao'shi
六书三笔善装璜,liu'shu'san'bi'shan'zhuang'huang
六文开玉篆,liu'wen'kai'yu'zhuan
柳眼才舒芳草地,liu'yan'cai'shu'fang'cao'di
六游全属斯文辈,liu'you'quan'shu'si'wen'bei
留与后人久远居,liu'yu'hou'ren'jiu'yuan'ju
留住秋水旧丰神,liu'zhu'qiu'shui'jiu'feng'shen
龙井泉多奇味,long'jing'quan'duo'qi'wei
龙蛇蜿蜒归梨枣,long'she'wan'yan'gui'li'zao
楼外春阴鸠唤雨,lou'wai'chun'yin'jiu'huan'yu
楼望海海望楼,lou'wang'hai'hai'wang'lou
路边鹭,lu'bian'lu
路边宿鹭,lu'bian'su'lu
露打鹭飞路未飞,lu'da'lu'fei'lu'wei'fei
橹动而船行,lu'dong'er'chuan'xing
露落鹭惊,lu'luo'lu'jing
路难惊,lu'nan'jing
橹速不如帆快,lu'su'bu'ru'fan'kuai
鸾九声,luan'jiu'sheng
论学粗,lun'xue'cu
论政疏,lun'zheng'shu
罗汉请观音,luo'han'qing'guan'yin
螺号唤醒万家春,luo'hao'huan'xing'wan'jia'chun
洛阳桥,luo'yang'qiao
骆曰骆曰骆骆曰,luo'yue'luo'yue'luo'luo'yue
落纸如云烟,luo'zhi'ru'yun'yan
绿遍九州始是春,lv'bian'jiu'zhou'shi'shi'chun
履洪涛如平地,lv'hong'tao'ru'ping'di
绿桔红柑奇香可挹,lv'ju'hong'gan'qi'xiang'ke'yi
绿柳展枝舞春风,lv'liu'zhan'zhi'wu'chun'feng
绿字赤文皆可诵,lv'zi'chi'wen'jie'ke'song
马鞭鞭马马惊鞭,ma'bian'bian'ma'ma'jing'bian
马来芦畔,ma'lai'lu'pan
妈妈骑马,ma'ma'qi'ma
马慢妈妈骂马,ma'man'ma'ma'ma'ma
马歇尔歇马,ma'xie'er'xie'ma
满怀生意春风蔼,man'huai'sheng'yi'chun'feng'ai
满室明如昼,man'shi'ming'ru'zhou
冒出一串珍珠,mao'chu'yi'chuan'zhen'zhu
冒冒冒冒,mao'mao'mao'mao
冒冒冒冒冒出一串珍珠,mao'mao'mao'mao'mao'chu'yi'chuan'zhen'zhu
煤爆梅香两眉煤,mei'bao'mei'xiang'liang'mei'mei
梅传喜庆年,mei'chuan'xi'qing'nian
梅花四五点天下皆春,mei'hua'si'wu'dian'tian'xia'jie'chun
煤抹梅香两眉煤,mei'mo'mei'xiang'liang'mei'mei
美女堂前抱绣裁,mei'nv'tang'qian'bao'xiu'cai
煤炭柴火店用联,mei'tan'chai'huo'dian'yong'lian
美味出金华,mei'wei'chu'jin'hua
美味招来云外客,mei'wei'zhao'lai'yun'wai'ke
眉先生须后生,mei'xian'sheng'xu'hou'sheng
梅香烧煤,mei'xiang'shao'mei
梅香添煤,mei'xiang'tian'mei
门对千根竹,men'dui'qian'gen'zhu
门对千根竹短,men'dui'qian'gen'zhu'duan
门对千根竹短无,men'dui'qian'gen'zhu'duan'wu
门对青山羊免群群嬉碧毯,men'dui'qing'shan'yang'mian'qun'qun'xi'bi'tan
门闾楹角焕光华,men'lv'ying'jiao'huan'guang'hua
密蕊精花几许春,mi'rui'jing'hua'ji'xu'chun
妙人儿倪家少女,miao'ren'er'ni'jia'shao'nv
妙手不停,miao'shou'bu'ting
民间疾苦,min'jian'ji'ku
民以食为天,min'yi'shi'wei'tian
民拥军意比泰山重,min'yong'jun'yi'bi'tai'shan'zhong
民犹是也,min'you'shi'ye
民族正气山川增色,min'zu'zheng'qi'shan'chuan'zeng'se
明朝年头,ming'chao'nian'tou
明日逢春好不晦气,ming'ri'feng'chun'hao'bu'hui'qi
茗碗香腾遣睡魔,ming'wan'xiang'teng'qian'shui'mo
莫辜负,mo'gu'fu
墨抹书童一脉墨,mo'mo'shu'tong'yi'mai'mo
墨染雅青五色奇,mo'ran'ya'qing'wu'se'qi
磨针石上,mo'zhen'shi'shang
木打牧童双目木,mu'da'mu'tong'shuang'mu'mu
牧童伐木,mu'tong'fa'mu
哪怕乌云盖顶,na'pa'wu'yun'gai'ding
男单女成双,nan'dan'nv'cheng'shuang
南来北往,nan'lai'bei'wang
难求人,nan'qiu'ren
南翔缟素,nan'xiang'gao'su
内口皆归外口管,nei'kou'jie'gui'wai'kou'guan
嫩柳迎春多姿,nen'liu'ying'chun'duo'zi
嫩绿娇红,nen'lv'jiao'hong
泥尽尼归,ni'jin'ni'gui
泥泞尼鞋,ni'ning'ni'xie
尼洗泥,ni'xi'ni
年丰德茂福盛,nian'feng'de'mao'fu'sheng
年丰人寿福满,nian'feng'ren'shou'fu'man
年年春色去还来,nian'nian'chun'se'qu'hai'lai
年年年尾接年头,nian'nian'nian'wei'jie'nian'tou
年年韧阜民康,nian'nian'ren'fu'min'kang
鸟处笼中,niao'chu'long'zhong
鸟入风中,niao'ru'feng'zhong
鸟兽飞腾入简笺,niao'shou'fei'teng'ru'jian'jian
鸟语花香春浓,niao'yu'hua'xiang'chun'nong
鸟语飘林鸟知春,niao'yu'piao'lin'niao'zhi'chun
牛拧妞妞拧牛,niu'ning'niu'niu'ning'niu
妞妞轰牛,niu'niu'hong'niu
农村气象新,nong'cun'qi'xiang'xin
浓妆淡抹总相宜,nong'zhuang'dan'mo'zong'xiang'yi
暖暖寒寒,nuan'nuan'han'han
女卑为婢女又可称奴,nv'bei'wei'bi'nv'you'ke'cheng'nu
偶然雅集百乐齐鸣,ou'ran'ya'ji'bai'le'qi'ming
炮镇海城楼,pao'zhen'hai'cheng'lou
鼙报捷音一壶春暖,pi'bao'jie'yin'yi'hu'chun'nuan
披襟岸帻,pi'jin'an'ze
琵琶琴瑟八大王,pi'pa'qin'se'ba'da'wang
偏颇不得双纽关心,pian'po'bu'de'shuang'niu'guan'xin
便宜不便宜便宜,pian'yi'bu'pian'yi'pian'yi
飘飘飘飘,piao'piao'piao'piao
飘飘飘飘飘下两条玉带,piao'piao'piao'piao'piao'xia'liang'tiao'yu'dai
飘下两条玉带,piao'xia'liang'tiao'yu'dai
品绿评红调朱绚素,pin'lv'ping'hong'tiao'zhu'xuan'su
平安劳传报莫教竹素想思,ping'an'lao'chuan'bao'mo'jiao'zhu'su'xiang'si
平康兆民,ping'kang'zhao'min
瓶中色映葡萄紫,ping'zhong'se'ying'pu'tao'zi
气当和淑鸟知春,qi'dang'he'shu'niao'zhi'chun
妻夫人媳夫人,qi'fu'ren'xi'fu'ren
气冷凝出一片冰,qi'leng'ning'chu'yi'pian'bing
骑奇马,qi'qi'ma
妻起弃棋,qi'qi'qi'qi
其人好不伤悲,qi'ren'hao'bu'shang'bei
妻失夫媳失夫,qi'shi'fu'xi'shi'fu
妻媳皆夫人,qi'xi'jie'fu'ren
妻媳皆失夫,qi'xi'jie'shi'fu
奇香细丽金壶汁,qi'xiang'xi'li'jin'hu'zhi
企业自主干群意气奋发,qi'ye'zi'zhu'gan'qun'yi'qi'fen'fa
乾八卦,qian'ba'gua
前车后辙,qian'che'hou'zhe
前程远大脚根须站稳,qian'cheng'yuan'da'jiao'gen'xu'zhan'wen
千古流,qian'gu'liu
千古楼,qian'gu'lou
千古楼上望千古流,qian'gu'lou'shang'wang'qian'gu'liu
千里春风劳驿使,qian'li'chun'feng'lao'yi'shi
潜力挖掘,qian'li'wa'jue
千里重金锺,qian'li'zhong'jin'zhong
钱山靠山其为山乎,qian'shan'kao'shan'qi'wei'shan'hu
千山齐唱迎春曲,qian'shan'qi'chang'ying'chun'qu
千字头,qian'zi'tou
巧理千家事,qiao'li'qian'jia'shi
桥上荞,qiao'shang'qiao
侨乡面貌月异日新,qiao'xiang'mian'mao'yue'yi'ri'xin
且看庭前锦绣鲜,qie'kan'ting'qian'jin'xiu'xian
勤俭人家庆有余,qin'jian'ren'jia'qing'you'yu
勤勤恳恳做园丁,qin'qin'ken'ken'zuo'yuan'ding
琴瑟琵琶八大王,qin'se'pi'pa'ba'da'wang
勤饲养六畜兴旺,qin'si'yang'liu'chu'xing'wang
勤学苦练气象新,qin'xue'ku'lian'qi'xiang'xin
秦砖汉瓦罗列一堂,qin'zhuan'han'wa'luo'lie'yi'tang
庆丰收全家欢乐,qing'feng'shou'quan'jia'huan'le
轻黄淡白,qing'huang'dan'bai
青帘高挂杏花村,qing'lian'gao'gua'xing'hua'cun
晴绿乍添垂柳色,qing'lv'zha'tian'chui'liu'se
卿卿暮暮朝朝,qing'qing'mu'mu'zhao'zhao
晴晴雨雨,qing'qing'yu'yu
轻轻载重,qing'qing'zai'zhong
清泉濯笋,qing'quan'zhuo'sun
青山无语,qing'shan'wu'yu
青丝路,qing'si'lu
请先生先对,qing'xian'sheng'xian'dui
清香引出洞中仙,qing'xiang'yin'chu'dong'zhong'xian
庆幸一元夏始,qing'xing'yi'yuan'xia'shi
轻重皆知一杆在手,qing'zhong'jie'zhi'yi'gan'zai'shou
轻重在公平,qing'zhong'zai'gong'ping
穷而有志思壮举,qiong'er'you'zhi'si'zhuang'ju
穷中有乐,qiong'zhong'you'le
求人难,qiu'ren'nan
秋水澄清菱花七出,qiu'shui'cheng'qing'ling'hua'qi'chu
秋水为神纤尘不染,qiu'shui'wei'shen'xian'chen'bu'ran
去后应无搔首人,qu'hou'ying'wu'sao'shou'ren
曲里寄幽情,qu'li'ji'you'qing
曲曲环环路,qu'qu'huan'huan'lu
权衡凭正直,quan'heng'ping'zheng'zhi
却是顶上功夫,que'shi'ding'shang'gong'fu
染成一段秋客,ran'cheng'yi'duan'qiu'ke
人曾是僧人弗能成佛,ren'ceng'shi'seng'ren'fu'neng'cheng'fo
人过大佛寺,ren'guo'da'fo'si
人间月影清,ren'jian'yue'ying'qing
任林间云去云来,ren'lin'jian'yun'qu'yun'lai
人民军队所向无敌,ren'min'jun'dui'suo'xiang'wu'di
人勤三春昌,ren'qin'san'chun'chang
人勤物阜,ren'qin'wu'fu
人人逢难求人难,ren'ren'feng'nan'qiu'ren'nan
人受冻寒非我愿,ren'shou'dong'han'fei'wo'yuan
人寿年丰家家乐,ren'shou'nian'feng'jia'jia'le
人寿年丰喜事多,ren'shou'nian'feng'xi'shi'duo
人梯巧搭登攀路,ren'ti'qiao'da'deng'pan'lu
人月印,ren'yue'yin
人月影,ren'yue'ying
人月影里合人月印,ren'yue'ying'li'he'ren'yue'yin
人中王人边王,ren'zhong'wang'ren'bian'wang
人中心字义各别,ren'zhong'xin'zi'yi'ge'bie
日烘杨柳绿初浮,ri'hong'yang'liu'lv'chu'fu
日丽凤和人乐,ri'li'feng'he'ren'le
日暖风凋雨顺,ri'nuan'feng'diao'yu'shun
日暖神州万木荣,ri'nuan'shen'zhou'wan'mu'rong
日影泛槐烟,ri'ying'fan'huai'yan
日在东月在西,ri'zai'dong'yue'zai'xi
褥净被暖,ru'jing'bei'nuan
入门尽是弹冠客,ru'men'jin'shi'dan'guan'ke
如玉之坚如砥之平,ru'yu'zhi'jian'ru'di'zhi'ping
瑞狮舞彩国富年丰,rui'shi'wu'cai'guo'fu'nian'feng
瑞雪吐絮迎春,rui'xue'tu'xu'ying'chun
瑞雪映兆丰稔岁,rui'xue'ying'zhao'feng'ren'sui
瑞雪兆丰年,rui'xue'zhao'feng'nian
润及轻舟水波不入,run'ji'qing'zhou'shui'bo'bu'ru
三春草木如人意,san'chun'cao'mu'ru'ren'yi
三春杨柳,san'chun'yang'liu
三点水,san'dian'shui
三个土头考老者,san'ge'tu'tou'kao'lao'zhe
三秋芳讯寄邮人,san'qiu'fang'xun'ji'you'ren
三星白兰地,san'xing'bai'lan'di
色色精工,se'se'jing'gong
色香味俱全食之不厌,se'xiang'wei'ju'quan'shi'zhi'bu'yan
扇动风生,shan'dong'feng'sheng
山呼水唤游子归,shan'hu'shui'huan'you'zi'gui
山径晓行,shan'jing'xiao'xing
山青水秀风光好,shan'qing'shui'xiu'feng'guang'hao
山山水水,shan'shan'shui'shui
山石岩前古木枯,shan'shi'yan'qian'gu'mu'ku
山羊上山山碰山羊角,shan'yang'shang'shan'shan'peng'shan'yang'jiao
赏风赏月赏秋香,shang'feng'shang'yue'shang'qiu'xiang
上海自来水来自海上,shang'hai'zi'lai'shui'lai'zi'hai'shang
上上下下,shang'shang'xia'xia
上弦弓下弦弓,shang'xian'gong'xia'xian'gong
韶华不为少年留,shao'hua'bu'wei'shao'nian'liu
少女更妙,shao'nv'geng'miao
少水沙即现,shao'shui'sha'ji'xian
舌底翻莲花,she'di'fan'lian'hua
蛇盘玉兔年有吉,she'pan'yu'tu'nian'you'ji
舌上逢甘能消苦辣,she'shang'feng'gan'neng'xiao'ku'la
身价重连城,shen'jia'chong'lian'cheng
身居宝塔,shen'ju'bao'ta
神驹腾跃吉祥年,shen'ju'teng'yue'ji'xiang'nian
深浅皆能称客心,shen'qian'jie'neng'cheng'ke'xin
神州翘首,shen'zhou'qiao'shou
生产五谷农无愧,sheng'chan'wu'gu'nong'wu'kui
生活还寻故纸堆,sheng'huo'hai'xun'gu'zhi'dui
生男曰甥,sheng'nan'yue'sheng
声声呼汝惜光阴,sheng'sheng'hu'ru'xi'guang'yin
声声鸾凤合鸣,sheng'sheng'luan'feng'he'ming
生意兴隆通四海,sheng'yi'xing'long'tong'si'hai
胜友常临可修食谱,sheng'you'chang'lin'ke'xiu'shi'pu
诗不成家聊自娱,shi'bu'cheng'jia'liao'zi'yu
石池春暖人宜浴,shi'chi'chun'nuan'ren'yi'yu
十二时辰手腕间,shi'er'shi'chen'shou'wan'jian
是非不分,shi'fei'bu'fen
师姑田上担禾上,shi'gu'tian'shang'dan'he'shang
实惠不实惠实惠,shi'hui'bu'shi'hui'shi'hui
时际芳春万象新,shi'ji'fang'chun'wan'xiang'xin
世间配定好人,shi'jian'pei'ding'hao'ren
世皆温暖是予心,shi'jie'wen'nuan'shi'yu'xin
十口心思,shi'kou'xin'si
师娘登楼望南北,shi'niang'deng'lou'wang'nan'bei
诗入画图中,shi'ru'hua'tu'zhong
世上疮痍,shi'shang'chuang'yi
世上无难事无心人不就,shi'shang'wu'nan'shi'wu'xin'ren'bu'jiu
师生团结佳话多,shi'sheng'tuan'jie'jia'hua'duo
是是非非,shi'shi'fei'fei
时时好好奇奇,shi'shi'hao'hao'qi'qi
师司徒,shi'si'tu
石头跟石头实头,shi'tou'gen'shi'tou'shi'tou
是土堤方成,shi'tu'di'fang'cheng
师徒司徒,shi'tu'si'tu
食为民天济所不足,shi'wei'min'tian'ji'suo'bu'zu
式样烦君多留意老少各随时,shi'yang'fan'jun'duo'liu'yi'lao'shao'ge'sui'shi
适用乃为宜,shi'yong'nai'wei'yi
时雨润春苗,shi'yu'run'chun'miao
诗曰明日送僧归古寺,shi'yue'ming'ri'song'seng'gui'gu'si
诗中圣哲,shi'zhong'sheng'zhe
守准则执法铁面无私,shou'zhun'ze'zhi'fa'tie'mian'wu'si
束棘为薪,shu'ji'wei'xin
书临汉书翰林书,shu'lin'han'shu'han'lin'shu
数千年往事,shu'qian'nian'wang'shi
数千年治乱兴衰都归大手笔,shu'qian'nian'zhi'luan'xing'shuai'dou'gui'da'shou'bi
书山万仞志能攀,shu'shan'wan'ren'zhi'neng'pan
树上桐子,shu'shang'tong'zi
数声鸟语助吟怀,shu'sheng'niao'yu'zhu'yin'huai
暑鼠凉梁,shu'shu'liang'liang
暑鼠凉梁客咳惊,shu'shu'liang'liang'ke'ke'jing
书童磨墨,shu'tong'mo'mo
鼠拖黍穗,shu'tuo'shu'sui
树下童子,shu'xia'tong'zi
梳襄就风鬟雾鬓,shu'xiang'jiu'feng'huan'wu'bin
树雄心攻克科学堡垒,shu'xiong'xin'gong'ke'ke'xue'bao'lei
术业宜从勤学始,shu'ye'yi'cong'qin'xue'shi
树已半枯休纵斧,shu'yi'ban'ku'xiu'zong'fu
双翅东西分上下,shuang'chi'dong'xi'fen'shang'xia
双木成林,shuang'mu'cheng'lin
双手盖起高楼大厦,shuang'shou'gai'qi'gao'lou'da'sha
双足踏遍地北天南,shuang'zu'ta'bian'di'bei'tian'nan
水车车水水随车,shui'che'che'shui'shui'sui'che
水冲石头,shui'chong'shi'tou
水阁冬温客更多,shui'ge'dong'wen'ke'geng'duo
水国鱼传尺素书,shui'guo'yu'chuan'chi'su'shu
水汲石中泉,shui'ji'shi'zhong'quan
水冷洒,shui'leng'sa
水连天天连水,shui'lian'tian'tian'lian'shui
水流东坡诗,shui'liu'dong'po'shi
水陆洲,shui'lu'zhou
水陆舟车四通八达,shui'lu'zhou'che'si'tong'ba'da
水绿织克光,shui'lv'zhi'ke'guang
水牛下水水没水牛腰,shui'niu'xia'shui'shui'mei'shui'niu'yao
水如天,shui'ru'tian
水上一鸥游,shui'shang'yi'ou'you
水使舟流洲不流,shui'shi'zhou'liu'zhou'bu'liu
四方宾至如归,si'fang'bin'zhi'ru'gui
寺佛大过人,si'fo'da'guo'ren
思耕心上田,si'geng'xin'shang'tian
思国思家思社稷,si'guo'si'jia'si'she'ji
四季财丰遂我情,si'ji'cai'feng'sui'wo'qing
四口同固,si'kou'tong'gu
寺旁言诗,si'pang'yan'shi
思前想后,si'qian'xiang'hou
斯人莫道世间无,si'ren'mo'dao'shi'jian'wu
四时恒满金银器,si'shi'heng'man'jin'yin'qi
四时花鸟贮金针,si'shi'hua'niao'zhu'jin'zhen
死水活鱼游,si'shui'huo'yu'you
四维罗夕夕多,si'wei'luo'xi'xi'duo
思乡思友思父母,si'xiang'si'you'si'fu'mu
四周香稻,si'zhou'xiang'dao
丝竹管弦声,si'zhu'guan'xian'sheng
松窗有秘方,song'chuang'you'mi'fang
宋挥玉斧,song'hui'yu'fu
宋锦吴绫工绚饰,song'jin'wu'ling'gong'xuan'shi
搜罗异味备天厨,sou'luo'yi'wei'bei'tian'chu
岁岁风调雨顺,sui'sui'feng'tiao'yu'shun
虽云毫末技艺,sui'yun'hao'mo'ji'yi
岁自更新春不老,sui'zi'geng'xin'chun'bu'lao
笋沉涧底走龙孙,sun'chen'jian'di'zou'long'sun
缩千里为咫尺,suo'qian'li'wei'zhi'chi
塔楼亮灯,ta'lou'liang'deng
踏破磊桥三块石,ta'po'lei'qiao'san'kuai'shi
太极两仪生四象,tai'ji'liang'yi'sheng'si'xiang
台上冰华澈,tai'shang'bing'hua'che
叹滚滚英雄何在,tan'gun'gun'ying'xiong'he'zai
唐标铁柱,tang'biao'tie'zhu
汤淌烫塔,tang'tang'tang'ta
桃符万户更新,tao'fu'wan'hu'geng'xin
桃红映人面,tao'hong'ying'ren'mian
桃花已恨三层浪,tao'hua'yi'hen'san'ceng'lang
桃欢李笑春满校园,tao'huan'li'xiao'chun'man'xiao'yuan
桃李笑颜迎春,tao'li'xiao'yan'ying'chun
韬略终须绘新图,tao'lue'zhong'xu'hui'xin'tu
桃梅李并蓄买了再来,tao'mei'li'bing'xu'mai'le'zai'lai
桃腮正晕碧云天,tao'sai'zheng'yun'bi'yun'tian
提高医疗质量,ti'gao'yi'liao'zhi'liang
替国树才教必有方,ti'guo'shu'cai'jiao'bi'you'fang
提汤上塔,ti'tang'shang'ta
添就几般春绝,tian'jiu'ji'ban'chun'jue
天连水尾水连天,tian'lian'shui'wei'shui'lian'tian
添汽水热添茶,tian'qi'shui're'tian'cha
天上明河银作水,tian'shang'ming'he'yin'zuo'shui
天上生成明字,tian'shang'sheng'cheng'ming'zi
天上星,tian'shang'xing
天上月圆,tian'shang'yue'yuan
天孙云锦槐国衣冠,tian'sun'yun'jin'huai'guo'yi'guan
天泰地泰三阳泰,tian'tai'di'tai'san'yang'tai
天天有空望空天,tian'tian'you'kong'wang'kong'tian
天下口天上口,tian'xia'kou'tian'shang'kou
天心阁,tian'xin'ge
天涯雁寄回纹纸,tian'ya'yan'ji'hui'wen'zhi
天增岁月不增寿,tian'zeng'sui'yue'bu'zeng'shou
天中皓月太空明星,tian'zhong'hao'yue'tai'kong'ming'xing
调和金鼎味重盐梅,tiao'he'jin'ding'wei'zhong'yan'mei
调和五味,tiao'he'wu'wei
调追白雪阳春,tiao'zhui'bai'xue'yang'chun
庭前日暖蝶翻风,ting'qian'ri'nuan'die'fan'feng
统而言之,tong'er'yan'zhi
同歌喜到人间,tong'ge'xi'dao'ren'jian
童桶翻饭喜饥鸡,tong'tong'fan'fan'xi'ji'ji
童子打桐子,tong'zi'da'tong'zi
童子打桐子桐子落童子乐,tong'zi'da'tong'zi'tong'zi'luo'tong'zi'le
童子乐,tong'zi'le
桐子落,tong'zi'luo
头寸自家寻大小深浅须合意,tou'cun'zi'jia'xun'da'xiao'shen'qian'xu'he'yi
土豪劣绅土崩瓦解,tu'hao'lie'shen'tu'beng'wa'jie
徒司徒,tu'si'tu
退回莲迳返逍遥,tui'hui'lian'jing'fan'xiao'yao
瓦壶水沸邀清客,wa'hu'shui'fei'yao'qing'ke
万国山川藏彩线,wan'guo'shan'chuan'cang'cai'xian
万间广厦百姓欢颜,wan'jian'guang'sha'bai'xing'huan'yan
万里河流似利源,wan'li'he'liu'si'li'yuan
万里山河尽浩歌,wan'li'shan'he'jin'hao'ge
万里笙歌乐太平,wan'li'sheng'ge'le'tai'ping
顽绿痴红发古香,wan'lv'chi'hong'fa'gu'xiang
万千星斗心胸里,wan'qian'xing'dou'xin'xiong'li
万顷晴沙,wan'qing'qing'sha
万事随缘缘有份,wan'shi'sui'yuan'yuan'you'fen
万树欣随春水流,wan'shu'xin'sui'chun'shui'liu
万水千山尽朝晖,wan'shui'qian'shan'jin'zhao'hui
万水同吟幸福歌,wan'shui'tong'yin'xing'fu'ge
万条金缕带春烟,wan'tiao'jin'lv'dai'chun'yan
晚霞似锦,wan'xia'si'jin
万紫千红工点缀,wan'zi'qian'hong'gong'dian'zhui
万字头,wan'zi'tou
望长江长江天长,wang'chang'jiang'chang'jiang'tian'chang
望江流,wang'jiang'liu
望江楼,wang'jiang'lou
望江楼上望江流,wang'jiang'lou'shang'wang'jiang'liu
望天空,wang'tian'kong
王王在上,wang'wang'zai'shang
唯才是举替国进贤,wei'cai'shi'ju'ti'guo'jin'xian
为江山溺秀色,wei'jiang'shan'ni'xiu'se
为君修美容,wei'jun'xiu'mei'rong
未开宝匣似藏云,wei'kai'bao'xia'si'cang'yun
伟烈丰功,wei'lie'feng'gong
为人师表诲而不倦,wei'ren'shi'biao'hui'er'bu'juan
伪为人,wei'wei'ren
文明经商门庭若市春满店,wen'ming'jing'shang'men'ting'ruo'shi'chun'man'dian
温暖万人心,wen'nuan'wan'ren'xin
瓮里香浮竹叶青,weng'li'xiang'fu'zhu'ye'qing
五百里滇池,wu'bai'li'dian'chi
无地不春风,wu'di'bu'chun'feng
五谷丰登,wu'gu'feng'deng
五湖四海皆春色,wu'hu'si'hai'jie'chun'se
五家王子弄琵琶,wu'jia'wang'zi'nong'pi'pa
屋内员外,wu'nei'yuan'wai
屋前园外,wu'qian'yuan'wai
五人共伞,wu'ren'gong'san
五色艳争江令梦,wu'se'yan'zheng'jiang'ling'meng
无山得似巫山好,wu'shan'de'si'wu'shan'hao
勿失其时,wu'shi'qi'shi
武士心志在止戈,wu'shi'xin'zhi'zai'zhi'ge
雾锁山头山锁雾,wu'suo'shan'tou'shan'suo'wu
无体不备意在笔先,wu'ti'bu'bei'yi'zai'bi'xian
五行色备如人意,wu'xing'se'bei'ru'ren'yi
武夷茶发异香,wu'yi'cha'fa'yi'xiang
五岳各丘山,wu'yue'ge'qiu'shan
五月黄梅天,wu'yue'huang'mei'tian
喜报映红光荣人家,xi'bao'ying'hong'guang'rong'ren'jia
喜报英雄门第,xi'bao'ying'xiong'men'di
析春邻里传捷报,xi'chun'lin'li'chuan'jie'bao
喜待东西南北客,xi'dai'dong'xi'nan'bei'ke
媳妇提锡壶锡壶漏媳妇怒,xi'fu'ti'xi'hu'xi'hu'lou'xi'fu'nu
喜供佳宾醉饱,xi'gong'jia'bin'zui'bao
锡壶掉西湖惜乎锡壶,xi'hu'diao'xi'hu'xi'hu'xi'hu
喜看侨乡喜气多,xi'kan'qiao'xiang'xi'qi'duo
喜看三春花千树,xi'kan'san'chun'hua'qian'shu
喜临农家院院春,xi'lin'nong'jia'yuan'yuan'chun
袭龙衣,xi'long'yi
喜茫茫空阔无边,xi'mang'mang'kong'kuo'wu'bian
喜庆年头寿山川,xi'qing'nian'tou'shou'shan'chuan
喜鹊一声迎春来,xi'que'yi'sheng'ying'chun'lai
喜融幸福人家,xi'rong'xing'fu'ren'jia
细羽家禽砖后死,xi'yu'jia'qin'zhuan'hou'si
西园翰墨林,xi'yuan'han'mo'lin
西翥灵仪,xi'zhu'ling'yi
喜滋滋迎新春,xi'zi'zi'ying'xin'chun
喜作月老牵红线,xi'zuo'yue'lao'qian'hong'xian
夏鼎商彝传流千古,xia'ding'shang'yi'chuan'liu'qian'gu
现出庐山真面目,xian'chu'lu'shan'zhen'mian'mu
献出兄弟姐妹情,xian'chu'xiong'di'jie'mei'qing
现出须眉都活泼,xian'chu'xu'mei'dou'huo'po
线穿针针引线,xian'chuan'zhen'zhen'yin'xian
先从晓月焕丝纶,xian'cong'xiao'yue'huan'si'lun
线缝而线缀,xian'feng'er'xian'zhui
衔去虫而作凤,xian'qu'chong'er'zuo'feng
闲人免进贤人进,xian'ren'mian'jin'xian'ren'jin
弦中参妙理,xian'zhong'can'miao'li
香分花上露,xiang'fen'hua'shang'lu
想汉习楼船,xiang'han'xi'lou'chuan
相看万里人,xiang'kan'wan'li'ren
香梅含苞怒放,xiang'mei'han'bao'nu'fang
香生一握风,xiang'sheng'yi'wo'feng
响水池中池水响,xiang'shui'chi'zhong'chi'shui'xiang
香水溢芬芳,xiang'shui'yi'fen'fang
香送春风令神爽,xiang'song'chun'feng'ling'shen'shuang
向阳门第春常在,xiang'yang'men'di'chun'chang'zai
香由乳燕衔来,xiang'you'ru'yan'xian'lai
孝弟忠信礼义廉,xiao'di'zhong'xin'li'yi'lian
小费君莫惜,xiao'fei'jun'mo'xi
小猴子也敢对锯,xiao'hou'zi'ye'gan'dui'ju
小品堪制桌椅,xiao'pin'kan'zhi'zhuo'yi
