阿达哈哈番,a'da'ha'ha'fan
和节郎,he'jie'lang
鹤禁卫,he'jin'wei
河台,he'tai
合同凭由司,he'tong'ping'you'si
横班,heng'ban
红本,hong'ben
红带子,hong'dai'zi
鸿胪寺,hong'lu'si
弘文馆,hong'wen'guan
候补,hou'bu
候补道,hou'bu'dao
后待中士,hou'dai'zhong'shi
后将军,hou'jiang'jun
候人,hou'ren
后卫,hou'wei
后行,hou'xing
候选,hou'xuan
候奄,hou'yan
候仪郎,hou'yi'lang
后苑造作所,hou'yuan'zao'zuo'suo
候正,hou'zheng
虎贲,hu'ben
虎贲率,hu'ben'lv
虎贲亲军都指挥使司,hu'ben'qin'jun'du'zhi'hui'shi'si
虎贲校尉,hu'ben'xiao'wei
虎贲中郎将,hu'ben'zhong'lang'jiang
户部,hu'bu
虎步军都指挥使,hu'bu'jun'du'zhi'hui'shi
户部右曹,hu'bu'you'cao
户部左曹,hu'bu'zuo'cao
户曹,hu'cao
户曹参军,hu'cao'can'jun
虎臣,hu'chen
户关,hu'guan
护教王,hu'jiao'wang
护军,hu'jun
护军使,hu'jun'shi
护军统领,hu'jun'tong'ling
护军中尉,hu'jun'zhong'wei
户口使,hu'kou'shi
护理,hu'li
胡骑校尉,hu'qi'xiao'wei
护羌校尉,hu'qiang'xiao'wei
虎枪营总统,hu'qiang'ying'zong'tong
互市监,hu'shi'jian
护卫府,hu'wei'fu
护乌桓校尉,hu'wu'huan'xiao'wei
华妃,hua'fei
华盖殿大学士,hua'gai'dian'da'xue'shi
画黄,hua'huang
华林令,hua'lin'ling
花翎,hua'ling
华文阁学士,hua'wen'ge'xue'shi
画院,hua'yuan
画旨,hua'zhi
怀化大将军,huai'hua'da'jiang'jun
怀化将军,huai'hua'jiang'jun
怀化郎将,huai'hua'lang'jiang
怀化司戈,huai'hua'si'ge
怀化司阶,huai'hua'si'jie
怀化执戟长上,huai'hua'zhi'ji'zhang'shang
怀化中候,huai'hua'zhong'hou
怀化中郎将,huai'hua'zhong'lang'jiang
怀仁尉,huai'ren'wei
怀远大将军,huai'yuan'da'jiang'jun
怀远驿,huai'yuan'yi
宦官,huan'guan
环人,huan'ren
环卫官,huan'wei'guan
浣衣局,huan'yi'ju
焕章阁学士,huan'zhang'ge'xue'shi
宦者令,huan'zhe'ling
皇差销算处,huang'cha'xiao'suan'chu
皇城使,huang'cheng'shi
皇城司,huang'cheng'si
黄敕,huang'chi
黄带子,huang'dai'zi
皇帝,huang'di
黄牒,huang'die
皇后,huang'hou
黄门,huang'men
黄门监,huang'men'jian
黄门省,huang'men'sheng
黄门侍郎,huang'men'shi'lang
皇木厂,huang'mu'chang
黄散,huang'san
皇太后,huang'tai'hou
皇太孙,huang'tai'sun
皇太子,huang'tai'zi
皇太子惕稳司,huang'tai'zi'ti'wen'si
黄堂,huang'tang
会办,hui'ban
回避,hui'bi
惠妃,hui'fei
会福总管府,hui'fu'zong'guan'fu
回回炮手军匠上万户府,hui'hui'pao'shou'jun'jiang'shang'wan'hu'fu
回回司天监,hui'hui'si'tian'jian
惠民局,hui'min'ju
会审公廨,hui'shen'gong'xie
会试,hui'shi
徽事郎,hui'shi'lang
会同馆,hui'tong'guan
回图使,hui'tu'shi
会要所,hui'yao'suo
徽猷阁学士,hui'you'ge'xue'shi
会元,hui'yuan
徽政院,hui'zheng'yuan
阍人,hun'ren
混堂司,hun'tang'si
火器营总统,huo'qi'ying'zong'tong
计部中大夫,ji'bu'zhong'da'fu
稽察内务府御史衙门,ji'cha'nei'wu'fu'yu'shi'ya'men
稽察钦奉上谕事件处,ji'cha'qin'feng'shang'yu'shi'jian'chu
稽察宗人府衙门,ji'cha'zong'ren'fu'ya'men
及第,ji'di
纪和大夫,ji'he'da'fu
击胡侯,ji'hu'hou
祭酒,ji'jiu
祭酒从事史,ji'jiu'cong'shi'shi
祭酒散骑常侍,ji'jiu'san'qi'chang'shi
寄禄官,ji'lu'guan
祭仆,ji'pu
给事中,ji'shi'zhong
集书省,ji'shu'sheng
机速房,ji'su'fang
基下,ji'xia
集贤校理,ji'xian'xiao'li
集贤院,ji'xian'yuan
集校,ji'xiao
稽勋清吏员,ji'xun'qing'li'yuan
集英殿修撰,ji'ying'dian'xiu'zhuan
骥用库,ji'yong'ku
集撰,ji'zhuan
寄桩库,ji'zhuang'ku
假版官,jia'ban'guan
甲榜,jia'bang
甲本,jia'ben
驾部,jia'bu
嘉成大夫,jia'cheng'da'fu
加官,jia'guan
假黄钺,jia'huang'yue
甲科,jia'ke
甲喇额真,jia'la'e'zhen
甲喇章京,jia'la'zhang'jing
家令司,jia'ling'si
家令寺,jia'ling'si
假龙,jia'long
假司马,jia'si'ma
嘉议大夫,jia'yi'dai'fu
贾正,jia'zheng
甲字库,jia'zi'ku
检察官,jian'cha'guan
检察厅,jian'cha'ting
监察御史,jian'cha'yu'shi
建昌官使,jian'chang'guan'shi
监当官,jian'dang'guan
检点,jian'dian
简点使,jian'dian'shi
拣发,jian'fa
检法官,jian'fa'guan
建极殿大学士,jian'ji'dian'da'xue'shi
渐将王,jian'jiang'wang
检校,jian'jiao
检校御史,jian'jiao'yu'shi
建节尉,jian'jie'wei
监军,jian'jun
监军司,jian'jun'si
监门,jian'men
傔人餐钱,jian'ren'can'qian
荐任官,jian'ren'guan
简任官,jian'ren'guan
健锐营总统,jian'rui'ying'zong'tong
监三省枢密院门,jian'san'xing'shu'mi'yuan'men
监生,jian'sheng
翦氏,jian'shi
监司,jian'si
检讨,jian'tao
建威将军,jian'wei'jiang'jun
拣选,jian'xuan
谏议大夫,jian'yi'dai'fu
监御史,jian'yu'shi
谏院,jian'yuan
建章营骑,jian'zhang'ying'qi
监治谒者,jian'zhi'ye'zhe
将兵司马,jiang'bing'si'ma
将兵长史,jiang'bing'zhang'shi
江海关,jiang'hai'guan
江淮等处财赋都总管府,jiang'huai'deng'chu'cai'fu'dou'zong'guan'fu
将军,jiang'jun
将军府,jiang'jun'fu
疆理司,jiang'li'si
降麻,jiang'ma
江宁织造,jiang'ning'zhi'zao
将仕郎,jiang'shi'lang
匠师中大夫,jiang'shi'zhong'da'fu
将仕佐郎,jiang'shi'zuo'lang
将尉,jiang'wei
将行,jiang'xing
讲议司,jiang'yi'si
将虞候,jiang'yu'hou
江浙等处财赋都总管府,jiang'zhe'deng'chu'cai'fu'dou'zong'guan'fu
将作大匠,jiang'zuo'da'jiang
将作监,jiang'zuo'jian
将作少府,jiang'zuo'shao'fu
将作院,jiang'zuo'yuan
教坊,jiao'fang
椒房,jiao'fang
教练使,jiao'lian'shi
脚色,jiao'se
郊社令,jiao'she'ling
交涉使司,jiao'she'shi'si
教授,jiao'shou
交通部,jiao'tong'bu
教头,jiao'tou
郊尹,jiao'yin
交引库,jiao'yin'ku
教谕,jiao'yu
教育部,jiao'yu'bu
校正,jiao'zheng
交子务,jiao'zi'wu
教宗院知宗,jiao'zong'yuan'zhi'zong
捷报处,jie'bao'chu
阶簿,jie'bu
截搭题,jie'da'ti
节度使,jie'du'shi
借绯,jie'fei
阶官,jie'guan
节级,jie'ji
截取,jie'qu
揭帖,jie'tie
倢伃,jie'yu
婕妤,jie'yu
解元,jie'yuan
借紫,jie'zi
禁暴氏,jin'bao'shi
禁防御史,jin'fang'yu'shi
金候郎,jin'hou'lang
进马,jin'ma
巾帽局,jin'mao'ju
金痊郎,jin'quan'lang
禁杀戮,jin'sha'lu
谨身殿大学士,jin'shen'dian'da'xue'shi
进士,jin'shi
近侍局,jin'shi'ju
进士科,jin'shi'ke
进武副尉,jin'wu'fu'wei
进武校尉,jin'wu'xiao'wei
金效郎,jin'xiao'lang
进义副尉,jin'yi'fu'wei
锦衣卫,jin'yi'wei
进义校尉,jin'yi'xiao'wei
进勇副尉,jin'yong'fu'wei
禁直郎,jin'zhi'lang
进奏院,jin'zou'yuan
经承,jing'cheng
精夫,jing'fu
景福殿使,jing'fu'dian'shi
经抚房,jing'fu'fang
经会司,jing'hui'si
经济特科,jing'ji'te'ke
经魁,jing'kui
经略使,jing'lue'shi
精奇尼哈番,jing'qi'ni'ha'fan
精膳清吏司,jing'shan'qing'li'si
敬事房,jing'shi'fang
井田科,jing'tian'ke
警巡院,jing'xun'yuan
景云大夫,jing'yun'da'fu
经正监,jing'zheng'jian
经制边防财用司,jing'zhi'bian'fang'cai'yong'si
经制使,jing'zhi'shi
纠察在京刑狱司,jiu'cha'zai'jing'xing'yu'si
九成宫监,jiu'cheng'gong'jian
酒醋面局,jiu'cu'mian'ju
九鼎使,jiu'ding'shi
九府,jiu'fu
九门提督,jiu'men'ti'du
九命,jiu'ming
九品,jiu'pin
九嫔,jiu'pin
九品中正,jiu'pin'zhong'zheng
九卿,jiu'qing
九条,jiu'tiao
究微郎,jiu'wei'lang
九锡,jiu'xi
九译令,jiu'yi'ling
酒正,jiu'zheng
居次,ju'ci
举监,ju'jian
举人,ju'ren
举叙司,ju'xu'si
居住,ju'zhu
捐班,juan'ban
捐监,juan'jian
捐纳,juan'na
决曹,jue'cao
觉罗,jue'luo
郡伯,jun'bo
郡丞,jun'cheng
郡邸,jun'di
郡夫人,jun'fu'ren
郡公,jun'gong
均官长,jun'guan'zhang
郡国文学,jun'guo'wen'xue
军衡司,jun'heng'si
郡侯,jun'hou
军候,jun'hou
军机处,jun'ji'chu
郡将,jun'jiang
郡君,jun'jun
军门,jun'men
军器监,jun'qi'jian
均人,jun'ren
钧容直,jun'rong'zhi
军师,jun'shi
军事部,jun'shi'bu
郡守,jun'shou
军枢司,jun'shu'si
军帅,jun'shuai
军司,jun'si
军司空,jun'si'kong
军司马,jun'si'ma
军头,jun'tou
军头引见司,jun'tou'yin'jian'si
郡王,jun'wang
郡尉,jun'wei
军务院,jun'wu'yuan
军衔,jun'xian
军需库,jun'xu'ku
军巡使,jun'xun'shi
军巡院,jun'xun'yuan
军正,jun'zheng
军政府,jun'zheng'fu
郡主,jun'zhu
军主,jun'zhu
军谘府,jun'zi'fu
开坊,kai'fang
开封府司录司,kai'feng'fu'si'lu'si
开复,kai'fu
开府,kai'fu
开府将军,kai'fu'jiang'jun
开府仪同三司,kai'fu'yi'tong'san'si
看班祗候,kan'ban'zhi'hou
勘当,kan'dang
看守所,kan'shou'suo
考察政治馆,kao'cha'zheng'zhi'guan
考功清吏司,kao'gong'qing'li'si
考工司,kao'gong'si
考课院,kao'ke'yuan
科参,ke'can
客曹,ke'cao
科抄,ke'chao
科道,ke'dao
科第,ke'di
可毒夫,ke'du'fu
可敦,ke'dun
科估所,ke'gu'suo
可汗,ke'han
可贺敦,ke'he'dun
科甲,ke'jia
科考,ke'kao
刻漏房,ke'lou'fang
科目,ke'mu
科钱,ke'qian
客卿,ke'qing
客省使,ke'sheng'shi
控鹤,kong'he
孔目,kong'mu
库部,ku'bu
会稽司,kuai'ji'si
快行,kuai'xing
奎章阁学士院,kui'zhang'ge'xue'shi'yuan
昆弥,kun'mi
昆莫,kun'mo
蜡氏,la'shi
徕远清吏司,lai'yuan'qing'li'si
来远驿,lai'yuan'yi
蓝翎,lan'ling
兰省,lan'sheng
兰台,lan'tai
兰台郎,lan'tai'lang
郎中,lang'zhong
郎中令,lang'zhong'ling
老龙,lao'long
乐使,le'shi
勒停,le'ting
礼宾院,li'bin'yuan
吏部,li'bu
礼部,li'bu
吏部曹,li'bu'cao
礼部试,li'bu'shi
理藩部,li'fan'bu
理藩院,li'fan'yuan
丽妃,li'fei
理匦使,li'gui'shi
里魁,li'kui
吏礼部,li'li'bu
理礼郎,li'li'lang
吏目,li'mu
隶仆,li'pu
利器署,li'qi'shu
理事官,li'shi'guan
理问,li'wen
厘务官,li'wu'guan
立信尉,li'xin'wei
里行使,li'xing'shi
丽仪,li'yi
利用监,li'yong'jian
梨园使,li'yuan'shi
里宰,li'zai
里正,li'zheng
丽正修书院,li'zheng'xiu'shu'yuan
礼制局,li'zhi'ju
练兵处,lian'bing'chu
帘箔场,lian'bo'chang
廉访,lian'fang
帘官,lian'guan
连帅,lian'shuai
连尹,lian'yin
两榜,liang'bang
粮长,liang'chang
良娣,liang'di
两街功德使,liang'jie'gong'de'shi
粮料使,liang'liao'shi
粮料院,liang'liao'yuan
良人,liang'ren
两省,liang'sheng
良使,liang'shi
两使,liang'shi
两税使,liang'shui'shi
两司,liang'si
两司马,liang'si'ma
粮台,liang'tai
量移,liang'yi
两易,liang'yi
良媛,liang'yuan
良酝署,liang'yun'shu
两制,liang'zhi
辽阳等处金银铁冶都提举司,liao'yang'deng'chu'jin'yin'tie'ye'dou'ti'ju'si
列侯,lie'hou
列荣,lie'rong
邻长,lin'chang
廪人,lin'ren
廪膳生员,lin'shan'sheng'yuan
廪生,lin'sheng
廪牲署,lin'sheng'shu
临时执政,lin'shi'zhi'zheng
麟台,lin'tai
林牙,lin'ya
领队大臣,ling'dui'da'chen
令公,ling'gong
翎侯,ling'hou
领军,ling'jun
领卢,ling'lu
绫绵院,ling'mian'yuan
陵寝礼部衙门,ling'qin'li'bu'ya'men
令人,ling'ren
凌人,ling'ren
领事,ling'shi
令史,ling'shi
领侍卫内大臣,ling'shi'wei'nei'da'chen
灵台郎,ling'tai'lang
灵宪大夫,ling'xian'dai'fu
令尹,ling'yin
令旨,ling'zhi
六百石,liu'bai'shi
六部,liu'bu
六部监门,liu'bu'jian'men
六参官,liu'can'guan
六曹,liu'cao
六曹尚书,liu'cao'shang'shu
六察,liu'cha
六典,liu'dian
六宫,liu'gong
六管,liu'guan
流官,liu'guan
留馆,liu'guan
留后,liu'hou
六军使,liu'jun'shi
六军仪仗司,liu'jun'yi'zhang'si
六科给事中,liu'ke'ji'shi'zhong
琉璃窑,liu'li'yao
六率,liu'lv
流内,liu'nei
流内铨,liu'nei'quan
六嫔,liu'pin
六卿,liu'qing
六尚,liu'shang
留守,liu'shou
六司,liu'si
六堂,liu'tang
六条,liu'tiao
流外,liu'wai
六仪,liu'yi
六宅使,liu'zhai'shi
龙虎将军,long'hu'jiang'jun
龙虎卫上将军,long'hu'wei'shang'jiang'jun
龙图,long'tu
龙图阁学士,long'tu'ge'xue'shi
龙卫神卫四厢都指挥使,long'wei'shen'wei'si'xiang'du'zhi'hui'shi
龙武军,long'wu'jun
龙骧将军,long'xiang'jiang'jun
龙翔军都指挥使,long'xiang'jun'du'zhi'hui'shi
隆祥使司,long'xiang'shi'si
隆镇卫亲军都指挥使司,long'zhen'wei'qin'jun'du'zhi'hui'shi'si
龙制,long'zhi
龙直,long'zhi
录白,lu'bai
录黄,lu'huang
陆军部,lu'jun'bu
录科,lu'ke
录尚书事,lu'shang'shu'shi
录事,lu'shi
录事参军,lu'shi'can'jun
录遗,lu'yi
鸾台,luan'tai
落职,luo'zhi
旅贲郎,lv'ben'lang
旅贲令,lv'ben'ling
旅贲率,lv'ben'lv
旅贲氏,lv'ben'shi
律博士,lv'bo'shi
率更寺,lv'geng'si
律例馆,lv'li'guan
旅骑尉,lv'qi'wei
闾师,lv'shi
旅帅,lv'shuai
旅下士,lv'xia'shi
闾胥,lv'xu
律学馆,lv'xue'guan
履正大夫,lv'zheng'da'fu
履正郎,lv'zheng'lang
梅勒额真,mei'le'e'zhen
梅勒章京,mei'le'zhang'jing
没宁令,mei'ning'ling
美人,mei'ren
门斗,men'dou
门候,men'hou
门下,men'xia
门下督,men'xia'du
门下坊,men'xia'fang
门下封驳司,men'xia'feng'bo'si
门下省,men'xia'sheng
门下侍郎,men'xia'shi'lang
门下五吏,men'xia'wu'li
门下贼曹,men'xia'zei'cao
门尹,men'yin
蒙古国子监,meng'gu'guo'zi'jian
蒙古国子学,meng'gu'guo'zi'xue
蒙古翰林院,meng'gu'han'lin'yuan
蒙养,meng'yang
蒙藏院,meng'zang'yuan
密白,mi'bai
密保,mi'bao
秘阁,mi'ge
秘阁修撰,mi'ge'xiu'zhuan
密喇布伯克,mi'la'bu'bo'ke
秘书监,mi'shu'jian
秘书郎,mi'shu'lang
秘书令,mi'shu'ling
秘书省,mi'shu'sheng
民部,min'bu
民政部,min'zheng'bu
民政长,min'zheng'chang
民政使,min'zheng'shi
明保,ming'bao
明发,ming'fa
明法,ming'fa
明府,ming'fu
明经,ming'jing
冥氏,ming'shi
明威将军,ming'wei'jiang'jun
明纬郎,ming'wei'lang
鸣赞,ming'zan
莫敖,mo'ao
墨敕斜封,mo'chi'xie'feng
模范监狱,mo'fan'jian'yu
莫贺咄,mo'he'duo
墨卷,mo'juan
磨勘,mo'kan
磨勘司,mo'kan'si
磨勘院,mo'kan'yuan
末蒙,mo'meng
末入流,mo'ru'liu
木仓,mu'cang
墓大夫,mu'dai'fu
幕撝,mu'hui
牧令,mu'ling
牧人,mu'ren
木炭使,mu'tan'shi
苜蓿园,mu'xu'yuan
幕友,mu'you
牧正,mu'zheng
捺钵,na'bo
纳贡,na'gong
纳官,na'guan
纳节,na'jie
那颜,na'yan
南床,nan'chuang
南大王院,nan'da'wang'yuan
南府,nan'fu
南护卫府,nan'hu'wei'fu
南郊家事库,nan'jiao'jia'shi'ku
南京守备,nan'jing'shou'bei
南面官,nan'mian'guan
南省,nan'sheng
南书房,nan'shu'fang
南枢密院,nan'shu'mi'yuan
南司,nan'si
南台,nan'tai
南外宗正司,nan'wai'zong'zheng'si
南闱,nan'wei
南选,nan'xuan
南学,nan'xue
南衙,nan'ya
南洋大臣,nan'yang'da'chen
南洋通商大臣,nan'yang'tong'shang'da'chen
难荫,nan'yin
南元,nan'yuan
南院大王,nan'yuan'da'wang
南院详稳司,nan'yuan'xiang'wen'si
南宰相府,nan'zai'xiang'fu
曩骨,nang'gu
讷克布伯克,ne'ke'bu'bo'ke
内八府宰相,nei'ba'fu'zai'xiang
内藏库,nei'cang'ku
内常侍,nei'chang'shi
内朝官,nei'chao'guan
内承运库,nei'cheng'yun'ku
内大臣,nei'da'chen
内东门司,nei'dong'men'si
内东头供奉官,nei'dong'tou'gong'feng'guan
内翻书房,nei'fan'shu'fang
内飞龙使,nei'fei'long'shi
内府,nei'fu
内府供用库,nei'fu'gong'yong'ku
内府监,nei'fu'jian
内府局,nei'fu'ju
内阁,nei'ge
内阁侍读,nei'ge'shi'du
内阁侍读学士,nei'ge'shi'du'xue'shi
内阁中书,nei'ge'zhong'shu
内给事,nei'gei'shi
内宫监,nei'gong'jian
内行厂,nei'hang'chang
内教博士,nei'jiao'bo'shi
内酒坊,nei'jiu'fang
内仆局,nei'pu'ju
内三院,nei'san'yuan
内舍人,nei'she'ren
内史,nei'shi
内侍长,nei'shi'chang
内侍殿头,nei'shi'dian'tou
内侍高班,nei'shi'gao'ban
内侍高品,nei'shi'gao'pin
内史监,nei'shi'jian
内侍局,nei'shi'ju
内史上大夫,nei'shi'shang'da'fu
内侍省,nei'shi'sheng
内史侍郎,nei'shi'shi'lang
内竖,nei'shu
内书侍郎,nei'shu'shi'lang
内书堂,nei'shu'tang
内司,nei'si
内寺伯,nei'si'bo
内司服,nei'si'fu
内台,nei'tai
内务部,nei'wu'bu
内务府,nei'wu'fu
内西头供奉官,nei'xi'tou'gong'feng'guan
内相,nei'xiang
内小臣,nei'xiao'chen
内衣物库,nei'yi'wu'ku
内苑使,nei'yuan'shi
内宰,nei'zai
内宰司,nei'zai'si
内正司,nei'zheng'si
内制,nei'zhi
内直局,nei'zhi'ju
内直郎,nei'zhi'lang
内织染局,nei'zhi'ran'ju
内中高品班院,nei'zhong'gao'pin'ban'yuan
内庄宅使,nei'zhuang'zhai'shi
内宗,nei'zong
内作使,nei'zuo'shi
辇运司,nian'yun'si
臬司,nie'si
臬台,nie'tai
宁徽寺,ning'hui'si
宁令,ning'ling
宁元将军,ning'yuan'jiang'jun
牛录额真,niu'lu'e'zhen
牛录章京,niu'lu'zhang'jing
牛羊司,niu'yang'si
农都尉,nong'du'wei
农工部,nong'gong'bu
农工商部,nong'gong'shang'bu
农林部,nong'lin'bu
农商部,nong'shang'bu
农田司,nong'tian'si
奴儿干都指挥使司,nu'er'gan'du'zhi'hui'shi'si
女酒,nv'jiu
女食,nv'shi
女史,nv'shi
女侍中,nv'shi'zhong
女贤人,nv'xian'ren
女飨,nv'xiang
女秀才,nv'xiu'cai
女御,nv'yu
帕提沙布伯克,pa'ti'sha'bu'bo'ke
排岸司,pai'an'si
判官,pan'guan
判铨,pan'quan
庖人,pao'ren
陪戎副尉,pei'rong'fu'wei
陪戎校尉,pei'rong'xiao'wei
捧日天武四厢都指挥使,peng'ri'tian'wu'si'xiang'du'zhi'hui'shi
皮剥所,pi'bo'suo
辟除,pi'chu
皮室,pi'shi
批验所,pi'yan'suo
辟雍,pi'yong
辟仗使,pi'zhang'shi
票拟,piao'ni
骠骑大将军,piao'qi'da'jiang'jun
骠骑将军,piao'qi'jiang'jun
票姚校尉,piao'yao'xiao'wei
平均司,ping'jun'si
评事,ping'shi
平章,ping'zhang
平章军国重事,ping'zhang'jun'guo'zhong'shi
平章政事,ping'zhang'zheng'shi
平政院,ping'zheng'yuan
平秩郎,ping'zhi'lang
仆大夫,pu'dai'fu
仆寺,pu'si
仆射,pu'ye
器备库,qi'bei'ku
启本,qi'ben
起部,qi'bu
乞祠,qi'ci
骑都尉,qi'du'wei
起复,qi'fu
绮华馆,qi'hua'guan
旗籍满吏司,qi'ji'man'li'si
骐骥院,qi'ji'yuan
起居郎,qi'ju'lang
起居舍人,qi'ju'she'ren
起居院,qi'ju'yuan
起居注,qi'ju'zhu
骑君,qi'jun
契勘,qi'kan
期门,qi'men
旗牌,qi'pai
七品,qi'pin
祈请使,qi'qing'shi
骑侍下士,qi'shi'xia'shi
旗手卫,qi'shou'wei
器物局,qi'wu'ju
启心郎,qi'xin'lang
七子,qi'zi
签刺罕,qian'ci'han
佥都御史,qian'du'yu'shi
钱法堂,qian'fa'tang
前锋统领,qian'feng'tong'ling
鍼工局,qian'gong'ju
钱谷,qian'gu
千户,qian'hu
钤记,qian'ji
前将军,qian'jiang'jun
千牛,qian'niu
千人,qian'ren
佥事,qian'shi
千石,qian'shi
前侍中士,qian'shi'zhong'shi
签书枢密院事,qian'shu'shu'mi'yuan'shi
签帅,qian'shuai
前卫,qian'wei
钤辖,qian'xia
前行,qian'xing
佥院,qian'yuan
千总,qian'zong
挈壶郎,qie'hu'lang
挈壶氏,qie'hu'shi
挈壶正,qie'hu'zheng
且渠,qie'qu
怯薛,qie'xue
钦差大臣,qin'chai'da'chen
亲军校,qin'jun'xiao
擒生,qin'sheng
钦授大夫,qin'shou'dai'fu
钦天监,qin'tian'jian
亲王,qin'wang
亲卫,qin'wei
亲卫大夫,qin'wei'dai'fu
亲卫郎,qin'wei'lang
钦象大夫,qin'xiang'dai'fu
寝尹,qin'yin
轻车都尉,qing'che'dou'wei
请祠,qing'ci
庆丰司,qing'feng'si
清官,qing'guan
清纪郎,qing'ji'lang
卿监,qing'jian
青苗使,qing'miao'shi
清平官,qing'ping'guan
卿士,qing'shi
卿事察,qing'shi'cha
清望官,qing'wang'guan
庆喜大夫,qing'xi'dai'fu
清漳令,qing'zhang'ling
求盗,qiu'dao
秋官,qiu'guan
秋官尚书,qiu'guan'shang'shu
秋官正,qiu'guan'zheng
秋卿,qiu'qing
泉府,quan'fu
铨司,quan'si
铨头,quan'tou
铨选,quan'xuan
劝业道,quan'ye'dao
权知,quan'zhi
却胡侯,que'hu'hou
榷货务,que'huo'wu
却伦,que'lun
榷算司,que'suan'si
榷盐使,que'yan'shi
群牧使,qun'mu'shi
群牧司,qun'mu'si
群玉内司,qun'yu'nei'si
人部,ren'bu
人皇王,ren'huang'wang
仁勇副尉,ren'yong'fu'wei
仁勇校尉,ren'yong'xiao'wei
任子,ren'zi
日讲起居注官,ri'jiang'qi'ju'zhu'guan
日历所,ri'li'suo
日逐王,ri'zhu'wang
傛华,rong'hua
容华,rong'hua
荣禄大夫,rong'lu'dai'fu
戎仆,rong'pu
戎右,rong'you
柔远清吏司,rou'yuan'qing'li'si
入八分公,ru'ba'fen'gong
如本,ru'ben
入阁,ru'ge
儒林郎,ru'lin'lang
入内内侍省,ru'nei'nei'shi'sheng
入泮,ru'pan
孺人,ru'ren
儒学教授,ru'xue'jiao'shou
儒学教谕,ru'xue'jiao'yu
儒学学正,ru'xue'xue'zheng
儒学训导,ru'xue'xun'dao
萨宝,sa'bao
三百石,san'bai'shi
三班六房,san'ban'liu'fang
三班使臣,san'ban'shi'chen
三班院,san'ban'yuan
三大宪,san'da'xian
三殿三阁,san'dian'san'ge
三独坐,san'du'zuo
三法司,san'fa'si
三府,san'fu
三夫人,san'fu'ren
三公,san'gong
三公曹,san'gong'cao
三孤,san'gu
三馆,san'guan
散馆,san'guan
散官,san'guan
三互法,san'hu'fa
三九,san'jiu
三考,san'kao
三口通商大臣,san'kou'tong'shang'da'chen
三老,san'lao
三吏,san'li
三闾大夫,san'lv'da'fu
散骑常侍,san'qi'chang'shi
三铨,san'quan
三少,san'shao
三事,san'shi
三师,san'shi
三司,san'si
三司催驱司,san'si'cui'qu'si
三司都理欠司,san'si'dou'li'qian'si
三司都磨勘司,san'si'dou'mo'kan'si
三司都凭由司,san'si'dou'ping'you'si
三司河渠司,san'si'he'qu'si
三司开拆司,san'si'kai'chai'si
三司会计司,san'si'kuai'ji'si
三司使,san'si'shi
三司受事,san'si'shou'shi
三司推勘公事,san'si'tui'kan'gong'shi
三司推事,san'si'tui'shi
三台,san'tai
三省,san'xing
三衙,san'ya
三有司,san'you'si
三院,san'yuan
丧祝,sang'zhu
啬夫,se'fu
僧录司,seng'lu'si
膳部郎中,shan'bu'lang'zhong
山东河北蒙古军大都尉府,shan'dong'he'bei'meng'gu'jun'da'dou'wei'fu
膳夫,shan'fu
缮工监,shan'gong'jian
缮工司,shan'gong'si
善后局,shan'hou'ju
山郎,shan'lang
善通文官,shan'tong'wen'guan
尚宝监,shang'bao'jian
尚宝司,shang'bao'si
商伯克,shang'bo'ke
商部,shang'bu
尚乘局,shang'cheng'ju
尚乘寺,shang'cheng'si
上大夫,shang'da'fu
上都回回药物院,shang'dou'hui'hui'yao'wu'yuan
上都留守司兼本路都总管府,shang'dou'liu'shou'si'jian'ben'lu'dou'zong'guan'fu
尚方,shang'fang
尚方剑,shang'fang'jian
尚方监,shang'fang'jian
尚服,shang'fu
尚服局,shang'fu'ju
尚宫,shang'gong
尚工,shang'gong
尚功局,shang'gong'ju
尚宫局,shang'gong'ju
尚工署,shang'gong'shu
尚供总管府,shang'gong'zong'guan'fu
上护军,shang'hu'jun
上计,shang'ji
上家人子,shang'jia'ren'zi
上将,shang'jiang
上京路兵马都总管,shang'jing'lu'bing'ma'dou'zong'guan
上林署,shang'lin'shu
上林苑监,shang'lin'yuan'jian
上林苑令,shang'lin'yuan'ling
上牧监,shang'mu'jian
尚牧监,shang'mu'jian
尚辇局,shang'nian'ju
商品,shang'pin
上骑都尉,shang'qi'du'wei
尚寝,shang'qin
尚寝局,shang'qin'ju
上卿,shang'qing
上轻车都尉,shang'qing'che'dou'wei
尚膳监,shang'shan'jian
尚舍局,shang'she'ju
上士,shang'shi
尚食,shang'shi
尚书,shang'shu
尚书都令史,shang'shu'dou'ling'shi
尚书郎,shang'shu'lang
尚书令,shang'shu'ling
尚书内省,shang'shu'nei'xing
尚书仆射,shang'shu'pu'ye
尚书省,shang'shu'sheng
尚书台,shang'shu'tai
尚书右丞,shang'shu'you'cheng
尚书左丞,shang'shu'zuo'cheng
上驷院,shang'si'yuan
商特卓巴,shang'te'zhuo'ba
上尉,shang'wei
上校,shang'xiao
尚药局,shang'yao'ju
尚仪,shang'yi
尚衣监,shang'yi'jian
尚衣局,shang'yi'ju
尚仪局,shang'yi'ju
尚衣库,shang'yi'ku
尚虞备用处,shang'yu'bei'yong'chu
上造,shang'zao
上柱国,shang'zhu'guo
少保,shao'bao
少常,shao'chang
少常伯,shao'chang'bo
