阿法地区,a'fa'di'qu
导线点布设,dao'xian'dian'bu'she
导线复测,dao'xian'fu'ce
导线加密,dao'xian'jia'mi
导线平差,dao'xian'ping'cha
导线网,dao'xian'wang
导向标志,dao'xiang'biao'zhi
导向桩,dao'xiang'zhuang
道渣,dao'zha
德氏封,de'shi'feng
等比线,deng'bi'xian
灯杆,deng'gan
等高距,deng'gao'ju
等高线,deng'gao'xian
等级道路,deng'ji'dao'lu
等级公路,deng'ji'gong'lu
等深线,deng'shen'xian
等载,deng'zai
等载预压,deng'zai'yu'ya
底板,di'ban
地表,di'biao
地表水,di'biao'shui
地材,di'cai
地层结构,di'ceng'jie'gou
低等级,di'deng'ji
低等级公路,di'deng'ji'gong'lu
狄法尔磨耗试验仪,di'fa'er'mo'hao'shi'yan'yi
地方保护主义,di'fang'bao'hu'zhu'yi
地方矛盾,di'fang'mao'dun
地方矛盾协调,di'fang'mao'dun'xie'tiao
地方协调,di'fang'xie'tiao
地基,di'ji
底基层,di'ji'ceng
地基承载力,di'ji'cheng'zai'li
地基冲刷,di'ji'chong'shua
地基处理,di'ji'chu'li
地基梁,di'ji'liang
低级路面,di'ji'lu'mian
底框,di'kuang
地沥青,di'li'qing
地连墙,di'lian'qiang
地梁,di'liang
地垄墙,di'long'qiang
地貌,di'mao
地锚,di'mao
地面沉降,di'mian'chen'jiang
地面高程,di'mian'gao'cheng
地面集水时间,di'mian'ji'shui'shi'jian
地面排水,di'mian'pai'shui
地面排水设施,di'mian'pai'shui'she'shi
地面线,di'mian'xian
底模,di'mo
底模板,di'mo'ban
地平桩,di'ping'zhuang
底塞,di'sai
第三方责任险,di'san'fang'ze'ren'xian
低水位,di'shui'wei
低碳钢丝,di'tan'gang'si
地铁,di'tie
低温抗裂,di'wen'kang'lie
低温抗裂性,di'wen'kang'lie'xing
地物,di'wu
地下管线,di'xia'guan'xian
地下连续墙,di'xia'lian'xu'qiang
地下排水,di'xia'pai'shui
地下排水设施,di'xia'pai'shui'she'shi
地下水,di'xia'shui
地下水位,di'xia'shui'wei
地下通道,di'xia'tong'dao
地形测量,di'xing'ce'liang
地形图,di'xing'tu
低压报警开关组件,di'ya'bao'jing'kai'guan'zu'jian
低压配电盘,di'ya'pei'dian'pan
低液限土,di'ye'xian'tu
第一次工地会议,di'yi'ci'gong'di'hui'yi
第一公路工程局,di'yi'gong'lu'gong'cheng'ju
第一合同段,di'yi'he'tong'duan
地震组合,di'zhen'zu'he
地质,di'zhi
地质地段,di'zhi'di'duan
地质勘察,di'zhi'kan'cha
地质勘察报告,di'zhi'kan'cha'bao'gao
地质雷达法,di'zhi'lei'da'fa
地质年代,di'zhi'nian'dai
地质预报,di'zhi'yu'bao
地质灾害,di'zhi'zai'hai
地质灾害评价,di'zhi'zai'hai'ping'jia
地质资料,di'zhi'zi'liao
垫板,dian'ban
电刨,dian'bao
垫层,dian'ceng
电动锤,dian'dong'chui
电动夯,dian'dong'hang
电动抗折试验机,dian'dong'kang'zhe'shi'yan'ji
点焊,dian'han
电焊,dian'han
电焊工,dian'han'gong
电焊机,dian'han'ji
电弧,dian'hu
电弧焊,dian'hu'han
电弧焊接头,dian'hu'han'jie'tou
电极密度,dian'ji'mi'du
电解处理法,dian'jie'chu'li'fa
电解液,dian'jie'ye
电锯,dian'ju
垫块,dian'kuai
电缆,dian'lan
垫片,dian'pian
电瓶,dian'ping
电瓶液,dian'ping'ye
垫圈,dian'quan
电渗析器,dian'shen'xi'qi
垫石,dian'shi
点蚀,dian'shi
点蚀系数,dian'shi'xi'shu
点速度,dian'su'du
点位,dian'wei
点位中误差,dian'wei'zhong'wu'cha
点渣压力焊,dian'zha'ya'li'han
点渣压力焊接头,dian'zha'ya'li'han'jie'tou
电子天平,dian'zi'tian'ping
电钻,dian'zuan
调拨,diao'bo
调拨单,diao'bo'dan
调查处理,diao'cha'chu'li
吊车,diao'che
吊车梁,diao'che'liang
吊顶,diao'ding
吊斗,diao'dou
吊杆,diao'gan
吊钩,diao'gou
吊钩梁,diao'gou'liang
吊挂,diao'gua
吊环,diao'huan
掉角,diao'jiao
吊筋,diao'jin
吊桥,diao'qiao
吊线,diao'xian
吊运,diao'yun
吊装,diao'zhuang
吊装设备,diao'zhuang'she'bei
掉钻,diao'zuan
叠合,die'he
叠合处理,die'he'chu'li
叠合梁,die'he'liang
叠合式,die'he'shi
碟氏仪,die'shi'yi
跌水,die'shui
跌水井,die'shui'jing
蝶形边沟,die'xing'bian'gou
丁坝,ding'ba
顶板,ding'ban
定测,ding'ce
定额编制管理费,ding'e'bian'zhi'guan'li'fei
订货,ding'huo
定量分析,ding'liang'fen'xi
顶起,ding'qi
丁砌,ding'qi
定期养护,ding'qi'yang'hu
顶入法,ding'ru'fa
顶推,ding'tui
顶推施工,ding'tui'shi'gong
顶托,ding'tuo
定位,ding'wei
定线,ding'xian
定向式立体交叉,ding'xiang'shi'li'ti'jiao'cha
定向匝道,ding'xiang'za'dao
定性风险分析,ding'xing'feng'xian'fen'xi
钉桩,ding'zhuang
丁字尺,ding'zi'chi
丁字路口,ding'zi'lu'kou
丁字形交叉,ding'zi'xing'jiao'cha
冻板道路,dong'ban'dao'lu
洞壁,dong'bi
洞边,dong'bian
洞边加筋,dong'bian'jia'jin
东非,dong'fei
东互通,dong'hu'tong
冬季施工,dong'ji'shi'gong
冻结指数,dong'jie'zhi'shu
动静载,dong'jing'zai
动静载试验,dong'jing'zai'shi'yan
洞口,dong'kou
洞口铺砌,dong'kou'pu'qi
动力反应,dong'li'fan'ying
动力粘度,dong'li'nian'du
洞门,dong'men
东南监理,dong'nan'jian'li
东南监理公司,dong'nan'jian'li'gong'si
冬期,dong'qi
冬期施工,dong'qi'shi'gong
冻融,dong'rong
冻融试验,dong'rong'shi'yan
冻深,dong'shen
洞身,dong'shen
洞深,dong'shen
洞身衬砌,dong'shen'chen'qi
洞身开挖,dong'shen'kai'wa
动水压力,dong'shui'ya'li
动态模量,dong'tai'mo'liang
洞探,dong'tan
冻土,dong'tu
洞隙,dong'xi
动员预付款,dong'yuan'yu'fu'kuan
动载,dong'zai
动载试验,dong'zai'shi'yan
冻胀,dong'zhang
斗齿,dou'chi
渡槽,du'cao
堵管事故,du'guan'shi'gu
独脚夯,du'jiao'hang
渡口,du'kou
堵漏,du'lou
堵漏剂,du'lou'ji
度盘,du'pan
读数,du'shu
度水槽,du'shui'cao
断背曲线,duan'bei'qu'xian
断层,duan'ceng
断层构造,duan'ceng'gou'zao
端承桩,duan'cheng'zhuang
短跨,duan'kua
断链,duan'lian
短链,duan'lian
断裂,duan'lie
断裂线,duan'lie'xian
断面,duan'mian
断面尺寸,duan'mian'chi'cun
断面渐变段,duan'mian'jian'bian'duan
断面形式,duan'mian'xing'shi
断面仪,duan'mian'yi
端墙,duan'qiang
断丝,duan'si
短肢,duan'zhi
短肢剪力墙,duan'zhi'jian'li'qiang
短肢墙,duan'zhi'qiang
端支座,duan'zhi'zuo
短柱,duan'zhu
端柱,duan'zhu
断桩,duan'zhuang
端阻力,duan'zu'li
对比方案,dui'bi'fang'an
对边,dui'bian
对边测量,dui'bian'ce'liang
堆焊,dui'han
对焊,dui'han
对焊焊接,dui'han'han'jie
对拉,dui'la
对拉螺杆,dui'la'luo'gan
对流再生,dui'liu'zai'sheng
兑现承诺,dui'xian'cheng'nuo
对中,dui'zhong
对中杆,dui'zhong'gan
对中器,dui'zhong'qi
墩顶,dun'ding
盾构,dun'gou
盾构法,dun'gou'fa
盾构挖掘机,dun'gou'wa'jue'ji
墩帽,dun'mao
墩身,dun'shen
墩台,dun'tai
墩台帽,dun'tai'mao
吨位,dun'wei
墩柱,dun'zhu
多层建筑,duo'ceng'jian'zhu
多层作业,duo'ceng'zuo'ye
多岔交叉,duo'cha'jiao'cha
多塔,duo'ta
恶性生产事故,e'xing'sheng'chan'shi'gu
二八法则,er'ba'fa'ze
二次衬砌,er'ci'chen'qi
二次剪球,er'ci'jian'qiu
二次收面,er'ci'shou'mian
二灰,er'hui
二灰碎石,er'hui'sui'shi
二灰碎石基层,er'hui'sui'shi'ji'ceng
二灰土,er'hui'tu
二灰土底基层,er'hui'tu'di'ji'ceng
二级钢,er'ji'gang
二级公路,er'ji'gong'lu
二期恒载,er'qi'heng'zai
耳墙,er'qiang
筏板,fa'ban
发包,fa'bao
发包方,fa'bao'fang
发车位,fa'che'wei
发电机,fa'dian'ji
筏基,fa'ji
法兰,fa'lan
阀体,fa'ti
发文,fa'wen
法线,fa'xian
法向拉应力,fa'xiang'la'ying'li
筏形,fa'xing
筏形基础,fa'xing'ji'chu
翻拌,fan'ban
反铲,fan'chan
反铲挖掘机,fan'chan'wa'jue'ji
翻斗,fan'dou
反光,fan'guang
反光背心,fan'guang'bei'xin
反光标志,fan'guang'biao'zhi
反光胶带,fan'guang'jiao'dai
反光膜,fan'guang'mo
反光漆,fan'guang'qi
反光涂料,fan'guang'tu'liao
泛碱,fan'jian
泛浆,fan'jiang
翻浆,fan'jiang
反梁,fan'liang
反滤层,fan'lv'ceng
翻模,fan'mo
翻模施工,fan'mo'shi'gong
反坡安全线,fan'po'an'quan'xian
反射裂缝,fan'she'lie'feng
反射率,fan'she'lv
反射片,fan'she'pian
反射器,fan'she'qi
翻松,fan'song
翻松碾压,fan'song'nian'ya
反弯点,fan'wan'dian
范围内,fan'wei'nei
反向曲线,fan'xiang'qu'xian
反循环,fan'xun'huan
反压护道,fan'ya'hu'dao
反应模量,fan'ying'mo'liang
泛油,fan'you
方案备选,fang'an'bei'xuan
方案比较,fang'an'bi'jiao
方案比选,fang'an'bi'xuan
方案编制,fang'an'bian'zhi
方案对比,fang'an'dui'bi
方案图,fang'an'tu
方案选择,fang'an'xuan'ze
方差,fang'cha
防尘面具,fang'chen'mian'ju
防尘罩,fang'chen'zhao
方锉,fang'cuo
防冻液,fang'dong'ye
防翻架,fang'fan'jia
防腐蚀,fang'fu'shi
防腐蚀工程,fang'fu'shi'gong'cheng
方钢,fang'gang
方格法,fang'ge'fa
方格网,fang'ge'wang
方格网点,fang'ge'wang'dian
防洪法,fang'hong'fa
防护栅,fang'hu'shan
防护用品,fang'hu'yong'pin
防滑处理,fang'hua'chu'li
防滑堆,fang'hua'dui
防火涂料,fang'huo'tu'liao
房建工程,fang'jian'gong'cheng
方孔筛,fang'kong'shai
防浪墙,fang'lang'qiang
方量,fang'liang
防裂钢筋,fang'lie'gang'jin
防裂网,fang'lie'wang
防落,fang'luo
防落屏,fang'luo'ping
防落网,fang'luo'wang
防落物司机室,fang'luo'wu'si'ji'shi
方木,fang'mu
放坡,fang'po
方锹,fang'qiao
防倾翻司机室,fang'qing'fan'si'ji'shi
防沙设施,fang'sha'she'shi
防砂设施,fang'sha'she'shi
防渗墙,fang'shen'qiang
方石,fang'shi
防水层,fang'shui'ceng
防水混凝土,fang'shui'hun'ning'tu
方位角,fang'wei'jiao
房屋建筑工程,fang'wu'jian'zhu'gong'cheng
放线,fang'xian
方向角,fang'xiang'jiao
防眩板,fang'xuan'ban
防炫屏,fang'xuan'ping
防眩设施,fang'xuan'she'shi
防眩网,fang'xuan'wang
防雪设施,fang'xue'she'shi
放样,fang'yang
放张,fang'zhang
防震减灾,fang'zhen'jian'zai
防撞,fang'zhuang
方桩,fang'zhuang
防撞墩,fang'zhuang'dun
防撞护栏,fang'zhuang'hu'lan
防撞墙,fang'zhuang'qiang
防撞桶,fang'zhuang'tong
防阻块,fang'zu'kuai
菲迪克,fei'di'ke
菲迪克条款,fei'di'ke'tiao'kuan
非机动车道,fei'ji'dong'che'dao
非抗震,fei'kang'zhen
废弃物,fei'qi'wu
非数理统计,fei'shu'li'tong'ji
非弹性变形,fei'tan'xing'bian'xing
费用估算,fei'yong'gu'suan
费用控制,fei'yong'kong'zhi
费用预算,fei'yong'yu'suan
沸煮法,fei'zhu'fa
分包,fen'bao
分包合同,fen'bao'he'tong
分包商,fen'bao'shang
分部,fen'bu
分布钢筋,fen'bu'gang'jin
分部工程,fen'bu'gong'cheng
分布筋,fen'bu'jin
分步再生,fen'bu'zai'sheng
分层,fen'ceng
分层夯实,fen'ceng'hang'shi
分层离析,fen'ceng'li'xi
分层压实,fen'ceng'ya'shi
分车岛,fen'che'dao
粉尘含量,fen'chen'han'liang
分道转弯式交叉口,fen'dao'zhuan'wan'shi'jiao'cha'kou
分隔带,fen'ge'dai
分隔设施,fen'ge'she'shi
分隔式立体交叉,fen'ge'shi'li'ti'jiao'cha
分划板,fen'hua'ban
粉胶比,fen'jiao'bi
分离,fen'li
分离式立交,fen'li'shi'li'jiao
分裂混凝土,fen'lie'hun'ning'tu
分流,fen'liu
分流制,fen'liu'zhi
粉煤灰,fen'mei'hui
粉喷桩,fen'pen'zhuang
分歧人孔,fen'qi'ren'kong
分散剂,fen'san'ji
粉砂,fen'sha
分水尖,fen'shui'jian
粉土,fen'tu
粉细砂,fen'xi'sha
分项,fen'xiang
分项分部,fen'xiang'fen'bu
分项分部工程,fen'xiang'fen'bu'gong'cheng
分项工程,fen'xiang'gong'cheng
分项系数,fen'xiang'xi'shu
粉性土,fen'xing'tu
分样器,fen'yang'qi
粉质粘土,fen'zhi'nian'tu
粉质土,fen'zhi'tu
封闭交通,feng'bi'jiao'tong
封层,feng'ceng
风挡,feng'dang
风挡玻璃,feng'dang'bo'li
封端,feng'duan
风镐,feng'gao
风荷载,feng'he'zai
风化程度,feng'hua'cheng'du
风化岩,feng'hua'yan
缝宽,feng'kuan
封锚,feng'mao
风炮,feng'pao
丰田行,feng'tian'xing
蜂窝,feng'wo
蜂窝麻面,feng'wo'ma'mian
风险管理,feng'xian'guan'li
风险管理规划,feng'xian'guan'li'gui'hua
风险缓解,feng'xian'huan'jie
风险监控,feng'xian'jian'kong
风险评估,feng'xian'ping'gu
风险去除,feng'xian'qu'chu
风险识别,feng'xian'shi'bie
风险效用,feng'xian'xiao'yong
风险应对规划,feng'xian'ying'dui'gui'hua
风险预防,feng'xian'yu'fang
风压,feng'ya
风钻,feng'zuan
腹板,fu'ban
复拌沥青混合料摊铺机,fu'ban'li'qing'hun'he'liao'tan'pu'ji
扶壁,fu'bi
扶壁式,fu'bi'shi
扶壁式挡土墙,fu'bi'shi'dang'tu'qiang
扶壁式桥台,fu'bi'shi'qiao'tai
复测,fu'ce
服从合同,fu'cong'he'tong
服从合同条件,fu'cong'he'tong'tiao'jian
服从合同条款,fu'cong'he'tong'tiao'kuan
辅道,fu'dao
浮吊,fu'diao
浮动床,fu'dong'chuang
浮动时差,fu'dong'shi'cha
覆盖养生,fu'gai'yang'sheng
腹拱,fu'gong
复核,fu'he
附合导线,fu'he'dao'xian
复合箍,fu'he'gu
复合箍筋,fu'he'gu'jin
复合式路面,fu'he'shi'lu'mian
符合要求,fu'he'yao'qiu
附加车道,fu'jia'che'dao
附加吊筋,fu'jia'diao'jin
附加箍筋,fu'jia'gu'jin
附加荷载,fu'jia'he'zai
浮浆,fu'jiang
付款凭证,fu'kuan'ping'zheng
付款证书,fu'kuan'zheng'shu
浮笼,fu'long
辅路,fu'lu
浮桥,fu'qiao
复曲线,fu'qu'xian
腐蚀率,fu'shi'lv
腐蚀试片,fu'shi'shi'pian
扶手,fu'shou
附属工程,fu'shu'gong'cheng
附属设施,fu'shu'she'shi
覆土,fu'tu
负弯矩,fu'wan'ju
复位弹簧,fu'wei'tan'huang
服务理念,fu'wu'li'nian
服务区,fu'wu'qu
服务设施,fu'wu'she'shi
服务性,fu'wu'xing
辅线,fu'xian
浮箱,fu'xiang
复压,fu'ya
浮运架桥,fu'yun'jia'qiao
复振,fu'zhen
腐植土,fu'zhi'tu
辅助标志,fu'zhu'biao'zhi
辅助车道,fu'zhu'che'dao
辅助施工,fu'zhu'shi'gong
辅助施工工程,fu'zhu'shi'gong'gong'cheng
辅助施工过程,fu'zhu'shi'gong'guo'cheng
附着,fu'zhuo
附着式,fu'zhuo'shi
附着式振捣器,fu'zhuo'shi'zhen'dao'qi
副总工,fu'zong'gong
副总监,fu'zong'jian
盖板,gai'ban
盖板涵,gai'ban'han
盖层,gai'ceng
改道,gai'dao
盖梁,gai'liang
改良层,gai'liang'ceng
改良土,gai'liang'tu
改善工程,gai'shan'gong'cheng
概算,gai'suan
概算定额,gai'suan'ding'e
改线,gai'xian
改性,gai'xing
改性沥青,gai'xing'li'qing
改性沥青混凝土面层,gai'xing'li'qing'hun'ning'tu'mian'ceng
改性乳化沥青,gai'xing'ru'hua'li'qing
概预算,gai'yu'suan
赶工,gan'gong
赶工期,gan'gong'qi
干接缝,gan'jie'feng
橄榄车,gan'lan'che
干密度,gan'mi'du
干砌,gan'qi
干砌石,gan'qi'shi
干湿,gan'shi
干湿类型,gan'shi'lei'xing
干式冷却塔,gan'shi'leng'que'ta
干湿循环,gan'shi'xun'huan
干缩,gan'suo
干缩裂缝,gan'suo'lie'feng
干缩系数,gan'suo'xi'shu
干缩应变,gan'suo'ying'bian
干弹簧,gan'tan'huang
甘特图,gan'te'tu
干土质量,gan'tu'zhi'liang
干线公路,gan'xian'gong'lu
干硬性混凝土,gan'ying'xing'hun'ning'tu
钢板尺,gang'ban'chi
钢板围堰,gang'ban'wei'yan
钢板桩,gang'ban'zhuang
钢尺,gang'chi
钢拱架,gang'gong'jia
钢构,gang'gou
刚构,gang'gou
刚构桥,gang'gou'qiao
钢管,gang'guan
钢管四脚支柱,gang'guan'si'jiao'zhi'zhu
钢管桩,gang'guan'zhuang
钢护栏,gang'hu'lan
钢护筒,gang'hu'tong
钢绞线,gang'jiao'xian
刚接,gang'jie
钢结构,gang'jie'gou
钢筋,gang'jin
钢筋安装,gang'jin'an'zhuang
钢筋安装尺寸,gang'jin'an'zhuang'chi'cun
钢筋保护层,gang'jin'bao'hu'ceng
钢筋保护层垫块,gang'jin'bao'hu'ceng'dian'kuai
钢筋保护层厚度,gang'jin'bao'hu'ceng'hou'du
钢筋除锈,gang'jin'chu'xiu
钢筋代换,gang'jin'dai'huan
钢筋勾,gang'jin'gou
钢筋骨架,gang'jin'gu'jia
钢筋焊接,gang'jin'han'jie
钢筋焊接质量,gang'jin'han'jie'zhi'liang
钢筋混凝土,gang'jin'hun'ning'tu
钢筋混凝土沉井,gang'jin'hun'ning'tu'chen'jing
钢筋混凝土沉桩,gang'jin'hun'ning'tu'chen'zhuang
钢筋混凝土挡土墙,gang'jin'hun'ning'tu'dang'tu'qiang
钢筋混凝土结构,gang'jin'hun'ning'tu'jie'gou
钢筋混凝土路面,gang'jin'hun'ning'tu'lu'mian
钢筋混凝土桥,gang'jin'hun'ning'tu'qiao
钢筋混凝土桥面,gang'jin'hun'ning'tu'qiao'mian
钢筋加工,gang'jin'jia'gong
钢筋加工尺寸,gang'jin'jia'gong'chi'cun
钢筋间距,gang'jin'jian'ju
钢筋接头,gang'jin'jie'tou
钢筋锯断机,gang'jin'ju'duan'ji
钢筋拉力机,gang'jin'la'li'ji
钢筋拉伸机,gang'jin'la'shen'ji
钢筋冷镦机,gang'jin'leng'dun'ji
钢筋冷拉,gang'jin'leng'la
钢筋冷弯,gang'jin'leng'wan
钢筋笼,gang'jin'long
钢筋切断机,gang'jin'qie'duan'ji
钢筋砼,gang'jin'tong
钢筋头,gang'jin'tou
钢筋弯曲机,gang'jin'wan'qu'ji
钢筋网,gang'jin'wang
钢筋网片,gang'jin'wang'pian
钢梁,gang'liang
钢模,gang'mo
钢模板,gang'mu'ban
钢钎,gang'qian
钢桥,gang'qiao
钢束,gang'shu
钢丝,gang'si
钢丝钳,gang'si'qian
钢丝绳,gang'si'sheng
钢丝束,gang'si'shu
钢丝刷,gang'si'shua
岗位责任制,gang'wei'ze'ren'zhi
钢纤维,gang'xian'wei
钢纤维混凝土,gang'xian'wei'hun'ning'tu
钢纤维混凝土路面,gang'xian'wei'hun'ning'tu'lu'mian
钢箱梁,gang'xiang'liang
岗薪,gang'xin
刚性,gang'xing
刚性护栏,gang'xing'hu'lan
刚性基层,gang'xing'ji'ceng
刚性基础,gang'xing'ji'chu
刚性角,gang'xing'jiao
刚性连接,gang'xing'lian'jie
刚性路基,gang'xing'lu'ji
刚性路面,gang'xing'lu'mian
刚性支座,gang'xing'zhi'zuo
钢支座,gang'zhi'zuo
钢柱,gang'zhu
高差,gao'cha
高程,gao'cheng
高程控制点,gao'cheng'kong'zhi'dian
高程控制网,gao'cheng'kong'zhi'wang
高等级公路,gao'deng'ji'gong'lu
高墩,gao'dun
高峰小时交通量,gao'feng'xiao'shi'jiao'tong'liang
高工,gao'gong
高管局,gao'guan'ju
高级工程师,gao'ji'gong'cheng'shi
高级技工学校,gao'ji'ji'gong'xue'xiao
高级技校,gao'ji'ji'xiao
高级路面,gao'ji'lu'mian
高架,gao'jia
高架桥,gao'jia'qiao
高界,gao'jie
高空作业,gao'kong'zuo'ye
高跨比,gao'kua'bi
高宽比,gao'kuan'bi
高岭石,gao'ling'shi
高强钢丝,gao'qiang'gang'si
高强螺栓,gao'qiang'luo'shuan
高斯,gao'si
高斯投影,gao'si'tou'ying
高速,gao'su
高速公路,gao'su'gong'lu
高速公路管理局,gao'su'gong'lu'guan'li'ju
高速公路建设,gao'su'gong'lu'jian'she
高速公路养护公司,gao'su'gong'lu'yang'hu'gong'si
高速路,gao'su'lu
高速铁路,gao'su'tie'lu
高填,gao'tian
高铁,gao'tie
高温稳定,gao'wen'wen'ding
高温稳定性,gao'wen'wen'ding'xing
高效团队,gao'xiao'tuan'dui
高压泵,gao'ya'beng
高压水枪,gao'ya'shui'qiang
高压油管,gao'ya'you'guan
高液限,gao'ye'xian
高液限土,gao'ye'xian'tu
高指,gao'zhi
隔板,ge'ban
隔断,ge'duan
割炬,ge'ju
隔离,ge'li
隔离带,ge'li'dai
隔离墩,ge'li'dun
隔离剂,ge'li'ji
隔离栅,ge'li'shan
隔离设施,ge'li'she'shi
隔墙,ge'qiang
割枪,ge'qiang
隔热层,ge're'ceng
隔水层,ge'shui'ceng
隔水墙,ge'shui'qiang
格网,ge'wang
隔音层,ge'yin'ceng
隔音墙,ge'yin'qiang
隔油井,ge'you'jing
跟踪测量,gen'zong'ce'liang
耕植土,geng'zhi'tu
工程,gong'cheng
工程保险,gong'cheng'bao'xian
工程变更,gong'cheng'bian'geng
工程编号,gong'cheng'bian'hao
工程材料,gong'cheng'cai'liao
工程处,gong'cheng'chu
工程概况,gong'cheng'gai'kuang
工程概预算,gong'cheng'gai'yu'suan
工程管理,gong'cheng'guan'li
工程价格,gong'cheng'jia'ge
工程监理费,gong'cheng'jian'li'fei
工程建设,gong'cheng'jian'she
工程建设强制条文,gong'cheng'jian'she'qiang'zhi'tiao'wen
工程建设强制性条文,gong'cheng'jian'she'qiang'zhi'xing'tiao'wen
工程建造师,gong'cheng'jian'zao'shi
工程经济,gong'cheng'jing'ji
工程局,gong'cheng'ju
工程可行性研究,gong'cheng'ke'xing'xing'yan'jiu
工程可行性研究报告,gong'cheng'ke'xing'xing'yan'jiu'bao'gao
工程款,gong'cheng'kuan
公称粒径,gong'cheng'li'jing
工程量,gong'cheng'liang
工程量清单,gong'cheng'liang'qing'dan
工程名称,gong'cheng'ming'cheng
工程年报,gong'cheng'nian'bao
工程师,gong'cheng'shi
工程实践,gong'cheng'shi'jian
工程项目,gong'cheng'xiang'mu
工程效能,gong'cheng'xiao'neng
工程一切险,gong'cheng'yi'qie'xian
工程月报,gong'cheng'yue'bao
工程造价,gong'cheng'zao'jia
工程造价师,gong'cheng'zao'jia'shi
工程质量监督费,gong'cheng'zhi'liang'jian'du'fei
工程重大安全事故罪,gong'cheng'zhong'da'an'quan'shi'gu'zui
公称最大粒径,gong'cheng'zui'da'li'jing
工地会议,gong'di'hui'yi
工地例会,gong'di'li'hui
工地试验室,gong'di'shi'yan'shi
拱顶,gong'ding
拱度,gong'du
拱度值,gong'du'zhi
工段,gong'duan
工段长,gong'duan'chang
工法,gong'fa
公共安全事故,gong'gong'an'quan'shi'gu
拱涵,gong'han
拱架,gong'jia
拱架卸落,gong'jia'xie'luo
拱脚,gong'jiao
公交车辆停靠站,gong'jiao'che'liang'ting'kao'zhan
公交停靠站,gong'jiao'ting'kao'zhan
工具袋,gong'ju'dai
工况,gong'kuang
拱肋,gong'lei
公里牌,gong'li'pai
公里桩,gong'li'zhuang
公路,gong'lu
公路标准,gong'lu'biao'zhun
公路工程定额,gong'lu'gong'cheng'ding'e
公路工程基础,gong'lu'gong'cheng'ji'chu
公路工程技术,gong'lu'gong'cheng'ji'shu
公路工程技术标准,gong'lu'gong'cheng'ji'shu'biao'zhun
公路工程施工技术规范,gong'lu'gong'cheng'shi'gong'ji'shu'gui'fan
公路工程质量检验评定标准,gong'lu'gong'cheng'zhi'liang'jian'yan'ping'ding'biao'zhun
公路管理段,gong'lu'guan'li'duan
公路基本建设,gong'lu'ji'ben'jian'she
公路技术,gong'lu'ji'shu
公路技术标准,gong'lu'ji'shu'biao'zhun
公路检测,gong'lu'jian'ce
公路建设,gong'lu'jian'she
公路景观设计,gong'lu'jing'guan'she'ji
公路局,gong'lu'ju
公路勘测,gong'lu'kan'ce
公路勘测规范,gong'lu'kan'ce'gui'fan
公路桥涵养护规范,gong'lu'qiao'han'yang'hu'gui'fan
公路施工,gong'lu'shi'gong
公路施工技术规范,gong'lu'shi'gong'ji'shu'gui'fan
公路项目,gong'lu'xiang'mu
公路一局,gong'lu'yi'ju
公路用地,gong'lu'yong'di
公路与桥梁,gong'lu'yu'qiao'liang
公路站,gong'lu'zhan
公路自然区划,gong'lu'zi'ran'qu'hua
工民建,gong'min'jian
拱模,gong'mo
功能分析,gong'neng'fen'xi
功能规格书,gong'neng'gui'ge'shu
功能栽植,gong'neng'zai'zhi
工期,gong'qi
工期计算,gong'qi'ji'suan
工期压缩,gong'qi'ya'suo
工期延长,gong'qi'yan'chang
工期优化,gong'qi'you'hua
拱墙,gong'qiang
拱圈,gong'quan
拱上,gong'shang
拱上侧墙,gong'shang'ce'qiang
拱上建筑,gong'shang'jian'zhu
拱上结构,gong'shang'jie'gou
工伤事故,gong'shang'shi'gu
拱式,gong'shi
拱式桥,gong'shi'qiao
工务段,gong'wu'duan
弓形板,gong'xing'ban
拱型护坡,gong'xing'hu'po
弓形架,gong'xing'jia
工序,gong'xu
工序时间,gong'xu'shi'jian
工序自检,gong'xu'zi'jian
供氧气量,gong'yang'qi'liang
拱腰,gong'yao
工业废水,gong'ye'fei'shui
工业废渣,gong'ye'fei'zha
工业废渣基层,gong'ye'fei'zha'ji'ceng
工业区道路,gong'ye'qu'dao'lu
工业用水重复利用率,gong'ye'yong'shui'chong'fu'li'yong'lv
工艺流程,gong'yi'liu'cheng
工艺水回用率,gong'yi'shui'hui'yong'lv
供应商,gong'ying'shang
拱胀,gong'zhang
共振,gong'zhen
拱轴线,gong'zhou'xian
工字钢,gong'zi'gang
工作动态,gong'zuo'dong'tai
工作分解结构,gong'zuo'fen'jie'jie'gou
工作分解结构词汇表,gong'zuo'fen'jie'jie'gou'ci'hui'biao
工作缝,gong'zuo'feng
工作交换容量,gong'zuo'jiao'huan'rong'liang
工作量,gong'zuo'liang
工作面,gong'zuo'mian
工作区域,gong'zuo'qu'yu
工作提示,gong'zuo'ti'shi
工作性,gong'zuo'xing
工作指令,gong'zuo'zhi'ling
工作装置,gong'zuo'zhuang'zhi
沟壁,gou'bi
沟槽,gou'cao
沟底,gou'di
勾缝,gou'feng
沟机,gou'ji
构件,gou'jian
构件支撑,gou'jian'zhi'cheng
沟通规划,gou'tong'gui'hua
勾头,gou'tou
勾头螺栓,gou'tou'luo'shuan
构造,gou'zao
构造边缘构件,gou'zao'bian'yuan'gou'jian
构造钢筋,gou'zao'gang'jin
构造筋,gou'zao'jin
构造配筋,gou'zao'pei'jin
构造深度,gou'zao'shen'du
构造物,gou'zao'wu
