阿尔尼,a'er'ni
聋哑婆婆,long'ya'po'po
龙跃在渊,long'yue'zai'yuan
龙爪擒拿手,long'zhua'qin'na'shou
陆伯,lu'bo
陆乘风,lu'cheng'feng
鲁达拔柳,lu'da'ba'liu
陆大有,lu'da'you
鹿鼎记,lu'ding'ji
陆鼎立,lu'ding'li
陆二娘,lu'er'niang
陆菲青,lu'fei'qing
路副将,lu'fu'jiang
陆高轩,lu'gao'xuan
陆冠英,lu'guan'ying
六合刀,lu'he'dao
六合劲,lu'he'jin
六合枪,lu'he'qiang
鲁连荣,lu'lian'rong
鹿清笃,lu'qing'du
陆天抒,lu'tian'shu
陆小凤,lu'xiao'feng
卢一峰,lu'yi'feng
陆音路,lu'yin'lu
鲁有脚,lu'you'jiao
鲁智深醉跌,lu'zhi'shen'zui'die
路自中峰上,lu'zi'zhong'feng'shang
乱环诀,luan'huan'jue
乱世情怀,luan'shi'qing'huai
骆冰,luo'bing
罗刹二使,luo'cha'er'shi
罗大千,luo'da'qian
罗汉级别,luo'han'ji'bie
罗汉剑法,luo'han'jian'fa
猡睺使,luo'hou'shi
罗立如,luo'li'ru
罗人杰,luo'ren'jie
落日大旗,luo'ri'da'qi
落日照大旗,luo'ri'zhao'da'qi
洛神凌波,luo'shen'ling'bo
罗天上仙,luo'tian'shang'xian
罗信,luo'xin
螺旋九影,luo'xuan'jiu'ying
落雁拳,luo'yan'quan
洛阳韩家,luo'yang'han'jia
落英剑法,luo'ying'jian'fa
落英神剑掌,luo'ying'shen'jian'zhang
吕葆中,lv'bao'zhong
吕南人,lv'nan'ren
吕七,lv'qi
吕素文,lv'su'wen
吕文德,lv'wen'de
吕小妹,lv'xiao'mei
吕毅中,lv'yi'zhong
吕正平,lv'zheng'ping
绿竹翁,lv'zhu'weng
马博仁,ma'bo'ren
马超兴,ma'chao'xing
马大鸣,ma'da'ming
马大挺,ma'da'ting
马法通,ma'fa'tong
马公子,ma'gong'zi
马光佐,ma'guang'zuo
马家骏,ma'jia'jun
马敬侠,ma'jing'xia
玛米尔,ma'mi'er
马面挑心,ma'mian'tiao'xin
马青雄,ma'qing'xiong
马善均,ma'shan'jun
马上上马,ma'shang'shang'ma
马行空,ma'xing'kong
玛雅帝国,ma'ya'di'guo
麻衣汉子,ma'yi'han'zi
马佑,ma'you
麦鲸,mai'jing
麦少帮主,mai'shao'bang'zhu
茅十八,mao'shi'ba
毛文珠,mao'wen'zhu
梅芳姑,mei'fang'gu
梅花拳,mei'hua'quan
梅剑和,mei'jian'he
梅良鸣,mei'liang'ming
媚媚猫,mei'mei'mao
梅念笙,mei'nian'sheng
美女拳法,mei'nv'quan'fa
美人三招,mei'ren'san'zhao
梅文馨,mei'wen'xin
梅雪逢夏,mei'xue'feng'xia
梅雪争春,mei'xue'zheng'chun
梅吟雪,mei'yin'xue
孟伯飞,meng'bo'fei
蒙古摔跤,meng'gu'shuai'jiao
猛虎伏桩,meng'hu'fu'zhuang
猛鸡夺粟,meng'ji'duo'su
孟家神拳,meng'jia'shen'quan
孟健雄,meng'jian'xiong
蒙雷,meng'lei
蒙娜塔莎,meng'na'ta'sha
孟婆灌汤,meng'po'guan'tang
孟师叔,meng'shi'shu
蒙阗,meng'tian
孟铮,meng'zheng
孟正鸿,meng'zheng'hong
孟铸,meng'zhu
米横野,mi'heng'ye
弥珈洛荒原,mi'jia'luo'huang'yuan
米思翰,mi'si'han
米为义,mi'wei'yi
绵掌,mian'zhang
妙风使,miao'feng'shi
苗家剑,miao'jia'jian
苗家剑法,miao'jia'jian'fa
妙僧无花,miao'seng'wu'hua
灭剑,mie'jian
灭星境,mie'xing'jing
闵柔,min'rou
闵子华,min'zi'hua
冥皇,ming'huang
明驼骏足,ming'tuo'jun'zu
明域,ming'yu
明月羌笛,ming'yue'qiang'di
魔闭,mo'bi
魔刀洪烈,mo'dao'hong'lie
蓦得,mo'de
魔定,mo'ding
墨菲托,mo'fei'tuo
魔封,mo'feng
魔固,mo'gu
摩诃巴思,mo'he'ba'si
摩诃指,mo'he'zhi
魔戟诛仙诀,mo'ji'zhu'xian'jue
魔解,mo'jie
摩羯星,mo'jie'xing
魔禁,mo'jin
魔诀,mo'jue
魔力黑洞,mo'li'hei'dong
魔龙天神剑,mo'long'tian'shen'jian
墨门,mo'men
魔破,mo'po
莫声谷,mo'sheng'gu
魔婴,mo'ying
魔域的太阳使,mo'yu'de'tai'yang'shi
莫之然,mo'zhi'ran
穆贝德,mu'bei'de
木岛主,mu'dao'zhu
木高峰,mu'gao'feng
穆贵妃,mu'gui'fei
穆护,mu'hu
沐家剑,mu'jia'jian
沐家拳,mu'jia'quan
沐剑声,mu'jian'sheng
木兰织衣,mu'lan'zhi'yi
木龙真人,mu'long'zhen'ren
穆人清,mu'ren'qing
慕容景岳,mu'rong'jing'yue
慕容九,mu'rong'jiu
慕容双,mu'rong'shuang
木桑道长,mu'sang'dao'zhang
暮宿晓行,mu'su'xiao'xing
慕天颜,mu'tian'yan
沐王府,mu'wang'fu
木文察,mu'wen'cha
木叶萧萧,mu'ye'xiao'xiao
木卓伦,mu'zhuo'lun
纳斯尔丁,na'si'er'ding
拿云式,na'yun'shi
奈何功,nai'he'gong
南宫灵,nan'gong'ling
南宫平,nan'gong'ping
南海剑宗,nan'hai'jian'zong
南海椰花岛,nan'hai'ye'hua'dao
南兰,nan'lan
南仁通,nan'ren'tong
南山掌法,nan'shan'zhang'fa
南少林派,nan'shao'lin'pai
南希仁,nan'xi'ren
内八卦掌法,nei'ba'gua'zhang'fa
倪不大,ni'bu'da
倪不小,ni'bu'xiao
霓裳金莲,ni'chang'jin'lian
倪浩,ni'hao
尼玛拉姆,ni'ma'la'mu
尼摩星,ni'mo'xing
泥鳅功,ni'qiu'gong
逆行经脉,ni'xing'jing'mai
拈花擒拿手,nian'hua'qin'na'shou
聂钺,nie'yue
宁强盗,ning'qiang'dao
宁氏一剑,ning'shi'yi'jian
宁完我,ning'wan'wo
凝血神抓,ning'xue'shen'zhua
宁中则,ning'zhong'ze
拗道师,niu'dao'shi
牛头人身,niu'tou'ren'shen
怒剑真人,nu'jian'zhen'ren
女貌郎才珠万斛,nv'mao'lang'cai'zhu'wan'hu
欧飞雄,ou'fei'xiong
欧罗巴联邦,ou'luo'ba'lian'bang
偶染风寒,ou'ran'feng'han
欧阳公政,ou'yang'gong'zheng
欧阳牧之,ou'yang'mu'zhi
欧英文,ou'ying'wen
拍断,pai'duan
徘徊空谷,pai'huai'kong'gu
盘根错节十八斧,pan'gen'cuo'jie'shi'ba'fu
盘弓射雕,pan'gong'she'diao
判官翻簿,pan'guan'fan'bu
盘回出壁箩,pan'hui'chu'bi'luo
潘秀达,pan'xiu'da
胖妇人,pang'fu'ren
胖丐,pang'gai
胖商人,pang'shang'ren
庖丁解牛掌,pao'ding'jie'niu'zhang
裴将军诗,pei'jiang'jun'shi
裴珏,pei'jue
彭参将,peng'can'jiang
彭连虎,peng'lian'hu
彭三春,peng'san'chun
彭莹玉,peng'ying'yu
彭长老,peng'zhang'lao
批亢式,pi'kang'shi
琵琶公主,pi'pa'gong'zhu
琵琶遮面,pi'pa'zhe'mian
皮清云,pi'qing'yun
皮裘,pi'qiu
飘雪穿云掌,piao'xue'chuan'yun'zhang
平阿四,ping'a'si
平等宝树王,ping'deng'bao'shu'wang
平夫人,ping'fu'ren
平工头,ping'gong'tou
平婆婆,ping'po'po
平旺先,ping'wang'xian
平威,ping'wei
平一指,ping'yi'zhi
破鞭式,po'bian'shi
破刀式,po'dao'shi
破箭式,po'jian'shi
泼墨披麻剑法,po'mo'pi'ma'jian'fa
破牌,po'pai
破气式,po'qi'shi
破枪式,po'qiang'shi
破碎虚空,po'sui'xu'kong
破索式,po'suo'shi
破玉拳,po'yu'quan
破月锥,po'yue'zhui
破掌式,po'zhang'shi
普门杖法,pu'men'zhang'fa
普通仙人,pu'tong'xian'ren
朴者和尚,pu'zhe'he'shang
齐伯涛,qi'bo'tao
凄惨的刀口,qi'can'de'dao'kou
戚长发,qi'chang'fa
七大寇之锋将,qi'da'kou'zhi'feng'jiang
七大寇之祭剑,qi'da'kou'zhi'ji'jian
七大首座,qi'da'shou'zuo
戚芳,qi'fang
祁家剑,qi'jia'jian
祁六三,qi'liu'san
齐洛诺夫,qi'luo'nuo'fu
奇门三才刀,qi'men'san'cai'dao
奇门五转,qi'men'wu'zhuan
棋盘招式,qi'pan'zhao'shi
祁清彪,qi'qing'biao
齐堂主,qi'tang'zhu
祁天彪,qi'tian'biao
七弦无形剑法,qi'xian'wu'xing'jian'fa
齐心宝树王,qi'xin'bao'shu'wang
齐元凯,qi'yuan'kai
祁志诚,qi'zhi'cheng
齐自勉,qi'zi'mian
千道纵横,qian'dao'zong'heng
千跌张,qian'die'zhang
钱二败,qian'er'bai
千古人龙,qian'gu'ren'long
千斤堕地,qian'jin'duo'di
千钧压驼,qian'jun'ya'tuo
乾坤大挪移,qian'kun'da'nuo'yi
乾坤湮灭,qian'kun'yan'mie
钱老本,qian'lao'ben
千里流沙,qian'li'liu'sha
钱青健,qian'qing'jian
钱通四,qian'tong'si
钱正伦,qian'zheng'lun
千蛛万毒手,qian'zhu'wan'du'shou
羌再生,qiang'zai'sheng
抢珠式,qiang'zhu'shi
峭壁断云,qiao'bi'duan'yun
乔福,qiao'fu
俏鬼,qiao'gui
乔寨主,qiao'zhai'zhu
琴儿,qin'er
秦老五,qin'lao'wu
擒龙功,qin'long'gong
秦耐之,qin'nai'zhi
覃天丞,qin'tian'cheng
秦伟帮,qin'wei'bang
青城道家,qing'cheng'dao'jia
清风引佩下瑶台,qing'feng'yin'pei'xia'yao'tai
青蜂针,qing'feng'zhen
晴画,qing'hua
青灵子,qing'ling'zi
轻罗小扇,qing'luo'xiao'shan
轻上斜红,qing'shang'xie'hong
青松望亭,qing'song'wang'ting
青铜时代,qing'tong'shi'dai
清心凝意,qing'xin'ning'yi
清虚道人,qing'xu'dao'ren
轻吟回风,qing'yin'hui'feng
清饮小酌,qing'yin'xiao'zhuo
青字九打,qing'zi'jiu'da
龟兹国王,qiu'ci'guo'wang
秋菊,qiu'ju
秋灵素,qiu'ling'su
裘千丈,qiu'qian'zhang
邱山风,qiu'shan'feng
秋山远,qiu'shan'yuan
秋小韵,qiu'xiao'yun
秋字家族,qiu'zi'jia'zu
去傍马头生,qu'bang'ma'tou'sheng
去烦恼指,qu'fan'nao'zhi
曲非烟,qu'fei'yan
取经棍法,qu'jing'gun'fa
曲三,qu'san
曲傻姑,qu'sha'gu
曲无容,qu'wu'rong
曲洋,qu'yang
觑准,qu'zhun
曲走奈何,qu'zou'nai'he
泉建男,quan'jian'nan
全金发,quan'jin'fa
泉妈,quan'ma
泉鸣芙蓉,quan'ming'fu'rong
全强盗,quan'qiang'dao
全真剑法,quan'zhen'jian'fa
群龙之首,qun'long'zhi'shou
群邪辟易,qun'xie'pi'yi
燃木刀法,ran'mu'dao'fa
绕指柔剑,rao'zhi'rou'jian
任慈,ren'ci
任通武,ren'tong'wu
任我行,ren'wo'xing
荣彩,rong'cai
熔星丹鼎,rong'xing'dan'ding
容子矩,rong'zi'ju
柔云剑术,rou'yun'jian'shu
如来千手式,ru'lai'qian'shou'shi
入魔道,ru'mo'dao
儒以文非今,ru'yi'wen'fei'jin
如影随形腿,ru'ying'sui'xing'tui
阮士忠,ruan'shi'zhong
蕊初,rui'chu
瑞大林,rui'da'lin
瑞栋,rui'dong
睿木族,rui'mu'zu
瑞婆婆,rui'po'po
芮玮,rui'wei
若克琳,ruo'ke'lin
萨多,sa'duo
塞北白家堡,sai'bei'bai'jia'bao
赛总管,sai'zong'guan
三杯吐言诺,san'bei'tu'yan'nuo
三代弟子,san'dai'di'zi
三分剑术,san'fen'jian'shu
三花聚顶掌法,san'hua'ju'ding'zhang'fa
散花掌,san'hua'zhang
三江阁,san'jiang'ge
三十六护法韦驮,san'shi'liu'hu'fa'wei'tuo
三无三不手,san'wu'san'bu'shou
三燕投林,san'yan'tou'lin
三铸神装,san'zhu'shen'zhuang
桑结,sang'jie
桑昆,sang'kun
桑拉巴,sang'la'ba
丧门鬼,sang'men'gui
桑三娘,sang'san'niang
桑斯,sang'si
桑土公,sang'tu'gong
扫荡群魔,sao'dang'qun'mo
扫雪烹茶,sao'xue'peng'cha
扫叶腿法,sao'ye'tui'fa
杀楚,sha'chu
沙广天,sha'guang'tian
沙老大,sha'lao'da
杀了你好吗,sha'le'ni'hao'ma
杀人的心跳,sha'ren'de'xin'tiao
煞神当道,sha'shen'dang'dao
煞神鬼,sha'shen'gui
杀手善哉,sha'shou'shan'zai
杀死雪山飞狐,sha'si'xue'shan'fei'hu
沙天江,sha'tian'jiang
沙通天,sha'tong'tian
山门护法,shan'men'hu'fa
山外清音,shan'wai'qing'yin
山西童家,shan'xi'tong'jia
商宝震,shang'bao'zhen
上官虹,shang'guan'hong
上官金虹,shang'guan'jin'hong
上官怜怜,shang'guan'lian'lian
上官刃,shang'guan'ren
上官铁生,shang'guan'tie'sheng
上官仙儿,shang'guan'xian'er
上官毅山,shang'guan'yi'shan
上官云,shang'guan'yun
商老太,shang'lao'tai
上清观,shang'qing'guan
上清剑法,shang'qing'jian'fa
上清拳,shang'qing'quan
少冲剑,shao'chong'jian
少典之子,shao'dian'zhi'zi
邵鹤,shao'he
少林长拳,shao'lin'chang'quan
少林伏魔神功,shao'lin'fu'mo'shen'gong
少林擒拿十八打,shao'lin'qin'na'shi'ba'da
少年冷血,shao'nian'leng'xue
少年铁手,shao'nian'tie'shou
少年追命,shao'nian'zhui'ming
少商剑,shao'shang'jian
邵燕,shao'yan
射雕英雄传,she'diao'ying'xiong'zhuan
慑服外道,she'fu'wai'dao
蛇磐青竹,she'pan'qing'zhu
蛇皮张,she'pi'zhang
蛇行狸翻,she'xing'li'fan
蛇行鼠窜,she'xing'shu'cuan
沈壁君,shen'bi'jun
神雕侠侣,shen'diao'xia'lv
慎笃行,shen'du'xing
沈慧琳,shen'hui'lin
沈慧珊,shen'hui'shan
慎空行,shen'kong'hang
神木王鼎,shen'mu'wang'ding
神器开天,shen'qi'kai'tian
沈青刚,shen'qing'gang
申人俊,shen'ren'jun
神山上人,shen'shan'shang'ren
申屠计都,shen'tu'ji'dou
身外化身,shen'wai'hua'shen
神医赖药儿,shen'yi'lai'yao'er
神音,shen'yin
神照上人,shen'zhao'shang'ren
申志凡,shen'zhi'fan
神州无敌,shen'zhou'wu'di
圣火令武功,sheng'huo'ling'wu'gong
生灵轮回,sheng'ling'lun'hui
生死令,sheng'si'ling
盛颜,sheng'yan
圣因师太,sheng'yin'shi'tai
狮鼻子,shi'bi'zi
史镖头,shi'biao'tou
史秉光,shi'bing'guang
史秉文,shi'bing'wen
史伯威,shi'bo'wei
石崇武,shi'chong'wu
施戴子,shi'dai'zi
史登达,shi'deng'da
十二菩萨之一,shi'er'pu'sa'zhi'yi
噬骨龙兽,shi'gu'long'shou
石关回马,shi'guan'hui'ma
史红石,shi'hong'shi
史火龙,shi'huo'long
史季强,shi'ji'qiang
释迦掷象功,shi'jia'zhi'xiang'gong
侍剑,shi'jian
时间规则,shi'jian'gui'ze
石骏,shi'jun
室里,shi'li
石梁派,shi'liang'pai
石廪剑法,shi'lin'jian'fa
石廪书声,shi'lin'shu'sheng
施令威,shi'ling'wei
史孟龙,shi'meng'long
石破天,shi'po'tian
史七郎,shi'qi'lang
史叔刚,shi'shu'gang
石双英,shi'shuang'ying
史松,shi'song
石头拳,shi'tou'quan
石驼,shi'tuo
石万嗔,shi'wan'chen
时未寒,shi'wei'han
史小翠,shi'xiao'cui
史仲俊,shi'zhong'jun
史仲猛,shi'zhong'meng
狮子吼,shi'zi'hou
瘦丐,shou'gai
手挥琵琶,shou'hui'pi'pa
守缺式,shou'que'shi
瘦商人,shou'shang'ren
瘦头陀,shou'tou'tuo
蜀道难牌法,shu'dao'nan'pai'fa
倏得,shu'de
书法武学,shu'fa'wu'xue
舒化龙,shu'hua'long
书剑恩仇录,shu'jian'en'chou'lu
淑女剑,shu'nv'jian
舒奇,shu'qi
蜀山剑宗,shu'shan'jian'zong
树梢擒猴,shu'shao'qin'hou
双龙取水,shuang'long'qu'shui
双驼西来,shuang'tuo'xi'lai
水岱,shui'dai
水福,shui'fu
水鉴,shui'jian
水灵光,shui'ling'guang
水龙一族,shui'long'yi'zu
水龙族,shui'long'zu
水母阴姬,shui'mu'yin'ji
水天姬,shui'tian'ji
水系道术,shui'xi'dao'shu
水云道人,shui'yun'dao'ren
朔风忽起,shuo'feng'hu'qi
朔风狂啸,shuo'feng'kuang'xiao
四大名捕打老虎,si'da'ming'bu'da'lao'hu
四大名捕斗僵尸,si'da'ming'bu'dou'jiang'shi
四大名捕震关东,si'da'ming'bu'zhen'guan'dong
四大天君,si'da'tian'jun
四大主司,si'da'zhu'si
司鬼,si'gui
司鬼者,si'gui'zhe
四海遨游,si'hai'ao'you
司空玄,si'kong'xuan
司空摘星,si'kong'zhai'xing
丝萝百结,si'luo'bai'jie
司马长空,si'ma'chang'kong
司马大,si'ma'da
司马林,si'ma'lin
四妹,si'mei
司冥,si'ming
司徒伯雷,si'tu'bo'lei
司徒光,si'tu'guang
司徒鹤,si'tu'he
司徒横,si'tu'heng
司徒静,si'tu'jing
司徒雷,si'tu'lei
司徒流星,si'tu'liu'xing
司徒千钟,si'tu'qian'zhong
四象步法,si'xiang'bu'fa
四象掌法,si'xiang'zhang'fa
司阴,si'yin
司阴者,si'yin'zhe
嵩山剑法,song'shan'jian'fa
宋善朋,song'shan'peng
松涛如雷,song'tao'ru'lei
宋天保,song'tian'bao
宋甜儿,song'tian'er
宋五,song'wu
松下对弈,song'xia'dui'yi
宋献策,song'xian'ce
嵩旭一振,song'xu'yi'zhen
嵩阳干元,song'yang'gan'yuan
嵩阳派,song'yang'pai
宋长老,song'zhang'lao
搜魂使,sou'hun'shi
搜魂术,sou'hun'shu
苏冈,su'gang
苏李宋,su'li'song
苏梦清,su'meng'qing
苏普,su'pu
苏荃,su'quan
苏三姐,su'san'jie
苏习之,su'xi'zhi
酸儒文人,suan'ru'wen'ren
孙大善,sun'da'shan
孙刚峰,sun'gang'feng
孙克通,sun'ke'tong
孙老三,sun'lao'san
孙三毁,sun'san'hui
孙思克,sun'si'ke
孙万年,sun'wan'nian
孙小红,sun'xiao'hong
孙秀清,sun'xiu'qing
孙学圃,sun'xue'pu
损则有孚,sun'ze'you'fu
孙仲寿,sun'zhong'shou
孙仲尹,sun'zhong'yin
缩地成寸,suo'di'cheng'cun
索命使,suo'ming'shi
太别山,tai'bie'shan
太皇太后,tai'huang'tai'hou
太极两仪生灭阵,tai'ji'liang'yi'sheng'mie'zhen
泰山剑法,tai'shan'jian'fa
泰山十八盘,tai'shan'shi'ba'pan
太虚子,tai'xu'zi
太玄神功,tai'xuan'shen'gong
太阳令,tai'yang'ling
太阳使,tai'yang'shi
太乙派,tai'yi'pai
太岳三青峰,tai'yue'san'qing'feng
太祖棒,tai'zu'bang
太祖长拳,tai'zu'chang'quan
谭迪人,tan'di'ren
谭青,tan'qing
谭文理,tan'wen'li
檀中,tan'zhong
唐方一战,tang'fang'yi'zhan
唐光雄,tang'guang'xiong
唐六爷,tang'liu'ye
唐诗剑法,tang'shi'jian'fa
唐文亮,tang'wen'liang
唐洋,tang'yang
汤祖德,tang'zu'de
陶百岁,tao'bai'sui
桃干仙,tao'gan'xian
陶管家,tao'guan'jia
陶红英,tao'hong'ying
陶师傅,tao'shi'fu
陶子安,tao'zi'an
藤萍,teng'ping
腾一雷,teng'yi'lei
提手上式,ti'shou'shang'shi
天长掌法,tian'chang'zhang'fa
天道仙域宗,tian'dao'xian'yu'zong
天地真人,tian'di'zhen'ren
天防结界,tian'fang'jie'jie
天峰大师,tian'feng'da'shi
天枫十四郎,tian'feng'shi'si'lang
天赋秉异,tian'fu'bing'yi
天赋异秉,tian'fu'yi'bing
天罡梅花桩,tian'gang'mei'hua'zhuang
天艮真人,tian'gen'zhen'ren
天虹禅师,tian'hong'chan'shi
天狐星,tian'hu'xing
田见秀,tian'jian'xiu
天决上人,tian'jue'shang'ren
天雷真人,tian'lei'zhen'ren
天离真人,tian'li'zhen'ren
天龙八部,tian'long'ba'bu
天罗地网势,tian'luo'di'wang'shi
天门道人,tian'men'dao'ren
天鸣方丈,tian'ming'fang'zhang
田青文,tian'qing'wen
天嫂,tian'sao
天山六阳掌,tian'shan'liu'yang'zhang
天山折梅手,tian'shan'zhe'mei'shou
天绅倒悬,tian'shen'dao'xuan
天师符菉宗,tian'shi'fu'lu'zong
天枢星力剑,tian'shu'xing'li'jian
天枢星力箭,tian'shu'xing'li'jian
天枢星力网,tian'shu'xing'li'wang
天水真人,tian'shui'zhen'ren
天松道人,tian'song'dao'ren
天孙织锦,tian'sun'zhi'jin
天外飞龙,tian'wai'fei'long
天外来云,tian'wai'lai'yun
天王补心针,tian'wang'bu'xin'zhen
天虚,tian'xu
天巽真,tian'xun'zhen
天乙道人,tian'yi'dao'ren
天泽真人,tian'ze'zhen'ren
天竺佛指,tian'zhu'fo'zhi
天柱剑法,tian'zhu'jian'fa
天竺僧,tian'zhu'seng
天竺僧人,tian'zhu'seng'ren
天柱云气,tian'zhu'yun'qi
调和酱油,tiao'he'jiang'you
铁钩功夫,tie'gou'gong'fu
铁剑门,tie'jian'men
铁开诚,tie'kai'cheng
铁莲子,tie'lian'zi
铁门闩刀法,tie'men'shuan'dao'fa
铁牛耕地,tie'niu'geng'di
铁琵琶手,tie'pi'pa'shou
铁骑突出,tie'qi'tu'chu
铁线拳,tie'xian'quan
铁血基地,tie'xue'ji'di
铁血星,tie'xue'xing
铁掌,tie'zhang
铁指诀,tie'zhi'jue
铁中棠,tie'zhong'tang
铁帚腿法,tie'zhou'tui'fa
童百熊,tong'bai'xiong
童大海,tong'da'hai
同归剑法,tong'gui'jian'fa
佟国纲,tong'guo'gang
童怀道,tong'huai'dao
童家流星锤法,tong'jia'liu'xing'chui'fa
童兆和,tong'zhao'he
同桌后生,tong'zhuo'hou'sheng
透骨打穴,tou'gu'da'xue
秃笔翁,tu'bi'weng
图尔布青,tu'er'bu'qing
图海道,tu'hai'dao
土系道术,tu'xi'dao'shu
推窗望月,tui'chuang'wang'yue
吞火情怀,tun'huo'qing'huai
瓦尔拉齐,wa'er'la'qi
万大平,wan'da'ping
万圭,wan'gui
万花剑法,wan'hua'jian'fa
万里风,wan'li'feng
万路雷霆,wan'lu'lei'ting
万庆澜,wan'qing'lan
万蛇汹涌,wan'she'xiong'yong
完颜阿古打,wan'yan'a'gu'da
完颜洪熙,wan'yan'hong'xi
完颜萍,wan'yan'ping
万震山,wan'zhen'shan
王八衰,wang'ba'shuai
王保保,wang'bao'bao
王伯奋,wang'bo'fen
王动,wang'dong
王罕,wang'han
汪浩天,wang'hao'tian
王家驹,wang'jia'ju
王家骏,wang'jia'jun
王剑杰,wang'jian'jie
王进宝,wang'jin'bao
王老六,wang'lao'liu
王难姑,wang'nan'gu
王十三,wang'shi'san
王师兄,wang'shi'xiong
汪铁鹗,wang'tie'e
王铁匠,wang'tie'jiang
王万仞,wang'wan'ren
汪万翼,wang'wan'yi
王维扬,wang'wei'yang
王惟忠,wang'wei'zhong
王武通,wang'wu'tong
王元霸,wang'yuan'ba
王掌柜,wang'zhang'gui
王志坦,wang'zhi'tan
王仲萍,wang'zhong'ping
王仲强,wang'zhong'qiang
王字四刀,wang'zi'si'dao
卫璧,wei'bi
韦春花,wei'chun'hua
卫春华,wei'chun'hua
卫凤娘,wei'feng'niang
卫四娘,wei'si'niang
韦陀门,wei'tuo'men
韦陀掌,wei'tuo'zhang
韦一笑,wei'yi'xiao
威震玛法,wei'zhen'ma'fa
闻苍松,wen'cang'song
温黛黛,wen'dai'dai
温方达,wen'fang'da
温方山,wen'fang'shan
温方施,wen'fang'shi
温方悟,wen'fang'wu
温方义,wen'fang'yi
文君当炉,wen'jun'dang'lu
温南扬,wen'nan'yang
温青,wen'qing
温仁厚,wen'ren'hou
温柔一刀,wen'rou'yi'dao
文泰来,wen'tai'lai
闻万夫,wen'wan'fu
闻先生,wen'xian'sheng
温有道,wen'you'dao
温有方,wen'you'fang
温正,wen'zheng
文醉翁,wen'zui'weng
吴柏英,wu'bai'ying
武版,wu'ban
吴宝宇,wu'bao'yu
吴镖头,wu'biao'tou
无常抖索,wu'chang'dou'suo
吴长风,wu'chang'feng
无常鬼,wu'chang'gui
无常锁命,wu'chang'suo'ming
无尘道人,wu'chen'dao'ren
无尘道长,wu'chen'dao'zhang
五大夫剑,wu'da'fu'jian
吴大鹏,wu'da'peng
武当长拳,wu'dang'chang'quan
吴道通,wu'dao'tong
五斗米神功,wu'dou'mi'shen'gong
五毒神掌,wu'du'shen'zhang
武敦儒,wu'dun'ru
五符,wu'fu
无根道人,wu'gen'dao'ren
五姑,wu'gu
吴光胜,wu'guang'sheng
五鬼投叉,wu'gui'tou'cha
无极玄功拳,wu'ji'xuan'gong'quan
无教艳质为眷属,wu'jiao'yan'zhi'wei'juan'shu
无劫飞升,wu'jie'fei'sheng
吴菊轩,wu'ju'xuan
吴坎,wu'kan
五雷灌顶,wu'lei'guan'ding
吴立身,wu'li'shen
无量剑,wu'liang'jian
无量剑法,wu'liang'jian'fa
武烈,wu'lie
吴六破,wu'liu'po
五罗轻烟掌,wu'luo'qing'yan'zhang
武铭,wu'ming
吴青烈,wu'qing'lie
武青婴,wu'qing'ying
无青子,wu'qing'zi
巫如咸,wu'ru'xian
武三娘,wu'san'niang
武三通,wu'san'tong
无色无相,wu'se'wu'xiang
无生者,wu'sheng'zhe
无双无对,wu'shuang'wu'dui
五台山清凉寺,wu'tai'shan'qing'liang'si
吴天德,wu'tian'de
乌旺阿普,wu'wang'a'pu
五贤对叙,wu'xian'dui'xu
无相禅师,wu'xiang'chan'shi
无相劫指,wu'xiang'jie'zhi
无相音罡,wu'xiang'yin'gang
悟星境,wu'xing'jing
悟星境第,wu'xing'jing'di
五行连环拳,wu'xing'lian'huan'quan
五行六合掌,wu'xing'lu'he'zhang
武修文,wu'xiu'wen
午夜兰花,wu'ye'lan'hua
无影幻腿,wu'ying'huan'tui
无忧真人,wu'you'zhen'ren
吴之荣,wu'zhi'rong
雾中初见,wu'zhong'chu'jian
五转幽冥,wu'zhuan'you'ming
西奥图三世,xi'ao'tu'san'shi
西川双侠,xi'chuan'shuang'xia
西窗夜话,xi'chuang'ye'hua
西毒杖法,xi'du'zhang'fa
西风倒卷,xi'feng'dao'juan
西华子,xi'hua'zi
西灵道人,xi'ling'dao'ren
西门吹雪,xi'men'chui'xue
西门观止,xi'men'guan'zhi
西失,xi'shi
洗髓经,xi'sui'jing
西夏宫女,xi'xia'gong'nv
西夏回人,xi'xia'hui'ren
希夷剑,xi'yi'jian
奚长老,xi'zhang'lao
峡谷天风,xia'gu'tian'feng
夏国相,xia'guo'xiang
侠客行,xia'ke'xing
夏老拳师,xia'lao'quan'shi
侠少,xia'shao
侠以武犯禁,xia'yi'wu'fan'jin
霞云回绕,xia'yun'hui'rao
夏胄,xia'zhou
仙闭,xian'bi
仙帝,xian'di
仙定,xian'ding
仙都派,xian'du'pai
仙封,xian'feng
仙固,xian'gu
闲过信陵饮,xian'guo'xin'ling'yin
仙后令者,xian'hou'ling'zhe
仙剑斩龙,xian'jian'zhan'long
仙解,xian'jie
仙禁,xian'jin
仙灵威压结界,xian'ling'wei'ya'jie'jie
仙破,xian'po
仙器坊,xian'qi'fang
鲜于通,xian'yu'tong
向大年,xiang'da'nian
响隔楼台,xiang'ge'lou'tai
相国夫人,xiang'guo'fu'ren
降龙十八掌,xiang'long'shi'ba'zhang
降魔刀法,xiang'mo'dao'fa
项长老,xiang'zhang'lao
笑傲江湖,xiao'ao'jiang'hu
