阿拉伯沙漠玫瑰,a'la'bo'sha'mo'mei'gui
猬凤梨亚科,wei'feng'li'ya'ke
翁丸,weng'wan
翁柱,weng'zhu
翁柱属,weng'zhu'shu
卧牛,wo'niu
雾冰玉属,wu'bing'yu'shu
无患子科,wu'huan'zi'ke
五加科,wu'jia'ke
污蜜草属,wu'mi'cao'shu
五十铃玉,wu'shi'ling'yu
梧桐科,wu'tong'ke
乌羽玉属,wu'yu'yu'shu
吸财树,xi'cai'shu
西番莲科,xi'fan'lian'ke
西番王属,xi'fan'wang'shu
犀角属,xi'jiao'shu
犀权杖属,xi'quan'zhang'shu
夕山樱,xi'shan'ying
虾钳花属,xia'qian'hua'shu
狭义彩虹花属,xia'yi'cai'hong'hua'shu
虾之玉,xia'zhi'yu
瑕稚玉属,xia'zhi'yu'shu
仙宝属,xian'bao'shu
仙茅科,xian'mao'ke
仙女杯,xian'nv'bei
仙女杯属,xian'nv'bei'shu
仙人笔属,xian'ren'bi'shu
仙人球,xian'ren'qiu
仙人球属,xian'ren'qiu'shu
仙人掌,xian'ren'zhang
仙人掌科,xian'ren'zhang'ke
仙人掌属,xian'ren'zhang'shu
仙人掌亚科,xian'ren'zhang'ya'ke
仙人柱亚科,xian'ren'zhu'ya'ke
弦月,xian'yue
香茶菜科,xiang'cha'cai'ke
香果石蒜属,xiang'guo'shi'suan'shu
香蕉魔南,xiang'jiao'mo'nan
象脚丝兰,xiang'jiao'si'lan
象牙丸,xiang'ya'wan
小苍角殿,xiao'cang'jiao'dian
小二仙草科,xiao'er'xian'cao'ke
小合锦,xiao'he'jin
小和锦,xiao'he'jin
小红衣,xiao'hong'yi
小鸡草科,xiao'ji'cao'ke
小米玉属,xiao'mi'yu'shu
小球玫瑰,xiao'qiu'mei'gui
小雀舌兰,xiao'que'she'lan
小人祭,xiao'ren'ji
小松绿,xiao'song'lv
小天狗,xiao'tian'gou
小头,xiao'tou
小仙人球,xiao'xian'ren'qiu
小叶番杏属,xiao'ye'fan'xing'shu
小叶眼树莲,xiao'ye'yan'shu'lian
小玉,xiao'yu
蟹爪兰,xie'zhao'lan
蟹爪钳,xie'zhua'qian
心叶球兰,xin'ye'qiu'lan
心叶雾冰玉,xin'ye'wu'bing'yu
新玉坠,xin'yu'zhui
新玉缀,xin'yu'zhui
猩红肉叶菊,xing'hong'rou'ye'ju
星美人,xing'mei'ren
星捧月科,xing'peng'yue'ke
星球,xing'qiu
星球属,xing'qiu'shu
星粟草,xing'su'cao
星王子,xing'wang'zi
猩猩冠柱,xing'xing'guan'zhu
猩猩冠柱属,xing'xing'guan'zhu'shu
星乙女,xing'yi'nv
星乙女锦,xing'yi'nv'jin
熊童子,xiong'tong'zi
熊童子白锦,xiong'tong'zi'bai'jin
熊童子黄锦,xiong'tong'zi'huang'jin
熊童子锦,xiong'tong'zi'jin
锈病,xiu'bing
修女,xiu'nv
秀女,xiu'nv
旭波属,xu'bo'shu
旭光花属,xu'guang'hua'shu
虚空藏,xu'kong'cang
虚空藏龙舌兰,xu'kong'cang'long'she'lan
旋花科,xuan'hua'ke
玄参科,xuan'shen'ke
雪光,xue'guang
雪光属,xue'guang'shu
雪花芦荟,xue'hua'lu'hui
雪莲,xue'lian
血皮草科,xue'pi'cao'ke
雪山仙女杯,xue'shan'xian'nv'bei
勋波玉属,xun'bo'yu'shu
熏大将,xun'da'jiang
熏大将属,xun'da'jiang'shu
勋玉树属,xun'yu'shu'shu
蚜虫,ya'chong
崖辉玉属,ya'hui'yu'shu
崖丽花属,ya'li'hua'shu
雅琴花属,ya'qin'hua'shu
雅乐之舞,ya'yue'zhi'wu
鸭跖草,ya'zhi'cao
鸭跖草科,ya'zhi'cao'ke
艳红凤梨亚科,yan'hong'feng'li'ya'ke
岩牡丹,yan'mu'dan
岩牡丹属,yan'mu'dan'shu
艳日辉,yan'ri'hui
岩石狮子,yan'shi'shi'zi
眼树莲属,yan'shu'lian'shu
洋二仙草科,yang'er'xian'cao'ke
羊舌玉属,yang'she'yu'shu
妖奇玉属,yao'qi'yu'shu
野牡丹科,ye'mu'dan'ke
叶下珠科,ye'xia'zhu'ke
叶仙人掌属,ye'xian'ren'zhang'shu
叶仙人掌亚科,ye'xian'ren'zhang'ya'ke
乙姬牡丹,yi'ji'mu'dan
乙女心,yi'nv'xin
银杯玉分支,yin'bei'yu'fen'zhi
银波锦,yin'bo'jin
银波锦属,yin'bo'jin'shu
银冠,yin'guan
银光玉属,yin'guang'yu'shu
银虎,yin'hu
银狐之尾,yin'hu'zhi'wei
银剑,yin'jian
银节柱属,yin'jie'zhu'shu
银丽玉属,yin'li'yu'shu
银手指,yin'shou'zhi
银霜,yin'shuang
银星,yin'xing
银杏科,yin'xing'ke
银须木属,yin'xu'mu'shu
银须玉属,yin'xu'yu'shu
银叶花属,yin'ye'hua'shu
银叶雀舌兰,yin'ye'que'she'lan
隐柱昙花,yin'zhu'tan'hua
隐柱昙花属,yin'zhu'tan'hua'shu
银装龙,yin'zhuang'long
银装龙属,yin'zhuang'long'shu
鹰巢属,ying'chao'shu
樱水晶,ying'shui'jing
罂粟科,ying'su'ke
婴趾玉属,ying'zhi'yu'shu
有刺萼,you'ci'e
有刺萼属,you'ci'e'shu
油点百合,you'dian'bai'he
油点百合属,you'dian'bai'he'shu
有星大凤玉,you'xing'da'feng'yu
玉吊钟,yu'diao'zhong
玉蝶,yu'die
玉舫花属,yu'fang'hua'shu
玉翡翠,yu'fei'cui
玉虹花属,yu'hong'hua'shu
浴凰花属,yu'huang'hua'shu
鱼鳞玉,yu'lin'yu
玉龙观音,yu'long'guan'yin
玉露,yu'lu
玉蕊科,yu'rui'ke
鱼鳃木亚科,yu'sai'mu'ya'ke
玉扇,yu'shan
玉树,yu'shu
玉翁,yu'weng
雨心,yu'xin
玉玉珠帘,yu'yu'zhu'lian
玉指木属,yu'zhi'mu'shu
玉指蓬属,yu'zhi'peng'shu
玉坠,yu'zhui
圆棒玉分支,yuan'bang'yu'fen'zhi
圆棒玉属,yuan'bang'yu'shu
原萝藦科,yuan'luo'mo'ke
圆盘玉,yuan'pan'yu
圆盘玉属,yuan'pan'yu'shu
原始种,yuan'shi'zhong
圆筒仙人掌,yuan'tong'xian'ren'zhang
圆筒仙人掌属,yuan'tong'xian'ren'zhang'shu
圆头玉露,yuan'tou'yu'lu
圆叶虎尾兰,yuan'ye'hu'wei'lan
圆叶景天,yuan'ye'jing'tian
圆叶万年草锦,yuan'ye'wan'nian'cao'jin
月祭,yue'ji
月世界属,yue'shi'jie'shu
月兔耳,yue'tu'er
月影,yue'ying
云南石莲,yun'nan'shi'lian
云上花属,yun'shang'hua'shu
杂交景天,za'jiao'jing'tian
藻铃玉分支,zao'ling'yu'fen'zhi
藻铃玉属,zao'ling'yu'shu
泽米铁科,ze'mi'tie'ke
章鱼爪属,zhang'yu'zhao'shu
照波,zhao'bo
照波分支,zhao'bo'fen'zhi
照波属,zhao'bo'shu
针叶花属,zhen'ye'hua'shu
珍珠吊兰,zhen'zhu'diao'lan
稚儿姿,zhi'er'zi
枝干番杏,zhi'gan'fan'xing
枝干番杏属,zhi'gan'fan'xing'shu
指苏花属,zhi'su'hua'shu
蜘蛛丸,zhi'zhu'wan
中斑莲花掌,zhong'ban'lian'hua'zhang
钟鬼,zhong'gui
钟花柱,zhong'hua'zhu
钟花柱属,zhong'hua'zhu'shu
皱棱球,zhou'leng'qiu
舟叶花亚科,zhou'ye'hua'ya'ke
舟叶花族,zhou'ye'hua'zu
朱虹花属,zhu'hong'hua'shu
朱莲,zhu'lian
蛛丝卷绢,zhu'si'juan'juan
柱叶虎尾兰,zhu'ye'hu'wei'lan
缀化,zhui'hua
子宝,zi'bao
紫草科,zi'cao'ke
子持白莲,zi'chi'bai'lian
子持莲华,zi'chi'lian'hua
子持莲花,zi'chi'lian'hua
子持年华,zi'chi'nian'hua
紫红牡丹,zi'hong'mu'dan
紫金牛科,zi'jin'niu'ke
紫娟卷,zi'juan'juan
紫龙角,zi'long'jiao
紫蛮刀,zi'man'dao
紫米粒,zi'mi'li
紫茉莉科,zi'mo'li'ke
紫牡丹,zi'mu'dan
紫纽伦堡紫珍,zi'niu'lun'bao'zi'zhen
紫菀亚科,zi'wan'ya'ke
紫葳科,zi'wei'ke
紫弦月,zi'xian'yue
紫霄木分支,zi'xiao'mu'fen'zhi
紫霄木属,zi'xiao'mu'shu
紫玄月,zi'xuan'yue
紫玉树属,zi'yu'shu'shu
紫珍珠,zi'zhen'zhu
紫珍珠锦,zi'zhen'zhu'jin
祖母宝绿属,zu'mu'bao'lv'shu
醉龙,zui'long
酢浆草科,zuo'jiang'cao'ke
