霭霭桑柘墟,ai'ai'sang'zhe'xu
登大茅公,deng'da'mao'gong
登飞来峰,deng'fei'lai'feng
灯火闭柴荆,deng'huo'bi'chai'jing
灯火已收正月半,deng'huo'yi'shou'zheng'yue'ban
登景德塔,deng'jing'de'ta
登临此日愧身闲,deng'lin'ci'ri'kui'shen'xian
登临更欲邀元亮,deng'lin'geng'yu'yao'yuan'liang
登临送目,deng'lin'song'mu
登临信地险,deng'lin'xin'di'xian
登临新作使君来,deng'lin'xin'zuo'shi'jun'lai
登西楼,deng'xi'lou
登小茅公,deng'xiao'mao'gong
登越州城楼,deng'yue'zhou'cheng'lou
等之事嬉游,deng'zhi'shi'xi'you
登中茅公,deng'zhong'mao'gong
笛材平莹家故藏,di'cai'ping'ying'jia'gu'cang
地大蟠三楚,di'da'pan'san'chu
缔构知从物外僧,di'gou'zhi'cong'wu'wai'seng
地广还同僻世喧,di'guang'hai'tong'pi'shi'xuan
低徊顾影无颜色,di'huai'gu'ying'wu'yan'se
低徊九原日,di'huai'jiu'yuan'ri
低回大梁下,di'hui'da'liang'xia
地积古悲凉,di'ji'gu'bei'liang
地卷江海浮,di'juan'jiang'hai'fu
低面厌莺喧,di'mian'yan'ying'xuan
地僻独无茅盖头,di'pi'du'wu'mao'gai'tou
地偏或免桓魋伐,di'pian'huo'mian'huan'tui'fa
地偏人罕至,di'pian'ren'han'zhi
帝青九万里,di'qing'jiu'wan'li
地上赤日流黄尘,di'shang'chi'ri'liu'huang'chen
地上晴烟扫不开,di'shang'qing'yan'sao'bu'kai
地瘦无黄犊,di'shou'wu'huang'du
地望岁功还物外,di'wang'sui'gong'hai'wu'wai
抵吴由越两间关,di'wu'you'yue'liang'jian'guan
地下谁通句曲天,di'xia'shui'tong'ju'qu'tian
地与天不隔,di'yu'tian'bu'ge
帝与凿耳目,di'yu'zao'er'mu
颠倒不见收,dian'dao'bu'jian'shou
颠倒就衰飒,dian'dao'jiu'shuai'sa
点也自殊由与求,dian'ye'zi'shu'you'yu'qiu
点缀丘园荣树木,dian'zhui'qiu'yuan'rong'shu'mu
钓国平生岂有心,diao'guo'ping'sheng'qi'you'xin
貂寒不自持,diao'han'bu'zi'chi
貂裘解亭皋,diao'qiu'jie'ting'gao
钓者,diao'zhe
叠翠亭,die'cui'ting
叠颖何劳怒,die'ying'he'lao'nu
饤饾留四坐,ding'dou'liu'si'zuo
定林,ding'lin
定林青木老参天,ding'lin'qing'mu'lao'can'tian
定林示道原,ding'lin'shi'dao'yuan
定林寺,ding'lin'si
定林所居,ding'lin'suo'ju
定林院昭文斋,ding'lin'yuan'zhao'wen'zhai
定林斋后鸣禽散,ding'lin'zhai'hou'ming'qin'san
丁年,ding'nian
丁年结客盛游从,ding'nian'jie'ke'sheng'you'cong
定知无奈帝城春,ding'zhi'wu'nai'di'cheng'chun
东庵残梦午时鸡,dong'an'can'meng'wu'shi'ji
东陂二首,dong'bei'er'shou
东陂风两卧黄云,dong'bei'feng'liang'wo'huang'yun
东北尽济漯,dong'bei'jin'ji'luo
东陂南荡正堪游,dong'bei'nan'dang'zheng'kan'you
东城,dong'cheng
东得省门身辄止,dong'de'sheng'men'shen'zhe'zhi
东方朔,dong'fang'shuo
冬风吹鬣马更骄,dong'feng'chui'lie'ma'geng'jiao
东风渺渺客天涯,dong'feng'miao'miao'ke'tian'ya
东风汝自摇,dong'feng'ru'zi'yao
东浮溪水渡长林,dong'fu'xi'shui'du'chang'lin
东冈,dong'gang
东冈岁晚一登临,dong'gang'sui'wan'yi'deng'lin
东皋,dong'gao
东皋揽结知新岁,dong'gao'lan'jie'zhi'xin'sui
东皋兴不浅,dong'gao'xing'bu'qian
东阁诗情易动,dong'ge'shi'qing'yi'dong
东归燕从海上去,dong'gui'yan'cong'hai'shang'qu
洞壑空藏龙,dong'he'kong'cang'long
东江,dong'jiang
东江木落水分洪,dong'jiang'mu'luo'shui'fen'hong
冻雷深闭阿香车,dong'lei'shen'bi'a'xiang'che
东门,dong'men
东门白下亭,dong'men'bai'xia'ting
东门人物乱如麻,dong'men'ren'wu'luan'ru'ma
东阡与南陌,dong'qian'yu'nan'mo
东挽三杨仍有樛,dong'wan'san'yang'reng'you'jiu
东望不见空回头,dong'wang'bu'jian'kong'hui'tou
东望得州来,dong'wang'de'zhou'lai
动为人所叹,dong'wei'ren'suo'tan
东西渺然白,dong'xi'miao'ran'bai
冬息阳海澨,dong'xi'yang'hai'shi
冬沿沟彴复寻春,dong'yan'gou'bo'fu'xun'chun
东阳道中,dong'yang'dao'zhong
冬至,dong'zhi
斗鸡走犬过一生,dou'ji'zou'quan'guo'yi'sheng
都无色可并,dou'wu'se'ke'bing
窦雪藏银镒,dou'xue'cang'yin'yi
独背东南驰,du'bei'dong'nan'chi
独藏云气委飞车,du'cang'yun'qi'wei'fei'che
都城纷华地,du'cheng'fen'hua'di
都城开博路,du'cheng'kai'bo'lu
都城六月招客语,du'cheng'liu'yue'zhao'ke'yu
都城落日马萧萧,du'cheng'luo'ri'ma'xiao'xiao
都城问越客,du'cheng'wen'yue'ke
笃诚真复类尨降,du'cheng'zhen'fu'lei'mang'jiang
都城只有袁安惫,du'cheng'zhi'you'yuan'an'bei
独当征求任,du'dang'zheng'qiu'ren
独饭,du'fan
独饭墙阴转,du'fan'qiang'yin'zhuan
杜甫画像,du'fu'hua'xiang
独负嘉宾此时乐,du'fu'jia'bin'ci'shi'le
度谷深追有鸟颃,du'gu'shen'zhui'you'niao'hang
度谷遥看积翠重,du'gu'yao'kan'ji'cui'zhong
独归,du'gui
读汉功臣表,du'han'gong'chen'biao
读汉书,du'han'shu
读后汉书,du'hou'han'shu
度麾岭寄莘老,du'hui'ling'ji'xin'lao
读开成事,du'kai'cheng'shi
独临青峭倚长松,du'lin'qing'qiao'yi'chang'song
度陇深寻一径斜,du'long'shen'xun'yi'jing'xie
读眉山集次韵雪诗五首,du'mei'shan'ji'ci'yun'xue'shi'wu'shou
读墨,du'mo
独牛非氄毛,du'niu'fei'rong'mao
读秦汉间事,du'qin'han'jian'shi
独取常苦易,du'qu'chang'ku'yi
独绕去年挥泪处,du'rao'qu'nian'hui'lei'chu
独山梅花,du'shan'mei'hua
独山梅花何所似,du'shan'mei'hua'he'suo'si
独上江城满目秋,du'shang'jiang'cheng'man'mu'qiu
杜生四五十,du'sheng'si'wu'shi
读史,du'shi
独使此风稔,du'shi'ci'feng'ren
独守千秋纸上尘,du'shou'qian'qiu'zhi'shang'chen
读蜀志,du'shu'zhi
读唐书,du'tang'shu
独望清光无补报,du'wang'qing'guang'wu'bu'bao
读维摩经有感,du'wei'mo'jing'you'gan
独卧林壑静,du'wo'lin'he'jing
独卧南窗榻,du'wo'nan'chuang'ta
独卧无心起,du'wo'wu'xin'qi
独卧有怀,du'wo'you'huai
独我坐无为,du'wo'zuo'wu'wei
独喜弦歌有嗣音,du'xi'xian'ge'you'si'yin
独行,du'xing
独寻寒水度,du'xun'han'shui'du
独倚青冥望八荒,du'yi'qing'ming'wang'ba'huang
独有见于彼,du'you'jian'yu'bi
读诏书,du'zhao'shu
度坠缘冈初不谋,du'zhui'yuan'gang'chu'bu'mou
独坐昏烟对舞柳,du'zuo'hun'yan'dui'wu'liu
锻处荒凉叔夜慵,duan'chu'huang'liang'shu'ye'yong
短褐相与同,duan'he'xiang'yu'tong
锻金以为曲,duan'jin'yi'wei'qu
端溪琢枕绿玉色,duan'xi'zhuo'zhen'lv'yu'se
段约之园亭,duan'yue'zhi'yuan'ting
对此漫嗟荣辱,dui'ci'man'jie'rong'ru
对客,dui'ke
对棋与道源至草堂寺,dui'qi'yu'dao'yuan'zhi'cao'tang'si
对现毗耶长者身,dui'xian'pi'ye'zhang'zhe'shen
对雪知春浅,dui'xue'zhi'chun'qian
咄嗟见盘羞,duo'jie'jian'pan'xiu
多谢殷懃杜宇啼,duo'xie'yin'qin'du'yu'ti
额黄映日明飞燕,e'huang'ying'ri'ming'fei'yan
峨然九女鬟,e'ran'jiu'nv'huan
恶者自恶,e'zhe'zi'e
饿走半九州岛,e'zou'ban'jiu'zhou'dao
恩赐随嘉节,en'ci'sui'jia'jie
恩容楚老护松楸,en'rong'chu'lao'hu'song'qiu
恩泽尧樽散在衢,en'ze'yao'zun'san'zai'qu
而驳荀杨氏,er'bo'xun'yang'shi
而此与鸮似,er'ci'yu'xiao'si
而纷纷籍籍,er'fen'fen'ji'ji
而今误我秦楼约,er'jin'wu'wo'qin'lou'yue
二君能到亦心清,er'jun'neng'dao'yi'xin'qing
二客来不速,er'ke'lai'bu'su
尔来百千年,er'lai'bai'qian'nian
二年风月共婆娑,er'nian'feng'yue'gong'po'suo
二年羁旅越人吟,er'nian'ji'lv'yue'ren'yin
二年相值喜同声,er'nian'xiang'zhi'xi'tong'sheng
二泉相望弃不渫,er'quan'xiang'wang'qi'bu'xie
儿失刀椠职,er'shi'dao'qian'zhi
二十起家今白头,er'shi'qi'jia'jin'bai'tou
儿童初掩关,er'tong'chu'yan'guan
儿童闻太丘,er'tong'wen'tai'qiu
而为民父母,er'wei'min'fu'mu
而我更歌呼,er'wo'geng'ge'hu
而我官闲幸无事,er'wo'guan'xian'xing'wu'shi
而我无安栖,er'wo'wu'an'qi
尔无如彼何,er'wu'ru'bi'he
二物应时须,er'wu'ying'shi'xu
儿应堪教比韦平,er'ying'kan'jiao'bi'wei'ping
发策东堂招儁乂,fa'ce'dong'tang'zhao'jun'ai
发丹久嗟淹国士,fa'dan'jiu'jie'yan'guo'shi
法法不思议,fa'fa'bu'si'yi
发馆陶,fa'guan'tao
伐坚羌庐窟孱颜,fa'jian'qiang'lu'ku'chan'yan
伐尽黄芦洲渚空,fa'jin'huang'lu'zhou'zhu'kong
发口如有神,fa'kou'ru'you'shen
发廪,fa'lin
法尚有存者,fa'shang'you'cun'zhe
发视绀碧光属联,fa'shi'gan'bi'guang'shu'lian
发粟至石陂寺,fa'su'zhi'shi'bei'si
法喜寺,fa'xi'si
伐翳取遥岑,fa'yi'qu'yao'cen
发有霜根面有埃,fa'you'shuang'gen'mian'you'ai
法云,fa'yun
法云但见脊,fa'yun'dan'jian'ji
伐之营中沚,fa'zhi'ying'zhong'zhi
贩陈彼杂恶,fan'chen'bi'za'e
翻成地上万烟雾,fan'cheng'di'shang'wan'yan'wu
泛泛水中游,fan'fan'shui'zhong'you
梵馆清闲侧布金,fan'guan'qing'xian'ce'bu'jin
蕃胡亦恐势方羸,fan'hu'yi'kong'shi'fang'lei
范雎,fan'ju
范雎相秦倾九州岛,fan'ju'xiang'qin'qing'jiu'zhou'dao
烦痾脱然愈,fan'ke'tuo'ran'yu
燔烹诬鬼神,fan'peng'wu'gui'shen
饭祈泽寺,fan'qi'ze'si
凡人工自私,fan'ren'gong'zi'si
蕃使常来射狐兔,fan'shi'chang'lai'she'hu'tu
饭新秔有香,fan'xin'jing'you'xiang
梵行四威仪,fan'xing'si'wei'yi
烦云豁然开,fan'yun'huo'ran'kai
范增二首,fan'zeng'er'shou
返照媚林塘,fan'zhao'mei'lin'tang
泛舟青溪入水门登高斋奉呈叔康,fan'zhou'qing'xi'ru'shui'men'deng'gao'zhai'feng'cheng'shu'kang
翻作幽窗枕上声,fan'zuo'you'chuang'zhen'shang'sheng
芳草,fang'cao
芳草知谁种,fang'cao'zhi'shui'zhong
芳辰一笑真难值,fang'chen'yi'xiao'zhen'nan'zhi
放出枝间自在春,fang'chu'zhi'jian'zi'zai'chun
方船稳载献天子,fang'chuan'wen'zai'xian'tian'zi
放船终碍画桥低,fang'chuan'zhong'ai'hua'qiao'di
方此镇禅扉,fang'ci'zhen'chan'fei
放歌扶杖出前林,fang'ge'fu'zhang'chu'qian'lin
放怀自事如初服,fang'huai'zi'shi'ru'chu'fu
方驾孙陵吊仲谋,fang'jia'sun'ling'diao'zhong'mou
方将筑其滨,fang'jiang'zhu'qi'bin
方今东南旱,fang'jin'dong'nan'han
放浪尘外躅,fang'lang'chen'wai'zhu
放浪无复事,fang'lang'wu'fu'shi
放身千仞高,fang'shen'qian'ren'gao
访隐者,fang'yin'zhe
放鱼,fang'yu
鲂鱼鱍鱍归城市,fang'yu'bo'bo'gui'cheng'shi
方丈寥寥羽水风,fang'zhang'liao'liao'yu'shui'feng
方丈蓬莱多伴侣,fang'zhang'peng'lai'duo'ban'lv
方执赐笔磨坳螭,fang'zhi'ci'bi'mo'ao'chi
方诸承水调幻药,fang'zhu'cheng'shui'tiao'huan'yao
飞度雪前开,fei'du'xue'qian'kai
菲菲物竞华,fei'fei'wu'jing'hua
非敢忘林丘,fei'gan'wang'lin'qiu
飞祸安可卜,fei'huo'an'ke'bu
费尽莺儿语,fei'jin'ying'er'yu
飞来峰上千寻塔,fei'lai'feng'shang'qian'xun'ta
飞来山上千寻塔,fei'lai'shan'shang'qian'xun'ta
非民独如此,fei'min'du'ru'ci
飞鸟随人作好音,fei'niao'sui'ren'zuo'hao'yin
飞兔已闻追騕褭,fei'tu'yi'wen'zhui'yao'niao
飞雁,fei'yan
飞扬窥已眩,fei'yang'kui'yi'xuan
飞雨溅溅嫩水生,fei'yu'jian'jian'nen'shui'sheng
分才一毛细,fen'cai'yi'mao'xi
纷纷换岁阴,fen'fen'huan'sui'yin
纷纷翦纸真虚负,fen'fen'jian'zhi'zhen'xu'fu
纷纷流俗尚师仙,fen'fen'liu'su'shang'shi'xian
纷纷迷眼为谁花,fen'fen'mi'yan'wei'shui'hua
纷纷人物敌京华,fen'fen'ren'wu'di'jing'hua
纷纷塞路堪追惜,fen'fen'sai'lu'kan'zhui'xi
纷纷谁与守,fen'fen'shei'yu'shou
纷纷生物更相吹,fen'fen'sheng'wu'geng'xiang'chui
纷纷水中游,fen'fen'shui'zhong'you
纷纷易尽百年身,fen'fen'yi'jin'bai'nian'shen
纷纷自向江城落,fen'fen'zi'xiang'jiang'cheng'luo
粉墨空多真漫与,fen'mo'kong'duo'zhen'man'yu
坟墓安可忘,fen'mu'an'ke'wang
纷披千障土囊开,fen'pi'qian'zhang'tu'nang'kai
纷然各所遇,fen'ran'ge'suo'yu
纷然能幻本无花,fen'ran'neng'huan'ben'wu'hua
芬香出邻壁,fen'xiang'chu'lin'bi
风包堕朱缯,feng'bao'duo'zhu'zeng
风波愁过春,feng'bo'chou'guo'chun
丰车肥马载豪杰,feng'che'fei'ma'zai'hao'jie
风尘愁杀庾兰成,feng'chen'chou'sha'yu'lan'cheng
凤城南陌他年忆,feng'cheng'nan'mo'ta'nian'yi
奉酬圣从侍制,feng'chou'sheng'cong'shi'zhi
奉酬杨乐道,feng'chou'yang'yue'dao
奉酬永叔见赠,feng'chou'yong'shu'jian'zeng
奉酬约之见招,feng'chou'yue'zhi'jian'zhao
风吹沙度满城黄,feng'chui'sha'du'man'cheng'huang
蜂分蚁争今不见,feng'fen'yi'zheng'jin'bu'jian
风过溪来满坐凉,feng'guo'xi'lai'man'zuo'liang
奉和景纯十四丈三绝,feng'he'jing'chun'shi'si'zhang'san'jue
冯侯天马壮不羁,feng'hou'tian'ma'zhuang'bu'ji
凤凰山,feng'huang'shan
奉寄子思以代别,feng'ji'zi'si'yi'dai'bie
风来风去岂尝要,feng'lai'feng'qu'qi'chang'yao
风流今见佳公子,feng'liu'jin'jian'jia'gong'zi
风流翳蓬颗,feng'liu'yi'peng'ke
峰峦张锦绣,feng'luan'zhang'jin'xiu
锋铓子犹铦,feng'mang'zi'you'gua
丰年不饱食,feng'nian'bu'bao'shi
丰年处处人家好,feng'nian'chu'chu'ren'jia'hao
风泉隔屋撞哀玉,feng'quan'ge'wu'zhuang'ai'yu
逢泉饮厌厌,feng'quan'yin'yan'yan
风日有情无处着,feng'ri'you'qing'wu'chu'zhe
风骚坛上见麾幢,feng'sao'tan'shang'jian'hui'zhuang
奉使道中寄育王山长老常坦,feng'shi'dao'zhong'ji'yu'wang'shan'chang'lao'chang'tan
逢时岂遽废,feng'shi'qi'ju'fei
冯轼信厚礼,feng'shi'xin'hou'li
奉使由来须陆贾,feng'shi'you'lai'xu'lu'jia
风水千瑞安知难,feng'shui'qian'rui'an'zhi'nan
风涛吹黄昏,feng'tao'chui'huang'hun
风铁相敲固可鸣,feng'tie'xiang'qiao'gu'ke'ming
风亭对竹酬孤峭,feng'ting'dui'zhu'chou'gu'qiao
风头入溪蒲叶偃,feng'tou'ru'xi'pu'ye'yan
风味真如顾建康,feng'wei'zhen'ru'gu'jian'kang
风物能留邴曼容,feng'wu'neng'liu'bing'man'rong
风昔相逢喜,feng'xi'xiang'feng'xi
风行欹帽檐,feng'xing'qi'mao'yan
风暄草欲熏,feng'xuan'cao'yu'xun
风游会稽春,feng'you'kuai'ji'chun
风雨无时谁会得,feng'yu'wu'shi'shei'hui'de
逢原所尝嬉,feng'yuan'suo'chang'xi
逢原未熟我,feng'yuan'wei'shu'wo
风月一歌劳者事,feng'yue'yi'ge'lao'zhe'shi
风云已见秋萧索,feng'yun'yi'jian'qiu'xiao'suo
奉招吉甫,feng'zhao'ji'fu
封殖苍官荫华皓,feng'zhi'cang'guan'yin'hua'hao
风作九衢黄,feng'zuo'jiu'qu'huang
腹背他时两受鞭,fu'bei'ta'shi'liang'shou'bian
浮苍霭霭遥连阁,fu'cang'ai'ai'yao'lian'ge
浮荈白云香,fu'chuan'bai'yun'xiang
复此好远游,fu'ci'hao'yuan'you
复道谏书尝满箧,fu'dao'jian'shu'chang'man'qie
复得此君相与游,fu'de'ci'jun'xiang'yu'you
复得一龚从我游,fu'de'yi'gong'cong'wo'you
富贵道足羞,fu'gui'dao'zu'xiu
负笈求晨饘,fu'ji'qiu'chen'zhan
富家种论石,fu'jia'zhong'lun'shi
幅巾慵整露苍华,fu'jin'yong'zheng'lu'cang'hua
附丽无奸憸,fu'li'wu'jian'xian
赋敛中原困,fu'lian'zhong'yuan'kun
浮名浮利何济,fu'ming'fu'li'he'ji
浮名未污染,fu'ming'wei'wu'ran
富贫同一时,fu'pin'tong'yi'shi
芙蕖,fu'qu
芙蕖耐夏复宜秋,fu'qu'nai'xia'fu'yi'qiu
芙蓉堂下疏秋水,fu'rong'tang'xia'shu'qiu'shui
扶伤更一战,fu'shang'geng'yi'zhan
俯视东南陔,fu'shi'dong'nan'gai
抚士威爱惬,fu'shi'wei'ai'qie
俯视烟云来不极,fu'shi'yan'yun'lai'bu'ji
俛首一破颜,fu'shou'yi'po'yan
腐鼠相随势亦高,fu'shu'xiang'sui'shi'yi'gao
复随春色破寒来,fu'sui'chun'se'po'han'lai
负土私力弱,fu'tu'si'li'ruo
浮屠之法与世殊,fu'tu'zhi'fa'yu'shi'shu
复谓留侯不及我,fu'wei'liu'hou'bu'ji'wo
父翁相贩卖,fu'weng'xiang'fan'mai
福祥周室流为火,fu'xiang'zhou'shi'liu'wei'huo
拂晓锺声到景阳,fu'xiao'zhong'sheng'dao'jing'yang
抚心私自怜,fu'xin'si'zi'lian
负新无力病侵淫,fu'xin'wu'li'bing'qin'yin
妇休机杼事,fu'xiu'ji'zhu'shi
肤雪参差是太真,fu'xue'shen'cha'shi'tai'zhen
凫雁静立将俦侣,fu'yan'jing'li'jiang'chou'lv
浮烟漠漠细沙平,fu'yan'mo'mo'xi'sha'ping
俛仰但如昨,fu'yang'dan'ru'zuo
俯仰谬恩方自歉,fu'yang'miu'en'fang'zi'qian
俯仰求灵踪,fu'yang'qiu'ling'zong
俯仰知天大,fu'yang'zhi'tian'da
赋以升龠合,fu'yi'sheng'yue'he
扶舆独来止中林,fu'yu'du'lai'zhi'zhong'lin
扶舆度焰水,fu'yu'du'yan'shui
赋予皆自我,fu'yu'jie'zi'wo
扶舆绕故园,fu'yu'rao'gu'yuan
浮云变姿媚,fu'yun'bian'zi'mei
浮云倒影移窗隙,fu'yun'dao'ying'yi'chuang'xi
浮云堆白玉,fu'yun'dui'bai'yu
浮云卷晴明,fu'yun'juan'qing'ming
浮云离披久不合,fu'yun'li'pi'jiu'bu'he
浮云缥缈抱城楼,fu'yun'piao'miao'bao'cheng'lou
浮云映郭留佳气,fu'yun'ying'guo'liu'jia'qi
浮云在寥廓,fu'yun'zai'liao'kuo
赋枣,fu'zao
浮诈谁能审,fu'zha'shui'neng'shen
赴召道中,fu'zhao'dao'zhong
伏枕但能知广乐,fu'zhen'dan'neng'zhi'guang'le
复至曹娥堰寄剡县丁元珍,fu'zhi'cao'e'yan'ji'shan'xian'ding'yuan'zhen
妇子夜号呼,fu'zi'ye'hao'hu
改作不可无,gai'zuo'bu'ke'wu
柑椑与橙栗,gan'bei'yu'cheng'li
干戈四海愁,gan'ge'si'hai'chou
甘留所憩棠,gan'liu'suo'qi'tang
甘露歌,gan'lu'ge
甘弃万户封,gan'qi'wan'hu'feng
感事,gan'shi
干世还忧近逆鳞,gan'shi'hai'you'jin'ni'lin
干时吾自懒,gan'shi'wu'zi'lan
甘酸向口无所适,gan'suan'xiang'kou'wu'suo'shi
甘棠梨,gan'tang'li
甘棠诗所歌,gan'tang'shi'suo'ge
敢言诋平津,gan'yan'di'ping'jin
绀玉青纨缣,gan'yu'qing'wan'jian
感子抚我厚,gan'zi'fu'wo'hou
冈原今献卜,gang'yuan'jin'xian'bu
高蝉抱壳悲声切,gao'chan'bao'ke'bei'sheng'qie
高歌业已传都市,gao'ge'ye'yi'chuan'du'shi
高歌一曲,gao'ge'yi'qu
高楼玉管休吹,gao'lou'yu'guan'xiu'chui
高论已嗟能听少,gao'lun'yi'jie'neng'ting'shao
高梅放蕊尚娇春,gao'mei'fang'rui'shang'jiao'chun
高门万马散,gao'men'wan'ma'san
高入青冥不附林,gao'ru'qing'ming'bu'fu'lin
膏润及远野,gao'run'ji'yuan'ye
高山流水意无穷,gao'shan'liu'shui'yi'wu'qiong
告叟去复来,gao'sou'qu'fu'lai
高谈四坐扫炎热,gao'tan'si'zuo'sao'yan're
高堂已白发,gao'tang'yi'bai'fa
高亭五月尚寒生,gao'ting'wu'yue'shang'han'sheng
高位纷纷谁得志,gao'wei'fen'fen'shui'de'zhi
高兴寄日月,gao'xing'ji'ri'yue
羔袖龙锺手独叉,gao'xiu'long'zhong'shou'du'cha
高穴逗远源,gao'xue'dou'yuan'yuan
高穴与云平,gao'xue'yu'yun'ping
高阳有才子,gao'yang'you'cai'zi
膏泽未施空谤怨,gao'ze'wei'shi'kong'bang'yuan
高座翳绕天花深,gao'zuo'yi'rao'tian'hua'shen
隔岸声相应,ge'an'sheng'xiang'ying
隔岸桃花红未半,ge'an'tao'hua'hong'wei'ban
歌罢坐长叹,ge'ba'zuo'chang'tan
各出群峰尖,ge'chu'qun'feng'jian
隔淮仍见袅袅垂,ge'huai'reng'jian'niao'niao'chui
葛郎中挽辞二首,ge'lang'zhong'wan'ci'er'shou
革去在食葚,ge'qu'zai'shi'shen
歌舞不可求,ge'wu'bu'ke'qiu
隔屋春声树外深,ge'wu'chun'sheng'shu'wai'shen
葛溪驿,ge'xi'yi
葛兴祖挽辞,ge'xing'zu'wan'ci
哿矣哀此民,ge'yi'ai'ci'min
哿矣富阡陌,ge'yi'fu'qian'mo
歌元丰五首,ge'yuan'feng'wu'shou
根本讵宜轻,gen'ben'ju'yi'qing
更把韦编静处开,geng'ba'wei'bian'jing'chu'kai
更惭虚食太官羞,geng'can'xu'shi'tai'guan'xiu
更感锺山蕙帐空,geng'gan'zhong'shan'hui'zhang'kong
更怪高材终未遇,geng'guai'gao'cai'zhong'wei'yu
更见熙宁第四春,geng'jian'xi'ning'di'si'chun
更觉城中芳意少,geng'jue'cheng'zhong'fang'yi'shao
更觉负林泉,geng'jue'fu'lin'quan
更觉贫家报乏金,geng'jue'pin'jia'bao'fa'jin
更觉至尊思虑远,geng'jue'zhi'zun'si'lv'yuan
更恐颠毛自此斑,geng'kong'dian'mao'zi'ci'ban
更磨碑藓认前朝,geng'mo'bei'xian'ren'qian'chao
更拟携诗载酒夸,geng'ni'xie'shi'zai'jiu'kua
更念昔日悲,geng'nian'xi'ri'bei
耕桑有妻子,geng'sang'you'qi'zi
更上北山头,geng'shang'bei'shan'tou
庚申正月游齐安,geng'shen'zheng'yue'you'qi'an
更使臣工作,geng'shi'chen'gong'zuo
更似青衫杜拾遗,geng'si'qing'shan'du'shi'yi
更添华发几千茎,geng'tian'hua'fa'ji'qian'jing
耿天骘惠梨次韵奉酬三首,geng'tian'zhi'hui'li'ci'yun'feng'chou'san'shou
耿天骘许浪山千叶梅见寄,geng'tian'zhi'xu'lang'shan'qian'ye'mei'jian'ji
更问田家果是非,geng'wen'tian'jia'guo'shi'fei
更无还,geng'wu'hai
更无一片桃花在,geng'wu'yi'pian'tao'hua'zai
更喜嘉宾伴此行,geng'xi'jia'bin'ban'ci'xing
更想杜郎诗在眼,geng'xiang'du'lang'shi'zai'yan
更想前官责尚轻,geng'xiang'qian'guan'ze'shang'qing
更忆南湖秋水波,geng'yi'nan'hu'qiu'shui'bo
更以铸黄金,geng'yi'zhu'huang'jin
更引流杯送酒行,geng'yin'liu'bei'song'jiu'hang
耕有春雨濡,geng'you'chun'yu'ru
更与灵均续旧文,geng'yu'ling'jun'xu'jiu'wen
更欲因君稍问涂,geng'yu'yin'jun'shao'wen'tu
更筑怀清台,geng'zhu'huai'qing'tai
更足诗人发冢人,geng'zu'shi'ren'fa'zhong'ren
公不自眠分与客,gong'bu'zi'mian'fen'yu'ke
功才一篑微,gong'cai'yi'kui'wei
公才卓牵人所惊,gong'cai'zhuo'qian'ren'suo'jing
公乘白凤今何处,gong'cheng'bai'feng'jin'he'chu
宫成非一木,gong'cheng'fei'yi'mu
功成终欲放春回,gong'cheng'zhong'yu'fang'chun'hui
宫词,gong'ci
宫花更有鹤翎红,gong'hua'geng'you'he'ling'hong
宫花一段锦新翻,gong'hua'yi'duan'jin'xin'fan
公今早晚班春去,gong'jin'zao'wan'ban'chun'qu
宫楼唱罢鸡人远,gong'lou'chang'ba'ji'ren'yuan
公每玩之常在把,gong'mei'wan'zhi'chang'zai'ba
宫庙此神乡,gong'miao'ci'shen'xiang
功名苟不谐,gong'ming'gou'bu'xie
功名落落求难值,gong'ming'luo'luo'qiu'nan'zhi
功名无复在刍荛,gong'ming'wu'fu'zai'chu'rao
公辟枉道见过获闻新诗因叙叹仰,gong'pi'wang'dao'jian'guo'huo'wen'xin'shi'yin'xu'tan'yang
公卿患才难,gong'qing'huan'cai'nan
宫阙初晴气象饶,gong'que'chu'qing'qi'xiang'rao
供人真净四威仪,gong'ren'zhen'jing'si'wei'yi
共赛元丰第二秋,gong'sai'yuan'feng'di'er'qiu
宫商挟奏斐然殊,gong'shang'xie'zou'fei'ran'shu
公时指岸木,gong'shi'zhi'an'mu
公私无异财,gong'si'wu'yi'cai
公孙今果见才高,gong'sun'jin'guo'jian'cai'gao
共望长河映远林,gong'wang'chang'he'ying'yuan'lin
恭轩静对北堂深,gong'xuan'jing'dui'bei'tang'shen
共言何许更消忧,gong'yan'he'xu'geng'xiao'you
宫云低绕乐声留,gong'yun'di'rao'yue'sheng'liu
供帐阊门胜去时,gong'zhang'chang'men'sheng'qu'shi
公知我不欺,gong'zhi'wo'bu'qi
沟荡两取合土山,gou'dang'liang'qu'he'tu'shan
沟港,gou'gang
沟港重重柳,gou'gang'chong'chong'liu
篝火度谷行山根,gou'huo'du'gu'xing'shan'gen
狗监无人荐子虚,gou'jian'wu'ren'jian'zi'xu
苟能泽下民,gou'neng'ze'xia'min
沟曲绕平田,gou'qu'rao'ping'tian
沟上梅花欲发,gou'shang'mei'hua'yu'fa
沟西,gou'xi
沟西直下看芙蕖,gou'xi'zhi'xia'kan'fu'qu
苟以饰妇妾,gou'yi'shi'fu'qie
苟云御风气,gou'yun'yu'feng'qi
孤城,gu'cheng
孤城画角,gu'cheng'hua'jiao
孤城回望距几何,gu'cheng'hui'wang'ju'ji'he
