阿含桐山杯,a'han'tong'shan'bei
交换,jiao'huan
交接,jiao'jie
搅局,jiao'ju
角上板八,jiao'shang'ban'ba
角上板六,jiao'shang'ban'liu
交手,jiao'shou
角子,jiao'zi
接不归,jie'bu'gui
劫材,jie'cai
结城聪,jie'cheng'cong
劫分争搅,jie'fen'zheng'jiao
结构,jie'gou
接回,jie'hui
劫活,jie'huo
劫尽棋亡,jie'jin'qi'wang
诘棋,jie'qi
劫杀,jie'sha
劫胜,jie'sheng
阶梯围棋步步高,jie'ti'wei'qi'bu'bu'gao
劫王,jie'wang
接象眼,jie'xiang'yan
劫争,jie'zheng
金丙俊,jin'bing'jun
金承俊,jin'cheng'jun
金成龙,jin'cheng'long
今村俊也,jin'cun'jun'ye
今村善彰,jin'cun'shan'zhang
今村文明,jin'cun'wen'ming
金大赫,jin'da'he
紧带钩,jin'dai'gou
金东勉,jin'dong'mian
金东烨,jin'dong'ye
紧对子,jin'dui'zi
金恩善,jin'en'shan
金谷园,jin'gu'yuan
金谷园九局图,jin'gu'yuan'jiu'ju'tu
金光植,jin'guang'zhi
金柜角,jin'gui'jiao
金圭七,jin'gui'qi
锦盒,jin'he
金鹤洙,jin'he'zhu
金亨奂,jin'heng'huan
金焕洙,jin'huan'zhu
金惠敏,jin'hui'min
金鸡独立,jin'ji'du'li
金江根,jin'jiang'gen
进角,jin'jiao
金角银边草肚皮,jin'jiao'yin'bian'cao'du'pi
紧劫,jin'jie
金靖,jin'jing
金井栏,jin'jing'lan
金炯佑,jin'jiong'you
金磊,jin'lei
金立杯,jin'li'bei
金立手机杯,jin'li'shou'ji'bei
金明完,jin'ming'wan
金南勋,jin'nan'xun
紧气,jin'qi
紧气劫,jin'qi'jie
金钱帮,jin'qian'bang
金茜倩,jin'qian'qian
金日焕,jin'ri'huan
金荣桓,jin'rong'huan
金荣三,jin'rong'san
禁入点,jin'ru'dian
金善美,jin'shan'mei
金生煜,jin'sheng'yu
晋士明,jin'shi'ming
金世实,jin'shi'shi
金廷洙,jin'ting'zhu
金万树,jin'wan'shu
金渭斌,jin'wei'bin
金秀俊,jin'xiu'jun
金秀英,jin'xiu'ying
金秀勇,jin'xiu'yong
金秀壮,jin'xiu'zhuang
金亚贤,jin'ya'xian
金印,jin'yin
金寅,jin'yin
金原,jin'yuan
禁着点,jin'zhe'dian
金正焕,jin'zheng'huan
金志锡,jin'zhi'xi
金钟秀,jin'zhong'xiu
金主镐,jin'zhu'gao
竞猜,jing'cai
净吃,jing'chi
精瓷围棋,jing'ci'wei'qi
警告,jing'gao
京华棋友会,jing'hua'qi'you'hui
精华已竭多堪弃,jing'hua'yi'jie'duo'kan'qi
净活,jing'huo
井口知伯,jing'kou'zhi'bo
精理,jing'li
荆凌虎,jing'ling'hu
精锐,jing'rui
竞赛阶段,jing'sai'jie'duan
净杀,jing'sha
荆上,jing'shang
井上,jing'shang
井上安节,jing'shang'an'jie
井上春硕,jing'shang'chun'shuo
井上道节,jing'shang'dao'jie
井上孝平,jing'shang'xiao'ping
井上要,jing'shang'yao
井上因硕,jing'shang'yin'shuo
景石,jing'shi
京师派,jing'shi'pai
净死,jing'si
景泰兰盒,jing'tai'lan'he
九段,jiu'duan
九宫,jiu'gong
酒阑无奈客思家,jiu'lan'wu'nai'ke'si'jia
九联星,jiu'lian'xing
九路,jiu'lu
揪魔棋友会,jiu'mo'qi'you'hui
九品,jiu'pin
九王寨,jiu'wang'zhai
九五镇,jiu'wu'zhen
九星杯,jiu'xing'bei
九星棋友会,jiu'xing'qi'you'hui
局部定式,ju'bu'ding'shi
菊池康郎,ju'chi'kang'lang
局分,ju'fen
飓风之怒,ju'feng'zhi'nu
聚歼,ju'jian
聚六,ju'liu
局面,ju'mian
聚七,ju'qi
局势,ju'shi
局数,ju'shu
聚四,ju'si
局外,ju'wai
聚五,ju'wu
局中局外两沉吟,ju'zhong'ju'wai'liang'chen'yin
橘中仙,ju'zhong'xian
卷杀,juan'sha
绝对先手,jue'dui'xian'shou
绝好点,jue'hao'dian
绝艺如君天下少,jue'yi'ru'jun'tian'xia'shao
角逐,jue'zhu
均衡,jun'heng
开拆,kai'chai
开秤,kai'cheng
开打,kai'da
开和,kai'he
开花,kai'hua
开劫,kai'jie
开局,kai'ju
开盘,kai'pan
开心鼠,kai'xin'shu
看棋,kan'qi
柯洁,ke'jie
客座棋手,ke'zuo'qi'shou
孔汉成,kong'han'cheng
空花角,kong'hua'jiao
空角,kong'jiao
孔杰,kong'jie
孔令文,kong'ling'wen
空三角,kong'san'jiao
孔祥明,kong'xiang'ming
苦手,ku'shou
跨断,kua'duan
快刀,kuai'dao
快乐围棋,kuai'le'wei'qi
快棋,kuai'qi
快一气,kuai'yi'qi
宽带钩,kuan'dai'gou
宽气劫,kuan'qi'jie
宽曲尺,kuan'qu'chi
宽三勿打,kuan'san'wu'da
狂风门,kuang'feng'men
濑川良雄,lai'chuan'liang'xiong
赖皮劫,lai'pi'jie
濑越宪作,lai'yue'xian'zuo
烂柯,lan'ke
烂柯杯,lan'ke'bei
烂柯人去收残局,lan'ke'ren'qu'shou'can'ju
烂柯石,lan'ke'shi
烂柯岁月刀兵见,lan'ke'sui'yue'dao'bing'jian
蓝烈,lan'lie
烂棋,lan'qi
蓝色天空,lan'se'tian'kong
浪子燕青,lang'zi'yan'qing
老赫,lao'he
老聂,lao'nie
老鼠偷油,lao'shu'tou'you
老五,lao'wu
捞一票,lao'yi'piao
劳逸攸关少亦图,lao'yi'you'guan'shao'yi'tu
落子,lao'zi
乐百氏杯,le'bai'shi'bei
累积分,lei'ji'fen
雷溥华,lei'pu'hua
擂台赛,lei'tai'sai
擂台制,lei'tai'zhi
雷霆弈友,lei'ting'yi'you
羸形暗去春泉长,lei'xing'an'qu'chun'quan'chang
雷震坤,lei'zhen'kun
擂争十番棋,lei'zheng'shi'fan'qi
冷雪峰,leng'xue'feng
冷着,leng'zhe
李昌镐,li'chang'hao
李昌镐流,li'chang'hao'liu
立彻,li'che
离尘岛,li'chen'dao
李冲,li'chong
黎春华,li'chun'hua
李聪,li'cong
李岱春,li'dai'chun
李东方,li'dong'fang
李东奎,li'dong'kui
李多慧,li'duo'hui
立二拆三,li'er'chai'san
李飞人,li'fei'ren
李釜,li'fu
李馥春,li'fu'chun
李钢,li'gang
理光杯,li'guang'bei
李豪杰,li'hao'jie
李赫,li'he
李洪烈,li'hong'lie
李华嵩,li'hua'song
李坏,li'huai
李嘉男,li'jia'nan
黎剑,li'jian
李劫,li'jie
李君凯,li'jun'kai
李康,li'kang
李康旭,li'kang'xu
力克,li'ke
李乐,li'le
李亮,li'liang
李麻,li'ma
笠帽四,li'mao'si
李梦石,li'meng'shi
黎念念,li'nian'nian
李培伦,li'pei'lun
力棋,li'qi
李钦诚,li'qin'cheng
李青海,li'qing'hai
立三拆四,li'san'chai'si
李瑟娥,li'se'e
李圣宰,li'sheng'zai
李世石,li'shi'shi
李天罡,li'tian'gang
李天竹,li'tian'zhu
力屠,li'tu
李玟真,li'wen'zhen
李熙星,li'xi'xing
李夏辰,li'xia'chen
李贤旭,li'xian'xu
李相勋,li'xiang'xun
李星,li'xing
李旭,li'xu
李轩豪,li'xuan'hao
李亚春,li'ya'chun
李轶,li'yi
李逸民,li'yi'min
李莹,li'ying
李英镐,li'ying'gao
李映九,li'ying'jiu
李英信,li'ying'xin
李永刚,li'yong'gang
李勇秀,li'yong'xiu
李豫川,li'yu'chuan
李云生,li'yun'sheng
李载雄,li'zai'xiong
李章元,li'zhang'yuan
李哲,li'zhe
李喆,li'zhe
李哲勇,li'zhe'yong
李知炫,li'zhi'xuan
李重恩,li'zhong'en
李祝,li'zhu
连扳,lian'ban
莲花角,lian'hua'jiao
连环劫,lian'huan'jie
连回,lian'hui
练劫,lian'jie
脸猫,lian'mao
联棋,lian'qi
联赛,lian'sai
连胜,lian'sheng
连笑,lian'xiao
恋子,lian'zi
梁博超,liang'bo'chao
两冲,liang'chong
凉都杯,liang'dou'bei
两飞,liang'fei
两分,liang'fen
梁鹤年,liang'he'nian
两后手,liang'hou'shou
两活,liang'huo
梁建,liang'jian
两劫,liang'jie
两日制,liang'ri'zhi
两三三布局,liang'san'san'bu'ju
两手劫,liang'shou'jie
两手先,liang'shou'xian
两头蛇,liang'tou'she
梁魏今,liang'wei'jin
梁伟棠,liang'wei'tang
梁相国,liang'xiang'guo
梁雅娣,liang'ya'di
两翼开拆,liang'yi'kai'chai
两翼展开,liang'yi'zhan'kai
梁宰豪,liang'zai'hao
廖桂永,liao'gui'yong
聊天帮,liao'tian'bang
廖行文,liao'xing'wen
劣势,lie'shi
裂形,lie'xing
烈元,lie'yuan
林峰,lin'feng
林符卿,lin'fu'qing
林海峰,lin'hai'feng
林圣贤,lin'sheng'xian
林书阳,lin'shu'yang
林宣根,lin'xuan'gen
林元美,lin'yuan'mei
林至涵,lin'zhi'han
零封,ling'feng
凌空飞罩,ling'kong'fei'zhao
玲珑,ling'long
铃木步,ling'mu'bu
铃木为次郎,ling'mu'wei'ci'lang
柳才馨,liu'cai'xin
六藏,liu'cang
刘昌赫,liu'chang'he
刘棣怀,liu'di'huai
六段,liu'duan
刘帆,liu'fan
六籍飘零书剑冷,liu'ji'piao'ling'shu'jian'leng
刘菁,liu'jing
刘钧,liu'jun
刘军,liu'jun
刘鲲鹏,liu'kun'peng
刘力,liu'li
刘鹏,liu'peng
六品,liu'pin
刘乾利,liu'qian'li
刘善承,liu'shan'cheng
柳时熏,liu'shi'xun
刘世振,liu'shi'zhen
刘硕,liu'shuo
六死八活,liu'si'ba'huo
刘思明,liu'si'ming
柳随风,liu'sui'feng
刘涛,liu'tao
六天王,liu'tian'wang
刘彤,liu'tong
刘曦,liu'xi
刘熙,liu'xi
刘小光,liu'xiao'guang
刘星,liu'xing
刘轶一,liu'yi'yi
刘宇,liu'yu
刘禹欣,liu'yu'xin
刘云峰,liu'yun'feng
刘云龙,liu'yun'long
刘仲甫,liu'zhong'fu
六子沿边活也输,liu'zi'yan'bian'huo'ye'shu
龙飞虎,long'fei'hu
龙虎门,long'hu'men
龙霖,long'lin
龙星战,long'xing'zhan
龙珠会,long'zhu'hui
娄逞,lou'cheng
楼得达,lou'de'da
漏着,lou'zhe
路暗迷人百种花,lu'an'mi'ren'bai'zhong'hua
卢红宇,lu'hong'yu
鲁佳,lu'jia
陆军,lu'jun
卢宁,lu'ning
卢天圣,lu'tian'sheng
鹿盐利玄,lu'yan'li'xuan
卢永厦,lu'yong'sha
乱下一气,luan'xia'yi'qi
略阵,lue'zhen
落败,luo'bai
罗德隆,luo'de'long
罗建文,luo'jian'wen
罗建元,luo'jian'yuan
罗马方阵,luo'ma'fang'zhen
落梦诗社,luo'meng'shi'she
罗洗河,luo'xi'he
罗钟勋,luo'zhong'xun
吕范,lv'fan
绿肥红瘦,lv'fei'hong'shou
吕国梁,lv'guo'liang
吕三尺,lv'san'chi
马道,ma'dao
马朗,ma'lang
马如龙,ma'ru'long
马石,ma'shi
马绥明,ma'sui'ming
马天放,ma'tian'fang
马笑冰,ma'xiao'bing
马晓春,ma'xiao'chun
马晓秋,ma'xiao'qiu
马屿棋友会,ma'yu'qi'you'hui
马媛媛,ma'yuan'yuan
马诤,ma'zheng
迈克雷蒙,mai'ke'lei'meng
麦馨杯,mai'xin'bei
慢棋,man'qi
盲点,mang'dian
盲棋,mang'qi
毛佳君,mao'jia'jun
毛睿龙,mao'rui'long
毛昱衡,mao'yu'heng
梅钵形,mei'bo'xing
梅花五,mei'hua'wu
没劫,mei'jie
魅力湘西赛,mei'li'xiang'xi'sai
美罗杯,mei'luo'bei
美男,mei'nan
没棋,mei'qi
美学,mei'xue
梅艳,mei'yan
梅泽由香里,mei'ze'you'xiang'li
门吃,men'chi
门入,men'ru
孟繁雄,meng'fan'xiong
梦幻舰队,meng'huan'jian'dui
孟郊,meng'jiao
孟磊,meng'lei
孟权十番棋,meng'quan'shi'fan'qi
孟泰龄,meng'tai'ling
孟元甲,meng'yuan'jia
孟昭玉,meng'zhao'yu
梦中作,meng'zhong'zuo
米迦尔,mi'jia'er
密芒,mi'mang
密芒吉单居,mi'mang'ji'dan'ju
芈旻廷,mi'min'ting
秘谱,mi'pu
面九,mian'jiu
免选,mian'xuan
秒表,miao'biao
妙棋,miao'qi
妙杀,miao'sha
妙手,miao'shou
妙着,miao'zhe
闵娜,min'na
名家,ming'jia
名局,ming'ju
名人棋所,ming'ren'qi'suo
名人战,ming'ren'zhan
明仕棋院,ming'shi'qi'yuan
名誉段位,ming'yu'duan'wei
魔法门,mo'fa'men
模仿棋,mo'fang'qi
魔教娅娅,mo'jiao'ya'ya
模拟棋,mo'ni'qi
磨王,mo'wang
木谷流,mu'gu'liu
木谷实,mu'gu'shi
沐红衣,mu'hong'yi
木狐聊斋,mu'hu'liao'zhai
目数,mu'shu
目外,mu'wai
木野狐,mu'ye'hu
睦镇硕,mu'zhen'shuo
哪似顽仙痴不省,na'si'wan'xian'chi'bu'sheng
南方长城杯,nan'fang'chang'cheng'bei
南刘北顾,nan'liu'bei'gu
南刘北过,nan'liu'bei'guo
南王北顾,nan'wang'bei'gu
内扳,nei'ban
内弟子,nei'di'zi
内靠,nei'kao
内气,nei'qi
妮宝贝,ni'bao'bei
拟局,ni'ju
倪林强,ni'lin'qiang
逆收,ni'shou
逆手官,ni'shou'guan
逆收官,ni'shou'guan
逆先手,ni'xian'shou
逆转,ni'zhuan
逆转胜,ni'zhuan'sheng
年度新锐棋手奖,nian'du'xin'rui'qi'shou'jiang
聂道,nie'dao
聂家军,nie'jia'jun
聂马,nie'ma
聂马常,nie'ma'chang
聂马常古,nie'ma'chang'gu
聂卫平,nie'wei'ping
凝形,ning'xing
牛犊帮,niu'du'bang
扭断,niu'duan
牛哥,niu'ge
牛力力,niu'li'li
纽十字,niu'shi'zi
扭十字长一边,niu'shi'zi'chang'yi'bian
牛娴娴,niu'xian'xian
扭羊头,niu'yang'tou
牛雨田,niu'yu'tian
牛之浜撮雄,niu'zhi'bang'cuo'xiong
浓情一剑,nong'qing'yi'jian
农心杯,nong'xin'bei
农心辛拉面杯,nong'xin'xin'la'mian'bei
女昌赫,nv'chang'he
女人下围棋,nv'ren'xia'wei'qi
欧阳修,ou'yang'xiu
爬二路,pa'er'lu
潘非,pan'fei
潘峰,pan'feng
盘角曲四,pan'jiao'qu'si
潘朗东,pan'lang'dong
判例,pan'li
盘面,pan'mian
潘善琪,pan'shan'qi
盘外招,pan'wai'zhao
潘文君,pan'wen'jun
胖子帮,pang'zi'bang
袍江新区杯,pao'jiang'xin'qu'bei
抛劫,pao'jie
跑征子,pao'zheng'zi
裴俊熙,pei'jun'xi
彭鸿礼,peng'hong'li
彭景华,peng'jing'hua
彭立尧,peng'li'yao
彭荃,peng'quan
碰入,peng'ru
彭晓峰,peng'xiao'feng
片冈聪,pian'gang'cong
骗着,pian'zhe
飘逸流,piao'yi'liu
朴永训,piao'yong'xun
品棋,pin'qi
平成四天王,ping'cheng'si'tian'wang
平冈聪,ping'gang'cong
平湖三张,ping'hu'san'zhang
平局,ping'ju
平煤集团,ping'mei'ji'tuan
平煤集团队,ping'mei'ji'tuan'dui
坪田玩硕,ping'tian'wan'shuo
平行型布局,ping'xing'xing'bu'ju
破空,po'kong
破眼,po'yan
剖解图,pou'jie'tu
朴承华,pu'cheng'hua
朴哥,pu'ge
朴虎吉,pu'hu'ji
扑劫,pu'jie
朴升贤,pu'sheng'xian
朴升哲,pu'sheng'zhe
葡萄六,pu'tao'liu
朴廷桓,pu'ting'huan
朴文尧,pu'wen'yao
朴正祥,pu'zheng'xiang
朴智恩,pu'zhi'en
朴治文,pu'zhi'wen
朴钟烈,pu'zhong'lie
棋罢不知人世换,qi'ba'bu'zhi'ren'shi'huan
棋博士,qi'bo'shi
弃不起,qi'bu'qi
棋才,qi'cai
气长,qi'chang
棋长三尺,qi'chang'san'chi
棋痴,qi'chi
棋从断处打,qi'cong'duan'chu'da
棋从断处生,qi'cong'duan'chu'sheng
棋从劫处生,qi'cong'jie'chu'sheng
棋待诏,qi'dai'zhao
棋道,qi'dao
棋道赏,qi'dao'shang
七段,qi'duan
气短,qi'duan
棋队,qi'dui
棋阀,qi'fa
棋风,qi'feng
棋赋,qi'fu
棋感,qi'gan
棋格,qi'ge
棋馆,qi'guan
棋罐,qi'guan
棋规,qi'gui
棋豪,qi'hao
起好手式,qi'hao'shou'shi
棋盒,qi'he
气合,qi'he
棋会,qi'hui
棋魂,qi'hun
棋魂会,qi'hun'hui
棋技,qi'ji
棋杰,qi'jie
棋界,qi'jie
棋筋,qi'jin
气紧,qi'jin
棋精,qi'jing
棋经十三篇,qi'jing'shi'san'pian
棋经众妙,qi'jing'zhong'miao
棋具,qi'ju
棋局,qi'ju
棋局未终人已老,qi'ju'wei'zhong'ren'yi'lao
棋诀,qi'jue
棋乐无穷,qi'le'wu'qiong
棋类,qi'lei
棋力,qi'li
棋理,qi'li
祁立鹤,qi'li'he
棋奁,qi'lian
棋路,qi'lu
齐鲁联盟,qi'lu'lian'meng
齐鲁青未了,qi'lu'qing'wei'liao
齐鲁晚报棋院,qi'lu'wan'bao'qi'yuan
齐鲁晚报棋院队,qi'lu'wan'bao'qi'yuan'dui
棋盲,qi'mang
棋迷,qi'mi
棋魔,qi'mo
棋内,qi'nei
棋女,qi'nv
棋牌运动管理中心,qi'pai'yun'dong'guan'li'zhong'xin
棋盘,qi'pan
棋盘方位,qi'pan'fang'wei
七品,qi'pin
棋品,qi'pin
棋评,qi'ping
棋枰,qi'ping
棋谱库,qi'pu'ku
棋谱三编,qi'pu'san'bian
棋人,qi'ren
棋上,qi'shang
棋社,qi'she
棋神,qi'shen
棋圣,qi'sheng
棋声,qi'sheng
碁圣,qi'sheng
棋圣赛,qi'sheng'sai
棋圣秀策,qi'sheng'xiu'ce
棋势,qi'shi
棋士,qi'shi
棋师,qi'shi
棋式,qi'shi
棋石,qi'shi
奇手,qi'shou
棋手,qi'shou
起手式,qi'shou'shi
棋书,qi'shu
气数,qi'shu
七死八活,qi'si'ba'huo
棋所,qi'suo
碁所,qi'suo
棋坛,qi'tan
棋外,qi'wai
棋王,qi'wang
棋闻弈事,qi'wen'yi'shi
栖梧轩社,qi'wu'xuan'she
棋仙,qi'xian
棋校,qi'xiao
棋协,qi'xie
棋型,qi'xing
棋形,qi'xing
棋星,qi'xing
棋行正道,qi'xing'zheng'dao
棋宴,qi'yan
棋艺,qi'yi
汽油,qi'you
棋院,qi'yuan
棋园,qi'yuan
棋缘,qi'yuan
棋院四家,qi'yuan'si'jia
棋运,qi'yun
棋战,qi'zhan
奇着,qi'zhe
欺着,qi'zhe
棋正社,qi'zheng'she
棋钟,qi'zhong
棋中,qi'zhong
棋桌,qi'zhuo
弃子,qi'zi
棋子,qi'zi
弃子取势,qi'zi'qu'shi
棋子围空方胜扁,qi'zi'wei'kong'fang'sheng'bian
弃子争先,qi'zi'zheng'xian
千层宝阁势,qian'ceng'bao'ge'shi
千丰祚,qian'feng'zuo
千古无同局,qian'gu'wu'tong'ju
阡陌纵横,qian'mo'zong'heng
千手帮,qian'shou'bang
千叟棋社,qian'sou'qi'she
千禧国际村杯,qian'xi'guo'ji'cun'bei
浅消,qian'xiao
浅削,qian'xue
欠眼活,qian'yan'huo
钱宇平,qian'yu'ping
强攻,qiang'gong
抢后手,qiang'hou'shou
强九,qiang'jiu
强迫抽签制,qiang'po'chou'qian'zhi
强杀,qiang'sha
强手,qiang'shou
强硬,qiang'ying
桥本昌二,qiao'ben'chang'er
桥本雄二郎,qiao'ben'xiong'er'lang
樵客返归路,qiao'ke'fan'gui'lu
巧手,qiao'shou
敲玉余韵,qiao'yu'yu'yun
巧着,qiao'zhe
切断,qie'duan
秦驰远,qin'chi'yuan
侵分,qin'fen
秦公子道场,qin'gong'zi'dao'chang
侵入,qin'ru
侵消,qin'xiao
秦悦欣,qin'yue'xin
亲云上滨比嘉,qin'yun'shang'bin'bi'jia
青草棋友会,qing'cao'qi'you'hui
清成哲也,qing'cheng'zhe'ye
青木喜久代,qing'mu'xi'jiu'dai
青青池塘处处蛙,qing'qing'chi'tang'chu'chu'wa
倾斜型,qing'xie'xing
清源杯,qing'yuan'bei
邱宝,qiu'bao
求变,qiu'bian
求道派,qiu'dao'pai
邱继红,qiu'ji'hong
邱峻,qiu'jun
楸木盘,qiu'mu'pan
楸枰,qiu'ping
秋山次郎,qiu'shan'ci'lang
求投场,qiu'tou'chang
曲尺,qu'chi
曲励起,qu'li'qi
曲三,qu'san
曲四,qu'si
曲四倒脱靴,qu'si'dao'tuo'xue
曲四形,qu'si'xing
曲五,qu'wu
趣向,qu'xiang
曲镇,qu'zhen
衢州烂柯杯,qu'zhou'lan'ke'bei
全队循环制,quan'dui'xun'huan'zhi
全国围棋混双赛,quan'guo'wei'qi'hun'shuang'sai
全国业余围棋锦标赛,quan'guo'ye'yu'wei'qi'jin'biao'sai
权甲龙,quan'jia'long
全局,quan'ju
全盛期,quan'sheng'qi
拳头六,quan'tou'liu
权享镇,quan'xiang'zhen
权孝珍,quan'xiao'zhen
全瑛圭,quan'ying'gui
缺顶斗方,que'ding'dou'fang
群臣黑白竞输赢,qun'chen'hei'bai'jing'shu'ying
让两子,rang'liang'zi
让目,rang'mu
让棋,rang'qi
让先,rang'xian
让子,rang'zi
让子棋,rang'zi'qi
让子棋还子,rang'zi'qi'hai'zi
饶子,rao'zi
任昌植,ren'chang'zhi
人间千岁穷,ren'jian'qian'sui'qiong
人情棋,ren'qing'qi
人涉卬否,ren'she'ang'fou
日本三大冠,ri'ben'san'da'guan
日本围棋史,ri'ben'wei'qi'shi
日海上人,ri'hai'shang'ren
日朗,ri'lang
日莲,ri'lian
日月教,ri'yue'jiao
日月棋友会,ri'yue'qi'you'hui
日月星杯,ri'yue'xing'bei
容坚行,rong'jian'xing
戎毅,rong'yi
柔风快枪,rou'feng'kuai'qiang
入段,ru'duan
入腹争正面,ru'fu'zheng'zheng'mian
如何一局成千载,ru'he'yi'ju'cheng'qian'zai
入界宜缓,ru'jie'yi'huan
入神,ru'shen
阮简,ruan'jian
阮云生,ruan'yun'sheng
软着,ruan'zhe
芮乃伟,rui'nai'wei
若鲤战,ruo'li'zhan
若愚,ruo'yu
弱着,ruo'zhe
弱子,ruo'zi
三才图会棋谱,san'cai'tu'hui'qi'pu
三段,san'duan
三番棋,san'fan'qi
三国群英会,san'guo'qun'ying'hui
三国演弈,san'guo'yan'yi
三活,san'huo
三间低夹,san'jian'di'jia
三间反夹,san'jian'fan'jia
三间高夹,san'jian'gao'jia
三间夹,san'jian'jia
三劫,san'jie
三劫连环,san'jie'lian'huan
三劫循环,san'jie'xun'huan
三劫之局,san'jie'zhi'ju
三连星,san'lian'xing
三连星布局,san'lian'xing'bu'ju
三六挂角,san'liu'gua'jiao
三六侵分,san'liu'qin'fen
三路,san'lu
三目正中,san'mu'zheng'zhong
三品,san'pin
三三,san'san
三三点角,san'san'dian'jiao
三十字母,san'shi'zi'mu
三手劫,san'shou'jie
三四,san'si
三四段杀手,san'si'duan'sha'shou
三五,san'wu
三五侵分,san'wu'qin'fen
三湘人去已飘蓬,san'xiang'ren'qu'yi'piao'peng
三星杯,san'xing'bei
三星火灾杯,san'xing'huo'zai'bei
三眼两做,san'yan'liang'zuo
三羽乌,san'yu'wu
三子谱,san'zi'pu
桑原道节,sang'yuan'dao'jie
森山直棋,sen'shan'zhi'qi
杀角,sha'jiao
杀棋,sha'qi
杀熟,sha'shu
鲨鱼岛,sha'yu'dao
山部俊郎,shan'bu'jun'lang
山城宏,shan'cheng'hong
山东网通,shan'dong'wang'tong
杉内雅男,shan'nei'ya'nan
山崎有民,shan'qi'you'min
山田规三生,shan'tian'gui'san'sheng
山下敬吾,shan'xia'jing'wu
上扳,shang'ban
上海建桥学院队,shang'hai'jian'qiao'xue'yuan'dui
上海市围棋协会,shang'hai'shi'wei'qi'xie'hui
上立,shang'li
商量棋,shang'liang'qi
上扭角,shang'niu'jiao
上手,shang'shou
上压,shang'ya
商业杯,shang'ye'bei
邵福棠,shao'fu'tang
邵光,shao'guang
邵继濂,shao'ji'lian
少年姜太公,shao'nian'jiang'tai'gong
邵炜刚,shao'wei'gang
邵震中,shao'zhen'zhong
涉川春海,she'chuan'chun'hai
舍小就大,she'xiao'jiu'da
沈逢春,shen'feng'chun
神谷道知,shen'gu'dao'zhi
沈果孙,shen'guo'sun
沈静,shen'jing
沈君山,shen'jun'shan
沈曼蓉,shen'man'rong
神木杯,shen'mu'bei
伸气,shen'qi
深思网弈助手,shen'si'wang'yi'zhu'shou
神算,shen'suan
神算子,shen'suan'zi
渗透流,shen'tou'liu
伸腿,shen'tui
慎勿轻速,shen'wu'qing'su
沈佑燮,shen'you'xie
深圳稻草人,shen'zhen'dao'cao'ren
深圳荣根,shen'zhen'rong'gen
深圳荣根队,shen'zhen'rong'gen'dui
神芝六,shen'zhi'liu
神之一手,shen'zhi'yi'shou
神之一着,shen'zhi'yi'zhao
盛大有,sheng'da'you
升段,sheng'duan
升段战,sheng'duan'zhan
胜负处,sheng'fu'chu
胜负感,sheng'fu'gan
胜负手,sheng'fu'shou
胜机,sheng'ji
升降棋,sheng'jiang'qi
胜局,sheng'ju
胜率,sheng'lv
盛清国手,sheng'qing'guo'shou
胜势,sheng'shi
生死劫,sheng'si'jie
圣贤纯华妙棋集,sheng'xian'chun'hua'miao'qi'ji
胜着,sheng'zhe
十八国手,shi'ba'guo'shou
矢代久美子,shi'dai'jiu'mei'zi
实地,shi'di
施定庵,shi'ding'an
十段战,shi'duan'zhan
十厄势,shi'e'shi
十番棋,shi'fan'qi
石佛,shi'fo
势孤取和,shi'gu'qu'he
时间负,shi'jian'fu
世界棋王战,shi'jie'qi'wang'zhan
史金帛,shi'jin'bo
石井邦生,shi'jing'bang'sheng
十九路,shi'jiu'lu
十九路棋盘,shi'jiu'lu'qi'pan
十局决胜,shi'ju'jue'sheng
十局棋,shi'ju'qi
实空,shi'kong
实利,shi'li
势力线,shi'li'xian
实利线,shi'li'xian
十年辜负枕床空,shi'nian'gu'fu'zhen'chuang'kong
十盘棋,shi'pan'qi
十七路,shi'qi'lu
适情录,shi'qing'lu
十三路,shi'san'lu
十三路棋盘,shi'san'lu'qi'pan
石室仙机,shi'shi'xian'ji
失题,shi'ti
石田笃司,shi'tian'du'si
石田芳夫,shi'tian'fang'fu
十王走马势,shi'wang'zou'ma'shi
时闻剥啄竹林间,shi'wen'bo'zhuo'zhu'lin'jian
时限制,shi'xian'zhi
实眼,shi'yan
试验棋,shi'yan'qi
实验棋,shi'yan'qi
施懿宸,shi'yi'chen
十一路,shi'yi'lu
试应手,shi'ying'shou
时越,shi'yue
失着,shi'zhao
施洲,shi'zhou
师竹斋谱,shi'zhu'zhai'pu
势子,shi'zi
守道还如周伏柱,shou'dao'hai'ru'zhou'fu'zhu
首尔新星建设队,shou'er'xin'xing'jian'she'dui
手割,shou'ge
手割分析,shou'ge'fen'xi
收官,shou'guan
收后,shou'hou
守角,shou'jiao
手筋,shou'jin
手批十八局,shou'pi'shi'ba'ju
收枰,shou'ping
手评十八局,shou'ping'shi'ba'ju
收气,shou'qi
手数,shou'shu
收束,shou'shu
手谈,shou'tan
受先,shou'xian
授先,shou'xian
守拙,shou'zhuo
受子,shou'zi
授子,shou'zi
收子,shou'zi
书房棋,shu'fang'qi
数空,shu'kong
数棋,shu'qi
蜀蓉棋艺出版社,shu'rong'qi'yi'chu'ban'she
蜀山工作室,shu'shan'gong'zuo'shi
输赢先,shu'ying'xian
数子,shu'zi
数子法,shu'zi'fa
双吃,shuang'chi
双打,shuang'da
双倒扑,shuang'dao'pu
双方后手,shuang'fang'hou'shou
双方先手,shuang'fang'xian'shou
