阿道,a'dao
富上,fu'shang
浮陀跋摩,fu'tuo'ba'mo
伏陀密多,fu'tuo'mi'duo
傅翕,fu'xi
傅翕大士,fu'xi'da'shi
傅翕居士,fu'xi'ju'shi
福先招庆,fu'xian'zhao'qing
浮休法师允若,fu'xiu'fa'shi'yun'ruo
福严乘禅师,fu'yan'cheng'chan'shi
福严感禅师,fu'yan'gan'chan'shi
富彦国,fu'yan'guo
福严演禅师,fu'yan'yan'chan'shi
傅宜事,fu'yi'shi
福源,fu'yuan
复原报公,fu'yuan'bao'gong
复原禅师福报,fu'yuan'chan'shi'fu'bao
福元讲主,fu'yuan'jiang'zhu
傅縡居士,fu'zai'ju'shi
傅章,fu'zhang
富丈忠,fu'zhang'zhong
富郑公,fu'zheng'gong
富郑公弼,fu'zheng'gong'bi
孚中禅师怀信,fu'zhong'chan'shi'huai'xin
孚中怀信禅师,fu'zhong'huai'xin'chan'shi
抚州曹山本寂禅师,fu'zhou'cao'shan'ben'ji'chan'shi
福州空首座,fu'zhou'kong'shou'zuo
福州玄沙备禅师,fu'zhou'xuan'sha'bei'chan'shi
福州玄沙宗一禅师,fu'zhou'xuan'sha'zong'yi'chan'shi
福州资福善禅师,fu'zhou'zi'fu'shan'chan'shi
扶宗法师崇裕,fu'zong'fa'shi'chong'yu
嘎巴拉,ga'ba'la
噶举派虹身大成就贡噶上师略传,ga'ju'pai'hong'shen'da'cheng'jiu'gong'ga'shang'shi'lue'zhuan
嘎拉巴,ga'la'ba
噶玛拔希却吉喇嘛,ga'ma'ba'xi'que'ji'la'ma
噶玛德松钦巴,ga'ma'de'song'qin'ba
噶玛德银协巴,ga'ma'de'yin'xie'ba
噶玛弥觉多杰,ga'ma'mi'jue'duo'jie
噶玛却央多杰,ga'ma'que'yang'duo'jie
噶玛让琼多杰,ga'ma'rang'qiong'duo'jie
噶玛若白多杰,ga'ma'ruo'bai'duo'jie
噶玛通瓦敦丹,ga'ma'tong'wa'dun'dan
嘎那巴,ga'na'ba
噶拿卡拉,ga'na'ka'la
嘎拿力巴,ga'na'li'ba
噶千仁波切,ga'qian'ren'bo'qie
噶桑嘉措,ga'sang'jia'cuo
噶陀传承祖师布博瓦绛秋森格,ga'tuo'chuan'cheng'zu'shi'bu'bo'wa'jiang'qiu'sen'ge
噶陀传承祖师布博瓦塘岗仲巴,ga'tuo'chuan'cheng'zu'shi'bu'bo'wa'tang'gang'zhong'ba
噶陀传承祖师贡嘎崩巴,ga'tuo'chuan'cheng'zu'shi'gong'ga'beng'ba
噶陀传承祖师将绛秋洛珠,ga'tuo'chuan'cheng'zu'shi'jiang'jiang'qiu'luo'zhu
噶陀传承祖师绛秋崩巴,ga'tuo'chuan'cheng'zu'shi'jiang'qiu'beng'ba
噶陀传承祖师绛秋坚参,ga'tuo'chuan'cheng'zu'shi'jiang'qiu'jian'can
噶陀传承祖师洛珠崩巴,ga'tuo'chuan'cheng'zu'shi'luo'zhu'beng'ba
噶陀传承祖师苏南崩巴,ga'tuo'chuan'cheng'zu'shi'su'nan'beng'ba
噶陀传承祖师苏南绒波,ga'tuo'chuan'cheng'zu'shi'su'nan'rong'bo
噶陀传承祖师旺秀贝,ga'tuo'chuan'cheng'zu'shi'wang'xiu'bei
噶陀传承祖师邬沃益希崩巴,ga'tuo'chuan'cheng'zu'shi'wu'wo'yi'xi'beng'ba
噶陀传承祖师瑜珈旺久罗竹生格,ga'tuo'chuan'cheng'zu'shi'yu'jia'wang'jiu'luo'zhu'sheng'ge
噶陀堪布阿旺华桑,ga'tuo'kan'bu'a'wang'hua'sang
噶陀派第二代祖师至尊大宝藏顿多杰坚参,ga'tuo'pai'di'er'dai'zu'shi'zhi'zun'da'bao'zang'dun'duo'jie'jian'can
噶陀派第三代祖师桑达坚巴崩尊者,ga'tuo'pai'di'san'dai'zu'shi'sang'da'jian'ba'beng'zun'zhe
噶陀寺开山祖师旦巴德协,ga'tuo'si'kai'shan'zu'shi'dan'ba'de'xie
伽耶舍多,ga'ye'she'duo
甘巴拉,gan'ba'la
甘巴力巴,gan'ba'li'ba
甘大力,gan'da'li
甘帝巴,gan'di'ba
干峰士昙,gan'feng'shi'tan
甘嘎那,gan'ga'na
甘行者,gan'xing'zhe
甘贽,gan'zhi
甘贽妻,gan'zhi'qi
赣州显首座,gan'zhou'xian'shou'zuo
高庵,gao'an
高庵善悟,gao'an'shan'wu
高伯恭,gao'bo'gong
高城,gao'cheng
高登海居士,gao'deng'hai'ju'shi
高峰禅师,gao'feng'chan'shi
高峰妙禅师,gao'feng'miao'chan'shi
高峰妙禅师禅师,gao'feng'miao'chan'shi'chan'shi
高峰显日,gao'feng'xian'ri
高峰原妙禅师,gao'feng'yuan'miao'chan'shi
高汇旃,gao'hui'zhan
高丽普济禅师,gao'li'pu'ji'chan'shi
高僧敬脱,gao'seng'jing'tuo
高僧涉,gao'seng'she
高僧涉公,gao'seng'she'gong
高沙弥参惟俨禅师,gao'sha'mi'can'wei'yan'chan'shi
高山慈照,gao'shan'ci'zhao
高世则,gao'shi'ze
高文显居士,gao'wen'xian'ju'shi
高祖龙树尊者,gao'zu'long'shu'zun'zhe
格敦嘉措,ge'dun'jia'cuo
格敦群佩,ge'dun'qun'pei
格敦朱巴,ge'dun'zhu'ba
葛济妻纪氏,ge'ji'qi'ji'shi
葛鲁拉,ge'lu'la
葛谦问,ge'qian'wen
葛郯,ge'tan
戈以安,ge'yi'an
根通法师,gen'tong'fa'shi
耿噶罗哲坚赞,geng'ga'luo'zhe'jian'zan
供奉吴元卿,gong'feng'wu'yuan'qing
贡噶居士,gong'ga'ju'shi
公畿,gong'ji
功迥,gong'jiong
贡唐大师,gong'tang'da'shi
贡唐贡却丹白仲美,gong'tang'gong'que'dan'bai'zhong'mei
龚仲淳妇祝氏,gong'zhong'chun'fu'zhu'shi
工珠云丹嘉措,gong'zhu'yun'dan'jia'cuo
工珠云登加措大师,gong'zhu'yun'deng'jia'cuo'da'shi
瞽庵禅师,gu'an'chan'shi
古代佛教人物,gu'dai'fo'jiao'ren'wu
古鼎禅师,gu'ding'chan'shi
古鼎铭禅师,gu'ding'ming'chan'shi
古鼎祖铭禅师,gu'ding'zu'ming'chan'shi
孤峰禅师明德,gu'feng'chan'shi'ming'de
孤峰德禅师,gu'feng'de'chan'shi
孤峰秀禅师,gu'feng'xiu'chan'shi
古格洛桑丹增,gu'ge'luo'sang'dan'zeng
古古力巴,gu'gu'li'ba
古吉巴,gu'ji'ba
顾鉴古范,gu'jian'gu'fan
古梁绍峨,gu'liang'shao'e
古灵,gu'ling
古马力巴,gu'ma'li'ba
古梅禅师,gu'mei'chan'shi
顾清甫,gu'qing'fu
谷泉,gu'quan
鼓山,gu'shan
谷山崇禅师,gu'shan'chong'chan'shi
鼓山圭禅师,gu'shan'gui'chan'shi
鼓山国师,gu'shan'guo'shi
鼓山坚凝二师,gu'shan'jian'ning'er'shi
固山一巩,gu'shan'yi'gong
顾天瑞妻陆氏,gu'tian'rui'qi'lu'shi
古庭,gu'ting
古庭法师善学,gu'ting'fa'shi'shan'xue
古庭学法师,gu'ting'xue'fa'shi
古溪禅师,gu'xi'chan'shi
古溪宗陈,gu'xi'zong'chen
古心怘禅师,gu'xin'hu'chan'shi
古雅哇仁钦贾波,gu'ya'wa'ren'qin'jia'bo
古音禅师,gu'yin'chan'shi
谷隐聪,gu'yin'cong
古音琴,gu'yin'qin
古音琴禅师,gu'yin'qin'chan'shi
古渊清公,gu'yuan'qing'gong
孤月,gu'yue
古月禅材,gu'yue'chan'cai
孤月禅师,gu'yue'chan'shi
古岳宗亘,gu'yue'zong'gen
孤云怀奘,gu'yun'huai'zang
顾仲英,gu'zhong'ying
古幢周胜,gu'zhuang'zhou'sheng
古拙禅师,gu'zhuo'chan'shi
观本法师,guan'ben'fa'shi
贯道周一,guan'dao'zhou'yi
管登之,guan'deng'zhi
灌顶,guan'ding
观和尚,guan'he'shang
观空法师,guan'kong'fa'shi
关南,guan'nan
观世音菩萨,guan'shi'yin'pu'sa
观世音菩萨示现陕西,guan'shi'yin'pu'sa'shi'xian'shan'xi
灌溪,guan'xi
贯休,guan'xiu
广道者,guang'dao'zhe
广敷,guang'fu
广化法师,guang'hua'fa'shi
广慧,guang'hui
广慧禅师智及,guang'hui'chan'shi'zhi'ji
广慧及禅师,guang'hui'ji'chan'shi
广慧琏,guang'hui'lian
广慧琏禅师,guang'hui'lian'chan'shi
光教律师,guang'jiao'lv'shi
光教律师法闻,guang'jiao'lv'shi'fa'wen
光静,guang'jing
广陵大师,guang'ling'da'shi
光明佛通,guang'ming'fo'tong
光睦,guang'mu
广平郡夫人冯氏,guang'ping'jun'fu'ren'feng'shi
广洽法师,guang'qia'fa'shi
广钦法师,guang'qin'fa'shi
广钦老和尚,guang'qin'lao'he'shang
广仁法师,guang'ren'fa'shi
光仁三,guang'ren'san
光嗣,guang'si
广闻禅师,guang'wen'chan'shi
光孝安禅师,guang'xiao'an'chan'shi
广修,guang'xiu
光瑶,guang'yao
光仪,guang'yi
广义法师,guang'yi'fa'shi
光涌禅师,guang'yong'chan'shi
光屿,guang'yu
广玉宁义,guang'yu'ning'yi
广真大师,guang'zhen'da'shi
广州宗泽,guang'zhou'zong'ze
光祚禅师,guang'zuo'chan'shi
规庵祖圆,gui'an'zu'yuan
桂琛,gui'chen
桂琛禅师,gui'chen'chan'shi
桂琛法师,gui'chen'fa'shi
桂琛三,gui'chen'san
圭峰密禅师,gui'feng'mi'chan'shi
圭峰宗密禅师,gui'feng'zong'mi'chan'shi
归省,gui'xing
龟洋,gui'yang
龟洋忠禅师,gui'yang'zhong'chan'shi
归屿,gui'yu
归宗,gui'zong
归宗诠师,gui'zong'quan'shi
归宗智常禅师,gui'zong'zhi'chang'chan'shi
果阿嘎,guo'a'ga
国宝,guo'bao
郭仓巴衮波多杰,guo'cang'ba'gun'bo'duo'jie
果禅师,guo'chan'shi
果达力巴,guo'da'li'ba
郭大林,guo'da'lin
国道者,guo'dao'zhe
郭法成,guo'fa'cheng
郭功父,guo'gong'fu
郭卡力巴,guo'ka'li'ba
果芒洛桑次臣嘉措,guo'mang'luo'sang'ci'chen'jia'cuo
郭妙圆,guo'miao'yuan
国清寺静上座,guo'qing'si'jing'shang'zuo
果让巴索南僧格,guo'rang'ba'suo'nan'seng'ge
国师不空,guo'shi'bu'kong
国师法照,guo'shi'fa'zhao
国师金刚智,guo'shi'jin'gang'zhi
国师神晏,guo'shi'shen'yan
国师知玄,guo'shi'zhi'xuan
郭祥正,guo'xiang'zheng
郭祥正居士,guo'xiang'zheng'ju'shi
国一道钦禅师,guo'yi'dao'qin'chan'shi
果一法师,guo'yi'fa'shi
郭元兴先生,guo'yuan'xing'xian'sheng
果札巴索南坚赞,guo'zha'ba'suo'nan'jian'zan
哈龙巴支多杰,ha'long'ba'zhi'duo'jie
海灯法师,hai'deng'fa'shi
海法法师,hai'fa'fa'shi
海慧,hai'hui
海评,hai'ping
海仁法师,hai'ren'fa'shi
海生金刚,hai'sheng'jin'gang
海顺,hai'shun
海印,hai'yin
海云,hai'yun
海云大士,hai'yun'da'shi
海州楚栋,hai'zhou'chu'dong
韩昌黎,han'chang'li
汉传佛教人物近现代人物,han'chuan'fo'jiao'ren'wu'jin'xian'dai'ren'wu
韩福瑞斯,han'fu'rui'si
含光,han'guang
韩镜清,han'jing'qing
翰林学士杨大年,han'lin'xue'shi'yang'da'nian
憨山大师,han'shan'da'shi
憨山德清禅师,han'shan'de'qing'chan'shi
寒山子,han'shan'zi
韩同居士,han'tong'ju'shi
寒岩义尹,han'yan'yi'yin
含莹,han'ying
韩愈,han'yu
韩子苍,han'zi'cang
杭州报恩院慧明,hang'zhou'bao'en'yuan'hui'ming
杭州大慈山寰中禅师,hang'zhou'da'ci'shan'huan'zhong'chan'shi
杭州孤山智圆法师,hang'zhou'gu'shan'zhi'yuan'fa'shi
杭州慧日永明智觉禅师,hang'zhou'hui'ri'yong'ming'zhi'jue'chan'shi
杭州晋水法师净源,hang'zhou'jin'shui'fa'shi'jing'yuan
杭州径山云峰和上,hang'zhou'jing'shan'yun'feng'he'shang
杭州龙册寺顺德怤大师,hang'zhou'long'ce'si'shun'de'fu'da'shi
杭州龙兴宗靖禅师,hang'zhou'long'xing'zong'jing'chan'shi
杭州南山法师,hang'zhou'nan'shan'fa'shi
杭州文喜禅师,hang'zhou'wen'xi'chan'shi
杭州无著禅师,hang'zhou'wu'zhu'chan'shi
杭州兴教小寿禅师,hang'zhou'xing'jiao'xiao'shou'chan'shi
杭州许氏妇,hang'zhou'xu'shi'fu
杭州杨媪,hang'zhou'yang'ao
杭州永明寺道潜禅师,hang'zhou'yong'ming'si'dao'qian'chan'shi
浩初,hao'chu
皓端,hao'duan
颢鉴,hao'jian
浩霖法师,hao'lin'fa'shi
郝熙载,hao'xi'zai
好直,hao'zhi
好仲天訚,hao'zhong'tian'yin
和庵清顺,he'an'qing'shun
何充居士,he'chong'ju'shi
何次道,he'ci'dao
何点,he'dian
和和,he'he
鹤勒,he'le
鹤林,he'lin
诃罗竭,he'luo'jie
何清,he'qing
何求,he'qiu
禾山,he'shan
禾山方禅师,he'shan'fang'chan'shi
禾山普禅师,he'shan'pu'chan'shi
何山珣禅师,he'shan'xun'chan'shi
和上,he'shang
何尚之,he'shang'zhi
何昙远,he'tan'yuan
河秃师,he'tu'shi
何彦德,he'yan'de
何彦德居士,he'yan'de'ju'shi
何胤三兄弟居士,he'yin'san'xiong'di'ju'shi
何幼则,he'you'ze
荷玉,he'yu
荷泽,he'ze
何泽霖居士,he'ze'lin'ju'shi
荷泽神会禅师,he'ze'shen'hui'chan'shi
何张莲觉居士,he'zhang'lian'jue'ju'shi
和珍巴支汪卓,he'zhen'ba'zhi'wang'zhuo
何轸妻刘氏,he'zhen'qi'liu'shi
何子季,he'zi'ji
何子皙,he'zi'xi
黑涧,hei'jian
黑毗流波,hei'pi'liu'bo
黑行,hei'xing
恒超,heng'chao
横川珙禅师,heng'chuan'gong'chan'shi
恒海法师,heng'hai'fa'shi
恒景,heng'jing
恒通,heng'tong
恒月,heng'yue
衡岳楚云上人,heng'yue'chu'yun'shang'ren
衡岳泉禅师,heng'yue'quan'chan'shi
恒政,heng'zheng
衡州茶陵郁山主,heng'zhou'cha'ling'yu'shan'zhu
弘辨禅师,hong'bian'chan'shi
弘辩禅师,hong'bian'chan'shi
弘辩禅师说法王宫,hong'bian'chan'shi'shuo'fa'wang'gong
弘充,hong'chong
鸿楚,hong'chu
宏船法师,hong'chuan'fa'shi
洪川宗温,hong'chuan'zong'wen
弘道,hong'dao
弘道法师,hong'dao'fa'shi
洪恩禅师,hong'en'chan'shi
洪昉,hong'fang
吽哈啰悉利,hong'ha'luo'xi'li
弘济,hong'ji
弘济法师,hong'ji'fa'shi
弘教大师了性,hong'jiao'da'shi'le'xing
弘教佛智三藏法师,hong'jiao'fo'zhi'san'zang'fa'shi
洪进,hong'jin
鸿莒,hong'ju
宏觉禅师,hong'jue'chan'shi
洪莲,hong'lian
洪林,hong'lin
洪满,hong'man
弘明,hong'ming
弘忍,hong'ren
弘忍大师,hong'ren'da'shi
虹身大成道掘藏尊者白玛邓灯大师,hong'shen'da'cheng'dao'jue'cang'zun'zhe'bai'ma'deng'deng'da'shi
泓师,hong'shi
洪寿,hong'shou
洪武五年建广荐法会,hong'wu'wu'nian'jian'guang'jian'fa'hui
洪献,hong'xian
鸿休,hong'xiu
洪偃,hong'yan
弘一大师,hong'yi'da'shi
弘一法师,hong'yi'fa'shi
洪諲禅师,hong'yin'chan'shi
洪英,hong'ying
洪岳宗演,hong'yue'zong'yan
洪照,hong'zhao
洪真,hong'zhen
洪正,hong'zheng
弘智,hong'zhi
宏智正觉禅师,hong'zhi'zheng'jue'chan'shi
洪准,hong'zhun
洪准遇安二师,hong'zhun'yu'an'er'shi
洪遵,hong'zun
后鲁祖,hou'lu'zu
后僧会,hou'seng'hui
后疏山,hou'shu'shan
后云盖,hou'yun'gai
后周可止,hou'zhou'ke'zhi
胡安国,hu'an'guo
祜巴龙庄勐,hu'ba'long'zhuang'meng
胡达夫,hu'da'fu
护鹅比丘,hu'e'bi'qiu
虎关宗补,hu'guan'zong'bu
护国此庵禅师,hu'guo'ci'an'chan'shi
护国元禅师,hu'guo'yuan'chan'shi
瑚海仲珊,hu'hai'zhong'shan
胡继欧夫妇,hu'ji'ou'fu'fu
胡汲仲,hu'ji'zhong
胡净安,hu'jing'an
胡康侯,hu'kang'hou
湖南长沙景岑禅师,hu'nan'chang'sha'jing'cen'chan'shi
湖南祇林,hu'nan'chi'lin
虎丘隆禅师,hu'qiu'long'chan'shi
虎丘隆师,hu'qiu'long'shi
虎丘绍隆禅师,hu'qiu'shao'long'chan'shi
胡生之妻李氏,hu'sheng'zhi'qi'li'shi
胡无生居士,hu'wu'sheng'ju'shi
胡闉官宣义,hu'yin'guan'xuan'yi
湖隐济颠书记,hu'yin'ji'dian'shu'ji
胡振岳妻徐氏,hu'zhen'yue'qi'xu'shi
胡致堂,hu'zhi'tang
湖州报本元禅师,hu'zhou'bao'ben'yuan'chan'shi
湖州道场山如讷禅师,hu'zhou'dao'chang'shan'ru'ne'chan'shi
湖州甘露寺圆禅师,hu'zhou'gan'lu'si'yuan'chan'shi
湖州何山辩禅师,hu'zhou'he'shan'bian'chan'shi
湖州上方岳禅师,hu'zhou'shang'fang'yue'chan'shi
湖州西余净端禅师,hu'zhou'xi'yu'jing'duan'chan'shi
华藏安民禅师,hua'cang'an'min'chan'shi
华藏有权禅师,hua'cang'you'quan'chan'shi
华顶文秀,hua'ding'wen'xiu
化度,hua'du
华峨祖拉昌瓦,hua'e'zu'la'chang'wa
华尔胥居士,hua'er'xu'ju'shi
华林善觉禅师,hua'lin'shan'jue'chan'shi
化僧,hua'seng
华山法师,hua'shan'fa'shi
华叟宗昙,hua'sou'zong'tan
华亭,hua'ting
华亭朱泾船子和尚,hua'ting'zhu'jing'chuan'zi'he'shang
华严,hua'yan
华严曹海,hua'yan'cao'hai
华严道隆禅师,hua'yan'dao'long'chan'shi
华严法师法顺,hua'yan'fa'shi'fa'shun
华严凤潭,hua'yan'feng'tan
华严和尚,hua'yan'he'shang
华严隆禅师,hua'yan'long'chan'shi
华严菩萨松堂老人,hua'yan'pu'sa'song'tang'lao'ren
华严疏主澄观,hua'yan'shu'zhu'cheng'guan
华严疏主澄观法师,hua'yan'shu'zhu'cheng'guan'fa'shi
华严颙禅,hua'yan'yong'chan
华严元禅师,hua'yan'yuan'chan'shi
花药英禅师,hua'yao'ying'chan'shi
华岳玄伟禅师,hua'yue'xuan'wei'chan'shi
华智仁波切略传,hua'zhi'ren'bo'qie'lue'zhuan
怀道,huai'dao
怀德,huai'de
怀迪,huai'di
怀感,huai'gan
怀海,huai'hai
怀海禅师,huai'hai'chan'shi
怀晖,huai'hui
怀浚,huai'jun
怀空,huai'kong
怀琏,huai'lian
怀琏禅师,huai'lian'chan'shi
怀琏法师,huai'lian'fa'shi
淮南祐上座,huai'nan'you'shang'zuo
怀让,huai'rang
怀让禅师,huai'rang'chan'shi
怀让法师,huai'rang'fa'shi
怀深,huai'shen
怀深法师,huai'shen'fa'shi
怀素大师,huai'su'da'shi
怀素四,huai'su'si
怀王山宣首座,huai'wang'shan'xuan'shou'zuo
怀渭,huai'wei
怀贤禅师,huai'xian'chan'shi
怀信,huai'xin
怀信禅师,huai'xin'chan'shi
怀一,huai'yi
怀玉,huai'yu
怀玉法师,huai'yu'fa'shi
怀腪禅师,huai'yun'chan'shi
怀恽禅师,huai'yun'chan'shi
怀志,huai'zhi
幻居法师,huan'ju'fa'shi
寰普,huan'pu
幻堂讲主宝严,huan'tang'jiang'zhu'bao'yan
幻堂严讲主,huan'tang'yan'jiang'zhu
圜悟禅师,huan'wu'chan'shi
圜悟克勤,huan'wu'ke'qin
圜悟勤禅师,huan'wu'qin'chan'shi
欢喜,huan'xi
幻隐禅师慧明,huan'yin'chan'shi'hui'ming
幻斋,huan'zhai
幻璋禅师,huan'zhang'chan'shi
寰中,huan'zhong
寰中禅师,huan'zhong'chan'shi
黄檗,huang'bo
黄檗柏树,huang'bo'bai'shu
黄檗慧,huang'bo'hui
黄檗积翠永庵主,huang'bo'ji'cui'yong'an'zhu
黄檗全禅师,huang'bo'quan'chan'shi
黄檗山希运禅师,huang'bo'shan'xi'yun'chan'shi
黄檗胜,huang'bo'sheng
黄檗希运禅师,huang'bo'xi'yun'chan'shi
黄端伯之母李氏,huang'duan'bo'zhi'mu'li'shi
皇甫湜,huang'fu'shi
黄介子,huang'jie'zi
黄晋卿,huang'jin'qing
黄龙,huang'long
黄龙庵主,huang'long'an'zhu
黄龙宝觉禅师,huang'long'bao'jue'chan'shi
黄龙宝觉心禅师,huang'long'bao'jue'xin'chan'shi
黄龙禅师,huang'long'chan'shi
黄龙逢禅师,huang'long'feng'chan'shi
黄龙佛寿清禅师,huang'long'fo'shou'qing'chan'shi
黄龙慧南禅师,huang'long'hui'nan'chan'shi
黄龙机,huang'long'ji
黄龙南禅师,huang'long'nan'chan'shi
黄龙山灵源禅师,huang'long'shan'ling'yuan'chan'shi
黄龙死心禅师,huang'long'si'xin'chan'shi
黄龙心禅师,huang'long'xin'chan'shi
黄龙震禅师,huang'long'zhen'chan'shi
黄龙忠道,huang'long'zhong'dao
黄鲁直,huang'lu'zhi
黄念祖居士,huang'nian'zu'ju'shi
黄蘖希运禅师,huang'nie'xi'yun'chan'shi
黄平倩,huang'ping'qian
黄山,huang'shan
黄氏仆母,huang'shi'pu'mu
黄淑德,huang'shu'de
黄树因先生,huang'shu'yin'xian'sheng
黄庭坚,huang'ting'jian
黄庭坚居士,huang'ting'jian'ju'shi
黄彦节,huang'yan'jie
黄彦节居士,huang'yan'jie'ju'shi
黄元孚,huang'yuan'fu
黄元公,huang'yuan'gong
黄蕴生,huang'yun'sheng
黄子羽,huang'zi'yu
惠安,hui'an
慧安,hui'an
慧岸,hui'an
惠安禅师,hui'an'chan'shi
慧安禅师,hui'an'chan'shi
晦庵慧明,hui'an'hui'ming
慧宝,hui'bao
慧壁,hui'bi
慧弼,hui'bi
慧辨,hui'bian
慧辩,hui'bian
慧辩法师,hui'bian'fa'shi
慧斌,hui'bin
慧布,hui'bu
讳才,hui'cai
慧才,hui'cai
慧藏,hui'cang
慧旵禅师,hui'chan'chan'shi
慧常,hui'chang
慧畅,hui'chang
惠超,hui'chao
慧超,hui'chao
慧超法师,hui'chao'fa'shi
惠成,hui'cheng
慧诚,hui'cheng
慧乘,hui'cheng
慧成,hui'cheng
慧澄,hui'cheng
慧乘法师,hui'cheng'fa'shi
慧成法师,hui'cheng'fa'shi
慧持,hui'chi
慧持法师,hui'chi'fa'shi
慧绰,hui'chuo
慧次,hui'ci
慧聪,hui'cong
慧达,hui'da
慧达禅师,hui'da'chan'shi
慧诞,hui'dan
慧定,hui'ding
惠方,hui'fang
慧方禅师,hui'fang'chan'shi
慧芬,hui'fen
慧峰,hui'feng
慧峰法师,hui'feng'fa'shi
惠符,hui'fu
慧恭,hui'gong
慧观,hui'guan
慧观法师,hui'guan'fa'shi
慧光,hui'guang
慧广禅师,hui'guang'chan'shi
惠光法师,hui'guang'fa'shi
慧光法师,hui'guang'fa'shi
惠果,hui'guo
慧果,hui'guo
慧海,hui'hai
慧皓,hui'hao
慧亨,hui'heng
慧洪禅师,hui'hong'chan'shi
慧欢,hui'huan
惠晖,hui'hui
诲机,hui'ji
慧集,hui'ji
慧基,hui'ji
慧寂,hui'ji
慧寂禅师,hui'ji'chan'shi
慧集法师,hui'ji'fa'shi
慧寂法师,hui'ji'fa'shi
晦机熙禅师,hui'ji'xi'chan'shi
慧简,hui'jian
慧皎,hui'jiao
慧皎大师,hui'jiao'da'shi
慧进,hui'jin
慧琎,hui'jin
惠镜,hui'jing
惠精,hui'jing
慧警,hui'jing
慧静,hui'jing
慧净,hui'jing
慧敬,hui'jing
慧经禅师,hui'jing'chan'shi
慧觉,hui'jue
慧觉禅师,hui'jue'chan'shi
慧浚,hui'jun
慧开,hui'kai
慧开禅师,hui'kai'chan'shi
慧侃,hui'kan
慧可,hui'ke
慧可禅师,hui'ke'chan'shi
慧空,hui'kong
惠宽,hui'kuan
慧宽大师,hui'kuan'da'shi
慧旷,hui'kuang
惠榄,hui'lan
慧览,hui'lan
慧兰禅师,hui'lan'chan'shi
慧朗,hui'lang
慧棱,hui'leng
慧棱禅师,hui'leng'chan'shi
慧棱三,hui'leng'san
惠立,hui'li
慧力,hui'li
慧亮,hui'liang
慧琳,hui'lin
慧林性机,hui'lin'xing'ji
慧林圆照本禅师,hui'lin'yuan'zhao'ben'chan'shi
慧灵,hui'ling
慧隆,hui'long
慧轮,hui'lun
慧满,hui'man
慧弥,hui'mi
慧旻,hui'min
慧旻法师,hui'min'fa'shi
惠明,hui'ming
慧命,hui'ming
慧明,hui'ming
慧明大师,hui'ming'da'shi
慧木,hui'mu
慧沐,hui'mu
慧南禅师,hui'nan'chan'shi
慧南法师,hui'nan'fa'shi
惠能,hui'neng
慧能,hui'neng
慧能大师,hui'neng'da'shi
会宁,hui'ning
慧凝,hui'ning
慧平尼师,hui'ping'ni'shi
慧普,hui'pu
慧虔,hui'qian
慧迁,hui'qian
慧勤禅师,hui'qin'chan'shi
惠庆,hui'qing
慧庆,hui'qing
慧清,hui'qing
慧琼,hui'qiong
慧球,hui'qiu
慧璩,hui'qu
惠泉,hui'quan
慧铨,hui'quan
慧然禅师,hui'ran'chan'shi
慧忍,hui'ren
慧日,hui'ri
慧日大师,hui'ri'da'shi
慧日法师,hui'ri'fa'shi
慧荣,hui'rong
慧睿,hui'rui
慧三法师,hui'san'fa'shi
慧僧法师,hui'seng'fa'shi
慧善,hui'shan
慧韶,hui'shao
慧绍,hui'shao
慧涉,hui'she
慧胜,hui'sheng
慧实,hui'shi
慧寔,hui'shi
慧受,hui'shou
慧顺,hui'shun
慧思,hui'si
慧思大师,hui'si'da'shi
慧嵩,hui'song
慧昙,hui'tan
慧昙禅师,hui'tan'chan'shi
会堂禅师自缘,hui'tang'chan'shi'zi'yuan
晦堂心禅师,hui'tang'xin'chan'shi
会堂缘师,hui'tang'yuan'shi
惠瑱,hui'tian
慧瑱,hui'tian
慧眺,hui'tiao
蕙庭法师,hui'ting'fa'shi
会通,hui'tong
惠通,hui'tong
慧通,hui'tong
会通禅师,hui'tong'chan'shi
慧威,hui'wei
慧嵬,hui'wei
慧闻,hui'wen
慧文,hui'wen
慧文禅师,hui'wen'chan'shi
慧闻大师发明心观,hui'wen'da'shi'fa'ming'xin'guan
慧文法师,hui'wen'fa'shi
惠汶律师,hui'wen'lv'shi
慧悟,hui'wu
慧熙,hui'xi
惠仙,hui'xian
慧显,hui'xian
惠祥,hui'xiang
慧萧,hui'xiao
慧心,hui'xin
惠秀,hui'xiu
慧休,hui'xiu
慧绪,hui'xu
慧暅,hui'xuan
慧璇,hui'xuan
慧询,hui'xun
慧严,hui'yan
慧岩,hui'yan
慧演,hui'yan
慧琰,hui'yan
慧耀,hui'yao
慧业,hui'ye
慧义,hui'yi
慧意,hui'yi
慧益,hui'yi
会隐,hui'yin
慧印,hui'yin
慧因,hui'yin
惠永,hui'yong
慧勇,hui'yong
慧永,hui'yong
慧颙禅师,hui'yong'chan'shi
慧勇法师,hui'yong'fa'shi
慧猷,hui'you
慧豫,hui'yu
慧玉,hui'yu
慧瑜,hui'yu
慧苑,hui'yuan
慧远,hui'yuan
慧元,hui'yuan
慧圆,hui'yuan
慧远禅师,hui'yuan'chan'shi
慧远大师,hui'yuan'da'shi
慧苑法师,hui'yuan'fa'shi
慧远法师,hui'yuan'fa'shi
慧原法师,hui'yuan'fa'shi
慧圆上座,hui'yuan'shang'zuo
