安得广厦千万间,an'de'guang'sha'qian'wan'jian
浔阳地僻无音乐,xun'yang'di'pi'wu'yin'yue
浔阳江头夜送客,xun'yang'jiang'tou'ye'song'ke
言既遂矣,yan'ji'sui'yi
烟笼寒水月笼沙,yan'long'han'shui'yue'long'sha
燕然未勒归无计,yan'ran'wei'le'gui'wu'ji
言笑晏晏,yan'xiao'yan'yan
杨花落尽子规啼,yang'hua'luo'jin'zi'gui'ti
遥想公瑾当年,yao'xiang'gong'jin'dang'nian
夜泊秦淮近酒家,ye'bo'qin'huai'jin'jiu'jia
夜来南风起,ye'lai'nan'feng'qi
夜深忽梦少年事,ye'shen'hu'meng'shao'nian'shi
夜吟应觉月光寒,ye'yin'ying'jue'yue'guang'han
意踌蹰,yi'chou'chu
移船相近邀相见,yi'chuan'xiang'jin'yao'xiang'jian
以尔车来,yi'er'che'lai
一夫当关,yi'fu'dang'guan
以观沧海,yi'guan'cang'hai
衣冠简朴古风存,yi'guan'jian'pu'gu'feng'cun
一览众山小,yi'lan'zhong'shan'xiao
一片神鸦社鼓,yi'pian'shen'ya'she'gu
一曲红绡不知数,yi'qu'hong'xiao'bu'zhi'shu
一曲新词酒一杯,yi'qu'xin'ci'jiu'yi'bei
一时多少豪杰,yi'shi'duo'shao'hao'jie
以手抚膺坐长叹,yi'shou'fu'ying'zuo'chang'tan
以望复关,yi'wang'fu'guan
忆往昔峥嵘岁月稠,yi'wang'xi'zheng'rong'sui'yue'chou
以我贿迁,yi'wo'hui'qian
一弦一柱思华年,yi'xian'yi'zhu'si'hua'nian
亦已焉哉,yi'yi'yan'zai
一尊还酹江月,yi'zun'hai'lei'jiang'yue
吟鞭东指即天涯,yin'bian'dong'zhi'ji'tian'ya
银瓶乍破水浆迸,yin'ping'zha'po'shui'jiang'beng
阴阳割昏晓,yin'yang'ge'hun'xiao
赢得仓皇北顾,ying'de'cang'huang'bei'gu
赢得生前身后名,ying'de'sheng'qian'shen'hou'ming
鹰击长空,ying'ji'chang'kong
英雄无觅,ying'xiong'wu'mi
犹抱琵琶半遮面,you'bao'pi'pa'ban'zhe'mian
又何妨,you'he'fang
犹可说也,you'ke'shuo'ye
又恐琼楼玉宇,you'kong'qiong'lou'yu'yu
有朋自远方来,you'peng'zi'yuan'fang'lai
右擎苍,you'qing'cang
悠然见南山,you'ran'jian'nan'shan
右手秉遗穗,you'shou'bing'yi'sui
又闻此语重唧唧,you'wen'ci'yu'zhong'ji'ji
又闻子规啼夜月,you'wen'zi'gui'ti'ye'yue
幽咽泉流冰下难,you'ye'quan'liu'bing'xia'nan
欲辩已忘言,yu'bian'yi'wang'yan
欲渡黄河冰塞川,yu'du'huang'he'bing'sai'chuan
雨脚如麻未断绝,yu'jiao'ru'ma'wei'duan'jue
于嗟鸠兮,yu'jie'jiu'xi
于嗟女兮,yu'jie'nv'xi
与君离别意,yu'jun'li'bie'yi
玉盘珍馐直万钱,yu'pan'zhen'xiu'zhi'wan'qian
羽扇纶巾,yu'shan'guan'jin
鱼翔浅底,yu'xiang'qian'di
元嘉草草,yuan'jia'cao'cao
猿猱欲度愁攀援,yuan'nao'yu'du'chou'pan'yuan
月如钩,yue'ru'gou
月有阴晴圆缺,yue'you'yin'qing'yuan'que
在水一方,zai'shui'yi'fang
在水之湄,zai'shui'zhi'mei
在水之涘,zai'shui'zhi'si
载笑载言,zai'xiao'zai'yan
暂凭杯酒长精神,zan'ping'bei'jiu'zhang'jing'shen
造化钟神秀,zao'hua'zhong'shen'xiu
早生华发,zao'sheng'hua'fa
择其善者而从之,ze'qi'shan'zhe'er'cong'zhi
照无眠,zhao'wu'mian
折戟沉沙铁未销,zhe'ji'chen'sha'tie'wei'xiao
谪居卧病浔阳城,zhe'ju'wo'bing'xun'yang'cheng
整顿衣裳起敛容,zheng'dun'yi'shang'qi'lian'rong
征蓬出汉塞,zheng'peng'chu'han'sai
指点江山,zhi'dian'jiang'shan
直挂云帆济沧海,zhi'gua'yun'fan'ji'cang'hai
只是当时已惘然,zhi'shi'dang'shi'yi'wang'ran
只是朱颜改,zhi'shi'zhu'yan'gai
至于暴矣,zhi'yu'bao'yi
至于顿丘,zhi'yu'dun'qiu
只缘身在最高层,zhi'yuan'shen'zai'zui'gao'ceng
知之为知之,zhi'zhi'wei'zhi'zhi
知之者不如好之者,zhi'zhi'zhe'bu'ru'hao'zhi'zhe
中军置酒饮归客,zhong'jun'zhi'jiu'yin'gui'ke
终岁不闻丝竹声,zhong'sui'bu'wen'si'zhu'sheng
终夜不寝,zhong'ye'bu'qin
住近湓江地低湿,zhu'jin'pen'jiang'di'di'shi
渚清沙白鸟飞回,zhu'qing'sha'bai'niao'fei'hui
主人忘归客不发,zhu'ren'wang'gui'ke'bu'fa
主人下马客在船,zhu'ren'xia'ma'ke'zai'chuan
拄杖无时夜叩门,zhu'zhang'wu'shi'ye'kou'men
转轴拨弦三两声,zhuan'zhou'bo'xian'san'liang'sheng
转朱阁,zhuan'zhu'ge
妆成每被秋娘妒,zhuang'cheng'mei'bei'qiu'niang'du
庄生晓梦迷蝴蝶,zhuang'sheng'xiao'meng'mi'hu'die
浊酒一杯家万里,zhuo'jiu'yi'bei'jia'wan'li
自将磨洗认前朝,zi'jiang'mo'xi'ren'qian'chao
自经丧乱少睡眠,zi'jing'sang'luan'shao'shui'mian
自我徂尔,zi'wo'cu'er
子无良媒,zi'wu'liang'mei
自言本是京城女,zi'yan'ben'shi'jing'cheng'nv
总角之宴,zong'jiao'zhi'yan
足蒸暑土气,zu'zheng'shu'tu'qi
最爱湖东行不足,zui'ai'hu'dong'xing'bu'zu
醉不成欢惨将别,zui'bu'cheng'huan'can'jiang'bie
醉里挑灯看剑,zui'li'tiao'deng'kan'jian
最是一年春好处,zui'shi'yi'nian'chun'hao'chu
左臂悬敝筐,zuo'bi'xuan'bi'kuang
左牵黄,zuo'qian'huang
座中泣下谁最多,zuo'zhong'qi'xia'shui'zui'duo
