阿谁买与猪肝食,a'shui'mai'yu'zhu'gan'shi
评女传巧姐慕贤良,ping'nv'chuan'qiao'jie'mu'xian'liang
平生遭际实堪伤,ping'sheng'zao'ji'shi'kan'shang
破好事香菱结深恨,po'hao'shi'xiang'ling'jie'shen'hen
破刹今游寄兴深,po'sha'jin'you'ji'xing'shen
菩萨之心,pu'sa'zhi'xin
气昂昂头戴簪缨,qi'ang'ang'tou'dai'zan'ying
戚本四回回前诗,qi'ben'si'hui'hui'qian'shi
戚本五回回前词,qi'ben'wu'hui'hui'qian'ci
启功,qi'gong
琪官,qi'guan
其洁若何,qi'jie'ruo'he
其静若何,qi'jing'ruo'he
起卿沉痼续红丝,qi'qing'chen'gu'xu'hong'si
其人工诗善画,qi'ren'gong'shi'shan'hua
其人素性放达,qi'ren'su'xing'fang'da
其神若何,qi'shen'ruo'he
其声凄苦,qi'sheng'qi'ku
岂是吕虔遗王祥,qi'shi'lv'qian'yi'wang'xiang
其素若何,qi'su'ruo'he
其所谓大观园者,qi'suo'wei'da'guan'yuan'zhe
岂惟世少看花人,qi'wei'shi'shao'kan'hua'ren
其为阳春白雪,qi'wei'yang'chun'bai'xue
其文若何,qi'wen'ruo'he
起嫌疑顽童闹家塾,qi'xian'yi'wan'tong'nao'jia'shu
起嫌疑顽童闹学堂,qi'xian'yi'wan'tong'nao'xue'tang
戚序本,qi'xu'ben
其艳若何,qi'yan'ruo'he
奇矣哉,qi'yi'zai
欺幼主刁奴蓄险心,qi'you'zhu'diao'nu'xu'xian'xin
其曾祖寅,qi'zeng'zu'yin
岂知花落水仍流,qi'zhi'hua'luo'shui'reng'liu
气质美如兰,qi'zhi'mei'ru'lan
其子雪芹撰红楼梦一部,qi'zi'xue'qin'zhuan'hong'lou'meng'yi'bu
千皴万染,qian'cun'wan'ran
千古风流造孽人,qian'gu'feng'liu'zao'nie'ren
千古情人独我痴,qian'gu'qing'ren'du'wo'chi
千古未闻之奇文,qian'gu'wei'wen'zhi'qi'wen
千红一窟,qian'hong'yi'ku
前后看花应几人,qian'hou'kan'hua'ying'ji'ren
欠泪的,qian'lei'de
千里东风一梦遥,qian'li'dong'feng'yi'meng'yao
乾隆二十六年夏末秋初,qian'long'er'shi'liu'nian'xia'mo'qiu'chu
乾隆二十七年,qian'long'er'shi'qi'nian
欠命的,qian'ming'de
茜纱窗真情揆痴理,qian'sha'chuang'zhen'qing'kui'chi'li
前数月,qian'shu'yue
倩谁记去作奇传,qian'shui'ji'qu'zuo'qi'chuan
遣香洞,qian'xiang'dong
茜雪,qian'xue
襁褓之间父母违,qiang'bao'zhi'jian'fu'mu'wei
襁褓中,qiang'bao'zhong
强夺苦争,qiang'duo'ku'zheng
强欢笑蘅芜庆生辰,qiang'huan'xiao'heng'wu'qing'sheng'chen
强来灯下一回嘻,qiang'lai'deng'xia'yi'hui'xi
墙颓可见补云阴,qiang'tui'ke'jian'bu'yun'yin
蔷薇硝,qiang'wei'xiao
强言今日较差些,qiang'yan'jin'ri'jiao'cha'xie
巧得遇恩人,qiao'de'yu'en'ren
巧姐,qiao'jie
巧姐判词,qiao'jie'pan'ci
悄来阶下漫逡巡,qiao'lai'jie'xia'man'qun'xun
俏平儿,qiao'ping'er
俏平儿情掩虾须镯,qiao'ping'er'qing'yan'xia'xu'zhuo
俏平儿软语救贾琏,qiao'ping'er'ruan'yu'jiu'jia'lian
悄向花阴寻侍女,qiao'xiang'hua'yin'xun'shi'nv
俏丫鬟抱屈夭风流,qiao'ya'huan'bao'qu'yao'feng'liu
且酤满眼作软饱,qie'gu'man'yan'zuo'ruan'bao
茄官,qie'guan
且着临邛犊鼻裈,qie'zhe'lin'qiong'du'bi'kun
钦差金陵省体仁院总裁,qin'chai'jin'ling'sheng'ti'ren'yuan'zong'cai
亲睹亲闻,qin'du'qin'wen
琴裹坏囊声漠漠,qin'guo'huai'nang'sheng'mo'mo
秦淮风月忆繁华,qin'huai'feng'yue'yi'fan'hua
秦淮旧梦人犹在,qin'huai'jiu'meng'ren'you'zai
秦鲸卿得趣馒头庵,qin'jing'qing'de'qu'man'tou'an
秦鲸卿夭逝黄泉路,qin'jing'qing'yao'shi'huang'quan'lu
秦可卿,qin'ke'qing
秦可卿死封龙禁尉,qin'ke'qing'si'feng'long'jin'wei
芹圃,qin'pu
芹圃曹君霑别来已一载馀矣,qin'pu'cao'jun'zhan'bie'lai'yi'yi'zai'yu'yi
秦氏女独请王熙凤,qin'shi'nv'du'qing'wang'xi'feng
芹溪,qin'xi
芹溪居士,qin'xi'ju'shi
秦业,qin'ye
芹意,qin'yi
沁以仙茗,qin'yi'xian'ming
亲支嫡派,qin'zhi'di'pai
秦钟,qin'zhong
青灯古殿人将老,qing'deng'gu'dian'ren'jiang'lao
青蛾红粉归何处,qing'e'hong'fen'gui'he'chu
青儿,qing'er
青枫林下鬼吟哦,qing'feng'lin'xia'gui'yin'e
情哥哥偏寻根究底,qing'ge'ge'pian'xun'gen'jiu'di
青埂峰,qing'geng'feng
情既相逢必主淫,qing'ji'xiang'feng'bi'zhu'yin
请君着眼护官符,qing'jun'zhuo'yan'hu'guan'fu
情里生情,qing'li'sheng'qing
清明涕送江边望,qing'ming'ti'song'jiang'bian'wang
情切切良宵花解语,qing'qie'qie'liang'xiao'hua'jie'yu
情僧录,qing'seng'lu
清十二帝,qing'shi'er'di
情诗艳赋,qing'shi'yan'fu
庆寿辰宁府排家宴,qing'shou'chen'ning'fu'pai'jia'yan
情天情海幻情身,qing'tian'qing'hai'huan'qing'shen
晴雯,qing'wen
晴雯判词,qing'wen'pan'ci
情小妹耻情归地府,qing'xiao'mei'chi'qing'gui'di'fu
情中情因情感妹妹,qing'zhong'qing'yin'qing'gan'mei'mei
蛩唱空厨近自寻,qiong'chang'kong'chu'jin'zi'xun
秋悲司,qiu'bei'si
秋菊被霜,qiu'ju'bei'shuang
秋菱,qiu'ling
秋气酿寒风雨恶,qiu'qi'niang'han'feng'yu'e
秋爽斋,qiu'shuang'zhai
秋爽斋偶结海棠社,qiu'shuang'zhai'ou'jie'hai'tang'she
秋纹,qiu'wen
秋晓遇雪芹于槐园,qiu'xiao'yu'xue'qin'yu'huai'yuan
秋月春花谁不见,qiu'yue'chun'hua'shui'bu'jian
曲高和寡的杰作,qu'gao'he'gua'de'jie'zuo
曲栏深处撤银灯,qu'lan'shen'chu'che'yin'deng
觑着那,qu'zhe'na
曲终人散有谁留,qu'zhong'ren'san'you'shui'liu
全不念当日根由,quan'bu'nian'dang'ri'gen'you
劝君莫弹食客铗,quan'jun'mo'dan'shi'ke'jia
劝君莫扣富儿门,quan'jun'mo'kou'fu'er'men
劝人生,quan'ren'sheng
泉涌难酬,quan'yong'nan'chou
却不知太高人愈妒,que'bu'zhi'tai'gao'ren'yu'du
裙钗,qun'chai
群芳髓,qun'fang'sui
然竟坎坷半生以死,ran'jing'kan'ke'ban'sheng'yi'si
人都穿单我还夹,ren'dou'chuan'dan'wo'hai'jia
人非物换,ren'fei'wu'huan
人间公何好学,ren'jian'gong'he'hao'xue
人间万姓仰头看,ren'jian'wan'xing'yang'tou'kan
人皆罕,ren'jie'han
人情练达即文章,ren'qing'lian'da'ji'wen'zhang
仁清巷,ren'qing'xiang
人生莫受老来贫,ren'sheng'mo'shou'lao'lai'pin
人宋后,ren'song'hou
人亡物在公子填词,ren'wang'wu'zai'gong'zi'tian'ci
人以此重之,ren'yi'ci'zhong'zhi
日暮黄鹂肠欲断,ri'mu'huang'li'chang'yu'duan
日望西山餐暮霞,ri'wang'xi'shan'can'mu'xia
荣府正厅楹联,rong'fu'zheng'ting'ying'lian
荣国大族,rong'guo'da'zu
荣国府,rong'guo'fu
荣国府奉旨赐归宁,rong'guo'fu'feng'zhi'ci'gui'ning
荣国府归省庆元宵,rong'guo'fu'gui'xing'qing'yuan'xiao
荣国府收养林黛玉,rong'guo'fu'shou'yang'lin'dai'yu
荣国府元宵开夜宴,rong'guo'fu'yuan'xiao'kai'ye'yan
如冰水好空相妒,ru'bing'shui'hao'kong'xiang'du
如何两鬓又成霜,ru'he'liang'bin'you'cheng'shuang
如何心事终须化,ru'he'xin'shi'zhong'xu'hua
入户愁惊座上人,ru'hu'chou'jing'zuo'shang'ren
入画,ru'hua
如刘克庄寒食清明,ru'liu'ke'zhuang'han'shi'qing'ming
辱亲女愚妾争闲气,ru'qin'nv'yu'qie'zheng'xian'qi
如三秋兮,ru'san'qiu'xi
入世迷人,ru'shi'mi'ren
如斯之美也,ru'si'zhi'mei'ye
蕊官,rui'guan
瑞珠,rui'zhu
若不了,ruo'bu'le
若飞若扬,ruo'fei'ruo'yang
若说没奇缘,ruo'shuo'mei'qi'yuan
若说有奇缘,ruo'shuo'you'qi'yuan
若要好,ruo'yao'hao
三百里,san'bai'li
三尺玉罗为手帕,san'chi'yu'luo'wei'shou'pa
三春争及初春景,san'chun'zheng'ji'chu'chun'jing
三寸柔毫能写尽,san'cun'rou'hao'neng'xie'jin
散花寺神签惊异兆,san'hua'si'shen'qian'jing'yi'zhao
三回回前词,san'hui'hui'qian'ci
三回回前诗,san'hui'hui'qian'shi
三联书店版,san'lian'shu'dian'ban
散漫无稽,san'man'wu'ji
三年下第曾怜我,san'nian'xia'di'ceng'lian'wo
三秋阔,san'qiu'kuo
三日卖不出一个真,san'ri'mai'bu'chu'yi'ge'zhen
三生石,san'sheng'shi
三生石上旧精魂,san'sheng'shi'shang'jiu'jing'hun
三首深得竹枝风趣,san'shou'shen'de'zhu'zhi'feng'qu
散余资贾母明大义,san'yu'zi'jia'mu'ming'da'yi
扫红,sao'hong
扫径,sao'jing
扫径张筵久,sao'jing'zhang'yan'jiu
扫墓祭亡有关,sao'mu'ji'wang'you'guan
杀赋何能临边疆,sha'fu'he'neng'lin'bian'jiang
讪谤君相,shan'bang'jun'xiang
山村不见人,shan'cun'bu'jian'ren
擅风情,shan'feng'qing
扇纨遗却在苍苔,shan'wan'yi'que'zai'cang'tai
山蹊野径有梨花,shan'xi'ye'jing'you'li'hua
山下泰裕,shan'xia'tai'yu
山阳残笛不堪闻,shan'yang'can'di'bu'kan'wen
山野人之心,shan'ye'ren'zhi'xin
山中高士晶莹雪,shan'zhong'gao'shi'jing'ying'xue
闪灼文章,shan'zhuo'wen'zhang
伤怀日,shang'huai'ri
上结着长生果,shang'jie'zhe'chang'sheng'guo
上赖天恩,shang'lai'tian'en
伤芹溪居士,shang'qin'xi'ju'shi
伤时骂世,shang'shi'ma'shi
上巳前三日,shang'si'qian'san'ri
伤心一首葬花词,shang'xin'yi'shou'zang'hua'ci
上有苍穹,shang'you'cang'qiong
赏中秋新词得佳谶,shang'zhong'qiu'xin'ci'de'jia'chen
上冢人闻之尤难为怀也,shang'zhong'ren'wen'zhi'you'nan'wei'huai'ye
少陵昔赠曹将军,shao'ling'xi'zeng'cao'jiang'jun
少小不妨同室榻,shao'xiao'bu'fang'tong'shi'ta
蛇影杯弓颦卿绝粒,she'ying'bei'gong'pin'qing'jue'li
麝月,she'yue
深蔽娇莺自在啼,shen'bi'jiao'ying'zi'zai'ti
身后有余忘缩手,shen'hou'you'yu'wang'suo'shou
甚荒唐,shen'huang'tang
身外长物亦何有,shen'wai'chang'wu'yi'he'you
身为下贱,shen'wei'xia'jian
神仙玄幻,shen'xian'xuan'huan
神瑛侍者,shen'ying'shi'zhe
生不遇时,sheng'bu'yu'shi
生齿日繁,sheng'chi'ri'fan
生梗朝仪野鹿腔,sheng'geng'chao'yi'ye'lu'qiang
省宫闱贾元妃染恙,sheng'gong'wei'jia'yuan'fei'ran'yang
生关死劫谁能躲,sheng'guan'si'jie'shui'neng'duo
生怕那慧性灵心偷改,sheng'pa'na'hui'xing'ling'xin'tou'gai
生前心已碎,sheng'qian'xin'yi'sui
生生死死旧重新,sheng'sheng'si'si'jiu'chong'xin
生死相关总在心,sheng'si'xiang'guan'zong'zai'xin
盛席华筵终散场,sheng'xi'hua'yan'zhong'san'chang
生小金闺性自娇,sheng'xiao'jin'gui'xing'zi'jiao
生于末世,sheng'yu'mo'shi
生于末世运偏消,sheng'yu'mo'shi'yun'pian'xiao
生于孰地,sheng'yu'shu'di
声韵凄惋,sheng'yun'qi'wan
势败休云贵,shi'bai'xiu'yun'gui
时宝钗小惠全大体,shi'bao'chai'xiao'hui'quan'da'ti
失宝玉通灵知奇祸,shi'bao'yu'tong'ling'zhi'qi'huo
诗才忆曹植,shi'cai'yi'cao'zhi
施毒计金桂自焚身,shi'du'ji'jin'gui'zi'fen'shen
侍儿枉自费疑猜,shi'er'wang'zi'fei'yi'cai
识分定情悟梨香院,shi'fen'ding'qing'wu'li'xiang'yuan
时逢三五便团圆,shi'feng'san'wu'bian'tuan'yuan
矢孤介杜绝宁国府,shi'gu'jie'du'jue'ning'guo'fu
石归山下无灵气,shi'gui'shan'xia'wu'ling'qi
释好了歌,shi'hao'le'ge
石火光阴,shi'huo'guang'yin
时间好像特别长,shi'jian'hao'xiang'te'bie'chang
释旧憾情婢感痴郎,shi'jiu'han'qing'bi'gan'chi'lang
试看季子貂裘敞,shi'kan'ji'zi'diao'qiu'chang
实愧王嫱,shi'kui'wang'qiang
诗礼簪缨之族,shi'li'zan'ying'zhi'zu
是驴子是马推出来看看,shi'lv'zi'shi'ma'tui'chu'lai'kan'kan
失绵衣贫女耐嗷嘈,shi'mian'yi'pin'nv'nai'ao'cao
世难容,shi'nan'rong
十年辛苦不寻常,shi'nian'xin'ku'bu'xun'chang
拾麒麟侍儿论阴阳,shi'qi'lin'shi'er'lun'yin'yang
视绮罗俗厌,shi'qi'luo'su'yan
适趣闲文,shi'qu'xian'wen
世人都晓神仙好,shi'ren'dou'xiao'shen'xian'hao
世上不平事,shi'shang'bu'ping'shi
时尚之学,shi'shang'zhi'xue
世事洞明皆学问,shi'shi'dong'ming'jie'xue'wen
时时在意,shi'shi'zai'yi
侍书,shi'shu
诗书仕宦,shi'shu'shi'huan
逝水不留诗客杳,shi'shui'bu'liu'shi'ke'yao
史太君两宴大观园,shi'tai'jun'liang'yan'da'guan'yuan
史太君破陈腐旧套,shi'tai'jun'po'chen'fu'jiu'tao
史太君寿终归地府,shi'tai'jun'shou'zhong'gui'di'fu
侍汤奉药,shi'tang'feng'yao
石头记,shi'tou'ji
世外仙姝寂寞林,shi'wai'xian'shu'ji'mo'lin
试文字宝玉始提亲,shi'wen'zi'bao'yu'shi'ti'qin
世鲜知者,shi'xian'zhi'zhe
史湘云,shi'xiang'yun
史湘云偶填柳絮词,shi'xiang'yun'ou'tian'liu'xu'ci
时余在喜峰口,shi'yu'zai'xi'feng'kou
时主人未出,shi'zhu'ren'wei'chu
守官箴恶奴同破例,shou'guan'zhen'e'nu'tong'po'li
守丧尽哀,shou'sang'jin'ai
受私贿老官翻案牍,shou'si'hui'lao'guan'fan'an'du
收尾,shou'wei
寿夭多因毁谤生,shou'yao'duo'yin'hui'bang'sheng
寿怡红群芳开夜宴,shou'yi'hong'qun'fang'kai'ye'yan
手足耽耽小动唇舌,shou'zu'dan'dan'xiao'dong'chun'she
倏恩倏爱,shu'en'shu'ai
数行丹诏,shu'hang'dan'zhao
疏柳长烟远自迷,shu'liu'chang'yan'yuan'zi'mi
疏亲慢友因财而散世间多,shu'qin'man'you'yin'cai'er'san'shi'jian'duo
倏痛倏悲,shu'tong'shu'bei
舒序本,shu'xu'ben
舒元炜,shu'yuan'wei
数召不出,shu'zhao'bu'chu
衰草枯杨,shuai'cao'ku'yang
谁把秋捱过,shui'ba'qiu'ai'guo
谁承望流落在烟花巷,shui'cheng'wang'liu'luo'zai'yan'hua'xiang
水涸湘江,shui'he'xiang'jiang
谁解其中味,shui'jie'qi'zhong'wei
谁堪月下俦,shui'kan'yue'xia'chou
水溶,shui'rong
谁为情种,shui'wei'qing'zhong
谁暇齐鬲分低昂,shui'xia'qi'ge'fen'di'ang
水月庵,shui'yue'an
水月庵掀翻风月案,shui'yue'an'xian'fan'feng'yue'an
谁知公子无缘,shui'zhi'gong'zi'wu'yuan
谁知娇养,shui'zhi'jiao'yang
水中望月,shui'zhong'wang'yue
说什么,shuo'shen'me
死缠绵潇湘闻鬼哭,si'chan'mian'xiao'xiang'wen'gui'ku
似谶成真自不知,si'chen'cheng'zhen'zi'bu'zhi
死雠仇赵妾赴冥曹,si'chou'chou'zhao'qie'fu'ming'cao
私订偷盟,si'ding'tou'meng
死后性空灵,si'hou'xing'kong'ling
四回回前诗,si'hui'hui'qian'shi
死金丹独艳理亲丧,si'jin'dan'du'yan'li'qin'sang
似历三秋阔,si'li'san'qiu'kuo
死里逃生,si'li'tao'sheng
厮配得才貌仙郎,si'pei'de'cai'mao'xian'lang
司棋,si'qi
撕扇子公子追欢笑,si'shan'zi'gong'zi'zhui'huan'xiao
撕扇子作千金一笑,si'shan'zi'zuo'qian'jin'yi'xiao
四十年华付杳冥,si'shi'nian'hua'fu'yao'ming
四十萧然太瘦生,si'shi'xiao'ran'tai'shou'sheng
四松堂集,si'song'tang'ji
四松堂集抄本,si'song'tang'ji'chao'ben
司业青钱留客醉,si'ye'qing'qian'liu'ke'zui
似这般,si'zhe'ban
送慈柩故乡全孝道,song'ci'jiu'gu'xiang'quan'xiao'dao
送宫花贾琏戏熙凤,song'gong'hua'jia'lian'xi'xi'feng
送宫花周瑞叹英莲,song'gong'hua'zhou'rui'tan'ying'lian
送果品小郎惊叵测,song'guo'pin'xiao'lang'jing'po'ce
松生空谷,song'sheng'kong'gu
松涛馆流空手道,song'tao'guan'liu'kong'shou'dao
宋玉,song'yu
宿草寒烟对落曛,su'cao'han'yan'dui'luo'xun
诉肺腑心迷活宝玉,su'fei'fu'xin'mi'huo'bao'yu
宿慧,su'hui
宿酒,su'jiu
宿孽总因情,su'nie'zong'yin'qing
素与江宁太守陈鹏年不相中,su'yu'jiang'ning'tai'shou'chen'peng'nian'bu'xiang'zhong
素云,su'yun
酸凤姐大闹宁国府,suan'feng'jie'da'nao'ning'guo'fu
随时喜怒哀乐,sui'shi'xi'nu'ai'le
虽说是,sui'shuo'shi
虽无千金酬,sui'wu'qian'jin'chou
岁在丙寅清和月下旬,sui'zai'bing'yin'qing'he'yue'xia'xun
孙济缊袍须先偿,sun'ji'yun'pao'xu'xian'chang
所和的曹雪芹,suo'he'de'cao'xue'qin
他时瘦马西州路,ta'shi'shou'ma'xi'zhou'lu
跆根,tai'gen
台矶,tai'ji
太虚幻境,tai'xu'huan'jing
太虚幻境对联,tai'xu'huan'jing'dui'lian
探宝钗黛玉半含酸,tan'bao'chai'dai'yu'ban'han'suan
探春,tan'chun
探春判词,tan'chun'pan'ci
叹芳魂艳魄,tan'fang'hun'yan'po
探惊风贾环重结怨,tan'jing'feng'jia'huan'zhong'jie'yuan
叹人间,tan'ren'jian
叹人世,tan'ren'shi
谈肆业秦钟结宝玉,tan'si'ye'qin'zhong'jie'bao'yu
贪淫恋色,tan'yin'lian'se
唐才子传,tang'cai'zi'chuan
棠村,tang'cun
棠棣之威,tang'di'zhi'wei
唐末,tang'mo
堂前黼黻焕烟霞,tang'qian'fu'fu'huan'yan'xia
堂前花鸟入吟讴,tang'qian'hua'niao'ru'yin'ou
唐太宗召阎立本画鸟,tang'tai'zong'zhao'yan'li'ben'hua'niao
唐玄宗召李白为翰林学士,tang'xuan'zong'zhao'li'bai'wei'han'lin'xue'shi
桃红柳绿待如何,tao'hong'liu'lv'dai'ru'he
桃李春风结子完,tao'li'chun'feng'jie'zi'wan
题红楼梦,ti'hong'lou'meng
题芹圃画石,ti'qin'pu'hua'shi
题芹溪居士,ti'qin'xi'ju'shi
题诗赢得静工夫,ti'shi'ying'de'jing'gong'fu
天地循环秋复春,tian'di'xun'huan'qiu'fu'chun
天伦呵,tian'lun'he
天伦乐宝玉呈才藻,tian'lun'le'bao'yu'cheng'cai'zao
天气不寒还不暖,tian'qi'bu'han'hai'bu'nuan
天上夭桃盛,tian'shang'yao'tao'sheng
天上一轮才捧出,tian'shang'yi'lun'cai'peng'chu
天生成孤僻,tian'sheng'cheng'gu'pi
天生有眼堪穿,tian'sheng'you'yan'kan'chuan
天威能使万心降,tian'wei'neng'shi'wan'xin'jiang
天下无能第一,tian'xia'wu'neng'di'yi
调笑无厌,tiao'xiao'wu'yan
铁观音,tie'guan'yin
铁槛寺,tie'kan'si
听环佩之铿锵,ting'huan'pei'zhi'keng'qiang
听曲文宝玉悟禅机,ting'qu'wen'bao'yu'wu'chan'ji
桐剪秋风,tong'jian'qiu'feng
同君一别时,tong'jun'yi'bie'shi
通灵宝玉,tong'ling'bao'yu
通灵玉姐弟遇双仙,tong'ling'yu'jie'di'yu'shuang'xian
通灵玉蒙蔽遇双真,tong'ling'yu'meng'bi'yu'shuang'zhen
曈昽日影入帘多,tong'long'ri'ying'ru'lian'duo
投鼠忌器宝玉瞒赃,tou'shu'ji'qi'bao'yu'man'zang
投鼠忌器宝玉情赃,tou'shu'ji'qi'bao'yu'qing'zang
凸碧山堂,tu'bi'shan'tang
凸碧堂品笛感凄清,tu'bi'tang'pin'di'gan'qi'qing
徒教彩凤衔来,tu'jiao'cai'feng'xian'lai
途劳受气向谁发,tu'lao'shou'qi'xiang'shui'fa
托内兄如海酬训教,tuo'nei'xiong'ru'hai'chou'xun'jiao
托内兄如海荐西宾,tuo'nei'xiong'ru'hai'jian'xi'bin
瓦灶绳床,wa'zao'sheng'chuang
歪诗熟话,wai'shi'shu'hua
碗边误落唇红印,wan'bian'wu'luo'chun'hong'yin
挽曹雪芹,wan'cao'xue'qin
挽曹雪芹甲申,wan'cao'xue'qin'jia'shen
晚归薄醉帽颜欹,wan'gui'bo'zui'mao'yan'qi
万劫不忘,wan'jie'bu'wang
万境都如梦境看,wan'jing'dou'ru'meng'jing'kan
万境归空,wan'jing'gui'kong
万目睚眦,wan'mu'ya'zi
玩母珠贾政参聚散,wan'mu'zhu'jia'zheng'can'ju'san
万年幸一遇仙缘,wan'nian'xing'yi'yu'xian'yuan
晚韶华,wan'shao'hua
顽石偈,wan'shi'ji
万艳同杯,wan'yan'tong'bei
万种豪华原是幻,wan'zhong'hao'hua'yuan'shi'huan
王道士胡诌妒妇方,wang'dao'shi'hu'zhou'du'fu'fang
旺儿,wang'er
往返程途走奔驰,wang'fan'cheng'tu'zou'ben'chi
枉费了,wang'fei'le
王凤姐力诎失人心,wang'feng'jie'li'qu'shi'ren'xin
王凤姐弄权铁槛寺,wang'feng'jie'nong'quan'tie'kan'si
王夫人,wang'fu'ren
望家乡路远山高,wang'jia'xiang'lu'yuan'shan'gao
枉凝眉,wang'ning'mei
枉入红尘若许年,wang'ru'hong'chen'ruo'xu'nian
王善保,wang'shan'bao
王善保家的,wang'shan'bao'jia'de
往事风流真一瞬,wang'shi'feng'liu'zhen'yi'shun
枉送了性命,wang'song'le'xing'ming
王孙公子叹无缘,wang'sun'gong'zi'tan'wu'yuan
王孙瘦损骨嶙峋,wang'sun'shou'sun'gu'lin'xun
王熙凤,wang'xi'feng
王熙凤毒设相思局,wang'xi'feng'du'she'xiang'si'ju
王熙凤历幻返金陵,wang'xi'feng'li'huan'fan'jin'ling
王熙凤恃强羞说病,wang'xi'feng'shi'qiang'xiu'shuo'bing
王熙凤效戏彩斑衣,wang'xi'feng'xiao'xi'cai'ban'yi
王熙凤协理宁国府,wang'xi'feng'xie'li'ning'guo'fu
王熙凤正言弹妒意,wang'xi'feng'zheng'yan'dan'du'yi
王熙凤致祸抱羞惭,wang'xi'feng'zhi'huo'bao'xiu'can
枉与他人作笑谈,wang'yu'ta'ren'zuo'xiao'tan
汪仲洋,wang'zhong'yang
王子腾,wang'zi'teng
枉自温柔和顺,wang'zi'wen'rou'he'shun
未报躯犹在,wei'bao'qu'you'zai
未卜三生愿,wei'bu'san'sheng'yuan
为待夜凉新月上,wei'dai'ye'liang'xin'yue'shang
为官的,wei'guan'de
威赫赫爵禄高登,wei'he'he'jue'lu'gao'deng
威廉斯堡镇,wei'lian'si'bao'zhen
为人临月境,wei'ren'lin'yue'jing
卫若兰,wei'ruo'lan
未若一斗复一斗,wei'ruo'yi'dou'fu'yi'dou
为甚营求,wei'shen'ying'qiu
尾署翠云道人,wei'shu'cui'yun'dao'ren
慰言今日较差些,wei'yan'jin'ri'jiao'cha'xie
威仪棣棣若山河,wei'yi'di'di'ruo'shan'he
惟有功名忘不了,wei'you'gong'ming'wang'bu'liao
唯有泪堪还,wei'you'lei'kan'hai
惟有住班为难大,wei'you'zhu'ban'wei'nan'da
为织造时,wei'zhi'zao'shi
闻道多情复病心,wen'dao'duo'qing'fu'bing'xin
问古来将相可还存,wen'gu'lai'jiang'xiang'ke'hai'cun
文官,wen'guan
文鳞花低织清涟,wen'lin'hua'di'zhi'qing'lian
闻秘事凤姐讯家童,wen'mi'shi'feng'jie'xun'jia'tong
温柔富贵乡,wen'rou'fu'gui'xiang
闻麝兰之馥郁,wen'she'lan'zhi'fu'yu
文势跳跃,wen'shi'tiao'yue
问谁幻入华胥境,wen'shui'huan'ru'hua'xu'jing
闻说道,wen'shuo'dao
问他曾否泪沾襟,wen'ta'ceng'fou'lei'zhan'jin
蓊蔚洇润,weng'wei'yin'run
我爱世缘随分定,wo'ai'shi'yuan'sui'fen'ding
我非地方官,wo'fei'di'fang'guan
我今此刀空作佩,wo'jin'ci'dao'kong'zuo'pei
我去策,wo'qu'ce
我为你百行百计不舒怀,wo'wei'ni'bai'hang'bai'ji'bu'shu'huai
我为你持戒,wo'wei'ni'chi'jie
我为你吃斋,wo'wei'ni'chi'zhai
我为你泪眼愁眉难解,wo'wei'ni'lei'yan'chou'mei'nan'jie
我闻贺鉴湖,wo'wen'he'jian'hu
我心不安,wo'xin'bu'an
我有古剑尚在匣,wo'you'gu'jian'shang'zai'xia
我斋题云,wo'zhai'ti'yun
无材补天,wu'cai'bu'tian
无材可去补苍天,wu'cai'ke'qu'bu'cang'tian
无端掷去又抛来,wu'duan'zhi'qu'you'pao'lai
无故寻愁觅恨,wu'gu'xun'chou'mi'hen
午汗潮回热转加,wu'han'chao'hui're'zhuan'jia
吴桓王墓,wu'huan'wang'mu
五回回前诗,wu'hui'hui'qian'shi
无稽崖,wu'ji'ya
无可奈何天,wu'ke'nai'he'tian
乌帽猩袍,wu'mao'xing'pao
吴其昌,wu'qi'chang
无情的分明报应,wu'qing'de'fen'ming'bao'ying
无情兽,wu'qing'shou
无人处,wu'ren'chu
无事忙,wu'shi'mang
吴王去后百花落,wu'wang'qu'hou'bai'hua'luo
吴王在日百花开,wu'wang'zai'ri'bai'hua'kai
无为有处有还无,wu'wei'you'chu'you'hai'wu
勿习此末技,wu'xi'ci'mo'ji
无瑕白玉遭泥陷,wu'xia'bai'yu'zao'ni'xian
吴兴家的,wu'xing'jia'de
吴玉峰,wu'yu'feng
五月花号,wu'yue'hua'hao
五月花号公约,wu'yue'hua'hao'gong'yue
无中生有,wu'zhong'sheng'you
戊子卷,wu'zi'juan
西宾,xi'bin
喜出望外平儿理妆,xi'chu'wang'wai'ping'er'li'zhuang
西窗剪烛风雨昏,xi'chuang'jian'zhu'feng'yu'hun
惜春判词,xi'chun'pan'ci
西方宝树唤婆娑,xi'fang'bao'shu'huan'po'suo
喜歌舞,xi'ge'wu
羲皇上人,xi'huang'shang'ren
西江月宝玉,xi'jiang'yue'bao'yu
西郊信步憩废寺,xi'jiao'xin'bu'qi'fei'si
悉皆,xi'jie
喜惧不了,xi'ju'bu'liao
惜其书未传,xi'qi'shu'wei'chuan
袭人,xi'ren
袭人判词,xi'ren'pan'ci
喜荣华正好,xi'rong'hua'zheng'hao
西厢记妙词通戏语,xi'xiang'ji'miao'ci'tong'xi'yu
夕阳寒欲落,xi'yang'han'yu'luo
喜冤家,xi'yuan'jia
喜悦检读,xi'yue'jian'du
下承祖德,xia'cheng'zu'de
