阿谁买与猪肝食,a'shui'mai'yu'zhu'gan'shi
侯门艳质同蒲柳,hou'men'yan'zhi'tong'pu'liu
护官符,hu'guan'fu
忽见丛花无数开,hu'jian'cong'hua'wu'shu'kai
忽喇喇似大厦倾,hu'la'la'si'da'sha'qing
忽丽忽朽,hu'li'hu'xiu
忽离忽遇,hu'li'hu'yu
葫芦庙,hu'lu'miao
葫芦僧乱判葫芦案,hu'lu'seng'luan'pan'hu'lu'an
忽漫相逢频把袂,hu'man'xiang'feng'pin'ba'mei
琥珀,hu'po
胡牵乱扯,hu'qian'luan'che
忽然妙想传奇语,hu'ran'miao'xiang'chuan'qi'yu
胡适,hu'shi
虎兔相逢大梦归,hu'tu'xiang'feng'da'meng'gui
