阿细跳月,a'xi'tiao'yue
后现代主义建筑,hou'xian'dai'zhu'yi'jian'zhu
呼告,hu'gao
呼应,hu'ying
划,hua
化,hua
话白,hua'bai
话本,hua'ben
话本小说,hua'ben'xiao'shuo
花部,hua'bu
画禅,hua'chan
花灯,hua'deng
花儿,hua'er
华尔兹,hua'er'zi
画幅,hua'fu
画格,hua'ge
画工,hua'gong
花卉摄影,hua'hui'she'ying
滑稽,hua'ji
滑稽感,hua'ji'gan
滑稽剧,hua'ji'ju
滑稽说,hua'ji'shuo
化进化出,hua'jin'hua'chu
话剧,hua'ju
画面,hua'mian
画面格式,hua'mian'ge'shi
画面化,hua'mian'hua
花鸟画,hua'niao'hua
画品,hua'pin
画圣,hua'sheng
画师,hua'shi
画外歌声,hua'wai'ge'sheng
画外音,hua'wai'yin
画像石,hua'xiang'shi
画像砖,hua'xiang'zhuan
画学,hua'xue
画以地异,hua'yi'di'yi
画院,hua'yuan
画中有诗,hua'zhong'you'shi
化妆,hua'zhuang
化妆设计,hua'zhuang'she'ji
化装相声,hua'zhuang'xiang'sheng
环境,huan'jing
环境的动态描写,huan'jing'de'dong'tai'miao'xie
环境的间接描写,huan'jing'de'jian'jie'miao'xie
环境的静态描写,huan'jing'de'jing'tai'miao'xie
环境烘托,huan'jing'hong'tuo
环境描写的方法,huan'jing'miao'xie'de'fang'fa
环境描写的角度,huan'jing'miao'xie'de'jiao'du
环幕电影,huan'mu'dian'ying
幻想曲,huan'xiang'qu
荒诞派,huang'dan'pai
荒诞派戏剧,huang'dan'pai'xi'ju
荒诞派小说,huang'dan'pai'xiao'shuo
黄金分割,huang'jin'fen'ge
黄金分割率,huang'jin'fen'ge'lv
黄山派,huang'shan'pai
黄徐体异,huang'xu'ti'yi
绘画,hui'hua
绘画性和写实性的光处理,hui'hua'xing'he'xie'shi'xing'de'guang'chu'li
回环,hui'huan
徽派版画,hui'pai'ban'hua
灰色派,hui'se'pai
诙谐,hui'xie
诙谐性民间笑话,hui'xie'xing'min'jian'xiao'hua
绘型化妆,hui'xing'hua'zhuang
回旋曲式,hui'xuan'qu'shi
回忆,hui'yi
回忆录,hui'yi'lu
混合录音,hun'he'lu'yin
活报剧,huo'bao'ju
活报舞蹈,huo'bao'wu'dao
计白当黑,ji'bai'dang'hei
技不离戏,ji'bu'li'xi
纪功柱,ji'gong'zhu
激光电视,ji'guang'dian'shi
几何图案,ji'he'tu'an
积极浪漫主义,ji'ji'lang'man'zhu'yi
集锦照片,ji'jin'zhao'pian
集句,ji'ju
积累式,ji'lei'shi
肌理说,ji'li'shuo
记录性艺术片,ji'lu'xing'yi'shu'pian
记录影片,ji'lu'ying'pian
集纳式,ji'na'shi
纪念碑,ji'nian'bei
纪念馆,ji'nian'guan
纪念建筑,ji'nian'jian'zhu
记谱法,ji'pu'fa
集曲,ji'qu
纪实小说,ji'shi'xiao'shuo
技术设计,ji'shu'she'ji
祭祀舞蹈,ji'si'wu'dao
吉特巴,ji'te'ba
集体舞,ji'ti'wu
集体性,ji'ti'xing
忌填塞,ji'tian'se
寄托,ji'tuo
极限艺术,ji'xian'yi'shu
即兴表演,ji'xing'biao'yan
即兴创作,ji'xing'chuang'zuo
即兴喜剧,ji'xing'xi'ju
机绣,ji'xiu
记叙式,ji'xu'shi
记忆表象,ji'yi'biao'xiang
记忆画,ji'yi'hua
记忆力,ji'yi'li
夹白,jia'bai
佳构剧,jia'gou'ju
甲骨文,jia'gu'wen
夹景,jia'jing
假面喜剧,jia'mian'xi'ju
夹叙夹评,jia'xu'jia'ping
建安派版画,jian'an'pai'ban'hua
建安体,jian'an'ti
简笔,jian'bi
渐变形成的节奏,jian'bian'xing'cheng'de'jie'zou
间插段,jian'cha'duan
兼顾电影性和文学性的剧本,jian'gu'dian'ying'xing'he'wen'xue'xing'de'ju'ben
剪辑,jian'ji
剪辑过程,jian'ji'guo'cheng
剪辑照片,jian'ji'zhao'pian
间架说,jian'jia'shuo
间接触发,jian'jie'chu'fa
间接抒情,jian'jie'shu'qing
间接素材,jian'jie'su'cai
间接议论,jian'jie'yi'lun
简谱,jian'pu
减七和弦,jian'qi'he'xian
减三和弦,jian'san'he'xian
减头绪,jian'tou'xu
渐悟与顿悟,jian'wu'yu'dun'wu
奸邪者刻以丑形,jian'xie'zhe'ke'yi'chou'xing
剪纸,jian'zhi
剪纸片,jian'zhi'pian
建筑,jian'zhu
建筑彩画,jian'zhu'cai'hua
建筑空间组合,jian'zhu'kong'jian'zu'he
建筑设计,jian'zhu'she'ji
建筑艺术,jian'zhu'yi'shu
建筑艺术的观赏点,jian'zhu'yi'shu'de'guan'shang'dian
间奏曲,jian'zou'qu
讲史小说,jiang'shi'xiao'shuo
江西派,jiang'xi'pai
叫板式连接,jiao'ban'shi'lian'jie
脚本,jiao'ben
交叉式,jiao'cha'shi
角度,jiao'du
胶粉壁画,jiao'fen'bi'hua
交流,jiao'liu
交替形成的节奏,jiao'ti'xing'cheng'de'jie'zou
交响曲,jiao'xiang'qu
交响诗,jiao'xiang'shi
交响音画,jiao'xiang'yin'hua
解包袱,jie'bao'fu
借代,jie'dai
解带格,jie'dai'ge
截法,jie'fa
结构,jie'gou
结构现实主义小说,jie'gou'xian'shi'zhu'yi'xiao'shuo
结构主义,jie'gou'zhu'yi
结构主义建筑,jie'gou'zhu'yi'jian'zhu
结构主义批评,jie'gou'zhu'yi'pi'ping
界画,jie'hua
戒荒唐,jie'huang'tang
阶级性,jie'ji'xing
接近联想,jie'jin'lian'xiang
借景,jie'jing
借景抒情,jie'jing'shu'qing
截句,jie'ju
结局,jie'ju
解铃格,jie'ling'ge
节令歌谣,jie'ling'ge'yao
节目制作人,jie'mu'zhi'zuo'ren
节拍,jie'pai
节省人物语言,jie'sheng'ren'wu'yu'yan
借事议理,jie'shi'yi'li
接受美学,jie'shou'mei'xue
接受形态,jie'shou'xing'tai
结体,jie'ti
街头剧,jie'tou'ju
街头诗,jie'tou'shi
借物议理,jie'wu'yi'li
解衣槃礴,jie'yi'pan'bo
借喻,jie'yu
节奏,jie'zou
近,jin
金碧山水,jin'bi'shan'shui
金蝉脱壳法,jin'chan'tuo'qiao'fa
近景,jin'jing
金陵派,jin'ling'pai
金陵派版画,jin'ling'pai'ban'hua
谨毛失貌,jin'mao'shi'mao
锦屏对峙,jin'ping'dui'zhi
尽善尽美,jin'shan'jin'mei
金石味,jin'shi'wei
近体诗,jin'ti'shi
金文,jin'wen
进行曲,jin'xing'qu
金银首饰,jin'yin'shou'shi
近韵通押,jin'yun'tong'ya
金字塔公式,jin'zi'ta'gong'shi
景,jing
惊笔,jing'bi
净化效应,jing'hua'xiao'ying
境界说,jing'jie'shuo
京剧,jing'ju
镜框式舞台,jing'kuang'shi'wu'tai
景深,jing'shen
精神分析的批评,jing'shen'fen'xi'de'pi'ping
景石,jing'shi
景是客,jing'shi'ke
景泰蓝,jing'tai'lan
镜头,jing'tou
镜头记录本,jing'tou'ji'lu'ben
静物画,jing'wu'hua
静物摄影,jing'wu'she'ying
惊险片,jing'xian'pian
惊险小说,jing'xian'xiao'shuo
经验的移情或自然的移情,jing'yan'de'yi'qing'huo'zi'ran'de'yi'qing
境以幻为实,jing'yi'huan'wei'shi
经营位置,jing'ying'wei'zhi
九和弦,jiu'he'xian
厩马皆臣师,jiu'ma'jie'chen'shi
九朽一罢,jiu'xiu'yi'ba
剧本,ju'ben
句逗,ju'dou
句句韵,ju'ju'yun
句句韵加儿化韵,ju'ju'yun'jia'er'hua'yun
距离说,ju'li'shuo
句式,ju'shi
具体音乐,ju'ti'yin'yue
句头,ju'tou
句头句尾韵,ju'tou'ju'wei'yun
句尾,ju'wei
句腰,ju'yao
剧院建筑,ju'yuan'jian'zhu
居住建筑,ju'zhu'jian'zhu
居住区规划,ju'zhu'qu'gui'hua
卷帘格,juan'lian'ge
隽永,juan'yong
绝句,jue'ju
绝诗,jue'shi
爵士音乐,jue'shi'yin'yue
竣工图,jun'gong'tu
均衡,jun'heng
军事摄影,jun'shi'she'ying
卡格拉恰舞,ka'ge'la'qia'wu
卡农,ka'nong
开词,kai'ci
开端,kai'duan
开阖照应,kai'he'zhao'ying
开脸,kai'lian
开篇,kai'pian
凯旋门,kai'xuan'men
拷贝,kao'bei
客观镜头,ke'guan'jing'tou
客观型,ke'guan'xing
科幻小说,ke'huan'xiao'shuo
科浑的运用,ke'hun'de'yun'yong
克里卜索舞,ke'li'bo'suo'wu
窠石寒林,ke'shi'han'lin
缂丝,ke'si
科学幻想片,ke'xue'huan'xiang'pian
科学教育影片,ke'xue'jiao'yu'ying'pian
科学诗,ke'xue'shi
科学小品,ke'xue'xiao'pin
客运站,ke'yun'zhan
空间封闭度,kong'jian'feng'bi'du
空间感,kong'jian'gan
空间划分,kong'jian'hua'fen
空间距离,kong'jian'ju'li
空间设计,kong'jian'she'ji
空间音响,kong'jian'yin'xiang
空间音乐,kong'jian'yin'yue
空镜头,kong'jing'tou
空灵,kong'ling
空气透视,kong'qi'tou'shi
孔雀舞,kong'que'wu
空中摄影,kong'zhong'she'ying
口号,kou'hao
口头性,kou'tou'xing
口型,kou'xing
扣子,kou'zi
苦乐相错,ku'le'xiang'cuo
垮掉的一代,kua'diao'de'yi'dai
夸张,kua'zhang
夸张型包袱,kua'zhang'xing'bao'fu
快板,kuai'ban
快板结构,kuai'ban'jie'gou
快板书,kuai'ban'shu
快感,kuai'gan
快速摄影,kuai'su'she'ying
宽银幕电影,kuan'yin'mu'dian'ying
框景,kuang'jing
狂想曲,kuang'xiang'qu
匡正抑邪,kuang'zheng'yi'xie
傀儡戏,kui'lei'xi
昆腔体系,kun'qiang'ti'xi
扩充,kuo'chong
拉班舞谱,la'ban'wu'pu
拉镜头,la'jing'tou
蜡染,la'ran
蓝印花布,lan'yin'hua'bu
廊,lang
浪漫曲,lang'man'qu
浪漫主义,lang'man'zhu'yi
浪漫主义画派,lang'man'zhu'yi'hua'pai
浪漫主义戏剧,lang'man'zhu'yi'xi'ju
朗诵诗,lang'song'shi
劳动歌谣,lao'dong'ge'yao
烙花,lao'hua
类似联想,lei'si'lian'xiang
类似阅读,lei'si'yue'du
类型化,lei'xing'hua
类型人物,lei'xing'ren'wu
类型说,lei'xing'shuo
类型形象,lei'xing'xing'xiang
类型演员,lei'xing'yan'yuan
冷场,leng'chang
力度,li'du
离宫,li'gong
梨花格,li'hua'ge
利家行家,li'jia'hang'jia
理解力,li'jie'li
立面图,li'mian'tu
历史观点,li'shi'guan'dian
历史画,li'shi'hua
历史剧,li'shi'ju
历史事件传说,li'shi'shi'jian'chuan'shuo
历史小品,li'shi'xiao'pin
历史小说,li'shi'xiao'shuo
隶书,li'shu
礼俗歌谣,li'su'ge'yao
立体彩色电视,li'ti'cai'se'dian'shi
立体电影,li'ti'dian'ying
立体感,li'ti'gan
立体构成,li'ti'gou'cheng
立体化妆,li'ti'hua'zhuang
立体摄影,li'ti'she'ying
立体照明,li'ti'zhao'ming
立体主义,li'ti'zhu'yi
离调,li'tiao
理想化,li'xiang'hua
立心说,li'xin'shuo
理性蒙太奇,li'xing'meng'tai'qi
立意,li'yi
立轴,li'zhou
立主脑,li'zhu'nao
黎族舞蹈,li'zu'wu'dao
连环包袱,lian'huan'bao'fu
连环画,lian'huan'hua
连环句,lian'huan'ju
连环扣,lian'huan'kou
联句,lian'ju
炼句,lian'ju
脸谱,lian'pu
链式结构,lian'shi'jie'gou
练死了,lian'si'le
连锁式结构,lian'suo'shi'jie'gou
连台本戏,lian'tai'ben'xi
联想型,lian'xiang'xing
连续式,lian'xu'shi
连续照片,lian'xu'zhao'pian
连音,lian'yin
炼字,lian'zi
凉风扫尘,liang'feng'sao'chen
量感,liang'gan
两栖演员,liang'qi'yan'yuan
亮相,liang'xiang
临摹,lin'mo
临时演员,lin'shi'yan'yuan
令,ling
灵感说,ling'gan'shuo
岭南派,ling'nan'pai
翎子功,ling'zi'gong
六长,liu'chang
流动空间,liu'dong'kong'jian
六法,liu'fa
六观说,liu'guan'shuo
柳活儿,liu'huo'er
流浪汉小说,liu'lang'han'xiao'shuo
流派风格,liu'pai'feng'ge
六言诗,liu'yan'shi
六要,liu'yao
留一笔,liu'yi'bi
龙套,long'tao
龙珠说,long'zhu'shuo
楼,lou
娄东派,lou'dong'pai
漏景,lou'jing
楼梯体,lou'ti'ti
芦笙舞,lu'sheng'wu
录像节目,lu'xiang'jie'mu
录音,lu'yin
仑巴,lun'ba
伦勃朗色彩,lun'bo'lang'se'cai
轮唱,lun'chang
论词四标准,lun'ci'si'biao'zhun
轮廓,lun'kuo
轮廓光,lun'kuo'guang
锣鼓点,luo'gu'dian
逻辑推理型包袱,luo'ji'tui'li'xing'bao'fu
洛可可建筑,luo'ke'ke'jian'zhu
洛可可美术,luo'ke'ke'mei'shu
罗马风建筑,luo'ma'feng'jian'zhu
落墨花,luo'mo'hua
裸体画,luo'ti'hua
绿地规划,lv'di'gui'hua
律赋,lv'fu
旅馆建筑,lv'guan'jian'zhu
滤光器的艺术作用,lv'guang'qi'de'yi'shu'zuo'yong
律诗,lv'shi
旅游照片的拍摄,lv'you'zhao'pian'de'pai'she
麻胶版画,ma'jiao'ban'hua
玛祖卡,ma'zu'ka
慢,man
曼播舞,man'bo'wu
漫画,man'hua
慢门拍摄动体的运用,man'men'pai'she'dong'ti'de'yun'yong
慢调,man'tiao
蔓子活,man'zi'huo
毛剪,mao'jian
美刺,mei'ci
美感差异性,mei'gan'cha'yi'xing
美工,mei'gong
没骨法,mei'gu'fa
美术,mei'shu
美术片,mei'shu'pian
美学观点,mei'xue'guan'dian
门画,men'hua
蒙古安代舞,meng'gu'an'dai'wu
梦境幻觉,meng'jing'huan'jue
朦胧景,meng'long'jing
朦胧诗,meng'long'shi
蒙太奇,meng'tai'qi
蒙太奇句子,meng'tai'qi'ju'zi
蒙太奇连接方法,meng'tai'qi'lian'jie'fang'fa
蒙太奇式结构,meng'tai'qi'shi'jie'gou
谜格,mi'ge
密接和应,mi'jie'he'ying
迷惘的一代派小说,mi'wang'de'yi'dai'pai'xiao'shuo
密针线,mi'zhen'xian
面具舞,mian'ju'wu
描法十八种,miao'fa'shi'ba'zhong
妙悟,miao'wu
描写体,miao'xie'ti
民歌,min'ge
民间传说,min'jian'chuan'shuo
民间传说的传奇性,min'jian'chuan'shuo'de'chuan'qi'xing
民间传说的历史性,min'jian'chuan'shuo'de'li'shi'xing
民间歌谣,min'jian'ge'yao
民间故事,min'jian'gu'shi
民间谜语,min'jian'mi'yu
民间谜语的诡词法,min'jian'mi'yu'de'gui'ci'fa
民间谜语的会意法,min'jian'mi'yu'de'hui'yi'fa
民间谜语的矛盾法,min'jian'mi'yu'de'mao'dun'fa
民间谜语的描写法,min'jian'mi'yu'de'miao'xie'fa
民间谜语的谐音法,min'jian'mi'yu'de'xie'yin'fa
民间童话,min'jian'tong'hua
民间文学,min'jian'wen'xue
民间文学的改编,min'jian'wen'xue'de'gai'bian
民间文学的科学价值,min'jian'wen'xue'de'ke'xue'jia'zhi
民间文学的民族性,min'jian'wen'xue'de'min'zu'xing
民间文学的实用价值,min'jian'wen'xue'de'shi'yong'jia'zhi
民间文学的搜集,min'jian'wen'xue'de'sou'ji
民间文学的艺术价值,min'jian'wen'xue'de'yi'shu'jia'zhi
民间文学的再创作,min'jian'wen'xue'de'zai'chuang'zuo
民间文学的整理,min'jian'wen'xue'de'zheng'li
民间舞蹈,min'jian'wu'dao
民间笑话,min'jian'xiao'hua
民间谚语,min'jian'yan'yu
民间逸闻,min'jian'yi'wen
民间寓言,min'jian'yu'yan
民居,min'ju
民用建筑,min'yong'jian'zhu
民族风格,min'zu'feng'ge
民族舞蹈,min'zu'wu'dao
民族性,min'zu'xing
明暗,ming'an
明暗的统一,ming'an'de'tong'yi
明笔,ming'bi
明场,ming'chang
明扣,ming'kou
明线,ming'xian
明显对照,ming'xian'dui'zhao
明喻,ming'yu
缪篆,miu'zhuan
墨法七种,mo'fa'qi'zhong
模仿,mo'fang
模仿进行,mo'fang'jin'xing
摹仿说,mo'fang'shuo
墨分五彩,mo'fen'wu'cai
魔幻现实主义,mo'huan'xian'shi'zhu'yi
魔幻现实主义小说,mo'huan'xian'shi'zhu'yi'xiao'shuo
摹拟,mo'ni
摹拟型包袱,mo'ni'xing'bao'fu
默契包袱,mo'qi'bao'fu
磨漆画,mo'qi'hua
陌生化效果,mo'sheng'hua'xiao'guo
模特儿,mo'te'er
墨西哥舞蹈,mo'xi'ge'wu'dao
模型,mo'xing
模型摄影,mo'xing'she'ying
幕,mu
木雕,mu'diao
牧歌,mu'ge
木管乐器的音域与性能,mu'guan'yue'qi'de'yin'yu'yu'xing'neng
幕间剧,mu'jian'ju
幕间曲,mu'jian'qu
木刻,mu'ke
木偶片,mu'ou'pian
那辗式,na'zhan'shi
南北分宗说,nan'bei'fen'zong'shuo
南北合套,nan'bei'he'tao
南北书派,nan'bei'shu'pai
南朝乐府,nan'chao'yue'fu
男低音,nan'di'yin
男高音,nan'gao'yin
南路北路,nan'lu'bei'lu
南曲,nan'qu
南戏,nan'xi
南音北韵,nan'yin'bei'yun
男中音,nan'zhong'yin
男子舞,nan'zi'wu
闹剧,nao'ju
内景,nei'jing
内景摄影,nei'jing'she'ying
内摹仿说,nei'mo'fang'shuo
内形式,nei'xing'shi
内在真实,nei'zai'zhen'shi
尼伯龙根诗体,ni'bo'long'gen'shi'ti
逆光,ni'guang
拟话本,ni'hua'ben
拟人,ni'ren
拟人化,ni'ren'hua
拟容取心,ni'rong'qu'xin
逆入平出,ni'ru'ping'chu
泥塑,ni'su
拟物,ni'wu
拟物化,ni'wu'hua
拟音,ni'yin
年画,nian'hua
拈连,nian'lian
鸟瞰图,niao'kan'tu
宁穿破不穿错,ning'chuan'po'bu'chuan'cuo
凝聚,ning'ju
拗救,niu'jiu
浓涂重抹,nong'tu'zhong'mo
农谚,nong'yan
农业摄影,nong'ye'she'ying
弄引法,nong'yin'fa
傩舞,nuo'wu
女低音,nv'di'yin
女高音,nv'gao'yin
女中音,nv'zhong'yin
女子舞,nv'zi'wu
偶然音乐,ou'ran'yin'yue
排比,pai'bi
牌坊,pai'fang
俳赋,pai'fu
俳句,pai'ju
排律,pai'lv
拍摄角度,pai'she'jiao'du
俳体,pai'ti
排演,pai'yan
拍子,pai'zi
盘歌,pan'ge
旁白,pang'bai
陪衬人物,pei'chen'ren'wu
配景,pei'jing
配角,pei'jue
配器中的调性选择,pei'qi'zhong'de'diao'xing'xuan'ze
配器中的对比手法,pei'qi'zhong'de'dui'bi'shou'fa
配器中的复调手法,pei'qi'zhong'de'fu'diao'shou'fa
配音,pei'yin
配音演员,pei'yin'yan'yuan
盆景,pen'jing
碰碰舞,peng'peng'wu
皮簧腔系,pi'huang'qiang'xi
霹雳舞,pi'li'wu
批判现实主义,pi'pan'xian'shi'zhu'yi
批评标准,pi'ping'biao'zhun
批评性阅读,pi'ping'xing'yue'du
皮影戏,pi'ying'xi
片,pian
骈赋,pian'fu
偏斜,pian'xie
偏重于电影性的剧本,pian'zhong'yu'dian'ying'xing'de'ju'ben
偏重于文学性的剧本,pian'zhong'yu'wen'xue'xing'de'ju'ben
品评,pin'ping
拼贴,pin'tie
品味的欣赏,pin'wei'de'xin'shang
评点,ping'dian
平衡,ping'heng
平面构成,ping'mian'gou'cheng
平面图,ping'mian'tu
屏幕形象,ping'mu'xing'xiang
平摄,ping'she
平视角度,ping'shi'jiao'du
评书,ping'shu
评书结构,ping'shu'jie'gou
评说体,ping'shuo'ti
评弹,ping'tan
平涂法,ping'tu'fa
平行式,ping'xing'shi
平行式连接,ping'xing'shi'lian'jie
平行透视,ping'xing'tou'shi
平仄,ping'ze
魄按惊奇离合悲欢,po'an'jing'qi'li'he'bei'huan
泼墨,po'mo
破墨,po'mo
剖面图,pou'mian'tu
谱表,pu'biao
铺场白,pu'chang'bai
铺陈排比,pu'chen'pai'bi
铺平垫稳,pu'ping'dian'wen
起霸,qi'ba
起承转合,qi'cheng'zhuan'he
启迪效应,qi'di'xiao'ying
奇峰对插,qi'feng'dui'cha
七和弦,qi'he'xian
七和弦转位,qi'he'xian'zhuan'wei
起叫头,qi'jiao'tou
绮丽,qi'li
齐梁体,qi'liang'ti
起诗,qi'shi
气象,qi'xiang
气象景,qi'xiang'jing
气象谚语,qi'xiang'yan'yu
七言诗,qi'yan'shi
气韵生动,qi'yun'sheng'dong
掐头去尾,qia'tou'qu'wei
掐头取尾,qia'tou'qu'wei
浅绛,qian'jiang
前进式,qian'jin'shi
前景,qian'jing
前期录音,qian'qi'lu'yin
牵丝,qian'si
潜台词,qian'tai'ci
迁想妙得,qian'xiang'miao'de
牵引化妆,qian'yin'hua'zhuang
谴责小说,qian'ze'xiao'shuo
嵌字,qian'zi
嵌字句,qian'zi'ju
前奏曲,qian'zou'qu
抢背,qiang'bei
强调,qiang'diao
枪杆诗,qiang'gan'shi
羌舞,qiang'wu
跷功,qiao'gong
巧联,qiao'lian
巧十字句,qiao'shi'zi'ju
切,qie
切分法,qie'fen'fa
切分音,qie'fen'yin
切割人物语言,qie'ge'ren'wu'yu'yan
砌末,qie'mo
切入镜头,qie'ru'jing'tou
切入式悬念,qie'ru'shi'xuan'nian
琴瑟间钟,qin'se'jian'zhong
琴书,qin'shu
秦印,qin'yin
清唱剧,qing'chang'ju
情感记忆,qing'gan'ji'yi
情感评价,qing'gan'ping'jia
情感体验,qing'gan'ti'yan
情感性,qing'gan'xing
轻歌剧,qing'ge'ju
清角为宫,qing'jiao'wei'gong
情节,qing'jie
情节构思型包袱,qing'jie'gou'si'xing'bao'fu
情节剧,qing'jie'ju
情节舞,qing'jie'wu
情景交融,qing'jing'jiao'rong
情理结合,qing'li'jie'he
青绿山水,qing'lv'shan'shui
情是主,qing'shi'zhu
情态细节,qing'tai'xi'jie
青田石,qing'tian'shi
倾向性,qing'xiang'xing
清新,qing'xin
情绪记忆,qing'xu'ji'yi
情绪舞,qing'xu'wu
情绪小说,qing'xu'xiao'shuo
情绪型,qing'xu'xing
情绪型结构,qing'xu'xing'jie'gou
穷者而后工,qiong'zhe'er'hou'gong
求凰格,qiu'huang'ge
秋千格,qiu'qian'ge
曲,qu
曲白相生,qu'bai'xiang'sheng
曲本,qu'ben
曲不离口,qu'bu'li'kou
曲词,qu'ci
曲调,qu'diao
曲调发展手法,qu'diao'fa'zhan'shou'fa
去繁与求全,qu'fan'yu'qiu'quan
取景方法,qu'jing'fang'fa
曲剧,qu'ju
取类也大,qu'lei'ye'da
曲牌,qu'pai
曲谱,qu'pu
曲式,qu'shi
曲头,qu'tou
取头去尾,qu'tou'qu'wei
曲尾,qu'wei
趣味无可争辩,qu'wei'wu'ke'zheng'bian
曲线,qu'xian
曲艺,qu'yi
曲艺联唱,qu'yi'lian'chang
曲韵,qu'yun
曲折翻腾法,qu'zhe'fan'teng'fa
曲子词,qu'zi'ci
拳不离手,quan'bu'li'shou
劝惩说,quan'cheng'shuo
全景,quan'jing
全景电影,quan'jing'dian'ying
全景山水,quan'jing'shan'shui
全图,quan'tu
全息电影,quan'xi'dian'ying
全息摄影,quan'xi'she'ying
全戏一棵菜,quan'xi'yi'ke'cai
全音,quan'yin
阕,que
群口,qun'kou
群口快板,qun'kou'kuai'ban
群口相声,qun'kou'xiang'sheng
群舞,qun'wu
群众场面,qun'zhong'chang'mian
髯口功,ran'kou'gong
热场,re'chang
人民性,ren'min'xing
人名谜语,ren'ming'mi'yu
人情说,ren'qing'shuo
人情味建筑,ren'qing'wei'jian'zhu
人事寓言,ren'shi'yu'yan
人物,ren'wu
人物报告文学,ren'wu'bao'gao'wen'xue
人物传说,ren'wu'chuan'shuo
人物的肖像描写,ren'wu'de'xiao'xiang'miao'xie
人物的心理描写,ren'wu'de'xin'li'miao'xie
人物的行动描写,ren'wu'de'xing'dong'miao'xie
人物的语言描写,ren'wu'de'yu'yan'miao'xie
人物对话的指示词,ren'wu'dui'hua'de'zhi'shi'ci
人物烘托,ren'wu'hong'tuo
人物画,ren'wu'hua
人物描写,ren'wu'miao'xie
人物式连接,ren'wu'shi'lian'jie
人物性格,ren'wu'xing'ge
人物性格型包袱,ren'wu'xing'ge'xing'bao'fu
人物语言的调度艺术,ren'wu'yu'yan'de'diao'du'yi'shu
人物造型,ren'wu'zao'xing
人像摄影,ren'xiang'she'ying
人造光,ren'zao'guang
日本民间舞蹈,ri'ben'min'jian'wu'dao
日记体报告文学,ri'ji'ti'bao'gao'wen'xue
日记体小说,ri'ji'ti'xiao'shuo
绒绢花,rong'juan'hua
融情入理,rong'qing'ru'li
柔巴依,rou'ba'yi
肉中噱,rou'zhong'xue
入乎其内出乎其外,ru'hu'qi'nei'chu'hu'qi'wai
如锥划沙,ru'zhui'hua'sha
萨玛舞,sa'ma'wu
散白,san'bai
三表法,san'biao'fa
三病,san'bing
散场诗,san'chang'shi
三迭式结构,san'die'shi'jie'gou
三度空间,san'du'kong'jian
三翻四抖,san'fan'si'dou
三和弦转位,san'he'xian'zhuan'wei
三句半,san'ju'ban
三联画,san'lian'hua
散曲,san'qu
三人舞,san'ren'wu
散套,san'tao
散涂法,san'tu'fa
散文,san'wen
散文的笔调,san'wen'de'bi'diao
散文的表现角度,san'wen'de'biao'xian'jiao'du
散文的波澜,san'wen'de'bo'lan
散文的横式结构,san'wen'de'heng'shi'jie'gou
散文的结构,san'wen'de'jie'gou
散文的立意,san'wen'de'li'yi
散文的炼意,san'wen'de'lian'yi
散文的情节因素,san'wen'de'qing'jie'yin'su
散文的趣味,san'wen'de'qu'wei
散文的诗意,san'wen'de'shi'yi
散文的网状结构,san'wen'de'wang'zhuang'jie'gou
散文的文眼,san'wen'de'wen'yan
散文的选材,san'wen'de'xuan'cai
散文的意境,san'wen'de'yi'jing
散文的语言,san'wen'de'yu'yan
散文的直线结构,san'wen'de'zhi'xian'jie'gou
散文诗,san'wen'shi
散文式结构,san'wen'shi'jie'gou
散文体小说,san'wen'ti'xiao'shuo
三一律,san'yi'lv
桑巴舞,sang'ba'wu
丧乱诗,sang'luan'shi
骚体,sao'ti
骚体赋,sao'ti'fu
色彩,se'cai
色彩的变化规律,se'cai'de'bian'hua'gui'lv
色彩的对比,se'cai'de'dui'bi
色彩的感情,se'cai'de'gan'qing
色彩的个性,se'cai'de'ge'xing
色彩的和谐,se'cai'de'he'xie
色彩的基调,se'cai'de'ji'diao
色彩的重音,se'cai'de'zhong'yin
色彩构成,se'cai'gou'cheng
色调,se'diao
色调分离,se'diao'fen'li
色度,se'du
色粉画,se'fen'hua
色温,se'wen
色相,se'xiang
色性,se'xing
莎士比亚化,sha'shi'bi'ya'hua
陕北秧歌,shan'bei'yang'ge
善避善犯,shan'bi'shan'fan
山东快板,shan'dong'kuai'ban
山东秧歌,shan'dong'yang'ge
扇面,shan'mian
山水画,shan'shui'hua
山水记,shan'shui'ji
山有三远,shan'you'san'yuan
扇子功,shan'zi'gong
上场诗,shang'chang'shi
上官体,shang'guan'ti
赏鉴,shang'jian
商籁体,shang'lai'ti
上楼格,shang'lou'ge
商品装潢,shang'pin'zhuang'huang
商业建筑,shang'ye'jian'zhu
社会冲突说,she'hui'chong'tu'shuo
社会的批评,she'hui'de'pi'ping
社会主义现实主义,she'hui'zhu'yi'xian'shi'zhu'yi
设问,she'wen
摄影,she'ying
摄影的纪实性,she'ying'de'ji'shi'xing
摄影的瞬间性,she'ying'de'shun'jian'xing
摄影的选择性,she'ying'de'xuan'ze'xing
摄影的艺术风格,she'ying'de'yi'shu'feng'ge
摄影构图,she'ying'gou'tu
摄影美,she'ying'mei
摄影小说,she'ying'xiao'shuo
摄影艺术,she'ying'yi'shu
身边小说,shen'bian'xiao'shuo
深层审美心理,shen'ceng'shen'mei'xin'li
深度,shen'du
