暗撑,an'cheng
非标注构件,fei'biao'zhu'gou'jian
非承重墙,fei'cheng'zhong'qiang
非加密区,fei'jia'mi'qu
非抗震,fei'kang'zhen
非屏蔽多模光纤,fei'ping'bi'duo'mo'guang'xian
非燃烧体,fei'ran'shao'ti
废声,fei'sheng
沸石,fei'shi
非线性,fei'xian'xing
飞檐椽,fei'yan'chuan
肥皂架,fei'zao'jia
分贝,fen'bei
分布钢筋,fen'bu'gang'jin
分布筋,fen'bu'jin
分层夯实,fen'ceng'hang'shi
分格条,fen'ge'tiao
粉红噪声,fen'hong'zao'sheng
分流制排水系统,fen'liu'zhi'pai'shui'xi'tong
粉煤灰砖,fen'mei'hui'zhuan
酚醛树脂,fen'quan'shu'zhi
粉刷,fen'shua
粉土,fen'tu
粉土层,fen'tu'ceng
粉细砂,fen'xi'sha
粉线包,fen'xian'bao
分线盒,fen'xian'he
分线箱,fen'xian'xiang
分心槽,fen'xin'cao
分支电路,fen'zhi'dian'lu
分支分配器箱,fen'zhi'fen'pei'qi'xiang
粉质粘土,fen'zhi'nian'tu
粉质粘土层,fen'zhi'nian'tu'ceng
封闭楼梯,feng'bi'lou'ti
封闭楼梯间,feng'bi'lou'ti'jian
风管,feng'guan
风荷载,feng'he'zai
风机盘管空调系统,feng'ji'pan'guan'kong'tiao'xi'tong
风力发电机,feng'li'fa'dian'ji
丰满度,feng'man'du
风玫瑰图,feng'mei'gui'tu
风水学,feng'shui'xue
风向针,feng'xiang'zhen
风压,feng'ya
峰值因数,feng'zhi'yin'shu
佛座,fo'zuo
腹板,fu'ban
扶壁,fu'bi
附壁石,fu'bi'shi
扶壁式挡土墙,fu'bi'shi'dang'tu'qiang
腹地,fu'di
复合窗,fu'he'chuang
负荷分类,fu'he'fen'lei
复合箍,fu'he'gu
复合箍筋,fu'he'gu'jin
复合门,fu'he'men
复合墙,fu'he'qiang
负荷容量,fu'he'rong'liang
附恒,fu'heng
附加吊筋,fu'jia'diao'jin
附加箍筋,fu'jia'gu'jin
附加恒载,fu'jia'heng'zai
附加阻尼,fu'jia'zu'ni
副阶,fu'jie
副阶周匝,fu'jie'zhou'za
负筋,fu'jin
副景,fu'jing
敷设,fu'she
辐射采暖系统,fu'she'cai'nuan'xi'tong
辐射管道,fu'she'guan'dao
辐射阻抗,fu'she'zu'kang
覆土,fu'tu
附图,fu'tu
覆土建筑,fu'tu'jian'zhu
敷线,fu'xian
辅助光,fu'zhu'guang
辅助光源,fu'zhu'guang'yuan
辅助开关,fu'zhu'kai'guan
辅助设备,fu'zhu'she'bei
辅助设计,fu'zhu'she'ji
辅助照明,fu'zhu'zhao'ming
概算,gai'suan
盖瓦,gai'wa
改性沥青,gai'xing'li'qing
概预算,gai'yu'suan
杆高,gan'gao
干挂大理石,gan'gua'da'li'shi
干管,gan'guan
干砌石,gan'qi'shi
干式变压器,gan'shi'bian'ya'qi
干式通气管,gan'shi'tong'qi'guan
干式消防立管,gan'shi'xiao'fang'li'guan
干式预制装配构造,gan'shi'yu'zhi'zhuang'pei'gou'zao
干式自动喷水系统,gan'shi'zi'dong'pen'shui'xi'tong
干手器,gan'shou'qi
干缩,gan'suo
杆位,gan'wei
干线,gan'xian
干线电缆,gan'xian'dian'lan
感烟火灾探测器,gan'yan'huo'zai'tan'ce'qi
感应电动机,gan'ying'dian'dong'ji
感应线圈,gan'ying'xian'quan
感应效应,gan'ying'xiao'ying
干燥机,gan'zao'ji
干燥室,gan'zao'shi
甘蔗板,gan'zhe'ban
钢板,gang'ban
钢板剪力墙,gang'ban'jian'li'qiang
钢板网吊顶,gang'ban'wang'diao'ding
钢板网顶棚,gang'ban'wang'ding'peng
钢板网隔断,gang'ban'wang'ge'duan
钢板网抹灰,gang'ban'wang'mo'hui
钢板止水带,gang'ban'zhi'shui'dai
刚臂,gang'bi
钢材,gang'cai
钢材表,gang'cai'biao
刚才一览表,gang'cai'yi'lan'biao
刚度,gang'du
钢骨钢筋,gang'gu'gang'jin
钢骨混凝土,gang'gu'hun'ning'tu
钢管,gang'guan
钢管混凝土,gang'guan'hun'ning'tu
杠横,gang'heng
刚接,gang'jie
钢结构,gang'jie'gou
钢筋,gang'jin
钢筋混凝土,gang'jin'hun'ning'tu
钢筋混凝土工程,gang'jin'hun'ning'tu'gong'cheng
钢筋混凝土构件,gang'jin'hun'ning'tu'gou'jian
钢筋混凝土管,gang'jin'hun'ning'tu'guan
钢筋混凝土过梁,gang'jin'hun'ning'tu'guo'liang
钢筋混凝土剪力墙,gang'jin'hun'ning'tu'jian'li'qiang
钢筋混凝土结构,gang'jin'hun'ning'tu'jie'gou
钢筋混凝土梁,gang'jin'hun'ning'tu'liang
钢筋混凝土楼盖,gang'jin'hun'ning'tu'lou'gai
钢筋混凝土楼梯,gang'jin'hun'ning'tu'lou'ti
钢筋混凝土路面,gang'jin'hun'ning'tu'lu'mian
钢筋混凝土无梁楼盖,gang'jin'hun'ning'tu'wu'liang'lou'gai
钢筋混凝土烟囱,gang'jin'hun'ning'tu'yan'cong
钢筋加气混凝土过梁,gang'jin'jia'qi'hun'ning'tu'guo'liang
钢筋笼长度,gang'jin'long'chang'du
钢筋锚固长度,gang'jin'mao'gu'chang'du
钢筋砼,gang'jin'tong
钢筋网,gang'jin'wang
钢筋网片,gang'jin'wang'pian
钢筋直径,gang'jin'zhi'jing
钢筋砖过梁,gang'jin'zhuan'guo'liang
钢筋砖砌体,gang'jin'zhuan'qi'ti
钢梁,gang'liang
钢龙骨,gang'long'gu
钢楼梯,gang'lou'ti
钢门,gang'men
钢模,gang'mo
钢模板,gang'mu'ban
刚柔之争,gang'rou'zhi'zheng
钢丝绳,gang'si'sheng
钢丝刷,gang'si'shua
钢丝网隔断,gang'si'wang'ge'duan
钢铁厂,gang'tie'chang
钢砼,gang'tong
钢瓦下水道,gang'wa'xia'shui'dao
钢芯,gang'xin
钢芯铝线,gang'xin'lv'xian
钢芯铜线,gang'xin'tong'xian
刚性角,gang'xing'jiao
刚性连接,gang'xing'lian'jie
刚性梁,gang'xing'liang
刚重比,gang'zhong'bi
钢柱,gang'zhu
高标号水泥,gao'biao'hao'shui'ni
高标号水泥砂浆,gao'biao'hao'shui'ni'sha'jiang
高层公寓,gao'ceng'gong'yu
高层建筑混凝土结构技术规程,gao'ceng'jian'zhu'hun'ning'tu'jie'gou'ji'shu'gui'cheng
高层民用建筑设计防火规范,gao'ceng'min'yong'jian'zhu'she'ji'fang'huo'gui'fan
高层住宅,gao'ceng'zhu'zhai
高程,gao'cheng
高低压,gao'di'ya
高电压,gao'dian'ya
高分子材料,gao'fen'zi'cai'liao
高规,gao'gui
高宽比,gao'kuan'bi
高密度板,gao'mi'du'ban
高频焊接,gao'pin'han'jie
高频扬声器,gao'pin'yang'sheng'qi
高强螺栓,gao'qiang'luo'shuan
高水箱,gao'shui'xiang
高耸结构设计规范,gao'song'jie'gou'she'ji'gui'fan
高压变压器,gao'ya'bian'ya'qi
高压电缆,gao'ya'dian'lan
高压电源,gao'ya'dian'yuan
高压开关,gao'ya'kai'guan
高压开关板,gao'ya'kai'guan'ban
高压钠汽灯,gao'ya'na'qi'deng
高压配电盘,gao'ya'pei'dian'pan
高压水银灯,gao'ya'shui'yin'deng
高压线,gao'ya'xian
高压线圈,gao'ya'xian'quan
各层竖井内,ge'ceng'shu'jing'nei
隔断,ge'duan
隔断板,ge'duan'ban
隔火墙,ge'huo'qiang
隔火设施,ge'huo'she'shi
隔离病房,ge'li'bing'fang
隔离层,ge'li'ceng
隔离开关,ge'li'kai'guan
格片,ge'pian
格片散光罩,ge'pian'san'guang'zhao
隔墙,ge'qiang
隔墙封纸,ge'qiang'feng'zhi
隔墙轻龙骨,ge'qiang'qing'long'gu
隔墙线载,ge'qiang'xian'zai
隔热,ge're
隔热板,ge're'ban
隔热玻璃,ge're'bo'li
隔热材料,ge're'cai'liao
隔热层,ge're'ceng
隔热地板,ge're'di'ban
隔热混凝土,ge're'hun'ning'tu
隔热耐火材料,ge're'nai'huo'cai'liao
格栅,ge'shan
隔声层,ge'sheng'ceng
隔声垫,ge'sheng'dian
隔声工程,ge'sheng'gong'cheng
隔声量,ge'sheng'liang
隔声门,ge'sheng'men
隔声幕,ge'sheng'mu
隔声罩,ge'sheng'zhao
格形管,ge'xing'guan
隔音板,ge'yin'ban
隔音材料,ge'yin'cai'liao
隔音层,ge'yin'ceng
隔音混凝土,ge'yin'hun'ning'tu
隔音门,ge'yin'men
隔音墙,ge'yin'qiang
隔音室,ge'yin'shi
隔震,ge'zhen
隔震结构,ge'zhen'jie'gou
给水泵,gei'shui'beng
给水表,gei'shui'biao
给水管,gei'shui'guan
给水管线,gei'shui'guan'xian
给水立管,gei'shui'li'guan
艮岳,gen'yue
耕植土层,geng'zhi'tu'ceng
工程编号,gong'cheng'bian'hao
工程通知单,gong'cheng'tong'zhi'dan
宫灯,gong'deng
供电干线,gong'dian'gan'xian
供电回路,gong'dian'hui'lu
供电机组,gong'dian'ji'zu
供电系统,gong'dian'xi'tong
拱顶,gong'ding
公共安全事故,gong'gong'an'quan'shi'gu
公共照明,gong'gong'zhao'ming
公共走道,gong'gong'zou'dao
拱廊,gong'lang
公厘,gong'li
功率因数,gong'lv'yin'shu
功率因数补偿,gong'lv'yin'shu'bu'chang
工民建,gong'min'jian
功能分析,gong'neng'fen'xi
供暖系统,gong'nuan'xi'tong
供气管,gong'qi'guan
供气管道,gong'qi'guan'dao
供水干管,gong'shui'gan'guan
共用接地,gong'yong'jie'di
共用线,gong'yong'xian
共振,gong'zhen
共振吸收,gong'zhen'xi'shou
工字钢,gong'zi'gang
工字梁,gong'zi'liang
工字铁,gong'zi'tie
工作灯,gong'zuo'deng
工作电压,gong'zuo'dian'ya
工作电源,gong'zuo'dian'yuan
工作接地,gong'zuo'jie'di
勾缝,gou'feng
沟盖板,gou'gai'ban
构架安装,gou'jia'an'zhuang
构件,gou'jian
勾阑,gou'lan
钩栏,gou'lan
构造,gou'zao
构造边缘构件,gou'zao'bian'yuan'gou'jian
构造缝,gou'zao'feng
构造筋,gou'zao'jin
构造配筋,gou'zao'pei'jin
构造详图,gou'zao'xiang'tu
构筑物,gou'zhu'wu
固定百页窗,gu'ding'bai'ye'chuang
固定窗,gu'ding'chuang
固定件,gu'ding'jian
固定装置,gu'ding'zhuang'zhi
固定座位,gu'ding'zuo'wei
固端,gu'duan
鼓风机,gu'feng'ji
箍筋,gu'jin
骨料,gu'liao
鼓楼,gu'lou
孤赏石,gu'shang'shi
固体电路,gu'ti'dian'lu
固体声,gu'ti'sheng
箍头,gu'tou
鼓座,gu'zuo
挂板,gua'ban
瓜拱,gua'gong
瓜栱,gua'gong
挂镜线,gua'jing'xian
挂落,gua'luo
刮腻子,gua'ni'zi
挂墙,gua'qiang
挂锁,gua'suo
挂瓦条,gua'wa'tiao
瓜子栱,gua'zi'gong
管壁,guan'bi
管壁厚,guan'bi'hou
管道,guan'dao
管道安装,guan'dao'an'zhuang
管道保温,guan'dao'bao'wen
管道间,guan'dao'jian
管道井,guan'dao'jing
管道内底标高,guan'dao'nei'di'biao'gao
管道设计,guan'dao'she'ji
管道系统图,guan'dao'xi'tong'tu
管道消声,guan'dao'xiao'sheng
灌缝,guan'feng
管沟,guan'gou
管内敷线,guan'nei'fu'xian
管内径,guan'nei'jing
管钳,guan'qian
管钳子,guan'qian'zi
贯通,guan'tong
管外径,guan'wai'jing
管网综合,guan'wang'zong'he
管线,guan'xian
管线布置,guan'xian'bu'zhi
管线系统,guan'xian'xi'tong
管型熔断器,guan'xing'rong'duan'qi
灌注桩,guan'zhu'zhuang
管子吊架,guan'zi'diao'jia
管子箍,guan'zi'gu
管子托架,guan'zi'tuo'jia
光电池,guang'dian'chi
光电感烟探测器,guang'dian'gan'yan'tan'ce'qi
光电管,guang'dian'guan
光电控制,guang'dian'kong'zhi
光电控制装置,guang'dian'kong'zhi'zhuang'zhi
光电效应,guang'dian'xiao'ying
光度,guang'du
广角型灯具,guang'jiao'xing'deng'ju
光面钢筋,guang'mian'gang'jin
光敏开关,guang'min'kai'guan
光强,guang'qiang
光强分布曲线,guang'qiang'fen'bu'qu'xian
光束,guang'shu
光通量,guang'tong'liang
光通量法,guang'tong'liang'fa
光影,guang'ying
光源,guang'yuan
光照气候系数,guang'zhao'qi'hou'xi'shu
归档,gui'dang
轨道梁,gui'dao'liang
柜对角线,gui'dui'jiao'xian
硅钢片,gui'gang'pian
规划师,gui'hua'shi
圭角,gui'jiao
硅胶,gui'jiao
滚涂,gun'tu
过电流,guo'dian'liu
过电流保护,guo'dian'liu'bao'hu
过电流保护装置,guo'dian'liu'bao'hu'zhuang'zhi
过电流继电器,guo'dian'liu'ji'dian'qi
过电压,guo'dian'ya
过电压保护,guo'dian'ya'bao'hu
过街楼,guo'jie'lou
过梁,guo'liang
锅炉,guo'lu
锅炉给水泵,guo'lu'gei'shui'beng
锅炉间,guo'lu'jian
锅炉压力容器,guo'lu'ya'li'rong'qi
过滤层,guo'lv'ceng
过滤器,guo'lv'qi
过滤室,guo'lv'shi
过滤装置,guo'lv'zhuang'zhi
过载,guo'zai
过载保护,guo'zai'bao'hu
过载断路器,guo'zai'duan'lu'qi
过载继电器,guo'zai'ji'dian'qi
过载能力,guo'zai'neng'li
过载试验,guo'zai'shi'yan
哈斯效应,ha'si'xiao'ying
海墁天花,hai'man'tian'hua
颔版,han'ban
旱冰场,han'bing'chang
焊缝,han'feng
含钢量,han'gang'liang
焊剂,han'ji
焊接,han'jie
焊接车间,han'jie'che'jian
焊接钢管,han'jie'gang'guan
焊接钢结构,han'jie'gang'jie'gou
焊接钢筋,han'jie'gang'jin
焊接钢筋网,han'jie'gang'jin'wang
焊接管,han'jie'guan
含湿度,han'shi'du
含水度,han'shui'du
焊丝,han'si
焊锡,han'xi
焊油,han'you
夯扩桩,hang'kuo'zhuang
夯实,hang'shi
夯实回填土,hang'shi'hui'tian'tu
夯土墙,hang'tu'qiang
毫安,hao'an
耗电量,hao'dian'liang
毫克,hao'ke
毫米,hao'mi
毫秒,hao'miao
毫欧,hao'ou
毫升,hao'sheng
毫瓦,hao'wa
合成树脂溶液系涂料,he'cheng'shu'zhi'rong'ye'xi'tu'liao
合成橡胶系胶结剂,he'cheng'xiang'jiao'xi'jiao'jie'ji
核电站,he'dian'zhan
合金钢,he'jin'gang
合金管,he'jin'guan
阂留缝,he'liu'feng
和玺彩画,he'xi'cai'hua
核芯,he'xin
核心区,he'xin'qu
核心筒,he'xin'tong
核芯筒,he'xin'tong
合页,he'ye
合用线,he'yong'xian
荷载,he'zai
荷载代表值,he'zai'dai'biao'zhi
荷载导算,he'zai'dao'suan
荷载设计值,he'zai'she'ji'zhi
荷载输入,he'zai'shu'ru
荷载组合,he'zai'zu'he
赫兹,he'zi
合作设计,he'zuo'she'ji
黑金沙麻石,hei'jin'sha'ma'shi
黑铁管,hei'tie'guan
黑铁皮,hei'tie'pi
横断面,heng'duan'mian
横栱,heng'gong
横管弯曲度,heng'guan'wan'qu'du
恒荷载,heng'he'zai
桁架,heng'jia
桁架拱,heng'jia'gong
桁架框架,heng'jia'kuang'jia
横截面,heng'jie'mian
横筋,heng'jin
横槛,heng'kan
横梁,heng'liang
横明竖隐,heng'ming'shu'yin
横剖面,heng'pou'mian
恒温恒湿,heng'wen'heng'shi
恒温器,heng'wen'qi
恒温设备,heng'wen'she'bei
恒温室,heng'wen'shi
横向钢筋,heng'xiang'gang'jin
横向伸缩缝,heng'xiang'shen'suo'feng
横向疏散口,heng'xiang'shu'san'kou
恒压变压器,heng'ya'bian'ya'qi
横隐竖明,heng'yin'shu'ming
恒载,heng'zai
红丹漆,hong'dan'qi
烘手器,hong'shou'qi
红外线灯,hong'wai'xian'deng
虹吸喷射,hong'xi'pen'she
红线,hong'xian
厚壁管,hou'bi'guan
后处理,hou'chu'li
后浇带,hou'jiao'dai
后立面,hou'li'mian
后楼梯,hou'lou'ti
厚漆,hou'qi
后视图,hou'shi'tu
后填土,hou'tian'tu
后庭,hou'ting
后张法,hou'zhang'fa
护板,hu'ban
护壁,hu'bi
护耳器,hu'er'qi
弧光灯,hu'guang'deng
弧光灯照明,hu'guang'deng'zhao'ming
弧光聚光灯,hu'guang'ju'guang'deng
弧焊,hu'han
护坡,hu'po
护墙板,hu'qiang'ban
护套线,hu'tao'xian
户外厕所,hu'wai'ce'suo
华版,hua'ban
滑车,hua'che
滑道,hua'dao
花房,hua'fang
花岗石,hua'gang'shi
花岗石板,hua'gang'shi'ban
花岗石板地面,hua'gang'shi'ban'di'mian
花岗石面层,hua'gang'shi'mian'ceng
花岗岩,hua'gang'yan
花岗岩铺砌,hua'gang'yan'pu'qi
华拱,hua'gong
华栱,hua'gong
滑轨,hua'gui
花架椽,hua'jia'chuan
花篮螺丝,hua'lan'luo'si
滑轮,hua'lun
花色窗棂,hua'se'chuang'ling
滑梯,hua'ti
化学螺栓,hua'xue'luo'shuan
花牙子,hua'ya'zi
花牙子雀替,hua'ya'zi'que'ti
滑移,hua'yi
滑轴窗,hua'zhou'chuang
缓冲池,huan'chong'chi
幻灯,huan'deng
幻灯机,huan'deng'ji
环境气候,huan'jing'qi'hou
环境设计,huan'jing'she'ji
环境条件,huan'jing'tiao'jian
环境温度,huan'jing'wen'du
环境污染,huan'jing'wu'ran
环境噪声,huan'jing'zao'sheng
换流器,huan'liu'qi
换能器,huan'neng'qi
缓凝剂,huan'ning'ji
换气装置,huan'qi'zhuang'zhi
换填层,huan'tian'ceng
环形干管布置,huan'xing'gan'guan'bu'zhi
环行交叉,huan'xing'jiao'cha
环氧,huan'yang
环氧树脂,huan'yang'shu'zhi
环氧树脂胶,huan'yang'shu'zhi'jiao
环氧树脂系胶结剂,huan'yang'shu'zhi'xi'jiao'jie'ji
缓胀性,huan'zhang'xing
环状管网,huan'zhuang'guan'wang
黄金分割,huang'jin'fen'ge
黄石,huang'shi
黄铜,huang'tong
黄铜板,huang'tong'ban
黄铜垫圈,huang'tong'dian'quan
黄铜管,huang'tong'guan
黄铜套管,huang'tong'tao'guan
回风管道,hui'feng'guan'dao
回风管道系统,hui'feng'guan'dao'xi'tong
回风口,hui'feng'kou
回风系统,hui'feng'xi'tong
辉光,hui'guang
辉光灯,hui'guang'deng
辉光放电,hui'guang'fang'dian
回路,hui'lu
会签,hui'qian
回水干管,hui'shui'gan'guan
回水管,hui'shui'guan
回水立管,hui'shui'li'guan
回水系统,hui'shui'xi'tong
回弹,hui'tan
回弹再压缩,hui'tan'zai'ya'suo
回填,hui'tian
回填土,hui'tian'tu
灰土地面,hui'tu'di'mian
灰土夯实,hui'tu'hang'shi
会议室,hui'yi'shi
回音廊,hui'yin'lang
回转半径,hui'zhuan'ban'jing
混合阀,hun'he'fa
混合结构,hun'he'jie'gou
混凝土,hun'ning'tu
混凝土板,hun'ning'tu'ban
混凝土保护层,hun'ning'tu'bao'hu'ceng
混凝土标号,hun'ning'tu'biao'hao
混凝土窗台,hun'ning'tu'chuang'tai
混凝土地面,hun'ning'tu'di'mian
混凝土防火层,hun'ning'tu'fang'huo'ceng
混凝土灌缝,hun'ning'tu'guan'feng
混凝土规范,hun'ning'tu'gui'fan
混凝土过梁,hun'ning'tu'guo'liang
混凝土结构,hun'ning'tu'jie'gou
混凝土结构构造手册,hun'ning'tu'jie'gou'gou'zao'shou'ce
混凝土结构设计规范,hun'ning'tu'jie'gou'she'ji'gui'fan
混凝土路面版,hun'ning'tu'lu'mian'ban
混凝土面层,hun'ning'tu'mian'ceng
混凝土模板,hun'ning'tu'mu'ban
混凝土配筋,hun'ning'tu'pei'jin
混凝土砌块,hun'ning'tu'qi'kuai
混凝土砌块工程,hun'ning'tu'qi'kuai'gong'cheng
混凝土砌体,hun'ning'tu'qi'ti
混凝土墙,hun'ning'tu'qiang
混凝土一次浇灌,hun'ning'tu'yi'ci'jiao'guan
混凝土异形柱结构技术规范,hun'ning'tu'yi'xing'zhu'jie'gou'ji'shu'gui'fan
混凝土预埋件,hun'ning'tu'yu'mai'jian
混凝土找平层,hun'ning'tu'zhao'ping'ceng
混凝土柱子,hun'ning'tu'zhu'zi
混响时间,hun'xiang'shi'jian
火车站,huo'che'zhan
活荷载,huo'he'zai
火警报警,huo'jing'bao'jing
火警报警系统,huo'jing'bao'jing'xi'tong
火力发电站,huo'li'fa'dian'zhan
活门槛,huo'men'kan
活塞式冷水机,huo'sai'shi'leng'shui'ji
活载,huo'zai
火灾,huo'zai
火灾分类,huo'zai'fen'lei
火灾与爆炸,huo'zai'yu'bao'zha
火灾自动报警,huo'zai'zi'dong'bao'jing
火灾自动报警系统,huo'zai'zi'dong'bao'jing'xi'tong
基本风压,ji'ben'feng'ya
基本雪压,ji'ben'xue'ya
基本组合,ji'ben'zu'he
基层木龙骨,ji'ceng'mu'long'gu
基层清理,ji'ceng'qing'li
机场灯标,ji'chang'deng'biao
机场跑道,ji'chang'pao'dao
基础,ji'chu
基础底,ji'chu'di
基础顶,ji'chu'ding
基础内钢筋,ji'chu'nei'gang'jin
基础平面布置图,ji'chu'ping'mian'bu'zhi'tu
基础平面图,ji'chu'ping'mian'tu
基础图,ji'chu'tu
基床,ji'chuang
基床反力,ji'chuang'fan'li
基床反力系数,ji'chuang'fan'li'xi'shu
基底,ji'di
基底标高,ji'di'biao'gao
继电保护,ji'dian'bao'hu
继电器,ji'dian'qi
机房,ji'fang
机房层,ji'fang'ceng
积分球,ji'fen'qiu
脊傅,ji'fu
脊瓜柱,ji'gua'zhu
机毁人亡,ji'hui'ren'wang
计量,ji'liang
计量仪表,ji'liang'yi'biao
集料,ji'liao
给排水,ji'pai'shui
给排水图纸,ji'pai'shui'tu'zhi
给排水专业,ji'pai'shui'zhuan'ye
级配砂卵石垫层,ji'pei'sha'luan'shi'dian'ceng
基频,ji'pin
集水槽,ji'shui'cao
集水管,ji'shui'guan
集水坑,ji'shui'keng
机算,ji'suan
计算高度,ji'suan'gao'du
极限,ji'xian
极限开关,ji'xian'kai'guan
极限状态,ji'xian'zhuang'tai
机械工程师,ji'xie'gong'cheng'shi
机械连接,ji'xie'lian'jie
机械锚固,ji'xie'mao'gu
机械门锁,ji'xie'men'suo
机械排气通风系统,ji'xie'pai'qi'tong'feng'xi'tong
机械排烟系统,ji'xie'pai'yan'xi'tong
机械强度,ji'xie'qiang'du
机械设备,ji'xie'she'bei
机械送风,ji'xie'song'feng
机械通风,ji'xie'tong'feng
机械通风系统,ji'xie'tong'feng'xi'tong
计心造,ji'xin'zao
集中标注,ji'zhong'biao'zhu
集中供暖,ji'zhong'gong'nuan
集中供暖系统,ji'zhong'gong'nuan'xi'tong
集中空调,ji'zhong'kong'tiao
集中空调系统,ji'zhong'kong'tiao'xi'tong
集中排水,ji'zhong'pai'shui
集中制冷,ji'zhong'zhi'leng
集中制冷系统,ji'zhong'zhi'leng'xi'tong
夹层,jia'ceng
夹层螺栓,jia'ceng'luo'shuan
架傅,jia'fu
加工图,jia'gong'tu
加工详图,jia'gong'xiang'tu
加固件,jia'gu'jian
加建工程,jia'jian'gong'cheng
加劲,jia'jin
加劲板,jia'jin'ban
加劲肋,jia'jin'lei
夹景,jia'jing
家居布置图,jia'ju'bu'zhi'tu
架空线路,jia'kong'xian'lu
架立钢筋,jia'li'gang'jin
架立筋,jia'li'jin
加密区,jia'mi'qu
加气,jia'qi
加气混凝土,jia'qi'hun'ning'tu
加气混凝土板,jia'qi'hun'ning'tu'ban
加气混凝土隔墙,jia'qi'hun'ning'tu'ge'qiang
加气混凝土楼板,jia'qi'hun'ning'tu'lou'ban
加气块,jia'qi'kuai
加强带,jia'qiang'dai
假山,jia'shan
架设,jia'she
假石混凝土,jia'shi'hun'ning'tu
加湿器,jia'shi'qi
假石砌块,jia'shi'qi'kuai
夹芯板,jia'xin'ban
加压风机,jia'ya'feng'ji
加药间,jia'yao'jian
加腋,jia'ye
加腋梁,jia'ye'liang
家用冰箱,jia'yong'bing'xiang
家用热水器,jia'yong're'shui'qi
检测站,jian'ce'zhan
检查井,jian'cha'jing
检查井盖,jian'cha'jing'gai
检查孔,jian'cha'kong
剪刀撑,jian'dao'cheng
剪刀式楼梯,jian'dao'shi'lou'ti
监管工程师,jian'guan'gong'cheng'shi
碱含量,jian'han'liang
间接采暖,jian'jie'cai'nuan
监控安装,jian'kong'an'zhuang
剪跨比,jian'kua'bi
剪力,jian'li
剪力墙,jian'li'qiang
剪力栓钉,jian'li'shuan'ding
剪扭,jian'niu
剪切,jian'qie
剪切模量,jian'qie'mo'liang
剪切破坏,jian'qie'po'huai
剪切弹性模量,jian'qie'tan'xing'mo'liang
尖券,jian'quan
建设部令,jian'she'bu'ling
建设单位,jian'she'dan'wei
建设项目,jian'she'xiang'mu
建施,jian'shi
建施图,jian'shi'tu
减速器,jian'su'qi
简图,jian'tu
检修孔,jian'xiu'kong
减压,jian'ya
剪压比,jian'ya'bi
减压阀,jian'ya'fa
减压器,jian'ya'qi
简易机场,jian'yi'ji'chang
建造师,jian'zao'shi
减震,jian'zhen
减震结构,jian'zhen'jie'gou
减振器,jian'zhen'qi
减振室,jian'zhen'shi
简支,jian'zhi
简支端,jian'zhi'duan
减支桁架,jian'zhi'heng'jia
简支梁,jian'zhi'liang
剪重比,jian'zhong'bi
间柱,jian'zhu
建筑安全,jian'zhu'an'quan
建筑标准,jian'zhu'biao'zhun
建筑布置图,jian'zhu'bu'zhi'tu
建筑材料,jian'zhu'cai'liao
建筑材料表,jian'zhu'cai'liao'biao
建筑处理,jian'zhu'chu'li
建筑地基处理技术规范,jian'zhu'di'ji'chu'li'ji'shu'gui'fan
建筑地基基础设计规范,jian'zhu'di'ji'ji'chu'she'ji'gui'fan
减柱法,jian'zhu'fa
建筑防火,jian'zhu'fang'huo
建筑高度,jian'zhu'gao'du
建筑隔热,jian'zhu'ge're
建筑工程,jian'zhu'gong'cheng
建筑公司,jian'zhu'gong'si
建筑光学,jian'zhu'guang'xue
建筑规程,jian'zhu'gui'cheng
建筑规范,jian'zhu'gui'fan
建筑红线,jian'zhu'hong'xian
建筑结构荷载规范,jian'zhu'jie'gou'he'zai'gui'fan
建筑抗震设计规范,jian'zhu'kang'zhen'she'ji'gui'fan
建筑面积,jian'zhu'mian'ji
建筑模数,jian'zhu'mo'shu
建筑平面图,jian'zhu'ping'mian'tu
建筑剖面图,jian'zhu'pou'mian'tu
建筑气候学,jian'zhu'qi'hou'xue
建筑声学,jian'zhu'sheng'xue
建筑师,jian'zhu'shi
建筑条件,jian'zhu'tiao'jian
建筑隐喻,jian'zhu'yin'yu
建筑制图,jian'zhu'zhi'tu
建筑主体,jian'zhu'zhu'ti
建筑桩基技术规范,jian'zhu'zhuang'ji'ji'shu'gui'fan
建筑总面积,jian'zhu'zong'mian'ji
降板,jiang'ban
礓蹉,jiang'cuo
降压变压器,jiang'ya'bian'ya'qi
降噪系数,jiang'zao'xi'shu
搅拌桩,jiao'ban'zhuang
角背,jiao'bei
胶布,jiao'bu
绞车,jiao'che
交底,jiao'di
校对,jiao'dui
角钢,jiao'gang
浇灌,jiao'guan
脚光,jiao'guang
脚光聚光灯,jiao'guang'ju'guang'deng
角焊缝,jiao'han'feng
校核,jiao'he
胶合板,jiao'he'ban
胶合板门,jiao'he'ban'men
交换机,jiao'huan'ji
交角券,jiao'jiao'quan
铰接,jiao'jie
胶结剂,jiao'jie'ji
角筋,jiao'jin
铰链,jiao'lian
角梁,jiao'liang
交流电,jiao'liu'dian
交流电动机,jiao'liu'dian'dong'ji
交流电焊机,jiao'liu'dian'han'ji
交流电弧机,jiao'liu'dian'hu'ji
交流电路,jiao'liu'dian'lu
交流电压,jiao'liu'dian'ya
交流电源,jiao'liu'dian'yuan
交流电整流器,jiao'liu'dian'zheng'liu'qi
交流发电机,jiao'liu'fa'dian'ji
