阿,a
转阴易阳术,zhuan'yin'yi'yang'shu
专诸献鲈,zhuan'zhu'xian'lu
庄周梦蝶,zhuang'zhou'meng'die
捉月式,zhuo'yue'shi
紫府元宗,zi'fu'yuan'zong
紫面龙,zi'mian'long
自在娇莺恰恰啼,zi'zai'jiao'ying'qia'qia'ti
总不离胜负得失,zong'bu'li'sheng'fu'de'shi
纵横捭阖境,zong'heng'bai'he'jing
钻心蚀骨,zuan'xin'shi'gu
醉踢南山,zui'ti'nan'shan
左恨弱,zuo'hen'ruo
左元,zuo'yuan
