艾蒿,ai'hao
郁李,yu'li
羽毛枫,yu'mao'feng
羽纹藻,yu'wen'zao
鱼腥草,yu'xing'cao
鱼腥藻,yu'xing'zao
玉簪,yu'zan
玉竹,yu'zhu
元宝草,yuan'bao'cao
圆菱叶山蚂蝗,yuan'ling'ye'shan'ma'huang
鸢尾,yuan'wei
鸢尾科,yuan'wei'ke
圆叶景天,yuan'ye'jing'tian
圆叶鼠李,yuan'ye'shu'li
远志科,yuan'zhi'ke
圆锥绣球,yuan'zhui'xiu'qiu
月季花,yue'ji'hua
月牙藻,yue'ya'zao
云片柏,yun'pian'bai
云实,yun'shi
芸香科,yun'xiang'ke
皂荚,zao'jia
早竹,zao'zhu
蚤缀,zao'zhui
泽兰,ze'lan
泽泻,ze'xie
泽泻科,ze'xie'ke
樟科,zhang'ke
樟树,zhang'shu
掌叶半夏,zhang'ye'ban'xia
长叶鼠李,zhang'ye'shu'li
掌叶悬钩子,zhang'ye'xuan'gou'zi
浙江红花山茶,zhe'jiang'hong'hua'shan'cha
浙江柿,zhe'jiang'shi
浙江蝎子草,zhe'jiang'xie'zi'cao
柘树,zhe'shu
浙玄参,zhe'xuan'shen
针杆藻,zhen'gan'zao
针毛蕨,zhen'mao'jue
珍珠菜,zhen'zhu'cai
珍珠梅,zhen'zhu'mei
正木,zheng'mu
枳椇,zhi'ju
直立婆婆纳,zhi'li'po'po'na
直链藻,zhi'lian'zao
支柱蓼,zhi'zhu'liao
栀子,zhi'zi
重瓣红石榴,zhong'ban'hong'shi'liu
中华常春藤,zhong'hua'chang'chun'teng
中华繁缕,zhong'hua'fan'lv
中华胡枝子,zhong'hua'hu'zhi'zi
中华苦荬菜,zhong'hua'ku'mai'cai
周毛悬钩子,zhou'mao'xuan'gou'zi
皱皮木瓜,zhou'pi'mu'gua
皱皮苋,zhou'pi'xian
舟形藻,zhou'xing'zao
竹黄,zhu'huang
苎麻,zhu'ma
朱砂根,zhu'sha'gen
竹荪,zhu'sun
猪殃殃,zhu'yang'yang
竹叶椒,zhu'ye'jiao
竹叶眼子菜,zhu'ye'yan'zi'cai
砖子苗,zhuan'zi'miao
锥栗,zhui'li
紫草科,zi'cao'ke
紫弹树,zi'dan'shu
紫丁香,zi'ding'xiang
紫花八宝,zi'hua'ba'bao
紫花地丁,zi'hua'di'ding
紫花堇菜,zi'hua'jin'cai
紫花前胡,zi'hua'qian'hu
紫金牛,zi'jin'niu
紫金牛科,zi'jin'niu'ke
紫荆,zi'jing
紫茎芹,zi'jing'qin
紫茉莉,zi'mo'li
紫茉莉科,zi'mo'li'ke
紫楠,zi'nan
紫萍,zi'ping
紫萁,zi'qi
梓树,zi'shu
紫苏,zi'su
紫穗槐,zi'sui'huai
紫藤,zi'teng
紫万年青,zi'wan'nian'qing
紫薇,zi'wei
紫葳科,zi'wei'ke
紫竹观音竹,zi'zhu'guan'yin'zhu
棕科,zong'ke
棕榈,zong'lv
棕竹,zong'zhu
菹草,zu'cao
钻地风,zuan'di'feng
醉鱼草,zui'yu'cao
酢酱草,zuo'jiang'cao
柞木,zuo'mu
