阿拔斯一世,a'ba'si'yi'shi
西里西亚织工起义,xi'li'xi'ya'zhi'gong'qi'yi
希罗多德,xi'luo'duo'de
希洛人,xi'luo'ren
西山会议,xi'shan'hui'yi
西西里登陆,xi'xi'li'deng'lu
西西里奴隶起义,xi'xi'li'nu'li'qi'yi
西乡隆盛,xi'xiang'long'sheng
西亚中部,xi'ya'zhong'bu
西阵丝绸,xi'zhen'si'chou
限田限奴议,xian'tian'xian'nu'yi
线形文字,xian'xing'wen'zi
宪章运动,xian'zhang'yun'dong
相地而衰征,xiang'di'er'shuai'zheng
湘军,xiang'jun
孝德天皇,xiao'de'tian'huang
小野妹子,xiao'ye'mei'zi
小种经略相公,xiao'zhong'jing'lue'xiang'gong
协定关税,xie'ding'guan'shui
谢尔曼反托拉斯法,xie'er'man'fan'tuo'la'si'fa
邪马台国,xie'ma'tai'guo
谢斯起义,xie'si'qi'yi
新村主义,xin'cun'zhu'yi
新经济政策,xin'jing'ji'zheng'ce
新军,xin'jun
新民丛报,xin'min'cong'bao
新月沃地,xin'yue'wo'di
幸德秋水,xing'de'qiu'shui
醒狮派,xing'shi'pai
行宪国大,xing'xian'guo'da
匈牙利社会主义党,xiong'ya'li'she'hui'zhu'yi'dang
匈牙利苏维埃共和国,xiong'ya'li'su'wei'ai'gong'he'guo
修昔底德,xiu'xi'di'de
宣告破裂,xuan'gao'po'lie
血腥立法,xue'xing'li'fa
血战温泉关,xue'zhan'wen'quan'guan
亚琛条约,ya'chen'tiao'yue
亚当斯密,ya'dang'si'mi
雅尔塔会议,ya'er'ta'hui'yi
雅尔塔体制,ya'er'ta'ti'zhi
雅尔塔协定,ya'er'ta'xie'ding
雅各宾俱乐部,ya'ge'bin'ju'le'bu
雅各宾专政,ya'ge'bin'zhuan'zheng
亚历山大东征,ya'li'shan'da'dong'zheng
亚里斯多德,ya'li'si'duo'de
亚述帝国,ya'shu'di'guo
杨格计划,yang'ge'ji'hua
鸯迦,yang'jia
洋枪队,yang'qiang'dui
仰韶文化,yang'shao'wen'hua
耶稣会,ye'su'hui
意埃战争,yi'ai'zhan'zheng
伊本巴图塔,yi'ben'ba'tu'ta
伊本西拿,yi'ben'xi'na
伊凡四世,yi'fan'si'shi
伊丽莎白女王,yi'li'sha'bai'nv'wang
以美国为首的,yi'mei'guo'wei'shou'de
伊姆荷太普,yi'mu'he'tai'pu
伊姆霍特普,yi'mu'huo'te'pu
伊藤博文,yi'teng'bo'wen
一条鞭法,yi'tiao'bian'fa
印度民族大起义,yin'du'min'zu'da'qi'yi
银阁寺,yin'ge'si
印加田,yin'jia'tian
荫生,yin'sheng
英埃同盟条约,ying'ai'tong'meng'tiao'yue
英布战争,ying'bu'zhan'zheng
英德海军协定,ying'de'hai'jun'xie'ding
英法百年战争,ying'fa'bai'nian'zhan'zheng
英法苏三国谈判,ying'fa'su'san'guo'tan'pan
英格兰银行,ying'ge'lan'yin'hang
英国大宪章,ying'guo'da'xian'zhang
英国工党,ying'guo'gong'dang
英国国会,ying'guo'guo'hui
应仁之乱,ying'ren'zhi'luan
庸客,yong'ke
永乐大典,yong'le'da'dian
永业田,yong'ye'tian
友禅印染,you'chan'yin'ran
犹太复国主义,you'tai'fu'guo'zhu'yi
俞鸿钧,yu'hong'jun
羽蛇金字塔,yu'she'jin'zi'ta
豫湘桂,yu'xiang'gui
豫湘桂战役,yu'xiang'gui'zhan'yi
猿乐,yuan'le
月护王,yue'hu'wang
云梦秦简,yun'meng'qin'jian
扎克雷起义,zha'ke'lei'qi'yi
宅地法,zhai'di'fa
占领全境,zhan'ling'quan'jing
战略地位,zhan'lue'di'wei
战时共产主义,zhan'shi'gong'chan'zhu'yi
占田制,zhan'tian'zhi
占西女王,zhan'xi'nv'wang
战役战术,zhan'yi'zhan'shu
战争策源地,zhan'zheng'ce'yuan'di
张伯伦,zhang'bo'lun
张荩忱,zhang'jin'chen
张勋复辟,zhang'xun'fu'bi
珍宝岛,zhen'bao'dao
珍宝岛事件,zhen'bao'dao'shi'jian
贞德,zhen'de
真纳,zhen'na
珍珠港事件,zhen'zhu'gang'shi'jian
整理党务案,zheng'li'dang'wu'an
正义者同盟,zheng'yi'zhe'tong'meng
纸草,zhi'cao
制科,zhi'ke
中东铁路,zhong'dong'tie'lu
中美友好通商航海条约,zhong'mei'you'hao'tong'shang'hang'hai'tiao'yue
周髀算经,zhou'bi'suan'jing
周边国家,zhou'bian'guo'jia
轴心国,zhou'xin'guo
诸匠营,zhu'jiang'ying
朱拉隆功,zhu'la'long'gong
竹取物语,zhu'qu'wu'yu
竹书纪年,zhu'shu'ji'nian
资本主义萌芽,zi'ben'zhu'yi'meng'ya
谘议局,zi'yi'ju
自由大宪章,zi'you'da'xian'zhang
资政新篇,zi'zheng'xin'pian
资政院,zi'zheng'yuan
宗教裁判所,zong'jiao'cai'pan'suo
总理衙门,zong'li'ya'men
总体战,zong'ti'zhan
祖国光复会,zu'guo'guang'fu'hui
租借法,zu'jie'fa
足利义政,zu'li'yi'zheng
租庸调,zu'yong'diao
最终税册,zui'zhong'shui'ce
左塞王,zuo'sai'wang
