兵八进一,bing'ba'jin'yi
炮三退九,pao'san'tui'jiu
炮三退六,pao'san'tui'liu
炮三退七,pao'san'tui'qi
炮三退三,pao'san'tui'san
炮三退四,pao'san'tui'si
炮三退五,pao'san'tui'wu
炮三退一,pao'san'tui'yi
炮四进八,pao'si'jin'ba
炮四进二,pao'si'jin'er
炮四进九,pao'si'jin'jiu
炮四进六,pao'si'jin'liu
炮四进七,pao'si'jin'qi
炮四进三,pao'si'jin'san
炮四进四,pao'si'jin'si
炮四进五,pao'si'jin'wu
炮四进一,pao'si'jin'yi
炮四平八,pao'si'ping'ba
炮四平二,pao'si'ping'er
炮四平九,pao'si'ping'jiu
炮四平六,pao'si'ping'liu
炮四平七,pao'si'ping'qi
炮四平三,pao'si'ping'san
炮四平五,pao'si'ping'wu
炮四平一,pao'si'ping'yi
炮四退八,pao'si'tui'ba
炮四退二,pao'si'tui'er
炮四退九,pao'si'tui'jiu
炮四退六,pao'si'tui'liu
炮四退七,pao'si'tui'qi
炮四退三,pao'si'tui'san
炮四退四,pao'si'tui'si
炮四退五,pao'si'tui'wu
炮四退一,pao'si'tui'yi
炮五进八,pao'wu'jin'ba
炮五进二,pao'wu'jin'er
炮五进九,pao'wu'jin'jiu
炮五进六,pao'wu'jin'liu
炮五进七,pao'wu'jin'qi
炮五进三,pao'wu'jin'san
炮五进四,pao'wu'jin'si
炮五进五,pao'wu'jin'wu
炮五进一,pao'wu'jin'yi
炮五平八,pao'wu'ping'ba
炮五平二,pao'wu'ping'er
炮五平九,pao'wu'ping'jiu
炮五平六,pao'wu'ping'liu
炮五平七,pao'wu'ping'qi
炮五平三,pao'wu'ping'san
炮五平四,pao'wu'ping'si
炮五平一,pao'wu'ping'yi
炮五退八,pao'wu'tui'ba
炮五退二,pao'wu'tui'er
炮五退九,pao'wu'tui'jiu
炮五退六,pao'wu'tui'liu
炮五退七,pao'wu'tui'qi
炮五退三,pao'wu'tui'san
炮五退四,pao'wu'tui'si
炮五退五,pao'wu'tui'wu
炮五退一,pao'wu'tui'yi
炮一进八,pao'yi'jin'ba
炮一进二,pao'yi'jin'er
炮一进九,pao'yi'jin'jiu
炮一进六,pao'yi'jin'liu
炮一进七,pao'yi'jin'qi
炮一进三,pao'yi'jin'san
炮一进四,pao'yi'jin'si
炮一进五,pao'yi'jin'wu
炮一进一,pao'yi'jin'yi
炮一平八,pao'yi'ping'ba
炮一平二,pao'yi'ping'er
炮一平九,pao'yi'ping'jiu
炮一平六,pao'yi'ping'liu
炮一平七,pao'yi'ping'qi
炮一平三,pao'yi'ping'san
炮一平四,pao'yi'ping'si
炮一平五,pao'yi'ping'wu
炮一退八,pao'yi'tui'ba
炮一退二,pao'yi'tui'er
炮一退九,pao'yi'tui'jiu
炮一退六,pao'yi'tui'liu
炮一退七,pao'yi'tui'qi
炮一退三,pao'yi'tui'san
炮一退四,pao'yi'tui'si
炮一退五,pao'yi'tui'wu
炮一退一,pao'yi'tui'yi
前兵八进一,qian'bing'ba'jin'yi
前兵八平七,qian'bing'ba'ping'qi
前兵二进一,qian'bing'er'jin'yi
前兵二平三,qian'bing'er'ping'san
前兵进一,qian'bing'jin'yi
前兵九进一,qian'bing'jiu'jin'yi
前兵九平八,qian'bing'jiu'ping'ba
前兵六进一,qian'bing'liu'jin'yi
前兵六平七,qian'bing'liu'ping'qi
前兵六平五,qian'bing'liu'ping'wu
前兵平八,qian'bing'ping'ba
前兵平二,qian'bing'ping'er
前兵平九,qian'bing'ping'jiu
前兵平六,qian'bing'ping'liu
前兵平七,qian'bing'ping'qi
前兵平三,qian'bing'ping'san
前兵平四,qian'bing'ping'si
前兵平五,qian'bing'ping'wu
前兵平一,qian'bing'ping'yi
前兵七进一,qian'bing'qi'jin'yi
前兵七平八,qian'bing'qi'ping'ba
前兵七平六,qian'bing'qi'ping'liu
前兵三进一,qian'bing'san'jin'yi
前兵三平二,qian'bing'san'ping'er
前兵三平四,qian'bing'san'ping'si
前兵四进一,qian'bing'si'jin'yi
前兵四平三,qian'bing'si'ping'san
前兵四平五,qian'bing'si'ping'wu
前兵五进一,qian'bing'wu'jin'yi
前兵五平六,qian'bing'wu'ping'liu
前兵五平四,qian'bing'wu'ping'si
前兵一进一,qian'bing'yi'jin'yi
前兵一平二,qian'bing'yi'ping'er
前车进八,qian'che'jin'ba
前车进二,qian'che'jin'er
前车进六,qian'che'jin'liu
前车进七,qian'che'jin'qi
前车进三,qian'che'jin'san
前车进四,qian'che'jin'si
前车进五,qian'che'jin'wu
前车进一,qian'che'jin'yi
前车平八,qian'che'ping'ba
前车平二,qian'che'ping'er
前车平九,qian'che'ping'jiu
前车平六,qian'che'ping'liu
前车平七,qian'che'ping'qi
前车平三,qian'che'ping'san
前车平四,qian'che'ping'si
前车平五,qian'che'ping'wu
前车平一,qian'che'ping'yi
前车退八,qian'che'tui'ba
前车退二,qian'che'tui'er
前车退六,qian'che'tui'liu
前车退七,qian'che'tui'qi
前车退三,qian'che'tui'san
前车退四,qian'che'tui'si
前车退五,qian'che'tui'wu
前车退一,qian'che'tui'yi
前车进八,qian'ju'jin'ba
前车进二,qian'ju'jin'er
前车进六,qian'ju'jin'liu
前车进七,qian'ju'jin'qi
前车进三,qian'ju'jin'san
前车进四,qian'ju'jin'si
前车进五,qian'ju'jin'wu
前车进一,qian'ju'jin'yi
前车平八,qian'ju'ping'ba
前车平二,qian'ju'ping'er
前车平九,qian'ju'ping'jiu
前车平六,qian'ju'ping'liu
前车平七,qian'ju'ping'qi
前车平三,qian'ju'ping'san
前车平四,qian'ju'ping'si
前车平五,qian'ju'ping'wu
前车平一,qian'ju'ping'yi
前车退八,qian'ju'tui'ba
前车退二,qian'ju'tui'er
前车退六,qian'ju'tui'liu
前车退七,qian'ju'tui'qi
前车退三,qian'ju'tui'san
前车退四,qian'ju'tui'si
前车退五,qian'ju'tui'wu
前车退一,qian'ju'tui'yi
前马进八,qian'ma'jin'ba
前马进二,qian'ma'jin'er
前马进九,qian'ma'jin'jiu
前马进六,qian'ma'jin'liu
前马进七,qian'ma'jin'qi
前马进三,qian'ma'jin'san
前马进四,qian'ma'jin'si
前马进五,qian'ma'jin'wu
前马进一,qian'ma'jin'yi
前马退八,qian'ma'tui'ba
前马退二,qian'ma'tui'er
前马退九,qian'ma'tui'jiu
前马退六,qian'ma'tui'liu
前马退七,qian'ma'tui'qi
前马退三,qian'ma'tui'san
前马退四,qian'ma'tui'si
前马退五,qian'ma'tui'wu
前马退一,qian'ma'tui'yi
前炮进八,qian'pao'jin'ba
前炮进二,qian'pao'jin'er
前炮进六,qian'pao'jin'liu
前炮进七,qian'pao'jin'qi
前炮进三,qian'pao'jin'san
前炮进四,qian'pao'jin'si
前炮进五,qian'pao'jin'wu
前炮进一,qian'pao'jin'yi
前炮平八,qian'pao'ping'ba
前炮平二,qian'pao'ping'er
前炮平九,qian'pao'ping'jiu
前炮平六,qian'pao'ping'liu
前炮平七,qian'pao'ping'qi
前炮平三,qian'pao'ping'san
前炮平四,qian'pao'ping'si
前炮平五,qian'pao'ping'wu
前炮平一,qian'pao'ping'yi
前炮退八,qian'pao'tui'ba
前炮退二,qian'pao'tui'er
前炮退九,qian'pao'tui'jiu
前炮退六,qian'pao'tui'liu
前炮退七,qian'pao'tui'qi
前炮退三,qian'pao'tui'san
前炮退四,qian'pao'tui'si
前炮退五,qian'pao'tui'wu
前炮退一,qian'pao'tui'yi
三兵进一,san'bing'jin'yi
三兵平八,san'bing'ping'ba
三兵平二,san'bing'ping'er
三兵平九,san'bing'ping'jiu
三兵平六,san'bing'ping'liu
三兵平七,san'bing'ping'qi
三兵平三,san'bing'ping'san
三兵平四,san'bing'ping'si
三兵平五,san'bing'ping'wu
三兵平一,san'bing'ping'yi
仕六进五,shi'liu'jin'wu
仕六退五,shi'liu'tui'wu
仕四进五,shi'si'jin'wu
仕四退五,shi'si'tui'wu
仕五进六,shi'wu'jin'liu
仕五进四,shi'wu'jin'si
仕五退六,shi'wu'tui'liu
仕五退四,shi'wu'tui'si
帅六进一,shuai'liu'jin'yi
帅六平五,shuai'liu'ping'wu
帅六退一,shuai'liu'tui'yi
帅四进一,shuai'si'jin'yi
帅四平五,shuai'si'ping'wu
帅四退一,shuai'si'tui'yi
帅五进一,shuai'wu'jin'yi
帅五平六,shuai'wu'ping'liu
帅五平四,shuai'wu'ping'si
帅五退一,shuai'wu'tui'yi
四兵进一,si'bing'jin'yi
四兵平八,si'bing'ping'ba
四兵平二,si'bing'ping'er
四兵平九,si'bing'ping'jiu
四兵平六,si'bing'ping'liu
四兵平七,si'bing'ping'qi
四兵平三,si'bing'ping'san
四兵平四,si'bing'ping'si
四兵平五,si'bing'ping'wu
四兵平一,si'bing'ping'yi
相九进七,xiang'jiu'jin'qi
相九退七,xiang'jiu'tui'qi
相七进九,xiang'qi'jin'jiu
相七进五,xiang'qi'jin'wu
相七退九,xiang'qi'tui'jiu
相七退五,xiang'qi'tui'wu
相三进五,xiang'san'jin'wu
相三进一,xiang'san'jin'yi
相三退五,xiang'san'tui'wu
相三退一,xiang'san'tui'yi
相五进七,xiang'wu'jin'qi
相五进三,xiang'wu'jin'san
相五退七,xiang'wu'tui'qi
相五退三,xiang'wu'tui'san
相一进三,xiang'yi'jin'san
相一退三,xiang'yi'tui'san
中兵进一,zhong'bing'jin'yi
中兵平八,zhong'bing'ping'ba
中兵平二,zhong'bing'ping'er
中兵平九,zhong'bing'ping'jiu
中兵平六,zhong'bing'ping'liu
中兵平七,zhong'bing'ping'qi
中兵平三,zhong'bing'ping'san
中兵平四,zhong'bing'ping'si
中兵平五,zhong'bing'ping'wu
中兵平一,zhong'bing'ping'yi
