阿阿达达,a'a'da'da
名都广场,ming'du'guang'chang
莫摆,mo'bai
摸到过世,mo'dao'guo'shi
摩的,mo'di
莫革,mo'ge
莫管,mo'guan
莫哭,mo'ku
莫来,mo'lai
摸眯眼,mo'mi'yan
摸拧,mo'ning
莫恰,mo'qia
莫去,mo'qu
莫勺,mo'shao
莫涛,mo'tao
莫哇,mo'wa
墨乌,mo'wu
墨乌旗却,mo'wu'qi'que
墨乌旗却里,mo'wu'qi'que'li
墨乌日拾,mo'wu'ri'shi
墨乌日拾里,mo'wu'ri'shi'li
莫笑,mo'xiao
莫醒,mo'xing
莫徐,mo'xu
摸痒,mo'yang
摸阳工,mo'yang'gong
莫要,mo'yao
磨衣豆腐,mo'yi'dou'fu
谋梦,mou'meng
谋仔来个,mou'zai'lai'ge
木鳖,mu'bie
木老仔戏,mu'lao'zai'xi
木拧,mu'ning
木软,mu'ruan
木子,mu'zi
那架里,na'jia'li
哪拧,na'ning
哪拧得消,na'ning'de'xiao
哪弄,na'nong
奶夹仔,nai'jia'zai
奶娘,nai'niang
奶崽,nai'zai
奶猪仔,nai'zhu'zai
男不男女不女,nan'bu'nan'nv'bu'nv
南村,nan'cun
南门花园,nan'men'hua'yuan
男子拧,nan'zi'ning
脑石石,nao'shi'shi
能干,neng'gan
泥饼,ni'bing
泥刮刮,ni'gua'gua
你哇,ni'wa
泥无刀答,ni'wu'dao'da
年冒送节冒送,nian'mao'song'jie'mao'song
撵闲,nian'xian
年子,nian'zi
娘娘腔,niang'niang'qiang
娘物里,niang'wu'li
娘子拧,niang'zi'ning
尿勺,niao'shao
捏仔,nie'zai
拧吓拧吓死拧,ning'xia'ning'xia'si'ning
拧仔会格死里,ning'zai'hui'ge'si'li
牛逼,niu'bi
牛姑,niu'gu
牛栏粪,niu'lan'fen
牛栏蜂,niu'lan'feng
牛婆,niu'po
牛田,niu'tian
农贸市场,nong'mao'shi'chang
暖活,nuan'huo
女客,nv'ke
女仔,nv'zai
女仔拧里,nv'zai'ning'li
哦哦爆,o'o'bao
哦哟,o'yo
呕百拧,ou'bai'ning
呕死,ou'si
呕死户浓,ou'si'hu'nong
怕鬼,pa'gui
爬泥,pa'ni
怕死,pa'si
排场,pai'chang
派饭恰,pai'fan'qia
排排衣裳,pai'pai'yi'shang
排上,pai'shang
排石骨,pai'shi'gu
排牙,pai'ya
盼颈,pan'jing
盼年货,pan'nian'huo
旁旁仔,pang'pang'zai
炮打个,pao'da'ge
泡脚,pao'jiao
泡泡仔,pao'pao'zai
呸臭,pei'chou
呸脚起来,pei'jiao'qi'lai
呸馊,pei'sou
喷出来里,pen'chu'lai'li
喷棉花球,pen'mian'hua'qiu
皮包,pi'bao
批柴,pi'chai
皮袋仔,pi'dai'zai
屁话,pi'hua
屁拧王,pi'ning'wang
屁拧王蜂,pi'ning'wang'feng
皮弄弄,pi'nong'nong
屁时,pi'shi
屁时跌鼓,pi'shi'die'gu
批窝,pi'wo
皮仔,pi'zai
皮仔剐冒去,pi'zai'gua'mao'qu
嫖客,piao'ke
嫖娘子拧,piao'niang'zi'ning
平出,ping'chu
平伙,ping'huo
坪上,ping'shang
泼水泥,po'shui'ni
菩萨打,pu'sa'da
菩萨冒眼,pu'sa'mao'yan
扑沙巴,pu'sha'ba
菩丝莽莽,pu'si'mang'mang
七灯火,qi'deng'huo
起够,qi'gou
气尖柴,qi'jian'chai
气里腹根仔痛个,qi'li'fu'gen'zai'tong'ge
气里会吊颈,qi'li'hui'diao'jing
起泡,qi'pao
气瓶,qi'ping
七七跌,qi'qi'die
起去,qi'qu
气死庄,qi'si'zhuang
气痛个腹,qi'tong'ge'fu
七头姑,qi'tou'gu
七头弯,qi'tou'wan
起子,qi'zi
起走,qi'zou
恰饱,qia'bao
恰饱里,qia'bao'li
恰剥削,qia'bo'xue
恰得,qia'de
恰的,qia'de
恰的开,qia'de'kai
恰得住,qia'de'zhu
恰的住,qia'de'zhu
恰抖子钱,qia'dou'zi'qian
恰饭,qia'fan
恰粉,qia'fen
恰红,qia'hong
恰记里,qia'ji'li
恰价,qia'jia
恰酒,qia'jiu
恰亏,qia'kui
恰亏落当,qia'kui'luo'dang
恰里,qia'li
恰里饭啦冒,qia'li'fan'la'mao
恰里控碗,qia'li'kong'wan
恰里冒事,qia'li'mao'shi
恰里冒腌足,qia'li'mao'yan'zu
恰马不住,qia'ma'bu'zhu
恰面,qia'mian
恰呕里,qia'ou'li
恰去杀,qia'qu'sha
恰去死,qia'qu'si
恰软,qia'ruan
恰勺,qia'shao
恰死个亏,qia'si'ge'kui
恰汤,qia'tang
恰烟,qia'yan
恰药,qia'yao
恰斋,qia'zhai
恰竹笋仔,qia'zhu'sun'zai
钳巴鬼瘦,qian'ba'gui'shou
钳巴鬼瘦里,qian'ba'gui'shou'li
浅倒来打,qian'dao'lai'da
牵爹,qian'die
倩井,qian'jing
牵娘,qian'niang
牵女,qian'nv
前坪路,qian'ping'lu
倩气,qian'qi
千是千,qian'shi'qian
铅子,qian'zi
抢死,qiang'si
桥皮,qiao'pi
敲硬,qiao'ying
茄里,qie'li
亲亲吓吓,qin'qin'xia'xia
亲亲吓吓里,qin'qin'xia'xia'li
青根,qing'gen
轻骨头,qing'gu'tou
请嫁女酒,qing'jia'nv'jiu
请结婚酒,qing'jie'hun'jiu
青剌仔,qing'la'zai
青面甲甲,qing'mian'jia'jia
青面獠牙,qing'mian'liao'ya
轻皮后生,qing'pi'hou'sheng
青皮后生,qing'pi'hou'sheng
青起个面来,qing'qi'ge'mian'lai
请死,qing'si
清汤,qing'tang
请新拧,qing'xin'ning
青子,qing'zi
穷光,qiong'guang
穷光板,qiong'guang'ban
穷毛,qiong'mao
秋母,qiu'mu
去归,qu'gui
去货,qu'huo
去瞌,qu'ke
去里货,qu'li'huo
去死,qu'si
去物里,qu'wu'li
圈姑,quan'gu
缺称,que'cheng
缺牙,que'ya
缺牙体,que'ya'ti
缺嘴,que'zui
热水壶,re'shui'hu
认得,ren'de
日候,ri'hou
日候姑,ri'hou'gu
日夜无形,ri'ye'wu'xing
肉圆,rou'yuan
软拧,ruan'ning
软事,ruan'shi
软样,ruan'yang
若干,ruo'gan
赛饭,sai'fan
赛酒,sai'jiu
三岔路口,san'cha'lu'kou
散嫁,san'jia
散架,san'jia
散见面礼,san'jian'mian'li
三三野野,san'san'ye'ye
三音机,san'yin'ji
扫场事,sao'chang'shi
嫂嫂,sao'sao
扫细,sao'xi
扫仔,sao'zai
杀打,sha'da
杀打个,sha'da'ge
杀鬼,sha'gui
杀鬼个,sha'gui'ge
沙荒,sha'huang
杀青,sha'qing
晒谷,shai'gu
筛酒,shai'jiu
山茄,shan'qie
山山野野,shan'shan'ye'ye
扇瓮菜水,shan'weng'cai'shui
扇着火来,shan'zhao'huo'lai
闪子,shan'zi
商贸城,shang'mao'cheng
上谱,shang'pu
上上屋,shang'shang'wu
赏石,shang'shi
伤灾,shang'zai
伤灾个,shang'zai'ge
烧机腹,shao'ji'fu
烧酒,shao'jiu
勺起个揪来里,shao'qi'ge'jiu'lai'li
勺起个苋菜水来里,shao'qi'ge'xian'cai'shui'lai'li
勺死,shao'si
烧窑,shao'yao
勺仔,shao'zai
勺仔饼,shao'zai'bing
折本,she'ben
蛇懒仔会捉蛤蟆恰,she'lan'zai'hui'zhuo'ha'ma'qia
蛇弄蛇鬼弄鬼,she'nong'she'gui'nong'gui
射牙,she'ya
射牙猪姑,she'ya'zhu'gu
神精病,shen'jing'bing
神栏老上,shen'lan'lao'shang
神王,shen'wang
神王壳肚,shen'wang'ke'du
省剁,sheng'duo
生埋,sheng'mai
生埋死窖,sheng'mai'si'jiao
生念死念,sheng'nian'si'nian
省恰,sheng'qia
省恰省剁死仔软错,sheng'qia'sheng'duo'si'zai'ruan'cuo
生蛆,sheng'qu
生蛆滚龙,sheng'qu'gun'long
生崽,sheng'zai
时航里,shi'hang'li
时加,shi'jia
石加,shi'jia
屎窖,shi'jiao
拾绝,shi'jue
石马刀,shi'ma'dao
石女,shi'nv
石琪玛,shi'qi'ma
收谷,shou'gu
手姑老,shou'gu'lao
手脚快,shou'jiao'kuai
手球,shou'qiu
收衣裳,shou'yi'shang
暑打个,shu'da'ge
输绝里,shu'jue'li
输冒里,shu'mao'li
梳脑,shu'nao
熟肉,shu'rou
暑瞎,shu'xia
暑瞎底,shu'xia'di
刷里,shua'li
双级号,shuang'ji'hao
水打个,shui'da'ge
水花莲,shui'hua'lian
死宝,si'bao
死出去,si'chu'qu
死鸡落壳里,si'ji'luo'ke'li
四加,si'jia
死脚鱼,si'jiao'yu
死绝面皮,si'jue'mian'pi
死绝拧相,si'jue'ning'xiang
死开,si'kai
死开及,si'kai'ji
死老,si'lao
死老埋老,si'lao'mai'lao
死皮戴眼,si'pi'dai'yan
死气,si'qi
思起个板丁来,si'qi'ge'ban'ding'lai
思起个牙体来,si'qi'ge'ya'ti'lai
死起个眼来,si'qi'ge'yan'lai
死台楼高里,si'tai'lou'gao'li
死歇鬼,si'xie'gui
死行开,si'xing'kai
死眼王行,si'yan'wang'xing
死仔楼高里,si'zai'lou'gao'li
送饭,song'fan
送嫁,song'jia
嗦皮剌子,suo'pi'la'zi
锁匙,suo'shi
他谷,ta'gu
台来死,tai'lai'si
弹棉花,tan'mian'hua
糖搞水,tang'gao'shui
烫歌仔,tang'ge'zai
糖瓜仔,tang'gua'zai
汤锅仔,tang'guo'zai
汤拧,tang'ning
汤拧婆,tang'ning'po
糖心嘎嘎,tang'xin'ga'ga
涛鬼,tao'gui
涛很,tao'hen
涛你请死,tao'ni'qing'si
涛菩萨,tao'pu'sa
涛天,tao'tian
涛瞎仔,tao'xia'zai
提出去,ti'chu'qu
提篮仔,ti'lan'zai
提水,ti'shui
天光里,tian'guang'li
田坎,tian'kan
田离仔,tian'li'zai
天上,tian'shang
天上跌下来,tian'shang'die'xia'lai
天上会跌下来,tian'shang'hui'die'xia'lai
天上恰,tian'shang'qia
田神,tian'shen
天晓得,tian'xiao'de
跳黄,tiao'huang
同剁裤,tong'duo'ku
同剁皮裤,tong'duo'pi'ku
同麻,tong'ma
同年,tong'nian
同年拧,tong'nian'ning
同恰同住,tong'qia'tong'zhu
痛眼,tong'yan
头世造多个恶,tou'shi'zao'duo'ge'e
头世造恶,tou'shi'zao'e
头世做过来,tou'shi'zuo'guo'lai
土管局,tu'guan'ju
土鸡嘎嘎,tu'ji'ga'ga
土家路,tu'jia'lu
拖米死漆,tuo'mi'si'qi
哇不出,wa'bu'chu
哇不当,wa'bu'dang
哇不得,wa'bu'de
哇个,wa'ge
挖窖,wa'jiao
哇老婆,wa'lao'po
哇里是,wa'li'shi
哇事,wa'shi
挖笋,wa'sun
哇习个,wa'xi'ge
哇习里,wa'xi'li
歪歪却却,wai'wai'que'que
歪歪却却里,wai'wai'que'que'li
豌豆子,wan'dou'zi
万家福超市,wan'jia'fu'chao'shi
万联,wan'lian
万是万,wan'shi'wan
玩子,wan'zi
王比比,wang'bi'bi
王病,wang'bing
王蜂,wang'feng
王蜂搜,wang'feng'sou
王狗仔,wang'gou'zai
王鳅,wang'qiu
王三,wang'san
王土岭,wang'tu'ling
王土落当里,wang'tu'luo'dang'li
望仙,wang'xian
王行,wang'xing
王眼柴,wang'yan'chai
味加,wei'jia
卫生夹不兰,wei'sheng'jia'bu'lan
文豆腐,wen'dou'fu
问花水,wen'hua'shui
瘟鸡鬼,wen'ji'gui
瘟拿个,wen'na'ge
温温射射,wen'wen'she'she
温温射射里,wen'wen'she'she'li
文猪肉,wen'zhu'rou
唔摆,wu'bai
屋背,wu'bei
唔敢,wu'gan
唔记得,wu'ji'de
唔加,wu'jia
乌老,wu'lao
屋老上,wu'lao'shang
乌老笋,wu'lao'sun
物里,wu'li
唔妹,wu'mei
唔妹生裳拧,wu'mei'sheng'shang'ning
唔哦,wu'o
唔去,wu'qu
乌水痣,wu'shui'zhi
唔拖,wu'tuo
唔晓得,wu'xiao'de
乌腌菜,wu'yan'cai
唔要,wu'yao
唔要面皮,wu'yao'mian'pi
物仔,wu'zai
洗抚端,xi'fu'duan
习个,xi'ge
细灰,xi'hui
细加里,xi'jia'li
洗脚,xi'jiao
习里,xi'li
洗面,xi'mian
洗面巾,xi'mian'jin
洗脑,xi'nao
细脑,xi'nao
洗脑油,xi'nao'you
细拧,xi'ning
细拧里,xi'ning'li
息气,xi'qi
细茄,xi'qie
洗手,xi'shou
细碗,xi'wan
习习勺勺,xi'xi'shao'shao
戏新妇,xi'xin'fu
洗牙体,xi'ya'ti
洗衣裳,xi'yi'shang
息子,xi'zi
息子仔,xi'zi'zai
下丢街,xia'diu'jie
下坑,xia'keng
下门,xia'men
下石脚,xia'shi'jiao
吓死气,xia'si'qi
吓死庄,xia'si'zhuang
瞎仔,xia'zai
吓仔死,xia'zai'si
下作,xia'zuo
嫌死里,xian'si'li
鲜碗,xian'wan
现细,xian'xi
现洋,xian'yang
象山农贸市场,xiang'shan'nong'mao'shi'chang
象山桥,xiang'shan'qiao
巷仔里,xiang'zai'li
小车子,xiao'che'zi
晓得,xiao'de
晓堂丝,xiao'tang'si
小样,xiao'yang
笑燥,xiao'zao
小子,xiao'zi
泻腹,xie'fu
协光,xie'guang
新车站,xin'che'zhan
新二中,xin'er'zhong
新妇,xin'fu
新个,xin'ge
新拧,xin'ning
新物里,xin'wu'li
行不赢,xing'bu'ying
行开,xing'kai
行路,xing'lu
醒拧,xing'ning
醒死里,xing'si'li
行往,xing'wang
醒仔,xing'zai
修马路,xiu'ma'lu
徐徐哭哭,xu'xu'ku'ku
学打,xue'da
雪花糕,xue'hua'gao
雪菩萨,xue'pu'sa
雪子,xue'zi
呀哈,ya'ha
牙体,ya'ti
鸭子,ya'zi
鸭子嘎嘎,ya'zi'ga'ga
盐包,yan'bao
腌菜,yan'cai
演狗屎文,yan'gou'shi'wen
眼鼓鼓,yan'gu'gu
沿河路,yan'he'lu
盐鸡老鼠,yan'ji'lao'shu
演假文,yan'jia'wen
眼睛血出,yan'jing'xue'chu
演排场,yan'pai'chang
眼屎故脚里,yan'shi'gu'jiao'li
眼痛,yan'tong
演文,yan'wen
眼温眼射,yan'wen'yan'she
眼温眼射里,yan'wen'yan'she'li
眼西,yan'xi
眼西色色落,yan'xi'se'se'luo
盐癣,yan'xuan
研子,yan'zi
扬不扬土不土,yang'bu'yang'tu'bu'tu
样个,yang'ge
洋活,yang'huo
洋鸡嘎嘎,yang'ji'ga'ga
羊家岭,yang'jia'ling
羊毛衫,yang'mao'shan
洋泡,yang'pao
洋气,yang'qi
羊思龙,yang'si'long
妖怪精,yao'guai'jing
妖里妖气,yao'li'yao'qi
妖里妖气里,yao'li'yao'qi'li
要你扁就扁要你圆就圆,yao'ni'bian'jiu'bian'yao'ni'yuan'jiu'yuan
夜饭,ye'fan
夜街,ye'jie
夜里,ye'li
爷皮耳子,ye'pi'er'zi
叶叶饼,ye'ye'bing
夜夜是里,ye'ye'shi'li
一二一,yi'er'yi
一股子软劲,yi'gu'zi'ruan'jin
一管嘴冒形,yi'guan'zui'mao'xing
姨婆,yi'po
一是,yi'shi
一是冒,yi'shi'mao
一是有,yi'shi'you
姨呀,yi'ya
一子桩,yi'zi'zhuang
硬撑,ying'cheng
映交红,ying'jiao'hong
硬劲,ying'jin
硬青,ying'qing
硬醒,ying'xing
硬轧,ying'ya
油灿子,you'can'zi
有个老来的,you'ge'lao'lai'de
油荤,you'hun
油及达刮里,you'ji'da'gua'li
油夹,you'jia
油焦,you'jiao
游老爷,you'lao'ye
油麻坑,you'ma'keng
有钱拧,you'qian'ning
柚柚,you'you
油抓下,you'zhua'xia
芋老,yu'lao
鱼龙子,yu'long'zi
芋子,yu'zi
圆工,yuan'gong
圆绳,yuan'sheng
圆绳吊井,yuan'sheng'diao'jing
原水笔,yuan'shui'bi
月月公,yue'yue'gong
杂交,za'jiao
杂口,za'kou
栽菜,zai'cai
灾打个,zai'da'ge
灾鬼,zai'gui
灾归猪肉,zai'gui'zhu'rou
栽禾,zai'he
栽辣椒,zai'la'jiao
崽里,zai'li
崽里头子,zai'li'tou'zi
早啊来里,zao'a'lai'li
灶背,zao'bei
遭饼,zao'bing
造恶,zao'e
早及,zao'ji
灶鸡,zao'ji
早街,zao'jie
灶前,zao'qian
遭瘟,zao'wen
遭灾,zao'zai
造罪,zao'zui
则妈,ze'ma
则鱼仔,ze'yu'zai
择菜,zhai'cai
摘细钱,zhai'xi'qian
摘杨梅,zhai'yang'mei
斩草,zhan'cao
粘拧,zhan'ning
斩硬劲,zhan'ying'jin
斩猪草,zhan'zhu'cao
丈拧,zhang'ning
丈拧婆,zhang'ning'po
涨水,zhang'shui
招携,zhao'xie
折扁,zhe'bian
折瞌,zhe'ke
折面子,zhe'mian'zi
折拖憨瞌,zhe'tuo'han'ke
遮羞费,zhe'xiu'fei
真个,zhen'ge
针鬼老,zhen'gui'lao
真加,zhen'jia
真加会死,zhen'jia'hui'si
真加死装,zhen'jia'si'zhuang
真加要命,zhen'jia'yao'ming
竹床,zhu'chuang
煮汤,zhu'tang
竹椅凳,zhu'yi'deng
装灯,zhuang'deng
装鬼叫,zhuang'gui'jiao
装模作样,zhuang'mo'zuo'yang
装模作样里,zhuang'mo'zuo'yang'li
撞墙,zhuang'qiang
装死,zhuang'si
装死个,zhuang'si'ge
壮洗,zhuang'xi
追绝来冬,zhui'jue'lai'dong
追老虎,zhui'lao'hu
追死歇鬼,zhui'si'xie'gui
捉迷眼,zhuo'mi'yan
自来水公司,zi'lai'shui'gong'si
子皮,zi'pi
棕绷床,zong'beng'chuang
总角仔脑,zong'jiao'zai'nao
粽里,zong'li
棕树仔,zong'shu'zai
租低,zu'di
坐车,zuo'che
做大拧,zuo'da'ning
作怪,zuo'guai
做鬼叫,zuo'gui'jiao
做过里,zuo'guo'li
坐嗨几个,zuo'hai'ji'ge
坐火车,zuo'huo'che
作火结,zuo'huo'jie
坐监,zuo'jian
做尽里个拧,zuo'jin'li'ge'ning
做绝里个拧,zuo'jue'li'ge'ning
做媒拧,zuo'mei'ning
做篾,zuo'mie
作尿笔,zuo'niao'bi
作棋,zuo'qi
昨日,zuo'ri
作尚,zuo'shang
作水,zuo'shui
作田,zuo'tian
作田神,zuo'tian'shen
做屋,zuo'wu
做习个,zuo'xi'ge
作息子,zuo'xi'zi
