按规程要求,an'gui'cheng'yao'qiu
缓冲爆破,huan'chong'bao'po
环境保护及水土保持,huan'jing'bao'hu'ji'shui'tu'bao'chi
换算系数,huan'suan'xi'shu
环形槽,huan'xing'cao
环形带,huan'xing'dai
环形支架,huan'xing'zhi'jia
黄铜矿,huang'tong'kuang
黄推工程机械网,huang'tui'gong'cheng'ji'xie'wang
回采工艺,hui'cai'gong'yi
回采率,hui'cai'lv
回车线,hui'che'xian
灰分,hui'fen
回风大巷,hui'feng'da'hang
回风井,hui'feng'jing
回风石门,hui'feng'shi'men
回风顺槽套棚,hui'feng'shun'cao'tao'peng
回风巷,hui'feng'xiang
回风斜巷,hui'feng'xie'hang
回风斜井,hui'feng'xie'jing
辉钴矿,hui'gu'kuang
回收率,hui'shou'lv
辉铜矿,hui'tong'kuang
回转中心,hui'zhuan'zhong'xin
混合浮选,hun'he'fu'xuan
混合工子,hun'he'gong'zi
混合支架,hun'he'zhi'jia
混凝土衬砌,hun'ning'tu'chen'qi
混凝土打碎机,hun'ning'tu'da'sui'ji
混凝土风力压送机,hun'ning'tu'feng'li'ya'song'ji
混凝土搅拌机,hun'ning'tu'jiao'ban'ji
混凝土井壁,hun'ning'tu'jing'bi
混凝土砌块,hun'ning'tu'qi'kuai
混凝土砌块支柱,hun'ning'tu'qi'kuai'zhi'zhu
混凝土圬工,hun'ning'tu'wu'gong
混凝土用钢筋,hun'ning'tu'yong'gang'jin
混凝土振捣器,hun'ning'tu'zhen'dao'qi
混凝土枕木,hun'ning'tu'zhen'mu
混凝土镇压器,hun'ning'tu'zhen'ya'qi
混凝土支架,hun'ning'tu'zhi'jia
混凝土贮仓,hun'ning'tu'zhu'cang
火成岩,huo'cheng'yan
火警信号器,huo'jing'xin'hao'qi
活头钎子,huo'tou'qian'zi
活性炭,huo'xing'tan
火灾的措施,huo'zai'de'cuo'shi
火灾预报束管监测系统,huo'zai'yu'bao'shu'guan'jian'ce'xi'tong
机采工作面,ji'cai'gong'zuo'mian
集尘器,ji'chen'qi
挤出,ji'chu
基础垛盘,ji'chu'duo'pan
基础知识,ji'chu'zhi'shi
机电,ji'dian
机电八队,ji'dian'ba'dui
机电处,ji'dian'chu
机电二队,ji'dian'er'dui
机电九队,ji'dian'jiu'dui
机电科,ji'dian'ke
机电六队,ji'dian'liu'dui
机电七队,ji'dian'qi'dui
机电三队,ji'dian'san'dui
机电十队,ji'dian'shi'dui
机电事故,ji'dian'shi'gu
机电四队,ji'dian'si'dui
机电维护,ji'dian'wei'hu
机电五队,ji'dian'wu'dui
机电一队,ji'dian'yi'dui
机电运输事故,ji'dian'yun'shu'shi'gu
箕斗装载硐室,ji'dou'zhuang'zai'dong'shi
己二变电所进风探头,ji'er'bian'dian'suo'jin'feng'tan'tou
己二变电所温度,ji'er'bian'dian'suo'wen'du
己二采区,ji'er'cai'qu
己二采区轨道下山,ji'er'cai'qu'gui'dao'xia'shan
己二采区煤仓下硐室,ji'er'cai'qu'mei'cang'xia'dong'shi
己二采区上部变电所,ji'er'cai'qu'shang'bu'bian'dian'suo
己二采区水仓,ji'er'cai'qu'shui'cang
己二采区下部变电所,ji'er'cai'qu'xia'bu'bian'dian'suo
己二采区下山皮带,ji'er'cai'qu'xia'shan'pi'dai
己二辅助轨道下山,ji'er'fu'zhu'gui'dao'xia'shan
己二辅助回风下山,ji'er'fu'zhu'hui'feng'xia'shan
己二辅助运输下山,ji'er'fu'zhu'yun'shu'xia'shan
己二辅助总回风速,ji'er'fu'zhu'zong'hui'feng'su
己二辅助总回里瓦斯,ji'er'fu'zhu'zong'hui'li'wa'si
己二高强皮带,ji'er'gao'qiang'pi'dai
己二轨道绞车房瓦斯,ji'er'gui'dao'jiao'che'fang'wa'si
己二轨道绞车开停,ji'er'gui'dao'jiao'che'kai'ting
己二轨道上车场,ji'er'gui'dao'shang'che'chang
己二轨道下山上车场,ji'er'gui'dao'xia'shan'shang'che'chang
己二轨下绞车房,ji'er'gui'xia'jiao'che'fang
己二回风下山上平台,ji'er'hui'feng'xia'shan'shang'ping'tai
己二回风下山下部,ji'er'hui'feng'xia'shan'xia'bu
己二集中皮带巷,ji'er'ji'zhong'pi'dai'xiang
己二皮下山下段风机,ji'er'pi'xia'shan'xia'duan'feng'ji
己二皮下山下段外探,ji'er'pi'xia'shan'xia'duan'wai'tan
己二皮下下段断电,ji'er'pi'xia'xia'duan'duan'dian
己二皮下下段馈电,ji'er'pi'xia'xia'duan'kui'dian
己二上车场风门,ji'er'shang'che'chang'feng'men
己二西翼临时变电所,ji'er'xi'yi'lin'shi'bian'dian'suo
己二西翼煤仓矸石仓,ji'er'xi'yi'mei'cang'gan'shi'cang
己二西翼煤仓上口,ji'er'xi'yi'mei'cang'shang'kou
己二西翼煤仓上口风机,ji'er'xi'yi'mei'cang'shang'kou'feng'ji
己二西翼煤仓上口里探,ji'er'xi'yi'mei'cang'shang'kou'li'tan
己二西翼煤仓上口外探,ji'er'xi'yi'mei'cang'shang'kou'wai'tan
己二西翼总回风速,ji'er'xi'yi'zong'hui'feng'su
己二西翼总回里瓦斯,ji'er'xi'yi'zong'hui'li'wa'si
己二中部变电所进风,ji'er'zhong'bu'bian'dian'suo'jin'feng
己二总回风速,ji'er'zong'hui'feng'su
己二总回瓦斯,ji'er'zong'hui'wa'si
己二总回温度,ji'er'zong'hui'wen'du
激光指向仪,ji'guang'zhi'xiang'yi
计划处,ji'hua'chu
计划科,ji'hua'ke
基建处,ji'jian'chu
机掘,ji'jue
集控中心,ji'kong'zhong'xin
己煤装载硐室,ji'mei'zhuang'zai'dong'shi
济宁市永利机械有限责任公司,ji'ning'shi'yong'li'ji'xie'you'xian'ze'ren'gong'si
技术要算账,ji'shu'yao'suan'zhang
技术中心,ji'shu'zhong'xin
积水,ji'shui
积水池,ji'shui'chi
集水圈,ji'shui'quan
机头,ji'tou
机头硐室,ji'tou'dong'shi
集团党委副书记,ji'tuan'dang'wei'fu'shu'ji
集团党委副书记张友谊,ji'tuan'dang'wei'fu'shu'ji'zhang'you'yi
集团公司,ji'tuan'gong'si
集团能源化工研究院,ji'tuan'neng'yuan'hua'gong'yan'jiu'yuan
纪委,ji'wei
纪委书记徐建明,ji'wei'shu'ji'xu'jian'ming
鸡西煤矿,ji'xi'mei'kuang
鸡西煤矿机械有限公司配件厂,ji'xi'mei'kuang'ji'xie'you'xian'gong'si'pei'jian'chang
极限距离,ji'xian'ju'li
极限平衡区,ji'xian'ping'heng'qu
机巷抽放巷,ji'xiang'chou'fang'xiang
机巷高抽巷,ji'xiang'gao'chou'xiang
机械行业资料网,ji'xie'hang'ye'zi'liao'wang
机械化采煤,ji'xie'hua'cai'mei
急斜煤层,ji'xie'mei'ceng
机修间,ji'xiu'jian
己一采区,ji'yi'cai'qu
己一运输下山进料道,ji'yi'yun'shu'xia'shan'jin'liao'dao
己一转载皮带巷,ji'yi'zhuan'zai'pi'dai'xiang
集中荷重,ji'zhong'he'zhong
集中开采,ji'zhong'kai'cai
集中控制,ji'zhong'kong'zhi
集中控制系统,ji'zhong'kong'zhi'xi'tong
集中装药,ji'zhong'zhuang'yao
姬庄,ji'zhuang
己组煤,ji'zu'mei
己组上下信号,ji'zu'shang'xia'xin'hao
夹层,jia'ceng
价差矿井通风,jia'cha'kuang'jing'tong'feng
甲带式式给煤机,jia'dai'shi'shi'gei'mei'ji
钾钒铀矿,jia'fan'you'kuang
甲酚,jia'fen
加工房,jia'gong'fang
加固,jia'gu
夹具,jia'ju
架空死,jia'kong'si
架设木垛,jia'she'mu'duo
甲烷传感器,jia'wan'chuan'gan'qi
郏县,jia'xian
架线电机车,jia'xian'dian'ji'che
架线电机车修理间,jia'xian'dian'ji'che'xiu'li'jian
贾学勤,jia'xue'qin
加压泵,jia'ya'beng
加油站,jia'you'zhan
夹子,jia'zi
建材用煤,jian'cai'yong'mei
监测队,jian'ce'dui
监测工,jian'ce'gong
监测监控,jian'ce'jian'kong
监测维护,jian'ce'wei'hu
监测维护工,jian'ce'wei'hu'gong
监测维修工,jian'ce'wei'xiu'gong
检查地点,jian'cha'di'dian
监察科,jian'cha'ke
间格干燥器分室干燥器,jian'ge'gan'zao'qi'fen'shi'gan'zao'qi
建工集团,jian'gong'ji'tuan
坚固稳定岩石,jian'gu'wen'ding'yan'shi
坚固岩层,jian'gu'yan'ceng
建井三处,jian'jing'san'chu
建井一处,jian'jing'yi'chu
监控分站,jian'kong'fen'zhan
监控主机,jian'kong'zhu'ji
监理公司,jian'li'gong'si
尖灭,jian'mie
尖山村,jian'shan'cun
建设街,jian'she'jie
建设路,jian'she'lu
监事会,jian'shi'hui
检修硐室,jian'xiu'dong'shi
检修斜巷,jian'xiu'xie'hang
拣选带,jian'xuan'dai
检验试验,jian'yan'shi'yan
建筑工程,jian'zhu'gong'cheng
建筑木材,jian'zhu'mu'cai
交叉,jiao'cha
交岔点,jiao'cha'dian
交叉捻向,jiao'cha'nian'xiang
交叉捻向钢丝绳,jiao'cha'nian'xiang'gang'si'sheng
绞车,jiao'che
绞车硐室,jiao'che'dong'shi
绞车房,jiao'che'fang
绞车房浇筑基础,jiao'che'fang'jiao'zhu'ji'chu
绞车窝,jiao'che'wo
交错矿脉,jiao'cuo'kuang'mai
胶带输送机,jiao'dai'shu'song'ji
校对取样,jiao'dui'qu'yang
焦化,jiao'hua
交换齿轮,jiao'huan'chi'lun
胶结物,jiao'jie'wu
焦煤,jiao'mei
焦煤车板,jiao'mei'che'ban
绞盘,jiao'pan
胶态,jiao'tai
胶态水泥浆搅拌机,jiao'tai'shui'ni'jiang'jiao'ban'ji
焦炭,jiao'tan
胶体溶液,jiao'ti'rong'ye
交通情况,jiao'tong'qing'kuang
教委,jiao'wei
焦油木材防腐剂,jiao'you'mu'cai'fang'fu'ji
教育科,jiao'yu'ke
胶质层最大厚度,jiao'zhi'ceng'zui'da'hou'du
角锥形掏槽,jiao'zhui'xing'tao'cao
校准曲线,jiao'zhun'qu'xian
焦作巨龙泵业有限公司,jiao'zuo'ju'long'beng'ye'you'xian'gong'si
焦作矿工报,jiao'zuo'kuang'gong'bao
焦作矿务局,jiao'zuo'kuang'wu'ju
焦作煤业,jiao'zuo'mei'ye
焦作煤业集团东方宾馆,jiao'zuo'mei'ye'ji'tuan'dong'fang'bin'guan
焦作煤业集团千业水泥,jiao'zuo'mei'ye'ji'tuan'qian'ye'shui'ni
焦作煤业集团职工医学院,jiao'zuo'mei'ye'ji'tuan'zhi'gong'yi'xue'yuan
焦作煤业集团中央医院,jiao'zuo'mei'ye'ji'tuan'zhong'yang'yi'yuan
焦作神华重型机械有限公司,jiao'zuo'shen'hua'zhong'xing'ji'xie'you'xian'gong'si
焦作神瑞工贸有限公司,jiao'zuo'shen'rui'gong'mao'you'xian'gong'si
焦作市弘光橡胶有限责任公司,jiao'zuo'shi'hong'guang'xiang'jiao'you'xian'ze'ren'gong'si
截槽速度,jie'cao'su'du
接长输送机,jie'chang'shu'song'ji
接触测井,jie'chu'ce'jing
接触带,jie'chu'dai
接触过滤,jie'chu'guo'lv
接触角,jie'chu'jiao
接触矿脉,jie'chu'kuang'mai
解除劳动合同,jie'chu'lao'dong'he'tong
接触面,jie'chu'mian
接地极,jie'di'ji
阶段间矿柱,jie'duan'jian'kuang'zhu
解放层,jie'fang'ceng
解放中路群英桥向东米路北,jie'fang'zhong'lu'qun'ying'qiao'xiang'dong'mi'lu'bei
截割头电机,jie'ge'tou'dian'ji
结晶格子,jie'jing'ge'zi
结晶组织,jie'jing'zu'zhi
捷利得锚杆公司,jie'li'de'mao'gan'gong'si
截链传动部分,jie'lian'chuan'dong'bu'fen
揭煤,jie'mei
截煤机,jie'mei'ji
截煤机割齿,jie'mei'ji'ge'chi
截煤机截盘,jie'mei'ji'jie'pan
截煤机链,jie'mei'ji'lian
截煤装载机,jie'mei'zhuang'zai'ji
节能,jie'neng
截头,jie'tou
接头,jie'tou
接应巷道,jie'ying'hang'dao
截装机,jie'zhuang'ji
晋城煤业,jin'cheng'mei'ye
进尺,jin'chi
进风行人斜巷,jin'feng'xing'ren'xie'hang
进风闸门,jin'feng'zha'men
金刚砂轮,jin'gang'sha'lun
紧链器,jin'lian'qi
紧密支架,jin'mi'zhi'jia
金鑫公司,jin'xin'gong'si
井底车场,jing'di'che'chang
井底煤泥加工系统,jing'di'mei'ni'jia'gong'xi'tong
井底司罐工,jing'di'si'guan'gong
精浮选,jing'fu'xuan
经济手段,jing'ji'shou'duan
经济效益,jing'ji'xiao'yi
井架,jing'jia
靖江煤矿机械厂,jing'jiang'mei'kuang'ji'xie'chang
井颈开凿,jing'jing'kai'zao
井颈塌落,jing'jing'ta'luo
井口建筑物,jing'kou'jian'zhu'wu
净宽,jing'kuan
井框,jing'kuang
井框支架,jing'kuang'zhi'jia
经理层防突十七项工作安排意见,jing'li'ceng'fang'tu'shi'qi'xiang'gong'zuo'an'pai'yi'jian
精煤,jing'mei
精煤灰分,jing'mei'hui'fen
精煤市场,jing'mei'shi'chang
精确高差测量仪,jing'que'gao'cha'ce'liang'yi
井上矸石填充,jing'shang'gan'shi'tian'chong
净水,jing'shui
静态电子轨道衡,jing'tai'dian'zi'gui'dao'heng
晶体生长,jing'ti'sheng'zhang
井田,jing'tian
井田地质特征,jing'tian'di'zhi'te'zheng
井田工业储量,jing'tian'gong'ye'chu'liang
井田境界,jing'tian'jing'jie
井田境界和储量,jing'tian'jing'jie'he'chu'liang
井田开拓,jing'tian'kai'tuo
井田可采储量,jing'tian'ke'cai'chu'liang
井筒,jing'tong
井筒防冻,jing'tong'fang'dong
井筒与井底车场连接处,jing'tong'yu'jing'di'che'chang'lian'jie'chu
井下,jing'xia
井下工,jing'xia'gong
井下火灾事故,jing'xia'huo'zai'shi'gu
井下急救站,jing'xia'ji'jiu'zhan
井下胶鞋,jing'xia'jiao'xie
井下煤质检查人员,jing'xia'mei'zhi'jian'cha'ren'yuan
井下排水处理站,jing'xia'pai'shui'chu'li'zhan
井下水平定向钻进技术,jing'xia'shui'ping'ding'xiang'zuan'jin'ji'shu
井下原生矸石,jing'xia'yuan'sheng'gan'shi
井下运输调度,jing'xia'yun'shu'diao'du
井下中央变电所,jing'xia'zhong'yang'bian'dian'suo
精选机,jing'xuan'ji
精选尾矿,jing'xuan'wei'kuang
经营要调控,jing'ying'yao'tiao'kong
晶轴,jing'zhou
景庄,jing'zhuang
救护队,jiu'hu'dui
救护救援装备,jiu'hu'jiu'yuan'zhuang'bei
救护人员,jiu'hu'ren'yuan
救护指战员,jiu'hu'zhi'zhan'yuan
九矿,jiu'kuang
九里山矿,jiu'li'shan'kuang
救援工作,jiu'yuan'gong'zuo
救援及相关工作,jiu'yuan'ji'xiang'guan'gong'zuo
局部磨损,ju'bu'mo'sun
举高一面旗,ju'gao'yi'mian'qi
聚水池,ju'shui'chi
聚乙烯抽放瓦斯管,ju'yi'xi'chou'fang'wa'si'guan
聚乙烯秸秆燃气管,ju'yi'xi'jie'gan'ran'qi'guan
掘进,jue'jin
掘进八队,jue'jin'ba'dui
掘进二队,jue'jin'er'dui
掘进康拜因,jue'jin'kang'bai'yin
掘进六队,jue'jin'liu'dui
掘进七队,jue'jin'qi'dui
掘进三队,jue'jin'san'dui
掘进四队,jue'jin'si'dui
掘进五队,jue'jin'wu'dui
掘进一队,jue'jin'yi'dui
掘砌,jue'qi
卡巴耐特炸药,ka'ba'nai'te'zha'yao
卡盖,ka'gai
卡钻,ka'zuan
开采,kai'cai
开采沉陷,kai'cai'chen'xian
开采率,kai'cai'lv
开采一体化,kai'cai'yi'ti'hua
开封东大,kai'feng'dong'da
开封炭素超高功率石墨电极,kai'feng'tan'su'chao'gao'gong'lv'shi'mo'dian'ji
开关架,kai'guan'jia
开滦集团,kai'luan'ji'tuan
凯马煤冶化有限公司,kai'ma'mei'ye'hua'you'xian'gong'si
开拓,kai'tuo
开拓八队,kai'tuo'ba'dui
开拓二队,kai'tuo'er'dui
开拓六队,kai'tuo'liu'dui
开拓七队,kai'tuo'qi'dui
开拓三队,kai'tuo'san'dui
开拓四队,kai'tuo'si'dui
开拓五队,kai'tuo'wu'dui
开拓一队,kai'tuo'yi'dui
勘探程度,kan'tan'cheng'du
勘探处,kan'tan'chu
勘误,kan'wu
抗冲击波活门,kang'chong'ji'bo'huo'men
康森科型摇床,kang'sen'ke'xing'yao'chuang
抗压强度,kang'ya'qiang'du
可采储量,ke'cai'chu'liang
可采矿床,ke'cai'kuang'chuang
可采煤层,ke'cai'mei'ceng
可靠性,ke'kao'xing
可燃成分,ke'ran'cheng'fen
可烧性生物岩,ke'shao'xing'sheng'wu'yan
可碎性系数,ke'sui'xing'xi'shu
可缩性支架,ke'suo'xing'zhi'jia
可缩性支柱,ke'suo'xing'zhi'zhu
可行性,ke'xing'xing
坑口电厂,keng'kou'dian'chang
坑木场库房,keng'mu'chang'ku'fang
空车线,kong'che'xian
空洞现象,kong'dong'xian'xiang
孔口起爆,kong'kou'qi'bao
空气炮,kong'qi'pao
空穴,kong'xue
孔穴矿脉,kong'xue'kuang'mai
控制爆破,kong'zhi'bao'po
控制程序,kong'zhi'cheng'xu
控制程序块,kong'zhi'cheng'xu'kuai
控制电路,kong'zhi'dian'lu
控制阀,kong'zhi'fa
控制放顶,kong'zhi'fang'ding
控制方式,kong'zhi'fang'shi
控制计算机,kong'zhi'ji'suan'ji
控制设备,kong'zhi'she'bei
控制室,kong'zhi'shi
控制台,kong'zhi'tai
控制系统,kong'zhi'xi'tong
口径,kou'jing
库管员,ku'guan'yuan
垮落带,kua'luo'dai
块煤,kuai'mei
快速掘进,kuai'su'jue'jin
宽中部槽,kuan'zhong'bu'cao
矿办室,kuang'ban'shi
矿车,kuang'che
矿车机修间,kuang'che'ji'xiu'jian
矿车联接,kuang'che'lian'jie
矿车维修,kuang'che'wei'xiu
矿灯,kuang'deng
矿工报社,kuang'gong'bao'she
矿工路,kuang'gong'lu
矿井,kuang'jing
矿井防尘供水系统,kuang'jing'fang'chen'gong'shui'xi'tong
矿井防火系统,kuang'jing'fang'huo'xi'tong
矿井风量计算与分配,kuang'jing'feng'liang'ji'suan'yu'fen'pei
矿井工作制度,kuang'jing'gong'zuo'zhi'du
矿井火灾,kuang'jing'huo'zai
矿井基本巷道,kuang'jing'ji'ben'hang'dao
矿井基本技术经济指标,kuang'jing'ji'ben'ji'shu'jing'ji'zhi'biao
矿井情况,kuang'jing'qing'kuang
矿井设计生产能力,kuang'jing'she'ji'sheng'chan'neng'li
矿井水,kuang'jing'shui
矿井水灾事故,kuang'jing'shui'zai'shi'gu
矿井停电事故,kuang'jing'ting'dian'shi'gu
矿井停风,kuang'jing'ting'feng
矿井通风,kuang'jing'tong'feng
矿井通风工作,kuang'jing'tong'feng'gong'zuo
矿井通风设计,kuang'jing'tong'feng'she'ji
矿井通风系统,kuang'jing'tong'feng'xi'tong
矿井通风系统总阻力的计算,kuang'jing'tong'feng'xi'tong'zong'zu'li'de'ji'suan
矿井通讯系统,kuang'jing'tong'xun'xi'tong
矿井综合自动化,kuang'jing'zong'he'zi'dong'hua
矿帽,kuang'mao
矿难,kuang'nan
矿区,kuang'qu
矿区概述,kuang'qu'gai'shu
矿山行业,kuang'shan'hang'ye
矿山救护工作,kuang'shan'jiu'hu'gong'zuo
矿山救护指战员,kuang'shan'jiu'hu'zhi'zhan'yuan
矿山压力,kuang'shan'ya'li
矿益胶管厂,kuang'yi'jiao'guan'chang
矿用隔爆型干式变压器,kuang'yong'ge'bao'xing'gan'shi'bian'ya'qi
矿用水泵,kuang'yong'shui'beng
矿招待所,kuang'zhao'dai'suo
矿震,kuang'zhen
矿柱,kuang'zhu
馈电开关,kui'dian'kai'guan
扩帮挑顶,kuo'bang'tiao'ding
扩槽孔,kuo'cao'kong
喇叭嘴,la'ba'zui
拉宋斗机,la'song'dou'ji
滥采,lan'cai
缆耍引,lan'shua'yin
缆摔带运输机,lan'shuai'dai'yun'shu'ji
缆耸车,lan'song'che
缆怂输机,lan'song'shu'ji
缆损重机,lan'sun'zhong'ji
劳动工资科,lao'dong'gong'zi'ke
劳资处,lao'zi'chu
雷管封口器导火线封口器,lei'guan'feng'kou'qi'dao'huo'xian'feng'kou'qi
累计粒度曲线,lei'ji'li'du'qu'xian
冷钢钻粒钻机,leng'gang'zuan'li'zuan'ji
冷气机,leng'qi'ji
冷却介质,leng'que'jie'zhi
冷却面,leng'que'mian
冷却水,leng'que'shui
冷却水泵,leng'que'shui'beng
冷却水池,leng'que'shui'chi
冷却水循环,leng'que'shui'xun'huan
冷却塔,leng'que'ta
冷却套,leng'que'tao
冷却液,leng'que'ye
冷却装置,leng'que'zhuang'zhi
厘泊,li'bo
李长军,li'chang'jun
李封公司,li'feng'gong'si
离合皮板,li'he'pi'ban
离合撇盘,li'he'pie'pan
离合扑,li'he'pu
立井,li'jing
厘米克秒单位,li'mi'ke'miao'dan'wei
李三庄,li'san'zhuang
离心泵,li'xin'beng
离心沉降,li'xin'chen'jiang
离心分级机,li'xin'fen'ji'ji
离心干燥机,li'xin'gan'zao'ji
离心过滤,li'xin'guo'lv
离心过滤机,li'xin'guo'lv'ji
离心空气分选,li'xin'kong'qi'fen'xuan
离心力,li'xin'li
离心浓缩机,li'xin'nong'suo'ji
离心扇风机,li'xin'shan'feng'ji
离心式分离机,li'xin'shi'fen'li'ji
离心式分选,li'xin'shi'fen'xuan
离心式风力分选机,li'xin'shi'feng'li'fen'xuan'ji
离心式磨机,li'xin'shi'mo'ji
离心式送风机,li'xin'shi'song'feng'ji
离心式通风机,li'xin'shi'tong'feng'ji
离心式压缩机,li'xin'shi'ya'suo'ji
离心效应,li'xin'xiao'ying
李一,li'yi
李一矿,li'yi'kuang
李郢孜,li'ying'zi
李郢孜矿,li'ying'zi'kuang
利用率,li'yong'lv
梨园矿,li'yuan'kuang
李志宽,li'zhi'kuan
粒状炸药,li'zhuang'zha'yao
李嘴孜,li'zui'zi
李嘴孜矿,li'zui'zi'kuang
链板输送机,lian'ban'shu'song'ji
链板运输机,lian'ban'yun'shu'ji
链传动,lian'chuan'dong
链斗式扩掘机,lian'dou'shi'kuo'jue'ji
链斗式提升机,lian'dou'shi'ti'sheng'ji
敛缝,lian'feng
连杆,lian'gan
链鼓轮,lian'gu'lun
联合采煤机,lian'he'cai'mei'ji
联合给料机,lian'he'gei'liao'ji
联合建筑,lian'he'jian'zhu
联合开采法,lian'he'kai'cai'fa
联合矿,lian'he'kuang
联合式开采,lian'he'shi'kai'cai
联合钻眼,lian'he'zuan'yan
链滑车,lian'hua'che
链绞车,lian'jiao'che
炼焦煤,lian'jiao'mei
炼焦炭,lian'jiao'tan
链节,lian'jie
连接槽,lian'jie'cao
联结软管,lian'jie'ruan'guan
连接图,lian'jie'tu
链锯,lian'ju
链轮,lian'lun
联络巷,lian'luo'xiang
联络小川,lian'luo'xiao'chuan
链筛,lian'shai
链式给矿机,lian'shi'gei'kuang'ji
链式罐笼座,lian'shi'guan'long'zuo
链式截煤机,lian'shi'jie'mei'ji
链式提升机,lian'shi'ti'sheng'ji
链条运输,lian'tiao'yun'shu
链条张力,lian'tiao'zhang'li
联巷,lian'xiang
连续采煤机,lian'xu'cai'mei'ji
连续干燥机,lian'xu'gan'zao'ji
连续工祖,lian'xu'gong'zu
连续工祖开采,lian'xu'gong'zu'kai'cai
连续过滤机,lian'xu'guo'lv'ji
连续开采,lian'xu'kai'cai
连续浓缩机,lian'xu'nong'suo'ji
连续生产,lian'xu'sheng'chan
连续提取,lian'xu'ti'qu
连续运输,lian'xu'yun'shu
连续运转,lian'xu'yun'zhuan
连续真空过滤机,lian'xu'zhen'kong'guo'lv'ji
连续装载,lian'xu'zhuang'zai
联轴戚栓,lian'zhou'qi'shuan
两改两营,liang'gai'liang'ying
梁间距,liang'jian'ju
梁铁山,liang'tie'shan
两通三通,liang'tong'san'tong
量系数,liang'xi'shu
裂缝带,lie'feng'dai
劣质煤种,lie'zhi'mei'zhong
临界点,lin'jie'dian
临界电压,lin'jie'dian'ya
临界负载,lin'jie'fu'zai
临界密度,lin'jie'mi'du
临界能量,lin'jie'neng'liang
临界浓度,lin'jie'nong'du
临界深度,lin'jie'shen'du
临界速度,lin'jie'su'du
临界温度,lin'jie'wen'du
临界压力,lin'jie'ya'li
临界值,lin'jie'zhi
临界直径,lin'jie'zhi'jing
临界状态,lin'jie'zhuang'tai
菱锌矿,ling'xin'kuang
溜槽口,liu'cao'kou
溜槽闸门,liu'cao'zha'men
六处,liu'chu
六大无烟煤生产基地之一,liu'da'wu'yan'mei'sheng'chan'ji'di'zhi'yi
溜矸道,liu'gan'dao
硫化物,liu'hua'wu
溜井爆破,liu'jing'bao'po
刘九学,liu'jiu'xue
六矿,liu'kuang
刘魁景,liu'kui'jing
刘楼,liu'lou
溜煤道,liu'mei'dao
溜煤眼,liu'mei'yan
流速仪,liu'su'yi
硫酸盐,liu'suan'yan
溜子,liu'zi
路基,lu'ji
鲁山,lu'shan
轮廓爆破,lun'kuo'bao'po
轮式铲运机,lun'shi'chan'yun'ji
轮眼,lun'yan
落顶开采,luo'ding'kai'cai
螺施运输机,luo'shi'yun'shu'ji
螺栓,luo'shuan
螺旋采煤机,luo'xuan'cai'mei'ji
螺旋分级筛,luo'xuan'fen'ji'shai
滤饼,lv'bing
履带,lv'dai
履带牵引,lv'dai'qian'yin
履带式起重机,lv'dai'shi'qi'zhong'ji
履带式推土机,lv'dai'shi'tui'tu'ji
履带式挖掘机,lv'dai'shi'wa'jue'ji
履带拖拉机,lv'dai'tuo'la'ji
吕茂盛,lv'mao'sheng
氯酸盐炸药,lv'suan'yan'zha'yao
码头门,ma'tou'men
马头门,ma'tou'men
马源,ma'yuan
埋管注氮,mai'guan'zhu'dan
蛮石混凝土,man'shi'hun'ning'tu
毛玻璃,mao'bo'li
帽灯,mao'deng
冒顶,mao'ding
锚杆,mao'gan
锚杆机,mao'gan'ji
锚杆搅拌器,mao'gan'jiao'ban'qi
锚杆修复,mao'gan'xiu'fu
冒落,mao'luo
冒落矸石,mao'luo'gan'shi
锚喷段架金支维修,mao'pen'duan'jia'jin'zhi'wei'xiu
锚索,mao'suo
锚索涨拉机,mao'suo'zhang'la'ji
猫头钢丝绳,mao'tou'gang'si'sheng
锚网梁修复,mao'wang'liang'xiu'fu
锚网喷,mao'wang'pen
毛细管,mao'xi'guan
毛细孔隙,mao'xi'kong'xi
毛细裂缝,mao'xi'lie'feng
毛细现象,mao'xi'xian'xiang
煤包体,mei'bao'ti
煤崩落,mei'beng'luo
煤仓,mei'cang
煤仓下漏斗,mei'cang'xia'lou'dou
煤仓滞煤率,mei'cang'zhi'mei'lv
煤层,mei'ceng
煤层地质特征,mei'ceng'di'zhi'te'zheng
煤层特征,mei'ceng'te'zheng
煤层突出危险性预测,mei'ceng'tu'chu'wei'xian'xing'yu'ce
煤层柱状图,mei'ceng'zhu'zhuang'tu
煤产量,mei'chan'liang
煤场,mei'chang
煤车,mei'che
煤尘,mei'chen
煤尘爆炸,mei'chen'bao'zha
煤尘爆炸措施,mei'chen'bao'zha'cuo'shi
煤尘试验,mei'chen'shi'yan
煤的恒湿无灰基高位发热量,mei'de'heng'shi'wu'hui'ji'gao'wei'fa're'liang
煤电产业,mei'dian'chan'ye
煤堆,mei'dui
煤肺病,mei'fei'bing
煤粉,mei'fen
煤粉输出孔,mei'fen'shu'chu'kong
煤矸石,mei'gan'shi
煤矸石山,mei'gan'shi'shan
煤高压加氢液化,mei'gao'ya'jia'qing'ye'hua
煤化工,mei'hua'gong
煤机螺栓,mei'ji'luo'shuan
煤浆,mei'jiang
煤焦化工产业,mei'jiao'hua'gong'chan'ye
煤焦油,mei'jiao'you
煤矿,mei'kuang
煤矿尘肺病,mei'kuang'chen'fei'bing
