安保,an'bao
沙漠伪装,sha'mo'wei'zhuang
杀伤半径,sha'shang'ban'jing
杀伤力,sha'shang'li
沙子岗,sha'zi'gang
山东,shan'dong
山东村,shan'dong'cun
山林地战斗,shan'lin'di'zhan'dou
山越,shan'yue
上发,shang'fa
上洪庄,shang'hong'zhuang
尚街购物广场,shang'jie'gou'wu'guang'chang
上升势头,shang'sheng'shi'tou
商业密码机,shang'ye'mi'ma'ji
稍息,shao'xi
涉水,she'shui
涉水前进,she'shui'qian'jin
神山,shen'shan
深水炸弹,shen'shui'zha'dan
渗透,shen'tou
生存能力,sheng'cun'neng'li
生活区,sheng'huo'qu
生活委员会,sheng'huo'wei'yuan'hui
声监测系统,sheng'jian'ce'xi'tong
胜利路,sheng'li'lu
声纳,sheng'na
声纳浮标,sheng'na'fu'biao
生物武器,sheng'wu'wu'qi
生熏仔鸡,sheng'xun'zi'ji
识别雷达,shi'bie'lei'da
石耳炖鸡,shi'er'dun'ji
十涧湖,shi'jian'hu
什锦虾球,shi'jin'xia'qiu
十里柳堤,shi'li'liu'di
石梁,shi'liang
视频会议,shi'pin'hui'yi
石埔,shi'pu
石埔村,shi'pu'cun
石头人,shi'tou'ren
师团职,shi'tuan'zhi
石英砂,shi'ying'sha
狮子头,shi'zi'tou
寿昌路,shou'chang'lu
守护,shou'hu
寿命周期,shou'ming'zhou'qi
守卫,shou'wei
手语,shou'yu
属工程部第三工程处,shu'gong'cheng'bu'di'san'gong'cheng'chu
数据通信设备,shu'ju'tong'xin'she'bei
数码,shu'ma
述职报告,shu'zhi'bao'gao
双脆锅巴,shuang'cui'guo'ba
双东,shuang'dong
双东村,shuang'dong'cun
双向通信,shuang'xiang'tong'xin
双拥共建,shuang'yong'gong'jian
双拥路,shuang'yong'lu
水电,shui'dian
水雷,shui'lei
水雷战,shui'lei'zhan
水雷战舰艇,shui'lei'zhan'jian'ting
水陆坦克,shui'lu'tan'ke
水明月,shui'ming'yue
水上飞机,shui'shang'fei'ji
舜耕山,shun'geng'shan
瞬时测频接收机,shun'shi'ce'pin'jie'shou'ji
四大科教基地,si'da'ke'jiao'ji'di
四个方面优势,si'ge'fang'mian'you'shi
四季豆腐,si'ji'dou'fu
司令部,si'ling'bu
司令部工作,si'ling'bu'gong'zuo
四种力量,si'zhong'li'liang
搜空文件,sou'kong'wen'jian
苏峰街,su'feng'jie
苏峰街居委会,su'feng'jie'ju'wei'hui
苏果超市社区店,su'guo'chao'shi'she'qu'dian
宿营,su'ying
绥带,sui'dai
碎石,sui'shi
遂行任务,sui'xing'ren'wu
梭子蟹,suo'zi'xie
塔山西路,ta'shan'xi'lu
苔干羊肉丝,tai'gan'yang'rou'si
台戈隆,tai'ge'long
坦克,tan'ke
探石,tan'shi
探石村,tan'shi'cun
唐家,tang'jia
唐寨镇戴庄村宋建设纸箱厂,tang'zhai'zhen'dai'zhuang'cun'song'jian'she'zhi'xiang'chang
陶大郢,tao'da'ying
特护,te'hu
特警,te'jing
特警学院,te'jing'xue'yuan
特勤,te'qin
特殊任务,te'shu'ren'wu
体能训练,ti'neng'xun'lian
天安,tian'an
田大南路,tian'da'nan'lu
天虹,tian'hong
天虹百货,tian'hong'bai'huo
天虹商场,tian'hong'shang'chang
天文导航,tian'wen'dao'hang
条令条例,tiao'ling'tiao'li
调整哨,tiao'zheng'shao
铁岭,tie'ling
听党指挥,ting'dang'zhi'hui
听党指挥服务人民英勇善战,ting'dang'zhi'hui'fu'wu'ren'min'ying'yong'shan'zhan
铜钵,tong'bo
铜钵村,tong'bo'cun
统筹兼顾,tong'chou'jian'gu
同乐路,tong'le'lu
铜陵镇,tong'ling'zhen
通勤,tong'qin
同仁堂,tong'ren'tang
铜亭街,tong'ting'jie
铜亭街居委会,tong'ting'jie'ju'wei'hui
桐乡书院,tong'xiang'shu'yuan
通信枢纽,tong'xin'shu'niu
通信系统,tong'xin'xi'tong
通信站,tong'xin'zhan
铜兴村,tong'xing'cun
桐梓晴岚,tong'zi'qing'lan
徒步行军,tu'bu'xing'jun
土城,tu'cheng
突防能力,tu'fang'neng'li
突防系统,tu'fang'xi'tong
突破,tu'po
徒手,tu'shou
徒手队列,tu'shou'dui'lie
突围,tu'wei
团支部,tuan'zhi'bu
退出战斗,tui'chu'zhan'dou
推进剂,tui'jin'ji
退却,tui'que
退役军官,tui'yi'jun'guan
屯溪市,tun'xi'shi
屯溪醉蟹,tun'xi'zui'xie
脱密变换,tuo'mi'bian'huan
脱密密钥,tuo'mi'mi'yue
瓦解敌军,wa'jie'di'jun
挖石方,wa'shi'fang
挖土方,wa'tu'fang
挖土石方,wa'tu'shi'fang
外滩八号,wai'tan'ba'hao
外腰带,wai'yao'dai
王长河,wang'chang'he
王继亮,wang'ji'liang
王建平,wang'jian'ping
网络室,wang'luo'shi
汪庙,wang'miao
望牛墩,wang'niu'dun
王山,wang'shan
网上培训,wang'shang'pei'xun
王新,wang'xin
微波通信,wei'bo'tong'xin
慰农路,wei'nong'lu
卫生院,wei'sheng'yuan
维稳,wei'wen
卫星导航,wei'xing'dao'hang
卫星地面接收站,wei'xing'di'mian'jie'shou'zhan
卫星跟踪测量船,wei'xing'gen'zong'ce'liang'chuan
卫星通信,wei'xing'tong'xin
魏佑江,wei'you'jiang
伪装,wei'zhuang
伪装器材,wei'zhuang'qi'cai
文峰街,wen'feng'jie
文峰街居委会,wen'feng'jie'ju'wei'hui
温莎杰座购物广场,wen'sha'jie'zuo'gou'wu'guang'chang
文艺委员,wen'yi'wei'yuan
文职人员,wen'zhi'ren'yuan
稳中求进,wen'zhong'qiu'jin
沃角,wo'jiao
沃角村,wo'jiao'cun
卧姿,wo'zi
卧姿装子弹,wo'zi'zhuang'zi'dan
吴楚要冲,wu'chu'yao'chong
武汉后方基地工程管理处,wu'han'hou'fang'ji'di'gong'cheng'guan'li'chu
芜湖塑胶有限公司,wu'hu'su'jiao'you'xian'gong'si
武警,wu'jing
武警安徽省总队,wu'jing'an'hui'sheng'zong'dui
武警安徽省总队第六支队,wu'jing'an'hui'sheng'zong'dui'di'liu'zhi'dui
武警北京市总队,wu'jing'bei'jing'shi'zong'dui
武警边防部队,wu'jing'bian'fang'bu'dui
武警部队司令员,wu'jing'bu'dui'si'ling'yuan
武警部队政委,wu'jing'bu'dui'zheng'wei
武警车辆,wu'jing'che'liang
武警成都军事法院,wu'jing'cheng'du'jun'shi'fa'yuan
武警成都市支队,wu'jing'cheng'du'shi'zhi'dui
武警重庆市总队,wu'jing'chong'qing'shi'zong'dui
武警处,wu'jing'chu
武警大同市支队,wu'jing'da'tong'shi'zhi'dui
武警大校,wu'jing'da'xiao
武警大衣,wu'jing'da'yi
武警二级士官,wu'jing'er'ji'shi'guan
武警福建省总队,wu'jing'fu'jian'sheng'zong'dui
武警干部,wu'jing'gan'bu
武警干部大队,wu'jing'gan'bu'da'dui
武警甘肃省总队,wu'jing'gan'su'sheng'zong'dui
武警工程学院,wu'jing'gong'cheng'xue'yuan
武警广东省总队,wu'jing'guang'dong'sheng'zong'dui
武警广西自治区总队,wu'jing'guang'xi'zi'zhi'qu'zong'dui
武警贵州省总队,wu'jing'gui'zhou'sheng'zong'dui
武警海南省总队,wu'jing'hai'nan'sheng'zong'dui
武警杭州疗养院,wu'jing'hang'zhou'liao'yang'yuan
武警杭州市支队,wu'jing'hang'zhou'shi'zhi'dui
武警河北省总队,wu'jing'he'bei'sheng'zong'dui
武警河南省总队,wu'jing'he'nan'sheng'zong'dui
武警黑龙江省总队,wu'jing'hei'long'jiang'sheng'zong'dui
武警湖北省总队,wu'jing'hu'bei'sheng'zong'dui
武警湖南省总队,wu'jing'hu'nan'sheng'zong'dui
武警黄金指挥部,wu'jing'huang'jin'zhi'hui'bu
武警机动师,wu'jing'ji'dong'shi
武警吉林省总队,wu'jing'ji'lin'sheng'zong'dui
武警江苏省总队,wu'jing'jiang'su'sheng'zong'dui
武警江西省总队,wu'jing'jiang'xi'sheng'zong'dui
武警交通第八支队,wu'jing'jiao'tong'di'ba'zhi'dui
武警交通第二支队,wu'jing'jiao'tong'di'er'zhi'dui
武警交通第二总队,wu'jing'jiao'tong'di'er'zong'dui
武警交通第六支队,wu'jing'jiao'tong'di'liu'zhi'dui
武警交通第七支队,wu'jing'jiao'tong'di'qi'zhi'dui
武警交通第三支队,wu'jing'jiao'tong'di'san'zhi'dui
武警交通第四支队,wu'jing'jiao'tong'di'si'zhi'dui
武警交通第五支队,wu'jing'jiao'tong'di'wu'zhi'dui
武警交通第一支队,wu'jing'jiao'tong'di'yi'zhi'dui
武警交通第一总队,wu'jing'jiao'tong'di'yi'zong'dui
武警交通指挥部,wu'jing'jiao'tong'zhi'hui'bu
武警交通指挥部教导大队,wu'jing'jiao'tong'zhi'hui'bu'jiao'dao'da'dui
武警交通指挥部直,wu'jing'jiao'tong'zhi'hui'bu'zhi
武警交通直属工程部,wu'jing'jiao'tong'zhi'shu'gong'cheng'bu
武警警卫部队,wu'jing'jing'wei'bu'dui
武警警种指挥学院,wu'jing'jing'zhong'zhi'hui'xue'yuan
武警纠察,wu'jing'jiu'cha
武警兰州市支队,wu'jing'lan'zhou'shi'zhi'dui
武警辽宁省总队,wu'jing'liao'ning'sheng'zong'dui
武警列兵,wu'jing'lie'bing
武警临沂市支队,wu'jing'lin'yi'shi'zhi'dui
武警六级士官,wu'jing'liu'ji'shi'guan
武警内蒙古自治区总队,wu'jing'nei'meng'gu'zi'zhi'qu'zong'dui
武警宁夏自治区总队,wu'jing'ning'xia'zi'zhi'qu'zong'dui
武警擒敌拳,wu'jing'qin'di'quan
武警泉州市支队,wu'jing'quan'zhou'shi'zhi'dui
武警三级士官,wu'jing'san'ji'shi'guan
武警三亚疗养院,wu'jing'san'ya'liao'yang'yuan
武警森林指挥部,wu'jing'sen'lin'zhi'hui'bu
武警山东省总队,wu'jing'shan'dong'sheng'zong'dui
武警山西省总队,wu'jing'shan'xi'sheng'zong'dui
武警陕西省总队,wu'jing'shan'xi'sheng'zong'dui
武警上等兵,wu'jing'shang'deng'bing
武警上海市总队,wu'jing'shang'hai'shi'zong'dui
武警上将,wu'jing'shang'jiang
武警上尉,wu'jing'shang'wei
武警上校,wu'jing'shang'xiao
武警少将,wu'jing'shao'jiang
武警少尉,wu'jing'shao'wei
武警少校,wu'jing'shao'xiao
武警水电第八支队,wu'jing'shui'dian'di'ba'zhi'dui
武警水电第二支队,wu'jing'shui'dian'di'er'zhi'dui
武警水电第二总队,wu'jing'shui'dian'di'er'zong'dui
武警水电第六支队,wu'jing'shui'dian'di'liu'zhi'dui
武警水电第七支队,wu'jing'shui'dian'di'qi'zhi'dui
武警水电第三支队,wu'jing'shui'dian'di'san'zhi'dui
武警水电第三总队,wu'jing'shui'dian'di'san'zong'dui
武警水电第四支队,wu'jing'shui'dian'di'si'zhi'dui
武警水电第五支队,wu'jing'shui'dian'di'wu'zhi'dui
武警水电第一支队,wu'jing'shui'dian'di'yi'zhi'dui
武警水电第一总队,wu'jing'shui'dian'di'yi'zong'dui
武警水电三峡指挥所,wu'jing'shui'dian'san'xia'zhi'hui'suo
武警水电指挥部,wu'jing'shui'dian'zhi'hui'bu
武警四川省总队,wu'jing'si'chuan'sheng'zong'dui
武警四级士官,wu'jing'si'ji'shi'guan
武警天津市总队,wu'jing'tian'jin'shi'zong'dui
武警委员会,wu'jing'wei'yuan'hui
武警五级士官,wu'jing'wu'ji'shi'guan
武警西藏自治区总队,wu'jing'xi'zang'zi'zhi'qu'zong'dui
武警厦门疗养院,wu'jing'xia'men'liao'yang'yuan
武警厦门市支队,wu'jing'xia'men'shi'zhi'dui
武警消防部队,wu'jing'xiao'fang'bu'dui
武警新疆自治区总队,wu'jing'xin'jiang'zi'zhi'qu'zong'dui
武警学员,wu'jing'xue'yuan
武警一级士官,wu'jing'yi'ji'shi'guan
武警医学院,wu'jing'yi'xue'yuan
武警云南省总队,wu'jing'yun'nan'sheng'zong'dui
武警浙江省总队,wu'jing'zhe'jiang'sheng'zong'dui
武警指挥学院,wu'jing'zhi'hui'xue'yuan
武警中将,wu'jing'zhong'jiang
武警中尉,wu'jing'zhong'wei
武警中校,wu'jing'zhong'xiao
武警总部,wu'jing'zong'bu
武警总部后勤部,wu'jing'zong'bu'hou'qin'bu
武警总部司令部,wu'jing'zong'bu'si'ling'bu
武警总部政治部,wu'jing'zong'bu'zheng'zhi'bu
武警总部政治部文工团,wu'jing'zong'bu'zheng'zhi'bu'wen'gong'tuan
婺剧,wu'ju
五句话总要求,wu'ju'hua'zong'yao'qiu
梧龙,wu'long
梧龙村,wu'long'cun
五路,wu'lu
武器,wu'qi
武器平台,wu'qi'ping'tai
武器系统,wu'qi'xi'tong
武器性能,wu'qi'xing'neng
武器装备,wu'qi'zhuang'bei
无人机,wu'ren'ji
无线电导航,wu'xian'dian'dao'hang
无线电高度表,wu'xian'dian'gao'du'biao
无线电通信,wu'xian'dian'tong'xin
无线电信标,wu'xian'dian'xin'biao
乌衣,wu'yi
武装警察部队,wu'zhuang'jing'cha'bu'dui
武装直升机,wu'zhuang'zhi'sheng'ji
西安街,xi'an'jie
西城河,xi'cheng'he
袭击,xi'ji
西路,xi'lu
西埔,xi'pu
西埔村,xi'pu'cun
西埔镇,xi'pu'zhen
西崎,xi'qi
西崎村,xi'qi'cun
系统,xi'tong
西雅图,xi'ya'tu
喜洋洋,xi'yang'yang
夏常服,xia'chang'fu
夏常服肩章,xia'chang'fu'jian'zhang
下订单,xia'ding'dan
下湖村,xia'hu'cun
下九冲,xia'jiu'chong
峡山口,xia'shan'kou
下田街,xia'tian'jie
下田街居委会,xia'tian'jie'ju'wei'hui
下西坑,xia'xi'keng
下西坑村,xia'xi'keng'cun
现浇,xian'jiao
现浇混凝土,xian'jiao'hun'ning'tu
先进集体,xian'jin'ji'ti
先进食堂,xian'jin'shi'tang
仙居涧,xian'ju'jian
县委常委,xian'wei'chang'wei
县委统战部长,xian'wei'tong'zhan'bu'chang
现役军官,xian'yi'jun'guan
橡胶棍,xiang'jiao'gun
项目处,xiang'mu'chu
箱石山,xiang'shi'shan
向阳盐场,xiang'yang'yan'chang
小矾山,xiao'fan'shan
小岗路,xiao'gang'lu
小肩章,xiao'jian'zhang
小山,xiao'shan
小院,xiao'yuan
小郑,xiao'zheng
斜带石斑,xie'dai'shi'ban
械斗事件,xie'dou'shi'jian
蟹黄虾盅,xie'huang'xia'zhong
协同动作,xie'tong'dong'zuo
协同通信,xie'tong'tong'xin
鑫舶瀚,xin'bo'han
鑫舶瀚船舶,xin'bo'han'chuan'bo
鑫舶瀚船舶制造有限公司,xin'bo'han'chuan'bo'zhi'zao'you'xian'gong'si
信道化接收机,xin'dao'hua'jie'shou'ji
新都会环球广场,xin'du'hui'huan'qiu'guang'chang
新纲要,xin'gang'yao
信号弹,xin'hao'dan
信号枪,xin'hao'qiang
心理价位,xin'li'jia'wei
新路,xin'lu
新擒敌拳,xin'qin'di'quan
杏陈镇,xing'chen'zhen
兴港路,xing'gang'lu
行军,xing'jun
姓名牌,xing'ming'pai
行政军官,xing'zheng'jun'guan
胸章,xiong'zhang
休屯盆地,xiu'tun'pen'di
许大湖生产圩堤,xu'da'hu'sheng'chan'wei'di
许耀元,xu'yao'yuan
宣传委员,xuan'chuan'wei'yuan
玄武岩,xuan'wu'yan
训练部,xun'lian'bu
训练模拟器材,xun'lian'mo'ni'qi'cai
巡逻,xun'luo
巡洋舰,xun'yang'jian
鲟鱼,xun'yu
牙鲆,ya'ping
严寒地区,yan'han'di'qu
演武街,yan'wu'jie
演武街居委会,yan'wu'jie'ju'wei'hui
腌鲜桂鱼,yan'xian'gui'yu
腌鲜鳜鱼,yan'xian'gui'yu
佯动,yang'dong
杨庙东,yang'miao'dong
杨士武,yang'shi'wu
要图注记,yao'tu'zhu'ji
叶厝,ye'cuo
叶厝村,ye'cuo'cun
夜哨,ye'shao
夜视仪器,ye'shi'yi'qi
冶溪,ye'xi
冶溪路,ye'xi'lu
夜战,ye'zhan
一冲,yi'chong
以纯,yi'chun
宜购百货广场,yi'gou'bai'huo'guang'chang
移湖水库,yi'hu'shui'ku
一级战备,yi'ji'zhan'bei
隐蔽,yin'bi
引导雷达,yin'dao'lei'da
尹氏宗祠,yin'shi'zong'ci
引信,yin'xin
应急棍,ying'ji'gun
硬肩章,ying'jian'zhang
英勇善战,ying'yong'shan'zhan
营造工程招标代理有限公司,ying'zao'gong'cheng'zhao'biao'dai'li'you'xian'gong'si
永盛新城国际,yong'sheng'xin'cheng'guo'ji
永远做党和人民的忠诚卫士,yong'yuan'zuo'dang'he'ren'min'de'zhong'cheng'wei'shi
拥政爱民公约,yong'zheng'ai'min'gong'yue
优惠措施,you'hui'cuo'shi
幽栖路,you'qi'lu
有线电通信,you'xian'dian'tong'xin
有限元素,you'xian'yuan'su
预备队,yu'bei'dui
预备役军官,yu'bei'yi'jun'guan
预备指挥部,yu'bei'zhi'hui'bu
渝达公路桥梁有限责任公司,yu'da'gong'lu'qiao'liang'you'xian'ze'ren'gong'si
预警机,yu'jing'ji
预警雷达,yu'jing'lei'da
预警系统,yu'jing'xi'tong
鱼雷,yu'lei
鱼咬羊,yu'yao'yang
御中花园,yu'zhong'hua'yuan
宇宙飞船,yu'zhou'fei'chuan
远程打击,yuan'cheng'da'ji
越级指挥,yue'ji'zhi'hui
跃进渠疏浚工程,yue'jin'qu'shu'jun'gong'cheng
运动通信,yun'dong'tong'xin
运输中队,yun'shu'zhong'dui
运载火箭,yun'zai'huo'jian
杂交鲍,za'jiao'bao
载人飞船,zai'ren'fei'chuan
造价工程师,zao'jia'gong'cheng'shi
造价师,zao'jia'shi
藻青山,zao'qing'shan
噪声干扰机,zao'sheng'gan'rao'ji
遭遇战斗,zao'yu'zhan'dou
炸弹,zha'dan
扎木,zha'mu
炸药,zha'yao
宅山,zhai'shan
宅山村,zhai'shan'cun
战场纪律,zhan'chang'ji'lv
战场侦察雷达,zhan'chang'zhen'cha'lei'da
战场准备,zhan'chang'zhun'bei
战斗,zhan'dou
战斗保障,zhan'dou'bao'zhang
战斗编成,zhan'dou'bian'cheng
战斗队形,zhan'dou'dui'xing
战斗飞行,zhan'dou'fei'xing
战斗网电台,zhan'dou'wang'dian'tai
战斗指挥,zhan'dou'zhi'hui
战机,zhan'ji
展开,zhan'kai
战列舰,zhan'lie'jian
战略保密通信机,zhan'lue'bao'mi'tong'xin'ji
战略导弹潜艇,zhan'lue'dao'dan'qian'ting
战略核武器,zhan'lue'he'wu'qi
战略性谋略,zhan'lue'xing'mou'lue
战略指挥,zhan'lue'zhi'hui
战勤处,zhan'qin'chu
战术保密通信机,zhan'shu'bao'mi'tong'xin'ji
战术核武器,zhan'shu'he'wu'qi
战役谋略,zhan'yi'mou'lue
战役指挥,zhan'yi'zhi'hui
站姿,zhan'zi
张家,zhang'jia
张家村,zhang'jia'cun
张家圩,zhang'jia'xu
张金龙,zhang'jin'long
张林,zhang'lin
樟塘,zhang'tang
樟塘村,zhang'tang'cun
樟塘镇,zhang'tang'zhen
招标师,zhao'biao'shi
兆丰禽业,zhao'feng'qin'ye
兆丰禽业有限公司,zhao'feng'qin'ye'you'xian'gong'si
朝阳帝堡,zhao'yang'di'bao
侦察机,zhen'cha'ji
侦查哨,zhen'cha'shao
阵地,zhen'di
真鲷,zhen'diao
真维斯,zhen'wei'si
政法委书记,zheng'fa'wei'shu'ji
政委,zheng'wei
政治部,zheng'zhi'bu
政治合格,zheng'zhi'he'ge
政治军官,zheng'zhi'jun'guan
政治主官,zheng'zhi'zhu'guan
治安事件,zhi'an'shi'jian
纸包三鲜,zhi'bao'san'xian
直达通信,zhi'da'tong'xin
制导雷达,zhi'dao'lei'da
指导员,zhi'dao'yuan
支队党委,zhi'dui'dang'wei
支队后勤部,zhi'dui'hou'qin'bu
支队机关,zhi'dui'ji'guan
支队司令部,zhi'dui'si'ling'bu
支队长,zhi'dui'zhang
支队政治部,zhi'dui'zheng'zhi'bu
指挥部,zhi'hui'bu
指挥军官,zhi'hui'jun'guan
指挥旗,zhi'hui'qi
指挥所,zhi'hui'suo
指挥通信,zhi'hui'tong'xin
指挥仪,zhi'hui'yi
指挥中心,zhi'hui'zhong'xin
质量标兵,zhi'liang'biao'bing
直升机母舰,zhi'sheng'ji'mu'jian
制式,zhi'shi
制式领带,zhi'shi'ling'dai
制式皮靴,zhi'shi'pi'xue
直属工程部第二工程处,zhi'shu'gong'cheng'bu'di'er'gong'cheng'chu
直属工程部第四工程处,zhi'shu'gong'cheng'bu'di'si'gong'cheng'chu
直属工程部第一工程处,zhi'shu'gong'cheng'bu'di'yi'gong'cheng'chu
直属工作处,zhi'shu'gong'zuo'chu
支委会,zhi'wei'hui
智翔铺道技术工程有限公司,zhi'xiang'pu'dao'ji'shu'gong'cheng'you'xian'gong'si
支援,zhi'yuan
中安在线,zhong'an'zai'xian
中菜市,zhong'cai'shi
中段,zhong'duan
中队长,zhong'dui'zhang
中国豆腐文化节,zhong'guo'dou'fu'wen'hua'jie
中国化学工程第三建设公司,zhong'guo'hua'xue'gong'cheng'di'san'jian'she'gong'si
中国人民公安部队,zhong'guo'ren'min'gong'an'bu'dui
中国人民解放军保密条例,zhong'guo'ren'min'jie'fang'jun'bao'mi'tiao'li
中国人民解放军出版社,zhong'guo'ren'min'jie'fang'jun'chu'ban'she
中国人民解放军公安部队,zhong'guo'ren'min'jie'fang'jun'gong'an'bu'dui
中国人民武装警察部队,zhong'guo'ren'min'wu'zhuang'jing'cha'bu'dui
中国武警十大忠诚卫士,zhong'guo'wu'jing'shi'da'zhong'cheng'wei'shi
钟离,zhong'li
钟离路,zhong'li'lu
中煤亚太,zhong'mei'ya'tai
中煤亚太矿山机械制造有限公司,zhong'mei'ya'tai'kuang'shan'ji'xie'zhi'zao'you'xian'gong'si
重品行,zhong'pin'xing
忠实履行使命,zhong'shi'lv'xing'shi'ming
重水,zhong'shui
中兴街,zhong'xing'jie
中兴街居委会,zhong'xing'jie'ju'wei'hui
重要执勤目标,zhong'yao'zhi'qin'mu'biao
重要执勤任务,zhong'yao'zhi'qin'ren'wu
周谷堆农副产品批发市场,zhou'gu'dui'nong'fu'chan'pin'pi'fa'shi'chang
州来商城,zhou'lai'shang'cheng
昼哨,zhou'shao
昼夜哨,zhou'ye'shao
竹林,zhu'lin
主任,zhu'ren
专业技术干部,zhuan'ye'ji'shu'gan'bu
专业技术人员,zhuan'ye'ji'shu'ren'yuan
装备,zhuang'bei
装备部,zhuang'bei'bu
装甲车辆,zhuang'jia'che'liang
装甲工程车,zhuang'jia'gong'cheng'che
装甲架桥车,zhuang'jia'jia'qiao'che
装甲扫雷车,zhuang'jia'sao'lei'che
装甲输送车,zhuang'jia'shu'song'che
装甲指挥车,zhuang'jia'zhi'hui'che
追击战斗,zhui'ji'zhan'dou
准备,zhun'bei
紫菜,zi'cai
总部党委,zong'bu'dang'wei
总部后勤部,zong'bu'hou'qin'bu
总部机关,zong'bu'ji'guan
总部司令部,zong'bu'si'ling'bu
总部政治部,zong'bu'zheng'zhi'bu
总参谋部,zong'can'mou'bu
棕点石斑,zong'dian'shi'ban
纵队,zong'dui
总队党委,zong'dui'dang'wei
总队后勤部,zong'dui'hou'qin'bu
总队机关,zong'dui'ji'guan
总队司令部,zong'dui'si'ling'bu
总队长,zong'dui'zhang
总队政治部,zong'dui'zheng'zhi'bu
总后勤部,zong'hou'qin'bu
总政治部,zong'zheng'zhi'bu
总政治部主任助理,zong'zheng'zhi'bu'zhu'ren'zhu'li
总装备部,zong'zhuang'bei'bu
组织委员,zu'zhi'wei'yuan
最本质,zui'ben'zhi
最核心,zui'he'xin
醉虾,zui'xia
做表率,zuo'biao'shuai
作风优良,zuo'feng'you'liang
座谈会,zuo'tan'hui
作训服,zuo'xun'fu
作训帽,zuo'xun'mao
作训鞋,zuo'xun'xie
作战分界线,zuo'zhan'fen'jie'xian
作战计划,zuo'zhan'ji'hua
作战任务,zuo'zhan'ren'wu
作战文书,zuo'zhan'wen'shu
作战序列,zuo'zhan'xu'lie
