阿比可糖,a'bi'ke'tang
甘露糖基鼠李糖,gan'lu'tang'ji'shu'li'tang
甘露糖基转移酶,gan'lu'tang'ji'zhuan'yi'mei
甘露糖磷酸多萜醇,gan'lu'tang'lin'suan'duo'tie'chun
甘露糖磷酸肌醇,gan'lu'tang'lin'suan'ji'chun
甘露糖磷酸视黄醇,gan'lu'tang'lin'suan'shi'huang'chun
甘露糖磷脂酰肌醇,gan'lu'tang'lin'zhi'xian'ji'chun
甘露糖醛酸,gan'lu'tang'quan'suan
甘露糖神经酰胺,gan'lu'tang'shen'jing'xian'an
甘露糖酸内酯,gan'lu'tang'suan'nei'zhi
甘露糖一磷酸多萜醇,gan'lu'tang'yi'lin'suan'duo'tie'chun
干凝胶,gan'ning'jiao
肝切除,gan'qie'chu
肝清蛋白,gan'qing'dan'bai
肝球蛋白,gan'qiu'dan'bai
感染,gan'ran
感染性核酸,gan'ran'xing'he'suan
干扰,gan'rao
干扰素,gan'rao'su
干涉剂,gan'she'ji
干涉滤波器,gan'she'lv'bo'qi
干涉条纹,gan'she'tiao'wen
感生偶极矩,gan'sheng'ou'ji'ju
感受器,gan'shou'qi
感受态,gan'shou'tai
感受态细胞,gan'shou'tai'xi'bao
感受性,gan'shou'xing
甘薯黑疤霉二酮,gan'shu'hei'ba'mei'er'tong
甘薯黑疤霉酸,gan'shu'hei'ba'mei'suan
甘薯黑疤霉酮,gan'shu'hei'ba'mei'tong
肝素,gan'su
肝素酶,gan'su'mei
肝酸,gan'suan
苷酸,gan'suan
肝糖磷脂,gan'tang'lin'zhi
肝糖原,gan'tang'yuan
肝铜蛋白,gan'tong'dan'bai
肝细胞,gan'xi'bao
干细胞,gan'xi'bao
肝细胞性黄疸,gan'xi'bao'xing'huang'dan
肝性卟啉症,gan'xing'bu'lin'zheng
肝性昏迷,gan'xing'hun'mi
肝炎,gan'yan
肝炎相关抗原,gan'yan'xiang'guan'kang'yuan
甘油,gan'you
甘油单酯,gan'you'dan'zhi
甘油二酯,gan'you'er'zhi
甘油激酶,gan'you'ji'mei
甘油磷酸,gan'you'lin'suan
甘油磷酸循环,gan'you'lin'suan'xun'huan
甘油磷酸酯酶,gan'you'lin'suan'zhi'mei
甘油磷酰胆碱,gan'you'lin'xian'dan'jian
甘油磷酰乙醇胺,gan'you'lin'xian'yi'chun'an
甘油磷脂,gan'you'lin'zhi
甘油醛,gan'you'quan
甘油醛磷酸,gan'you'quan'lin'suan
甘油三酯,gan'you'san'zhi
甘油酸,gan'you'suan
甘油酸途径,gan'you'suan'tu'jing
甘油糖磷脂,gan'you'tang'lin'zhi
甘油糖脂,gan'you'tang'zhi
甘油酯,gan'you'zhi
甘油脂类,gan'you'zhi'lei
干燥病,gan'zao'bing
干燥剂,gan'zao'ji
干燥作用,gan'zao'zuo'yong
苷脂,gan'zhi
苷脂沉积症,gan'zhi'chen'ji'zheng
苷脂硫酸酯酶,gan'zhi'liu'suan'zhi'mei
苷脂酶,gan'zhi'mei
杆状,gan'zhuang
杆状病毒,gan'zhuang'bing'du
杠柳毒苷配基,gang'liu'du'gan'pei'ji
冈崎片段,gang'qi'pian'duan
冈崎碎片,gang'qi'sui'pian
高氨基酸,gao'an'ji'suan
高氨血症,gao'an'xue'zheng
高半胱氨酸,gao'ban'guang'an'suan
高重组率突变型,gao'chong'zu'lv'tu'bian'xing
高蛋白血症,gao'dan'bai'xue'zheng
高胆固醇血症,gao'dan'gu'chun'xue'zheng
高胆红素血症,gao'dan'hong'su'xue'zheng
高胆甾醇血,gao'dan'zai'chun'xue
高碘酸,gao'dian'suan
高碘酸盐,gao'dian'suan'yan
高度免疫,gao'du'mian'yi
高度修饰碱基,gao'du'xiu'shi'jian'ji
高尔基氏体,gao'er'ji'shi'ti
高尔基体,gao'er'ji'ti
告尔酸,gao'er'suan
高二氧化碳血症,gao'er'yang'hua'tan'xue'zheng
高泛酰牛磺酸,gao'fan'xian'niu'huang'suan
高峰淀粉酶,gao'feng'dian'fen'mei
高钙尿,gao'gai'niao
高钙血,gao'gai'xue
高瓜氨酰氨基腺苷,gao'gua'an'xian'an'ji'xian'gan
高胱氨酸,gao'guang'an'suan
高胱氨酸尿,gao'guang'an'suan'niao
高钾血症,gao'jia'xue'zheng
高精氨酸,gao'jing'an'suan
高粱醇溶蛋白,gao'liang'chun'rong'dan'bai
高粱酸,gao'liang'suan
高岭土,gao'ling'tu
高密度脂蛋白,gao'mi'du'zhi'dan'bai
高密度脂蛋白缺乏病,gao'mi'du'zhi'dan'bai'que'fa'bing
高钠血症,gao'na'xue'zheng
高能键,gao'neng'jian
高能磷酸化物,gao'neng'lin'suan'hua'wu
高能磷酸键,gao'neng'lin'suan'jian
高尿酸血,gao'niao'suan'xue
高柠檬酸,gao'ning'meng'suan
高凝血酶原血症,gao'ning'xue'mei'yuan'xue'zheng
高频重组,gao'pin'chong'zu
高前,gao'qian
高渗的,gao'shen'de
高渗溶液,gao'shen'rong'ye
高渗性脱水,gao'shen'xing'tuo'shui
高斯,gao'si
高丝氨酸,gao'si'an'suan
高速离心,gao'su'li'xin
高碳酸血症,gao'tan'suan'xue'zheng
高铁胆绿素,gao'tie'dan'lv'su
高铁环六肽,gao'tie'huan'liu'tai
高铁肌红蛋白,gao'tie'ji'hong'dan'bai
高铁血红蛋白,gao'tie'xue'hong'dan'bai
高铁血红蛋白血症,gao'tie'xue'hong'dan'bai'xue'zheng
高铁血红素,gao'tie'xue'hong'su
高铁血色原,gao'tie'xue'se'yuan
高铁原卟啉,gao'tie'yuan'bu'lin
睾丸,gao'wan
睾丸女性化,gao'wan'nv'xing'hua
睾丸切除,gao'wan'qie'chu
高温层析,gao'wen'ceng'xi
高温分解,gao'wen'fen'jie
高温色谱法,gao'wen'se'pu'fa
高烯醇阴离子,gao'xi'chun'yin'li'zi
高香草酸,gao'xiang'cao'suan
高效液相层析,gao'xiao'ye'xiang'ceng'xi
高效液相色谱法,gao'xiao'ye'xiang'se'pu'fa
高歇氏病,gao'xie'shi'bing
高血红蛋白血,gao'xue'hong'dan'bai'xue
高血糖,gao'xue'tang
高血糖因子,gao'xue'tang'yin'zi
高血压,gao'xue'ya
高压灭菌器,gao'ya'mie'jun'qi
高羊毛氨酸,gao'yang'mao'an'suan
高胰岛素血,gao'yi'dao'su'xue
高异亮氨酸,gao'yi'liang'an'suan
高异柠檬酸,gao'yi'ning'meng'suan
高脂蛋白血症,gao'zhi'dan'bai'xue'zheng
高脂血症,gao'zhi'xue'zheng
革兰氏染色,ge'lan'shi'ran'se
革兰氏阳性菌,ge'lan'shi'yang'xing'jun
革兰氏阴性菌,ge'lan'shi'yin'xing'jun
格雷夫氏症,ge'lei'fu'shi'zheng
隔离,ge'li
隔离的,ge'li'de
格链孢菌酚,ge'lian'bao'jun'fen
格链孢菌酸,ge'lian'bao'jun'suan
隔膜,ge'mo
咯嗪,ge'qin
个体发生,ge'ti'fa'sheng
个体发育,ge'ti'fa'yu
个体基因型,ge'ti'ji'yin'xing
个体遗传型,ge'ti'yi'chuan'xing
各向同性现象,ge'xiang'tong'xing'xian'xiang
各向异性现象,ge'xiang'yi'xing'xian'xiang
根瘤,gen'liu
根霉蝶呤,gen'mei'die'ling
根皮苷,gen'pi'gan
根皮苷配基,gen'pi'gan'pei'ji
根皮素,gen'pi'su
庚二酸,geng'er'suan
庚醛糖,geng'quan'tang
庚酸,geng'suan
庚酸盐,geng'suan'yan
庚糖,geng'tang
庚糖醇,geng'tang'chun
庚酮糖,geng'tong'tang
汞丙脲,gong'bing'niao
汞测压计,gong'ce'ya'ji
功的单位,gong'de'dan'wei
共轭作用,gong'e'zuo'yong
共沸的,gong'fei'de
公害,gong'hai
共合成酶,gong'he'cheng'mei
共合酶,gong'he'mei
共活化物,gong'huo'hua'wu
共价闭环,gong'jia'bi'huan
工具,gong'ju
共聚物,gong'ju'wu
共聚作用,gong'ju'zuo'yong
巩膜,gong'mo
功能,gong'neng
功能基因,gong'neng'ji'yin
功能亢进,gong'neng'kang'jin
功能生化,gong'neng'sheng'hua
共凝集素,gong'ning'ji'su
共凝集作用,gong'ning'ji'zuo'yong
共生,gong'sheng
共生固氮,gong'sheng'gu'dan
供体,gong'ti
供体部位,gong'ti'bu'wei
共有序列,gong'you'xu'lie
共振现象,gong'zhen'xian'xiang
共振杂化分子,gong'zhen'za'hua'fen'zi
共脂肪酶,gong'zhi'fang'mei
共转导,gong'zhuan'dao
佝偻病,gou'lou'bing
构象,gou'xiang
构象体,gou'xiang'ti
构型,gou'xing
钴胺辅酶,gu'an'fu'mei
钴胺素,gu'an'su
钴胺素辅酶,gu'an'su'fu'mei
谷氨酸,gu'an'suan
钴胺酸,gu'an'suan
谷氨酸半醛,gu'an'suan'ban'quan
谷氨酸丙酮酸转氨酶,gu'an'suan'bing'tong'suan'zhuan'an'mei
谷氨酸草酰乙酸转氨酶,gu'an'suan'cao'xian'yi'suan'zhuan'an'mei
谷氨酸脱氢酶,gu'an'suan'tuo'qing'mei
谷氨酸脱羧酶,gu'an'suan'tuo'suo'mei
谷氨酸微球菌,gu'an'suan'wei'qiu'jun
谷氨酸盐,gu'an'suan'yan
谷氨酰胺,gu'an'xian'an
钴胺酰胺,gu'an'xian'an
谷氨酰胺合成酶,gu'an'xian'an'he'cheng'mei
谷氨酰氨基丙腈,gu'an'xian'an'ji'bing'jing
谷氨酰胺酶,gu'an'xian'an'mei
谷氨酰胺酰基,gu'an'xian'an'xian'ji
谷氨酰半胱氨酸合成酶,gu'an'xian'ban'guang'an'suan'he'cheng'mei
谷氨酰环化转移酶,gu'an'xian'huan'hua'zhuan'yi'mei
谷氨酰基,gu'an'xian'ji
谷氨酰循环,gu'an'xian'xun'huan
谷氨酰转肽酶,gu'an'xian'zhuan'tai'mei
固醇,gu'chun
谷醇溶蛋白,gu'chun'rong'dan'bai
固醇载体蛋白,gu'chun'zai'ti'dan'bai
孤雌生殖,gu'ci'sheng'zhi
谷蛋白,gu'dan'bai
固氮黄素,gu'dan'huang'su
固氮菌,gu'dan'jun
固氮酶,gu'dan'mei
固氮铁钼氧还蛋白,gu'dan'tie'mu'yang'hai'dan'bai
固氮铁氧还蛋白,gu'dan'tie'yang'hai'dan'bai
固氮作用,gu'dan'zuo'yong
孤电子对,gu'dian'zi'dui
固定化酶,gu'ding'hua'mei
固定碱,gu'ding'jian
固定态,gu'ding'tai
固定相,gu'ding'xiang
孤儿病毒,gu'er'bing'du
骨骼,gu'ge
骨骼肌,gu'ge'ji
谷胱甘肽,gu'guang'gan'tai
谷胱甘肽过氧化物酶,gu'guang'gan'tai'guo'yang'hua'wu'mei
谷胱甘肽合成酶,gu'guang'gan'tai'he'cheng'mei
谷胱甘肽还原酶,gu'guang'gan'tai'huan'yuan'mei
谷胱甘肽硫,gu'guang'gan'tai'liu
固化,gu'hua
骨化作用,gu'hua'zuo'yong
骨架,gu'jia
骨胶,gu'jiao
骨胶原,gu'jiao'yuan
古柯碱,gu'ke'jian
古柯间二酸,gu'ke'jian'er'suan
古柯邻二酸,gu'ke'lin'er'suan
骨类粘蛋白,gu'lei'zhan'dan'bai
孤立的,gu'li'de
咕啉,gu'lin
钴啉胺酸,gu'lin'an'suan
钴啉醇酸,gu'lin'chun'suan
钴啉醇酰胺,gu'lin'chun'xian'an
骨磷灰石,gu'lin'hui'shi
钴啉酸,gu'lin'suan
古洛糖,gu'luo'tang
古洛糖醛酸,gu'luo'tang'quan'suan
古洛糖酸,gu'luo'tang'suan
古洛糖酸内酯,gu'luo'tang'suan'nei'zhi
鼓泡结构,gu'pao'jie'gou
骨肉瘤源生长因子,gu'rou'liu'yuan'sheng'zhang'yin'zi
骨软化,gu'ruan'hua
骨软化症,gu'ruan'hua'zheng
古生物化学,gu'sheng'wu'hua'xue
谷氏菌素,gu'shi'jun'su
骨髓,gu'sui
骨髓产生细胞,gu'sui'chan'sheng'xi'bao
骨髓瘤,gu'sui'liu
固缩,gu'suo
骨炭,gu'tan
固体培养基,gu'ti'pei'yang'ji
孤挺花定,gu'ting'hua'ding
固酮,gu'tong
骨纤维变性症,gu'xian'wei'bian'xing'zheng
固相,gu'xiang
固相酶,gu'xiang'mei
古液碱,gu'ye'jian
骨硬蛋白,gu'ying'dan'bai
谷甾醇,gu'zai'chun
谷甾醇葡糖苷,gu'zai'chun'pu'tang'gan
谷甾烷,gu'zai'wan
骨粘连蛋白,gu'zhan'lian'dan'bai
骨质溶解,gu'zhi'rong'jie
骨质生成,gu'zhi'sheng'cheng
骨质疏松症,gu'zhi'shu'song'zheng
瓜氨酸,gua'an'suan
瓜氨酸血,gua'an'suan'xue
瓜尔胶,gua'er'jiao
寡核苷酸,gua'he'gan'suan
胍基二氢吡咯甲酸,gua'ji'er'qing'bi'luo'jia'suan
胍基牛磺酸,gua'ji'niu'huang'suan
胍基乙酸,gua'ji'yi'suan
寡基因,gua'ji'yin
寡聚,gua'ju
寡聚体,gua'ju'ti
寡聚体酶,gua'ju'ti'mei
寡霉素,gua'mei'su
寡肽,gua'tai
寡糖,gua'tang
寡糖基神经酰胺,gua'tang'ji'shen'jing'xian'an
寡糖基转移酶,gua'tang'ji'zhuan'yi'mei
寡糖精,gua'tang'jing
寡脱氧胸苷酸,gua'tuo'yang'xiong'gan'suan
胍乙基磷酸丝氨酸,gua'yi'ji'lin'suan'si'an'suan
胍乙酸转甲基酶,gua'yi'suan'zhuan'jia'ji'mei
管壁效应,guan'bi'xiao'ying
关键步骤,guan'jian'bu'zhou
关键反应,guan'jian'fan'ying
关键酶,guan'jian'mei
关节区,guan'jie'qu
关节液,guan'jie'ye
关连氨基酸,guan'lian'an'ji'suan
灌输,guan'shu
灌洗,guan'xi
冠形病毒组,guan'xing'bing'du'zu
管藻黄质,guan'zao'huang'zhi
管藻素,guan'zao'su
灌注,guan'zhu
灌注液,guan'zhu'ye
管状物,guan'zhuang'wu
胱胺,guang'an
胱氨酸,guang'an'suan
胱氨酸二亚砜,guang'an'suan'er'ya'feng
胱氨酸过多症,guang'an'suan'guo'duo'zheng
胱氨酸尿,guang'an'suan'niao
胱氨酰基,guang'an'xian'ji
光程,guang'cheng
光传感器,guang'chuan'gan'qi
光催化标记,guang'cui'hua'biao'ji
光催化剂,guang'cui'hua'ji
胱蛋白酶抑制剂,guang'dan'bai'mei'yi'zhi'ji
光电比色计,guang'dian'bi'se'ji
光电池,guang'dian'chi
光电子,guang'dian'zi
光动力学,guang'dong'li'xue
光度计,guang'du'ji
光断续器,guang'duan'xu'qi
光反应,guang'fan'ying
光感受器,guang'gan'shou'qi
光合磷酸化作用,guang'he'lin'suan'hua'zuo'yong
光合作用,guang'he'zuo'yong
光呼吸,guang'hu'xi
光呼吸作用,guang'hu'xi'zuo'yong
光滑噬菌体,guang'hua'shi'jun'ti
光滑微粒体,guang'hua'wei'li'ti
光化线强度计,guang'hua'xian'qiang'du'ji
光黄素,guang'huang'su
光激中子,guang'ji'zhong'zi
光解作用,guang'jie'zuo'yong
光阑,guang'lan
光裂合酶,guang'lie'he'mei
胱硫醚,guang'liu'mi
胱硫醚酶,guang'liu'mi'mei
光密度,guang'mi'du
光密度计,guang'mi'du'ji
光密度扫描,guang'mi'du'sao'miao
光敏剂,guang'min'ji
光敏色素,guang'min'se'su
光敏突变型,guang'min'tu'bian'xing
光敏性,guang'min'xing
光能转化体,guang'neng'zhuan'hua'ti
光能自养生物,guang'neng'zi'yang'sheng'wu
光偶联剂,guang'ou'lian'ji
光谱,guang'pu
光谱带,guang'pu'dai
光谱图,guang'pu'tu
光气,guang'qi
光亲和标记,guang'qin'he'biao'ji
光散射,guang'san'she
光色敏性,guang'se'min'xing
光色素,guang'se'su
光神霉素,guang'shen'mei'su
光视蛋白,guang'shi'dan'bai
光视紫质,guang'shi'zi'zhi
光通量单位,guang'tong'liang'dan'wei
胱硒醚,guang'xi'mi
光吸收,guang'xi'shou
光修复,guang'xiu'fu
光学,guang'xue
光养,guang'yang
光氧化作用,guang'yang'hua'zuo'yong
光养生物,guang'yang'sheng'wu
光异构作用,guang'yi'gou'zuo'yong
光异养生物,guang'yi'yang'sheng'wu
光抑制,guang'yi'zhi
光甾醇,guang'zai'chun
光致复活作用,guang'zhi'fu'huo'zuo'yong
光致还原,guang'zhi'huan'yuan
光致解离,guang'zhi'jie'li
光致酶修复,guang'zhi'mei'xiu'fu
光致蜕变,guang'zhi'tui'bian
光周期现象,guang'zhou'qi'xian'xiang
光子,guang'zi
光自养生物,guang'zi'yang'sheng'wu
鬼笔毒环肽,gui'bi'du'huan'tai
归巢,gui'chao
轨道,gui'dao
轨道的,gui'dao'de
轨道函数,gui'dao'han'shu
规度,gui'du
癸二烯酸,gui'er'xi'suan
癸基,gui'ji
硅甲藻黄素,gui'jia'zao'huang'su
硅胶,gui'jiao
鲑精蛋白,gui'jing'dan'bai
鬼臼素,gui'jiu'su
归属,gui'shu
桧酸,gui'suan
癸酸,gui'suan
癸酸甘油酯,gui'suan'gan'you'zhi
癸酸盐,gui'suan'yan
桧萜,gui'tie
桧萜醇,gui'tie'chun
癸烷,gui'wan
硅烷化脑苷脂,gui'wan'hua'nao'gan'zhi
癸烷双胺,gui'wan'shuang'an
癸烯酸,gui'xi'suan
癸烯酰基,gui'xi'xian'ji
癸酰基,gui'xian'ji
桂樱苷,gui'ying'gan
硅藻黄质,gui'zao'huang'zhi
硅藻土,gui'zao'tu
硅藻土商品名,gui'zao'tu'shang'pin'ming
桂竹香砜,gui'zhu'xiang'feng
滚环模型,gun'huan'mo'xing
过饱和,guo'bao'he
过饱和溶液,guo'bao'he'rong'ye
过度,guo'du
过渡,guo'du
过渡态,guo'du'tai
过多,guo'duo
腘肌,guo'ji
过甲酸,guo'jia'suan
果胶,guo'jiao
果胶甲酯酶,guo'jiao'jia'zhi'mei
果胶酶,guo'jiao'mei
果胶酸,guo'jiao'suan
果胶糖,guo'jiao'tang
果胶酯酸,guo'jiao'zhi'suan
果聚胜,guo'ju'sheng
果聚糖,guo'ju'tang
果聚糖蔗糖酶,guo'ju'tang'zhe'tang'mei
过量,guo'liang
过滤,guo'lv
过敏毒素,guo'min'du'su
过敏反应,guo'min'fan'ying
过敏素,guo'min'su
过敏性,guo'min'xing
过敏性反应,guo'min'xing'fan'ying
过敏性休克,guo'min'xing'xiu'ke
过敏原,guo'min'yuan
过少,guo'shao
果糖,guo'tang
果糖苷,guo'tang'gan
果糖苷酶,guo'tang'gan'mei
果糖激酶,guo'tang'ji'mei
果糖基蔗糖,guo'tang'ji'zhe'tang
果糖基转移酶,guo'tang'ji'zhuan'yi'mei
果糖尿,guo'tang'niao
果糖脎,guo'tang'sa
果糖血症,guo'tang'xue'zheng
过氧对孟烯,guo'yang'dui'meng'xi
过氧化氢,guo'yang'hua'qing
过氧化氢酶,guo'yang'hua'qing'mei
过氧化氢酶叠氮物,guo'yang'hua'qing'mei'die'dan'wu
过氧化氢酶缺乏症,guo'yang'hua'qing'mei'que'fa'zheng
过氧化物,guo'yang'hua'wu
过氧化物酶,guo'yang'hua'wu'mei
过氧化物酶体,guo'yang'hua'wu'mei'ti
过乙酸,guo'yi'suan
过载,guo'zai
过照,guo'zhao
哈尔碱,ha'er'jian
哈马灵,ha'ma'ling
蛤蟆蕈氨酸,ha'ma'xun'an'suan
哈纳氏病,ha'na'shi'bing
哈杨二氏酯,ha'yang'er'shi'zhi
海葱苷,hai'cong'gan
海葱苷配基,hai'cong'gan'pei'ji
海带氨酸,hai'dai'an'suan
海带多糖,hai'dai'duo'tang
海带多糖酶,hai'dai'duo'tang'mei
海带二糖,hai'dai'er'tang
海胆色素,hai'dan'se'su
海胆酮,hai'dan'tong
海胆组蛋白,hai'dan'zu'dan'bai
海拉细胞,hai'la'xi'bao
海洛因,hai'luo'yin
海曼尔,hai'man'er
海杧果毒素,hai'mang'guo'du'su
海绵核苷,hai'mian'he'gan
海绵硬蛋白,hai'mian'ying'dan'bai
海母帕,hai'mu'pa
海纳数,hai'na'shu
海蛇毒素,hai'she'du'su
海参毒素,hai'shen'du'su
海氏因子,hai'shi'yin'zi
海松二烯,hai'song'er'xi
海棠苷,hai'tang'gan
海兔毒素,hai'tu'du'su
海藻糖,hai'zao'tang
海藻糖胺,hai'zao'tang'an
海藻糖苷,hai'zao'tang'gan
海藻糖酶,hai'zao'tang'mei
海藻糖糖脂,hai'zao'tang'tang'zhi
含氘的,han'dao'de
汉防已碱,han'fang'yi'jian
含缺失的,han'que'shi'de
含糖的,han'tang'de
含铁酶,han'tie'mei
韩蛙皮素,han'wa'pi'su
含羞草氨酸,han'xiu'cao'an'suan
含盐的,han'yan'de
含氧酸,han'yang'suan
含致幻剂的一种植物,han'zhi'huan'ji'de'yi'zhong'zhi'wu
耗尽,hao'jin
毫居里,hao'ju'li
毫克当量,hao'ke'dang'liang
毫渗量,hao'shen'liang
蒿属酸,hao'shu'suan
荷苞牡丹碱,he'bao'mu'dan'jian
和常山碱,he'chang'shan'jian
合成,he'cheng
合成代谢,he'cheng'dai'xie
合成的,he'cheng'de
合成后间隙,he'cheng'hou'jian'xi
合成酶,he'cheng'mei
合成培养基,he'cheng'pei'yang'ji
合成食物,he'cheng'shi'wu
核磁共振,he'ci'gong'zhen
核蛋白,he'dan'bai
核蛋白体,he'dan'bai'ti
核蛋白体解离因子,he'dan'bai'ti'jie'li'yin'zi
核蛋白体颗粒,he'dan'bai'ti'ke'li
核蛋白体释放因子,he'dan'bai'ti'shi'fang'yin'zi
核蛋白体循环,he'dan'bai'ti'xun'huan
核蛋白体亚单位,he'dan'bai'ti'ya'dan'wei
核蛋白体亚基,he'dan'bai'ti'ya'ji
核的,he'de
赫尔拉氏综合征,he'er'la'shi'zong'he'zheng
核分裂,he'fen'lie
核苷,he'gan
核苷磷酸化酶,he'gan'lin'suan'hua'mei
核苷酶,he'gan'mei
核苷三磷酸,he'gan'san'lin'suan
核苷酸,he'gan'suan
核苷酸基,he'gan'suan'ji
核苷酸激酶,he'gan'suan'ji'mei
核苷酸间键合,he'gan'suan'jian'jian'he
核苷酸焦磷酸酶,he'gan'suan'jiao'lin'suan'mei
核苷酸酶,he'gan'suan'mei
合欢氨酸,he'huan'an'suan
核黄素,he'huang'su
核黄素激酶,he'huang'su'ji'mei
核黄素缺乏症,he'huang'su'que'fa'zheng
合基因子,he'ji'yin'zi
核加工作用,he'jia'gong'zuo'yong
核浆,he'jiang
核浆素,he'jiang'su
核精蛋白,he'jing'dan'bai
荷兰猪,he'lan'zhu
核粒,he'li
合酶,he'mei
核酶,he'mei
褐煤酸,he'mei'suan
核膜,he'mo
核膜层蛋白,he'mo'ceng'dan'bai
核内小分子,he'nei'xiao'fen'zi
核内有丝分裂,he'nei'you'si'fen'lie
核欧豪舍效应,he'ou'hao'she'xiao'ying
核盘菌素,he'pan'jun'su
核配合,he'pei'he
核破裂,he'po'lie
核仁,he'ren
核仁丝,he'ren'si
核仁素,he'ren'su
核仁组织者,he'ren'zu'zhi'zhe
核融合,he'rong'he
褐色素细胞瘤,he'se'su'xi'bao'liu
核杀菌素,he'sha'jun'su
核深染色细胞,he'shen'ran'se'xi'bao
核生成,he'sheng'cheng
赫氏病,he'shi'bing
核素,he'su
核酸,he'suan
核酸解聚酶,he'suan'jie'ju'mei
核酸磷酸酯酶,he'suan'lin'suan'zhi'mei
核酸酶,he'suan'mei
核酸片段长度凝胶电泳图谱法,he'suan'pian'duan'chang'du'ning'jiao'dian'yong'tu'pu'fa
核酸脱氨酶,he'suan'tuo'an'mei
核酸盐,he'suan'yan
核酸组蛋白,he'suan'zu'dan'bai
核糖,he'tang
核糖醇,he'tang'chun
核糖核蛋白,he'tang'he'dan'bai
核糖核蛋白体,he'tang'he'dan'bai'ti
核糖核苷,he'tang'he'gan
核糖核苷二磷酸激酶,he'tang'he'gan'er'lin'suan'ji'mei
核糖核苷酸,he'tang'he'gan'suan
核糖核苷酸还原酶,he'tang'he'gan'suan'huan'yuan'mei
核糖核苷酸酶,he'tang'he'gan'suan'mei
核糖核酸,he'tang'he'suan
核糖核酸酶,he'tang'he'suan'mei
核糖核酸探针,he'tang'he'suan'tan'zhen
核糖基,he'tang'ji
核糖基化作用,he'tang'ji'hua'zuo'yong
核糖基玉米素,he'tang'ji'yu'mi'su
核糖霉素,he'tang'mei'su
核糖体,he'tang'ti
核糖体结合部位,he'tang'ti'jie'he'bu'wei
核糖体结合位点,he'tang'ti'jie'he'wei'dian
核糖体解离因子,he'tang'ti'jie'li'yin'zi
核糖体释放因子,he'tang'ti'shi'fang'yin'zi
核糖体循环,he'tang'ti'xun'huan
核糖体亚单位,he'tang'ti'ya'dan'wei
核糖体亚基,he'tang'ti'ya'ji
核糖胸苷,he'tang'xiong'gan
合体细胞,he'ti'xi'bao
核酮糖,he'tong'tang
核酮糖二磷酸羧化酶,he'tong'tang'er'lin'suan'suo'hua'mei
河豚毒素,he'tun'du'su
核外小体,he'wai'xiao'ti
核稳定,he'wen'ding
颌下腺粘蛋白,he'xia'xian'zhan'dan'bai
合线,he'xian
合线期,he'xian'qi
核消耗,he'xiao'hao
核小体,he'xiao'ti
核心低聚糖,he'xin'di'ju'tang
核心寡糖,he'xin'gua'tang
核心颗粒,he'xin'ke'li
核心酶,he'xin'mei
核心组蛋白,he'xin'zu'dan'bai
荷雪圆环,he'xue'yuan'huan
核液,he'ye
核原生质,he'yuan'sheng'zhi
核质,he'zhi
核周池,he'zhou'chi
核周膜,he'zhou'mo
核周体,he'zhou'ti
核子,he'zi
核唑,he'zuo
黑腹果蝇,hei'fu'guo'ying
黑化,hei'hua
黑接骨木苷,hei'jie'gu'mu'gan
黑芥子硫苷酸,hei'jie'zi'liu'gan'suan
黑芥子硫苷酸钾,hei'jie'zi'liu'gan'suan'jia
黑内障,hei'nei'zhang
黑皮病,hei'pi'bing
黑曲二糖,hei'qu'er'tang
黑曲霉,hei'qu'mei
黑曲霉多糖,hei'qu'mei'duo'tang
黑曲霉三糖,hei'qu'mei'san'tang
黑曲霉糖,hei'qu'mei'tang
黑舌病,hei'she'bing
黑素,hei'su
黑素过多的,hei'su'guo'duo'de
黑素过多症,hei'su'guo'duo'zheng
黑素瘤,hei'su'liu
黑素尿,hei'su'niao
黑素体,hei'su'ti
黑素细胞,hei'su'xi'bao
黑素细胞激素抑制激素,hei'su'xi'bao'ji'su'yi'zhi'ji'su
黑素原,hei'su'yuan
痕迹,hen'ji
恒定区,heng'ding'qu
恒沸点的,heng'fei'dian'de
横隔膜,heng'ge'mo
恒化器,heng'hua'qi
横桥,heng'qiao
恒湿度调节仪,heng'shi'du'tiao'jie'yi
亨特氏症,heng'te'shi'zheng
亨特氏综合征,heng'te'shi'zong'he'zheng
恒温的,heng'wen'de
横纹肌,heng'wen'ji
恒温器,heng'wen'qi
恒温箱,heng'wen'xiang
衡州乌药碱,heng'zhou'wu'yao'jian
衡州乌药灵,heng'zhou'wu'yao'ling
红棓酚,hong'bei'fen
红比霉素,hong'bi'mei'su
红蝶呤,hong'die'ling
红豆碱,hong'dou'jian
红豆杉苷,hong'dou'shan'gan
红糊精,hong'hu'jing
红花素,hong'hua'su
红酵母,hong'jiao'mu
红酵母红素,hong'jiao'mu'hong'su
红口蝮蛇毒酶,hong'kou'fu'she'du'mei
红霉素,hong'mei'su
红霉脱氧糖胺,hong'mei'tuo'yang'tang'an
红霉支糖,hong'mei'zhi'tang
虹色病毒,hong'se'bing'du
红视紫红质,hong'shi'zi'hong'zhi
红体病,hong'ti'bing
红外二色性,hong'wai'er'se'xing
红外线,hong'wai'xian
红细胞,hong'xi'bao
红细胞聚糖,hong'xi'bao'ju'tang
红细胞凝集作用,hong'xi'bao'ning'ji'zuo'yong
红细胞三糖,hong'xi'bao'san'tang
红细胞三糖神经酰胺,hong'xi'bao'san'tang'shen'jing'xian'an
